	OrthologID	Hanseniaspora_vinae	Saccharomyces_cerevisiae
634	OG0000634	augustus_masked-JFAV02000098.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000098.1-processed-gene-0.29&CDS=1-708	YLR312W-A
635	OG0000635	augustus_masked-JFAV02000098.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-JFAV02000098.1-processed-gene-0.35&CDS=1-4161	YLL021W
636	OG0000636	augustus_masked-JFAV02000099.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.0&CDS=1-2250	YOR001W
637	OG0000637	genemark-JFAV02000099.1-processed-gene-0.33-mRNA-1_1&gene=genemark-JFAV02000099.1-processed-gene-0.33&CDS=1-567	YOL003C
638	OG0000638	augustus_masked-JFAV02000099.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.14&CDS=1-5205	YOL004W
639	OG0000639	augustus_masked-JFAV02000099.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.3&CDS=1-1695	YOR002W
640	OG0000640	augustus_masked-JFAV02000099.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.4&CDS=1-972	YOR007C
641	OG0000641	snap_masked-JFAV02000099.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-JFAV02000099.1-processed-gene-0.72&CDS=1-3498	YML002W
642	OG0000642	augustus_masked-JFAV02000099.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.5&CDS=1-939	YOR006C
643	OG0000643	augustus_masked-JFAV02000099.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.6&CDS=1-2112	YOR005C
644	OG0000644	augustus_masked-JFAV02000099.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.7&CDS=1-2025	YEL062W
645	OG0000645	augustus_masked-JFAV02000099.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.16&CDS=1-3102	YEL061C
646	OG0000646	augustus_masked-JFAV02000099.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.17&CDS=1-930	YOR004W
647	OG0000647	augustus_masked-JFAV02000099.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.19&CDS=1-1980	YEL060C
648	OG0000648	augustus_masked-JFAV02000099.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.20&CDS=1-1488	YPL262W
649	OG0000649	augustus_masked-JFAV02000099.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.8&CDS=1-1809	YEL058W
650	OG0000650	augustus_masked-JFAV02000099.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.9&CDS=1-1965	YPL263C
651	OG0000651	augustus_masked-JFAV02000099.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.10&CDS=1-1173	YEL056W
652	OG0000652	augustus_masked-JFAV02000099.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.22&CDS=1-1554	YPL272C
653	OG0000653	snap_masked-JFAV02000099.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-JFAV02000099.1-processed-gene-0.79&CDS=1-3330	YEL055C
654	OG0000654	augustus_masked-JFAV02000099.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.13&CDS=1-2706	YPL268W
655	OG0000655	augustus_masked-JFAV02000099.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.25&CDS=1-711	YLR301W
656	OG0000656	augustus_masked-JFAV02000099.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000099.1-processed-gene-0.26&CDS=1-3687	YOR191W
657	OG0000657	augustus_masked-JFAV02000100.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.23&CDS=1-990	YPL266W
658	OG0000658	augustus_masked-JFAV02000100.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.16&CDS=1-4986	YPL242C
659	OG0000659	snap_masked-JFAV02000100.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000100.1-processed-gene-0.9&CDS=1-1824	YPL243W
660	OG0000660	snap_masked-JFAV02000100.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-JFAV02000100.1-processed-gene-0.10&CDS=1-660	YLR262C
661	OG0000661	snap_masked-JFAV02000100.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-JFAV02000100.1-processed-gene-0.11&CDS=1-192	YLR262C-A
662	OG0000662	augustus_masked-JFAV02000100.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.27&CDS=1-2469	YOR168W
663	OG0000663	snap_masked-JFAV02000100.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-JFAV02000100.1-processed-gene-0.3&CDS=1-1416	YOR166C
664	OG0000664	augustus_masked-JFAV02000100.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-JFAV02000100.1-processed-gene-0.29&CDS=1-2760	YOR165W
665	OG0000665	augustus_masked-JFAV02000101.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.5&CDS=1-267	YER074W-A
666	OG0000666	augustus_masked-JFAV02000101.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.6&CDS=1-906	YIL070C
667	OG0000667	augustus_masked-JFAV02000101.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.16&CDS=1-2196	YER077C
668	OG0000668	augustus_masked-JFAV02000101.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.17&CDS=1-1494	YER078C
669	OG0000669	genemark-JFAV02000101.1-processed-gene-0.70-mRNA-1_1&gene=genemark-JFAV02000101.1-processed-gene-0.70&CDS=1-3135	YDL149W
670	OG0000670	augustus_masked-JFAV02000101.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.20&CDS=1-2451	YDL148C
671	OG0000671	augustus_masked-JFAV02000101.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.8&CDS=1-1326	YDL147W
672	OG0000672	augustus_masked-JFAV02000101.1-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.9&CDS=1-1377	YDL146W
673	OG0000673	augustus_masked-JFAV02000101.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.22&CDS=1-1416	YLR212C
674	OG0000674	maker-JFAV02000101.1-augustus-gene-0.1-mRNA-1_1&gene=maker-JFAV02000101.1-augustus-gene-0.1&CDS=1-4917	YDL145C
675	OG0000675	maker-JFAV02000101.1-augustus-gene-0.2-mRNA-1_1&gene=maker-JFAV02000101.1-augustus-gene-0.2&CDS=1-2193	YDL144C
676	OG0000676	augustus_masked-JFAV02000101.1-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.25&CDS=1-1194	YLR215C
677	OG0000677	augustus_masked-JFAV02000101.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.11&CDS=1-1731	YDL143W
678	OG0000678	augustus_masked-JFAV02000101.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.26&CDS=1-726	YDL142C
679	OG0000679	augustus_masked-JFAV02000101.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.27&CDS=1-5136	YDL140C
680	OG0000680	augustus_masked-JFAV02000101.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.28&CDS=1-1131	YLR216C
681	OG0000681	snap_masked-JFAV02000101.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-JFAV02000101.1-processed-gene-0.62&CDS=1-966	YDL139C
682	OG0000682	snap_masked-JFAV02000101.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-JFAV02000101.1-processed-gene-0.63&CDS=1-270	YLR218C
683	OG0000683	augustus_masked-JFAV02000101.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.13&CDS=1-4140	YDL195W
684	OG0000684	augustus_masked-JFAV02000101.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000101.1-processed-gene-0.15&CDS=1-1170	YDL193W
685	OG0000685	augustus_masked-JFAV02000102.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.60&CDS=1-2271	YFR021W
686	OG0000686	augustus_masked-JFAV02000102.1-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.62&CDS=1-906	YCL009C
687	OG0000687	augustus_masked-JFAV02000102.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.75&CDS=1-1128	YNL005C
688	OG0000688	augustus_masked-JFAV02000102.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.76&CDS=1-1389	YHR018C
689	OG0000689	augustus_masked-JFAV02000102.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.77&CDS=1-1662	YHR019C
690	OG0000690	augustus_masked-JFAV02000102.1-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.79&CDS=1-1179	YCL010C
691	OG0000691	augustus_masked-JFAV02000102.1-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.80&CDS=1-1068	YLR173W
692	OG0000692	augustus_masked-JFAV02000102.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.64&CDS=1-897	YLR172C
693	OG0000693	augustus_masked-JFAV02000102.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.65&CDS=1-564	YLR170C
694	OG0000694	augustus_masked-JFAV02000102.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.83&CDS=1-4587	YLR247C
695	OG0000695	augustus_masked-JFAV02000102.1-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.68&CDS=1-2505	YLR248W
696	OG0000696	augustus_masked-JFAV02000102.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.69&CDS=1-3138	YNL014W
697	OG0000697	augustus_masked-JFAV02000102.1-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.70&CDS=1-2076	YNL012W
698	OG0000698	augustus_masked-JFAV02000102.1-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.71&CDS=1-762	YLR250W
699	OG0000699	augustus_masked-JFAV02000102.1-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.84&CDS=1-1572	YNL011C
700	OG0000700	augustus_masked-JFAV02000102.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.72&CDS=1-726	YNL010W
701	OG0000701	augustus_masked-JFAV02000102.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.73&CDS=1-1098	YCL018W
702	OG0000702	augustus_masked-JFAV02000102.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-JFAV02000102.1-processed-gene-0.85&CDS=1-1566	YCL017C
703	OG0000703	augustus_masked-JFAV02000103.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.1&CDS=1-858	YNL003C
704	OG0000704	snap_masked-JFAV02000103.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.112&CDS=1-1200	YCL016C
705	OG0000705	genemark-JFAV02000103.1-processed-gene-0.149-mRNA-1_1&gene=genemark-JFAV02000103.1-processed-gene-0.149&CDS=1-5517	YCL014W
706	OG0000706	augustus_masked-JFAV02000103.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.3&CDS=1-1254	YHR016C
707	OG0000707	augustus_masked-JFAV02000103.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.4&CDS=1-831	YFR027W
708	OG0000708	augustus_masked-JFAV02000103.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.38&CDS=1-1740	YFR028C
709	OG0000709	augustus_masked-JFAV02000103.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.5&CDS=1-1059	YOL018C
710	OG0000710	snap_masked-JFAV02000103.1-processed-gene-0.116-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.116&CDS=1-1956	YOL019W
711	OG0000711	augustus_masked-JFAV02000103.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.6&CDS=1-2325	YJR040W
712	OG0000712	snap_masked-JFAV02000103.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.117&CDS=1-3405	YJR041C
713	OG0000713	snap_masked-JFAV02000103.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.83&CDS=1-2484	YJR042W
714	OG0000714	snap_masked-JFAV02000103.1-processed-gene-0.118-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.118&CDS=1-465	YEL027W
715	OG0000715	snap_masked-JFAV02000103.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.121&CDS=1-1257	YEL037C
716	OG0000716	augustus_masked-JFAV02000103.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.45&CDS=1-1575	YEL036C
717	OG0000717	maker-JFAV02000103.1-augustus-gene-0.0-mRNA-1_1&gene=maker-JFAV02000103.1-augustus-gene-0.0&CDS=1-6564	YEL031W
718	OG0000718	augustus_masked-JFAV02000103.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.11&CDS=1-1938	YJR045C
719	OG0000719	augustus_masked-JFAV02000103.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.12&CDS=1-462	YJR044C
720	OG0000720	augustus_masked-JFAV02000103.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.47&CDS=1-1047	YEL029C
721	OG0000721	augustus_masked-JFAV02000103.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.48&CDS=1-1137	YEL046C
722	OG0000722	augustus_masked-JFAV02000103.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.13&CDS=1-552	YEL044W
723	OG0000723	snap_masked-JFAV02000103.1-processed-gene-0.91-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.91&CDS=1-2796	YEL043W
724	OG0000724	snap_masked-JFAV02000103.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.126&CDS=1-846	YJR050W
725	OG0000725	augustus_masked-JFAV02000103.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.15&CDS=1-1593	YEL042W
726	OG0000726	snap_masked-JFAV02000103.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.94&CDS=1-3072	YOR349W
727	OG0000727	genemark-JFAV02000103.1-processed-gene-0.200-mRNA-1_1&gene=genemark-JFAV02000103.1-processed-gene-0.200&CDS=1-1533	YOR351C
728	OG0000728	snap_masked-JFAV02000103.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.95&CDS=1-1032	YOR352W
729	OG0000729	snap_masked-JFAV02000103.1-processed-gene-0.130-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.130&CDS=1-3279	YOR353C
730	OG0000730	augustus_masked-JFAV02000103.1-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.19&CDS=1-984	YAL039C
731	OG0000731	augustus_masked-JFAV02000103.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.20&CDS=1-1383	YAL040C
732	OG0000732	augustus_masked-JFAV02000103.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.22&CDS=1-2109	YOR355W
733	OG0000733	augustus_masked-JFAV02000103.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.23&CDS=1-1962	YOR356W
734	OG0000734	maker-JFAV02000103.1-snap-gene-0.69-mRNA-1_1&gene=maker-JFAV02000103.1-snap-gene-0.69&CDS=1-2721	YAL041W
735	OG0000735	augustus_masked-JFAV02000103.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.56&CDS=1-1320	YAL042W
736	OG0000736	augustus_masked-JFAV02000103.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.57&CDS=1-684	YOR357C
737	OG0000737	augustus_masked-JFAV02000103.1-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.24&CDS=1-981	YOR358W
738	OG0000738	snap_masked-JFAV02000103.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.102&CDS=1-2214	YAL043C
739	OG0000739	augustus_masked-JFAV02000103.1-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.26&CDS=1-1566	YOR359W
740	OG0000740	augustus_masked-JFAV02000103.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.58&CDS=1-2583	YOR360C
741	OG0000741	augustus_masked-JFAV02000103.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.27&CDS=1-513	YAL044C
742	OG0000742	augustus_masked-JFAV02000103.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.59&CDS=1-411	YAL044W-A
743	OG0000743	augustus_masked-JFAV02000103.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.28&CDS=1-336	YAL046C
744	OG0000744	augustus_masked-JFAV02000103.1-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.60&CDS=1-2355	YOR361C
745	OG0000745	augustus_masked-JFAV02000103.1-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.61&CDS=1-861	YOR362C
746	OG0000746	snap_masked-JFAV02000103.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.107&CDS=1-1923	YAL048C
747	OG0000747	augustus_masked-JFAV02000103.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.31&CDS=1-789	YAL049C
748	OG0000748	augustus_masked-JFAV02000103.1-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.63&CDS=1-2469	YAL053W
749	OG0000749	snap_masked-JFAV02000103.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-JFAV02000103.1-processed-gene-0.109&CDS=1-684	YOR367W
750	OG0000750	augustus_masked-JFAV02000103.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.33&CDS=1-1197	YOR368W
751	OG0000751	augustus_masked-JFAV02000103.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.64&CDS=1-420	YOR369C
752	OG0000752	augustus_masked-JFAV02000103.1-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.65&CDS=1-1488	YOR370C
753	OG0000753	augustus_masked-JFAV02000103.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-JFAV02000103.1-processed-gene-0.67&CDS=1-579	YAL059W
754	OG0000754	maker-JFAV02000104.1-augustus-gene-0.67-mRNA-1_1&gene=maker-JFAV02000104.1-augustus-gene-0.67&CDS=1-1812	YIR004W
755	OG0000755	maker-JFAV02000104.1-augustus-gene-0.68-mRNA-1_1&gene=maker-JFAV02000104.1-augustus-gene-0.68&CDS=1-4014	YIR006C
756	OG0000756	augustus_masked-JFAV02000104.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.47&CDS=1-744	YER004W
757	OG0000757	augustus_masked-JFAV02000104.1-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.36&CDS=1-1290	YER003C
758	OG0000758	augustus_masked-JFAV02000104.1-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.48&CDS=1-732	YER002W
759	OG0000759	genemark-JFAV02000104.1-processed-gene-0.88-mRNA-1_1&gene=genemark-JFAV02000104.1-processed-gene-0.88&CDS=1-669	YEL004W
760	OG0000760	augustus_masked-JFAV02000104.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.49&CDS=1-876	YIL003W
761	OG0000761	augustus_masked-JFAV02000104.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.37&CDS=1-363	YIL004C
762	OG0000762	snap_masked-JFAV02000104.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.16&CDS=1-2346	YIL005W
763	OG0000763	augustus_masked-JFAV02000104.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.54&CDS=1-1134	YER016W
764	OG0000764	augustus_masked-JFAV02000104.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.40&CDS=1-1104	YPR129W
765	OG0000765	augustus_masked-JFAV02000104.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.55&CDS=1-651	YPR131C
766	OG0000766	augustus_masked-JFAV02000104.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.56&CDS=1-1803	YGR117C
767	OG0000767	maker-JFAV02000104.1-snap-gene-0.107-mRNA-1_1&gene=maker-JFAV02000104.1-snap-gene-0.107&CDS=1-1080	YPR133C
768	OG0000768	snap_masked-JFAV02000104.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.25&CDS=1-1788	YGR119C
769	OG0000769	snap_masked-JFAV02000104.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.9&CDS=1-2928	YPR135W
770	OG0000770	augustus_masked-JFAV02000104.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.43&CDS=1-1722	YPR137W
771	OG0000771	augustus_masked-JFAV02000104.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-0.66&CDS=1-2058	YMR227C
772	OG0000772	snap_masked-JFAV02000104.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-0.11&CDS=1-1179	YMR228W
773	OG0000773	augustus_masked-JFAV02000104.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.109&CDS=1-5184	YMR229C
774	OG0000774	augustus_masked-JFAV02000104.1-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.107&CDS=1-4266	YOR291W
775	OG0000775	snap_masked-JFAV02000104.1-processed-gene-1.9-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.9&CDS=1-1461	YOR292C
776	OG0000776	snap_masked-JFAV02000104.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.10&CDS=1-1227	YGR058W
777	OG0000777	snap_masked-JFAV02000104.1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.34&CDS=1-1329	YLR363C
778	OG0000778	augustus_masked-JFAV02000104.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.113&CDS=1-1797	YMR319C
779	OG0000779	augustus_masked-JFAV02000104.1-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.114&CDS=1-948	YGR060W
780	OG0000780	augustus_masked-JFAV02000104.1-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.135&CDS=1-4014	YGR061C
781	OG0000781	augustus_masked-JFAV02000104.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.115&CDS=1-279	YLR363W-A
782	OG0000782	snap_masked-JFAV02000104.1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.36&CDS=1-822	YGR062C
783	OG0000783	augustus_masked-JFAV02000104.1-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.137&CDS=1-309	YGR063C
784	OG0000784	snap_masked-JFAV02000104.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.38&CDS=1-2262	YGR068C
785	OG0000785	augustus_masked-JFAV02000104.1-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.121&CDS=1-1536	YKL035W
786	OG0000786	snap_masked-JFAV02000104.1-processed-gene-1.22-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.22&CDS=1-2478	YKL034W
787	OG0000787	augustus_masked-JFAV02000104.1-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.123&CDS=1-732	YKL033W-A
788	OG0000788	augustus_masked-JFAV02000104.1-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.139&CDS=1-963	YHL011C
789	OG0000789	snap_masked-JFAV02000104.1-processed-gene-1.40-mRNA-1_1&gene=snap_masked-JFAV02000104.1-processed-gene-1.40&CDS=1-1758	YHL010C
790	OG0000790	augustus_masked-JFAV02000104.1-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.124&CDS=1-3138	YKL033W
791	OG0000791	augustus_masked-JFAV02000104.1-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.125&CDS=1-2082	YHL008C
792	OG0000792	augustus_masked-JFAV02000104.1-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-JFAV02000104.1-processed-gene-1.126&CDS=1-3864	YMR076C
