	OrthologID	Candida_dubliniensis	Saccharomyces_cerevisiae
515	OG0000515	genemark-NC_012860.1-processed-gene-4.101-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.101&CDS=1-720	YGL044C
516	OG0000516	genemark-NC_012860.1-processed-gene-4.95-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.95&CDS=1-909	YGL043W
517	OG0000517	genemark-NC_012860.1-processed-gene-4.102-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.102&CDS=1-1488	YGR155W
518	OG0000518	genemark-NC_012860.1-processed-gene-4.119-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.119&CDS=1-2340	YFR029W
519	OG0000519	genemark-NC_012860.1-processed-gene-4.121-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.121&CDS=1-1509	YDR117C
520	OG0000520	genemark-NC_012860.1-processed-gene-4.103-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.103&CDS=1-1002	YER156C
521	OG0000521	augustus_masked-NC_012860.1-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-4.10&CDS=1-4875	YOL075C
522	OG0000522	genemark-NC_012860.1-processed-gene-4.123-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.123&CDS=1-543	YLR065C
523	OG0000523	genemark-NC_012860.1-processed-gene-4.124-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.124&CDS=1-411	YDR100W
524	OG0000524	genemark-NC_012860.1-processed-gene-4.107-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.107&CDS=1-849	YLR064W
525	OG0000525	augustus_masked-NC_012860.1-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-4.14&CDS=1-624	YER183C
526	OG0000526	genemark-NC_012860.1-processed-gene-4.127-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.127&CDS=1-2469	YPL072W
527	OG0000527	snap_masked-NC_012860.1-processed-gene-4.68-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-4.68&CDS=1-258	YBL029C-A
528	OG0000528	snap_masked-NC_012860.1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-4.70&CDS=1-1134	YPL165C
529	OG0000529	genemark-NC_012860.1-processed-gene-4.129-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.129&CDS=1-1488	YGR093W
530	OG0000530	genemark-NC_012860.1-processed-gene-4.112-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.112&CDS=1-2025	YBR019C
531	OG0000531	genemark-NC_012860.1-processed-gene-4.113-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.113&CDS=1-420	YDR246W
532	OG0000532	genemark-NC_012860.1-processed-gene-4.114-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.114&CDS=1-1104	YBR018C
533	OG0000533	augustus_masked-NC_012860.1-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-4.22&CDS=1-936	YOR239W
534	OG0000534	genemark-NC_012860.1-processed-gene-4.134-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.134&CDS=1-819	YPL149W
535	OG0000535	snap_masked-NC_012860.1-processed-gene-4.92-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-4.92&CDS=1-768	YNL200C
536	OG0000536	genemark-NC_012860.1-processed-gene-4.117-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.117&CDS=1-1995	YDL225W
537	OG0000537	genemark-NC_012860.1-processed-gene-4.118-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-4.118&CDS=1-2622	YLR347C
538	OG0000538	genemark-NC_012860.1-processed-gene-5.44-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.44&CDS=1-708	YGR036C
539	OG0000539	genemark-NC_012860.1-processed-gene-5.46-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.46&CDS=1-1104	YDL226C
540	OG0000540	genemark-NC_012860.1-processed-gene-5.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.48&CDS=1-3018	YNL201C
541	OG0000541	genemark-NC_012860.1-processed-gene-5.49-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.49&CDS=1-1068	YJL180C
542	OG0000542	genemark-NC_012860.1-processed-gene-5.45-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.45&CDS=1-396	YJL179W
543	OG0000543	genemark-NC_012860.1-processed-gene-5.50-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.50&CDS=1-372	YJL184W
544	OG0000544	genemark-NC_012860.1-processed-gene-5.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.64&CDS=1-1668	YLR345W
545	OG0000545	genemark-NC_012860.1-processed-gene-5.51-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.51&CDS=1-801	YGR033C
546	OG0000546	genemark-NC_012860.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.68&CDS=1-558	YMR138W
547	OG0000547	genemark-NC_012860.1-processed-gene-5.52-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.52&CDS=1-2580	YMR137C
548	OG0000548	genemark-NC_012860.1-processed-gene-5.69-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.69&CDS=1-1338	YJL183W
549	OG0000549	genemark-NC_012860.1-processed-gene-5.70-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.70&CDS=1-1059	YOL107W
550	OG0000550	genemark-NC_012860.1-processed-gene-5.71-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.71&CDS=1-5691	YGR032W
551	OG0000551	snap_masked-NC_012860.1-processed-gene-5.28-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-5.28&CDS=1-1962	YGR054W
552	OG0000552	snap_masked-NC_012860.1-processed-gene-5.29-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-5.29&CDS=1-1005	YFL044C
553	OG0000553	genemark-NC_012860.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.73&CDS=1-531	YLR074C
554	OG0000554	genemark-NC_012860.1-processed-gene-5.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.53&CDS=1-660	YLR075W
555	OG0000555	genemark-NC_012860.1-processed-gene-5.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.55&CDS=1-756	YFL045C
556	OG0000556	genemark-NC_012860.1-processed-gene-5.74-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.74&CDS=1-2010	YLR077W
557	OG0000557	genemark-NC_012860.1-processed-gene-5.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.56&CDS=1-624	YFL046W
558	OG0000558	genemark-NC_012860.1-processed-gene-5.57-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.57&CDS=1-723	YLR078C
559	OG0000559	maker-NC_012860.1-snap-gene-5.124-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-5.124&CDS=1-3420	YPL265W
560	OG0000560	genemark-NC_012860.1-processed-gene-5.77-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.77&CDS=1-876	YMR096W
561	OG0000561	snap_masked-NC_012860.1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-5.16&CDS=1-4431	YJR138W
562	OG0000562	genemark-NC_012860.1-processed-gene-5.78-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.78&CDS=1-1077	YJR139C
563	OG0000563	genemark-NC_012860.1-processed-gene-5.80-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.80&CDS=1-513	YGR082W
564	OG0000564	genemark-NC_012860.1-processed-gene-5.81-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-5.81&CDS=1-816	YJR144W
565	OG0000565	augustus_masked-NC_012860.1-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-5.103&CDS=1-2667	YFL022C
566	OG0000566	maker-NC_012860.1-snap-gene-6.139-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-6.139&CDS=1-1200	YDL100C
567	OG0000567	genemark-NC_012860.1-processed-gene-6.53-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.53&CDS=1-807	YDL086W
568	OG0000568	genemark-NC_012860.1-processed-gene-6.54-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.54&CDS=1-1050	YMR146C
569	OG0000569	genemark-NC_012860.1-processed-gene-6.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.56&CDS=1-2538	YBR114W
570	OG0000570	genemark-NC_012860.1-processed-gene-6.57-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.57&CDS=1-4212	YBR115C
571	OG0000571	genemark-NC_012860.1-processed-gene-6.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.59&CDS=1-1683	YOR360C
572	OG0000572	genemark-NC_012860.1-processed-gene-6.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.60&CDS=1-2049	YOR359W
573	OG0000573	genemark-NC_012860.1-processed-gene-6.74-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.74&CDS=1-600	YKL196C
574	OG0000574	genemark-NC_012860.1-processed-gene-6.75-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.75&CDS=1-759	YKL195W
575	OG0000575	augustus_masked-NC_012860.1-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-6.33&CDS=1-2154	YLR424W
576	OG0000576	genemark-NC_012860.1-processed-gene-6.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.62&CDS=1-1110	YLR418C
577	OG0000577	maker-NC_012860.1-augustus-gene-6.1-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-6.1&CDS=1-1896	YKL194C
578	OG0000578	genemark-NC_012860.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.80&CDS=1-1785	YHR194W
579	OG0000579	genemark-NC_012860.1-processed-gene-6.81-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.81&CDS=1-1314	YLR300W
580	OG0000580	genemark-NC_012860.1-processed-gene-6.66-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.66&CDS=1-318	YDL081C
581	OG0000581	genemark-NC_012860.1-processed-gene-6.68-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.68&CDS=1-753	YKL183W
582	OG0000582	genemark-NC_012860.1-processed-gene-6.69-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.69&CDS=1-3141	YLR436C
583	OG0000583	genemark-NC_012860.1-processed-gene-6.83-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.83&CDS=1-615	YLR435W
584	OG0000584	genemark-NC_012860.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.84&CDS=1-2418	YML065W
585	OG0000585	genemark-NC_012860.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.85&CDS=1-600	YML064C
586	OG0000586	snap_masked-NC_012860.1-processed-gene-6.113-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-6.113&CDS=1-768	YLR441C
587	OG0000587	maker-NC_012860.1-snap-gene-6.140-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-6.140&CDS=1-4746	YML072C
588	OG0000588	genemark-NC_012860.1-processed-gene-6.86-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.86&CDS=1-1752	YHR108W
589	OG0000589	genemark-NC_012860.1-processed-gene-6.88-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-6.88&CDS=1-969	YDR204W
590	OG0000590	augustus_masked-NC_012860.1-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-6.29&CDS=1-909	YLR239C
591	OG0000591	genemark-NC_012860.1-processed-gene-7.89-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.89&CDS=1-3243	YDR421W
592	OG0000592	snap_masked-NC_012860.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-7.48&CDS=1-1191	YHR107C
593	OG0000593	genemark-NC_012860.1-processed-gene-7.92-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.92&CDS=1-1692	YDR101C
594	OG0000594	genemark-NC_012860.1-processed-gene-7.114-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.114&CDS=1-1221	YPL138C
595	OG0000595	genemark-NC_012860.1-processed-gene-7.94-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.94&CDS=1-2028	YNL218W
596	OG0000596	maker-NC_012860.1-augustus-gene-7.43-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-7.43&CDS=1-1971	YDR175C
597	OG0000597	genemark-NC_012860.1-processed-gene-7.97-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.97&CDS=1-1881	YDR176W
598	OG0000598	genemark-NC_012860.1-processed-gene-7.115-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.115&CDS=1-1401	YLR163C
599	OG0000599	genemark-NC_012860.1-processed-gene-7.98-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.98&CDS=1-1284	YPR034W
600	OG0000600	augustus_masked-NC_012860.1-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-7.26&CDS=1-1506	YDR036C
601	OG0000601	genemark-NC_012860.1-processed-gene-7.118-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.118&CDS=1-879	YPL094C
602	OG0000602	genemark-NC_012860.1-processed-gene-7.119-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.119&CDS=1-1866	YDR091C
603	OG0000603	genemark-NC_012860.1-processed-gene-7.99-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.99&CDS=1-4218	YER164W
604	OG0000604	genemark-NC_012860.1-processed-gene-7.100-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.100&CDS=1-1881	YER165W
605	OG0000605	genemark-NC_012860.1-processed-gene-7.101-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.101&CDS=1-2664	YDR074W
606	OG0000606	genemark-NC_012860.1-processed-gene-7.103-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.103&CDS=1-1947	YGR068C
607	OG0000607	genemark-NC_012860.1-processed-gene-7.105-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.105&CDS=1-1053	YDR058C
608	OG0000608	snap_masked-NC_012860.1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-7.79&CDS=1-1389	YDR523C
609	OG0000609	genemark-NC_012860.1-processed-gene-7.124-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.124&CDS=1-2880	YDR524C
610	OG0000610	genemark-NC_012860.1-processed-gene-7.106-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.106&CDS=1-879	YJR116W
611	OG0000611	genemark-NC_012860.1-processed-gene-7.107-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.107&CDS=1-621	YFL038C
612	OG0000612	genemark-NC_012860.1-processed-gene-7.108-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.108&CDS=1-1443	YER021W
613	OG0000613	genemark-NC_012860.1-processed-gene-7.109-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.109&CDS=1-1695	YER022W
614	OG0000614	maker-NC_012860.1-augustus-gene-7.45-mRNA-1_1&gene=maker-NC_012860.1-augustus-gene-7.45&CDS=1-1938	YGR255C
615	OG0000615	genemark-NC_012860.1-processed-gene-7.110-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.110&CDS=1-825	YMR149W
616	OG0000616	genemark-NC_012860.1-processed-gene-7.129-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.129&CDS=1-549	YMR150C
617	OG0000617	genemark-NC_012860.1-processed-gene-7.111-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.111&CDS=1-3531	YKL033W
618	OG0000618	genemark-NC_012860.1-processed-gene-7.132-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.132&CDS=1-504	YBR282W
619	OG0000619	genemark-NC_012860.1-processed-gene-7.112-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.112&CDS=1-3483	YNR067C
620	OG0000620	genemark-NC_012860.1-processed-gene-7.113-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-7.113&CDS=1-1269	YDR517W
621	OG0000621	genemark-NC_012860.1-processed-gene-8.41-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.41&CDS=1-3822	YOR188W
622	OG0000622	genemark-NC_012860.1-processed-gene-8.43-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.43&CDS=1-1845	YJR131W
623	OG0000623	genemark-NC_012860.1-processed-gene-8.44-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.44&CDS=1-2841	YML076C
624	OG0000624	genemark-NC_012860.1-processed-gene-8.59-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.59&CDS=1-1767	YJR130C
625	OG0000625	snap_masked-NC_012860.1-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-8.84&CDS=1-1710	YNL167C
626	OG0000626	genemark-NC_012860.1-processed-gene-8.60-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.60&CDS=1-3195	YLR450W
627	OG0000627	genemark-NC_012860.1-processed-gene-8.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.47&CDS=1-972	YHR062C
628	OG0000628	genemark-NC_012860.1-processed-gene-8.62-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.62&CDS=1-1134	YNL230C
629	OG0000629	genemark-NC_012860.1-processed-gene-8.48-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.48&CDS=1-1119	YNL231C
630	OG0000630	genemark-NC_012860.1-processed-gene-8.63-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.63&CDS=1-966	YNL232W
631	OG0000631	genemark-NC_012860.1-processed-gene-8.64-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.64&CDS=1-5004	YNL233W
632	OG0000632	augustus_masked-NC_012860.1-processed-gene-8.26-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-8.26&CDS=1-1752	YNL234W
633	OG0000633	augustus_masked-NC_012860.1-processed-gene-8.12-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-8.12&CDS=1-561	YMR059W
634	OG0000634	snap_masked-NC_012860.1-processed-gene-8.105-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-8.105&CDS=1-1176	YLR246W
635	OG0000635	genemark-NC_012860.1-processed-gene-8.55-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.55&CDS=1-915	YNL155W
636	OG0000636	genemark-NC_012860.1-processed-gene-8.71-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.71&CDS=1-1443	YBR199W
637	OG0000637	genemark-NC_012860.1-processed-gene-8.56-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.56&CDS=1-2049	YPL104W
638	OG0000638	genemark-NC_012860.1-processed-gene-8.76-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.76&CDS=1-2130	YJL010C
639	OG0000639	genemark-NC_012860.1-processed-gene-8.78-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.78&CDS=1-1161	YJL031C
640	OG0000640	snap_masked-NC_012860.1-processed-gene-8.96-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-8.96&CDS=1-684	YJL030W
641	OG0000641	genemark-NC_012860.1-processed-gene-8.79-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-8.79&CDS=1-1188	YJL006C
642	OG0000642	genemark-NC_012860.1-processed-gene-9.3-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.3&CDS=1-846	YNL055C
643	OG0000643	genemark-NC_012860.1-processed-gene-9.0-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.0&CDS=1-873	YPR139C
644	OG0000644	genemark-NC_012860.1-processed-gene-9.4-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.4&CDS=1-771	YIR005W
645	OG0000645	genemark-NC_012860.1-processed-gene-9.1-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.1&CDS=1-2472	YMR049C
646	OG0000646	genemark-NC_012860.1-processed-gene-9.6-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.6&CDS=1-846	YMR087W
647	OG0000647	snap_masked-NC_012860.1-processed-gene-9.74-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-9.74&CDS=1-1119	YFL025C
648	OG0000648	snap_masked-NC_012860.1-processed-gene-9.76-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-9.76&CDS=1-1284	YLR314C
649	OG0000649	genemark-NC_012860.1-processed-gene-9.9-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.9&CDS=1-834	YLR421C
650	OG0000650	genemark-NC_012860.1-processed-gene-9.29-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.29&CDS=1-765	YPL067C
651	OG0000651	genemark-NC_012860.1-processed-gene-9.12-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.12&CDS=1-1632	YDL020C
652	OG0000652	genemark-NC_012860.1-processed-gene-9.30-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.30&CDS=1-1095	YMR010W
653	OG0000653	genemark-NC_012860.1-processed-gene-9.33-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.33&CDS=1-588	YER050C
654	OG0000654	genemark-NC_012860.1-processed-gene-9.13-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.13&CDS=1-942	YDL047W
655	OG0000655	genemark-NC_012860.1-processed-gene-9.36-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.36&CDS=1-531	YJR017C
656	OG0000656	genemark-NC_012860.1-processed-gene-9.37-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.37&CDS=1-837	YKL024C
657	OG0000657	snap_masked-NC_012860.1-processed-gene-9.96-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-9.96&CDS=1-4203	YLR425W
658	OG0000658	genemark-NC_012860.1-processed-gene-9.15-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.15&CDS=1-1650	YER065C
659	OG0000659	genemark-NC_012860.1-processed-gene-9.17-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.17&CDS=1-300	YPL046C
660	OG0000660	genemark-NC_012860.1-processed-gene-9.18-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.18&CDS=1-1746	YDR255C
661	OG0000661	genemark-NC_012860.1-processed-gene-9.44-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.44&CDS=1-1392	YDR254W
662	OG0000662	genemark-NC_012860.1-processed-gene-9.45-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.45&CDS=1-828	YEL072W
663	OG0000663	maker-NC_012860.1-snap-gene-9.49-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-9.49&CDS=1-1638	YBL099W
664	OG0000664	genemark-NC_012860.1-processed-gene-9.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-9.47&CDS=1-3489	YIL048W
665	OG0000665	genemark-NC_012860.1-processed-gene-10.0-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.0&CDS=1-1959	YBR204C
666	OG0000666	genemark-NC_012860.1-processed-gene-10.1-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.1&CDS=1-2175	YHL016C
667	OG0000667	genemark-NC_012860.1-processed-gene-10.2-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.2&CDS=1-5439	YBR208C
668	OG0000668	genemark-NC_012860.1-processed-gene-10.18-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.18&CDS=1-588	YLR221C
669	OG0000669	snap_masked-NC_012860.1-processed-gene-10.59-mRNA-1_1&gene=snap_masked-NC_012860.1-processed-gene-10.59&CDS=1-1089	YGR286C
670	OG0000670	genemark-NC_012860.1-processed-gene-10.6-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.6&CDS=1-1167	YAL060W
671	OG0000671	genemark-NC_012860.1-processed-gene-10.21-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.21&CDS=1-2964	YIL047C
672	OG0000672	genemark-NC_012860.1-processed-gene-10.22-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.22&CDS=1-1158	YLR056W
673	OG0000673	genemark-NC_012860.1-processed-gene-10.23-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.23&CDS=1-2637	YGL083W
674	OG0000674	genemark-NC_012860.1-processed-gene-10.7-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.7&CDS=1-672	YPL178W
675	OG0000675	genemark-NC_012860.1-processed-gene-10.9-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.9&CDS=1-2805	YNL287W
676	OG0000676	genemark-NC_012860.1-processed-gene-10.25-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.25&CDS=1-936	YPR079W
677	OG0000677	genemark-NC_012860.1-processed-gene-10.10-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.10&CDS=1-2550	YPR089W
678	OG0000678	genemark-NC_012860.1-processed-gene-10.26-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.26&CDS=1-339	YBR268W
679	OG0000679	genemark-NC_012860.1-processed-gene-10.12-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.12&CDS=1-1188	YBR025C
680	OG0000680	augustus_masked-NC_012860.1-processed-gene-10.109-mRNA-1_1&gene=augustus_masked-NC_012860.1-processed-gene-10.109&CDS=1-4035	YML091C
681	OG0000681	genemark-NC_012860.1-processed-gene-10.31-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.31&CDS=1-1941	YML088W
682	OG0000682	genemark-NC_012860.1-processed-gene-10.14-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.14&CDS=1-3972	YMR012W
683	OG0000683	genemark-NC_012860.1-processed-gene-10.34-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.34&CDS=1-972	YOL002C
684	OG0000684	genemark-NC_012860.1-processed-gene-10.35-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.35&CDS=1-1740	YJL071W
685	OG0000685	maker-NC_012860.1-snap-gene-10.78-mRNA-1_1&gene=maker-NC_012860.1-snap-gene-10.78&CDS=1-612	YJL072C
686	OG0000686	genemark-NC_012860.1-processed-gene-10.37-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-10.37&CDS=1-2328	YOR001W
687	OG0000687	genemark-NC_012860.1-processed-gene-11.38-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.38&CDS=1-1161	YBR267W
688	OG0000688	genemark-NC_012860.1-processed-gene-11.39-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.39&CDS=1-2655	YJL062W
689	OG0000689	genemark-NC_012860.1-processed-gene-11.47-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.47&CDS=1-783	YOR238W
690	OG0000690	genemark-NC_012860.1-processed-gene-11.58-mRNA-1_1&gene=genemark-NC_012860.1-processed-gene-11.58&CDS=1-1110	YBR249C
