	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_blattae
575	OG0000575	YBR110W	genemark-NC_020192-processed-gene-3.114-mRNA-1_1&gene=genemark-NC_020192-processed-gene-3.114&CDS=1-1350
576	OG0000576	YBR111C	genemark-NC_020190-processed-gene-3.56-mRNA-1_1&gene=genemark-NC_020190-processed-gene-3.56&CDS=1-639
577	OG0000577	YBR111W-A	snap_masked-NC_020190-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-3.80&CDS=1-300
578	OG0000578	YBR114W	genemark-NC_020192-processed-gene-3.112-mRNA-1_1&gene=genemark-NC_020192-processed-gene-3.112&CDS=1-2349
579	OG0000579	YBR115C	genemark-NC_020192-processed-gene-3.97-mRNA-1_1&gene=genemark-NC_020192-processed-gene-3.97&CDS=1-4149
580	OG0000580	YBR119W	snap_masked-NC_020187-processed-gene-5.88-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-5.88&CDS=1-930
581	OG0000581	YBR120C	genemark-NC_020190-processed-gene-7.101-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.101&CDS=1-462
582	OG0000582	YBR122C	genemark-NC_020187-processed-gene-5.24-mRNA-1_1&gene=genemark-NC_020187-processed-gene-5.24&CDS=1-612
583	OG0000583	YBR123C	snap_masked-NC_020190-processed-gene-7.35-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-7.35&CDS=1-2313
584	OG0000584	YBR125C	genemark-NC_020190-processed-gene-7.103-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.103&CDS=1-1266
585	OG0000585	YBR126C	genemark-NC_020190-processed-gene-7.104-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.104&CDS=1-1467
586	OG0000586	YBR127C	genemark-NC_020187-processed-gene-5.25-mRNA-1_1&gene=genemark-NC_020187-processed-gene-5.25&CDS=1-1557
587	OG0000587	YBR128C	snap_masked-NC_020187-processed-gene-5.107-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-5.107&CDS=1-1455
588	OG0000588	YBR129C	genemark-NC_020190-processed-gene-7.107-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.107&CDS=1-1593
589	OG0000589	YBR130C	genemark-NC_020190-processed-gene-7.108-mRNA-1_1&gene=genemark-NC_020190-processed-gene-7.108&CDS=1-1413
590	OG0000590	YBR131W	snap_masked-NC_020187-processed-gene-6.3-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-6.3&CDS=1-2547
591	OG0000591	YBR133C	genemark-NC_020187-processed-gene-6.34-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.34&CDS=1-2769
592	OG0000592	YBR135W	snap_masked-NC_020187-processed-gene-5.121-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-5.121&CDS=1-444
593	OG0000593	YBR136W	augustus_masked-NC_020190-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-NC_020190-processed-gene-8.0&CDS=1-7194
594	OG0000594	YBR137W	genemark-NC_020190-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_020190-processed-gene-2.20&CDS=1-540
595	OG0000595	YBR141C	snap_masked-NC_020189-processed-gene-8.113-mRNA-1_1&gene=snap_masked-NC_020189-processed-gene-8.113&CDS=1-975
596	OG0000596	YBR142W	genemark-NC_020189-processed-gene-8.46-mRNA-1_1&gene=genemark-NC_020189-processed-gene-8.46&CDS=1-2226
597	OG0000597	YBR143C	genemark-NC_020190-processed-gene-2.36-mRNA-1_1&gene=genemark-NC_020190-processed-gene-2.36&CDS=1-1323
598	OG0000598	YBR146W	genemark-NC_020190-processed-gene-2.23-mRNA-1_1&gene=genemark-NC_020190-processed-gene-2.23&CDS=1-909
599	OG0000599	YBR151W	genemark-NC_020190-processed-gene-3.42-mRNA-1_1&gene=genemark-NC_020190-processed-gene-3.42&CDS=1-1032
600	OG0000600	YBR152W	snap_masked-NC_020190-processed-gene-3.77-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-3.77&CDS=1-765
601	OG0000601	YBR153W	genemark-NC_020190-processed-gene-3.40-mRNA-1_1&gene=genemark-NC_020190-processed-gene-3.40&CDS=1-738
602	OG0000602	YBR154C	genemark-NC_020190-processed-gene-3.38-mRNA-1_1&gene=genemark-NC_020190-processed-gene-3.38&CDS=1-645
603	OG0000603	YBR155W	genemark-NC_020192-processed-gene-8.155-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.155&CDS=1-1125
604	OG0000604	YBR156C	augustus_masked-NC_020192-processed-gene-8.120-mRNA-1_1&gene=augustus_masked-NC_020192-processed-gene-8.120&CDS=1-1929
605	OG0000605	YBR158W	augustus_masked-NC_020192-processed-gene-8.88-mRNA-1_1&gene=augustus_masked-NC_020192-processed-gene-8.88&CDS=1-1077
606	OG0000606	YBR160W	maker-NC_020192-snap-gene-8.0-mRNA-1_1&gene=maker-NC_020192-snap-gene-8.0&CDS=1-1887
607	OG0000607	YBR162C	genemark-NC_020192-processed-gene-8.190-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.190&CDS=1-1548
608	OG0000608	YBR162W-A	snap_masked-NC_020185-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-1.76&CDS=1-198
609	OG0000609	YBR163W	genemark-NC_020192-processed-gene-8.162-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.162&CDS=1-1752
610	OG0000610	YBR164C	genemark-NC_020189-processed-gene-10.49-mRNA-1_1&gene=genemark-NC_020189-processed-gene-10.49&CDS=1-549
611	OG0000611	YBR165W	augustus_masked-NC_020186-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-10.45&CDS=1-810
612	OG0000612	YBR166C	genemark-NC_020189-processed-gene-10.48-mRNA-1_1&gene=genemark-NC_020189-processed-gene-10.48&CDS=1-1353
613	OG0000613	YBR167C	genemark-NC_020189-processed-gene-10.47-mRNA-1_1&gene=genemark-NC_020189-processed-gene-10.47&CDS=1-408
614	OG0000614	YBR168W	augustus_masked-NC_020186-processed-gene-10.47-mRNA-1_1&gene=augustus_masked-NC_020186-processed-gene-10.47&CDS=1-1890
615	OG0000615	YBR170C	genemark-NC_020192-processed-gene-8.182-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.182&CDS=1-1758
616	OG0000616	YBR171W	genemark-NC_020186-processed-gene-10.11-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.11&CDS=1-690
617	OG0000617	YBR173C	genemark-NC_020186-processed-gene-10.34-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.34&CDS=1-489
618	OG0000618	YBR176W	genemark-NC_020186-processed-gene-10.14-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.14&CDS=1-924
619	OG0000619	YBR179C	genemark-NC_020192-processed-gene-8.179-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.179&CDS=1-2793
620	OG0000620	YBR180W	genemark-NC_020186-processed-gene-10.17-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.17&CDS=1-1824
621	OG0000621	YBR182C	genemark-NC_020186-processed-gene-10.39-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.39&CDS=1-945
622	OG0000622	YBR185C	genemark-NC_020192-processed-gene-8.176-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.176&CDS=1-843
623	OG0000623	YBR186W	snap_masked-NC_020192-processed-gene-8.63-mRNA-1_1&gene=snap_masked-NC_020192-processed-gene-8.63&CDS=1-1641
624	OG0000624	YBR187W	genemark-NC_020192-processed-gene-8.199-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.199&CDS=1-867
625	OG0000625	YBR192W	genemark-NC_020186-processed-gene-10.23-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.23&CDS=1-1158
626	OG0000626	YBR193C	genemark-NC_020192-processed-gene-8.173-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.173&CDS=1-555
627	OG0000627	YBR195C	genemark-NC_020192-processed-gene-8.171-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.171&CDS=1-1257
628	OG0000628	YBR196C	genemark-NC_020192-processed-gene-8.170-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.170&CDS=1-1665
629	OG0000629	YBR198C	genemark-NC_020192-processed-gene-8.168-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.168&CDS=1-2436
630	OG0000630	YBR199W	genemark-NC_020186-processed-gene-10.28-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.28&CDS=1-1491
631	OG0000631	YBR200W	genemark-NC_020192-processed-gene-8.197-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.197&CDS=1-3261
632	OG0000632	YBR201W	snap_masked-NC_020185-processed-gene-1.99-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-1.99&CDS=1-1161
633	OG0000633	YBR202W	genemark-NC_020185-processed-gene-1.23-mRNA-1_1&gene=genemark-NC_020185-processed-gene-1.23&CDS=1-2589
634	OG0000634	YBR203W	augustus_masked-NC_020192-processed-gene-8.127-mRNA-1_1&gene=augustus_masked-NC_020192-processed-gene-8.127&CDS=1-3000
635	OG0000635	YBR204C	augustus_masked-NC_020192-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-NC_020192-processed-gene-8.96&CDS=1-1134
636	OG0000636	YBR207W	genemark-NC_020192-processed-gene-8.192-mRNA-1_1&gene=genemark-NC_020192-processed-gene-8.192&CDS=1-1539
637	OG0000637	YBR212W	genemark-NC_020185-processed-gene-24.19-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.19&CDS=1-1569
638	OG0000638	YBR215W	snap_masked-NC_020185-processed-gene-24.89-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-24.89&CDS=1-1842
639	OG0000639	YBR216C	snap_masked-NC_020185-processed-gene-24.102-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-24.102&CDS=1-2064
640	OG0000640	YBR217W	genemark-NC_020185-processed-gene-24.22-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.22&CDS=1-591
641	OG0000641	YBR220C	genemark-NC_020190-processed-gene-6.70-mRNA-1_1&gene=genemark-NC_020190-processed-gene-6.70&CDS=1-1785
642	OG0000642	YBR221C	genemark-NC_020185-processed-gene-24.35-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.35&CDS=1-1134
643	OG0000643	YBR222C	genemark-NC_020185-processed-gene-24.36-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.36&CDS=1-1626
644	OG0000644	YBR223C	snap_masked-NC_020185-processed-gene-24.91-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-24.91&CDS=1-1698
645	OG0000645	YBR225W	snap_masked-NC_020190-processed-gene-6.95-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-6.95&CDS=1-3789
646	OG0000646	YBR227C	genemark-NC_020190-processed-gene-6.71-mRNA-1_1&gene=genemark-NC_020190-processed-gene-6.71&CDS=1-1566
647	OG0000647	YBR228W	genemark-NC_020190-processed-gene-6.54-mRNA-1_1&gene=genemark-NC_020190-processed-gene-6.54&CDS=1-972
648	OG0000648	YBR229C	genemark-NC_020185-processed-gene-24.37-mRNA-1_1&gene=genemark-NC_020185-processed-gene-24.37&CDS=1-2817
649	OG0000649	YBR230C	snap_masked-NC_020185-processed-gene-24.107-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-24.107&CDS=1-363
650	OG0000650	YBR231C	genemark-NC_020185-processed-gene-3.65-mRNA-1_1&gene=genemark-NC_020185-processed-gene-3.65&CDS=1-921
651	OG0000651	YBR233W	maker-NC_020188-snap-gene-8.2-mRNA-1_1&gene=maker-NC_020188-snap-gene-8.2&CDS=1-1398
652	OG0000652	YBR233W-A	augustus_masked-NC_020185-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-3.120&CDS=1-333
653	OG0000653	YBR234C	genemark-NC_020185-processed-gene-3.63-mRNA-1_1&gene=genemark-NC_020185-processed-gene-3.63&CDS=1-1173
654	OG0000654	YBR235W	genemark-NC_020185-processed-gene-4.52-mRNA-1_1&gene=genemark-NC_020185-processed-gene-4.52&CDS=1-3396
655	OG0000655	YBR236C	genemark-NC_020188-processed-gene-8.43-mRNA-1_1&gene=genemark-NC_020188-processed-gene-8.43&CDS=1-1323
656	OG0000656	YBR237W	genemark-NC_020188-processed-gene-8.28-mRNA-1_1&gene=genemark-NC_020188-processed-gene-8.28&CDS=1-2667
657	OG0000657	YBR238C	genemark-NC_020185-processed-gene-4.71-mRNA-1_1&gene=genemark-NC_020185-processed-gene-4.71&CDS=1-2433
658	OG0000658	YBR239C	genemark-NC_020188-processed-gene-8.46-mRNA-1_1&gene=genemark-NC_020188-processed-gene-8.46&CDS=1-1590
659	OG0000659	YBR241C	genemark-NC_020186-processed-gene-10.41-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.41&CDS=1-1446
660	OG0000660	YBR243C	genemark-NC_020186-processed-gene-10.42-mRNA-1_1&gene=genemark-NC_020186-processed-gene-10.42&CDS=1-1323
661	OG0000661	YBR245C	genemark-NC_020187-processed-gene-9.36-mRNA-1_1&gene=genemark-NC_020187-processed-gene-9.36&CDS=1-3207
662	OG0000662	YBR246W	genemark-NC_020185-processed-gene-4.55-mRNA-1_1&gene=genemark-NC_020185-processed-gene-4.55&CDS=1-1167
663	OG0000663	YBR247C	genemark-NC_020187-processed-gene-9.35-mRNA-1_1&gene=genemark-NC_020187-processed-gene-9.35&CDS=1-1431
664	OG0000664	YBR249C	genemark-NC_020185-processed-gene-4.72-mRNA-1_1&gene=genemark-NC_020185-processed-gene-4.72&CDS=1-1089
665	OG0000665	YBR250W	augustus_masked-NC_020187-processed-gene-9.3-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-9.3&CDS=1-2286
666	OG0000666	YBR251W	maker-NC_020194-snap-gene-3.236-mRNA-1_1&gene=maker-NC_020194-snap-gene-3.236&CDS=1-1572
667	OG0000667	YBR253W	genemark-NC_020194-processed-gene-3.133-mRNA-1_1&gene=genemark-NC_020194-processed-gene-3.133&CDS=1-405
668	OG0000668	YBR254C	snap_masked-NC_020194-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-3.23&CDS=1-531
669	OG0000669	YBR255C-A	maker-NC_020194-snap-gene-3.232-mRNA-1_1&gene=maker-NC_020194-snap-gene-3.232&CDS=1-357
670	OG0000670	YBR255W	augustus_masked-NC_020194-processed-gene-3.210-mRNA-1_1&gene=augustus_masked-NC_020194-processed-gene-3.210&CDS=1-3135
671	OG0000671	YBR256C	genemark-NC_020188-processed-gene-11.67-mRNA-1_1&gene=genemark-NC_020188-processed-gene-11.67&CDS=1-714
672	OG0000672	YBR257W	genemark-NC_020188-processed-gene-12.19-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.19&CDS=1-837
673	OG0000673	YBR258C	snap_masked-NC_020188-processed-gene-12.109-mRNA-1_1&gene=snap_masked-NC_020188-processed-gene-12.109&CDS=1-378
674	OG0000674	YBR260C	augustus_masked-NC_020188-processed-gene-12.70-mRNA-1_1&gene=augustus_masked-NC_020188-processed-gene-12.70&CDS=1-2472
675	OG0000675	YBR261C	genemark-NC_020190-processed-gene-8.40-mRNA-1_1&gene=genemark-NC_020190-processed-gene-8.40&CDS=1-717
676	OG0000676	YBR263W	genemark-NC_020190-processed-gene-8.56-mRNA-1_1&gene=genemark-NC_020190-processed-gene-8.56&CDS=1-1491
677	OG0000677	YBR265W	genemark-NC_020188-processed-gene-12.37-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.37&CDS=1-1176
678	OG0000678	YBR267W	genemark-NC_020190-processed-gene-3.62-mRNA-1_1&gene=genemark-NC_020190-processed-gene-3.62&CDS=1-1326
679	OG0000679	YBR268W	snap_masked-NC_020190-processed-gene-3.99-mRNA-1_1&gene=snap_masked-NC_020190-processed-gene-3.99&CDS=1-345
680	OG0000680	YBR269C	genemark-NC_020188-processed-gene-12.23-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.23&CDS=1-402
681	OG0000681	YBR270C	maker-NC_020188-snap-gene-12.122-mRNA-1_1&gene=maker-NC_020188-snap-gene-12.122&CDS=1-1875
682	OG0000682	YBR271W	genemark-NC_020188-processed-gene-12.35-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.35&CDS=1-1197
683	OG0000683	YBR272C	augustus_masked-NC_020190-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-NC_020190-processed-gene-3.8&CDS=1-1434
684	OG0000684	YBR276C	augustus_masked-NC_020190-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NC_020190-processed-gene-3.28&CDS=1-2058
685	OG0000685	YBR279W	genemark-NC_020187-processed-gene-6.54-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.54&CDS=1-1200
686	OG0000686	YBR280C	genemark-NC_020187-processed-gene-6.42-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.42&CDS=1-1779
687	OG0000687	YBR281C	genemark-NC_020187-processed-gene-6.41-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.41&CDS=1-2688
688	OG0000688	YBR282W	genemark-NC_020187-processed-gene-6.53-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.53&CDS=1-435
689	OG0000689	YBR283C	genemark-NC_020187-processed-gene-6.40-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.40&CDS=1-1479
690	OG0000690	YBR286W	genemark-NC_020187-processed-gene-6.46-mRNA-1_1&gene=genemark-NC_020187-processed-gene-6.46&CDS=1-1629
691	OG0000691	YBR288C	snap_masked-NC_020193-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NC_020193-processed-gene-1.27&CDS=1-1827
692	OG0000692	YBR289W	maker-NC_020193-augustus-gene-1.86-mRNA-1_1&gene=maker-NC_020193-augustus-gene-1.86&CDS=1-3429
693	OG0000693	YBR290W	genemark-NC_020186-processed-gene-15.111-mRNA-1_1&gene=genemark-NC_020186-processed-gene-15.111&CDS=1-1107
694	OG0000694	YBR291C	genemark-NC_020193-processed-gene-1.114-mRNA-1_1&gene=genemark-NC_020193-processed-gene-1.114&CDS=1-891
695	OG0000695	YCL001W	genemark-NC_020188-processed-gene-11.79-mRNA-1_1&gene=genemark-NC_020188-processed-gene-11.79&CDS=1-561
696	OG0000696	YCL002C	genemark-NC_020188-processed-gene-11.60-mRNA-1_1&gene=genemark-NC_020188-processed-gene-11.60&CDS=1-789
697	OG0000697	YCL004W	genemark-NC_020188-processed-gene-11.80-mRNA-1_1&gene=genemark-NC_020188-processed-gene-11.80&CDS=1-1473
698	OG0000698	YCL009C	genemark-NC_020188-processed-gene-11.62-mRNA-1_1&gene=genemark-NC_020188-processed-gene-11.62&CDS=1-924
699	OG0000699	YCL010C	snap_masked-NC_020188-processed-gene-12.76-mRNA-1_1&gene=snap_masked-NC_020188-processed-gene-12.76&CDS=1-1710
700	OG0000700	YCL014W	genemark-NC_020187-processed-gene-2.20-mRNA-1_1&gene=genemark-NC_020187-processed-gene-2.20&CDS=1-6414
701	OG0000701	YCL016C	genemark-NC_020187-processed-gene-2.36-mRNA-1_1&gene=genemark-NC_020187-processed-gene-2.36&CDS=1-1104
702	OG0000702	YCL017C	genemark-NC_020187-processed-gene-2.35-mRNA-1_1&gene=genemark-NC_020187-processed-gene-2.35&CDS=1-1431
703	OG0000703	YCL018W	maker-NC_020187-augustus-gene-3.3-mRNA-1_1&gene=maker-NC_020187-augustus-gene-3.3&CDS=1-1956
704	OG0000704	YCL026C-B	genemark-NC_020185-processed-gene-12.86-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.86&CDS=1-579
705	OG0000705	YCL027W	augustus_masked-NC_020185-processed-gene-12.114-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-12.114&CDS=1-1461
706	OG0000706	YCL029C	augustus_masked-NC_020185-processed-gene-18.50-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-18.50&CDS=1-960
707	OG0000707	YCL031C	genemark-NC_020185-processed-gene-12.81-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.81&CDS=1-894
708	OG0000708	YCL032W	maker-NC_020185-augustus-gene-18.1-mRNA-1_1&gene=maker-NC_020185-augustus-gene-18.1&CDS=1-1011
709	OG0000709	YCL033C	genemark-NC_020185-processed-gene-18.88-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.88&CDS=1-447
710	OG0000710	YCL034W	maker-NC_020185-snap-gene-12.94-mRNA-1_1&gene=maker-NC_020185-snap-gene-12.94&CDS=1-1098
711	OG0000711	YCL037C	genemark-NC_020185-processed-gene-12.78-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.78&CDS=1-1440
712	OG0000712	YCL038C	genemark-NC_020185-processed-gene-12.77-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.77&CDS=1-1704
713	OG0000713	YCL039W	snap_masked-NC_020185-processed-gene-18.28-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-18.28&CDS=1-2706
714	OG0000714	YCL043C	genemark-NC_020185-processed-gene-12.76-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.76&CDS=1-1650
715	OG0000715	YCL044C	genemark-NC_020185-processed-gene-18.113-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.113&CDS=1-1296
716	OG0000716	YCL045C	genemark-NC_020185-processed-gene-18.112-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.112&CDS=1-2160
717	OG0000717	YCL047C	genemark-NC_020185-processed-gene-18.111-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.111&CDS=1-816
718	OG0000718	YCL048W	genemark-NC_020185-processed-gene-18.94-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.94&CDS=1-1674
719	OG0000719	YCL052C	snap_masked-NC_020185-processed-gene-18.29-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-18.29&CDS=1-1209
720	OG0000720	YCL054W	genemark-NC_020185-processed-gene-18.116-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.116&CDS=1-2601
721	OG0000721	YCL055W	genemark-NC_020185-processed-gene-12.57-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.57&CDS=1-1029
722	OG0000722	YCL057C-A	snap_masked-NC_020185-processed-gene-12.25-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-12.25&CDS=1-288
723	OG0000723	YCL057W	augustus_masked-NC_020185-processed-gene-18.78-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-18.78&CDS=1-2223
724	OG0000724	YCL058W-A	genemark-NC_020185-processed-gene-12.55-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.55&CDS=1-339
725	OG0000725	YCL059C	genemark-NC_020185-processed-gene-12.70-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.70&CDS=1-948
726	OG0000726	YCL061C	genemark-NC_020185-processed-gene-18.97-mRNA-1_1&gene=genemark-NC_020185-processed-gene-18.97&CDS=1-3750
727	OG0000727	YCL064C	genemark-NC_020185-processed-gene-12.69-mRNA-1_1&gene=genemark-NC_020185-processed-gene-12.69&CDS=1-1080
728	OG0000728	YCL074W	snap_masked-NC_020188-processed-gene-11.94-mRNA-1_1&gene=snap_masked-NC_020188-processed-gene-11.94&CDS=1-1875
729	OG0000729	YCR002C	genemark-NC_020188-processed-gene-10.73-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.73&CDS=1-981
730	OG0000730	YCR003W	genemark-NC_020187-processed-gene-1.74-mRNA-1_1&gene=genemark-NC_020187-processed-gene-1.74&CDS=1-564
731	OG0000731	YCR004C	genemark-NC_020187-processed-gene-1.64-mRNA-1_1&gene=genemark-NC_020187-processed-gene-1.64&CDS=1-810
732	OG0000732	YCR008W	snap_masked-NC_020187-processed-gene-1.110-mRNA-1_1&gene=snap_masked-NC_020187-processed-gene-1.110&CDS=1-1710
733	OG0000733	YCR009C	genemark-NC_020188-processed-gene-10.75-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.75&CDS=1-798
734	OG0000734	YCR011C	genemark-NC_020188-processed-gene-10.77-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.77&CDS=1-3432
735	OG0000735	YCR012W	genemark-NC_020188-processed-gene-10.64-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.64&CDS=1-1248
736	OG0000736	YCR014C	genemark-NC_020188-processed-gene-10.78-mRNA-1_1&gene=genemark-NC_020188-processed-gene-10.78&CDS=1-1839
737	OG0000737	YCR015C	augustus_masked-NC_020187-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-2.61&CDS=1-876
738	OG0000738	YCR016W	genemark-NC_020188-processed-gene-12.1-mRNA-1_1&gene=genemark-NC_020188-processed-gene-12.1&CDS=1-888
739	OG0000739	YCR017C	augustus_masked-NC_020187-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-NC_020187-processed-gene-2.62&CDS=1-3042
740	OG0000740	YCR020C-A	augustus_masked-NC_020185-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-3.92&CDS=1-309
741	OG0000741	YCR020W-B	snap_masked-NC_020185-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_020185-processed-gene-3.31&CDS=1-219
742	OG0000742	YCR023C	maker-NC_020185-snap-gene-3.1-mRNA-1_1&gene=maker-NC_020185-snap-gene-3.1&CDS=1-3561
743	OG0000743	YCR024C	genemark-NC_020185-processed-gene-3.58-mRNA-1_1&gene=genemark-NC_020185-processed-gene-3.58&CDS=1-1524
744	OG0000744	YCR027C	maker-NC_020185-snap-gene-3.0-mRNA-1_1&gene=maker-NC_020185-snap-gene-3.0&CDS=1-915
745	OG0000745	YCR028C	genemark-NC_020188-processed-gene-7.94-mRNA-1_1&gene=genemark-NC_020188-processed-gene-7.94&CDS=1-1548
746	OG0000746	YCR030C	genemark-NC_020194-processed-gene-2.111-mRNA-1_1&gene=genemark-NC_020194-processed-gene-2.111&CDS=1-2652
747	OG0000747	YCR032W	snap_masked-NC_020188-processed-gene-7.8-mRNA-1_1&gene=snap_masked-NC_020188-processed-gene-7.8&CDS=1-6936
748	OG0000748	YCR033W	genemark-NC_020194-processed-gene-2.94-mRNA-1_1&gene=genemark-NC_020194-processed-gene-2.94&CDS=1-5247
749	OG0000749	YCR034W	genemark-NC_020194-processed-gene-2.95-mRNA-1_1&gene=genemark-NC_020194-processed-gene-2.95&CDS=1-1068
750	OG0000750	YCR035C	snap_masked-NC_020194-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NC_020194-processed-gene-3.3&CDS=1-1200
751	OG0000751	YCR036W	genemark-NC_020194-processed-gene-1.54-mRNA-1_1&gene=genemark-NC_020194-processed-gene-1.54&CDS=1-1020
752	OG0000752	YCR042C	maker-NC_020185-snap-gene-13.86-mRNA-1_1&gene=maker-NC_020185-snap-gene-13.86&CDS=1-4479
753	OG0000753	YCR043C	genemark-NC_020185-processed-gene-13.66-mRNA-1_1&gene=genemark-NC_020185-processed-gene-13.66&CDS=1-381
754	OG0000754	YCR044C	genemark-NC_020185-processed-gene-13.64-mRNA-1_1&gene=genemark-NC_020185-processed-gene-13.64&CDS=1-1065
755	OG0000755	YCR045C	maker-NC_020190-snap-gene-9.196-mRNA-1_1&gene=maker-NC_020190-snap-gene-9.196&CDS=1-1920
756	OG0000756	YCR046C	augustus_masked-NC_020185-processed-gene-16.58-mRNA-1_1&gene=augustus_masked-NC_020185-processed-gene-16.58&CDS=1-486
757	OG0000757	YCR047C	genemark-NC_020190-processed-gene-9.106-mRNA-1_1&gene=genemark-NC_020190-processed-gene-9.106&CDS=1-816
