	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034661_Dipodascus_albidus
247	OG0000247	YBR089C-A, YPR052C	genemark-flattened_line_26-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.29&CDS=1-300
248	OG0000248	YBR104W, YPR058W	genemark-flattened_line_8-processed-gene-2.3-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.3&CDS=1-897
249	OG0000249	YBR117C, YPR074C	maker-flattened_line_42-augustus-gene-1.51-mRNA-1_1&gene=maker-flattened_line_42-augustus-gene-1.51&CDS=1-3516
250	OG0000250	YBR139W	genemark-flattened_line_16-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.110&CDS=1-1524, genemark-flattened_line_206-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_206-processed-gene-0.33&CDS=1-1539
251	OG0000251	YBR156C	augustus_masked-flattened_line_30-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.46&CDS=1-2733, snap_masked-flattened_line_0-processed-gene-7.227-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.227&CDS=1-2994
252	OG0000252	YBR161W, YPL057C	genemark-flattened_line_88-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.86&CDS=1-1107
253	OG0000253	YBR167C	augustus_masked-flattened_line_42-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-1.80&CDS=1-567, augustus_masked-flattened_line_92-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.91&CDS=1-414
254	OG0000254	YBR169C, YPL106C	genemark-flattened_line_88-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.55&CDS=1-2079
255	OG0000255	YBR182C, YPL089C	genemark-flattened_line_116-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.159&CDS=1-1392
256	OG0000256	YBR189W, YPL081W	maker-flattened_line_78-snap-gene-0.116-mRNA-1_1&gene=maker-flattened_line_78-snap-gene-0.116&CDS=1-1032
257	OG0000257	YBR199W	augustus_masked-flattened_line_60-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.114&CDS=1-1362, genemark-flattened_line_6-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.110&CDS=1-1188
258	OG0000258	YBR200W	genemark-flattened_line_12-processed-gene-1.60-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.60&CDS=1-1515, genemark-flattened_line_20-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.70&CDS=1-1800
259	OG0000259	YBR203W	augustus_masked-flattened_line_176-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_176-processed-gene-0.49&CDS=1-1203, snap_masked-flattened_line_14-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.162&CDS=1-1566
260	OG0000260	YBR214W, YGL056C	genemark-flattened_line_60-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.166&CDS=1-1317
261	OG0000261	YBR241C, YGL104C	maker-flattened_line_34-snap-gene-1.7-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.7&CDS=1-1254
262	OG0000262	YBR242W, YGL101W	genemark-flattened_line_34-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.163&CDS=1-675
263	OG0000263	YBR247C	genemark-flattened_line_108-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.44&CDS=1-1230, genemark-flattened_line_164-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_164-processed-gene-0.95&CDS=1-1329
264	OG0000264	YBR260C	genemark-flattened_line_48-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.29&CDS=1-2202, genemark-flattened_line_58-processed-gene-0.194-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.194&CDS=1-1806
265	OG0000265	YBR273C, YJL048C	augustus_masked-flattened_line_6-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.90&CDS=1-495
266	OG0000266	YBR276C	genemark-flattened_line_0-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.117&CDS=1-2820, snap_masked-flattened_line_56-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.126&CDS=1-1746
267	OG0000267	YBR289W	genemark-flattened_line_188-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.87&CDS=1-2469, genemark-flattened_line_32-processed-gene-1.144-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.144&CDS=1-1857
268	OG0000268	YBR296C	genemark-flattened_line_154-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_154-processed-gene-0.39&CDS=1-1725, genemark-flattened_line_92-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.14&CDS=1-1734
269	OG0000269	YCL014W	augustus_masked-flattened_line_2-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.18&CDS=1-3396, snap_masked-flattened_line_136-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.44&CDS=1-3741
270	OG0000270	YCL029C	augustus_masked-flattened_line_38-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.69&CDS=1-2001, genemark-flattened_line_54-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.38&CDS=1-1650
271	OG0000271	YCL032W	genemark-flattened_line_132-processed-gene-0.142-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.142&CDS=1-1068, genemark-flattened_line_64-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.21&CDS=1-1443
272	OG0000272	YCL034W	genemark-flattened_line_28-processed-gene-1.12-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.12&CDS=1-279, maker-flattened_line_24-augustus-gene-1.11-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.11&CDS=1-1518
273	OG0000273	YCL035C, YDR513W	snap_masked-flattened_line_94-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.92&CDS=1-399
274	OG0000274	YCL040W, YDR516C	genemark-flattened_line_4-processed-gene-2.76-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.76&CDS=1-1347
275	OG0000275	YCL050C, YDR530C	augustus_masked-flattened_line_0-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.81&CDS=1-873
276	OG0000276	YCR002C	genemark-flattened_line_14-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.63&CDS=1-1032, genemark-flattened_line_52-processed-gene-0.222-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.222&CDS=1-987
277	OG0000277	YCR009C	genemark-flattened_line_114-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.135&CDS=1-810, genemark-flattened_line_36-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.38&CDS=1-786
278	OG0000278	YCR026C, YEL016C	augustus_masked-flattened_line_14-processed-gene-1.259-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.259&CDS=1-2037
279	OG0000279	YCR031C, YJL191W	genemark-flattened_line_184-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.6&CDS=1-432
280	OG0000280	YCR033W	genemark-flattened_line_106-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.146&CDS=1-2862, genemark-flattened_line_14-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.103&CDS=1-5040
281	OG0000281	YCR061W	genemark-flattened_line_2-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.126&CDS=1-1941, genemark-flattened_line_82-processed-gene-0.170-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.170&CDS=1-1764
282	OG0000282	YCR067C, YNR026C	snap_masked-flattened_line_86-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.103&CDS=1-1317
283	OG0000283	YCR091W	genemark-flattened_line_172-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.88&CDS=1-2547, genemark-flattened_line_42-processed-gene-1.29-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.29&CDS=1-1410
284	OG0000284	YDL017W	augustus_masked-flattened_line_116-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.52&CDS=1-1803, genemark-flattened_line_158-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_158-processed-gene-0.99&CDS=1-1266
285	OG0000285	YDL020C	augustus_masked-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.58&CDS=1-846, snap_masked-flattened_line_56-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.104&CDS=1-789
286	OG0000286	YDL022W	genemark-flattened_line_172-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.95&CDS=1-1083, genemark-flattened_line_24-processed-gene-1.241-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.241&CDS=1-1095
287	OG0000287	YDL028C	genemark-flattened_line_136-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_136-processed-gene-0.22&CDS=1-2757, genemark-flattened_line_36-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.83&CDS=1-2763
288	OG0000288	YDL042C, YOL068C	genemark-flattened_line_20-processed-gene-1.195-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.195&CDS=1-1800
289	OG0000289	YDL046W	genemark-flattened_line_152-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.106&CDS=1-540, genemark-flattened_line_208-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.49&CDS=1-510
290	OG0000290	YDL048C, YLR375W	genemark-flattened_line_112-processed-gene-0.114-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.114&CDS=1-1077
291	OG0000291	YDL052C	genemark-flattened_line_152-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.97&CDS=1-798, genemark-flattened_line_40-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.113&CDS=1-783
292	OG0000292	YDL054C	genemark-flattened_line_42-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.133&CDS=1-1494, snap_masked-flattened_line_60-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.13&CDS=1-1428
293	OG0000293	YDL066W	genemark-flattened_line_0-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.101&CDS=1-1236, genemark-flattened_line_20-processed-gene-1.188-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.188&CDS=1-1305
294	OG0000294	YDL075W, YLR406C	genemark-flattened_line_6-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.94&CDS=1-357
295	OG0000295	YDL076C	augustus_masked-flattened_line_0-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.115&CDS=1-1116, snap_masked-flattened_line_56-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.66&CDS=1-723
296	OG0000296	YDL082W, YMR142C	genemark-flattened_line_46-processed-gene-0.200-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.200&CDS=1-606
297	OG0000297	YDL083C, YMR143W	genemark-flattened_line_58-processed-gene-0.174-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.174&CDS=1-441
298	OG0000298	YDL088C, YMR153W	augustus_masked-flattened_line_156-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.48&CDS=1-1833
299	OG0000299	YDL091C	genemark-flattened_line_0-processed-gene-5.4-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.4&CDS=1-1497, snap_masked-flattened_line_56-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.96&CDS=1-1527
300	OG0000300	YDL095W	genemark-flattened_line_0-processed-gene-7.3-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.3&CDS=1-2991, genemark-flattened_line_42-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.135&CDS=1-2514
301	OG0000301	YDL109C, YGL144C	genemark-flattened_line_24-processed-gene-1.189-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.189&CDS=1-2670
302	OG0000302	YDL117W	genemark-flattened_line_198-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_198-processed-gene-0.26&CDS=1-3015, genemark-flattened_line_6-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.79&CDS=1-3114
303	OG0000303	YDL128W	genemark-flattened_line_210-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_210-processed-gene-0.57&CDS=1-1212, genemark-flattened_line_36-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.86&CDS=1-1275
304	OG0000304	YDL133W	genemark-flattened_line_100-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.135&CDS=1-984, genemark-flattened_line_116-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.151&CDS=1-1296
305	OG0000305	YDL136W, YDL191W	genemark-flattened_line_28-processed-gene-1.20-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.20&CDS=1-366
306	OG0000306	YDL141W	augustus_masked-flattened_line_22-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.20&CDS=1-2064, genemark-flattened_line_188-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.79&CDS=1-2073
307	OG0000307	YDL146W	genemark-flattened_line_108-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.14&CDS=1-1641, genemark-flattened_line_72-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.175&CDS=1-1545
308	OG0000308	YDL155W	genemark-flattened_line_26-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.34&CDS=1-1383, genemark-flattened_line_72-processed-gene-0.160-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.160&CDS=1-1161
309	OG0000309	YDL168W	genemark-flattened_line_0-processed-gene-2.31-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.31&CDS=1-1131, genemark-flattened_line_100-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.151&CDS=1-1140
310	OG0000310	YDL175C, YIL079C	genemark-flattened_line_210-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_210-processed-gene-0.40&CDS=1-1029
311	OG0000311	YDL198C	genemark-flattened_line_20-processed-gene-1.205-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.205&CDS=1-912, genemark-flattened_line_30-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.83&CDS=1-906
312	OG0000312	YDL204W, YDR233C	snap_masked-flattened_line_2-processed-gene-1.174-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.174&CDS=1-1191
313	OG0000313	YDL205C	genemark-flattened_line_186-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_186-processed-gene-0.71&CDS=1-1110, genemark-flattened_line_4-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.24&CDS=1-1164
314	OG0000314	YDL206W	genemark-flattened_line_156-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_156-processed-gene-0.109&CDS=1-2436, genemark-flattened_line_2-processed-gene-6.196-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.196&CDS=1-2244
315	OG0000315	YDL222C, YNL194C	genemark-flattened_line_12-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.55&CDS=1-876
316	OG0000316	YDL230W	genemark-flattened_line_8-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.48&CDS=1-930, snap_masked-flattened_line_0-processed-gene-7.233-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.233&CDS=1-1131
317	OG0000317	YDL240W	genemark-flattened_line_10-processed-gene-2.19-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.19&CDS=1-3345, genemark-flattened_line_126-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_126-processed-gene-0.108&CDS=1-3207
318	OG0000318	YDL246C, YJR159W	genemark-flattened_line_4-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.69&CDS=1-1059
319	OG0000319	YDR006C	snap_masked-flattened_line_102-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.106&CDS=1-1539, snap_masked-flattened_line_182-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_182-processed-gene-0.26&CDS=1-1419
320	OG0000320	YDR017C	augustus_masked-flattened_line_42-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-1.69&CDS=1-1629, genemark-flattened_line_231-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_231-processed-gene-0.19&CDS=1-2280
321	OG0000321	YDR032C	genemark-flattened_line_14-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.24&CDS=1-609, genemark-flattened_line_26-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.10&CDS=1-603
322	OG0000322	YDR036C	genemark-flattened_line_12-processed-gene-1.49-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.49&CDS=1-1380, genemark-flattened_line_2-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.74&CDS=1-1422
323	OG0000323	YDR062W	genemark-flattened_line_24-processed-gene-1.220-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.220&CDS=1-1734, genemark-flattened_line_4-processed-gene-1.31-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.31&CDS=1-1809
324	OG0000324	YDR066C, YER139C	augustus_masked-flattened_line_0-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.57&CDS=1-792
325	OG0000325	YDR074W	genemark-flattened_line_214-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.12&CDS=1-2670, genemark-flattened_line_30-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.119&CDS=1-2439
326	OG0000326	YDR080W	augustus_masked-flattened_line_22-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.123&CDS=1-2661, genemark-flattened_line_56-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.47&CDS=1-3027
327	OG0000327	YDR081C	maker-flattened_line_22-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-0.40&CDS=1-1821, snap_masked-flattened_line_92-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.115&CDS=1-2700
328	OG0000328	YDR098C, YER174C	genemark-flattened_line_36-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.101&CDS=1-768
329	OG0000329	YDR099W, YER177W	genemark-flattened_line_6-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.121&CDS=1-792
330	OG0000330	YDR103W	genemark-flattened_line_172-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.80&CDS=1-3165, snap_masked-flattened_line_24-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.133&CDS=1-2646
331	OG0000331	YDR109C	genemark-flattened_line_0-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.18&CDS=1-1749, genemark-flattened_line_34-processed-gene-1.169-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.169&CDS=1-1671
332	OG0000332	YDR122W, YLR096W	genemark-flattened_line_202-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_202-processed-gene-0.57&CDS=1-2826
333	OG0000333	YDR137W	augustus_masked-flattened_line_44-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.116&CDS=1-1140, genemark-flattened_line_10-processed-gene-2.46-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.46&CDS=1-2373
334	OG0000334	YDR146C, YLR131C	genemark-flattened_line_4-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.74&CDS=1-2532
335	OG0000335	YDR151C, YLR136C	genemark-flattened_line_160-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.9&CDS=1-1077
336	OG0000336	YDR169C	augustus_masked-flattened_line_14-processed-gene-1.243-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.243&CDS=1-519, genemark-flattened_line_2-processed-gene-6.215-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.215&CDS=1-1341
337	OG0000337	YDR170C	genemark-flattened_line_28-processed-gene-1.2-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.2&CDS=1-5874, genemark-flattened_line_8-processed-gene-2.19-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.19&CDS=1-5781
338	OG0000338	YDR182W	genemark-flattened_line_14-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.69&CDS=1-1665, genemark-flattened_line_26-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.6&CDS=1-1647
339	OG0000339	YDR213W, YLR228C	genemark-flattened_line_90-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.37&CDS=1-1302
340	OG0000340	YDR245W	genemark-flattened_line_186-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_186-processed-gene-0.76&CDS=1-1077, genemark-flattened_line_4-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.7&CDS=1-1089
341	OG0000341	YDR251W, YPL032C	augustus_masked-flattened_line_64-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.93&CDS=1-2199
342	OG0000342	YDR252W, YPL037C	genemark-flattened_line_144-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.8&CDS=1-462
343	OG0000343	YDR256C	genemark-flattened_line_34-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.99&CDS=1-1482, genemark-flattened_line_86-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.127&CDS=1-1458
344	OG0000344	YDR263C, YOR033C	genemark-flattened_line_168-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.12&CDS=1-2022
345	OG0000345	YDR264C, YOR034C	genemark-flattened_line_24-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.33&CDS=1-2088
346	OG0000346	YDR272W, YOR040W	genemark-flattened_line_72-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.179&CDS=1-771
347	OG0000347	YDR284C	genemark-flattened_line_146-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.99&CDS=1-828, genemark-flattened_line_28-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.101&CDS=1-876
348	OG0000348	YDR300C, YHR033W	genemark-flattened_line_38-processed-gene-1.31-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.31&CDS=1-1395
349	OG0000349	YDR312W, YHR066W	genemark-flattened_line_26-processed-gene-1.21-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.21&CDS=1-1239
350	OG0000350	YDR313C	genemark-flattened_line_16-processed-gene-1.257-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.257&CDS=1-699, genemark-flattened_line_26-processed-gene-1.22-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.22&CDS=1-669
351	OG0000351	YDR349C	snap_masked-flattened_line_10-processed-gene-2.85-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.85&CDS=1-1467, snap_masked-flattened_line_42-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.64&CDS=1-1665
352	OG0000352	YDR358W, YHR108W	genemark-flattened_line_104-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.138&CDS=1-1728
353	OG0000353	YDR371W	genemark-flattened_line_32-processed-gene-1.157-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.157&CDS=1-1209, genemark-flattened_line_50-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.40&CDS=1-1332
354	OG0000354	YDR374C	genemark-flattened_line_154-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_154-processed-gene-0.29&CDS=1-1362, snap_masked-flattened_line_18-processed-gene-1.221-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.221&CDS=1-927
355	OG0000355	YDR382W	genemark-flattened_line_48-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.27&CDS=1-492, genemark-flattened_line_58-processed-gene-0.226-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.226&CDS=1-387
356	OG0000356	YDR385W, YOR133W	genemark-flattened_line_4-processed-gene-2.82-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.82&CDS=1-2526
357	OG0000357	YDR389W, YOR134W	maker-flattened_line_10-snap-gene-1.79-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.79&CDS=1-2391
358	OG0000358	YDR403W	genemark-flattened_line_243-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_243-processed-gene-0.12&CDS=1-1578, genemark-flattened_line_4-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.34&CDS=1-2193
359	OG0000359	YDR407C	genemark-flattened_line_32-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.83&CDS=1-3504, snap_masked-flattened_line_4-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.49&CDS=1-3687
360	OG0000360	YDR418W, YEL054C	genemark-flattened_line_219-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_219-processed-gene-0.9&CDS=1-495
361	OG0000361	YDR432W	augustus_masked-flattened_line_56-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.189&CDS=1-954, snap_masked-flattened_line_0-processed-gene-5.72-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.72&CDS=1-1056
