	OrthologID	Lachancea_waltii	Saccharomyces_cerevisiae
287	OG0000287	snap_masked-AADM01000001.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.78&CDS=1-741	YJL035C
288	OG0000288	snap_masked-AADM01000001.1-processed-gene-0.94-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.94&CDS=1-1263	YJL036W
289	OG0000289	snap_masked-AADM01000001.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-AADM01000001.1-processed-gene-0.95&CDS=1-1374	YLR015W
290	OG0000290	genemark-AADM01000001.1-processed-gene-0.14-mRNA-1_1&gene=genemark-AADM01000001.1-processed-gene-0.14&CDS=1-2610	YLR014C
291	OG0000291	snap_masked-AADM01000002.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.15&CDS=1-960	YOR100C
292	OG0000292	snap_masked-AADM01000002.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.24&CDS=1-1161	YOR099W
293	OG0000293	snap_masked-AADM01000002.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.17&CDS=1-768	YOR095C
294	OG0000294	augustus_masked-AADM01000002.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-AADM01000002.1-processed-gene-0.12&CDS=1-552	YOR094W
295	OG0000295	snap_masked-AADM01000002.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.18&CDS=1-4851	YOR093C
296	OG0000296	augustus_masked-AADM01000002.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000002.1-processed-gene-0.4&CDS=1-1644	YOR092W
297	OG0000297	snap_masked-AADM01000002.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.20&CDS=1-1725	YNL094W
298	OG0000298	snap_masked-AADM01000002.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.29&CDS=1-1011	YOR091W
299	OG0000299	genemark-AADM01000002.1-processed-gene-0.38-mRNA-1_1&gene=genemark-AADM01000002.1-processed-gene-0.38&CDS=1-1536	YOR090C
300	OG0000300	snap_masked-AADM01000002.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.22&CDS=1-633	YOR089C
301	OG0000301	snap_masked-AADM01000002.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000002.1-processed-gene-0.30&CDS=1-2031	YOR087W
302	OG0000302	genemark-AADM01000002.1-processed-gene-0.40-mRNA-1_1&gene=genemark-AADM01000002.1-processed-gene-0.40&CDS=1-3375	YNL091W
303	OG0000303	snap_masked-AADM01000003.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.1&CDS=1-4305	YNL088W
304	OG0000304	augustus_masked-AADM01000003.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-AADM01000003.1-processed-gene-0.51&CDS=1-3780	YOR086C
305	OG0000305	snap_masked-AADM01000003.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.15&CDS=1-1044	YOR085W
306	OG0000306	snap_masked-AADM01000003.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.4&CDS=1-2382	YNL085W
307	OG0000307	augustus_masked-AADM01000003.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-AADM01000003.1-processed-gene-0.53&CDS=1-1581	YIL142W
308	OG0000308	augustus_masked-AADM01000003.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-AADM01000003.1-processed-gene-0.64&CDS=1-1200	YNL084C
309	OG0000309	snap_masked-AADM01000003.1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.6&CDS=1-2487	YIL140W
310	OG0000310	snap_masked-AADM01000003.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.7&CDS=1-1545	YNL083W
311	OG0000311	snap_masked-AADM01000003.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.17&CDS=1-729	YIL139C
312	OG0000312	snap_masked-AADM01000003.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.8&CDS=1-2703	YNL082W
313	OG0000313	snap_masked-AADM01000003.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.18&CDS=1-447	YNL081C
314	OG0000314	snap_masked-AADM01000003.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.19&CDS=1-1053	YNL080C
315	OG0000315	maker-AADM01000003.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000003.1-snap-gene-0.0&CDS=1-483	YNL079C
316	OG0000316	genemark-AADM01000003.1-processed-gene-0.45-mRNA-1_1&gene=genemark-AADM01000003.1-processed-gene-0.45&CDS=1-1362	YNL077W
317	OG0000317	snap_masked-AADM01000003.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.9&CDS=1-2697	YIL137C
318	OG0000318	snap_masked-AADM01000003.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.22&CDS=1-1317	YNL078W
319	OG0000319	snap_masked-AADM01000003.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.10&CDS=1-1632	YIL136W
320	OG0000320	snap_masked-AADM01000003.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.11&CDS=1-1764	YNL076W
321	OG0000321	snap_masked-AADM01000003.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-AADM01000003.1-processed-gene-0.12&CDS=1-849	YNL075W
322	OG0000322	augustus_masked-AADM01000004.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-AADM01000004.1-processed-gene-0.1&CDS=1-978	YDR214W
323	OG0000323	maker-AADM01000004.1-snap-gene-0.21-mRNA-1_1&gene=maker-AADM01000004.1-snap-gene-0.21&CDS=1-2157	YDR213W
324	OG0000324	snap_masked-AADM01000004.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-AADM01000004.1-processed-gene-0.16&CDS=1-1677	YDR212W
325	OG0000325	augustus_masked-AADM01000004.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-AADM01000004.1-processed-gene-0.4&CDS=1-573	YLR229C
326	OG0000326	snap_masked-AADM01000004.1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-AADM01000004.1-processed-gene-0.18&CDS=1-2169	YDR211W
327	OG0000327	snap_masked-AADM01000004.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000004.1-processed-gene-0.20&CDS=1-2034	YDR208W
328	OG0000328	snap_masked-AADM01000005.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.28&CDS=1-1386	YLR231C
329	OG0000329	snap_masked-AADM01000005.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.19&CDS=1-1833	YDR207C
330	OG0000330	snap_masked-AADM01000005.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.29&CDS=1-2451	YDR206W
331	OG0000331	snap_masked-AADM01000005.1-processed-gene-0.20-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.20&CDS=1-1878	YLR234W
332	OG0000332	snap_masked-AADM01000005.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.30&CDS=1-2040	YDR205W
333	OG0000333	snap_masked-AADM01000005.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.31&CDS=1-987	YDR204W
334	OG0000334	snap_masked-AADM01000005.1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.22&CDS=1-1020	YDR202C
335	OG0000335	augustus_masked-AADM01000005.1-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-AADM01000005.1-processed-gene-0.49&CDS=1-480	YDR201W
336	OG0000336	augustus_masked-AADM01000005.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-AADM01000005.1-processed-gene-0.40&CDS=1-1356	YDR200C
337	OG0000337	snap_masked-AADM01000005.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.32&CDS=1-975	YLR239C
338	OG0000338	snap_masked-AADM01000005.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.24&CDS=1-1386	YDR198C
339	OG0000339	snap_masked-AADM01000005.1-processed-gene-0.33-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.33&CDS=1-1092	YDR197W
340	OG0000340	snap_masked-AADM01000005.1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.25&CDS=1-696	YDR196C
341	OG0000341	snap_masked-AADM01000005.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.34&CDS=1-1329	YDR195W
342	OG0000342	snap_masked-AADM01000005.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000005.1-processed-gene-0.26&CDS=1-2028	YDR194C
343	OG0000343	snap_masked-AADM01000006.1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.24&CDS=1-846	YLR240W
344	OG0000344	augustus_masked-AADM01000006.1-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-AADM01000006.1-processed-gene-0.43&CDS=1-2352	YLR241W
345	OG0000345	snap_masked-AADM01000006.1-processed-gene-0.34-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.34&CDS=1-900	YLR242C
346	OG0000346	augustus_masked-AADM01000006.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-AADM01000006.1-processed-gene-0.44&CDS=1-1641	YDR192C
347	OG0000347	snap_masked-AADM01000006.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.27&CDS=1-813	YLR243W
348	OG0000348	snap_masked-AADM01000006.1-processed-gene-0.35-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.35&CDS=1-1167	YDR191W
349	OG0000349	snap_masked-AADM01000006.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.28&CDS=1-1377	YDR190C
350	OG0000350	augustus_masked-AADM01000006.1-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-AADM01000006.1-processed-gene-0.54&CDS=1-4629	YDR188W
351	OG0000351	augustus_masked-AADM01000006.1-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-AADM01000006.1-processed-gene-0.55&CDS=1-441	YLR245C
352	OG0000352	snap_masked-AADM01000006.1-processed-gene-0.29-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.29&CDS=1-2139	YDR186C
353	OG0000353	genemark-AADM01000006.1-processed-gene-0.8-mRNA-1_1&gene=genemark-AADM01000006.1-processed-gene-0.8&CDS=1-1059	YLR246W
354	OG0000354	snap_masked-AADM01000006.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.30&CDS=1-702	YLR168C
355	OG0000355	snap_masked-AADM01000006.1-processed-gene-0.31-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.31&CDS=1-831	YDR184C
356	OG0000356	snap_masked-AADM01000006.1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.40&CDS=1-633	YDR183W
357	OG0000357	snap_masked-AADM01000006.1-processed-gene-0.32-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.32&CDS=1-2445	YLR166C
358	OG0000358	snap_masked-AADM01000006.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-AADM01000006.1-processed-gene-0.41&CDS=1-1422	YDR182W
359	OG0000359	augustus_masked-AADM01000006.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-AADM01000006.1-processed-gene-0.51&CDS=1-759	YDR181C
360	OG0000360	snap_masked-AADM01000007.1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.123&CDS=1-4374	YDR180W
361	OG0000361	snap_masked-AADM01000007.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.124&CDS=1-1242	YDR179W-A
362	OG0000362	snap_masked-AADM01000007.1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.100&CDS=1-486	YDR179C
363	OG0000363	snap_masked-AADM01000007.1-processed-gene-0.101-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.101&CDS=1-1374	YLR163C
364	OG0000364	genemark-AADM01000007.1-processed-gene-0.28-mRNA-1_1&gene=genemark-AADM01000007.1-processed-gene-0.28&CDS=1-2025	YDR176W
365	OG0000365	snap_masked-AADM01000007.1-processed-gene-0.102-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.102&CDS=1-903	YDR175C
366	OG0000366	snap_masked-AADM01000007.1-processed-gene-0.126-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.126&CDS=1-753	YDR174W
367	OG0000367	snap_masked-AADM01000007.1-processed-gene-0.103-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.103&CDS=1-990	YDR173C
368	OG0000368	snap_masked-AADM01000007.1-processed-gene-0.128-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.128&CDS=1-2157	YDR172W
369	OG0000369	snap_masked-AADM01000007.1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.129&CDS=1-1032	YDR171W
370	OG0000370	snap_masked-AADM01000007.1-processed-gene-0.104-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.104&CDS=1-5385	YDR170C
371	OG0000371	snap_masked-AADM01000007.1-processed-gene-0.105-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.105&CDS=1-1128	YGL148W
372	OG0000372	snap_masked-AADM01000007.1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.106&CDS=1-2649	YDL117W
373	OG0000373	augustus_masked-AADM01000007.1-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-AADM01000007.1-processed-gene-0.56&CDS=1-2178	YDL116W
374	OG0000374	maker-AADM01000007.1-snap-gene-0.97-mRNA-1_1&gene=maker-AADM01000007.1-snap-gene-0.97&CDS=1-972	YDL115C
375	OG0000375	snap_masked-AADM01000007.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.132&CDS=1-1842	YDL113C
376	OG0000376	snap_masked-AADM01000007.1-processed-gene-0.108-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.108&CDS=1-4188	YDL112W
377	OG0000377	snap_masked-AADM01000007.1-processed-gene-0.133-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.133&CDS=1-789	YDL111C
378	OG0000378	snap_masked-AADM01000007.1-processed-gene-0.134-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.134&CDS=1-774	YGL146C
379	OG0000379	snap_masked-AADM01000007.1-processed-gene-0.135-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.135&CDS=1-459	YDL110C
380	OG0000380	snap_masked-AADM01000007.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.109&CDS=1-2016	YGL145W
381	OG0000381	maker-AADM01000007.1-snap-gene-0.98-mRNA-1_1&gene=maker-AADM01000007.1-snap-gene-0.98&CDS=1-3126	YGL144C
382	OG0000382	snap_masked-AADM01000007.1-processed-gene-0.110-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.110&CDS=1-924	YDL108W
383	OG0000383	snap_masked-AADM01000007.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.111&CDS=1-1035	YDL107W
384	OG0000384	augustus_masked-AADM01000007.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-AADM01000007.1-processed-gene-0.87&CDS=1-1800	YGL142C
385	OG0000385	snap_masked-AADM01000007.1-processed-gene-0.112-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.112&CDS=1-2724	YGL141W
386	OG0000386	snap_masked-AADM01000007.1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.113&CDS=1-2064	YLR381W
387	OG0000387	snap_masked-AADM01000007.1-processed-gene-0.114-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.114&CDS=1-1506	YMR171C
388	OG0000388	snap_masked-AADM01000007.1-processed-gene-0.140-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.140&CDS=1-1398	YDL106C
389	OG0000389	snap_masked-AADM01000007.1-processed-gene-0.116-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.116&CDS=1-1737	YMR168C
390	OG0000390	snap_masked-AADM01000007.1-processed-gene-0.142-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.142&CDS=1-2157	YMR167W
391	OG0000391	snap_masked-AADM01000007.1-processed-gene-0.117-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.117&CDS=1-1176	YDL105W
392	OG0000392	augustus_masked-AADM01000007.1-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-AADM01000007.1-processed-gene-0.91&CDS=1-963	YDL104C
393	OG0000393	augustus_masked-AADM01000007.1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-AADM01000007.1-processed-gene-0.66&CDS=1-1155	YMR166C
394	OG0000394	snap_masked-AADM01000007.1-processed-gene-0.119-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.119&CDS=1-2367	YMR165C
395	OG0000395	snap_masked-AADM01000007.1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.120&CDS=1-1689	YMR164C
396	OG0000396	snap_masked-AADM01000007.1-processed-gene-0.121-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.121&CDS=1-2052	YMR163C
397	OG0000397	snap_masked-AADM01000007.1-processed-gene-0.143-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.143&CDS=1-1413	YDL103C
398	OG0000398	snap_masked-AADM01000007.1-processed-gene-0.122-mRNA-1_1&gene=snap_masked-AADM01000007.1-processed-gene-0.122&CDS=1-4791	YMR162C
399	OG0000399	snap_masked-AADM01000008.1-processed-gene-0.49-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.49&CDS=1-3285	YDL102W
400	OG0000400	snap_masked-AADM01000008.1-processed-gene-0.59-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.59&CDS=1-1497	YDL101C
401	OG0000401	augustus_masked-AADM01000008.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-AADM01000008.1-processed-gene-0.13&CDS=1-2235	YMR160W
402	OG0000402	snap_masked-AADM01000008.1-processed-gene-0.50-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.50&CDS=1-363	YMR159C
403	OG0000403	snap_masked-AADM01000008.1-processed-gene-0.61-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.61&CDS=1-1047	YDL100C
404	OG0000404	snap_masked-AADM01000008.1-processed-gene-0.51-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.51&CDS=1-999	YDL099W
405	OG0000405	snap_masked-AADM01000008.1-processed-gene-0.62-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.62&CDS=1-465	YMR158W
406	OG0000406	snap_masked-AADM01000008.1-processed-gene-0.52-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.52&CDS=1-684	YMR157C
407	OG0000407	snap_masked-AADM01000008.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.63&CDS=1-564	YDL098C
408	OG0000408	snap_masked-AADM01000008.1-processed-gene-0.53-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.53&CDS=1-696	YMR156C
409	OG0000409	snap_masked-AADM01000008.1-processed-gene-0.64-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.64&CDS=1-1266	YDL097C
410	OG0000410	snap_masked-AADM01000008.1-processed-gene-0.54-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.54&CDS=1-2499	YDL095W
411	OG0000411	snap_masked-AADM01000008.1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.65&CDS=1-1899	YMR155W
412	OG0000412	snap_masked-AADM01000008.1-processed-gene-0.55-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.55&CDS=1-405	YDL092W
413	OG0000413	snap_masked-AADM01000008.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.66&CDS=1-1281	YDL091C
414	OG0000414	snap_masked-AADM01000008.1-processed-gene-0.67-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.67&CDS=1-1248	YDL090C
415	OG0000415	snap_masked-AADM01000008.1-processed-gene-0.68-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.68&CDS=1-897	YHL034C
416	OG0000416	snap_masked-AADM01000008.1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.56&CDS=1-4176	YBR115C
417	OG0000417	snap_masked-AADM01000008.1-processed-gene-0.69-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.69&CDS=1-2304	YBR114W
418	OG0000418	snap_masked-AADM01000008.1-processed-gene-0.57-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.57&CDS=1-2406	YBR112C
419	OG0000419	snap_masked-AADM01000008.1-processed-gene-0.58-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.58&CDS=1-627	YBR111C
420	OG0000420	snap_masked-AADM01000008.1-processed-gene-0.72-mRNA-1_1&gene=snap_masked-AADM01000008.1-processed-gene-0.72&CDS=1-1281	YPR070W
421	OG0000421	snap_masked-AADM01000009.1-processed-gene-0.8-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.8&CDS=1-882	YPR069C
422	OG0000422	snap_masked-AADM01000009.1-processed-gene-0.9-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.9&CDS=1-1419	YPR068C
423	OG0000423	snap_masked-AADM01000009.1-processed-gene-0.21-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.21&CDS=1-1341	YBR110W
424	OG0000424	snap_masked-AADM01000009.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.10&CDS=1-441	YBR109C
425	OG0000425	augustus_masked-AADM01000009.1-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.75&CDS=1-2280	YBR108W
426	OG0000426	augustus_masked-AADM01000009.1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.76&CDS=1-1884	YBR106W
427	OG0000427	augustus_masked-AADM01000009.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.77&CDS=1-561	YPR101W
428	OG0000428	augustus_masked-AADM01000009.1-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.67&CDS=1-945	YGR084C
429	OG0000429	snap_masked-AADM01000009.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.14&CDS=1-1293	YLR392C
430	OG0000430	snap_masked-AADM01000009.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.15&CDS=1-1836	YGR083C
431	OG0000431	snap_masked-AADM01000009.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.26&CDS=1-426	YPR100W
432	OG0000432	maker-AADM01000009.1-snap-gene-0.0-mRNA-1_1&gene=maker-AADM01000009.1-snap-gene-0.0&CDS=1-483	YPR098C
433	OG0000433	snap_masked-AADM01000009.1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.27&CDS=1-582	YGR082W
434	OG0000434	snap_masked-AADM01000009.1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.17&CDS=1-573	YGR081C
435	OG0000435	snap_masked-AADM01000009.1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.28&CDS=1-2973	YPR097W
436	OG0000436	augustus_masked-AADM01000009.1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.72&CDS=1-2934	YPR095C
437	OG0000437	augustus_masked-AADM01000009.1-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.81&CDS=1-966	YGR080W
438	OG0000438	snap_masked-AADM01000009.1-processed-gene-0.30-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.30&CDS=1-717	YGR079W
439	OG0000439	snap_masked-AADM01000009.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-AADM01000009.1-processed-gene-0.19&CDS=1-2409	YPR091C
440	OG0000440	augustus_masked-AADM01000009.1-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-AADM01000009.1-processed-gene-0.83&CDS=1-2055	YBR136W
441	OG0000441	snap_masked-AADM01000010.1-processed-gene-0.167-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.167&CDS=1-327	YBR135W
442	OG0000442	snap_masked-AADM01000010.1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.129&CDS=1-2427	YBR133C
443	OG0000443	snap_masked-AADM01000010.1-processed-gene-0.168-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.168&CDS=1-2352	YPR089W
444	OG0000444	augustus_masked-AADM01000010.1-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-AADM01000010.1-processed-gene-0.69&CDS=1-1728	YBR132C
445	OG0000445	augustus_masked-AADM01000010.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-AADM01000010.1-processed-gene-0.102&CDS=1-1902	YBR131W
446	OG0000446	snap_masked-AADM01000010.1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.132&CDS=1-1584	YPR088C
447	OG0000447	snap_masked-AADM01000010.1-processed-gene-0.133-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.133&CDS=1-1269	YBR130C
448	OG0000448	augustus_masked-AADM01000010.1-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-AADM01000010.1-processed-gene-0.73&CDS=1-1041	YBR129C
449	OG0000449	snap_masked-AADM01000010.1-processed-gene-0.135-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.135&CDS=1-1242	YPR085C
450	OG0000450	snap_masked-AADM01000010.1-processed-gene-0.170-mRNA-1_1&gene=snap_masked-AADM01000010.1-processed-gene-0.170&CDS=1-1389	YPR084W
