	OrthologID	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
682	OG0000682	snap_masked-mar-_s102-processed-gene-1.31-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.31&CDS=1-1362	YMR026C
683	OG0000683	snap_masked-mar-_s102-processed-gene-1.8-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.8&CDS=1-1308	YIL033C
684	OG0000684	snap_masked-mar-_s102-processed-gene-1.9-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.9&CDS=1-435	YER044C
685	OG0000685	snap_masked-mar-_s102-processed-gene-1.36-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.36&CDS=1-3144	YNL014W
686	OG0000686	snap_masked-mar-_s102-processed-gene-1.39-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.39&CDS=1-525	YCR046C
687	OG0000687	snap_masked-mar-_s102-processed-gene-1.40-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.40&CDS=1-804	YCR047C
688	OG0000688	snap_masked-mar-_s102-processed-gene-1.42-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.42&CDS=1-687	YNR020C
689	OG0000689	snap_masked-mar-_s102-processed-gene-1.13-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.13&CDS=1-648	YCR051W
690	OG0000690	snap_masked-mar-_s102-processed-gene-1.14-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.14&CDS=1-1044	YNR021W
691	OG0000691	snap_masked-mar-_s102-processed-gene-1.15-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.15&CDS=1-996	YHR040W
692	OG0000692	snap_masked-mar-_s102-processed-gene-1.16-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.16&CDS=1-687	YOR319W
693	OG0000693	snap_masked-mar-_s102-processed-gene-1.17-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.17&CDS=1-1428	YNR023W
694	OG0000694	maker-mar-_s102-augustus-gene-1.157-mRNA-1_1&gene=maker-mar-_s102-augustus-gene-1.157&CDS=1-2529	YLL028W
695	OG0000695	snap_masked-mar-_s102-processed-gene-1.47-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.47&CDS=1-5061	YLR247C
696	OG0000696	snap_masked-mar-_s102-processed-gene-1.20-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.20&CDS=1-723	YNL010W
697	OG0000697	augustus_masked-mar-_s102-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-1.152&CDS=1-336	YGL070C
698	OG0000698	snap_masked-mar-_s102-processed-gene-1.22-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.22&CDS=1-513	YGL068W
699	OG0000699	augustus_masked-mar-_s102-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-1.128&CDS=1-738	YKL206C
700	OG0000700	snap_masked-mar-_s102-processed-gene-1.50-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.50&CDS=1-1569	YDL178W
701	OG0000701	snap_masked-mar-_s102-processed-gene-1.51-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.51&CDS=1-444	YDL177C
702	OG0000702	snap_masked-mar-_s102-processed-gene-1.26-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.26&CDS=1-393	YKL170W
703	OG0000703	snap_masked-mar-_s102-processed-gene-1.27-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-1.27&CDS=1-2175	YIL078W
704	OG0000704	augustus_masked-mar-_s102-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-1.134&CDS=1-2202	YOR022C
705	OG0000705	augustus_masked-mar-_s102-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-1.156&CDS=1-618	YOR021C
706	OG0000706	snap_masked-mar-_s102-processed-gene-2.0-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.0&CDS=1-681	YDR408C
707	OG0000707	snap_masked-mar-_s102-processed-gene-2.4-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.4&CDS=1-1095	YOR136W
708	OG0000708	snap_masked-mar-_s102-processed-gene-2.5-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.5&CDS=1-1134	YDL168W
709	OG0000709	snap_masked-mar-_s102-processed-gene-2.6-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.6&CDS=1-1011	YDR214W
710	OG0000710	snap_masked-mar-_s102-processed-gene-2.30-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.30&CDS=1-807	YOR157C
711	OG0000711	snap_masked-mar-_s102-processed-gene-2.31-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.31&CDS=1-315	YMR244C-A
712	OG0000712	snap_masked-mar-_s102-processed-gene-2.8-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.8&CDS=1-1137	YDR321W
713	OG0000713	snap_masked-mar-_s102-processed-gene-2.32-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.32&CDS=1-2094	YOR317W
714	OG0000714	augustus_masked-mar-_s102-processed-gene-2.146-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-2.146&CDS=1-2028	YMR108W
715	OG0000715	snap_masked-mar-_s102-processed-gene-2.36-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.36&CDS=1-1128	YDR282C
716	OG0000716	augustus_masked-mar-_s102-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-2.123&CDS=1-2049	YKL104C
717	OG0000717	maker-mar-_s102-augustus-gene-2.165-mRNA-1_1&gene=maker-mar-_s102-augustus-gene-2.165&CDS=1-228	YIL156W-B
718	OG0000718	maker-mar-_s102-snap-gene-2.51-mRNA-1_1&gene=maker-mar-_s102-snap-gene-2.51&CDS=1-1992	YKL139W
719	OG0000719	snap_masked-mar-_s102-processed-gene-2.12-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.12&CDS=1-1269	YER020W
720	OG0000720	snap_masked-mar-_s102-processed-gene-2.37-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.37&CDS=1-1854	YML017W
721	OG0000721	snap_masked-mar-_s102-processed-gene-2.39-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.39&CDS=1-1137	YHR068W
722	OG0000722	snap_masked-mar-_s102-processed-gene-2.41-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.41&CDS=1-1365	YML007W
723	OG0000723	snap_masked-mar-_s102-processed-gene-2.42-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.42&CDS=1-2322	YEL053C
724	OG0000724	snap_masked-mar-_s102-processed-gene-2.14-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.14&CDS=1-1131	YML008C
725	OG0000725	maker-mar-_s102-augustus-gene-2.166-mRNA-1_1&gene=maker-mar-_s102-augustus-gene-2.166&CDS=1-3252	YDR324C
726	OG0000726	snap_masked-mar-_s102-processed-gene-2.46-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.46&CDS=1-1365	YCL032W
727	OG0000727	snap_masked-mar-_s102-processed-gene-2.17-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.17&CDS=1-2076	YLR361C
728	OG0000728	snap_masked-mar-_s102-processed-gene-2.19-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.19&CDS=1-2238	YKL171W
729	OG0000729	snap_masked-mar-_s102-processed-gene-2.20-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.20&CDS=1-447	YFL017C
730	OG0000730	snap_masked-mar-_s102-processed-gene-2.48-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.48&CDS=1-2496	YFL013C
731	OG0000731	augustus_masked-mar-_s102-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-2.135&CDS=1-1797	YJL163C
732	OG0000732	snap_masked-mar-_s102-processed-gene-2.23-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.23&CDS=1-1956	YGR216C
733	OG0000733	augustus_masked-mar-_s102-processed-gene-2.162-mRNA-1_1&gene=augustus_masked-mar-_s102-processed-gene-2.162&CDS=1-1158	YLR328W
734	OG0000734	snap_masked-mar-_s102-processed-gene-2.28-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.28&CDS=1-909	YMR099C
735	OG0000735	snap_masked-mar-_s102-processed-gene-2.29-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.29&CDS=1-1422	YKL004W
736	OG0000736	snap_masked-mar-_s102-processed-gene-2.50-mRNA-1_1&gene=snap_masked-mar-_s102-processed-gene-2.50&CDS=1-360	YKL003C
737	OG0000737	augustus_masked-mar-_s103-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s103-processed-gene-0.6&CDS=1-912	YJR008W
738	OG0000738	snap_masked-mar-_s103-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s103-processed-gene-0.15&CDS=1-900	YJR007W
739	OG0000739	snap_masked-mar-_s103-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mar-_s103-processed-gene-0.18&CDS=1-1584	YOR161C
740	OG0000740	snap_masked-mar-_s103-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s103-processed-gene-0.19&CDS=1-1092	YHR012W
741	OG0000741	augustus_masked-mar-_s103-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mar-_s103-processed-gene-0.12&CDS=1-615	YDL165W
742	OG0000742	snap_masked-mar-_s106-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.75&CDS=1-1656	YIL166C
743	OG0000743	snap_masked-mar-_s106-processed-gene-0.110-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.110&CDS=1-1431	YBR180W
744	OG0000744	snap_masked-mar-_s106-processed-gene-0.111-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.111&CDS=1-1461	YDR402C
745	OG0000745	snap_masked-mar-_s106-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.77&CDS=1-1689	YLL035W
746	OG0000746	snap_masked-mar-_s106-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.79&CDS=1-1521	YNL142W
747	OG0000747	snap_masked-mar-_s106-processed-gene-0.81-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.81&CDS=1-708	YPL213W
748	OG0000748	snap_masked-mar-_s106-processed-gene-0.82-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.82&CDS=1-4785	YGL131C
749	OG0000749	snap_masked-mar-_s106-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.83&CDS=1-1386	YGL130W
750	OG0000750	snap_masked-mar-_s106-processed-gene-0.113-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.113&CDS=1-390	YNL153C
751	OG0000751	snap_masked-mar-_s106-processed-gene-0.114-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.114&CDS=1-1251	YGR111W
752	OG0000752	snap_masked-mar-_s106-processed-gene-0.116-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.116&CDS=1-1677	YDR536W
753	OG0000753	snap_masked-mar-_s106-processed-gene-0.117-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.117&CDS=1-1845	YLR023C
754	OG0000754	snap_masked-mar-_s106-processed-gene-0.119-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.119&CDS=1-2808	YPR097W
755	OG0000755	augustus_masked-mar-_s106-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-mar-_s106-processed-gene-0.148&CDS=1-1800	YNR053C
756	OG0000756	snap_masked-mar-_s106-processed-gene-0.120-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.120&CDS=1-1524	YNR052C
757	OG0000757	snap_masked-mar-_s106-processed-gene-0.123-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.123&CDS=1-1809	YPR190C
758	OG0000758	snap_masked-mar-_s106-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.87&CDS=1-4170	YPR189W
759	OG0000759	snap_masked-mar-_s106-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.88&CDS=1-2244	YPR185W
760	OG0000760	snap_masked-mar-_s106-processed-gene-0.89-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.89&CDS=1-1473	YEL052W
761	OG0000761	snap_masked-mar-_s106-processed-gene-0.90-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.90&CDS=1-1716	YGR002C
762	OG0000762	snap_masked-mar-_s106-processed-gene-0.91-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.91&CDS=1-2508	YAR002W
763	OG0000763	augustus_masked-mar-_s106-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-mar-_s106-processed-gene-0.155&CDS=1-1050	YGL001C
764	OG0000764	snap_masked-mar-_s106-processed-gene-0.125-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.125&CDS=1-846	YGR280C
765	OG0000765	snap_masked-mar-_s106-processed-gene-0.126-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.126&CDS=1-3660	YAL001C
766	OG0000766	snap_masked-mar-_s106-processed-gene-0.95-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.95&CDS=1-714	YGR001C
767	OG0000767	maker-mar-_s106-snap-gene-0.68-mRNA-1_1&gene=maker-mar-_s106-snap-gene-0.68&CDS=1-630	YAL003W
768	OG0000768	snap_masked-mar-_s106-processed-gene-0.97-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.97&CDS=1-1932	YER005W
769	OG0000769	snap_masked-mar-_s106-processed-gene-0.99-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.99&CDS=1-1533	YER006W
770	OG0000770	augustus_masked-mar-_s106-processed-gene-0.162-mRNA-1_1&gene=augustus_masked-mar-_s106-processed-gene-0.162&CDS=1-1467	YER007W
771	OG0000771	augustus_masked-mar-_s106-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-mar-_s106-processed-gene-0.189&CDS=1-543	YER007C-A
772	OG0000772	snap_masked-mar-_s106-processed-gene-0.131-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.131&CDS=1-3189	YIR002C
773	OG0000773	augustus_masked-mar-_s106-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-mar-_s106-processed-gene-0.192&CDS=1-2841	YOR005C
774	OG0000774	genemark-mar-_s107-processed-gene-0.1-mRNA-1_1&gene=genemark-mar-_s107-processed-gene-0.1&CDS=1-2994	YBR289W
775	OG0000775	snap_masked-mar-_s107-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mar-_s107-processed-gene-0.28&CDS=1-1455	YMR210W
776	OG0000776	snap_masked-mar-_s113-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s113-processed-gene-0.12&CDS=1-849	YJR102C
777	OG0000777	snap_masked-mar-_s113-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mar-_s113-processed-gene-0.13&CDS=1-1725	YBL039C
778	OG0000778	snap_masked-mar-_s113-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s113-processed-gene-0.16&CDS=1-927	YJR088C
779	OG0000779	augustus_masked-mar-_s114-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s114-processed-gene-0.0&CDS=1-852	YHR187W
780	OG0000780	snap_masked-mar-_s114-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s114-processed-gene-0.8&CDS=1-1770	YHR188C
781	OG0000781	snap_masked-mar-_s116-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mar-_s116-processed-gene-0.6&CDS=1-2064	YCL057W
782	OG0000782	snap_masked-mar-_s116-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s116-processed-gene-0.21&CDS=1-1962	YBR121C
783	OG0000783	snap_masked-mar-_s116-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mar-_s116-processed-gene-0.23&CDS=1-1887	YHR078W
784	OG0000784	snap_masked-mar-_s116-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s116-processed-gene-0.8&CDS=1-723	YDR296W
785	OG0000785	augustus_masked-mar-_s116-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mar-_s116-processed-gene-0.59&CDS=1-1437	YKL145W
786	OG0000786	augustus_masked-mar-_s116-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-mar-_s116-processed-gene-0.67&CDS=1-588	YKL144C
787	OG0000787	snap_masked-mar-_s117-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.12&CDS=1-1176	YAL012W
788	OG0000788	snap_masked-mar-_s117-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.3&CDS=1-3375	YGL006W
789	OG0000789	snap_masked-mar-_s117-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.14&CDS=1-744	YGL005C
790	OG0000790	augustus_masked-mar-_s117-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-0.25&CDS=1-576	YIL127C
791	OG0000791	snap_masked-mar-_s117-processed-gene-0.16-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.16&CDS=1-3177	YIL128W
792	OG0000792	snap_masked-mar-_s117-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.5&CDS=1-8250	YIL129C
793	OG0000793	augustus_masked-mar-_s117-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-0.27&CDS=1-1110	YOR091W
794	OG0000794	augustus_masked-mar-_s117-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-0.40&CDS=1-2070	YNL094W
795	OG0000795	snap_masked-mar-_s117-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.7&CDS=1-1809	YHR114W
796	OG0000796	snap_masked-mar-_s117-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.8&CDS=1-789	YOR095C
797	OG0000797	snap_masked-mar-_s117-processed-gene-0.9-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.9&CDS=1-1782	YGL119W
798	OG0000798	snap_masked-mar-_s117-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.10&CDS=1-3045	YGL140C
799	OG0000799	snap_masked-mar-_s117-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-0.11&CDS=1-1656	YNL083W
800	OG0000800	snap_masked-mar-_s117-processed-gene-1.105-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.105&CDS=1-2685	YNL082W
801	OG0000801	snap_masked-mar-_s117-processed-gene-1.108-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.108&CDS=1-1143	YNL092W
802	OG0000802	augustus_masked-mar-_s117-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-1.6&CDS=1-1512	YOR089C
803	OG0000803	snap_masked-mar-_s117-processed-gene-1.138-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.138&CDS=1-1239	YNL207W
804	OG0000804	snap_masked-mar-_s117-processed-gene-1.139-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.139&CDS=1-2232	YNL118C
805	OG0000805	snap_masked-mar-_s117-processed-gene-1.115-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.115&CDS=1-843	YLR393W
806	OG0000806	snap_masked-mar-_s117-processed-gene-1.117-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.117&CDS=1-1689	YOR090C
807	OG0000807	snap_masked-mar-_s117-processed-gene-1.118-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.118&CDS=1-3636	YLR398C
808	OG0000808	augustus_masked-mar-_s117-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-1.15&CDS=1-2295	YLR397C
809	OG0000809	augustus_masked-mar-_s117-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-1.35&CDS=1-876	YDL065C
810	OG0000810	snap_masked-mar-_s117-processed-gene-1.121-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.121&CDS=1-474	YDL064W
811	OG0000811	snap_masked-mar-_s117-processed-gene-1.141-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.141&CDS=1-1362	YJL155C
812	OG0000812	snap_masked-mar-_s117-processed-gene-1.122-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.122&CDS=1-2331	YJL156C
813	OG0000813	snap_masked-mar-_s117-processed-gene-1.142-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.142&CDS=1-1917	YDL063C
814	OG0000814	maker-mar-_s117-augustus-gene-1.0-mRNA-1_1&gene=maker-mar-_s117-augustus-gene-1.0&CDS=1-3633	YDL060W
815	OG0000815	snap_masked-mar-_s117-processed-gene-1.126-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.126&CDS=1-2832	YLR386W
816	OG0000816	snap_masked-mar-_s117-processed-gene-1.127-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.127&CDS=1-1470	YDR376W
817	OG0000817	snap_masked-mar-_s117-processed-gene-1.145-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.145&CDS=1-984	YJR107W
818	OG0000818	snap_masked-mar-_s117-processed-gene-1.146-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.146&CDS=1-255	YKL053C-A
819	OG0000819	snap_masked-mar-_s117-processed-gene-1.130-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.130&CDS=1-3702	YMR218C
820	OG0000820	snap_masked-mar-_s117-processed-gene-1.131-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.131&CDS=1-1902	YGL110C
821	OG0000821	snap_masked-mar-_s117-processed-gene-1.148-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.148&CDS=1-1323	YOL062C
822	OG0000822	snap_masked-mar-_s117-processed-gene-1.133-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.133&CDS=1-3183	YDL215C
823	OG0000823	augustus_masked-mar-_s117-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-1.28&CDS=1-1032	YBR246W
824	OG0000824	snap_masked-mar-_s117-processed-gene-1.150-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.150&CDS=1-1911	YLR337C
825	OG0000825	snap_masked-mar-_s117-processed-gene-1.151-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.151&CDS=1-507	YDL120W
826	OG0000826	snap_masked-mar-_s117-processed-gene-1.137-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-1.137&CDS=1-795	YIL093C
827	OG0000827	snap_masked-mar-_s117-processed-gene-2.2-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.2&CDS=1-1893	YOL060C
828	OG0000828	snap_masked-mar-_s117-processed-gene-2.4-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.4&CDS=1-1623	YKR051W
829	OG0000829	snap_masked-mar-_s117-processed-gene-2.30-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.30&CDS=1-1185	YJL131C
830	OG0000830	snap_masked-mar-_s117-processed-gene-2.31-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.31&CDS=1-1590	YNL240C
831	OG0000831	snap_masked-mar-_s117-processed-gene-2.5-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.5&CDS=1-2484	YIL130W
832	OG0000832	snap_masked-mar-_s117-processed-gene-2.32-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.32&CDS=1-2250	YOR112W
833	OG0000833	snap_masked-mar-_s117-processed-gene-2.6-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.6&CDS=1-912	YLR283W
834	OG0000834	snap_masked-mar-_s117-processed-gene-2.8-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.8&CDS=1-306	YBR268W
835	OG0000835	snap_masked-mar-_s117-processed-gene-2.35-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.35&CDS=1-2454	YPR089W
836	OG0000836	augustus_masked-mar-_s117-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-mar-_s117-processed-gene-2.129&CDS=1-852	YPR079W
837	OG0000837	snap_masked-mar-_s117-processed-gene-2.36-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.36&CDS=1-2808	YNL287W
838	OG0000838	snap_masked-mar-_s117-processed-gene-2.38-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.38&CDS=1-1923	YML088W
839	OG0000839	snap_masked-mar-_s117-processed-gene-2.10-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.10&CDS=1-3897	YMR012W
840	OG0000840	snap_masked-mar-_s117-processed-gene-2.40-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.40&CDS=1-921	YML125C
841	OG0000841	maker-mar-_s117-snap-gene-2.59-mRNA-1_1&gene=maker-mar-_s117-snap-gene-2.59&CDS=1-1344	YML085C
842	OG0000842	snap_masked-mar-_s117-processed-gene-2.42-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.42&CDS=1-1341	YML126C
843	OG0000843	snap_masked-mar-_s117-processed-gene-2.45-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.45&CDS=1-4515	YOR093C
844	OG0000844	snap_masked-mar-_s117-processed-gene-2.46-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.46&CDS=1-300	YOL108C
845	OG0000845	snap_masked-mar-_s117-processed-gene-2.13-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.13&CDS=1-345	YPR166C
846	OG0000846	snap_masked-mar-_s117-processed-gene-2.48-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.48&CDS=1-807	YPL064C
847	OG0000847	snap_masked-mar-_s117-processed-gene-2.15-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.15&CDS=1-2442	YPR029C
848	OG0000848	maker-mar-_s117-snap-gene-2.60-mRNA-1_1&gene=maker-mar-_s117-snap-gene-2.60&CDS=1-525	YPR028W
849	OG0000849	maker-mar-_s117-snap-gene-2.61-mRNA-1_1&gene=maker-mar-_s117-snap-gene-2.61&CDS=1-1323	YKL082C
850	OG0000850	snap_masked-mar-_s117-processed-gene-2.16-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.16&CDS=1-1119	YKL080W
851	OG0000851	snap_masked-mar-_s117-processed-gene-2.18-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.18&CDS=1-555	YDL200C
852	OG0000852	snap_masked-mar-_s117-processed-gene-2.20-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.20&CDS=1-798	YER026C
853	OG0000853	snap_masked-mar-_s117-processed-gene-2.21-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.21&CDS=1-1428	YPL063W
854	OG0000854	snap_masked-mar-_s117-processed-gene-2.23-mRNA-1_1&gene=snap_masked-mar-_s117-processed-gene-2.23&CDS=1-2340	YOR017W
