	OrthologID	Pachysolen_tannophilus	Saccharomyces_cerevisiae
618	OG0000618	augustus_masked-scaffold_1-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.91&CDS=1-1482	YMR293C
619	OG0000619	augustus_masked-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.65&CDS=1-1389	YLR015W
620	OG0000620	augustus_masked-scaffold_1-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.92&CDS=1-822	YLR007W
621	OG0000621	augustus_masked-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.67&CDS=1-2571	YGR171C
622	OG0000622	augustus_masked-scaffold_1-processed-gene-2.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.93&CDS=1-1545	YJR006W
623	OG0000623	maker-scaffold_1-augustus-gene-2.174-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.174&CDS=1-2010	YHR171W
624	OG0000624	augustus_masked-scaffold_1-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.95&CDS=1-1599	YHR170W
625	OG0000625	augustus_masked-scaffold_1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.68&CDS=1-2019	YGR246C
626	OG0000626	augustus_masked-scaffold_1-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.69&CDS=1-1842	YDR292C
627	OG0000627	maker-scaffold_1-augustus-gene-2.170-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.170&CDS=1-1572	YER006W
628	OG0000628	snap_masked-scaffold_1-processed-gene-2.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.129&CDS=1-1239	YPL060W
629	OG0000629	genemark-scaffold_1-processed-gene-2.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.42&CDS=1-2325	YPR161C
630	OG0000630	augustus_masked-scaffold_1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.98&CDS=1-1284	YGL196W
631	OG0000631	snap_masked-scaffold_1-processed-gene-2.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.155&CDS=1-2127	YPL104W
632	OG0000632	augustus_masked-scaffold_1-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.76&CDS=1-438	YBR173C
633	OG0000633	augustus_masked-scaffold_1-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.102&CDS=1-1704	YBR171W
634	OG0000634	augustus_masked-scaffold_1-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.78&CDS=1-897	YNL284C
635	OG0000635	genemark-scaffold_1-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.49&CDS=1-735	YGL018C
636	OG0000636	augustus_masked-scaffold_1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.80&CDS=1-783	YPR133C
637	OG0000637	augustus_masked-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.82&CDS=1-1068	YPR128C
638	OG0000638	augustus_masked-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.105&CDS=1-600	YPR131C
639	OG0000639	augustus_masked-scaffold_1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.106&CDS=1-1014	YPR129W
640	OG0000640	augustus_masked-scaffold_1-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.107&CDS=1-987	YIL021W
641	OG0000641	augustus_masked-scaffold_1-processed-gene-2.108-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.108&CDS=1-906	YIL020C
642	OG0000642	augustus_masked-scaffold_1-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.84&CDS=1-1041	YIL019W
643	OG0000643	augustus_masked-scaffold_1-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.109&CDS=1-2871	YPR135W
644	OG0000644	augustus_masked-scaffold_1-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.87&CDS=1-1050	YEL009C
645	OG0000645	augustus_masked-scaffold_1-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.110&CDS=1-1641	YER065C
646	OG0000646	augustus_masked-scaffold_1-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.89&CDS=1-633	YER063W
647	OG0000647	augustus_masked-scaffold_1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.49&CDS=1-2520	YDL148C
648	OG0000648	augustus_masked-scaffold_1-processed-gene-3.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.46&CDS=1-1449	YER061C
649	OG0000649	augustus_masked-scaffold_1-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.50&CDS=1-927	YIL049W
650	OG0000650	augustus_masked-scaffold_1-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.51&CDS=1-3162	YDL149W
651	OG0000651	maker-scaffold_1-augustus-gene-3.140-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.140&CDS=1-753	YGR135W
652	OG0000652	maker-scaffold_1-augustus-gene-3.141-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-3.141&CDS=1-849	YGR132C
653	OG0000653	augustus_masked-scaffold_1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.77&CDS=1-2145	YPR155C
654	OG0000654	augustus_masked-scaffold_1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.57&CDS=1-3021	YML099C
655	OG0000655	snap_masked-scaffold_1-processed-gene-3.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.104&CDS=1-2556	YGL083W
656	OG0000656	augustus_masked-scaffold_1-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.80&CDS=1-1728	YBL039C
657	OG0000657	augustus_masked-scaffold_1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.59&CDS=1-1815	YDR117C
658	OG0000658	augustus_masked-scaffold_1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.60&CDS=1-825	YDR116C
659	OG0000659	augustus_masked-scaffold_1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.62&CDS=1-1584	YDR434W
660	OG0000660	augustus_masked-scaffold_1-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.81&CDS=1-390	YDR115W
661	OG0000661	augustus_masked-scaffold_1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.64&CDS=1-1077	YDR158W
662	OG0000662	augustus_masked-scaffold_1-processed-gene-3.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.66&CDS=1-984	YOL002C
663	OG0000663	augustus_masked-scaffold_1-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.82&CDS=1-1947	YGL124C
664	OG0000664	augustus_masked-scaffold_1-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.69&CDS=1-1308	YHR169W
665	OG0000665	augustus_masked-scaffold_1-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.83&CDS=1-2295	YGR245C
666	OG0000666	augustus_masked-scaffold_1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.70&CDS=1-2427	YHR172W
667	OG0000667	augustus_masked-scaffold_1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.84&CDS=1-1692	YHR168W
668	OG0000668	augustus_masked-scaffold_1-processed-gene-3.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.85&CDS=1-1338	YPL066W
669	OG0000669	augustus_masked-scaffold_1-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.86&CDS=1-2307	YNR006W
670	OG0000670	genemark-scaffold_1-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.42&CDS=1-975	YPR127W
671	OG0000671	genemark-scaffold_1-processed-gene-3.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.43&CDS=1-309	YPL046C
672	OG0000672	augustus_masked-scaffold_1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.71&CDS=1-2613	YPL045W
673	OG0000673	augustus_masked-scaffold_1-processed-gene-3.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.89&CDS=1-1395	YNL261W
674	OG0000674	augustus_masked-scaffold_1-processed-gene-3.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.72&CDS=1-2214	YIL067C
675	OG0000675	augustus_masked-scaffold_1-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.17&CDS=1-7566	YBL004W
676	OG0000676	augustus_masked-scaffold_1-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.18&CDS=1-1323	YDL002C
677	OG0000677	maker-scaffold_1-augustus-gene-4.11-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.11&CDS=1-531	YER134C
678	OG0000678	augustus_masked-scaffold_1-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.24&CDS=1-807	YPR143W
679	OG0000679	augustus_masked-scaffold_1-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.41&CDS=1-1221	YPR140W
680	OG0000680	augustus_masked-scaffold_1-processed-gene-4.43-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.43&CDS=1-4968	YOR341W
681	OG0000681	augustus_masked-scaffold_1-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.44&CDS=1-5187	YKL014C
682	OG0000682	augustus_masked-scaffold_1-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.46&CDS=1-291	YER146W
683	OG0000683	augustus_masked-scaffold_1-processed-gene-4.26-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.26&CDS=1-702	YDR071C
684	OG0000684	augustus_masked-scaffold_1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.27&CDS=1-525	YKL016C
685	OG0000685	snap_masked-scaffold_1-processed-gene-4.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.68&CDS=1-3759	YKR050W
686	OG0000686	augustus_masked-scaffold_1-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.29&CDS=1-2208	YKL017C
687	OG0000687	augustus_masked-scaffold_1-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.47&CDS=1-1101	YKL018W
688	OG0000688	augustus_masked-scaffold_1-processed-gene-4.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.48&CDS=1-795	YPL065W
689	OG0000689	augustus_masked-scaffold_1-processed-gene-4.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.32&CDS=1-1401	YKL028W
690	OG0000690	augustus_masked-scaffold_1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.33&CDS=1-894	YBR291C
691	OG0000691	maker-scaffold_1-augustus-gene-4.13-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.13&CDS=1-3273	YBR289W
692	OG0000692	maker-scaffold_1-snap-gene-4.2-mRNA-1_1&gene=maker-scaffold_1-snap-gene-4.2&CDS=1-1179	YMR075W
693	OG0000693	augustus_masked-scaffold_1-processed-gene-4.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.35&CDS=1-4830	YMR190C
694	OG0000694	maker-scaffold_1-augustus-gene-4.14-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.14&CDS=1-3939	YMR076C
695	OG0000695	augustus_masked-scaffold_1-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.51&CDS=1-759	YPL199C
696	OG0000696	maker-scaffold_1-augustus-gene-4.15-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-4.15&CDS=1-906	YMR178W
697	OG0000697	augustus_masked-scaffold_1-processed-gene-4.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.37&CDS=1-690	YCR043C
698	OG0000698	augustus_masked-scaffold_1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.53&CDS=1-1314	YER019W
699	OG0000699	augustus_masked-scaffold_1-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.54&CDS=1-1332	YDR517W
700	OG0000700	augustus_masked-scaffold_1-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.55&CDS=1-1836	YCL038C
701	OG0000701	augustus_masked-scaffold_1-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.126&CDS=1-1263	YEL002C
702	OG0000702	augustus_masked-scaffold_1-processed-gene-5.127-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.127&CDS=1-2934	YJL204C
703	OG0000703	genemark-scaffold_1-processed-gene-5.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.103&CDS=1-162	YJL205C
704	OG0000704	augustus_masked-scaffold_1-processed-gene-5.130-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.130&CDS=1-1050	YDL124W
705	OG0000705	augustus_masked-scaffold_1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.132&CDS=1-1335	YCL034W
706	OG0000706	snap_masked-scaffold_1-processed-gene-5.8-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.8&CDS=1-972	YML004C
707	OG0000707	augustus_masked-scaffold_1-processed-gene-5.153-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.153&CDS=1-525	YCL033C
708	OG0000708	maker-scaffold_1-augustus-gene-5.67-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.67&CDS=1-480	YDR512C
709	OG0000709	augustus_masked-scaffold_1-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.157&CDS=1-1803	YJL201W
710	OG0000710	augustus_masked-scaffold_1-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.136&CDS=1-1860	YPR083W
711	OG0000711	maker-scaffold_1-augustus-gene-5.69-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.69&CDS=1-354	YKL003C
712	OG0000712	augustus_masked-scaffold_1-processed-gene-5.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.137&CDS=1-741	YKL002W
713	OG0000713	augustus_masked-scaffold_1-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.138&CDS=1-2385	YKL090W
714	OG0000714	augustus_masked-scaffold_1-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.139&CDS=1-522	YBR122C
715	OG0000715	augustus_masked-scaffold_1-processed-gene-5.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.140&CDS=1-1692	YBR123C
716	OG0000716	snap_masked-scaffold_1-processed-gene-5.35-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.35&CDS=1-924	YHL013C
717	OG0000717	augustus_masked-scaffold_1-processed-gene-5.161-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.161&CDS=1-1413	YBR126C
718	OG0000718	augustus_masked-scaffold_1-processed-gene-5.162-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.162&CDS=1-1509	YBR127C
719	OG0000719	augustus_masked-scaffold_1-processed-gene-5.143-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.143&CDS=1-1137	YPR084W
720	OG0000720	augustus_masked-scaffold_1-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.144&CDS=1-450	YBR120C
721	OG0000721	augustus_masked-scaffold_1-processed-gene-5.145-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.145&CDS=1-606	YJR112W-A
722	OG0000722	augustus_masked-scaffold_1-processed-gene-5.167-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.167&CDS=1-906	YNL263C
723	OG0000723	augustus_masked-scaffold_1-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.146&CDS=1-489	YNL260C
724	OG0000724	augustus_masked-scaffold_1-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.147&CDS=1-711	YEL072W
725	OG0000725	maker-scaffold_1-augustus-gene-5.71-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.71&CDS=1-1782	YKL007W
726	OG0000726	augustus_masked-scaffold_1-processed-gene-5.170-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.170&CDS=1-291	YKL006C-A
727	OG0000727	augustus_masked-scaffold_1-processed-gene-6.0-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.0&CDS=1-2421	YNL258C
728	OG0000728	maker-scaffold_1-augustus-gene-6.88-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.88&CDS=1-222	YNL259C
729	OG0000729	augustus_masked-scaffold_1-processed-gene-6.5-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.5&CDS=1-1347	YHL004W
730	OG0000730	augustus_masked-scaffold_1-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.7&CDS=1-1656	YPR088C
731	OG0000731	augustus_masked-scaffold_1-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.10&CDS=1-4068	YDR216W
732	OG0000732	augustus_masked-scaffold_1-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.23&CDS=1-1584	YHR007C
733	OG0000733	augustus_masked-scaffold_1-processed-gene-6.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.25&CDS=1-2433	YLR222C
734	OG0000734	maker-scaffold_1-augustus-gene-6.89-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-6.89&CDS=1-1602	YFL055W
735	OG0000735	augustus_masked-scaffold_1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.13&CDS=1-858	YOR100C
736	OG0000736	augustus_masked-scaffold_1-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.31&CDS=1-672	YHR121W
737	OG0000737	augustus_masked-scaffold_1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.14&CDS=1-3438	YNL127W
738	OG0000738	augustus_masked-scaffold_1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.15&CDS=1-2676	YNL126W
739	OG0000739	augustus_masked-scaffold_1-processed-gene-6.33-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.33&CDS=1-453	YIL062C
740	OG0000740	augustus_masked-scaffold_1-processed-gene-6.34-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.34&CDS=1-318	YML108W
741	OG0000741	augustus_masked-scaffold_1-processed-gene-6.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.35&CDS=1-4578	YNL102W
742	OG0000742	augustus_masked-scaffold_1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.19&CDS=1-990	YOR246C
743	OG0000743	augustus_masked-scaffold_1-processed-gene-6.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.36&CDS=1-4683	YPL160W
744	OG0000744	augustus_masked-scaffold_1-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.20&CDS=1-1320	YOR259C
745	OG0000745	augustus_masked-scaffold_1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.37&CDS=1-924	YPL173W
746	OG0000746	augustus_masked-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.39&CDS=1-1332	YOR323C
747	OG0000747	augustus_masked-scaffold_1-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.41&CDS=1-1995	YLR077W
748	OG0000748	augustus_masked-scaffold_1-processed-gene-6.42-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.42&CDS=1-747	YLR078C
749	OG0000749	augustus_masked-scaffold_1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.22&CDS=1-1329	YPL175W
750	OG0000750	augustus_masked-scaffold_1-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.51&CDS=1-483	YOR257W
751	OG0000751	augustus_masked-scaffold_1-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.52&CDS=1-1527	YCL043C
752	OG0000752	augustus_masked-scaffold_1-processed-gene-7.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.53&CDS=1-1704	YCL039W
753	OG0000753	augustus_masked-scaffold_1-processed-gene-7.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.56&CDS=1-1440	YFR005C
754	OG0000754	augustus_masked-scaffold_1-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.57&CDS=1-906	YIL061C
755	OG0000755	maker-scaffold_1-augustus-gene-7.169-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.169&CDS=1-2019	YER068W
756	OG0000756	augustus_masked-scaffold_1-processed-gene-7.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.79&CDS=1-1641	YGL244W
757	OG0000757	augustus_masked-scaffold_1-processed-gene-7.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.58&CDS=1-2109	YFR048W
758	OG0000758	maker-scaffold_1-augustus-gene-7.165-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.165&CDS=1-588	YER012W
759	OG0000759	augustus_masked-scaffold_1-processed-gene-7.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.80&CDS=1-453	YIR009W
760	OG0000760	maker-scaffold_1-snap-gene-7.153-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.153&CDS=1-3102	YER014W
761	OG0000761	snap_masked-scaffold_1-processed-gene-7.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.132&CDS=1-963	YPL111W
762	OG0000762	maker-scaffold_1-snap-gene-7.161-mRNA-1_1&gene=maker-scaffold_1-snap-gene-7.161&CDS=1-1404	YOR197W
763	OG0000763	augustus_masked-scaffold_1-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.83&CDS=1-3384	YPL109C
764	OG0000764	augustus_masked-scaffold_1-processed-gene-7.84-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.84&CDS=1-549	YBR164C
765	OG0000765	augustus_masked-scaffold_1-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.85&CDS=1-1353	YBR166C
766	OG0000766	augustus_masked-scaffold_1-processed-gene-7.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.86&CDS=1-1482	YMR220W
767	OG0000767	augustus_masked-scaffold_1-processed-gene-7.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.87&CDS=1-1134	YMR310C
768	OG0000768	snap_masked-scaffold_1-processed-gene-7.140-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.140&CDS=1-1476	YOR198C
769	OG0000769	augustus_masked-scaffold_1-processed-gene-7.67-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.67&CDS=1-942	YGR282C
770	OG0000770	maker-scaffold_1-augustus-gene-7.166-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.166&CDS=1-516	YGL231C
771	OG0000771	augustus_masked-scaffold_1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.89&CDS=1-2508	YGL233W
772	OG0000772	snap_masked-scaffold_1-processed-gene-7.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.123&CDS=1-1218	YOR196C
773	OG0000773	augustus_masked-scaffold_1-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.72&CDS=1-444	YBR167C
774	OG0000774	genemark-scaffold_1-processed-gene-7.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-7.41&CDS=1-570	YPL108W
775	OG0000775	augustus_masked-scaffold_1-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.91&CDS=1-1872	YLR368W
776	OG0000776	augustus_masked-scaffold_1-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.73&CDS=1-630	YIR032C
777	OG0000777	augustus_masked-scaffold_1-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.93&CDS=1-924	YMR314W
778	OG0000778	snap_masked-scaffold_1-processed-gene-7.145-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.145&CDS=1-699	YMR311C
779	OG0000779	augustus_masked-scaffold_1-processed-gene-7.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.95&CDS=1-927	YGR284C
780	OG0000780	maker-scaffold_1-augustus-gene-7.168-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.168&CDS=1-282	YHR005C-A
781	OG0000781	augustus_masked-scaffold_1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.96&CDS=1-762	YKL087C
782	OG0000782	augustus_masked-scaffold_1-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.98&CDS=1-1776	YNL218W
783	OG0000783	augustus_masked-scaffold_1-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.95&CDS=1-1656	YMR313C
784	OG0000784	augustus_masked-scaffold_1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.99&CDS=1-810	YMR312W
785	OG0000785	augustus_masked-scaffold_1-processed-gene-8.96-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.96&CDS=1-1296	YGR285C
786	OG0000786	augustus_masked-scaffold_1-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.100&CDS=1-1839	YGL227W
787	OG0000787	augustus_masked-scaffold_1-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.101&CDS=1-1347	YER043C
788	OG0000788	augustus_masked-scaffold_1-processed-gene-8.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.105&CDS=1-375	YDL092W
