	OrthologID	Candida_orthopsilosis	Saccharomyces_cerevisiae
290	OG0000290	genemark-NC_018295.1-processed-gene-12.38-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-12.38&CDS=1-1917	YGR092W, YPR111W
291	OG0000291	genemark-NC_018295.1-processed-gene-13.34-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-13.34&CDS=1-1479	YLL012W, YLR020C
292	OG0000292	snap_masked-NC_018295.1-processed-gene-15.31-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-15.31&CDS=1-426	YDL083C, YMR143W
293	OG0000293	genemark-NC_018295.1-processed-gene-15.66-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.66&CDS=1-606	YDL082W, YMR142C
294	OG0000294	genemark-NC_018295.1-processed-gene-15.67-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.67&CDS=1-1272	YLR300W, YOR190W
295	OG0000295	genemark-NC_018295.1-processed-gene-15.74-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.74&CDS=1-894, genemark-NC_018296.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.86&CDS=1-969	YKL195W
296	OG0000296	genemark-NC_018295.1-processed-gene-15.99-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.99&CDS=1-1428	YDR247W, YPL026C
297	OG0000297	genemark-NC_018295.1-processed-gene-15.100-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.100&CDS=1-1530	YBR020W, YDR009W
298	OG0000298	genemark-NC_018295.1-processed-gene-15.104-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.104&CDS=1-873, genemark-NC_018298.1-processed-gene-2.37-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.37&CDS=1-870	YNL202W
299	OG0000299	genemark-NC_018295.1-processed-gene-15.85-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-15.85&CDS=1-381	YGR034W, YLR344W
300	OG0000300	snap_masked-NC_018295.1-processed-gene-16.70-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-16.70&CDS=1-3384	YGR056W, YLR357W
301	OG0000301	genemark-NC_018295.1-processed-gene-16.33-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-16.33&CDS=1-1443	YBR273C, YJL048C
302	OG0000302	genemark-NC_018295.1-processed-gene-16.40-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-16.40&CDS=1-1527, genemark-NC_018296.1-processed-gene-8.3-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-8.3&CDS=1-1494	YBR006W
303	OG0000303	genemark-NC_018295.1-processed-gene-17.57-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.57&CDS=1-639, genemark-NC_018295.1-processed-gene-17.85-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.85&CDS=1-636	YPL067C
304	OG0000304	genemark-NC_018295.1-processed-gene-17.88-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.88&CDS=1-393	YBL002W, YDR224C
305	OG0000305	genemark-NC_018295.1-processed-gene-17.70-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.70&CDS=1-390	YBL003C, YDR225W
306	OG0000306	maker-NC_018295.1-augustus-gene-17.54-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-17.54&CDS=1-2148	YIL114C, YNL055C
307	OG0000307	genemark-NC_018295.1-processed-gene-17.82-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-17.82&CDS=1-666, genemark-NC_018295.1-processed-gene-23.97-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.97&CDS=1-939	YDL015C
308	OG0000308	genemark-NC_018295.1-processed-gene-18.47-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.47&CDS=1-4062	YBL079W, YER105C
309	OG0000309	genemark-NC_018295.1-processed-gene-18.46-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.46&CDS=1-744	YGL076C, YPL198W
310	OG0000310	snap_masked-NC_018295.1-processed-gene-18.111-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-18.111&CDS=1-246	YHR021C, YKL156W
311	OG0000311	maker-NC_018295.1-snap-gene-18.95-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-18.95&CDS=1-2457	YNL299W, YOL115W
312	OG0000312	genemark-NC_018295.1-processed-gene-18.91-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-18.91&CDS=1-1485	YDR273W, YOR042W
313	OG0000313	snap_masked-NC_018295.1-processed-gene-19.73-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-19.73&CDS=1-1347	YMR177W, YPL224C
314	OG0000314	genemark-NC_018295.1-processed-gene-20.8-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.8&CDS=1-465	YDR178W, YLR164W
315	OG0000315	genemark-NC_018295.1-processed-gene-20.25-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.25&CDS=1-1980	YDR200C, YLR238W
316	OG0000316	genemark-NC_018295.1-processed-gene-20.30-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.30&CDS=1-1287	YBR078W, YDR055W
317	OG0000317	augustus_masked-NC_018298.1-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NC_018298.1-processed-gene-4.135&CDS=1-708, genemark-NC_018295.1-processed-gene-20.21-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.21&CDS=1-1059	YPR086W
318	OG0000318	genemark-NC_018295.1-processed-gene-20.44-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.44&CDS=1-3786	YHR155W, YNL257C
319	OG0000319	genemark-NC_018295.1-processed-gene-20.49-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-20.49&CDS=1-1659, snap_masked-NC_018296.1-processed-gene-14.53-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-14.53&CDS=1-918	YCR023C
320	OG0000320	augustus_masked-NC_018295.1-processed-gene-21.140-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-21.140&CDS=1-2502	YJL134W, YKR053C
321	OG0000321	genemark-NC_018295.1-processed-gene-22.6-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.6&CDS=1-1662, genemark-NC_018301.1-processed-gene-6.33-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-6.33&CDS=1-1947	YMR110C
322	OG0000322	snap_masked-NC_018295.1-processed-gene-22.100-mRNA-1_1&gene=snap_masked-NC_018295.1-processed-gene-22.100&CDS=1-1545	YER045C, YIL036W
323	OG0000323	genemark-NC_018295.1-processed-gene-22.11-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.11&CDS=1-3501	YGR238C, YHR158C
324	OG0000324	genemark-NC_018295.1-processed-gene-22.12-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.12&CDS=1-1773, genemark-NC_018296.1-processed-gene-5.97-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.97&CDS=1-1905	YNL104C
325	OG0000325	genemark-NC_018295.1-processed-gene-22.24-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-22.24&CDS=1-2262	YER054C, YIL045W
326	OG0000326	genemark-NC_018295.1-processed-gene-23.57-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.57&CDS=1-651, genemark-NC_018297.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-2.105&CDS=1-648	YMR202W
327	OG0000327	genemark-NC_018295.1-processed-gene-23.69-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.69&CDS=1-1914	YMR199W, YPL256C
328	OG0000328	augustus_masked-NC_018295.1-processed-gene-23.18-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-23.18&CDS=1-6669	YLR433C, YML057W
329	OG0000329	genemark-NC_018295.1-processed-gene-23.79-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.79&CDS=1-1302	YLR449W, YML074C
330	OG0000330	maker-NC_018295.1-augustus-gene-23.117-mRNA-1_1&gene=maker-NC_018295.1-augustus-gene-23.117&CDS=1-4824	YLR450W, YML075C
331	OG0000331	snap_masked-NC_018296.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-0.15&CDS=1-1623	YER132C, YGL197W
332	OG0000332	genemark-NC_018296.1-processed-gene-0.60-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-0.60&CDS=1-408	YBR010W, YNL031C
333	OG0000333	genemark-NC_018296.1-processed-gene-1.8-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.8&CDS=1-1842	YBR238C, YGL107C
334	OG0000334	genemark-NC_018296.1-processed-gene-1.34-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-1.34&CDS=1-4095	YAL017W, YOL045W
335	OG0000335	genemark-NC_018297.1-processed-gene-12.73-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-12.73&CDS=1-1395, maker-NC_018296.1-snap-gene-2.95-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-2.95&CDS=1-2526	YPL262W
336	OG0000336	genemark-NC_018296.1-processed-gene-2.36-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.36&CDS=1-1044	YDR277C, YOR047C
337	OG0000337	genemark-NC_018296.1-processed-gene-3.46-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-3.46&CDS=1-4650	YDR348C, YHR097C
338	OG0000338	genemark-NC_018296.1-processed-gene-4.90-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-4.90&CDS=1-1575, genemark-NC_018296.1-processed-gene-8.12-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-8.12&CDS=1-1338	YNL154C
339	OG0000339	genemark-NC_018296.1-processed-gene-4.92-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-4.92&CDS=1-2208	YJL083W, YKR019C
340	OG0000340	genemark-NC_018296.1-processed-gene-5.81-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.81&CDS=1-1728	YKR072C, YOR054C
341	OG0000341	snap_masked-NC_018296.1-processed-gene-5.73-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-5.73&CDS=1-1365	YPR013C, YPR015C
342	OG0000342	genemark-NC_018296.1-processed-gene-5.101-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-5.101&CDS=1-1119	YJL158C, YJL160C
343	OG0000343	genemark-NC_018296.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-6.85&CDS=1-1335	YER027C, YGL208W
344	OG0000344	genemark-NC_018296.1-processed-gene-6.90-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-6.90&CDS=1-795	YBR005W, YDR003W
345	OG0000345	snap_masked-NC_018296.1-processed-gene-7.23-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-7.23&CDS=1-603	YBL027W, YBR084C-A
346	OG0000346	genemark-NC_018296.1-processed-gene-7.55-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-7.55&CDS=1-1614	YBR105C, YGR066C
347	OG0000347	augustus_masked-NC_018296.1-processed-gene-8.43-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-8.43&CDS=1-591	YDL049C, YJL174W
348	OG0000348	genemark-NC_018296.1-processed-gene-8.28-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-8.28&CDS=1-624	YER067W, YIL057C
349	OG0000349	maker-NC_018296.1-snap-gene-8.83-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-8.83&CDS=1-3219	YGL049C, YGR162W
350	OG0000350	genemark-NC_018296.1-processed-gene-9.9-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.9&CDS=1-3315	YKL068W, YMR047C
351	OG0000351	genemark-NC_018296.1-processed-gene-9.18-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.18&CDS=1-588	YDR453C, YML028W
352	OG0000352	genemark-NC_018296.1-processed-gene-9.36-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-9.36&CDS=1-495	YDR418W, YEL054C
353	OG0000353	genemark-NC_018296.1-processed-gene-10.44-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.44&CDS=1-1809	YEL041W, YJR049C
354	OG0000354	genemark-NC_018296.1-processed-gene-10.52-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.52&CDS=1-1098	YCR073W-A, YNR034W
355	OG0000355	genemark-NC_018296.1-processed-gene-10.54-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.54&CDS=1-1563	YBR161W, YPL057C
356	OG0000356	maker-NC_018296.1-snap-gene-10.84-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-10.84&CDS=1-2544	YNL301C, YOL120C
357	OG0000357	genemark-NC_018296.1-processed-gene-11.60-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-11.60&CDS=1-948, genemark-NC_018298.1-processed-gene-3.81-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-3.81&CDS=1-3966	YDR216W
358	OG0000358	genemark-NC_018296.1-processed-gene-11.62-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-11.62&CDS=1-513	YGR131W, YPR149W
359	OG0000359	genemark-NC_018296.1-processed-gene-11.64-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-11.64&CDS=1-2223	YDL138W, YDL194W
360	OG0000360	snap_masked-NC_018296.1-processed-gene-11.80-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-11.80&CDS=1-543	YDL137W, YDL192W
361	OG0000361	augustus_masked-NC_018296.1-processed-gene-11.13-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-11.13&CDS=1-360	YDL136W, YDL191W
362	OG0000362	augustus_masked-NC_018296.1-processed-gene-11.31-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-11.31&CDS=1-2301	YGR214W, YLR048W
363	OG0000363	genemark-NC_018296.1-processed-gene-11.72-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-11.72&CDS=1-807	YKR075C, YOR062C
364	OG0000364	genemark-NC_018296.1-processed-gene-12.88-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.88&CDS=1-933	YMR183C, YPL232W
365	OG0000365	maker-NC_018296.1-snap-gene-12.10-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-12.10&CDS=1-3213	YEL006W, YIL006W
366	OG0000366	genemark-NC_018296.1-processed-gene-12.71-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.71&CDS=1-483, genemark-NC_018296.1-processed-gene-12.72-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.72&CDS=1-519	YCR090C
367	OG0000367	genemark-NC_018296.1-processed-gene-12.78-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.78&CDS=1-1554	YGR121C, YPR138C
368	OG0000368	augustus_masked-NC_018301.1-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-NC_018301.1-processed-gene-2.37&CDS=1-3555, genemark-NC_018296.1-processed-gene-13.98-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.98&CDS=1-1380	YPL092W
369	OG0000369	snap_masked-NC_018296.1-processed-gene-13.78-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-13.78&CDS=1-1212	YOR390W, YPL279C
370	OG0000370	genemark-NC_018296.1-processed-gene-13.110-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.110&CDS=1-2352	YGL071W, YPL202C
371	OG0000371	genemark-NC_018296.1-processed-gene-13.112-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.112&CDS=1-1017, snap_masked-NC_018298.1-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-3.31&CDS=1-1134	YBR046C
372	OG0000372	snap_masked-NC_018296.1-processed-gene-13.85-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-13.85&CDS=1-2328	YFR013W, YOL017W
373	OG0000373	genemark-NC_018296.1-processed-gene-13.141-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-13.141&CDS=1-1926	YCR048W, YNR019W
374	OG0000374	snap_masked-NC_018296.1-processed-gene-14.24-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-14.24&CDS=1-765	YDR272W, YOR040W
375	OG0000375	augustus_masked-NC_018296.1-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-14.124&CDS=1-1263	YAL034C, YOR338W
376	OG0000376	genemark-NC_018296.1-processed-gene-14.98-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-14.98&CDS=1-984	YBR147W, YOL092W
377	OG0000377	genemark-NC_018296.1-processed-gene-14.81-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-14.81&CDS=1-2004	YDR253C, YPL038W
378	OG0000378	genemark-NC_018296.1-processed-gene-14.82-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-14.82&CDS=1-1152, genemark-NC_018300.1-processed-gene-5.44-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-5.44&CDS=1-1113	YDL022W
379	OG0000379	genemark-NC_018296.1-processed-gene-15.112-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-15.112&CDS=1-333	YEL039C, YJR048W
380	OG0000380	genemark-NC_018296.1-processed-gene-15.118-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-15.118&CDS=1-975	YJL133W, YKR052C
381	OG0000381	snap_masked-NC_018296.1-processed-gene-15.27-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-15.27&CDS=1-2232	YML100W, YMR261C
382	OG0000382	genemark-NC_018296.1-processed-gene-15.129-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-15.129&CDS=1-792	YHR203C, YJR145C
383	OG0000383	snap_masked-NC_018296.1-processed-gene-15.66-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-15.66&CDS=1-879	YDR151C, YLR136C
384	OG0000384	genemark-NC_018297.1-processed-gene-0.57-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-0.57&CDS=1-309	YGR209C, YLR043C
385	OG0000385	genemark-NC_018297.1-processed-gene-1.94-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-1.94&CDS=1-1794, genemark-NC_018298.1-processed-gene-8.48-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.48&CDS=1-1764	YMR088C
386	OG0000386	genemark-NC_018297.1-processed-gene-3.122-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-3.122&CDS=1-2115, genemark-NC_018297.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-3.99&CDS=1-1704	YGL186C
387	OG0000387	genemark-NC_018297.1-processed-gene-3.111-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-3.111&CDS=1-663	YER031C, YGL210W
388	OG0000388	snap_masked-NC_018297.1-processed-gene-5.81-mRNA-1_1&gene=snap_masked-NC_018297.1-processed-gene-5.81&CDS=1-1482	YCL048W, YDR522C
389	OG0000389	augustus_masked-NC_018297.1-processed-gene-5.7-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-5.7&CDS=1-1806	YDR463W, YHR006W
390	OG0000390	genemark-NC_018297.1-processed-gene-5.57-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-5.57&CDS=1-2031	YBR216C, YGL060W
391	OG0000391	augustus_masked-NC_018297.1-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-6.95&CDS=1-3096, genemark-NC_018297.1-processed-gene-6.40-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.40&CDS=1-1743	YAL067C
392	OG0000392	maker-NC_018297.1-augustus-gene-6.1-mRNA-1_1&gene=maker-NC_018297.1-augustus-gene-6.1&CDS=1-2601	YIL085C, YNL029C
393	OG0000393	genemark-NC_018297.1-processed-gene-6.29-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.29&CDS=1-2529, genemark-NC_018297.1-processed-gene-6.44-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-6.44&CDS=1-1152	YOR388C
394	OG0000394	augustus_masked-NC_018297.1-processed-gene-7.4-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-7.4&CDS=1-3573	YJR127C, YML081W
395	OG0000395	genemark-NC_018297.1-processed-gene-7.60-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-7.60&CDS=1-1158, genemark-NC_018301.1-processed-gene-4.38-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-4.38&CDS=1-1152	YLL057C
396	OG0000396	genemark-NC_018297.1-processed-gene-7.61-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-7.61&CDS=1-789, genemark-NC_018298.1-processed-gene-4.76-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-4.76&CDS=1-981	YGL126W
397	OG0000397	genemark-NC_018297.1-processed-gene-8.38-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-8.38&CDS=1-330, genemark-NC_018297.1-processed-gene-8.63-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-8.63&CDS=1-330	YJR085C
398	OG0000398	genemark-NC_018297.1-processed-gene-8.70-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-8.70&CDS=1-1419	YCL040W, YDR516C
399	OG0000399	genemark-NC_018297.1-processed-gene-8.58-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-8.58&CDS=1-2628	YDR146C, YLR131C
400	OG0000400	genemark-NC_018297.1-processed-gene-9.119-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-9.119&CDS=1-861	YOR222W, YPL134C
401	OG0000401	genemark-NC_018297.1-processed-gene-9.137-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-9.137&CDS=1-1548	YGR248W, YHR163W
402	OG0000402	genemark-NC_018297.1-processed-gene-11.23-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.23&CDS=1-2334	YMR119W, YNL008C
403	OG0000403	genemark-NC_018297.1-processed-gene-11.26-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.26&CDS=1-408	YGR243W, YHR162W
404	OG0000404	genemark-NC_018297.1-processed-gene-11.27-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-11.27&CDS=1-4530, genemark-NC_018301.1-processed-gene-6.2-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-6.2&CDS=1-7179	YDR135C
405	OG0000405	genemark-NC_018297.1-processed-gene-12.79-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-12.79&CDS=1-1425	YFL048C, YLR080W
406	OG0000406	maker-NC_018297.1-snap-gene-12.38-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-12.38&CDS=1-1911	YMR182C, YPL230W
407	OG0000407	genemark-NC_018297.1-processed-gene-12.103-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-12.103&CDS=1-4374	YCL068C, YCR038C
408	OG0000408	snap_masked-NC_018297.1-processed-gene-13.70-mRNA-1_1&gene=snap_masked-NC_018297.1-processed-gene-13.70&CDS=1-3882	YLL016W, YLR310C
409	OG0000409	genemark-NC_018297.1-processed-gene-13.49-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-13.49&CDS=1-5217	YEL022W, YJR031C
410	OG0000410	genemark-NC_018298.1-processed-gene-8.45-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-8.45&CDS=1-1425, maker-NC_018297.1-snap-gene-13.62-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-13.62&CDS=1-2748	YOR099W
411	OG0000411	genemark-NC_018297.1-processed-gene-14.163-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-14.163&CDS=1-558	YNL096C, YOR096W
412	OG0000412	genemark-NC_018297.1-processed-gene-14.175-mRNA-1_1&gene=genemark-NC_018297.1-processed-gene-14.175&CDS=1-762	YER062C, YIL053W
413	OG0000413	augustus_masked-NC_018297.1-processed-gene-14.82-mRNA-1_1&gene=augustus_masked-NC_018297.1-processed-gene-14.82&CDS=1-405	YER074W, YIL069C
414	OG0000414	genemark-NC_018298.1-processed-gene-0.27-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-0.27&CDS=1-1263	YDR132C, YLR108C
415	OG0000415	genemark-NC_018298.1-processed-gene-0.28-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-0.28&CDS=1-1893	YDR107C, YLR083C
416	OG0000416	genemark-NC_018298.1-processed-gene-1.107-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.107&CDS=1-3504	YAL056W, YOR371C
417	OG0000417	genemark-NC_018298.1-processed-gene-2.10-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.10&CDS=1-516	YMR242C, YOR312C
418	OG0000418	genemark-NC_018298.1-processed-gene-2.44-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.44&CDS=1-972	YBL068W, YER099C
419	OG0000419	genemark-NC_018298.1-processed-gene-2.26-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.26&CDS=1-4002	YDR379W, YOR127W
420	OG0000420	genemark-NC_018298.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-2.27&CDS=1-3819	YIL151C, YKR096W
421	OG0000421	augustus_masked-NC_018298.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-NC_018298.1-processed-gene-3.47&CDS=1-5706	YIL149C, YKR095W
422	OG0000422	genemark-NC_018298.1-processed-gene-3.99-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-3.99&CDS=1-1233	YGR283C, YMR310C
423	OG0000423	genemark-NC_018298.1-processed-gene-4.61-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-4.61&CDS=1-465	YGL031C, YGR148C
424	OG0000424	genemark-NC_018301.1-processed-gene-5.87-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-5.87&CDS=1-735, maker-NC_018298.1-snap-gene-4.11-mRNA-1_1&gene=maker-NC_018298.1-snap-gene-4.11&CDS=1-1077	YNL103W
425	OG0000425	genemark-NC_018298.1-processed-gene-5.98-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-5.98&CDS=1-2460	YOR256C, YPL176C
426	OG0000426	genemark-NC_018298.1-processed-gene-5.133-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-5.133&CDS=1-2037	YGR241C, YHR161C
427	OG0000427	snap_masked-NC_018298.1-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NC_018298.1-processed-gene-5.66&CDS=1-591	YBR089C-A, YPR052C
428	OG0000428	maker-NC_018298.1-snap-gene-6.44-mRNA-1_1&gene=maker-NC_018298.1-snap-gene-6.44&CDS=1-180	YDR182W-A, YMR034C
429	OG0000429	genemark-NC_018298.1-processed-gene-6.98-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-6.98&CDS=1-498	YKL065C, YMR040W
430	OG0000430	augustus_masked-NC_018302.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NC_018302.1-processed-gene-0.103&CDS=1-3327, genemark-NC_018298.1-processed-gene-6.118-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-6.118&CDS=1-1977	YIL065C
431	OG0000431	genemark-NC_018298.1-processed-gene-6.114-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-6.114&CDS=1-4341	YCR073C, YNR031C
432	OG0000432	genemark-NC_018298.1-processed-gene-7.52-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-7.52&CDS=1-2442, genemark-NC_018300.1-processed-gene-9.98-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-9.98&CDS=1-2799	YOR270C
