	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034865_Zygosaccharomyces_kombuchaensis
834	OG0000834	YDR072C	genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.23&CDS=1-1497
835	OG0000835	YDR073W	genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.54&CDS=1-381
836	OG0000836	YDR074W	genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.53&CDS=1-2676
837	OG0000837	YDR075W	genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.51&CDS=1-924
838	OG0000838	YDR076W	snap_masked-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_16_length_136569_cov_10.3573_ID_31-processed-gene-0.120&CDS=1-768
839	OG0000839	YDR079C-A	snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.15&CDS=1-216
840	OG0000840	YDR079W	genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.61-mRNA-1_1&gene=genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.61&CDS=1-318
841	OG0000841	YDR080W	genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.59&CDS=1-2700
842	OG0000842	YDR081C	augustus_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.73&CDS=1-2889
843	OG0000843	YDR082W	snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.27&CDS=1-1191
844	OG0000844	YDR083W	genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.57-mRNA-1_1&gene=genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.57&CDS=1-1152
845	OG0000845	YDR084C	genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.43&CDS=1-600
846	OG0000846	YDR085C	augustus_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.71&CDS=1-2046
847	OG0000847	YDR086C	snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.10&CDS=1-225
848	OG0000848	YDR087C	snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.9&CDS=1-792
849	OG0000849	YDR088C	genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_69_length_58655_cov_10.4168_ID_137-processed-gene-0.39&CDS=1-954
850	OG0000850	YDR090C	genemark-NODE_95_length_36056_cov_10.3981_ID_189-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_95_length_36056_cov_10.3981_ID_189-processed-gene-0.12&CDS=1-969
851	OG0000851	YDR091C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.84&CDS=1-1821
852	OG0000852	YDR092W	snap_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.49&CDS=1-477
853	OG0000853	YDR097C	augustus_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.123&CDS=1-3564
854	OG0000854	YDR098C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.80&CDS=1-702
855	OG0000855	YDR100W	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.96&CDS=1-420
856	OG0000856	YDR101C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.77&CDS=1-1698
857	OG0000857	YDR103W	augustus_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.134&CDS=1-2667
858	OG0000858	YDR104C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.76-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.76&CDS=1-3714
859	OG0000859	YDR105C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.75&CDS=1-1248
860	OG0000860	YDR108W	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.92-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.92&CDS=1-2073
861	OG0000861	YDR109C	genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_15_length_140987_cov_10.7637_ID_29-processed-gene-0.70&CDS=1-2193
862	OG0000862	YDR110W	snap_masked-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.164-mRNA-1_1&gene=snap_masked-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.164&CDS=1-1842
863	OG0000863	YDR113C	augustus_masked-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.24&CDS=1-831
864	OG0000864	YDR115W	genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.264-mRNA-1_1&gene=genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.264&CDS=1-1119
865	OG0000865	YDR116C	genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.214-mRNA-1_1&gene=genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.214&CDS=1-831
866	OG0000866	YDR117C	genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.213-mRNA-1_1&gene=genemark-NODE_10_length_188030_cov_10.0572_ID_19-processed-gene-0.213&CDS=1-1665
867	OG0000867	YDR120C	genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.79-mRNA-1_1&gene=genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.79&CDS=1-1614
868	OG0000868	YDR121W	genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_37_length_96101_cov_10.3271_ID_73-processed-gene-0.53&CDS=1-510
869	OG0000869	YDR122W	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.0&CDS=1-3465
870	OG0000870	YDR124W	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.1&CDS=1-954
871	OG0000871	YDR127W	maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.94-mRNA-1_1&gene=maker-NODE_7_length_230505_cov_10.5646_ID_13-snap-gene-0.94&CDS=1-5757
872	OG0000872	YDR128W	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.4&CDS=1-4383
873	OG0000873	YDR129C	augustus_masked-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.83&CDS=1-4509
874	OG0000874	YDR130C	snap_masked-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.52&CDS=1-777
875	OG0000875	YDR131C	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.22&CDS=1-1578
876	OG0000876	YDR132C	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.23&CDS=1-1545
877	OG0000877	YDR137W	genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_7_length_230505_cov_10.5646_ID_13-processed-gene-0.9&CDS=1-1950
878	OG0000878	YDR138W	genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.83&CDS=1-2400
879	OG0000879	YDR140W	genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.86&CDS=1-678
880	OG0000880	YDR141C	genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.126-mRNA-1_1&gene=genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.126&CDS=1-5016
881	OG0000881	YDR142C	genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.128&CDS=1-1107
882	OG0000882	YDR143C	snap_masked-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_8_length_199619_cov_10.5096_ID_15-processed-gene-0.210&CDS=1-1977
883	OG0000883	YDR146C	genemark-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.49&CDS=1-2295
884	OG0000884	YDR148C	genemark-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_27_length_119109_cov_10.1131_ID_53-processed-gene-0.47&CDS=1-1347
885	OG0000885	YDR152W	genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.35&CDS=1-777
886	OG0000886	YDR153C	genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.43&CDS=1-1203
887	OG0000887	YDR156W	genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_93_length_36286_cov_9.55737_ID_185-processed-gene-0.36&CDS=1-363
888	OG0000888	YDR158W	augustus_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.31&CDS=1-1095
889	OG0000889	YDR162C	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.95&CDS=1-753
890	OG0000890	YDR163W	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.115&CDS=1-549
891	OG0000891	YDR164C	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.93&CDS=1-2169
892	OG0000892	YDR165W	snap_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.67&CDS=1-1302
893	OG0000893	YDR166C	maker-NODE_35_length_98866_cov_10.0283_ID_69-augustus-gene-0.35-mRNA-1_1&gene=maker-NODE_35_length_98866_cov_10.0283_ID_69-augustus-gene-0.35&CDS=1-3099
894	OG0000894	YDR168W	augustus_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.23&CDS=1-2085
895	OG0000895	YDR169C	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.87&CDS=1-1515
896	OG0000896	YDR170C	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.83&CDS=1-6000
897	OG0000897	YDR171W	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.103&CDS=1-1185
898	OG0000898	YDR172W	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.102&CDS=1-1896
899	OG0000899	YDR173C	genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_35_length_98866_cov_10.0283_ID_69-processed-gene-0.82&CDS=1-996
900	OG0000900	YDR174W	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.46&CDS=1-747
901	OG0000901	YDR175C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.75&CDS=1-900
902	OG0000902	YDR176W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.106-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.106&CDS=1-1836
903	OG0000903	YDR177W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.105&CDS=1-648
904	OG0000904	YDR179C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.73&CDS=1-456
905	OG0000905	YDR179W-A	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.42&CDS=1-1248
906	OG0000906	YDR180W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.102&CDS=1-4410
907	OG0000907	YDR181C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.71&CDS=1-1104
908	OG0000908	YDR182W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.101&CDS=1-1443
909	OG0000909	YDR183W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.100&CDS=1-606
910	OG0000910	YDR184C	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.10&CDS=1-762
911	OG0000911	YDR188W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.96-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.96&CDS=1-1641
912	OG0000912	YDR189W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.95&CDS=1-1938
913	OG0000913	YDR190C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.65&CDS=1-1389
914	OG0000914	YDR191W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.94-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.94&CDS=1-1134
915	OG0000915	YDR192C	snap_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.128&CDS=1-1563
916	OG0000916	YDR194C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.60&CDS=1-1932
917	OG0000917	YDR195W	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.33&CDS=1-1392
918	OG0000918	YDR196C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.59-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.59&CDS=1-714
919	OG0000919	YDR197W	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.32&CDS=1-1113
920	OG0000920	YDR198C	snap_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.123&CDS=1-825
921	OG0000921	YDR201W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.89&CDS=1-474
922	OG0000922	YDR202C	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.56&CDS=1-1017
923	OG0000923	YDR204W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.88&CDS=1-996
924	OG0000924	YDR205W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.87&CDS=1-1983
925	OG0000925	YDR206W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.86&CDS=1-2427
926	OG0000926	YDR207C	augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.1&CDS=1-1959
927	OG0000927	YDR208W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.84&CDS=1-2169
928	OG0000928	YDR211W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.83&CDS=1-2157
929	OG0000929	YDR212W	genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_30_length_116000_cov_10.3755_ID_59-processed-gene-0.81&CDS=1-1677
930	OG0000930	YDR213W	maker-NODE_33_length_103731_cov_10.142_ID_65-snap-gene-0.135-mRNA-1_1&gene=maker-NODE_33_length_103731_cov_10.142_ID_65-snap-gene-0.135&CDS=1-2256
931	OG0000931	YDR214W	genemark-NODE_33_length_103731_cov_10.142_ID_65-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_33_length_103731_cov_10.142_ID_65-processed-gene-0.1&CDS=1-1023
932	OG0000932	YDR216W	genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.14&CDS=1-3705
933	OG0000933	YDR217C	augustus_masked-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.8&CDS=1-3432
934	OG0000934	YDR221W	genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.16&CDS=1-1968
935	OG0000935	YDR227W	augustus_masked-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_90_length_38244_cov_10.3196_ID_179-processed-gene-0.7&CDS=1-2076
936	OG0000936	YDR228C	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.13&CDS=1-1836
937	OG0000937	YDR229W	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.4&CDS=1-1152
938	OG0000938	YDR231C	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.16&CDS=1-588
939	OG0000939	YDR232W	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.6&CDS=1-1662
940	OG0000940	YDR233C	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.17&CDS=1-1155
941	OG0000941	YDR234W	augustus_masked-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.57&CDS=1-4701
942	OG0000942	YDR237W	genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_80_length_43608_cov_10.3984_ID_159-processed-gene-0.10&CDS=1-882
943	OG0000943	YDR238C	genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.51&CDS=1-2910
944	OG0000944	YDR239C	genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.52&CDS=1-2997
945	OG0000945	YDR240C	snap_masked-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.33&CDS=1-1296
946	OG0000946	YDR243C	genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.55-mRNA-1_1&gene=genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.55&CDS=1-1719
947	OG0000947	YDR245W	maker-NODE_81_length_42220_cov_10.5468_ID_161-augustus-gene-0.18-mRNA-1_1&gene=maker-NODE_81_length_42220_cov_10.5468_ID_161-augustus-gene-0.18&CDS=1-2805
948	OG0000948	YDR246W	genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_81_length_42220_cov_10.5468_ID_161-processed-gene-0.48&CDS=1-651
949	OG0000949	YDR248C	genemark-NODE_18_length_133720_cov_10.4426_ID_35-processed-gene-0.114-mRNA-1_1&gene=genemark-NODE_18_length_133720_cov_10.4426_ID_35-processed-gene-0.114&CDS=1-555
950	OG0000950	YDR249C	snap_masked-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.79&CDS=1-933
951	OG0000951	YDR253C	augustus_masked-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.134&CDS=1-1206
952	OG0000952	YDR254W	genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.32&CDS=1-1278
953	OG0000953	YDR255C	genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_31_length_109248_cov_10.3659_ID_61-processed-gene-0.6&CDS=1-1587
954	OG0000954	YDR257C	genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.43&CDS=1-1458
955	OG0000955	YDR258C	genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.42&CDS=1-2418
956	OG0000956	YDR261C	maker-NODE_63_length_64077_cov_10.365_ID_125-augustus-gene-0.67-mRNA-1_1&gene=maker-NODE_63_length_64077_cov_10.365_ID_125-augustus-gene-0.67&CDS=1-1908
957	OG0000957	YDR262W	genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.56-mRNA-1_1&gene=genemark-NODE_63_length_64077_cov_10.365_ID_125-processed-gene-0.56&CDS=1-1737
