	OrthologID	Cyberlindnera_fabianii_JCM3601	Saccharomyces_cerevisiae
370	OG0000370	-processed-gene-14.134-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-14.134&CDS=1-1017	YBR161W, YPL057C
371	OG0000371	-processed-gene-15.113-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.113&CDS=1-648	YER031C, YGL210W
372	OG0000372	-processed-gene-15.145-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.145&CDS=1-1461, -processed-gene-18.89-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-18.89&CDS=1-1344	YKL043W
373	OG0000373	-processed-gene-15.159-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.159&CDS=1-1260	YLR300W, YOR190W
374	OG0000374	-processed-gene-15.141-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-15.141&CDS=1-510	YKL141W, YMR118C
375	OG0000375	-processed-gene-16.16-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-16.16&CDS=1-1206, -processed-gene-4.87-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.87&CDS=1-1209	YLL057C
376	OG0000376	-snap-gene-17.12-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-17.12&CDS=1-582	YKL065C, YMR040W
377	OG0000377	-augustus-gene-18.0-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-augustus-gene-18.0&CDS=1-5109, -processed-gene-18.188-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.188&CDS=1-3819	YOL075C
378	OG0000378	-processed-gene-18.236-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.236&CDS=1-2952	YFR013W, YOL017W
379	OG0000379	-processed-gene-18.238-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.238&CDS=1-675	YMR222C, YOR280C
380	OG0000380	-processed-gene-18.242-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.242&CDS=1-1443	YBR214W, YGL056C
381	OG0000381	-processed-gene-18.203-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.203&CDS=1-2133	YCR026C, YEL016C
382	OG0000382	-processed-gene-18.254-mRNA-1_1&gene=snap_masked-gi|1002316267|dbj|BCGI01000003.1|-processed-gene-18.254&CDS=1-2109	YFR023W, YHR015W
383	OG0000383	-snap-gene-18.182-mRNA-1_1&gene=maker-gi|1002316267|dbj|BCGI01000003.1|-snap-gene-18.182&CDS=1-2391	YHR208W, YJR148W
384	OG0000384	-processed-gene-0.15-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-0.15&CDS=1-666, -processed-gene-0.17-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-0.17&CDS=1-1179	YMR234W
385	OG0000385	-processed-gene-0.22-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-0.22&CDS=1-2157, -snap-gene-7.72-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-7.72&CDS=1-2049	YBL097W
386	OG0000386	-processed-gene-0.25-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-0.25&CDS=1-807, -processed-gene-9.59-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-9.59&CDS=1-804	YMR226C
387	OG0000387	-processed-gene-1.98-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-1.98&CDS=1-1098	YOR388C, YPL275W
388	OG0000388	-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-1.4&CDS=1-1209	YGL162W, YPR009W
389	OG0000389	-snap-gene-1.154-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-1.154&CDS=1-2175	YDR146C, YLR131C
390	OG0000390	-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-2.49&CDS=1-1374, -processed-gene-25.55-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.55&CDS=1-1317	YLR392C
391	OG0000391	-processed-gene-2.124-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-2.124&CDS=1-408	YBL087C, YER117W
392	OG0000392	-processed-gene-3.14-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-3.14&CDS=1-1395	YCL048W, YDR522C
393	OG0000393	-processed-gene-4.96-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-4.96&CDS=1-7971	YBR140C, YOL081W
394	OG0000394	-processed-gene-4.116-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-4.116&CDS=1-1392	YCL036W, YDR514C
395	OG0000395	-processed-gene-4.121-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-4.121&CDS=1-2004	YBR216C, YGL060W
396	OG0000396	-processed-gene-4.107-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-4.107&CDS=1-309	YGR209C, YLR043C
397	OG0000397	-processed-gene-4.135-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-4.135&CDS=1-1497	YLR260W, YOR171C
398	OG0000398	-processed-gene-5.140-mRNA-1_1&gene=genemark-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-5.140&CDS=1-1032	YOR390W, YPL279C
399	OG0000399	-processed-gene-6.131-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-6.131&CDS=1-1074	YKR091W, YOR083W
400	OG0000400	-processed-gene-17.42-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-17.42&CDS=1-1479, -processed-gene-6.137-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-6.137&CDS=1-1326	YEL040W
401	OG0000401	-snap-gene-8.88-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-8.88&CDS=1-2268	YMR253C, YPL264C
402	OG0000402	-processed-gene-17.95-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-17.95&CDS=1-531, -processed-gene-8.119-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-8.119&CDS=1-531	YML073C
403	OG0000403	-snap-gene-10.106-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-10.106&CDS=1-3027	YDR379W, YOR127W
404	OG0000404	-processed-gene-10.142-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-10.142&CDS=1-465	YGL031C, YGR148C
405	OG0000405	-processed-gene-11.8-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-11.8&CDS=1-708	YKR075C, YOR062C
406	OG0000406	-processed-gene-12.128-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-12.128&CDS=1-1854	YDR107C, YLR083C
407	OG0000407	-processed-gene-12.152-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-12.152&CDS=1-1659	YGR092W, YPR111W
408	OG0000408	-processed-gene-13.15-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-13.15&CDS=1-2475	YKR089C, YOR081C
409	OG0000409	-processed-gene-13.50-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-13.50&CDS=1-435	YGR118W, YPR132W
410	OG0000410	-processed-gene-14.101-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.101&CDS=1-762	YFR031C-A, YIL018W
411	OG0000411	-processed-gene-14.107-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.107&CDS=1-1854	YGR138C, YPR156C
412	OG0000412	-processed-gene-14.112-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.112&CDS=1-2088	YGR221C, YHR149C
413	OG0000413	-processed-gene-14.141-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.141&CDS=1-1215, -processed-gene-4.57-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.57&CDS=1-1491	YHR135C
414	OG0000414	-processed-gene-14.122-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.122&CDS=1-1794	YHR117W, YNL121C
415	OG0000415	-processed-gene-14.145-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.145&CDS=1-1638	YIL085C, YNL029C
416	OG0000416	-processed-gene-14.146-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.146&CDS=1-1296	YBL056W, YER089C
417	OG0000417	-processed-gene-14.130-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-14.130&CDS=1-1773, -processed-gene-30.61-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.61&CDS=1-1194	YNL027W
418	OG0000418	-processed-gene-15.124-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.124&CDS=1-2874	YBL009W, YGL021W
419	OG0000419	-processed-gene-15.133-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.133&CDS=1-282	YGR008C, YLR327C
420	OG0000420	-processed-gene-15.167-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.167&CDS=1-1038, -processed-gene-15.173-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.173&CDS=1-1044	YMR152W
421	OG0000421	-snap-gene-15.6-mRNA-1_1&gene=maker-gi|1002316268|dbj|BCGI01000002.1|-snap-gene-15.6&CDS=1-1422	YDL161W, YLR206W
422	OG0000422	-processed-gene-15.151-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.151&CDS=1-1434	YEL047C, YJR051W
423	OG0000423	-processed-gene-15.153-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-15.153&CDS=1-558	YNL301C, YOL120C
424	OG0000424	-processed-gene-16.2-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-16.2&CDS=1-2199	YFL050C, YOL130W
425	OG0000425	-processed-gene-16.20-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-16.20&CDS=1-1515	YHL017W, YKL039W
426	OG0000426	-processed-gene-17.9-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-17.9&CDS=1-2310	YKL121W, YMR102C
427	OG0000427	-processed-gene-17.18-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-17.18&CDS=1-4470	YER132C, YGL197W
428	OG0000428	-processed-gene-18.102-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-18.102&CDS=1-324	YGR027C, YLR333C
429	OG0000429	-processed-gene-18.79-mRNA-1_1&gene=augustus_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-18.79&CDS=1-2274	YGR023W, YLR332W
430	OG0000430	-processed-gene-18.104-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-18.104&CDS=1-666	YGR049W, YLR356W
431	OG0000431	-processed-gene-14.92-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.92&CDS=1-1140, -processed-gene-19.10-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-19.10&CDS=1-1080	YOL136C
432	OG0000432	-processed-gene-19.41-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-19.41&CDS=1-816	YCR010C, YNR002C
433	OG0000433	-processed-gene-20.208-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.208&CDS=1-552	YJL177W, YKL180W
434	OG0000434	-processed-gene-20.210-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.210&CDS=1-2691	YJL181W, YJR030C
435	OG0000435	-processed-gene-20.182-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.182&CDS=1-2943, -processed-gene-20.186-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.186&CDS=1-3327	YER176W
436	OG0000436	-processed-gene-14.86-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.86&CDS=1-1719, -processed-gene-20.202-mRNA-1_1&gene=snap_masked-gi|1002316268|dbj|BCGI01000002.1|-processed-gene-20.202&CDS=1-1740	YPL265W
437	OG0000437	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-0.19&CDS=1-1704	YAL056W, YOR371C
438	OG0000438	-processed-gene-0.77-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-0.77&CDS=1-2925	YGL049C, YGR162W
439	OG0000439	-processed-gene-0.81-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-0.81&CDS=1-3375	YDR326C, YHR080C
440	OG0000440	-processed-gene-0.65-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-0.65&CDS=1-1503	YDR277C, YOR047C
441	OG0000441	-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-1.82&CDS=1-2436	YKL072W, YMR053C
442	OG0000442	-snap-gene-2.59-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-2.59&CDS=1-837	YLR287C-A, YOR182C
443	OG0000443	-snap-gene-2.60-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-2.60&CDS=1-198	YLR264W, YOR167C
444	OG0000444	-processed-gene-2.15-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-2.15&CDS=1-1860	YLR273C, YOR178C
445	OG0000445	-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-2.106&CDS=1-699	YAL018C, YOL048C
446	OG0000446	-processed-gene-2.50-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-2.50&CDS=1-1269	YDR125C, YLR099C
447	OG0000447	-processed-gene-3.57-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-3.57&CDS=1-357	YDL075W, YLR406C
448	OG0000448	-processed-gene-4.52-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.52&CDS=1-2349	YDL037C, YIR019C
449	OG0000449	-processed-gene-4.73-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.73&CDS=1-1338	YDR309C, YHR061C
450	OG0000450	-processed-gene-4.75-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.75&CDS=1-501	YGR131W, YPR149W
451	OG0000451	-snap-gene-4.44-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-4.44&CDS=1-702	YGR136W, YPR154W
452	OG0000452	-processed-gene-4.14-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-4.14&CDS=1-246	YHR021C, YKL156W
453	OG0000453	-processed-gene-5.78-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-5.78&CDS=1-900	YLR270W, YOR173W
454	OG0000454	-processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-5.80&CDS=1-2526	YDR385W, YOR133W
455	OG0000455	-processed-gene-5.87-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-5.87&CDS=1-3984	YGR238C, YHR158C
456	OG0000456	-processed-gene-6.12-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-6.12&CDS=1-3531	YHR155W, YNL257C
457	OG0000457	-processed-gene-8.84-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.84&CDS=1-1026	YKR076W, YMR251W
458	OG0000458	-processed-gene-8.71-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-8.71&CDS=1-1410	YER081W, YIL074C
459	OG0000459	-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.58&CDS=1-753	YER062C, YIL053W
460	OG0000460	-processed-gene-11.17-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.17&CDS=1-2787	YDR206W, YLR233C
461	OG0000461	-processed-gene-11.41-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.41&CDS=1-1287, -processed-gene-11.42-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.42&CDS=1-1290	YNR058W
462	OG0000462	-processed-gene-11.50-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.50&CDS=1-1521	YDR200C, YLR238W
463	OG0000463	-processed-gene-11.31-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-11.31&CDS=1-1314	YER045C, YIL036W
464	OG0000464	-processed-gene-12.19-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-12.19&CDS=1-1131	YAL015C, YOL043C
465	OG0000465	-processed-gene-13.78-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-13.78&CDS=1-1470	YHR115C, YNL116W
466	OG0000466	-processed-gene-14.50-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.50&CDS=1-2016	YER066W, YFL009W
467	OG0000467	-processed-gene-14.53-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-14.53&CDS=1-1371	YFL048C, YLR080W
468	OG0000468	-processed-gene-15.30-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-15.30&CDS=1-2586	YBL101C, YPR030W
469	OG0000469	-processed-gene-16.72-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-16.72&CDS=1-1611	YDL224C, YNL197C
470	OG0000470	-processed-gene-16.31-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-16.31&CDS=1-1971	YDL229W, YNL209W
471	OG0000471	-snap-gene-17.122-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-17.122&CDS=1-1110	YDR132C, YLR108C
472	OG0000472	-processed-gene-18.29-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-18.29&CDS=1-423	YCR031C, YJL191W
473	OG0000473	-processed-gene-18.37-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-18.37&CDS=1-1380	YGR177C, YOR377W
474	OG0000474	-processed-gene-18.112-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-18.112&CDS=1-357	YER131W, YGL189C
475	OG0000475	-processed-gene-19.40-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-19.40&CDS=1-4269	YCL068C, YCR038C
476	OG0000476	-processed-gene-20.35-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-20.35&CDS=1-1914	YEL030W, YJR045C
477	OG0000477	-processed-gene-20.27-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-20.27&CDS=1-1326	YGR141W, YPR157W
478	OG0000478	-processed-gene-21.1-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-21.1&CDS=1-1086	YDL246C, YJR159W
479	OG0000479	-processed-gene-21.42-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-21.42&CDS=1-1383	YOR231W, YPL140C
480	OG0000480	-processed-gene-22.96-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-22.96&CDS=1-1380	YAL062W, YOR375C
481	OG0000481	-processed-gene-22.86-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-22.86&CDS=1-2079	YBR169C, YPL106C
482	OG0000482	-processed-gene-23.44-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.44&CDS=1-1083	YKL132C, YMR113W
483	OG0000483	-processed-gene-23.23-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.23&CDS=1-3561	YDR122W, YLR096W
484	OG0000484	-processed-gene-23.56-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.56&CDS=1-1998	YDR213W, YLR228C
485	OG0000485	-processed-gene-23.14-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.14&CDS=1-1422	YDR451C, YML027W
486	OG0000486	-processed-gene-23.79-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.79&CDS=1-321	YJR094W-A, YPR043W
487	OG0000487	-processed-gene-23.64-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-23.64&CDS=1-3132	YJR091C, YPR042C
488	OG0000488	-processed-gene-24.11-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-24.11&CDS=1-1440	YCL040W, YDR516C
489	OG0000489	-processed-gene-24.21-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-24.21&CDS=1-306	YCL035C, YDR513W
490	OG0000490	-processed-gene-24.106-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-24.106&CDS=1-360	YDL136W, YDL191W
491	OG0000491	-processed-gene-25.50-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.50&CDS=1-567	YDL137W, YDL192W
492	OG0000492	-snap-gene-25.46-mRNA-1_1&gene=maker-gi|1002316269|dbj|BCGI01000001.1|-snap-gene-25.46&CDS=1-798	YGR214W, YLR048W
493	OG0000493	-processed-gene-25.71-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-25.71&CDS=1-759, -processed-gene-26.31-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-26.31&CDS=1-741	YIR038C
494	OG0000494	-processed-gene-26.41-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-26.41&CDS=1-750	YGR248W, YHR163W
495	OG0000495	-processed-gene-29.6-mRNA-1_1&gene=augustus_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-29.6&CDS=1-264	YER019C-A, YER087C-B
496	OG0000496	-processed-gene-30.35-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.35&CDS=1-702	YHR043C, YHR044C
497	OG0000497	-processed-gene-30.5-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.5&CDS=1-1290	YDR312W, YHR066W
498	OG0000498	-processed-gene-30.23-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.23&CDS=1-1302	YDR151C, YLR136C
499	OG0000499	-processed-gene-30.26-mRNA-1_1&gene=snap_masked-gi|1002316269|dbj|BCGI01000001.1|-processed-gene-30.26&CDS=1-1695	YFL011W, YMR011W
500	OG0000500	-processed-gene-0.8-mRNA-1_1&gene=snap_masked-gi|1002316262|dbj|BCGI01000008.1|-processed-gene-0.8&CDS=1-1221	YPL054W
501	OG0000501	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316262|dbj|BCGI01000008.1|-processed-gene-0.9&CDS=1-1911	YPL093W
502	OG0000502	-processed-gene-0.10-mRNA-1_1&gene=snap_masked-gi|1002316262|dbj|BCGI01000008.1|-processed-gene-0.10&CDS=1-2346	YIL068C
503	OG0000503	-processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.8&CDS=1-2532	YLR014C
504	OG0000504	-processed-gene-0.29-mRNA-1_1&gene=genemark-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.29&CDS=1-621	YLR009W
505	OG0000505	-processed-gene-0.93-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.93&CDS=1-477	YLR008C
506	OG0000506	-processed-gene-0.114-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.114&CDS=1-1101	YGR173W
507	OG0000507	-processed-gene-0.94-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.94&CDS=1-1587	YJL014W
508	OG0000508	-processed-gene-0.115-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.115&CDS=1-447	YJL011C
509	OG0000509	-processed-gene-0.95-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.95&CDS=1-2163	YJL012C
510	OG0000510	-processed-gene-0.97-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.97&CDS=1-3792	YDR301W
511	OG0000511	-processed-gene-0.98-mRNA-1_1&gene=snap_masked-gi|1002316263|dbj|BCGI01000007.1|-processed-gene-0.98&CDS=1-867	YHR187W
