	OrthologID	Saccharomyces_cerevisiae	Xylona_heveae
339	OG0000339	YFL048C, YLR080W	XP_018187050.1
340	OG0000340	YFL054C	XP_018185509.1, XP_018190242.1
341	OG0000341	YFL061W, YNL335W	XP_018191883.1
342	OG0000342	YFR014C, YOL016C	XP_018191572.1
343	OG0000343	YFR022W, YOR018W	XP_018186675.1
344	OG0000344	YFR031C-A, YIL018W	XP_018188101.1
345	OG0000345	YGL012W	XP_018186278.1, XP_018189584.1
346	OG0000346	YGL014W, YGL178W	XP_018186223.1
347	OG0000347	YGL031C, YGR148C	XP_018186457.1
348	OG0000348	YGL047W	XP_018185144.1, XP_018189787.1
349	OG0000349	YGL049C, YGR162W	XP_018188314.1
350	OG0000350	YGL055W	XP_018190910.1, XP_018191565.1
351	OG0000351	YGL076C, YPL198W	XP_018188274.1
352	OG0000352	YGL082W, YPL191C	XP_018186106.1
353	OG0000353	YGL097W	XP_018185840.1, XP_018188267.1
354	OG0000354	YGL133W, YPL216W	XP_018187048.1
355	OG0000355	YGL135W, YPL220W	XP_018192052.1
356	OG0000356	YGL139W, YPL221W	XP_018184522.1
357	OG0000357	YGL147C, YNL067W	XP_018191896.1
358	OG0000358	YGL159W	XP_018187581.1, XP_018190514.1
359	OG0000359	YGL202W	XP_018184642.1, XP_018191700.1
360	OG0000360	YGL225W	XP_018186860.1, XP_018191427.1
361	OG0000361	YGL245W	XP_018185862.1, XP_018186415.1
362	OG0000362	YGR004W, YLR324W	XP_018188435.1
363	OG0000363	YGR008C, YLR327C	XP_018191184.1
364	OG0000364	YGR010W, YLR328W	XP_018192267.1
365	OG0000365	YGR019W	XP_018188147.1, XP_018189837.1
366	OG0000366	YGR027C, YLR333C	XP_018189573.1
367	OG0000367	YGR034W, YLR344W	XP_018185055.1
368	OG0000368	YGR038W, YLR350W	XP_018184531.1
369	OG0000369	YGR055W	XP_018185170.1, XP_018189918.1
370	OG0000370	YGR056W, YLR357W	XP_018184471.1
371	OG0000371	YGR085C, YPR102C	XP_018190293.1
372	OG0000372	YGR086C, YPL004C	XP_018191772.1
373	OG0000373	YGR092W, YPR111W	XP_018186408.1
374	OG0000374	YGR118W, YPR132W	XP_018191151.1
375	OG0000375	YGR131W, YPR149W	XP_018184504.1
376	OG0000376	YGR136W, YPR154W	XP_018184498.1
377	OG0000377	YGR155W	XP_018187108.1, XP_018189163.1
378	OG0000378	YGR189C	XP_018187950.1, XP_018192039.1
379	OG0000379	YGR197C, YJR015W	XP_018184907.1
380	OG0000380	YGR209C, YLR043C	XP_018188762.1
381	OG0000381	YGR214W, YLR048W	XP_018190825.1
382	OG0000382	YGR238C, YHR158C	XP_018184826.1
383	OG0000383	YGR241C, YHR161C	XP_018191766.1
384	OG0000384	YGR243W, YHR162W	XP_018186393.1
385	OG0000385	YGR266W	XP_018187802.1, XP_018191477.1
386	OG0000386	YGR273C, YMR295C	XP_018191539.1
387	OG0000387	YGR283C, YMR310C	XP_018190271.1
388	OG0000388	YHL001W, YKL006W	XP_018186355.1
389	OG0000389	YHL003C, YKL008C	XP_018192481.1
390	OG0000390	YHL017W, YKL039W	XP_018192228.1
391	OG0000391	YHL021C	XP_018185299.1, XP_018189360.1
392	OG0000392	YHL033C, YLL045C	XP_018190515.1
393	OG0000393	YHL039W, YPL208W	XP_018184757.1
394	OG0000394	YHR001W, YKR003W	XP_018187998.1
395	OG0000395	YHR007C	XP_018189130.1, XP_018192447.1
396	OG0000396	YHR021C, YKL156W	XP_018184813.1
397	OG0000397	YHR084W	XP_018187826.1, XP_018188112.1
398	OG0000398	YHR090C	XP_018187996.1, XP_018190405.1
399	OG0000399	YHR115C, YNL116W	XP_018192173.1
400	OG0000400	YHR117W, YNL121C	XP_018185152.1
401	OG0000401	YHR123W, YNL130C	XP_018184831.1
402	OG0000402	YHR124W	XP_018188395.1, XP_018190997.1
403	OG0000403	YHR131C, YNL144C	XP_018190640.1
404	OG0000404	YHR132W-A, YNL157W	XP_018191261.1
405	OG0000405	YHR133C, YNL156C	XP_018190139.1
406	OG0000406	YHR141C, YNL162W	XP_018185622.1
407	OG0000407	YHR146W, YNL173C	XP_018185171.1
408	OG0000408	YHR155W, YNL257C	XP_018189079.1
409	OG0000409	YHR176W	XP_018185889.1, XP_018188768.1
410	OG0000410	YHR198C, YHR199C	XP_018187691.1
411	OG0000411	YHR202W	XP_018188248.1, XP_018190071.1
412	OG0000412	YHR203C, YJR145C	XP_018186032.1
413	OG0000413	YIL085C, YNL029C	XP_018192152.1
414	OG0000414	YIL095W, YNL020C	XP_018187711.1
415	OG0000415	YIL105C, YNL047C	XP_018187495.1
416	OG0000416	YIL111W, YNL052W	XP_018186156.1
417	OG0000417	YIL117C, YNL058C	XP_018192408.1
418	OG0000418	YIL130W	XP_018186602.1, XP_018189709.1
419	OG0000419	YIL143C	XP_018185910.1, XP_018191050.1
420	OG0000420	YIL151C, YKR096W	XP_018188473.1
421	OG0000421	YIL160C	XP_018184755.1, XP_018188927.1
422	OG0000422	YIL166C	XP_018186477.1, XP_018188569.1
423	OG0000423	YIR033W, YKL020C	XP_018186300.1
424	OG0000424	YJL079C, YKR013W	XP_018192398.1
425	OG0000425	YJL082W, YKR018C	XP_018187852.1
426	OG0000426	YJL083W, YKR019C	XP_018192146.1
427	OG0000427	YJL084C, YKR021W	XP_018192273.1
428	OG0000428	YJL093C	XP_018186013.1, XP_018189048.1
429	OG0000429	YJL098W, YKR028W	XP_018190509.1
430	OG0000430	YJL105W, YKR029C	XP_018190972.1
431	OG0000431	YJL133W, YKR052C	XP_018187427.1
432	OG0000432	YJL134W, YKR053C	XP_018184972.1
433	OG0000433	YJL136C, YKR057W	XP_018189985.1
434	OG0000434	YJL137C, YKR058W	XP_018187766.1
435	OG0000435	YJL177W, YKL180W	XP_018185281.1
436	OG0000436	YJR016C	XP_018187262.1, XP_018190058.1
437	OG0000437	YJR054W, YML047C	XP_018186712.1
438	OG0000438	YJR069C	XP_018184717.1, XP_018188196.1
439	OG0000439	YJR091C, YPR042C	XP_018187042.1
440	OG0000440	YJR094W-A, YPR043W	XP_018187089.1
441	OG0000441	YJR095W	XP_018187067.1, XP_018188650.1
442	OG0000442	YJR107W	XP_018189917.1, XP_018190230.1
443	OG0000443	YJR154W	XP_018185386.1, XP_018190525.1
444	OG0000444	YKL046C	XP_018186328.1, XP_018190381.1
445	OG0000445	YKL051W	XP_018185624.1, XP_018190250.1
446	OG0000446	YKL070W	XP_018184715.1, XP_018185163.1
447	OG0000447	YKL072W, YMR053C	XP_018187624.1
448	OG0000448	YKL085W	XP_018186824.1, XP_018188934.1
449	OG0000449	YKL091C, YMR079W	XP_018187470.1
450	OG0000450	YKL121W, YMR102C	XP_018192222.1
451	OG0000451	YKL126W, YMR104C	XP_018190986.1
452	OG0000452	YKL132C, YMR113W	XP_018192284.1
453	OG0000453	YKL157W	XP_018186196.1, XP_018190338.1
454	OG0000454	YKL171W	XP_018188538.1, XP_018192512.1
455	OG0000455	YKL182W	XP_018186528.1, XP_018186749.1
456	OG0000456	YKL209C	XP_018188137.1, XP_018191821.1
457	OG0000457	YKR031C	XP_018184629.1, XP_018188901.1
458	OG0000458	YKR043C	XP_018185146.1, XP_018186502.1
459	OG0000459	YKR076W, YMR251W	XP_018188822.1
460	OG0000460	YKR089C	XP_018191747.1, XP_018192007.1
461	OG0000461	YKR091W, YOR083W	XP_018189066.1
462	OG0000462	YKR099W	XP_018190041.1, XP_018192498.1
463	OG0000463	YLL012W, YLR020C	XP_018189238.1
464	OG0000464	YLL057C	XP_018184877.1, XP_018186476.1
465	OG0000465	YLR058C	XP_018186987.1, XP_018190092.1
466	OG0000466	YLR070C	XP_018187544.1, XP_018191410.1
467	OG0000467	YLR126C	XP_018185691.1, XP_018187188.1
468	OG0000468	YLR138W	XP_018186299.1, XP_018192488.1
469	OG0000469	YLR142W	XP_018186890.1, XP_018190007.1
470	OG0000470	YLR178C, YLR179C	XP_018189386.1
471	OG0000471	YLR187W, YNL278W	XP_018191694.1
472	OG0000472	YLR216C	XP_018184585.1, XP_018191614.1
473	OG0000473	YLR260W, YOR171C	XP_018191935.1
474	OG0000474	YLR264W, YOR167C	XP_018192365.1
475	OG0000475	YLR270W, YOR173W	XP_018188746.1
476	OG0000476	YLR284C, YOR180C	XP_018186911.1
477	OG0000477	YLR287C-A, YOR182C	XP_018186419.1
478	OG0000478	YLR419W	XP_018187001.1, XP_018192094.1
479	OG0000479	YLR424W	XP_018185986.1, XP_018190392.1
480	OG0000480	YLR433C, YML057W	XP_018185958.1
481	OG0000481	YLR448W, YML073C	XP_018191891.1
482	OG0000482	YLR449W, YML074C	XP_018187931.1
483	OG0000483	YLR450W, YML075C	XP_018189975.1
484	OG0000484	YLR451W	XP_018185793.1, XP_018190033.1
485	OG0000485	YLR454W, YPR117W	XP_018192073.1
486	OG0000486	YLR456W, YPR172W	XP_018184833.1
487	OG0000487	YML085C	XP_018186145.1, XP_018189361.1
488	OG0000488	YML109W, YMR273C	XP_018186554.1
489	OG0000489	YML126C	XP_018185317.1, XP_018192497.1
490	OG0000490	YML131W	XP_018187631.1, XP_018188500.1
491	OG0000491	YMR015C	XP_018188946.1, XP_018192332.1
492	OG0000492	YMR020W	XP_018189464.1, XP_018189694.1
493	OG0000493	YMR108W	XP_018185082.1, XP_018185350.1
494	OG0000494	YMR119W, YNL008C	XP_018184867.1
495	OG0000495	YMR177W, YPL224C	XP_018190618.1
496	OG0000496	YMR182C, YPL230W	XP_018187310.1
497	OG0000497	YMR186W, YPL240C	XP_018190666.1
498	OG0000498	YMR190C	XP_018189916.1, XP_018191283.1
499	OG0000499	YMR194W, YPL249C-A	XP_018190170.1
500	OG0000500	YMR230W, YOR293W	XP_018185529.1
501	OG0000501	YMR233W, YOR295W	XP_018192388.1
502	OG0000502	YMR237W, YOR299W	XP_018185240.1
503	OG0000503	YMR242C, YOR312C	XP_018187612.1
504	OG0000504	YMR243C, YOR316C	XP_018190866.1
505	OG0000505	YMR250W	XP_018186448.1, XP_018189656.1
506	OG0000506	YMR318C	XP_018185092.1, XP_018189068.1
507	OG0000507	YNL087W, YOR086C	XP_018189950.1
508	OG0000508	YNL096C, YOR096W	XP_018189073.1
509	OG0000509	YNL104C, YOR108W	XP_018189672.1
510	OG0000510	YNL106C, YOR109W	XP_018192460.1
511	OG0000511	YNL108C, YOR110W	XP_018189693.1
512	OG0000512	YNL293W, YOL112W	XP_018185251.1
513	OG0000513	YNL299W, YOL115W	XP_018188437.1
514	OG0000514	YNL301C, YOL120C	XP_018185677.1
515	OG0000515	YNL302C, YOL121C	XP_018190060.1
516	OG0000516	YNR001C	XP_018186230.1, XP_018186316.1
517	OG0000517	YNR018W	XP_018186283.1, XP_018187900.1
518	OG0000518	YNR055C	XP_018185970.1, XP_018190454.1
519	OG0000519	YOL061W	XP_018189380.1, XP_018190829.1
520	OG0000520	YOL137W	XP_018184902.1, XP_018184947.1
521	OG0000521	YOL152W	XP_018185363.1, XP_018186467.1
522	OG0000522	YOR226C, YPL135W	XP_018185674.1
523	OG0000523	YOR234C, YPL143W	XP_018191538.1
524	OG0000524	YOR237W, YPL145C	XP_018186695.1
525	OG0000525	YOR374W	XP_018185034.1, XP_018191762.1
526	OG0000526	YOR389W, YPL277C	XP_018191712.1
527	OG0000527	YOR390W, YPL279C	XP_018192075.1
528	OG0000528	YPL067C	XP_018187242.1, XP_018187999.1
529	OG0000529	YPL069C	XP_018187504.1, XP_018189175.1
530	OG0000530	YPL111W	XP_018184488.1, XP_018190268.1
531	OG0000531	YPL231W	XP_018186520.1, XP_018186748.1
532	OG0000532	YPL242C	XP_018187465.1, XP_018189988.1
533	OG0000533	YPR022C	XP_018190924.1, XP_018191382.1
534	OG0000534	YPR065W	XP_018185470.1, XP_018186048.1
535	OG0000535	YPR113W	XP_018186414.1, XP_018189543.1
536	OG0000536	YPR127W	XP_018187827.1, XP_018188655.1
537	OG0000537	YPR159W	XP_018185515.1, XP_018189030.1
538	OG0000538	YPR169W-A, YPR170W-B	XP_018188118.1
539	OG0000539		XP_018185169.1, XP_018189185.1, XP_018190953.1
540	OG0000540	YAL001C	XP_018192106.1
541	OG0000541	YAL002W	XP_018191606.1
542	OG0000542	YAL003W	XP_018192026.1
543	OG0000543	YAL009W	XP_018189037.1
544	OG0000544	YAL010C	XP_018192166.1
545	OG0000545	YAL013W	XP_018189367.1
546	OG0000546	YAL016W	XP_018187746.1
547	OG0000547	YAL019W	XP_018191541.1
548	OG0000548	YAL020C	XP_018188302.1
549	OG0000549	YAL021C	XP_018190584.1
550	OG0000550	YAL022C	XP_018187282.1
551	OG0000551	YAL024C	XP_018190791.1
552	OG0000552	YAL025C	XP_018186958.1
553	OG0000553	YAL026C	XP_018187075.1
554	OG0000554	YAL032C	XP_018185916.1
555	OG0000555	YAL033W	XP_018184928.1
556	OG0000556	YAL034W-A	XP_018189599.1
557	OG0000557	YAL035W	XP_018188999.1
558	OG0000558	YAL036C	XP_018187760.1
559	OG0000559	YAL038W	XP_018191809.1
560	OG0000560	YAL039C	XP_018188452.1
561	OG0000561	YAL041W	XP_018190421.1
562	OG0000562	YAL042W	XP_018191497.1
563	OG0000563	YAL043C	XP_018189354.1
564	OG0000564	YAL044C	XP_018192309.1
565	OG0000565	YAL044W-A	XP_018189783.1
566	OG0000566	YAL046C	XP_018187230.1
567	OG0000567	YAL048C	XP_018186677.1
568	OG0000568	YAL049C	XP_018185681.1
569	OG0000569	YAL051W, YOR363C	
570	OG0000570	YAL058W	XP_018191515.1
571	OG0000571	YAL067C	XP_018184481.1
572	OG0000572	YAR003W	XP_018187590.1
573	OG0000573	YAR007C	XP_018185672.1
574	OG0000574	YAR008W	XP_018188702.1
575	OG0000575	YAR014C	XP_018192511.1
576	OG0000576	YAR015W	XP_018190689.1
577	OG0000577	YAR018C	XP_018186420.1
578	OG0000578	YAR035W	XP_018186193.1
579	OG0000579	YBL001C	XP_018187295.1
580	OG0000580	YBL003C	XP_018184446.1
581	OG0000581	YBL004W	XP_018187959.1
582	OG0000582	YBL007C	XP_018189430.1
583	OG0000583	YBL008W	XP_018184401.1
584	OG0000584	YBL013W	XP_018191183.1
585	OG0000585	YBL014C	XP_018191076.1
586	OG0000586	YBL015W	XP_018189060.1
587	OG0000587	YBL016W	XP_018187359.1
588	OG0000588	YBL019W	XP_018186049.1
589	OG0000589	YBL020W	XP_018185669.1
590	OG0000590	YBL021C	XP_018191699.1
591	OG0000591	YBL022C	XP_018190914.1
592	OG0000592	YBL023C	XP_018185176.1
593	OG0000593	YBL024W	XP_018190708.1
594	OG0000594	YBL026W	XP_018189234.1
595	OG0000595	YBL029C-A	XP_018187671.1
596	OG0000596	YBL033C	XP_018185418.1
597	OG0000597	YBL034C	XP_018188948.1
598	OG0000598	YBL035C	XP_018192204.1
599	OG0000599	YBL036C	XP_018188335.1
600	OG0000600	YBL038W	XP_018185557.1
601	OG0000601	YBL039C	XP_018192264.1
602	OG0000602	YBL040C	XP_018186220.1
603	OG0000603	YBL041W	XP_018190203.1
604	OG0000604	YBL049W	XP_018187776.1
605	OG0000605	YBL050W	XP_018185424.1
606	OG0000606	YBL051C	XP_018186098.1
607	OG0000607	YBL057C	XP_018185496.1
608	OG0000608	YBL059C-A	XP_018191697.1
609	OG0000609	YBL061C	XP_018191642.1
610	OG0000610	YBL063W	XP_018189764.1
611	OG0000611	YBL064C	XP_018190601.1
612	OG0000612	YBL071W-A	XP_018185400.1
613	OG0000613	YBL076C	XP_018190771.1
614	OG0000614	YBL078C	XP_018186247.1
615	OG0000615	YBL080C	XP_018190267.1
616	OG0000616	YBL082C	XP_018184900.1
617	OG0000617	YBL084C	XP_018187245.1
618	OG0000618	YBL086C	XP_018187729.1
619	OG0000619	YBL088C	XP_018192269.1
620	OG0000620	YBL091C	XP_018191245.1
621	OG0000621	YBL092W	XP_018192117.1
622	OG0000622	YBL093C	XP_018191995.1
623	OG0000623	YBL097W	XP_018192424.1
624	OG0000624	YBL098W	XP_018191784.1
625	OG0000625	YBL099W	XP_018189322.1
626	OG0000626	YBL102W	XP_018184377.1
627	OG0000627	YBL104C	XP_018187771.1
628	OG0000628	YBL105C	XP_018184946.1
629	OG0000629	YBR002C	XP_018185077.1
630	OG0000630	YBR003W	XP_018187347.1
631	OG0000631	YBR004C	XP_018190518.1
632	OG0000632	YBR006W	XP_018189839.1
633	OG0000633	YBR011C	XP_018191532.1
634	OG0000634	YBR017C	XP_018189195.1
635	OG0000635	YBR018C	XP_018190934.1
636	OG0000636	YBR019C	XP_018188741.1
637	OG0000637	YBR022W	XP_018189597.1
638	OG0000638	YBR023C	XP_018191643.1
639	OG0000639	YBR025C	XP_018184369.1
640	OG0000640	YBR026C	XP_018188252.1
641	OG0000641	YBR029C	XP_018188925.1
642	OG0000642	YBR033W, YKL038W	
643	OG0000643	YBR034C	XP_018185232.1
644	OG0000644	YBR035C	XP_018188807.1
645	OG0000645	YBR037C	XP_018185997.1
646	OG0000646	YBR039W	XP_018191521.1
647	OG0000647	YBR041W	XP_018191633.1
648	OG0000648	YBR043C	XP_018184562.1
649	OG0000649	YBR046C	XP_018188737.1
650	OG0000650	YBR055C	XP_018185643.1
651	OG0000651	YBR056W	XP_018187743.1
652	OG0000652	YBR058C	XP_018185673.1
653	OG0000653	YBR060C	XP_018184738.1
654	OG0000654	YBR061C	XP_018186625.1
655	OG0000655	YBR062C	XP_018186733.1
656	OG0000656	YBR065C	XP_018188240.1
657	OG0000657	YBR070C	XP_018191308.1
658	OG0000658	YBR074W	XP_018187705.1
659	OG0000659	YBR078W	XP_018191228.1
660	OG0000660	YBR079C	XP_018190674.1
661	OG0000661	YBR080C	XP_018190785.1
662	OG0000662	YBR081C	XP_018190116.1
663	OG0000663	YBR082C	XP_018187335.1
664	OG0000664	YBR083W	XP_018187675.1
665	OG0000665	YBR085W	XP_018189081.1
666	OG0000666	YBR086C	XP_018186783.1
667	OG0000667	YBR087W	XP_018185559.1
668	OG0000668	YBR088C	XP_018191463.1
669	OG0000669	YBR094W	XP_018185331.1
670	OG0000670	YBR096W	XP_018186294.1
671	OG0000671	YBR097W	XP_018184942.1
672	OG0000672	YBR101C	XP_018190140.1
673	OG0000673	YBR103W	XP_018185519.1
674	OG0000674	YBR105C	XP_018191938.1
675	OG0000675	YBR106W	XP_018186089.1
676	OG0000676	YBR110W	XP_018190597.1
677	OG0000677	YBR111C	XP_018188464.1
678	OG0000678	YBR112C	XP_018185512.1
679	OG0000679	YBR115C	XP_018185468.1
680	OG0000680	YBR120C	XP_018190108.1
681	OG0000681	YBR121C	XP_018184691.1
682	OG0000682	YBR122C	XP_018190591.1
683	OG0000683	YBR123C	XP_018185742.1
684	OG0000684	YBR126C	XP_018187430.1
685	OG0000685	YBR127C	XP_018185430.1
686	OG0000686	YBR133C	XP_018185019.1
687	OG0000687	YBR135W	XP_018191684.1
688	OG0000688	YBR136W	XP_018188254.1
689	OG0000689	YBR137W	XP_018185280.1
690	OG0000690	YBR141C	XP_018186882.1
691	OG0000691	YBR142W	XP_018186624.1
692	OG0000692	YBR143C	XP_018186880.1
693	OG0000693	YBR146W	XP_018188212.1
694	OG0000694	YBR153W	XP_018185556.1
695	OG0000695	YBR154C	XP_018190653.1
696	OG0000696	YBR155W	XP_018190731.1
697	OG0000697	YBR156C	XP_018190747.1
698	OG0000698	YBR159W	XP_018190932.1
699	OG0000699	YBR160W	XP_018188076.1
700	OG0000700	YBR161W	XP_018186872.1
701	OG0000701	YBR162C	XP_018191667.1
702	OG0000702	YBR164C	XP_018188272.1
703	OG0000703	YBR166C	XP_018188308.1
704	OG0000704	YBR167C	XP_018187077.1
705	OG0000705	YBR170C	XP_018191487.1
706	OG0000706	YBR171W	XP_018191488.1
707	OG0000707	YBR173C	XP_018188802.1
708	OG0000708	YBR176W	XP_018186659.1
709	OG0000709	YBR179C	XP_018192277.1
710	OG0000710	YBR180W	XP_018185783.1
711	OG0000711	YBR187W	XP_018186022.1
712	OG0000712	YBR189W	XP_018186042.1
713	OG0000713	YBR193C	XP_018191751.1
714	OG0000714	YBR196C	XP_018190985.1
715	OG0000715	YBR198C	XP_018190582.1
716	OG0000716	YBR200W	XP_018191041.1
717	OG0000717	YBR202W	XP_018192371.1
718	OG0000718	YBR204C	XP_018190059.1
719	OG0000719	YBR215W	XP_018190101.1
720	OG0000720	YBR217W	XP_018186660.1
721	OG0000721	YBR218C	XP_018190298.1
722	OG0000722	YBR220C	XP_018185984.1
723	OG0000723	YBR221C	XP_018188242.1
724	OG0000724	YBR222C	XP_018191233.1
725	OG0000725	YBR227C	XP_018186157.1
726	OG0000726	YBR228W	XP_018185874.1
727	OG0000727	YBR229C	XP_018185867.1
728	OG0000728	YBR231C	XP_018189595.1
729	OG0000729	YBR233W-A	XP_018185044.1
730	OG0000730	YBR234C	XP_018190191.1
731	OG0000731	YBR235W	XP_018190294.1
732	OG0000732	YBR236C	XP_018186575.1
733	OG0000733	YBR243C	XP_018191006.1
734	OG0000734	YBR246W	XP_018187376.1
735	OG0000735	YBR247C	XP_018186813.1
736	OG0000736	YBR248C	XP_018185663.1
737	OG0000737	YBR251W	XP_018185046.1
738	OG0000738	YBR252W	XP_018191465.1
739	OG0000739	YBR254C	XP_018187175.1
740	OG0000740	YBR256C	XP_018185274.1
741	OG0000741	YBR257W	XP_018187661.1
742	OG0000742	YBR261C	XP_018191750.1
743	OG0000743	YBR265W	XP_018192019.1
744	OG0000744	YBR269C	XP_018190428.1
745	OG0000745	YBR271W	XP_018187567.1
746	OG0000746	YBR274W	XP_018187678.1
747	OG0000747	YBR276C	XP_018184950.1
748	OG0000748	YBR279W	XP_018188270.1
749	OG0000749	YBR281C	XP_018186705.1
750	OG0000750	YBR282W	XP_018190442.1
751	OG0000751	YBR287W	XP_018189198.1
752	OG0000752	YBR289W	XP_018187030.1
753	OG0000753	YBR290W	XP_018190109.1
754	OG0000754	YBR291C	XP_018190154.1
755	OG0000755	YCL001W	XP_018188313.1
756	OG0000756	YCL004W	XP_018184727.1
757	OG0000757	YCL008C	XP_018189170.1
758	OG0000758	YCL009C	XP_018191289.1
759	OG0000759	YCL010C	XP_018185181.1
760	OG0000760	YCL012C	XP_018186826.1
761	OG0000761	YCL016C	XP_018184911.1
762	OG0000762	YCL017C	XP_018189171.1
763	OG0000763	YCL018W	XP_018189622.1
764	OG0000764	YCL024W, YDR507C	
765	OG0000765	YCL030C	XP_018187630.1
766	OG0000766	YCL031C	XP_018189815.1
767	OG0000767	YCL032W	XP_018192509.1
768	OG0000768	YCL033C	XP_018186551.1
769	OG0000769	YCL034W	XP_018186694.1
770	OG0000770	YCL038C	XP_018187923.1
771	OG0000771	YCL043C	XP_018187924.1
772	OG0000772	YCL045C	XP_018188601.1
773	OG0000773	YCL047C	XP_018191334.1
774	OG0000774	YCL054W	XP_018192142.1
775	OG0000775	YCL057C-A	XP_018189189.1
776	OG0000776	YCL057W	XP_018191013.1
777	OG0000777	YCL059C	XP_018190919.1
778	OG0000778	YCR002C	XP_018191274.1
779	OG0000779	YCR003W	XP_018191275.1
780	OG0000780	YCR008W	XP_018188142.1
781	OG0000781	YCR009C	XP_018188143.1
782	OG0000782	YCR011C	XP_018191778.1
783	OG0000783	YCR012W	XP_018187854.1
784	OG0000784	YCR016W	XP_018184592.1
785	OG0000785	YCR017C	XP_018187471.1
786	OG0000786	YCR019W	XP_018188957.1
787	OG0000787	YCR024C	XP_018187322.1
788	OG0000788	YCR027C	XP_018187933.1
789	OG0000789	YCR028C-A	XP_018184708.1
790	OG0000790	YCR030C	XP_018190758.1
791	OG0000791	YCR031C	XP_018188307.1
792	OG0000792	YCR032W	XP_018188598.1
793	OG0000793	YCR033W	XP_018186102.1
794	OG0000794	YCR036W	XP_018185764.1
795	OG0000795	YCR042C	XP_018191690.1
796	OG0000796	YCR044C	XP_018185236.1
797	OG0000797	YCR046C	XP_018185845.1
798	OG0000798	YCR047C	XP_018190218.1
799	OG0000799	YCR053W	XP_018185030.1
800	OG0000800	YCR054C	XP_018186732.1
801	OG0000801	YCR057C	XP_018185915.1
802	OG0000802	YCR059C	XP_018185706.1
803	OG0000803	YCR061W	XP_018184454.1
804	OG0000804	YCR063W	XP_018188205.1
805	OG0000805	YCR068W	XP_018188285.1
806	OG0000806	YCR071C	XP_018187435.1
807	OG0000807	YCR072C	XP_018192397.1
808	OG0000808	YCR075C	XP_018190558.1
809	OG0000809	YCR077C	XP_018184940.1
810	OG0000810	YCR079W	XP_018189550.1
811	OG0000811	YCR081W	XP_018186058.1
812	OG0000812	YCR084C	XP_018186832.1
813	OG0000813	YCR087C-A	XP_018192369.1
814	OG0000814	YCR090C	XP_018185015.1
815	OG0000815	YCR092C	XP_018192346.1
816	OG0000816	YCR093W	XP_018185328.1
817	OG0000817	YCR098C	XP_018185550.1
818	OG0000818	YDL001W	XP_018187186.1
819	OG0000819	YDL004W	XP_018190677.1
820	OG0000820	YDL006W	XP_018192279.1
821	OG0000821	YDL007W	XP_018184656.1
822	OG0000822	YDL008W	XP_018189762.1
823	OG0000823	YDL014W	XP_018185282.1
824	OG0000824	YDL015C	XP_018185457.1
825	OG0000825	YDL017W	XP_018187367.1
826	OG0000826	YDL018C	XP_018185895.1
827	OG0000827	YDL020C	XP_018190766.1
828	OG0000828	YDL028C	XP_018189414.1
829	OG0000829	YDL029W	XP_018185179.1
830	OG0000830	YDL030W	XP_018185769.1
831	OG0000831	YDL031W	XP_018188681.1
832	OG0000832	YDL035C	XP_018188745.1
833	OG0000833	YDL040C	XP_018187843.1
834	OG0000834	YDL043C	XP_018191962.1
835	OG0000835	YDL045C	XP_018188676.1
836	OG0000836	YDL045W-A	XP_018190410.1
837	OG0000837	YDL046W	XP_018190973.1
838	OG0000838	YDL047W	XP_018185032.1
839	OG0000839	YDL051W	XP_018188959.1
840	OG0000840	YDL052C	XP_018187246.1
841	OG0000841	YDL055C	XP_018190404.1
842	OG0000842	YDL058W	XP_018190768.1
843	OG0000843	YDL060W	XP_018185416.1
844	OG0000844	YDL063C	XP_018188690.1
845	OG0000845	YDL064W	XP_018191241.1
846	OG0000846	YDL065C	XP_018191240.1
847	OG0000847	YDL066W	XP_018184569.1
848	OG0000848	YDL067C	XP_018184495.1
849	OG0000849	YDL072C	XP_018187572.1
850	OG0000850	YDL074C	XP_018188217.1
851	OG0000851	YDL076C	XP_018185446.1
852	OG0000852	YDL077C	XP_018185435.1
853	OG0000853	YDL081C	XP_018191236.1
854	OG0000854	YDL084W	XP_018186436.1
855	OG0000855	YDL086W	XP_018186280.1
856	OG0000856	YDL087C	XP_018186616.1
857	OG0000857	YDL090C	XP_018184772.1
858	OG0000858	YDL091C	XP_018185276.1
859	OG0000859	YDL092W	XP_018187420.1
860	OG0000860	YDL097C	XP_018190811.1
861	OG0000861	YDL098C	XP_018190721.1
862	OG0000862	YDL100C	XP_018184600.1
863	OG0000863	YDL102W	XP_018192108.1
864	OG0000864	YDL103C	XP_018189813.1
865	OG0000865	YDL104C	XP_018190567.1
866	OG0000866	YDL105W	XP_018188549.1
867	OG0000867	YDL108W	XP_018192430.1
868	OG0000868	YDL111C	XP_018185586.1
869	OG0000869	YDL112W	XP_018192177.1
870	OG0000870	YDL113C	XP_018187215.1
871	OG0000871	YDL114W	XP_018190813.1
872	OG0000872	YDL116W	XP_018191878.1
873	OG0000873	YDL117W	XP_018185878.1
874	OG0000874	YDL119C	XP_018191853.1
875	OG0000875	YDL120W	XP_018185399.1
876	OG0000876	YDL125C	XP_018184469.1
877	OG0000877	YDL127W	XP_018190451.1
878	OG0000878	YDL133W	XP_018189028.1
879	OG0000879	YDL135C	XP_018188749.1
880	OG0000880	YDL140C	XP_018187588.1
881	OG0000881	YDL141W	XP_018188320.1
