	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035658_Starmera_amethionina
227	OG0000227	YCR051W	snap_masked-flattened_line_446-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_446-processed-gene-0.7&CDS=1-633, snap_masked-flattened_line_462-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_462-processed-gene-0.0&CDS=1-633
228	OG0000228	YCR073C, YNR031C	snap_masked-flattened_line_94-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.99&CDS=1-3585
229	OG0000229	YCR073W-A, YNR034W	snap_masked-flattened_line_64-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.5&CDS=1-972
230	OG0000230	YCR098C	snap_masked-flattened_line_160-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.35&CDS=1-1482, snap_masked-flattened_line_28-processed-gene-0.208-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.208&CDS=1-1470
231	OG0000231	YDL001W	augustus_masked-flattened_line_376-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_376-processed-gene-0.6&CDS=1-810, snap_masked-flattened_line_350-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_350-processed-gene-0.8&CDS=1-768
232	OG0000232	YDL042C, YOL068C	snap_masked-flattened_line_54-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.99&CDS=1-1557
233	OG0000233	YDL048C, YLR375W	augustus_masked-flattened_line_18-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.44&CDS=1-900
234	OG0000234	YDL056W	maker-flattened_line_12-snap-gene-0.12-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.12&CDS=1-1932, snap_masked-flattened_line_0-processed-gene-2.143-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.143&CDS=1-2430
235	OG0000235	YDL057W	snap_masked-flattened_line_122-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.96&CDS=1-1884, snap_masked-flattened_line_160-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.36&CDS=1-1833
236	OG0000236	YDL075W, YLR406C	snap_masked-flattened_line_24-processed-gene-0.187-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.187&CDS=1-351
237	OG0000237	YDL082W, YMR142C	snap_masked-flattened_line_108-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.9&CDS=1-597
238	OG0000238	YDL083C, YMR143W	snap_masked-flattened_line_108-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.28&CDS=1-435
239	OG0000239	YDL127W, YDL179W	snap_masked-flattened_line_32-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.104&CDS=1-972
240	OG0000240	YDL131W, YDL182W	augustus_masked-flattened_line_60-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.189&CDS=1-3594
241	OG0000241	YDL136W, YDL191W	augustus_masked-flattened_line_40-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.28&CDS=1-360
242	OG0000242	YDL137W, YDL192W	snap_masked-flattened_line_40-processed-gene-0.169-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.169&CDS=1-543
243	OG0000243	YDL144C	snap_masked-flattened_line_34-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.43&CDS=1-987, snap_masked-flattened_line_96-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.74&CDS=1-1014
244	OG0000244	YDL159W	augustus_masked-flattened_line_372-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_372-processed-gene-0.2&CDS=1-1488, augustus_masked-flattened_line_374-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_374-processed-gene-0.5&CDS=1-1473
245	OG0000245	YDL160C	snap_masked-flattened_line_372-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_372-processed-gene-0.3&CDS=1-1629, snap_masked-flattened_line_374-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_374-processed-gene-0.0&CDS=1-1641
246	OG0000246	YDL204W, YDR233C	snap_masked-flattened_line_2-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.16&CDS=1-951
247	OG0000247	YDL206W	maker-flattened_line_2-snap-gene-1.133-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.133&CDS=1-1803, maker-flattened_line_52-snap-gene-0.116-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.116&CDS=1-2133
248	OG0000248	YDL210W	snap_masked-flattened_line_136-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.46&CDS=1-1731, snap_masked-flattened_line_212-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_212-processed-gene-0.14&CDS=1-1713
249	OG0000249	YDL224C, YNL197C	augustus_masked-flattened_line_126-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.4&CDS=1-1713
250	OG0000250	YDL229W, YNL209W	snap_masked-flattened_line_256-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_256-processed-gene-0.2&CDS=1-1839
251	OG0000251	YDL237W	snap_masked-flattened_line_0-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.115&CDS=1-963, snap_masked-flattened_line_80-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.94&CDS=1-1047
252	OG0000252	YDL246C, YJR159W	snap_masked-flattened_line_18-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.50&CDS=1-1068
253	OG0000253	YDR006C, YPL069C	augustus_masked-flattened_line_10-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.44&CDS=1-3360
254	OG0000254	YDR032C	augustus_masked-flattened_line_36-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.237&CDS=1-894, snap_masked-flattened_line_34-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.79&CDS=1-609
255	OG0000255	YDR069C, YER144C	maker-flattened_line_182-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_182-snap-gene-0.0&CDS=1-2496
256	OG0000256	YDR098C, YER174C	snap_masked-flattened_line_82-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.152&CDS=1-759
257	OG0000257	YDR107C, YLR083C	augustus_masked-flattened_line_24-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.16&CDS=1-2511
258	OG0000258	YDR120C	snap_masked-flattened_line_368-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_368-processed-gene-0.3&CDS=1-1485, snap_masked-flattened_line_464-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_464-processed-gene-0.4&CDS=1-1485
259	OG0000259	YDR122W, YLR096W	augustus_masked-flattened_line_2-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.16&CDS=1-3714
260	OG0000260	YDR125C, YLR099C	snap_masked-flattened_line_56-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.65&CDS=1-1032
261	OG0000261	YDR132C, YLR108C	snap_masked-flattened_line_24-processed-gene-0.208-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.208&CDS=1-1209
262	OG0000262	YDR143C	snap_masked-flattened_line_20-processed-gene-0.226-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.226&CDS=1-1602, snap_masked-flattened_line_28-processed-gene-0.219-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.219&CDS=1-672
263	OG0000263	YDR146C, YLR131C	snap_masked-flattened_line_52-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.68&CDS=1-2172
264	OG0000264	YDR151C, YLR136C	snap_masked-flattened_line_52-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.87&CDS=1-906
265	OG0000265	YDR179W-A	augustus_masked-flattened_line_74-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.123&CDS=1-1179, snap_masked-flattened_line_724-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_724-processed-gene-0.0&CDS=1-309
266	OG0000266	YDR185C, YLR168C	augustus_masked-flattened_line_72-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.18&CDS=1-768
267	OG0000267	YDR200C, YLR238W	augustus_masked-flattened_line_72-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.33&CDS=1-1506
268	OG0000268	YDR206W, YLR233C	snap_masked-flattened_line_72-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.118&CDS=1-2634
269	OG0000269	YDR213W, YLR228C	maker-flattened_line_2-snap-gene-0.131-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.131&CDS=1-1767
270	OG0000270	YDR247W, YPL026C	augustus_masked-flattened_line_70-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.26&CDS=1-1401
271	OG0000271	YDR251W, YPL032C	snap_masked-flattened_line_70-processed-gene-0.161-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.161&CDS=1-2646
272	OG0000272	YDR253C, YPL038W	augustus_masked-flattened_line_70-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.19&CDS=1-927
273	OG0000273	YDR263C, YOR033C	augustus_masked-flattened_line_4-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.138&CDS=1-2073
274	OG0000274	YDR270W	augustus_masked-flattened_line_320-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_320-processed-gene-0.7&CDS=1-1800, augustus_masked-flattened_line_322-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_322-processed-gene-0.6&CDS=1-1800
275	OG0000275	YDR272W, YOR040W	augustus_masked-flattened_line_84-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.18&CDS=1-774
276	OG0000276	YDR277C, YOR047C	snap_masked-flattened_line_4-processed-gene-2.112-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.112&CDS=1-1359
277	OG0000277	YDR309C, YHR061C	snap_masked-flattened_line_132-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.94&CDS=1-1095
278	OG0000278	YDR312W, YHR066W	snap_masked-flattened_line_144-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_144-processed-gene-0.38&CDS=1-1251
279	OG0000279	YDR341C	augustus_masked-flattened_line_432-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_432-processed-gene-0.0&CDS=1-1899, snap_masked-flattened_line_414-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_414-processed-gene-0.2&CDS=1-1830
280	OG0000280	YDR348C, YHR097C	maker-flattened_line_54-snap-gene-0.200-mRNA-1_1&gene=maker-flattened_line_54-snap-gene-0.200&CDS=1-1512
281	OG0000281	YDR351W, YHR103W	snap_masked-flattened_line_100-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.22&CDS=1-1902
282	OG0000282	YDR379W, YOR127W	snap_masked-flattened_line_92-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.50&CDS=1-2685
283	OG0000283	YDR385W, YOR133W	augustus_masked-flattened_line_114-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.10&CDS=1-2502
284	OG0000284	YDR409W, YOR156C	snap_masked-flattened_line_118-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.2&CDS=1-3117
285	OG0000285	YDR418W, YEL054C	snap_masked-flattened_line_10-processed-gene-1.77-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.77&CDS=1-495
286	OG0000286	YDR447C, YML024W	augustus_masked-flattened_line_104-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.88&CDS=1-411
287	OG0000287	YDR450W, YML026C	snap_masked-flattened_line_104-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.46&CDS=1-459
288	OG0000288	YDR451C, YML027W	augustus_masked-flattened_line_104-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.90&CDS=1-1359
289	OG0000289	YDR452W	augustus_masked-flattened_line_366-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_366-processed-gene-0.0&CDS=1-2070, augustus_masked-flattened_line_370-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_370-processed-gene-0.4&CDS=1-2070
290	OG0000290	YDR453C, YML028W	snap_masked-flattened_line_4-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.106&CDS=1-591
291	OG0000291	YDR471W, YHR010W	maker-flattened_line_4-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.0&CDS=1-408
292	OG0000292	YDR500C, YLR185W	snap_masked-flattened_line_30-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.121&CDS=1-264
293	OG0000293	YDR501W, YLR183C	snap_masked-flattened_line_30-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.84&CDS=1-1557
294	OG0000294	YDR505C, YLR177W	snap_masked-flattened_line_30-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.120&CDS=1-1473
295	OG0000295	YDR536W	augustus_masked-flattened_line_228-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_228-processed-gene-0.22&CDS=1-1497, snap_masked-flattened_line_196-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_196-processed-gene-0.20&CDS=1-1599
296	OG0000296	YEL034W, YJR047C	genemark-flattened_line_14-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.32&CDS=1-474
297	OG0000297	YEL036C	maker-flattened_line_46-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.8&CDS=1-2928, snap_masked-flattened_line_267-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_267-processed-gene-0.2&CDS=1-2007
298	OG0000298	YEL039C, YJR048W	snap_masked-flattened_line_66-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.124&CDS=1-330
299	OG0000299	YER015W	augustus_masked-flattened_line_22-processed-gene-0.199-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.199&CDS=1-4518, snap_masked-flattened_line_44-processed-gene-0.182-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.182&CDS=1-2088
300	OG0000300	YER031C, YGL210W	maker-flattened_line_134-snap-gene-0.73-mRNA-1_1&gene=maker-flattened_line_134-snap-gene-0.73&CDS=1-654
301	OG0000301	YER042W	snap_masked-flattened_line_106-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.85&CDS=1-546, snap_masked-flattened_line_138-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.51&CDS=1-516
302	OG0000302	YER045C, YIL036W	snap_masked-flattened_line_130-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.63&CDS=1-1137
303	OG0000303	YER056C-A, YIL052C	maker-flattened_line_140-augustus-gene-0.35-mRNA-1_1&gene=maker-flattened_line_140-augustus-gene-0.35&CDS=1-366
304	OG0000304	YER057C, YIL051C	maker-flattened_line_126-snap-gene-0.30-mRNA-1_1&gene=maker-flattened_line_126-snap-gene-0.30&CDS=1-666
305	OG0000305	YER059W, YIL050W	snap_masked-flattened_line_126-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.50&CDS=1-1449
306	OG0000306	YER064C, YIL056W	snap_masked-flattened_line_80-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.87&CDS=1-1347
307	OG0000307	YER066W, YFL009W	snap_masked-flattened_line_96-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.91&CDS=1-2088
308	OG0000308	YER067W, YIL057C	augustus_masked-flattened_line_60-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.163&CDS=1-456
309	OG0000309	YER080W	augustus_masked-flattened_line_386-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_386-processed-gene-0.0&CDS=1-1542, augustus_masked-flattened_line_390-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_390-processed-gene-0.0&CDS=1-1542
310	OG0000310	YER081W, YIL074C	snap_masked-flattened_line_246-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_246-processed-gene-0.0&CDS=1-1410
311	OG0000311	YER131W, YGL189C	snap_masked-flattened_line_40-processed-gene-0.191-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.191&CDS=1-357
312	OG0000312	YER132C, YGL197W	snap_masked-flattened_line_6-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.58&CDS=1-4050
313	OG0000313	YER156C	snap_masked-flattened_line_106-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.56&CDS=1-1029, snap_masked-flattened_line_116-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.74&CDS=1-969
314	OG0000314	YER166W	snap_masked-flattened_line_26-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.126&CDS=1-3618, snap_masked-flattened_line_8-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.157&CDS=1-4812
315	OG0000315	YER175C, YHR209W	snap_masked-flattened_line_106-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.77&CDS=1-906
316	OG0000316	YFL034C-A, YLR061W	snap_masked-flattened_line_62-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.134&CDS=1-354
317	OG0000317	YFL048C, YLR080W	snap_masked-flattened_line_96-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.92&CDS=1-1314
318	OG0000318	YFL050C, YOL130W	snap_masked-flattened_line_48-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.21&CDS=1-2364
319	OG0000319	YFR013W, YOL017W	augustus_masked-flattened_line_42-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.18&CDS=1-2367
320	OG0000320	YFR031C-A, YIL018W	snap_masked-flattened_line_102-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.84&CDS=1-762
321	OG0000321	YFR053C, YGL253W	snap_masked-flattened_line_182-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_182-processed-gene-0.33&CDS=1-1452
322	OG0000322	YGL020C	genemark-flattened_line_424-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_424-processed-gene-0.1&CDS=1-411, genemark-flattened_line_428-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_428-processed-gene-0.6&CDS=1-411
323	OG0000323	YGL030W	snap_masked-flattened_line_654-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_654-processed-gene-0.0&CDS=1-309, snap_masked-flattened_line_656-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_656-processed-gene-0.1&CDS=1-309
324	OG0000324	YGL031C, YGR148C	augustus_masked-flattened_line_496-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_496-processed-gene-0.1&CDS=1-465
325	OG0000325	YGL049C, YGR162W	snap_masked-flattened_line_78-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.102&CDS=1-2712
326	OG0000326	YGL071W, YPL202C	snap_masked-flattened_line_82-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.120&CDS=1-1431
327	OG0000327	YGL076C, YPL198W	maker-flattened_line_8-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-0.8&CDS=1-753
328	OG0000328	YGL089C, YPL187W	snap_masked-flattened_line_26-processed-gene-0.132-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.132&CDS=1-582
329	OG0000329	YGL135W, YPL220W	snap_masked-flattened_line_224-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_224-processed-gene-0.12&CDS=1-651
330	OG0000330	YGL162W, YPR009W	augustus_masked-flattened_line_10-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.118&CDS=1-795
331	OG0000331	YGL219C	augustus_masked-flattened_line_108-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.91&CDS=1-1254, snap_masked-flattened_line_140-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_140-processed-gene-0.87&CDS=1-1419
332	OG0000332	YGL247W	snap_masked-flattened_line_14-processed-gene-1.51-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.51&CDS=1-1371, snap_masked-flattened_line_30-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.108&CDS=1-1533
333	OG0000333	YGR008C, YLR327C	snap_masked-flattened_line_238-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_238-processed-gene-0.17&CDS=1-216
334	OG0000334	YGR010W, YLR328W	augustus_masked-flattened_line_104-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.61&CDS=1-1362
335	OG0000335	YGR027C, YLR333C	snap_masked-flattened_line_174-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_174-processed-gene-0.22&CDS=1-324
336	OG0000336	YGR038W, YLR350W	snap_masked-flattened_line_128-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.61&CDS=1-555
337	OG0000337	YGR056W, YLR357W	snap_masked-flattened_line_74-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.26&CDS=1-2271
338	OG0000338	YGR063C	genemark-flattened_line_285-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_285-processed-gene-0.4&CDS=1-897, genemark-flattened_line_380-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_380-processed-gene-0.5&CDS=1-897
339	OG0000339	YGR070W, YLR371W	snap_masked-flattened_line_18-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.116&CDS=1-4239
340	OG0000340	YGR085C, YPR102C	snap_masked-flattened_line_34-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.69&CDS=1-498
341	OG0000341	YGR092W, YPR111W	genemark-flattened_line_2-processed-gene-2.19-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.19&CDS=1-2949
342	OG0000342	YGR108W, YPR119W	maker-flattened_line_48-snap-gene-0.219-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.219&CDS=1-2523
343	OG0000343	YGR118W, YPR132W	snap_masked-flattened_line_36-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.65&CDS=1-435
344	OG0000344	YGR121C, YPR138C	maker-flattened_line_4-augustus-gene-0.44-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-0.44&CDS=1-2676
345	OG0000345	YGR124W, YPR145W	snap_masked-flattened_line_192-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_192-processed-gene-0.23&CDS=1-1701
346	OG0000346	YGR131W, YPR149W	snap_masked-flattened_line_82-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.108&CDS=1-513
347	OG0000347	YGR138C, YPR156C	snap_masked-flattened_line_6-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.168&CDS=1-1848
348	OG0000348	YGR141W, YPR157W	maker-flattened_line_18-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-0.3&CDS=1-2454
349	OG0000349	YGR147C	augustus_masked-flattened_line_436-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_436-processed-gene-0.5&CDS=1-546, augustus_masked-flattened_line_438-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_438-processed-gene-0.1&CDS=1-546
350	OG0000350	YGR177C, YOR377W	snap_masked-flattened_line_94-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.87&CDS=1-1419
351	OG0000351	YGR197C, YJR015W	snap_masked-flattened_line_66-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.139&CDS=1-1536
352	OG0000352	YGR204W	augustus_masked-flattened_line_88-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.6&CDS=1-2820, maker-flattened_line_94-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_94-augustus-gene-0.43&CDS=1-4383
353	OG0000353	YGR209C, YLR043C	snap_masked-flattened_line_114-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.95&CDS=1-309
354	OG0000354	YGR214W, YLR048W	maker-flattened_line_40-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.2&CDS=1-798
355	OG0000355	YGR221C, YHR149C	snap_masked-flattened_line_112-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.9&CDS=1-2499
356	OG0000356	YGR238C, YHR158C	snap_masked-flattened_line_132-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.71&CDS=1-3381
357	OG0000357	YGR241C, YHR161C	maker-flattened_line_96-snap-gene-0.139-mRNA-1_1&gene=maker-flattened_line_96-snap-gene-0.139&CDS=1-1818
358	OG0000358	YGR243W, YHR162W	snap_masked-flattened_line_26-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.99&CDS=1-423
359	OG0000359	YGR248W, YHR163W	snap_masked-flattened_line_16-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.23&CDS=1-759
360	OG0000360	YGR281W	maker-flattened_line_20-augustus-gene-0.111-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.111&CDS=1-4671, snap_masked-flattened_line_110-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.51&CDS=1-4077
361	OG0000361	YHL001W, YKL006W	maker-flattened_line_228-snap-gene-0.18-mRNA-1_1&gene=maker-flattened_line_228-snap-gene-0.18&CDS=1-414
