	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034675_Blastobotrys_mokoenaii
553	OG0000553	YBR103W	snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-3.126-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-3.126&CDS=1-1695
554	OG0000554	YBR105C	snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-1.64&CDS=1-804
555	OG0000555	YBR106W	maker-NODE_9_length_335508_cov_36.1142_ID_17-snap-gene-1.58-mRNA-1_1&gene=maker-NODE_9_length_335508_cov_36.1142_ID_17-snap-gene-1.58&CDS=1-567
556	OG0000556	YBR109C	genemark-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.17-mRNA-1_1&gene=genemark-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.17&CDS=1-450
557	OG0000557	YBR110W	snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.87&CDS=1-1398
558	OG0000558	YBR111C	maker-NODE_11_length_299995_cov_35.9452_ID_21-snap-gene-0.97-mRNA-1_1&gene=maker-NODE_11_length_299995_cov_35.9452_ID_21-snap-gene-0.97&CDS=1-618
559	OG0000559	YBR111W-A	maker-NODE_11_length_299995_cov_35.9452_ID_21-snap-gene-0.94-mRNA-1_1&gene=maker-NODE_11_length_299995_cov_35.9452_ID_21-snap-gene-0.94&CDS=1-291
560	OG0000560	YBR112C	snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.53-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-3.53&CDS=1-2649
561	OG0000561	YBR114W	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-2.97&CDS=1-2598
562	OG0000562	YBR115C	genemark-NODE_22_length_200232_cov_36.0668_ID_43-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_22_length_200232_cov_36.0668_ID_43-processed-gene-1.47&CDS=1-4119
563	OG0000563	YBR121C	snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.164-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.164&CDS=1-1950
564	OG0000564	YBR122C	snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.166&CDS=1-516
565	OG0000565	YBR123C	snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.167-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.167&CDS=1-1641
566	OG0000566	YBR126C	maker-NODE_27_length_175143_cov_36.313_ID_53-snap-gene-0.184-mRNA-1_1&gene=maker-NODE_27_length_175143_cov_36.313_ID_53-snap-gene-0.184&CDS=1-1416
567	OG0000567	YBR127C	snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.117&CDS=1-1560
568	OG0000568	YBR133C	snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.63&CDS=1-2337
569	OG0000569	YBR135W	maker-NODE_46_length_95220_cov_36.4924_ID_91-augustus-gene-0.44-mRNA-1_1&gene=maker-NODE_46_length_95220_cov_36.4924_ID_91-augustus-gene-0.44&CDS=1-294
570	OG0000570	YBR136W	maker-NODE_6_length_536151_cov_35.7945_ID_11-snap-gene-3.106-mRNA-1_1&gene=maker-NODE_6_length_536151_cov_35.7945_ID_11-snap-gene-3.106&CDS=1-6906
571	OG0000571	YBR137W	snap_masked-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-1.114&CDS=1-480
572	OG0000572	YBR142W	maker-NODE_11_length_299995_cov_35.9452_ID_21-augustus-gene-1.187-mRNA-1_1&gene=maker-NODE_11_length_299995_cov_35.9452_ID_21-augustus-gene-1.187&CDS=1-3381
573	OG0000573	YBR143C	snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.264-mRNA-1_1&gene=snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.264&CDS=1-1311
574	OG0000574	YBR146W	snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-2.92&CDS=1-948
575	OG0000575	YBR151W	snap_masked-NODE_65_length_31672_cov_37.998_ID_129-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_65_length_31672_cov_37.998_ID_129-processed-gene-0.17&CDS=1-903
576	OG0000576	YBR153W	snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.12&CDS=1-762
577	OG0000577	YBR154C	snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_31_length_153071_cov_36.322_ID_61-processed-gene-0.51&CDS=1-639
578	OG0000578	YBR155W	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.101&CDS=1-1197
579	OG0000579	YBR156C	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-3.98&CDS=1-3411
580	OG0000580	YBR158W	snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_29_length_161128_cov_35.597_ID_57-processed-gene-0.97&CDS=1-1713
581	OG0000581	YBR160W	maker-NODE_9_length_335508_cov_36.1142_ID_17-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_9_length_335508_cov_36.1142_ID_17-snap-gene-0.35&CDS=1-1944
582	OG0000582	YBR162C	snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.168-mRNA-1_1&gene=snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.168&CDS=1-1410
583	OG0000583	YBR162W-A	maker-NODE_24_length_187586_cov_36.3305_ID_47-snap-gene-0.99-mRNA-1_1&gene=maker-NODE_24_length_187586_cov_36.3305_ID_47-snap-gene-0.99&CDS=1-198
584	OG0000584	YBR166C	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.168-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.168&CDS=1-1290
585	OG0000585	YBR167C	snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_27_length_175143_cov_36.313_ID_53-processed-gene-0.112&CDS=1-336
586	OG0000586	YBR170C	genemark-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.258-mRNA-1_1&gene=genemark-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.258&CDS=1-1710
587	OG0000587	YBR171W	snap_masked-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.41&CDS=1-546
588	OG0000588	YBR173C	augustus_masked-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-NODE_23_length_189928_cov_36.9488_ID_45-processed-gene-0.178&CDS=1-438
589	OG0000589	YBR176W	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-5.14-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-5.14&CDS=1-939
590	OG0000590	YBR179C	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-1.107&CDS=1-2568
591	OG0000591	YBR182C	snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.169-mRNA-1_1&gene=snap_masked-NODE_28_length_169718_cov_36.0306_ID_55-processed-gene-0.169&CDS=1-1947
592	OG0000592	YBR185C	snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-2.42&CDS=1-825
593	OG0000593	YBR189W	snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.62-mRNA-1_1&gene=snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.62&CDS=1-576
594	OG0000594	YBR193C	genemark-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-0.93&CDS=1-588
595	OG0000595	YBR196C	snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_58_length_51929_cov_35.905_ID_115-processed-gene-0.76&CDS=1-1653
596	OG0000596	YBR198C	snap_masked-NODE_47_length_85844_cov_37.2975_ID_93-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_47_length_85844_cov_37.2975_ID_93-processed-gene-0.59&CDS=1-2172
597	OG0000597	YBR200W	maker-NODE_38_length_116373_cov_36.5_ID_75-snap-gene-0.97-mRNA-1_1&gene=maker-NODE_38_length_116373_cov_36.5_ID_75-snap-gene-0.97&CDS=1-1926
598	OG0000598	YBR201W	snap_masked-NODE_38_length_116373_cov_36.5_ID_75-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_38_length_116373_cov_36.5_ID_75-processed-gene-0.124&CDS=1-660
599	OG0000599	YBR202W	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.159-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.159&CDS=1-2343
600	OG0000600	YBR203W	augustus_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-1.77&CDS=1-1011
601	OG0000601	YBR208C	snap_masked-NODE_22_length_200232_cov_36.0668_ID_43-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_22_length_200232_cov_36.0668_ID_43-processed-gene-1.71&CDS=1-5430
602	OG0000602	YBR213W	snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.126-mRNA-1_1&gene=snap_masked-NODE_42_length_106520_cov_36.1385_ID_83-processed-gene-0.126&CDS=1-696
603	OG0000603	YBR215W	snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_10_length_307126_cov_36.5879_ID_19-processed-gene-0.108&CDS=1-1176
604	OG0000604	YBR217W	maker-NODE_10_length_307126_cov_36.5879_ID_19-snap-gene-0.47-mRNA-1_1&gene=maker-NODE_10_length_307126_cov_36.5879_ID_19-snap-gene-0.47&CDS=1-417
605	OG0000605	YBR218C	genemark-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-5.75-mRNA-1_1&gene=genemark-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-5.75&CDS=1-3594
606	OG0000606	YBR220C	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-0.92&CDS=1-1608
607	OG0000607	YBR221C	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-0.109&CDS=1-1170
608	OG0000608	YBR222C	snap_masked-NODE_44_length_104713_cov_36.3898_ID_87-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_44_length_104713_cov_36.3898_ID_87-processed-gene-0.94&CDS=1-1548
609	OG0000609	YBR223C	maker-NODE_57_length_53682_cov_38.2443_ID_113-snap-gene-0.66-mRNA-1_1&gene=maker-NODE_57_length_53682_cov_38.2443_ID_113-snap-gene-0.66&CDS=1-1752
610	OG0000610	YBR225W	snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NODE_9_length_335508_cov_36.1142_ID_17-processed-gene-2.63&CDS=1-2052
611	OG0000611	YBR228W	maker-NODE_7_length_514569_cov_35.9165_ID_13-snap-gene-4.1-mRNA-1_1&gene=maker-NODE_7_length_514569_cov_35.9165_ID_13-snap-gene-4.1&CDS=1-840
612	OG0000612	YBR231C	snap_masked-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-0.73-mRNA-1_1&gene=snap_masked-NODE_20_length_213633_cov_36.2652_ID_39-processed-gene-0.73&CDS=1-807
613	OG0000613	YBR233W-A	snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.26&CDS=1-279
614	OG0000614	YBR234C	snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_13_length_273656_cov_36.2819_ID_25-processed-gene-1.78&CDS=1-1098
615	OG0000615	YBR235W	maker-NODE_1_length_970412_cov_36.0026_ID_1-snap-gene-8.100-mRNA-1_1&gene=maker-NODE_1_length_970412_cov_36.0026_ID_1-snap-gene-8.100&CDS=1-3738
616	OG0000616	YBR236C	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.58&CDS=1-1863
617	OG0000617	YBR237W	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.18-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.18&CDS=1-2826
618	OG0000618	YBR243C	snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-4.167-mRNA-1_1&gene=snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-4.167&CDS=1-1314
619	OG0000619	YBR246W	snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-2.43&CDS=1-1023
620	OG0000620	YBR247C	snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.58&CDS=1-1341
621	OG0000621	YBR248C	snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_36_length_117742_cov_35.7736_ID_71-processed-gene-0.57&CDS=1-1674
622	OG0000622	YBR249C	genemark-NODE_43_length_105778_cov_36.8872_ID_85-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_43_length_105778_cov_36.8872_ID_85-processed-gene-0.21&CDS=1-1119
623	OG0000623	YBR251W	snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.254-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-4.254&CDS=1-957
624	OG0000624	YBR253W	snap_masked-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-0.68&CDS=1-369
625	OG0000625	YBR254C	genemark-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_18_length_214091_cov_36.9011_ID_35-processed-gene-0.84&CDS=1-423
626	OG0000626	YBR255C-A	maker-NODE_15_length_249261_cov_35.9522_ID_29-snap-gene-1.78-mRNA-1_1&gene=maker-NODE_15_length_249261_cov_35.9522_ID_29-snap-gene-1.78&CDS=1-336
627	OG0000627	YBR256C	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-0.83&CDS=1-684
628	OG0000628	YBR257W	maker-NODE_21_length_207728_cov_35.8944_ID_41-snap-gene-0.49-mRNA-1_1&gene=maker-NODE_21_length_207728_cov_35.8944_ID_41-snap-gene-0.49&CDS=1-693
629	OG0000629	YBR260C	snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.85&CDS=1-1863
630	OG0000630	YBR261C	maker-NODE_17_length_223125_cov_36.7519_ID_33-snap-gene-1.194-mRNA-1_1&gene=maker-NODE_17_length_223125_cov_36.7519_ID_33-snap-gene-1.194&CDS=1-690
631	OG0000631	YBR263W	maker-NODE_5_length_573879_cov_35.9527_ID_9-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_5_length_573879_cov_35.9527_ID_9-snap-gene-0.43&CDS=1-1467
632	OG0000632	YBR265W	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.70&CDS=1-882
633	OG0000633	YBR267W	snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_8_length_436281_cov_36.7204_ID_15-processed-gene-0.54&CDS=1-1311
634	OG0000634	YBR268W	snap_masked-NODE_61_length_46681_cov_38.2901_ID_121-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_61_length_46681_cov_38.2901_ID_121-processed-gene-0.2&CDS=1-321
635	OG0000635	YBR269C	snap_masked-NODE_40_length_111623_cov_36.2966_ID_79-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_40_length_111623_cov_36.2966_ID_79-processed-gene-0.97&CDS=1-387
636	OG0000636	YBR271W	snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-0.82&CDS=1-900
637	OG0000637	YBR273C	snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-0.45&CDS=1-1242
638	OG0000638	YBR276C	snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.148-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-4.148&CDS=1-2526
639	OG0000639	YBR279W	snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-1.13&CDS=1-1140
640	OG0000640	YBR280C	snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_7_length_514569_cov_35.9165_ID_13-processed-gene-4.74&CDS=1-1599
641	OG0000641	YBR281C	snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-0.116-mRNA-1_1&gene=snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-0.116&CDS=1-2505
642	OG0000642	YBR282W	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-2.116&CDS=1-414
643	OG0000643	YBR286W	snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NODE_3_length_652801_cov_36.0555_ID_5-processed-gene-1.16&CDS=1-1449
644	OG0000644	YBR287W	snap_masked-NODE_19_length_213996_cov_36.8084_ID_37-processed-gene-1.158-mRNA-1_1&gene=snap_masked-NODE_19_length_213996_cov_36.8084_ID_37-processed-gene-1.158&CDS=1-1410
645	OG0000645	YBR288C	snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_21_length_207728_cov_35.8944_ID_41-processed-gene-1.53&CDS=1-1440
646	OG0000646	YBR289W	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-4.82&CDS=1-2178
647	OG0000647	YBR290W	snap_masked-NODE_47_length_85844_cov_37.2975_ID_93-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_47_length_85844_cov_37.2975_ID_93-processed-gene-0.51&CDS=1-1119
648	OG0000648	YBR291C	maker-NODE_47_length_85844_cov_37.2975_ID_93-snap-gene-0.47-mRNA-1_1&gene=maker-NODE_47_length_85844_cov_37.2975_ID_93-snap-gene-0.47&CDS=1-879
649	OG0000649	YBR296C	snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_46_length_95220_cov_36.4924_ID_91-processed-gene-0.68&CDS=1-1788
650	OG0000650	YCL001W	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-4.70&CDS=1-567
651	OG0000651	YCL002C	snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-3.19-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-3.19&CDS=1-1188
652	OG0000652	YCL004W	augustus_masked-NODE_63_length_39639_cov_36.8155_ID_125-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_63_length_39639_cov_36.8155_ID_125-processed-gene-0.53&CDS=1-1608
653	OG0000653	YCL005W-A	genemark-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_12_length_291457_cov_35.5689_ID_23-processed-gene-0.16&CDS=1-222
654	OG0000654	YCL008C	maker-NODE_12_length_291457_cov_35.5689_ID_23-snap-gene-0.94-mRNA-1_1&gene=maker-NODE_12_length_291457_cov_35.5689_ID_23-snap-gene-0.94&CDS=1-1401
655	OG0000655	YCL009C	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-4.79&CDS=1-942
656	OG0000656	YCL010C	snap_masked-NODE_63_length_39639_cov_36.8155_ID_125-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_63_length_39639_cov_36.8155_ID_125-processed-gene-0.31&CDS=1-813
657	OG0000657	YCL012C	augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_573879_cov_35.9527_ID_9-processed-gene-1.86&CDS=1-402
658	OG0000658	YCL014W	genemark-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.11&CDS=1-4287
659	OG0000659	YCL016C	genemark-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.9-mRNA-1_1&gene=genemark-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.9&CDS=1-1044
660	OG0000660	YCL017C	snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_17_length_223125_cov_36.7519_ID_33-processed-gene-1.78&CDS=1-1467
661	OG0000661	YCL018W	snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_6_length_536151_cov_35.7945_ID_11-processed-gene-3.84&CDS=1-1089
662	OG0000662	YCL030C	snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.214-mRNA-1_1&gene=snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.214&CDS=1-2493
663	OG0000663	YCL031C	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.14-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.14&CDS=1-741
664	OG0000664	YCL032W	snap_masked-NODE_51_length_76832_cov_36.2766_ID_101-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_51_length_76832_cov_36.2766_ID_101-processed-gene-0.112&CDS=1-1167
665	OG0000665	YCL033C	augustus_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.108&CDS=1-477
666	OG0000666	YCL034W	snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.215-mRNA-1_1&gene=snap_masked-NODE_11_length_299995_cov_35.9452_ID_21-processed-gene-1.215&CDS=1-1089
667	OG0000667	YCL038C	snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.23-mRNA-1_1&gene=snap_masked-NODE_1_length_970412_cov_36.0026_ID_1-processed-gene-8.23&CDS=1-1599
668	OG0000668	YCL043C	snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.190-mRNA-1_1&gene=snap_masked-NODE_25_length_184078_cov_35.73_ID_49-processed-gene-0.190&CDS=1-1509
669	OG0000669	YCL044C	snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.185-mRNA-1_1&gene=snap_masked-NODE_2_length_791592_cov_36.4955_ID_3-processed-gene-6.185&CDS=1-804
670	OG0000670	YCL045C	snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.46-mRNA-1_1&gene=snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.46&CDS=1-2487
671	OG0000671	YCL047C	snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.44&CDS=1-825
672	OG0000672	YCL052C	snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_4_length_585455_cov_36.5712_ID_7-processed-gene-2.38&CDS=1-1350
673	OG0000673	YCL054W	maker-NODE_5_length_573879_cov_35.9527_ID_9-snap-gene-0.39-mRNA-1_1&gene=maker-NODE_5_length_573879_cov_35.9527_ID_9-snap-gene-0.39&CDS=1-2502
674	OG0000674	YCL055W	snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_32_length_149779_cov_35.9932_ID_63-processed-gene-0.6&CDS=1-906
675	OG0000675	YCL057C-A	maker-NODE_28_length_169718_cov_36.0306_ID_55-snap-gene-0.79-mRNA-1_1&gene=maker-NODE_28_length_169718_cov_36.0306_ID_55-snap-gene-0.79&CDS=1-258
