	OrthologID	Metschnikowia_matae	Saccharomyces_cerevisiae
115	OG0000115	snap_masked-mat-_s15-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mat-_s15-processed-gene-0.29&CDS=1-207, snap_masked-mat-_s67-processed-gene-1.5-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-1.5&CDS=1-1281	YHR179W, YPL171C
116	OG0000116	maker-mat-_s495-augustus-gene-0.21-mRNA-1_1&gene=maker-mat-_s495-augustus-gene-0.21&CDS=1-1632, snap_masked-mat-_s156-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-0.41&CDS=1-2757	YBR237W, YNL112W
117	OG0000117	snap_masked-mat-_s156-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-0.72&CDS=1-309, snap_masked-mat-_s574-processed-gene-0.87-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.87&CDS=1-342	YGR074W, YLR147C
118	OG0000118	augustus_masked-mat-_s156-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-mat-_s156-processed-gene-1.117&CDS=1-1032, snap_masked-mat-_s309-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mat-_s309-processed-gene-0.44&CDS=1-1098	YER107C, YOR026W
119	OG0000119	augustus_masked-mat-_s253-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-mat-_s253-processed-gene-1.94&CDS=1-1386, snap_masked-mat-_s156-processed-gene-2.66-mRNA-1_1&gene=snap_masked-mat-_s156-processed-gene-2.66&CDS=1-1422	YJL081C, YPR034W
120	OG0000120	snap_masked-mat-_s158-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s158-processed-gene-0.42&CDS=1-762, snap_masked-mat-_s591-processed-gene-1.60-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.60&CDS=1-762	YFR031C-A, YIL018W
121	OG0000121	snap_masked-mat-_s158-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s158-processed-gene-0.45&CDS=1-774, snap_masked-mat-_s591-processed-gene-1.86-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.86&CDS=1-777	YHL033C, YLL045C
122	OG0000122	snap_masked-mat-_s158-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s158-processed-gene-0.54&CDS=1-1872	YOR389W, YPL277C, YPL278C
123	OG0000123	augustus_masked-mat-_s67-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-mat-_s67-processed-gene-0.100&CDS=1-2175, maker-mat-_s616-snap-gene-0.14-mRNA-1_1&gene=maker-mat-_s616-snap-gene-0.14&CDS=1-2412, snap_masked-mat-_s168-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s168-processed-gene-0.7&CDS=1-2109, snap_masked-mat-_s509-processed-gene-1.124-mRNA-1_1&gene=snap_masked-mat-_s509-processed-gene-1.124&CDS=1-2139	
124	OG0000124	augustus_masked-mat-_s36-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mat-_s36-processed-gene-0.3&CDS=1-474, snap_masked-mat-_s17-processed-gene-0.8-mRNA-1_1&gene=snap_masked-mat-_s17-processed-gene-0.8&CDS=1-312, snap_masked-mat-_s612-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mat-_s612-processed-gene-0.1&CDS=1-2922	YGR134W
125	OG0000125	augustus_masked-mat-_s246-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mat-_s246-processed-gene-0.9&CDS=1-486, genemark-mat-_s279-processed-gene-0.28-mRNA-1_1&gene=genemark-mat-_s279-processed-gene-0.28&CDS=1-1290, snap_masked-mat-_s170-processed-gene-1.101-mRNA-1_1&gene=snap_masked-mat-_s170-processed-gene-1.101&CDS=1-2061	YOR049C
126	OG0000126	augustus_masked-mat-_s170-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-mat-_s170-processed-gene-1.41&CDS=1-2790, snap_masked-mat-_s281-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mat-_s281-processed-gene-0.12&CDS=1-408, snap_masked-mat-_s605-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mat-_s605-processed-gene-0.18&CDS=1-207	YPL045W
127	OG0000127	augustus_masked-mat-_s574-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-mat-_s574-processed-gene-0.170&CDS=1-1488, snap_masked-mat-_s170-processed-gene-1.115-mRNA-1_1&gene=snap_masked-mat-_s170-processed-gene-1.115&CDS=1-1326, snap_masked-mat-_s574-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.105&CDS=1-2295	YDL020C
128	OG0000128	snap_masked-mat-_s170-processed-gene-1.117-mRNA-1_1&gene=snap_masked-mat-_s170-processed-gene-1.117&CDS=1-309, snap_masked-mat-_s171-processed-gene-1.63-mRNA-1_1&gene=snap_masked-mat-_s171-processed-gene-1.63&CDS=1-309	YBR009C, YNL030W
129	OG0000129	snap_masked-mat-_s170-processed-gene-1.120-mRNA-1_1&gene=snap_masked-mat-_s170-processed-gene-1.120&CDS=1-2034, snap_masked-mat-_s512-processed-gene-0.161-mRNA-1_1&gene=snap_masked-mat-_s512-processed-gene-0.161&CDS=1-2016	YAL054C, YLR153C
130	OG0000130	snap_masked-mat-_s171-processed-gene-1.99-mRNA-1_1&gene=snap_masked-mat-_s171-processed-gene-1.99&CDS=1-2538, snap_masked-mat-_s354-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s354-processed-gene-0.7&CDS=1-771, snap_masked-mat-_s641-processed-gene-0.204-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.204&CDS=1-2502	YFL042C
131	OG0000131	genemark-mat-_s641-processed-gene-0.13-mRNA-1_1&gene=genemark-mat-_s641-processed-gene-0.13&CDS=1-2274, snap_masked-mat-_s171-processed-gene-1.102-mRNA-1_1&gene=snap_masked-mat-_s171-processed-gene-1.102&CDS=1-1545	YGR052W, YHR082C
132	OG0000132	snap_masked-mat-_s175-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mat-_s175-processed-gene-0.25&CDS=1-5757, snap_masked-mat-_s430-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mat-_s430-processed-gene-0.28&CDS=1-2235	YJL095W, YLR362W
133	OG0000133	augustus_masked-mat-_s179-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mat-_s179-processed-gene-0.24&CDS=1-975, snap_masked-mat-_s362-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.49&CDS=1-1533	YLR262C-A, YNR052C
134	OG0000134	maker-mat-_s682-snap-gene-0.0-mRNA-1_1&gene=maker-mat-_s682-snap-gene-0.0&CDS=1-1638, snap_masked-mat-_s179-processed-gene-0.56-mRNA-1_1&gene=snap_masked-mat-_s179-processed-gene-0.56&CDS=1-876, snap_masked-mat-_s362-processed-gene-0.75-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.75&CDS=1-1752	YML054C
135	OG0000135	augustus_masked-mat-_s180-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mat-_s180-processed-gene-0.19&CDS=1-1920, augustus_masked-mat-_s66-processed-gene-2.253-mRNA-1_1&gene=augustus_masked-mat-_s66-processed-gene-2.253&CDS=1-1998, snap_masked-mat-_s509-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s509-processed-gene-0.45&CDS=1-1551	YKR034W
136	OG0000136	genemark-mat-_s501-processed-gene-0.8-mRNA-1_1&gene=genemark-mat-_s501-processed-gene-0.8&CDS=1-138, maker-mat-_s181-snap-gene-0.2-mRNA-1_1&gene=maker-mat-_s181-snap-gene-0.2&CDS=1-585	YLR287C-A, YOR182C
137	OG0000137	snap_masked-mat-_s185-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.42&CDS=1-2220, snap_masked-mat-_s488-processed-gene-0.138-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.138&CDS=1-2076, snap_masked-mat-_s641-processed-gene-0.192-mRNA-1_1&gene=snap_masked-mat-_s641-processed-gene-0.192&CDS=1-2166	YER015W
138	OG0000138	snap_masked-mat-_s185-processed-gene-0.45-mRNA-1_1&gene=snap_masked-mat-_s185-processed-gene-0.45&CDS=1-2832, snap_masked-mat-_s482-processed-gene-0.121-mRNA-1_1&gene=snap_masked-mat-_s482-processed-gene-0.121&CDS=1-2946	YGR240C, YMR205C
139	OG0000139	snap_masked-mat-_s189-processed-gene-0.30-mRNA-1_1&gene=snap_masked-mat-_s189-processed-gene-0.30&CDS=1-1095, snap_masked-mat-_s591-processed-gene-1.102-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.102&CDS=1-1011	YNL274C, YPL113C
140	OG0000140	augustus_masked-mat-_s307-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mat-_s307-processed-gene-0.12&CDS=1-1353, snap_masked-mat-_s19-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mat-_s19-processed-gene-0.88&CDS=1-1224	YLR090W, YNL064C
141	OG0000141	snap_masked-mat-_s191-processed-gene-0.24-mRNA-1_1&gene=snap_masked-mat-_s191-processed-gene-0.24&CDS=1-969, snap_masked-mat-_s267-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s267-processed-gene-0.34&CDS=1-198, snap_masked-mat-_s67-processed-gene-1.16-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-1.16&CDS=1-930	YKL128C
142	OG0000142	augustus_masked-mat-_s204-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mat-_s204-processed-gene-0.10&CDS=1-2673	YML111W, YMR275C, YNR069C
143	OG0000143	maker-mat-_s204-augustus-gene-0.123-mRNA-1_1&gene=maker-mat-_s204-augustus-gene-0.123&CDS=1-1611, snap_masked-mat-_s677-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mat-_s677-processed-gene-0.21&CDS=1-1467	YBR263W, YLR058C
144	OG0000144	snap_masked-mat-_s208-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s208-processed-gene-0.7&CDS=1-201, snap_masked-mat-_s67-processed-gene-1.19-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-1.19&CDS=1-2739	YDR251W, YPL032C
145	OG0000145	snap_masked-mat-_s23-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_s23-processed-gene-0.7&CDS=1-1539	YER056C, YER060W, YER060W-A
146	OG0000146	genemark-mat-_s253-processed-gene-2.216-mRNA-1_1&gene=genemark-mat-_s253-processed-gene-2.216&CDS=1-2301, snap_masked-mat-_s47-processed-gene-1.144-mRNA-1_1&gene=snap_masked-mat-_s47-processed-gene-1.144&CDS=1-4290	YLR188W, YOL057W
147	OG0000147	snap_masked-mat-_s253-processed-gene-2.88-mRNA-1_1&gene=snap_masked-mat-_s253-processed-gene-2.88&CDS=1-2838, snap_masked-mat-_s410-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s410-processed-gene-0.5&CDS=1-2961	YJL098W, YKR028W
148	OG0000148	snap_masked-mat-_s265-processed-gene-0.68-mRNA-1_1&gene=snap_masked-mat-_s265-processed-gene-0.68&CDS=1-2418, snap_masked-mat-_s436-processed-gene-0.94-mRNA-1_1&gene=snap_masked-mat-_s436-processed-gene-0.94&CDS=1-3453	YHL007C, YNL298W
149	OG0000149	genemark-mat-_s286-processed-gene-0.40-mRNA-1_1&gene=genemark-mat-_s286-processed-gene-0.40&CDS=1-1668	YOL055C, YPL258C, YPR121W
150	OG0000150	augustus_masked-mat-_s288-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-mat-_s288-processed-gene-0.56&CDS=1-201, snap_masked-mat-_s66-processed-gene-1.54-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.54&CDS=1-198	YOL077W-A, YOR020W-A
151	OG0000151	snap_masked-mat-_s297-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s297-processed-gene-0.2&CDS=1-1344, snap_masked-mat-_s6-processed-gene-0.65-mRNA-1_1&gene=snap_masked-mat-_s6-processed-gene-0.65&CDS=1-939	YDL216C, YFR004W
152	OG0000152	augustus_masked-mat-_s3-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mat-_s3-processed-gene-0.23&CDS=1-1122, snap_masked-mat-_s497-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s497-processed-gene-0.50&CDS=1-816	YMR048W, YPL252C
153	OG0000153	snap_masked-mat-_s302-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mat-_s302-processed-gene-0.33&CDS=1-1182, snap_masked-mat-_s436-processed-gene-0.53-mRNA-1_1&gene=snap_masked-mat-_s436-processed-gene-0.53&CDS=1-1092	YGL038C, YJR075W
154	OG0000154	maker-mat-_s31-snap-gene-0.174-mRNA-1_1&gene=maker-mat-_s31-snap-gene-0.174&CDS=1-4752, snap_masked-mat-_s302-processed-gene-0.38-mRNA-1_1&gene=snap_masked-mat-_s302-processed-gene-0.38&CDS=1-3792	YIL126W, YOR290C
155	OG0000155	snap_masked-mat-_s306-processed-gene-0.100-mRNA-1_1&gene=snap_masked-mat-_s306-processed-gene-0.100&CDS=1-2202, snap_masked-mat-_s488-processed-gene-0.69-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.69&CDS=1-1581	YDL138W, YDL194W
156	OG0000156	snap_masked-mat-_s306-processed-gene-1.129-mRNA-1_1&gene=snap_masked-mat-_s306-processed-gene-1.129&CDS=1-2385, snap_masked-mat-_s574-processed-gene-0.77-mRNA-1_1&gene=snap_masked-mat-_s574-processed-gene-0.77&CDS=1-2910	YER017C, YMR089C
157	OG0000157	snap_masked-mat-_s306-processed-gene-1.116-mRNA-1_1&gene=snap_masked-mat-_s306-processed-gene-1.116&CDS=1-3282, snap_masked-mat-_s38-processed-gene-0.73-mRNA-1_1&gene=snap_masked-mat-_s38-processed-gene-0.73&CDS=1-414	YCR067C, YNR026C
158	OG0000158	snap_masked-mat-_s309-processed-gene-0.39-mRNA-1_1&gene=snap_masked-mat-_s309-processed-gene-0.39&CDS=1-1083, snap_masked-mat-_s310-processed-gene-0.50-mRNA-1_1&gene=snap_masked-mat-_s310-processed-gene-0.50&CDS=1-1050, snap_masked-mat-_s330-processed-gene-0.26-mRNA-1_1&gene=snap_masked-mat-_s330-processed-gene-0.26&CDS=1-1107	YML131W
159	OG0000159	snap_masked-mat-_s309-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mat-_s309-processed-gene-0.40&CDS=1-1275, snap_masked-mat-_s362-processed-gene-0.48-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.48&CDS=1-1191	YCR094W, YNL323W
160	OG0000160	genemark-mat-_s472-processed-gene-0.72-mRNA-1_1&gene=genemark-mat-_s472-processed-gene-0.72&CDS=1-2622, snap_masked-mat-_s326-processed-gene-0.29-mRNA-1_1&gene=snap_masked-mat-_s326-processed-gene-0.29&CDS=1-342	YMR237W, YOR299W
161	OG0000161	snap_masked-mat-_s339-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mat-_s339-processed-gene-0.11&CDS=1-2238, snap_masked-mat-_s7-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mat-_s7-processed-gene-0.60&CDS=1-1113	YKL005C, YPL181W
162	OG0000162	genemark-mat-_s356-processed-gene-0.13-mRNA-1_1&gene=genemark-mat-_s356-processed-gene-0.13&CDS=1-780, maker-mat-_s92-snap-gene-0.0-mRNA-1_1&gene=maker-mat-_s92-snap-gene-0.0&CDS=1-1683	YKL133C, YMR115W
163	OG0000163	augustus_masked-mat-_s591-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mat-_s591-processed-gene-0.17&CDS=1-1557, genemark-mat-_s36-processed-gene-0.28-mRNA-1_1&gene=genemark-mat-_s36-processed-gene-0.28&CDS=1-600	YGR248W, YHR163W
164	OG0000164	snap_masked-mat-_s362-processed-gene-0.63-mRNA-1_1&gene=snap_masked-mat-_s362-processed-gene-0.63&CDS=1-1650, snap_masked-mat-_s436-processed-gene-0.79-mRNA-1_1&gene=snap_masked-mat-_s436-processed-gene-0.79&CDS=1-1623	YLR343W, YMR307W
165	OG0000165	augustus_masked-mat-_s547-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-mat-_s547-processed-gene-0.89&CDS=1-4623, augustus_masked-mat-_s715-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mat-_s715-processed-gene-0.9&CDS=1-285, snap_masked-mat-_s372-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s372-processed-gene-0.13&CDS=1-315	YOR373W
166	OG0000166	genemark-mat-_s38-processed-gene-0.12-mRNA-1_1&gene=genemark-mat-_s38-processed-gene-0.12&CDS=1-1761, snap_masked-mat-_s472-processed-gene-1.39-mRNA-1_1&gene=snap_masked-mat-_s472-processed-gene-1.39&CDS=1-1770	YDR037W, YNL073W
167	OG0000167	snap_masked-mat-_s383-processed-gene-0.39-mRNA-1_1&gene=snap_masked-mat-_s383-processed-gene-0.39&CDS=1-969, snap_masked-mat-_s480-processed-gene-1.92-mRNA-1_1&gene=snap_masked-mat-_s480-processed-gene-1.92&CDS=1-1299	YDL090C, YPR176C
168	OG0000168	augustus_masked-mat-_s397-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-mat-_s397-processed-gene-1.110&CDS=1-1122, snap_masked-mat-_s90-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mat-_s90-processed-gene-0.20&CDS=1-1095	YBR249C, YDR035W
169	OG0000169	maker-mat-_s57-snap-gene-0.28-mRNA-1_1&gene=maker-mat-_s57-snap-gene-0.28&CDS=1-1074, snap_masked-mat-_s397-processed-gene-1.53-mRNA-1_1&gene=snap_masked-mat-_s397-processed-gene-1.53&CDS=1-1557	YFR012W, YOL019W
170	OG0000170	augustus_masked-mat-_s605-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mat-_s605-processed-gene-0.6&CDS=1-2082, snap_masked-mat-_s397-processed-gene-1.54-mRNA-1_1&gene=snap_masked-mat-_s397-processed-gene-1.54&CDS=1-1707	YGL003C, YGL116W
171	OG0000171	snap_masked-mat-_s411-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s411-processed-gene-0.54&CDS=1-4494, snap_masked-mat-_s509-processed-gene-1.98-mRNA-1_1&gene=snap_masked-mat-_s509-processed-gene-1.98&CDS=1-219	YER132C, YGL197W
172	OG0000172	augustus_masked-mat-_s429-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s429-processed-gene-0.0&CDS=1-996, snap_masked-mat-_s488-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mat-_s488-processed-gene-0.72&CDS=1-1032	YDR541C, YOL151W
173	OG0000173	augustus_masked-mat-_s441-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mat-_s441-processed-gene-0.17&CDS=1-681, snap_masked-mat-_s67-processed-gene-1.28-mRNA-1_1&gene=snap_masked-mat-_s67-processed-gene-1.28&CDS=1-4323	YBL079W, YER105C
174	OG0000174	snap_masked-mat-_s46-processed-gene-0.13-mRNA-1_1&gene=snap_masked-mat-_s46-processed-gene-0.13&CDS=1-711, snap_masked-mat-_s485-processed-gene-1.80-mRNA-1_1&gene=snap_masked-mat-_s485-processed-gene-1.80&CDS=1-921	YDR319C, YGL126W
175	OG0000175	snap_masked-mat-_s47-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mat-_s47-processed-gene-0.19&CDS=1-5493, snap_masked-mat-_s682-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mat-_s682-processed-gene-0.41&CDS=1-4641	YHR023W, YOR326W
176	OG0000176	snap_masked-mat-_s480-processed-gene-0.103-mRNA-1_1&gene=snap_masked-mat-_s480-processed-gene-0.103&CDS=1-2247, snap_masked-mat-_s84-processed-gene-0.49-mRNA-1_1&gene=snap_masked-mat-_s84-processed-gene-0.49&CDS=1-2469	YAR035W, YER024W
177	OG0000177	augustus_masked-mat-_s707-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s707-processed-gene-0.0&CDS=1-7491, snap_masked-mat-_s482-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s482-processed-gene-0.83&CDS=1-5784	YER172C, YGR271W
178	OG0000178	augustus_masked-mat-_s485-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-mat-_s485-processed-gene-1.8&CDS=1-789, snap_masked-mat-_s66-processed-gene-2.196-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-2.196&CDS=1-861	YIR013C, YLR013W
179	OG0000179	augustus_masked-mat-_s495-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mat-_s495-processed-gene-0.12&CDS=1-1467, snap_masked-mat-_s591-processed-gene-1.68-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.68&CDS=1-1431	YBR283C, YLR378C
180	OG0000180	snap_masked-mat-_s501-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s501-processed-gene-0.2&CDS=1-1224, snap_masked-mat-_s606-processed-gene-0.126-mRNA-1_1&gene=snap_masked-mat-_s606-processed-gene-0.126&CDS=1-1272	YBR078W, YDR055W
181	OG0000181	snap_masked-mat-_s522-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mat-_s522-processed-gene-0.32&CDS=1-1290, snap_masked-mat-_s591-processed-gene-1.93-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-1.93&CDS=1-2391	YER047C, YPR173C
182	OG0000182	augustus_masked-mat-_s88-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mat-_s88-processed-gene-0.4&CDS=1-285, snap_masked-mat-_s529-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s529-processed-gene-0.2&CDS=1-4125, snap_masked-mat-_s95-processed-gene-0.5-mRNA-1_1&gene=snap_masked-mat-_s95-processed-gene-0.5&CDS=1-333	YBL047C
183	OG0000183	snap_masked-mat-_s591-processed-gene-0.57-mRNA-1_1&gene=snap_masked-mat-_s591-processed-gene-0.57&CDS=1-996	YGR192C, YJL052W, YJR009C
184	OG0000184	snap_masked-mat-_s602-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_s602-processed-gene-0.4&CDS=1-381, snap_masked-mat-_s682-processed-gene-0.43-mRNA-1_1&gene=snap_masked-mat-_s682-processed-gene-0.43&CDS=1-426	YMR073C, YNL111C
185	OG0000185	snap_masked-mat-_s605-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mat-_s605-processed-gene-0.25&CDS=1-759, snap_masked-mat-_s608-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mat-_s608-processed-gene-0.2&CDS=1-759	YER062C, YIL053W
186	OG0000186	snap_masked-mat-_s66-processed-gene-1.65-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.65&CDS=1-993, snap_masked-mat-_s71-processed-gene-0.47-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.47&CDS=1-1029	YCR034W, YLR372W
187	OG0000187	snap_masked-mat-_s66-processed-gene-1.69-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.69&CDS=1-1362, snap_masked-mat-_s66-processed-gene-1.98-mRNA-1_1&gene=snap_masked-mat-_s66-processed-gene-1.98&CDS=1-1437	YDR463W, YHR006W
188	OG0000188	augustus_masked-mat-_s66-processed-gene-2.216-mRNA-1_1&gene=augustus_masked-mat-_s66-processed-gene-2.216&CDS=1-5325	YNL023C, YOR233W, YPL141C
189	OG0000189	maker-mat-_s66-augustus-gene-2.109-mRNA-1_1&gene=maker-mat-_s66-augustus-gene-2.109&CDS=1-2934, snap_masked-mat-_s682-processed-gene-0.55-mRNA-1_1&gene=snap_masked-mat-_s682-processed-gene-0.55&CDS=1-2523	YBR073W, YGL163C
190	OG0000190	snap_masked-mat-_s689-processed-gene-0.54-mRNA-1_1&gene=snap_masked-mat-_s689-processed-gene-0.54&CDS=1-984, snap_masked-mat-_s94-processed-gene-0.83-mRNA-1_1&gene=snap_masked-mat-_s94-processed-gene-0.83&CDS=1-978	YIL035C, YOR061W
191	OG0000191	snap_masked-mat-_s71-processed-gene-0.86-mRNA-1_1&gene=snap_masked-mat-_s71-processed-gene-0.86&CDS=1-1002	YLL062C, YMR321C, YPL273W
192	OG0000192	snap_masked-mat-_s749-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mat-_s749-processed-gene-0.6&CDS=1-705	YFL060C, YMR095C, YNL334C
193	OG0000193	augustus_masked-mat-_s757-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-mat-_s757-processed-gene-0.157&CDS=1-2364	YBL005W, YER184C, YGL013C
194	OG0000194		YKL222C, YLR266C, YOR162C, YOR172W
195	OG0000195	augustus_masked-mat-_C32447-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C32447-processed-gene-0.0&CDS=1-294, augustus_masked-mat-_s135-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mat-_s135-processed-gene-0.6&CDS=1-1461	YOR250C
196	OG0000196	augustus_masked-mat-_C32749-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C32749-processed-gene-0.0&CDS=1-291, snap_masked-mat-_s397-processed-gene-1.80-mRNA-1_1&gene=snap_masked-mat-_s397-processed-gene-1.80&CDS=1-2493	YMR309C
197	OG0000197	augustus_masked-mat-_C33213-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C33213-processed-gene-0.0&CDS=1-330, snap_masked-mat-_s171-processed-gene-0.64-mRNA-1_1&gene=snap_masked-mat-_s171-processed-gene-0.64&CDS=1-1815	YER080W
198	OG0000198	augustus_masked-mat-_C35141-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C35141-processed-gene-0.2&CDS=1-474, augustus_masked-mat-_s359-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-mat-_s359-processed-gene-0.18&CDS=1-135	YJL180C
199	OG0000199	augustus_masked-mat-_C35145-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C35145-processed-gene-0.2&CDS=1-357	YER131W, YGL189C
200	OG0000200	augustus_masked-mat-_C36175-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C36175-processed-gene-0.0&CDS=1-510, augustus_masked-mat-_s362-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_s362-processed-gene-0.0&CDS=1-1908	YAL001C
201	OG0000201	augustus_masked-mat-_C36741-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mat-_C36741-processed-gene-0.2&CDS=1-687, augustus_masked-mat-_s67-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-mat-_s67-processed-gene-1.63&CDS=1-1191	YOL138C
202	OG0000202	augustus_masked-mat-_C43417-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C43417-processed-gene-0.0&CDS=1-3177, snap_masked-mat-_s77-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mat-_s77-processed-gene-0.34&CDS=1-225	YIL128W
203	OG0000203	snap_masked-mat-_C43807-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mat-_C43807-processed-gene-0.4&CDS=1-2145, snap_masked-mat-_s170-processed-gene-1.84-mRNA-1_1&gene=snap_masked-mat-_s170-processed-gene-1.84&CDS=1-3288	YGL179C
204	OG0000204	augustus_masked-mat-_C44903-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mat-_C44903-processed-gene-0.0&CDS=1-1998, snap_masked-mat-_s485-processed-gene-1.40-mRNA-1_1&gene=snap_masked-mat-_s485-processed-gene-1.40&CDS=1-3144	YJL020C
205	OG0000205	snap_masked-mat-_C44903-processed-gene-0.7-mRNA-1_1&gene=snap_masked-mat-_C44903-processed-gene-0.7&CDS=1-3612	YAL017W, YOL045W
