	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034950_Citeromyces_hawaiiensis
706	OG0000706	YOR273C	augustus_masked-scf7180000030707-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030707-processed-gene-0.0&CDS=1-1770, snap_masked-scf7180000030450-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000030450-processed-gene-0.2&CDS=1-1005
707	OG0000707	YOR276W	augustus_masked-scf7180000030811-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000030811-processed-gene-0.7&CDS=1-234, maker-scf7180000030857-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000030857-augustus-gene-0.4&CDS=1-414
708	OG0000708	YOR322C	maker-scf7180000030641-snap-gene-0.2-mRNA-1_1&gene=maker-scf7180000030641-snap-gene-0.2&CDS=1-1752, snap_masked-scf7180000031189-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000031189-processed-gene-0.2&CDS=1-1185
709	OG0000709	YOR334W	augustus_masked-scf7180000030449-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000030449-processed-gene-0.11&CDS=1-1209, genemark-scf7180000031518-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000031518-processed-gene-0.13&CDS=1-1620
710	OG0000710	YOR348C	augustus_masked-scf7180000031539-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031539-processed-gene-0.3&CDS=1-1632, maker-scf7180000030579-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000030579-snap-gene-0.0&CDS=1-1818
711	OG0000711	YOR353C	augustus_masked-scf7180000031422-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000031422-processed-gene-0.68&CDS=1-1932, maker-scf7180000029649-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000029649-augustus-gene-0.3&CDS=1-978
712	OG0000712	YPL007C	snap_masked-scf7180000029503-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000029503-processed-gene-0.0&CDS=1-297, snap_masked-scf7180000031492-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000031492-processed-gene-0.22&CDS=1-2031
713	OG0000713	YPL031C	augustus_masked-scf7180000030931-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030931-processed-gene-0.0&CDS=1-672, genemark-scf7180000029362-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000029362-processed-gene-0.4&CDS=1-969
714	OG0000714	YPL045W	augustus_masked-scf7180000031400-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000031400-processed-gene-0.25&CDS=1-351, snap_masked-scf7180000030902-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000030902-processed-gene-0.25&CDS=1-2400
715	OG0000715	YPL046C	genemark-scf7180000030902-processed-gene-0.13-mRNA-1_1&gene=genemark-scf7180000030902-processed-gene-0.13&CDS=1-282, genemark-scf7180000031460-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000031460-processed-gene-0.4&CDS=1-300
716	OG0000716	YPL101W	augustus_masked-scf7180000031220-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000031220-processed-gene-0.15&CDS=1-1116, genemark-scf7180000029293-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000029293-processed-gene-0.0&CDS=1-546
717	OG0000717	YPL122C	augustus_masked-scf7180000028705-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028705-processed-gene-0.2&CDS=1-615, augustus_masked-scf7180000031542-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000031542-processed-gene-0.19&CDS=1-1593
718	OG0000718	YPL147W	augustus_masked-scf7180000030530-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030530-processed-gene-0.0&CDS=1-1755, augustus_masked-scf7180000031381-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031381-processed-gene-0.0&CDS=1-483
719	OG0000719	YPL157W	genemark-scf7180000030610-processed-gene-0.4-mRNA-1_1&gene=genemark-scf7180000030610-processed-gene-0.4&CDS=1-348, snap_masked-scf7180000031345-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000031345-processed-gene-0.17&CDS=1-732
720	OG0000720	YPL170W	augustus_masked-scf7180000031513-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000031513-processed-gene-0.35&CDS=1-441, augustus_masked-scf7180000031628-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031628-processed-gene-0.9&CDS=1-441
721	OG0000721	YPL174C	augustus_masked-scf7180000030368-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000030368-processed-gene-0.3&CDS=1-648, augustus_masked-scf7180000031513-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000031513-processed-gene-0.28&CDS=1-2538
722	OG0000722	YPL181W	augustus_masked-scf7180000028617-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000028617-processed-gene-0.10&CDS=1-1026, snap_masked-scf7180000028740-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000028740-processed-gene-0.2&CDS=1-852
723	OG0000723	YPL195W	augustus_masked-scf7180000028714-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000028714-processed-gene-0.0&CDS=1-2472, augustus_masked-scf7180000029532-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029532-processed-gene-0.2&CDS=1-900
724	OG0000724	YPL225W	augustus_masked-scf7180000029834-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029834-processed-gene-0.0&CDS=1-435, augustus_masked-scf7180000031548-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000031548-processed-gene-0.8&CDS=1-435
725	OG0000725	YPL228W	augustus_masked-scf7180000030155-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030155-processed-gene-0.2&CDS=1-444, augustus_masked-scf7180000031473-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031473-processed-gene-0.3&CDS=1-1188
726	OG0000726	YPL260W	augustus_masked-scf7180000029839-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000029839-processed-gene-0.19&CDS=1-1452, genemark-scf7180000028650-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000028650-processed-gene-0.1&CDS=1-486
727	OG0000727	YPR013C, YPR015C	augustus_masked-scf7180000030613-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000030613-processed-gene-0.7&CDS=1-867
728	OG0000728	YPR020W	augustus_masked-scf7180000031421-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031421-processed-gene-0.0&CDS=1-333, augustus_masked-scf7180000031528-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031528-processed-gene-0.0&CDS=1-399
729	OG0000729	YPR022C	augustus_masked-scf7180000031516-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000031516-processed-gene-0.15&CDS=1-2262, genemark-scf7180000031563-processed-gene-0.39-mRNA-1_1&gene=genemark-scf7180000031563-processed-gene-0.39&CDS=1-1935
730	OG0000730	YPR049C	augustus_masked-scf7180000029485-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000029485-processed-gene-0.5&CDS=1-2166, snap_masked-scf7180000031218-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000031218-processed-gene-0.5&CDS=1-2790
731	OG0000731	YPR067W	augustus_masked-scf7180000030926-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000030926-processed-gene-0.29&CDS=1-549, augustus_masked-scf7180000031065-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031065-processed-gene-0.1&CDS=1-507
732	OG0000732	YPR082C	augustus_masked-scf7180000029128-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000029128-processed-gene-0.0&CDS=1-390, augustus_masked-scf7180000031453-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000031453-processed-gene-0.5&CDS=1-435
733	OG0000733	YPR085C	augustus_masked-scf7180000028880-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000028880-processed-gene-0.2&CDS=1-492, snap_masked-scf7180000030628-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000030628-processed-gene-0.17&CDS=1-756
734	OG0000734	YPR091C	augustus_masked-scf7180000029221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000029221-processed-gene-0.2&CDS=1-492, augustus_masked-scf7180000030549-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000030549-processed-gene-0.3&CDS=1-1848
735	OG0000735	YPR105C	augustus_masked-scf7180000031007-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000031007-processed-gene-0.19&CDS=1-2553, snap_masked-scf7180000030750-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030750-processed-gene-0.0&CDS=1-498
736	OG0000736	YPR108W	augustus_masked-scf7180000030573-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000030573-processed-gene-0.17&CDS=1-1203, augustus_masked-scf7180000031568-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000031568-processed-gene-0.19&CDS=1-1203
737	OG0000737	YPR124W	augustus_masked-scf7180000031434-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000031434-processed-gene-0.30&CDS=1-720, genemark-scf7180000030345-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000030345-processed-gene-0.0&CDS=1-402
738	OG0000738	YPR128C	augustus_masked-scf7180000030491-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000030491-processed-gene-0.2&CDS=1-744, augustus_masked-scf7180000031244-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031244-processed-gene-0.1&CDS=1-927
739	OG0000739	YPR129W	maker-scf7180000030889-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000030889-augustus-gene-0.2&CDS=1-195, maker-scf7180000031244-augustus-gene-0.7-mRNA-1_1&gene=maker-scf7180000031244-augustus-gene-0.7&CDS=1-876
740	OG0000740	YPR168W	maker-scf7180000029690-augustus-gene-0.17-mRNA-1_1&gene=maker-scf7180000029690-augustus-gene-0.17&CDS=1-426, maker-scf7180000029921-augustus-gene-0.2-mRNA-1_1&gene=maker-scf7180000029921-augustus-gene-0.2&CDS=1-426
741	OG0000741	YPR179C	snap_masked-scf7180000030688-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000030688-processed-gene-0.7&CDS=1-1908, snap_masked-scf7180000031384-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000031384-processed-gene-0.5&CDS=1-525
742	OG0000742	YPR186C	genemark-scf7180000028629-processed-gene-0.26-mRNA-1_1&gene=genemark-scf7180000028629-processed-gene-0.26&CDS=1-1140, genemark-scf7180000030467-processed-gene-0.6-mRNA-1_1&gene=genemark-scf7180000030467-processed-gene-0.6&CDS=1-954
743	OG0000743	YPR194C	augustus_masked-scf7180000030519-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000030519-processed-gene-0.8&CDS=1-2526, augustus_masked-scf7180000031512-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000031512-processed-gene-0.7&CDS=1-2469
744	OG0000744		augustus_masked-scf7180000028630-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000028630-processed-gene-0.5&CDS=1-1575, augustus_masked-scf7180000030660-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000030660-processed-gene-0.4&CDS=1-444, augustus_masked-scf7180000031384-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031384-processed-gene-0.0&CDS=1-1422
745	OG0000745		maker-scf7180000031081-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000031081-snap-gene-0.0&CDS=1-2151, snap_masked-scf7180000031005-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000031005-processed-gene-0.2&CDS=1-1134, snap_masked-scf7180000031672-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000031672-processed-gene-0.3&CDS=1-753
746	OG0000746	YAL001C	augustus_masked-scf7180000031503-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031503-processed-gene-0.4&CDS=1-3744
747	OG0000747	YAL002W	snap_masked-scf7180000031512-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031512-processed-gene-0.1&CDS=1-3522
748	OG0000748	YAL003W	augustus_masked-scf7180000031538-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000031538-processed-gene-0.5&CDS=1-621
749	OG0000749	YAL010C	augustus_masked-scf7180000031007-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000031007-processed-gene-0.21&CDS=1-1038
750	OG0000750	YAL012W	augustus_masked-scf7180000028699-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000028699-processed-gene-0.0&CDS=1-1140
751	OG0000751	YAL013W	snap_masked-scf7180000031418-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000031418-processed-gene-0.11&CDS=1-1038
752	OG0000752	YAL014C	maker-scf7180000028912-augustus-gene-0.16-mRNA-1_1&gene=maker-scf7180000028912-augustus-gene-0.16&CDS=1-1125
753	OG0000753	YAL016W	augustus_masked-scf7180000030472-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000030472-processed-gene-0.4&CDS=1-1800
754	OG0000754	YAL019W	snap_masked-scf7180000031485-processed-gene-0.32-mRNA-1_1&gene=snap_masked-scf7180000031485-processed-gene-0.32&CDS=1-2856
755	OG0000755	YAL020C	augustus_masked-scf7180000031485-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000031485-processed-gene-0.7&CDS=1-1008
756	OG0000756	YAL021C	maker-scf7180000030472-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000030472-snap-gene-0.6&CDS=1-3171
757	OG0000757	YAL022C	augustus_masked-scf7180000031065-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031065-processed-gene-0.0&CDS=1-1263
758	OG0000758	YAL023C	augustus_masked-scf7180000030641-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000030641-processed-gene-0.1&CDS=1-2235
759	OG0000759	YAL024C	augustus_masked-scf7180000031578-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000031578-processed-gene-0.42&CDS=1-2757
760	OG0000760	YAL025C	augustus_masked-scf7180000031230-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000031230-processed-gene-0.26&CDS=1-894
761	OG0000761	YAL026C	augustus_masked-scf7180000031230-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000031230-processed-gene-0.32&CDS=1-3792
762	OG0000762	YAL027W	snap_masked-scf7180000030771-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000030771-processed-gene-0.28&CDS=1-639
763	OG0000763	YAL032C	snap_masked-scf7180000030552-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000030552-processed-gene-0.6&CDS=1-1263
764	OG0000764	YAL033W	snap_masked-scf7180000031151-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000031151-processed-gene-0.0&CDS=1-435
765	OG0000765	YAL035W	genemark-scf7180000028641-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000028641-processed-gene-0.0&CDS=1-2889
766	OG0000766	YAL036C	augustus_masked-scf7180000028912-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000028912-processed-gene-0.11&CDS=1-1104
767	OG0000767	YAL038W	augustus_masked-scf7180000031417-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000031417-processed-gene-0.5&CDS=1-1521
768	OG0000768	YAL039C	augustus_masked-scf7180000031551-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000031551-processed-gene-0.31&CDS=1-768
769	OG0000769	YAL041W	augustus_masked-scf7180000031371-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000031371-processed-gene-0.20&CDS=1-2133
770	OG0000770	YAL042W	snap_masked-scf7180000031371-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000031371-processed-gene-0.13&CDS=1-1248
771	OG0000771	YAL044C	augustus_masked-scf7180000031578-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000031578-processed-gene-0.44&CDS=1-522
772	OG0000772	YAL044W-A	genemark-scf7180000031578-processed-gene-0.17-mRNA-1_1&gene=genemark-scf7180000031578-processed-gene-0.17&CDS=1-309
773	OG0000773	YAL048C	augustus_masked-scf7180000030516-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000030516-processed-gene-0.16&CDS=1-1911
774	OG0000774	YAL051W, YOR363C	
775	OG0000775	YAL053W	augustus_masked-scf7180000031417-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031417-processed-gene-0.4&CDS=1-2109
776	OG0000776	YAL054C	augustus_masked-scf7180000031417-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031417-processed-gene-0.0&CDS=1-2034
777	OG0000777	YAL059W	maker-scf7180000031273-augustus-gene-0.12-mRNA-1_1&gene=maker-scf7180000031273-augustus-gene-0.12&CDS=1-843
778	OG0000778	YAL060W	augustus_masked-scf7180000031290-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000031290-processed-gene-0.40&CDS=1-1272
779	OG0000779	YAR002W	snap_masked-scf7180000030794-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000030794-processed-gene-0.3&CDS=1-1152
780	OG0000780	YAR003W	augustus_masked-scf7180000031361-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000031361-processed-gene-0.30&CDS=1-1218
781	OG0000781	YAR007C	augustus_masked-scf7180000031585-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031585-processed-gene-0.0&CDS=1-1800
782	OG0000782	YAR014C	augustus_masked-scf7180000028615-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-scf7180000028615-processed-gene-0.139&CDS=1-1020
783	OG0000783	YAR015W	augustus_masked-scf7180000031219-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-scf7180000031219-processed-gene-0.29&CDS=1-915
784	OG0000784	YAR018C	augustus_masked-scf7180000031403-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000031403-processed-gene-0.69&CDS=1-1380
785	OG0000785	YAR035W	augustus_masked-scf7180000030717-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030717-processed-gene-0.0&CDS=1-2163
786	OG0000786	YBL001C	maker-scf7180000030475-augustus-gene-0.13-mRNA-1_1&gene=maker-scf7180000030475-augustus-gene-0.13&CDS=1-324
787	OG0000787	YBL007C	augustus_masked-scf7180000031646-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031646-processed-gene-0.9&CDS=1-3306
788	OG0000788	YBL008W	maker-scf7180000031361-augustus-gene-0.43-mRNA-1_1&gene=maker-scf7180000031361-augustus-gene-0.43&CDS=1-2649
789	OG0000789	YBL011W	snap_masked-scf7180000031646-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000031646-processed-gene-0.4&CDS=1-2091
790	OG0000790	YBL013W	snap_masked-scf7180000028630-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000028630-processed-gene-0.65&CDS=1-1029
791	OG0000791	YBL014C	augustus_masked-scf7180000028630-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000028630-processed-gene-0.34&CDS=1-2025
792	OG0000792	YBL015W	augustus_masked-scf7180000028613-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000028613-processed-gene-0.85&CDS=1-1569
793	OG0000793	YBL016W	augustus_masked-scf7180000031257-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031257-processed-gene-0.3&CDS=1-1065
794	OG0000794	YBL020W	snap_masked-scf7180000031026-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000031026-processed-gene-0.1&CDS=1-1449
795	OG0000795	YBL021C	snap_masked-scf7180000031026-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000031026-processed-gene-0.5&CDS=1-564
796	OG0000796	YBL022C	augustus_masked-scf7180000031448-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000031448-processed-gene-0.26&CDS=1-3243
797	OG0000797	YBL023C	augustus_masked-scf7180000029830-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000029830-processed-gene-0.5&CDS=1-2406
798	OG0000798	YBL024W	augustus_masked-scf7180000031448-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000031448-processed-gene-0.19&CDS=1-2157
799	OG0000799	YBL026W	maker-scf7180000030749-augustus-gene-0.12-mRNA-1_1&gene=maker-scf7180000030749-augustus-gene-0.12&CDS=1-306
800	OG0000800	YBL029C-A	maker-scf7180000030218-snap-gene-0.2-mRNA-1_1&gene=maker-scf7180000030218-snap-gene-0.2&CDS=1-240
801	OG0000801	YBL029W	augustus_masked-scf7180000031532-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000031532-processed-gene-0.0&CDS=1-903
802	OG0000802	YBL033C	augustus_masked-scf7180000031485-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000031485-processed-gene-0.12&CDS=1-990
803	OG0000803	YBL035C	augustus_masked-scf7180000030614-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000030614-processed-gene-0.0&CDS=1-1836
804	OG0000804	YBL037W	augustus_masked-scf7180000031222-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000031222-processed-gene-0.34&CDS=1-2748
805	OG0000805	YBL038W	augustus_masked-scf7180000028697-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000028697-processed-gene-0.1&CDS=1-651
806	OG0000806	YBL039C	augustus_masked-scf7180000031012-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031012-processed-gene-0.2&CDS=1-1728
807	OG0000807	YBL040C	augustus_masked-scf7180000031623-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000031623-processed-gene-0.4&CDS=1-636
808	OG0000808	YBL041W	augustus_masked-scf7180000031623-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000031623-processed-gene-0.2&CDS=1-681
809	OG0000809	YBL045C	augustus_masked-scf7180000031656-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000031656-processed-gene-0.19&CDS=1-1317
810	OG0000810	YBL047C	snap_masked-scf7180000031016-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000031016-processed-gene-0.8&CDS=1-3357
811	OG0000811	YBL049W	maker-scf7180000028632-augustus-gene-0.33-mRNA-1_1&gene=maker-scf7180000028632-augustus-gene-0.33&CDS=1-429
812	OG0000812	YBL050W	augustus_masked-scf7180000031470-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000031470-processed-gene-0.10&CDS=1-939
813	OG0000813	YBL052C	augustus_masked-scf7180000031636-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031636-processed-gene-0.9&CDS=1-1692
814	OG0000814	YBL054W	augustus_masked-scf7180000031636-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000031636-processed-gene-0.8&CDS=1-960
815	OG0000815	YBL057C	augustus_masked-scf7180000031535-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000031535-processed-gene-0.11&CDS=1-528
816	OG0000816	YBL059C-A	snap_masked-scf7180000031020-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000031020-processed-gene-0.11&CDS=1-303
817	OG0000817	YBL059W	maker-scf7180000030760-augustus-gene-0.10-mRNA-1_1&gene=maker-scf7180000030760-augustus-gene-0.10&CDS=1-444
818	OG0000818	YBL064C	augustus_masked-scf7180000031496-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000031496-processed-gene-0.24&CDS=1-747
819	OG0000819	YBL066C	augustus_masked-scf7180000031496-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000031496-processed-gene-0.25&CDS=1-2247
820	OG0000820	YBL071W-A	snap_masked-scf7180000030694-processed-gene-0.12-mRNA-1_1&gene=snap_masked-scf7180000030694-processed-gene-0.12&CDS=1-219
821	OG0000821	YBL076C	augustus_masked-scf7180000031052-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000031052-processed-gene-0.34&CDS=1-3213
822	OG0000822	YBL078C	genemark-scf7180000030468-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000030468-processed-gene-0.31&CDS=1-378
823	OG0000823	YBL080C	augustus_masked-scf7180000030468-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000030468-processed-gene-0.8&CDS=1-1434
824	OG0000824	YBL082C	augustus_masked-scf7180000030468-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000030468-processed-gene-0.7&CDS=1-1380
825	OG0000825	YBL084C	augustus_masked-scf7180000028806-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-scf7180000028806-processed-gene-0.211&CDS=1-1830
826	OG0000826	YBL086C	augustus_masked-scf7180000031454-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000031454-processed-gene-0.26&CDS=1-1056
827	OG0000827	YBL088C	augustus_masked-scf7180000028806-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-scf7180000028806-processed-gene-0.208&CDS=1-8376
828	OG0000828	YBL090W	augustus_masked-scf7180000028806-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-scf7180000028806-processed-gene-0.215&CDS=1-414
829	OG0000829	YBL091C	augustus_masked-scf7180000028806-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-scf7180000028806-processed-gene-0.180&CDS=1-1233
830	OG0000830	YBL092W	augustus_masked-scf7180000031577-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031577-processed-gene-0.3&CDS=1-393
831	OG0000831	YBL093C	augustus_masked-scf7180000031577-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000031577-processed-gene-0.17&CDS=1-492
832	OG0000832	YBL095W	augustus_masked-scf7180000031458-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000031458-processed-gene-0.14&CDS=1-663
833	OG0000833	YBL097W	augustus_masked-scf7180000031646-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000031646-processed-gene-0.10&CDS=1-1908
834	OG0000834	YBL098W	augustus_masked-scf7180000029668-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000029668-processed-gene-0.5&CDS=1-1362
835	OG0000835	YBL099W	maker-scf7180000030603-augustus-gene-0.29-mRNA-1_1&gene=maker-scf7180000030603-augustus-gene-0.29&CDS=1-1644
836	OG0000836	YBL104C	snap_masked-scf7180000031153-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000031153-processed-gene-0.7&CDS=1-2544
837	OG0000837	YBL105C	maker-scf7180000031153-snap-gene-0.20-mRNA-1_1&gene=maker-scf7180000031153-snap-gene-0.20&CDS=1-1812
838	OG0000838	YBL107C	augustus_masked-scf7180000031067-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000031067-processed-gene-0.1&CDS=1-501
839	OG0000839	YBR002C	augustus_masked-scf7180000028615-processed-gene-0.145-mRNA-1_1&gene=augustus_masked-scf7180000028615-processed-gene-0.145&CDS=1-813
