	OrthologID	Candida_intermedia	Saccharomyces_cerevisiae
626	OG0000626	-processed-gene-1.108-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.108&CDS=1-2418	YGL113W
627	OG0000627	-processed-gene-1.110-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.110&CDS=1-2091	YOR322C
628	OG0000628	-processed-gene-1.94-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.94&CDS=1-1212	YLR085C
629	OG0000629	-processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.111&CDS=1-927	YMR281W
630	OG0000630	-processed-gene-1.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.113&CDS=1-3171	YMR280C
631	OG0000631	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.22&CDS=1-3486	YAL021C
632	OG0000632	-processed-gene-1.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.116&CDS=1-1062	YLR420W
633	OG0000633	-processed-gene-1.100-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.100&CDS=1-429	YPR082C
634	OG0000634	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.117&CDS=1-627	YLR178C
635	OG0000635	-processed-gene-1.118-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.118&CDS=1-906	YOR358W
636	OG0000636	-processed-gene-1.60-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.60&CDS=1-10704	YDR150W
637	OG0000637	-processed-gene-1.103-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.103&CDS=1-3672	YOR346W
638	OG0000638	-processed-gene-1.122-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.122&CDS=1-1398	YBR110W
639	OG0000639	-processed-gene-1.104-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.104&CDS=1-651	YLR323C
640	OG0000640	-processed-gene-1.105-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.105&CDS=1-1785	YGR007W
641	OG0000641	-augustus-gene-1.5-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-augustus-gene-1.5&CDS=1-2052	YJR062C
642	OG0000642	-processed-gene-1.124-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-1.124&CDS=1-4086	YJR033C
643	OG0000643	-processed-gene-2.3-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.3&CDS=1-366	YJR034W
644	OG0000644	-processed-gene-2.0-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.0&CDS=1-3651	YML049C
645	OG0000645	-processed-gene-2.26-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.26&CDS=1-1296	YAR003W
646	OG0000646	-processed-gene-2.42-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.42&CDS=1-3816	YAL002W
647	OG0000647	-processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.6&CDS=1-2694	YGL008C
648	OG0000648	-snap-gene-2.110-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-snap-gene-2.110&CDS=1-5529	YGL012W
649	OG0000649	-processed-gene-2.27-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.27&CDS=1-741	YGL011C
650	OG0000650	-processed-gene-2.10-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.10&CDS=1-1344	YGL194C
651	OG0000651	-processed-gene-2.12-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.12&CDS=1-1740	YMR036C
652	OG0000652	-processed-gene-2.28-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.28&CDS=1-2709	YKR009C
653	OG0000653	-processed-gene-2.13-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.13&CDS=1-492	YJL122W
654	OG0000654	-processed-gene-2.29-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.29&CDS=1-693	YJL121C
655	OG0000655	-processed-gene-2.14-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.14&CDS=1-522	YGL242C
656	OG0000656	-processed-gene-2.30-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.30&CDS=1-1086	YGL243W
657	OG0000657	-processed-gene-2.32-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.32&CDS=1-462	YIL065C
658	OG0000658	-processed-gene-2.15-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.15&CDS=1-1638	YOR067C
659	OG0000659	-processed-gene-2.17-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.17&CDS=1-2883	YOR005C
660	OG0000660	-processed-gene-2.19-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.19&CDS=1-783	YPR192W
661	OG0000661	-processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.35&CDS=1-1812	YPR190C
662	OG0000662	-processed-gene-2.20-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.20&CDS=1-4155	YPR189W
663	OG0000663	-processed-gene-2.21-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.21&CDS=1-2346	YPR185W
664	OG0000664	-processed-gene-2.22-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.22&CDS=1-1452	YEL052W
665	OG0000665	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.23&CDS=1-1638	YGR002C
666	OG0000666	-processed-gene-2.25-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-2.25&CDS=1-1050	YGL001C
667	OG0000667	-processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.89&CDS=1-906	YGR280C
668	OG0000668	-processed-gene-3.90-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.90&CDS=1-3618	YAL001C
669	OG0000669	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.91&CDS=1-735	YGR001C
670	OG0000670	-processed-gene-3.92-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.92&CDS=1-630	YAL003W
671	OG0000671	-processed-gene-3.93-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.93&CDS=1-1926	YER005W
672	OG0000672	-processed-gene-3.95-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.95&CDS=1-1518	YER006W
673	OG0000673	-processed-gene-3.56-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.56&CDS=1-1566	YER007W
674	OG0000674	-processed-gene-3.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.113&CDS=1-543	YER007C-A
675	OG0000675	-processed-gene-3.114-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.114&CDS=1-2988	YIR002C
676	OG0000676	-processed-gene-3.99-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.99&CDS=1-1524	YNR052C
677	OG0000677	-processed-gene-3.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.116&CDS=1-1626	YNR053C
678	OG0000678	-processed-gene-3.100-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.100&CDS=1-2805	YPR097W
679	OG0000679	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.102&CDS=1-1701	YLR023C
680	OG0000680	-processed-gene-3.103-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.103&CDS=1-1641	YDR536W
681	OG0000681	-processed-gene-3.109-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.109&CDS=1-2349	YHL023C
682	OG0000682	-processed-gene-3.120-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.120&CDS=1-7254	YHR165C
683	OG0000683	-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.33&CDS=1-3807	YMR296C
684	OG0000684	-processed-gene-3.121-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-3.121&CDS=1-1704	YHR166C
685	OG0000685	-processed-gene-4.80-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.80&CDS=1-2334	YLR304C
686	OG0000686	-processed-gene-4.84-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.84&CDS=1-888	YPR069C
687	OG0000687	-augustus-gene-4.0-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-augustus-gene-4.0&CDS=1-3078	YGR207C
688	OG0000688	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.88&CDS=1-852	YGR205W
689	OG0000689	-processed-gene-4.107-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.107&CDS=1-651	YJL001W
690	OG0000690	-processed-gene-4.108-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.108&CDS=1-1458	YJL002C
691	OG0000691	-processed-gene-4.91-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.91&CDS=1-2490	YLL001W
692	OG0000692	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.92&CDS=1-186	YBR162W-A
693	OG0000693	-processed-gene-4.94-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.94&CDS=1-11178	YPL231W
694	OG0000694	-processed-gene-4.95-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.95&CDS=1-807	YLR150W
695	OG0000695	-processed-gene-4.96-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.96&CDS=1-1533	YDR169C
696	OG0000696	-processed-gene-4.97-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.97&CDS=1-2322	YBR202W
697	OG0000697	-processed-gene-4.99-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.99&CDS=1-582	YER063W
698	OG0000698	-processed-gene-4.111-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.111&CDS=1-1716	YGR124W
699	OG0000699	-processed-gene-4.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.113&CDS=1-2364	YJR142W
700	OG0000700	-processed-gene-4.105-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.105&CDS=1-1740	YNL125C
701	OG0000701	-processed-gene-4.114-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.114&CDS=1-675	YJR123W
702	OG0000702	-processed-gene-4.115-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-4.115&CDS=1-2304	YJL212C
703	OG0000703	-processed-gene-5.96-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.96&CDS=1-2322	YPR162C
704	OG0000704	-processed-gene-5.97-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.97&CDS=1-1806	YLR452C
705	OG0000705	-processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.98&CDS=1-1581	YER025W
706	OG0000706	-processed-gene-5.100-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.100&CDS=1-2307	YNR033W
707	OG0000707	-processed-gene-5.8-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.8&CDS=1-6789	YDL058W
708	OG0000708	-processed-gene-5.102-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.102&CDS=1-558	YDL059C
709	OG0000709	-processed-gene-5.122-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.122&CDS=1-3981	YLR384C
710	OG0000710	-processed-gene-5.103-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.103&CDS=1-2424	YOR270C
711	OG0000711	-processed-gene-5.104-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.104&CDS=1-2142	YHR197W
712	OG0000712	-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.56&CDS=1-1521	YJL060W
713	OG0000713	-processed-gene-5.124-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.124&CDS=1-1203	YBR271W
714	OG0000714	-processed-gene-5.125-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.125&CDS=1-396	YBR269C
715	OG0000715	-processed-gene-5.129-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.129&CDS=1-612	YLR262C
716	OG0000716	-processed-gene-5.109-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.109&CDS=1-357	YMR074C
717	OG0000717	-augustus-gene-5.91-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-augustus-gene-5.91&CDS=1-3813	YEL061C
718	OG0000718	-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.76&CDS=1-2355	YML043C
719	OG0000719	-processed-gene-5.131-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.131&CDS=1-1692	YLR259C
720	OG0000720	-processed-gene-5.132-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.132&CDS=1-399	YOL012C
721	OG0000721	-processed-gene-5.133-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.133&CDS=1-1899	YEL062W
722	OG0000722	-processed-gene-5.134-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.134&CDS=1-759	YOR278W
723	OG0000723	-processed-gene-5.20-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.20&CDS=1-351	YKL124W
724	OG0000724	-processed-gene-5.113-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.113&CDS=1-534	YER134C
725	OG0000725	-processed-gene-5.136-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.136&CDS=1-7605	YBL004W
726	OG0000726	-processed-gene-5.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.116&CDS=1-1257	YDL001W
727	OG0000727	-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.83&CDS=1-2412	YDR208W
728	OG0000728	-processed-gene-5.119-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.119&CDS=1-912	YBR151W
729	OG0000729	-processed-gene-5.120-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.120&CDS=1-312	YDR286C
730	OG0000730	-processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-5.121&CDS=1-876	YIL124W
731	OG0000731	-processed-gene-6.101-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.101&CDS=1-3021	YIL125W
732	OG0000732	-processed-gene-6.125-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.125&CDS=1-540	YKR065C
733	OG0000733	-processed-gene-6.103-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.103&CDS=1-1053	YKR066C
734	OG0000734	-processed-gene-6.105-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.105&CDS=1-963	YNL316C
735	OG0000735	-processed-gene-6.126-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.126&CDS=1-342	YOL133W
736	OG0000736	-processed-gene-6.106-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.106&CDS=1-681	YOL135C
737	OG0000737	-processed-gene-6.127-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.127&CDS=1-2208	YKL135C
738	OG0000738	-processed-gene-6.128-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.128&CDS=1-552	YJR074W
739	OG0000739	-processed-gene-6.107-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.107&CDS=1-1179	YJR075W
740	OG0000740	-processed-gene-6.108-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.108&CDS=1-1335	YNR050C
741	OG0000741	-processed-gene-6.129-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.129&CDS=1-1476	YMR211W
742	OG0000742	-processed-gene-6.109-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.109&CDS=1-1065	YMR214W
743	OG0000743	-processed-gene-6.130-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.130&CDS=1-1338	YCL052C
744	OG0000744	-processed-gene-6.110-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.110&CDS=1-612	YJR073C
745	OG0000745	-processed-gene-6.111-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.111&CDS=1-861	YOR352W
746	OG0000746	-processed-gene-6.114-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.114&CDS=1-5124	YKL209C
747	OG0000747	-processed-gene-6.133-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.133&CDS=1-3051	YKL210W
748	OG0000748	-processed-gene-6.115-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.115&CDS=1-2157	YIL005W
749	OG0000749	-processed-gene-6.116-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.116&CDS=1-1317	YER003C
750	OG0000750	-processed-gene-6.117-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.117&CDS=1-633	YER002W
751	OG0000751	-processed-gene-6.134-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.134&CDS=1-873	YIL003W
752	OG0000752	-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.22&CDS=1-441	YIL004C
753	OG0000753	-processed-gene-6.88-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.88&CDS=1-1413	YCL034W
754	OG0000754	-processed-gene-6.118-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.118&CDS=1-2073	YDR172W
755	OG0000755	-processed-gene-6.137-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.137&CDS=1-1050	YDR173C
756	OG0000756	-processed-gene-6.121-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.121&CDS=1-2055	YIL049W
757	OG0000757	-processed-gene-6.122-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.122&CDS=1-822	YPL065W
758	OG0000758	-processed-gene-6.138-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.138&CDS=1-831	YFR052W
759	OG0000759	-processed-gene-6.123-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.123&CDS=1-2877	YGL137W
760	OG0000760	-processed-gene-6.140-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-6.140&CDS=1-1446	YKR072C
761	OG0000761	-processed-gene-7.44-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.44&CDS=1-1236	YPL048W
762	OG0000762	-processed-gene-7.46-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.46&CDS=1-1107	YPL050C
763	OG0000763	-processed-gene-7.47-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.47&CDS=1-1911	YPL093W
764	OG0000764	-processed-gene-7.16-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.16&CDS=1-1452	YPL054W
765	OG0000765	-processed-gene-7.58-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.58&CDS=1-885	YBR185C
766	OG0000766	-processed-gene-7.49-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.49&CDS=1-1644	YPL086C
767	OG0000767	-processed-gene-7.59-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.59&CDS=1-2250	YMR216C
768	OG0000768	-processed-gene-7.60-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.60&CDS=1-2073	YPL106C
769	OG0000769	-processed-gene-7.96-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.96&CDS=1-1710	YBR170C
770	OG0000770	-processed-gene-7.30-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.30&CDS=1-1770	YGR123C
771	OG0000771	-snap-gene-7.2-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-snap-gene-7.2&CDS=1-4956	YDL145C
772	OG0000772	-processed-gene-7.66-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.66&CDS=1-2970	YPL084W
773	OG0000773	-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.35&CDS=1-3267	YDL132W
774	OG0000774	-processed-gene-7.70-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.70&CDS=1-1146	YDL133W
775	OG0000775	-processed-gene-7.56-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.56&CDS=1-1056	YDL183C
776	OG0000776	-snap-gene-7.3-mRNA-1_1&gene=maker-gi|1002316276|dbj|BCGD01000007.1|-snap-gene-7.3&CDS=1-3162	YDL185W
777	OG0000777	-processed-gene-7.74-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.74&CDS=1-1011	YDL134C
778	OG0000778	-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-7.42&CDS=1-3330	YBR162C
779	OG0000779	-processed-gene-8.2-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.2&CDS=1-1653	YKR056W
780	OG0000780	-processed-gene-8.52-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.52&CDS=1-3126	YJL187C
781	OG0000781	-processed-gene-8.5-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.5&CDS=1-3879	YER008C
782	OG0000782	-processed-gene-8.6-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.6&CDS=1-582	YBR171W
783	OG0000783	-processed-gene-8.32-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.32&CDS=1-747	YPL051W
784	OG0000784	-processed-gene-8.11-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.11&CDS=1-1398	YER081W
785	OG0000785	-processed-gene-8.12-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.12&CDS=1-2931	YIL075C
786	OG0000786	-processed-gene-8.14-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.14&CDS=1-1593	YER014W
787	OG0000787	-processed-gene-8.35-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.35&CDS=1-345	YIR009W
788	OG0000788	-processed-gene-8.36-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.36&CDS=1-1182	YGL143C
789	OG0000789	-processed-gene-8.15-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.15&CDS=1-306	YDL110C
790	OG0000790	-processed-gene-8.37-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.37&CDS=1-1365	YDR316W
791	OG0000791	-processed-gene-8.16-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.16&CDS=1-1275	YDL097C
792	OG0000792	-processed-gene-8.38-mRNA-1_1&gene=genemark-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.38&CDS=1-2346	YDL116W
793	OG0000793	-processed-gene-8.67-mRNA-1_1&gene=snap_masked-gi|1002316276|dbj|BCGD01000007.1|-processed-gene-8.67&CDS=1-1959	YDL113C
