	OrthologID	Nakaseomyces_castellii	Saccharomyces_cerevisiae
351	OG0000351	genemark-CACA0S33-processed-gene-5.26-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-5.26&CDS=1-3540	YBR218C, YGL062W
352	OG0000352	genemark-CACA0S33-processed-gene-6.80-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-6.80&CDS=1-768	YHL033C, YLL045C
353	OG0000353	augustus_masked-CACA0S33-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-6.22&CDS=1-1977, maker-CACA0S36-snap-gene-0.0-mRNA-1_1&gene=maker-CACA0S36-snap-gene-0.0&CDS=1-3168	YLL043W
354	OG0000354	augustus_masked-CACA0S33-processed-gene-7.72-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-7.72&CDS=1-405	YER074W, YIL069C
355	OG0000355	genemark-CACA0S33-processed-gene-9.84-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-9.84&CDS=1-783	YHR203C, YJR145C
356	OG0000356	snap_masked-CACA0S33-processed-gene-9.139-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-9.139&CDS=1-2661	YCR106W, YLL054C
357	OG0000357	genemark-CACA0S36-processed-gene-9.113-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.113&CDS=1-3024, snap_masked-CACA0S33-processed-gene-10.16-mRNA-1_1&gene=snap_masked-CACA0S33-processed-gene-10.16&CDS=1-1227	YNR026C
358	OG0000358	genemark-CACA0S33-processed-gene-10.130-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.130&CDS=1-1008, genemark-CACA0S36-processed-gene-9.78-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.78&CDS=1-1770	YCR065W
359	OG0000359	maker-CACA0S33-snap-gene-10.7-mRNA-1_1&gene=maker-CACA0S33-snap-gene-10.7&CDS=1-555	YBR089C-A, YPR052C
360	OG0000360	augustus_masked-CACA0S33-processed-gene-10.71-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.71&CDS=1-411	YER057C, YIL051C
361	OG0000361	genemark-CACA0S33-processed-gene-10.119-mRNA-1_1&gene=genemark-CACA0S33-processed-gene-10.119&CDS=1-384	YER056C-A, YIL052C
362	OG0000362	augustus_masked-CACA0S33-processed-gene-10.94-mRNA-1_1&gene=augustus_masked-CACA0S33-processed-gene-10.94&CDS=1-1410	YER064C, YIL056W
363	OG0000363	genemark-CACA0S36-processed-gene-3.37-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-3.37&CDS=1-1434	YDR125C, YLR099C
364	OG0000364	augustus_masked-CACA0S36-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-3.84&CDS=1-3393	YBR294W, YLR092W
365	OG0000365	augustus_masked-CACA0S36-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-3.90&CDS=1-810	YDR099W, YER177W
366	OG0000366	augustus_masked-CACA0S36-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-5.82&CDS=1-309	YBR009C, YNL030W
367	OG0000367	augustus_masked-CACA0S36-processed-gene-8.117-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-8.117&CDS=1-1335	YDL204W, YDR233C
368	OG0000368	genemark-CACA0S36-processed-gene-8.101-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-8.101&CDS=1-1608	YHR131C, YNL144C
369	OG0000369	augustus_masked-CACA0S36-processed-gene-9.10-mRNA-1_1&gene=augustus_masked-CACA0S36-processed-gene-9.10&CDS=1-588	YDR453C, YML028W
370	OG0000370	genemark-CACA0S36-processed-gene-9.105-mRNA-1_1&gene=genemark-CACA0S36-processed-gene-9.105&CDS=1-441	YDR450W, YML026C
371	OG0000371	genemark-CACA0S05-processed-gene-0.2-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.2&CDS=1-777	YGR253C
372	OG0000372	genemark-CACA0S05-processed-gene-0.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.24&CDS=1-1869	YHR171W
373	OG0000373	augustus_masked-CACA0S05-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.65&CDS=1-1542	YHR170W
374	OG0000374	augustus_masked-CACA0S05-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.66&CDS=1-567	YGR251W
375	OG0000375	augustus_masked-CACA0S05-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.67&CDS=1-2913	YHR169W
376	OG0000376	augustus_masked-CACA0S05-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.68&CDS=1-801	YHR167W
377	OG0000377	augustus_masked-CACA0S05-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.46&CDS=1-9189	YHR165C
378	OG0000378	genemark-CACA0S05-processed-gene-0.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.5&CDS=1-4518	YHR164C
379	OG0000379	genemark-CACA0S05-processed-gene-0.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.30&CDS=1-756	YHR163W
380	OG0000380	augustus_masked-CACA0S05-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.70&CDS=1-1101	YHR159W
381	OG0000381	genemark-CACA0S05-processed-gene-0.7-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.7&CDS=1-3144	YHR158C
382	OG0000382	augustus_masked-CACA0S05-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.50&CDS=1-792	YHR156C
383	OG0000383	augustus_masked-CACA0S05-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.73&CDS=1-3399	YHR154W
384	OG0000384	augustus_masked-CACA0S05-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.51&CDS=1-1650	YHR151C
385	OG0000385	augustus_masked-CACA0S05-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.74&CDS=1-1644	YHR150W
386	OG0000386	genemark-CACA0S05-processed-gene-0.37-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.37&CDS=1-546	YHR148W
387	OG0000387	genemark-CACA0S05-processed-gene-0.10-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.10&CDS=1-648	YHR147C
388	OG0000388	augustus_masked-CACA0S05-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.53&CDS=1-2679	YLR045C
389	OG0000389	augustus_masked-CACA0S05-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.77&CDS=1-2199	YLR047C
390	OG0000390	augustus_masked-CACA0S05-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.56&CDS=1-669	YJR024C
391	OG0000391	augustus_masked-CACA0S05-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.78&CDS=1-294	YJR022W
392	OG0000392	augustus_masked-CACA0S05-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.57&CDS=1-1170	YJR021C
393	OG0000393	genemark-CACA0S05-processed-gene-0.17-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.17&CDS=1-1056	YJR019C
394	OG0000394	snap_masked-CACA0S05-processed-gene-0.96-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-0.96&CDS=1-567	YJR017C
395	OG0000395	genemark-CACA0S05-processed-gene-0.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.19&CDS=1-1263	YGR202C
396	OG0000396	genemark-CACA0S05-processed-gene-0.20-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.20&CDS=1-1752	YJR016C
397	OG0000397	genemark-CACA0S05-processed-gene-0.42-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-0.42&CDS=1-600	YJR014W
398	OG0000398	augustus_masked-CACA0S05-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.80&CDS=1-2046	YJR013W
399	OG0000399	augustus_masked-CACA0S05-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-0.62&CDS=1-576	YJR011C
400	OG0000400	genemark-CACA0S05-processed-gene-1.2-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.2&CDS=1-1542	YJR010W
401	OG0000401	genemark-CACA0S05-processed-gene-1.3-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.3&CDS=1-990	YJR008W
402	OG0000402	augustus_masked-CACA0S05-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.48&CDS=1-1845	YGR191W
403	OG0000403	genemark-CACA0S05-processed-gene-1.0-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.0&CDS=1-1326	YGR189C
404	OG0000404	augustus_masked-CACA0S05-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.49&CDS=1-1845	YGL045W
405	OG0000405	genemark-CACA0S05-processed-gene-1.25-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.25&CDS=1-834	YGL044C
406	OG0000406	genemark-CACA0S05-processed-gene-1.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.5&CDS=1-912	YGL043W
407	OG0000407	snap_masked-CACA0S05-processed-gene-1.93-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.93&CDS=1-354	YGL041W-A
408	OG0000408	genemark-CACA0S05-processed-gene-1.26-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.26&CDS=1-1017	YGL040C
409	OG0000409	genemark-CACA0S05-processed-gene-1.28-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.28&CDS=1-942	YFR018C
410	OG0000410	genemark-CACA0S05-processed-gene-1.6-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.6&CDS=1-6129	YFR019W
411	OG0000411	augustus_masked-CACA0S05-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.52&CDS=1-1683	YFR021W
412	OG0000412	genemark-CACA0S05-processed-gene-1.9-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.9&CDS=1-1674	YJR052W
413	OG0000413	augustus_masked-CACA0S05-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.54&CDS=1-1851	YJR053W
414	OG0000414	snap_masked-CACA0S05-processed-gene-1.117-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.117&CDS=1-558	YGR016W
415	OG0000415	genemark-CACA0S05-processed-gene-1.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.12&CDS=1-963	YGR015C
416	OG0000416	augustus_masked-CACA0S05-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.71&CDS=1-2844	YGR014W
417	OG0000417	augustus_masked-CACA0S05-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.72&CDS=1-1698	YGR013W
418	OG0000418	genemark-CACA0S05-processed-gene-1.32-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.32&CDS=1-1176	YGR012W
419	OG0000419	augustus_masked-CACA0S05-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.74&CDS=1-702	YAL003W
420	OG0000420	genemark-CACA0S05-processed-gene-1.13-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.13&CDS=1-1170	YLR321C
421	OG0000421	snap_masked-CACA0S05-processed-gene-1.102-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.102&CDS=1-471	YLR315W
422	OG0000422	genemark-CACA0S05-processed-gene-1.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.34&CDS=1-1458	YGR002C
423	OG0000423	augustus_masked-CACA0S05-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.58&CDS=1-2247	YGR003W
424	OG0000424	genemark-CACA0S05-processed-gene-1.35-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.35&CDS=1-936	YGR152C
425	OG0000425	genemark-CACA0S05-processed-gene-1.16-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.16&CDS=1-882	YNL305C
426	OG0000426	augustus_masked-CACA0S05-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.60&CDS=1-609	YMR117C
427	OG0000427	genemark-CACA0S05-processed-gene-1.36-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.36&CDS=1-1728	YDR117C
428	OG0000428	augustus_masked-CACA0S05-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.61&CDS=1-1857	YDR118W
429	OG0000429	augustus_masked-CACA0S05-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.78&CDS=1-1659	YDR120C
430	OG0000430	augustus_masked-CACA0S05-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.62&CDS=1-678	YDR121W
431	OG0000431	augustus_masked-CACA0S05-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.79&CDS=1-762	YDR123C
432	OG0000432	augustus_masked-CACA0S05-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.64&CDS=1-924	YDR124W
433	OG0000433	genemark-CACA0S05-processed-gene-1.21-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.21&CDS=1-972	YDR126W
434	OG0000434	snap_masked-CACA0S05-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-1.111&CDS=1-4701	YDR128W
435	OG0000435	genemark-CACA0S05-processed-gene-1.39-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.39&CDS=1-1347	YER136W
436	OG0000436	genemark-CACA0S05-processed-gene-1.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-1.40&CDS=1-1743	YHR037W
437	OG0000437	augustus_masked-CACA0S05-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.82&CDS=1-1506	YHR036W
438	OG0000438	augustus_masked-CACA0S05-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.83&CDS=1-1827	YHR035W
439	OG0000439	augustus_masked-CACA0S05-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-1.66&CDS=1-1047	YHR034C
440	OG0000440	snap_masked-CACA0S05-processed-gene-2.104-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.104&CDS=1-573	YHR060W
441	OG0000441	augustus_masked-CACA0S05-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.59&CDS=1-1872	YHR063C
442	OG0000442	genemark-CACA0S05-processed-gene-2.10-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.10&CDS=1-1626	YHR064C
443	OG0000443	genemark-CACA0S05-processed-gene-2.4-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.4&CDS=1-1773	YGR065C
444	OG0000444	genemark-CACA0S05-processed-gene-2.5-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.5&CDS=1-306	YGR063C
445	OG0000445	genemark-CACA0S05-processed-gene-2.11-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.11&CDS=1-921	YGR062C
446	OG0000446	genemark-CACA0S05-processed-gene-2.12-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.12&CDS=1-4074	YGR061C
447	OG0000447	augustus_masked-CACA0S05-processed-gene-2.63-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.63&CDS=1-1332	YDR255C
448	OG0000448	snap_masked-CACA0S05-processed-gene-2.135-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.135&CDS=1-1146	YDR254W
449	OG0000449	genemark-CACA0S05-processed-gene-2.14-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.14&CDS=1-627	YDR253C
450	OG0000450	genemark-CACA0S05-processed-gene-2.16-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.16&CDS=1-567	YDR248C
451	OG0000451	maker-CACA0S05-augustus-gene-2.161-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.161&CDS=1-1695	YDR245W
452	OG0000452	genemark-CACA0S05-processed-gene-2.37-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.37&CDS=1-1716	YDR244W
453	OG0000453	genemark-CACA0S05-processed-gene-2.17-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.17&CDS=1-1689	YDR243C
454	OG0000454	genemark-CACA0S05-processed-gene-2.18-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.18&CDS=1-924	YMR241W
455	OG0000455	genemark-CACA0S05-processed-gene-2.39-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.39&CDS=1-1323	YMR243C
456	OG0000456	genemark-CACA0S05-processed-gene-2.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.19&CDS=1-1014	YMR244W
457	OG0000457	snap_masked-CACA0S05-processed-gene-2.141-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.141&CDS=1-267	YMR244C-A
458	OG0000458	maker-CACA0S05-augustus-gene-2.159-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.159&CDS=1-1908	YKL140W
459	OG0000459	genemark-CACA0S05-processed-gene-2.21-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.21&CDS=1-1575	YKL139W
460	OG0000460	snap_masked-CACA0S05-processed-gene-2.142-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.142&CDS=1-198	YKL138C-A
461	OG0000461	genemark-CACA0S05-processed-gene-2.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.40&CDS=1-585	YJR069C
462	OG0000462	genemark-CACA0S05-processed-gene-2.41-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.41&CDS=1-978	YJR070C
463	OG0000463	genemark-CACA0S05-processed-gene-2.42-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.42&CDS=1-600	YJR073C
464	OG0000464	snap_masked-CACA0S05-processed-gene-2.124-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.124&CDS=1-525	YJR074W
465	OG0000465	genemark-CACA0S05-processed-gene-2.23-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.23&CDS=1-1164	YJR075W
466	OG0000466	genemark-CACA0S05-processed-gene-2.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.24&CDS=1-1452	YKL211C
467	OG0000467	genemark-CACA0S05-processed-gene-2.44-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.44&CDS=1-921	YJR077C
468	OG0000468	snap_masked-CACA0S05-processed-gene-2.148-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.148&CDS=1-1791	YPL265W
469	OG0000469	snap_masked-CACA0S05-processed-gene-2.149-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.149&CDS=1-2241	YPL268W
470	OG0000470	snap_masked-CACA0S05-processed-gene-2.150-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.150&CDS=1-1812	YPL269W
471	OG0000471	maker-CACA0S05-augustus-gene-2.162-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-2.162&CDS=1-2283	YPL270W
472	OG0000472	augustus_masked-CACA0S05-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.74&CDS=1-1578	YPL272C
473	OG0000473	genemark-CACA0S05-processed-gene-2.48-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.48&CDS=1-1941	YPL263C
474	OG0000474	augustus_masked-CACA0S05-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-2.75&CDS=1-1473	YPL262W
475	OG0000475	snap_masked-CACA0S05-processed-gene-2.153-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.153&CDS=1-1326	YOL015W
476	OG0000476	snap_masked-CACA0S05-processed-gene-2.155-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.155&CDS=1-2685	YLR263W
477	OG0000477	snap_masked-CACA0S05-processed-gene-2.129-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.129&CDS=1-192	YLR262C-A
478	OG0000478	snap_masked-CACA0S05-processed-gene-2.130-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.130&CDS=1-642	YLR262C
479	OG0000479	genemark-CACA0S05-processed-gene-2.29-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.29&CDS=1-1722	YLR259C
480	OG0000480	genemark-CACA0S05-processed-gene-2.52-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.52&CDS=1-1602	YOL013C
481	OG0000481	genemark-CACA0S05-processed-gene-2.53-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.53&CDS=1-405	YOL012C
482	OG0000482	snap_masked-CACA0S05-processed-gene-2.133-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-2.133&CDS=1-1098	YOL010W
483	OG0000483	genemark-CACA0S05-processed-gene-2.54-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.54&CDS=1-822	YOL009C
484	OG0000484	genemark-CACA0S05-processed-gene-2.32-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-2.32&CDS=1-570	YOL008W
485	OG0000485	augustus_masked-CACA0S05-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.47&CDS=1-828	YOL007C
486	OG0000486	genemark-CACA0S05-processed-gene-3.7-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.7&CDS=1-2256	YOL006C
487	OG0000487	genemark-CACA0S05-processed-gene-3.8-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.8&CDS=1-363	YOL005C
488	OG0000488	maker-CACA0S05-snap-gene-3.122-mRNA-1_1&gene=maker-CACA0S05-snap-gene-3.122&CDS=1-3915	YOL004W
489	OG0000489	genemark-CACA0S05-processed-gene-3.9-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.9&CDS=1-687	YLL027W
490	OG0000490	snap_masked-CACA0S05-processed-gene-3.87-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.87&CDS=1-2226	YLL029W
491	OG0000491	genemark-CACA0S05-processed-gene-3.11-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.11&CDS=1-3045	YLL031C
492	OG0000492	snap_masked-CACA0S05-processed-gene-3.89-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.89&CDS=1-2358	YLL032C
493	OG0000493	snap_masked-CACA0S05-processed-gene-3.102-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.102&CDS=1-651	YLL033W
494	OG0000494	snap_masked-CACA0S05-processed-gene-3.90-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.90&CDS=1-2448	YLL034C
495	OG0000495	genemark-CACA0S05-processed-gene-3.28-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.28&CDS=1-1911	YLL035W
496	OG0000496	maker-CACA0S05-augustus-gene-3.0-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-3.0&CDS=1-4179	YLR277C
497	OG0000497	maker-CACA0S05-snap-gene-3.123-mRNA-1_1&gene=maker-CACA0S05-snap-gene-3.123&CDS=1-330	YLR275W
498	OG0000498	augustus_masked-CACA0S05-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.65&CDS=1-2322	YLR274W
499	OG0000499	genemark-CACA0S05-processed-gene-3.30-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.30&CDS=1-2091	YJR042W
500	OG0000500	snap_masked-CACA0S05-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.93&CDS=1-3531	YJR041C
501	OG0000501	genemark-CACA0S05-processed-gene-3.31-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.31&CDS=1-2337	YJR040W
502	OG0000502	snap_masked-CACA0S05-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.108&CDS=1-3393	YJR039W
503	OG0000503	genemark-CACA0S05-processed-gene-3.19-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.19&CDS=1-2382	YJR036C
504	OG0000504	maker-CACA0S05-augustus-gene-3.1-mRNA-1_1&gene=maker-CACA0S05-augustus-gene-3.1&CDS=1-3345	YJR035W
505	OG0000505	genemark-CACA0S05-processed-gene-3.34-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.34&CDS=1-321	YJR034W
506	OG0000506	genemark-CACA0S05-processed-gene-3.20-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.20&CDS=1-4026	YJR033C
507	OG0000507	genemark-CACA0S05-processed-gene-3.35-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.35&CDS=1-1161	YJR032W
508	OG0000508	snap_masked-CACA0S05-processed-gene-3.96-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.96&CDS=1-2475	YJR030C
509	OG0000509	genemark-CACA0S05-processed-gene-3.36-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.36&CDS=1-2028	YKL179C
510	OG0000510	augustus_masked-CACA0S05-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.73&CDS=1-1494	YKL178C
511	OG0000511	genemark-CACA0S05-processed-gene-3.38-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.38&CDS=1-1209	YJL171C
512	OG0000512	snap_masked-CACA0S05-processed-gene-3.115-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.115&CDS=1-2598	YKL176C
513	OG0000513	augustus_masked-CACA0S05-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.60&CDS=1-1647	YKL175W
514	OG0000514	genemark-CACA0S05-processed-gene-3.40-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.40&CDS=1-1914	YKL174C
515	OG0000515	genemark-CACA0S05-processed-gene-3.24-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.24&CDS=1-2796	YKL173W
516	OG0000516	genemark-CACA0S05-processed-gene-3.25-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.25&CDS=1-2541	YKL171W
517	OG0000517	genemark-CACA0S05-processed-gene-3.26-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-3.26&CDS=1-447	YKL170W
518	OG0000518	snap_masked-CACA0S05-processed-gene-3.118-mRNA-1_1&gene=snap_masked-CACA0S05-processed-gene-3.118&CDS=1-393	YKL167C
519	OG0000519	augustus_masked-CACA0S05-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.80&CDS=1-1761	YJL163C
520	OG0000520	augustus_masked-CACA0S05-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-3.81&CDS=1-2775	YKL165C
521	OG0000521	augustus_masked-CACA0S05-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-CACA0S05-processed-gene-4.54&CDS=1-1287	YKL162C
522	OG0000522	genemark-CACA0S05-processed-gene-4.103-mRNA-1_1&gene=genemark-CACA0S05-processed-gene-4.103&CDS=1-621	YNL222W
