	OrthologID	Lachancea_fantastica	Saccharomyces_cerevisiae
698	OG0000698	snap_masked-LAFA0B-processed-gene-4.81-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-4.81&CDS=1-1209	YOR266W
699	OG0000699	snap_masked-LAFA0B-processed-gene-5.102-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.102&CDS=1-318	YOR265W
700	OG0000700	snap_masked-LAFA0B-processed-gene-5.103-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.103&CDS=1-1227	YOR264W
701	OG0000701	snap_masked-LAFA0B-processed-gene-5.104-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.104&CDS=1-1041	YOR262W
702	OG0000702	snap_masked-LAFA0B-processed-gene-5.99-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.99&CDS=1-1020	YOR261C
703	OG0000703	snap_masked-LAFA0B-processed-gene-5.100-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.100&CDS=1-1338	YPL172C
704	OG0000704	snap_masked-LAFA0B-processed-gene-5.105-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.105&CDS=1-1500	YOR260W
705	OG0000705	snap_masked-LAFA0B-processed-gene-5.101-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.101&CDS=1-1302	YOR259C
706	OG0000706	augustus_masked-LAFA0B-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-5.76&CDS=1-1503	YPL173W
707	OG0000707	snap_masked-LAFA0B-processed-gene-5.126-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.126&CDS=1-528	YOR257W
708	OG0000708	genemark-LAFA0B-processed-gene-5.29-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-5.29&CDS=1-1296	YPL175W
709	OG0000709	snap_masked-LAFA0B-processed-gene-5.107-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.107&CDS=1-2361	YOR256C
710	OG0000710	snap_masked-LAFA0B-processed-gene-5.108-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.108&CDS=1-453	YPL170W
711	OG0000711	augustus_masked-LAFA0B-processed-gene-5.80-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-5.80&CDS=1-1002	YOR255W
712	OG0000712	genemark-LAFA0B-processed-gene-5.32-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-5.32&CDS=1-1755	YPL169C
713	OG0000713	snap_masked-LAFA0B-processed-gene-5.109-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.109&CDS=1-1977	YOR254C
714	OG0000714	snap_masked-LAFA0B-processed-gene-5.130-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.130&CDS=1-489	YOR253W
715	OG0000715	snap_masked-LAFA0B-processed-gene-5.110-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.110&CDS=1-1218	YPL168W
716	OG0000716	snap_masked-LAFA0B-processed-gene-5.131-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.131&CDS=1-564	YOR252W
717	OG0000717	snap_masked-LAFA0B-processed-gene-5.132-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.132&CDS=1-4488	YPL167C
718	OG0000718	snap_masked-LAFA0B-processed-gene-5.111-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.111&CDS=1-546	YPL166W
719	OG0000719	snap_masked-LAFA0B-processed-gene-5.112-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.112&CDS=1-900	YOR251C
720	OG0000720	snap_masked-LAFA0B-processed-gene-5.113-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.113&CDS=1-1359	YOR250C
721	OG0000721	snap_masked-LAFA0B-processed-gene-5.114-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.114&CDS=1-1911	YOR249C
722	OG0000722	augustus_masked-LAFA0B-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-5.85&CDS=1-1509	YPL164C
723	OG0000723	augustus_masked-LAFA0B-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-5.87&CDS=1-858	YPL162C
724	OG0000724	snap_masked-LAFA0B-processed-gene-5.135-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.135&CDS=1-1815	YPL161C
725	OG0000725	snap_masked-LAFA0B-processed-gene-5.115-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.115&CDS=1-969	YOR246C
726	OG0000726	snap_masked-LAFA0B-processed-gene-5.116-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.116&CDS=1-3288	YPL160W
727	OG0000727	snap_masked-LAFA0B-processed-gene-5.136-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.136&CDS=1-741	YPL159C
728	OG0000728	snap_masked-LAFA0B-processed-gene-5.117-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.117&CDS=1-1332	YMR210W
729	OG0000729	snap_masked-LAFA0B-processed-gene-5.137-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.137&CDS=1-1755	YPL158C
730	OG0000730	snap_masked-LAFA0B-processed-gene-5.118-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.118&CDS=1-885	YPL157W
731	OG0000731	snap_masked-LAFA0B-processed-gene-5.138-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.138&CDS=1-843	YPL156C
732	OG0000732	genemark-LAFA0B-processed-gene-5.43-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-5.43&CDS=1-1896	YPL155C
733	OG0000733	snap_masked-LAFA0B-processed-gene-5.140-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.140&CDS=1-1254	YPL154C
734	OG0000734	genemark-LAFA0B-processed-gene-5.45-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-5.45&CDS=1-2406	YPL153C
735	OG0000735	genemark-LAFA0B-processed-gene-5.20-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-5.20&CDS=1-1359	YOR245C
736	OG0000736	snap_masked-LAFA0B-processed-gene-5.119-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.119&CDS=1-1059	YPL152W
737	OG0000737	snap_masked-LAFA0B-processed-gene-5.143-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.143&CDS=1-1347	YOR244W
738	OG0000738	snap_masked-LAFA0B-processed-gene-5.144-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.144&CDS=1-1314	YPL151C
739	OG0000739	snap_masked-LAFA0B-processed-gene-5.120-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.120&CDS=1-2085	YOR243C
740	OG0000740	snap_masked-LAFA0B-processed-gene-5.121-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.121&CDS=1-1116	YOR242C
741	OG0000741	snap_masked-LAFA0B-processed-gene-5.145-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.145&CDS=1-1455	YOR241W
742	OG0000742	snap_masked-LAFA0B-processed-gene-5.122-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.122&CDS=1-2577	YPL150W
743	OG0000743	snap_masked-LAFA0B-processed-gene-5.123-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-5.123&CDS=1-912	YPL149W
744	OG0000744	snap_masked-LAFA0B-processed-gene-6.1-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.1&CDS=1-1734	YOR239W
745	OG0000745	snap_masked-LAFA0B-processed-gene-6.2-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.2&CDS=1-516	YPL148C
746	OG0000746	snap_masked-LAFA0B-processed-gene-6.0-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.0&CDS=1-2490	YPL147W
747	OG0000747	augustus_masked-LAFA0B-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-6.53&CDS=1-2229	YPL146C
748	OG0000748	snap_masked-LAFA0B-processed-gene-6.19-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.19&CDS=1-1251	YPL145C
749	OG0000749	snap_masked-LAFA0B-processed-gene-6.20-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.20&CDS=1-621	YOR236W
750	OG0000750	snap_masked-LAFA0B-processed-gene-6.6-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.6&CDS=1-378	YPL144W
751	OG0000751	snap_masked-LAFA0B-processed-gene-6.25-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.25&CDS=1-1008	YPL138C
752	OG0000752	snap_masked-LAFA0B-processed-gene-6.8-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.8&CDS=1-846	YOR228C
753	OG0000753	snap_masked-LAFA0B-processed-gene-6.26-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.26&CDS=1-3300	YOR227W
754	OG0000754	snap_masked-LAFA0B-processed-gene-6.9-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.9&CDS=1-483	YOR226C
755	OG0000755	snap_masked-LAFA0B-processed-gene-6.10-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.10&CDS=1-432	YOR224C
756	OG0000756	snap_masked-LAFA0B-processed-gene-6.27-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.27&CDS=1-762	YOR223W
757	OG0000757	snap_masked-LAFA0B-processed-gene-6.28-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.28&CDS=1-891	YOR222W
758	OG0000758	snap_masked-LAFA0B-processed-gene-6.12-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.12&CDS=1-1662	YER082C
759	OG0000759	snap_masked-LAFA0B-processed-gene-6.29-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.29&CDS=1-2829	YIL075C
760	OG0000760	snap_masked-LAFA0B-processed-gene-6.31-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.31&CDS=1-1866	YER080W
761	OG0000761	snap_masked-LAFA0B-processed-gene-6.32-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.32&CDS=1-693	YER079W
762	OG0000762	maker-LAFA0B-augustus-gene-6.87-mRNA-1_1&gene=maker-LAFA0B-augustus-gene-6.87&CDS=1-3138	YER078C
763	OG0000763	snap_masked-LAFA0B-processed-gene-6.33-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.33&CDS=1-1203	YIL071C
764	OG0000764	snap_masked-LAFA0B-processed-gene-6.15-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.15&CDS=1-1944	YER077C
765	OG0000765	snap_masked-LAFA0B-processed-gene-6.34-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.34&CDS=1-789	YIL070C
766	OG0000766	snap_masked-LAFA0B-processed-gene-6.16-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.16&CDS=1-2544	YER075C
767	OG0000767	snap_masked-LAFA0B-processed-gene-6.37-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.37&CDS=1-369	YER072W
768	OG0000768	snap_masked-LAFA0B-processed-gene-6.41-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.41&CDS=1-462	YIL065C
769	OG0000769	snap_masked-LAFA0B-processed-gene-6.18-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.18&CDS=1-690	YIL064W
770	OG0000770	augustus_masked-LAFA0B-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-LAFA0B-processed-gene-6.82&CDS=1-1479	YIL062C
771	OG0000771	snap_masked-LAFA0B-processed-gene-6.44-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.44&CDS=1-2565	YER069W
772	OG0000772	snap_masked-LAFA0B-processed-gene-6.45-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.45&CDS=1-915	YIL061C
773	OG0000773	snap_masked-LAFA0B-processed-gene-6.46-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-6.46&CDS=1-1893	YER068W
774	OG0000774	snap_masked-LAFA0B-processed-gene-7.120-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.120&CDS=1-1656	YER065C
775	OG0000775	snap_masked-LAFA0B-processed-gene-7.121-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.121&CDS=1-1887	YIL056W
776	OG0000776	snap_masked-LAFA0B-processed-gene-7.124-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.124&CDS=1-1164	YIL055C
777	OG0000777	snap_masked-LAFA0B-processed-gene-7.123-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.123&CDS=1-1275	YER061C
778	OG0000778	snap_masked-LAFA0B-processed-gene-7.126-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.126&CDS=1-753	YIL049W
779	OG0000779	snap_masked-LAFA0B-processed-gene-7.162-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.162&CDS=1-291	YER058W
780	OG0000780	snap_masked-LAFA0B-processed-gene-7.164-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.164&CDS=1-423	YIL051C
781	OG0000781	snap_masked-LAFA0B-processed-gene-7.128-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.128&CDS=1-909	YPR058W
782	OG0000782	snap_masked-LAFA0B-processed-gene-7.165-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.165&CDS=1-771	YPR060C
783	OG0000783	snap_masked-LAFA0B-processed-gene-7.166-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.166&CDS=1-858	YPR061C
784	OG0000784	snap_masked-LAFA0B-processed-gene-7.167-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.167&CDS=1-309	YPR063C
785	OG0000785	snap_masked-LAFA0B-processed-gene-7.168-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.168&CDS=1-963	YBR105C
786	OG0000786	snap_masked-LAFA0B-processed-gene-7.129-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.129&CDS=1-2832	YJL108C
787	OG0000787	snap_masked-LAFA0B-processed-gene-7.130-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.130&CDS=1-5298	YJL109C
788	OG0000788	snap_masked-LAFA0B-processed-gene-7.131-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.131&CDS=1-732	YKR030W
789	OG0000789	snap_masked-LAFA0B-processed-gene-7.171-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.171&CDS=1-4623	YKR031C
790	OG0000790	snap_masked-LAFA0B-processed-gene-7.132-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.132&CDS=1-1677	YJL110C
791	OG0000791	snap_masked-LAFA0B-processed-gene-7.133-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.133&CDS=1-984	YOR006C
792	OG0000792	snap_masked-LAFA0B-processed-gene-7.134-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.134&CDS=1-2844	YOR005C
793	OG0000793	snap_masked-LAFA0B-processed-gene-7.136-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.136&CDS=1-2058	YEL062W
794	OG0000794	snap_masked-LAFA0B-processed-gene-7.172-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.172&CDS=1-2868	YEL061C
795	OG0000795	snap_masked-LAFA0B-processed-gene-7.173-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.173&CDS=1-780	YOR004W
796	OG0000796	genemark-LAFA0B-processed-gene-7.53-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-7.53&CDS=1-1665	YEL060C
797	OG0000797	snap_masked-LAFA0B-processed-gene-7.177-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.177&CDS=1-1482	YPL262W
798	OG0000798	snap_masked-LAFA0B-processed-gene-7.178-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.178&CDS=1-285	YEL059C-A
799	OG0000799	snap_masked-LAFA0B-processed-gene-7.139-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.139&CDS=1-1638	YEL058W
800	OG0000800	snap_masked-LAFA0B-processed-gene-7.140-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.140&CDS=1-1932	YPL263C
801	OG0000801	snap_masked-LAFA0B-processed-gene-7.141-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.141&CDS=1-1230	YEL056W
802	OG0000802	snap_masked-LAFA0B-processed-gene-7.179-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.179&CDS=1-1482	YPL272C
803	OG0000803	snap_masked-LAFA0B-processed-gene-7.180-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.180&CDS=1-3081	YEL055C
804	OG0000804	genemark-LAFA0B-processed-gene-7.23-mRNA-1_1&gene=genemark-LAFA0B-processed-gene-7.23&CDS=1-2388	YPL270W
805	OG0000805	snap_masked-LAFA0B-processed-gene-7.144-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.144&CDS=1-1752	YPL269W
806	OG0000806	snap_masked-LAFA0B-processed-gene-7.145-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.145&CDS=1-2325	YPL268W
807	OG0000807	snap_masked-LAFA0B-processed-gene-7.147-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.147&CDS=1-966	YPL266W
808	OG0000808	snap_masked-LAFA0B-processed-gene-7.182-mRNA-1_1&gene=snap_masked-LAFA0B-processed-gene-7.182&CDS=1-1005	YDL144C
809	OG0000809	snap_masked-LAFA0C-processed-gene-0.6-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.6&CDS=1-1236	YMR034C
810	OG0000810	snap_masked-LAFA0C-processed-gene-0.21-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.21&CDS=1-1095	YPR191W
811	OG0000811	snap_masked-LAFA0C-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.7&CDS=1-1863	YPR190C
812	OG0000812	snap_masked-LAFA0C-processed-gene-0.22-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.22&CDS=1-4230	YPR189W
813	OG0000813	snap_masked-LAFA0C-processed-gene-0.8-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.8&CDS=1-465	YPR188C
814	OG0000814	snap_masked-LAFA0C-processed-gene-0.23-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.23&CDS=1-471	YPR187W
815	OG0000815	snap_masked-LAFA0C-processed-gene-0.9-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.9&CDS=1-1299	YPR186C
816	OG0000816	snap_masked-LAFA0C-processed-gene-0.24-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.24&CDS=1-2037	YPR185W
817	OG0000817	snap_masked-LAFA0C-processed-gene-0.25-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.25&CDS=1-4563	YPR184W
818	OG0000818	snap_masked-LAFA0C-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.26&CDS=1-795	YPR183W
819	OG0000819	maker-LAFA0C-snap-gene-0.33-mRNA-1_1&gene=maker-LAFA0C-snap-gene-0.33&CDS=1-1437	YLR459W
820	OG0000820	snap_masked-LAFA0C-processed-gene-0.29-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.29&CDS=1-942	YPR180W
821	OG0000821	genemark-LAFA0C-processed-gene-0.74-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-0.74&CDS=1-1947	YPR179C
822	OG0000822	genemark-LAFA0C-processed-gene-0.92-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-0.92&CDS=1-1428	YPR178W
823	OG0000823	snap_masked-LAFA0C-processed-gene-0.12-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.12&CDS=1-996	YPR176C
824	OG0000824	snap_masked-LAFA0C-processed-gene-0.30-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.30&CDS=1-2058	YPR175W
825	OG0000825	snap_masked-LAFA0C-processed-gene-0.13-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.13&CDS=1-966	YLR457C
826	OG0000826	snap_masked-LAFA0C-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.14&CDS=1-1287	YPR173C
827	OG0000827	snap_masked-LAFA0C-processed-gene-0.31-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.31&CDS=1-645	YPR172W
828	OG0000828	snap_masked-LAFA0C-processed-gene-0.32-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-0.32&CDS=1-927	YLR455W
829	OG0000829	snap_masked-LAFA0C-processed-gene-1.57-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.57&CDS=1-1956	YPR171W
830	OG0000830	maker-LAFA0C-snap-gene-1.47-mRNA-1_1&gene=maker-LAFA0C-snap-gene-1.47&CDS=1-255	YPR170W-B
831	OG0000831	snap_masked-LAFA0C-processed-gene-1.60-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.60&CDS=1-1455	YOL119C
832	OG0000832	snap_masked-LAFA0C-processed-gene-1.88-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.88&CDS=1-480	YLR109W
833	OG0000833	snap_masked-LAFA0C-processed-gene-1.63-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.63&CDS=1-1782	YOL117W
834	OG0000834	snap_masked-LAFA0C-processed-gene-1.65-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.65&CDS=1-2052	YOL115W
835	OG0000835	genemark-LAFA0C-processed-gene-1.28-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-1.28&CDS=1-567	YOL114C
836	OG0000836	snap_masked-LAFA0C-processed-gene-1.66-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.66&CDS=1-2592	YNL298W
837	OG0000837	snap_masked-LAFA0C-processed-gene-1.89-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.89&CDS=1-4836	YNL297C
838	OG0000838	snap_masked-LAFA0C-processed-gene-1.67-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.67&CDS=1-1407	YNL295W
839	OG0000839	snap_masked-LAFA0C-processed-gene-1.90-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.90&CDS=1-1560	YNL294C
840	OG0000840	snap_masked-LAFA0C-processed-gene-1.68-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.68&CDS=1-1698	YNL293W
841	OG0000841	snap_masked-LAFA0C-processed-gene-1.91-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.91&CDS=1-681	YOL111C
842	OG0000842	snap_masked-LAFA0C-processed-gene-1.69-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.69&CDS=1-1887	YNL292W
843	OG0000843	genemark-LAFA0C-processed-gene-1.32-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-1.32&CDS=1-1239	YNL291C
844	OG0000844	snap_masked-LAFA0C-processed-gene-1.71-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.71&CDS=1-987	YNL290W
845	OG0000845	snap_masked-LAFA0C-processed-gene-1.72-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.72&CDS=1-792	YNL289W
846	OG0000846	snap_masked-LAFA0C-processed-gene-1.76-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.76&CDS=1-1017	YNL288W
847	OG0000847	snap_masked-LAFA0C-processed-gene-1.77-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.77&CDS=1-2799	YNL287W
848	OG0000848	snap_masked-LAFA0C-processed-gene-1.78-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.78&CDS=1-873	YNL286W
849	OG0000849	snap_masked-LAFA0C-processed-gene-1.92-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.92&CDS=1-2439	YFR013W
850	OG0000850	genemark-LAFA0C-processed-gene-1.19-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-1.19&CDS=1-2013	YFR029W
851	OG0000851	snap_masked-LAFA0C-processed-gene-1.94-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.94&CDS=1-1236	YJL046W
852	OG0000852	snap_masked-LAFA0C-processed-gene-1.80-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.80&CDS=1-819	YBR257W
853	OG0000853	snap_masked-LAFA0C-processed-gene-1.95-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.95&CDS=1-420	YBR258C
854	OG0000854	augustus_masked-LAFA0C-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-1.126&CDS=1-4485	YJL047C
855	OG0000855	snap_masked-LAFA0C-processed-gene-1.96-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.96&CDS=1-2130	YBR260C
856	OG0000856	snap_masked-LAFA0C-processed-gene-1.97-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.97&CDS=1-693	YBR261C
857	OG0000857	snap_masked-LAFA0C-processed-gene-1.98-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.98&CDS=1-288	YBR262C
858	OG0000858	genemark-LAFA0C-processed-gene-1.23-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-1.23&CDS=1-1488	YBR283C
859	OG0000859	snap_masked-LAFA0C-processed-gene-1.99-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.99&CDS=1-435	YBR282W
860	OG0000860	snap_masked-LAFA0C-processed-gene-1.100-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.100&CDS=1-1737	YJL069C
861	OG0000861	snap_masked-LAFA0C-processed-gene-1.84-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.84&CDS=1-2574	YBR281C
862	OG0000862	genemark-LAFA0C-processed-gene-1.25-mRNA-1_1&gene=genemark-LAFA0C-processed-gene-1.25&CDS=1-1740	YBR280C
863	OG0000863	snap_masked-LAFA0C-processed-gene-1.101-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.101&CDS=1-927	YJL068C
864	OG0000864	snap_masked-LAFA0C-processed-gene-1.102-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.102&CDS=1-1245	YBR279W
865	OG0000865	snap_masked-LAFA0C-processed-gene-1.104-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.104&CDS=1-681	YJL065C
866	OG0000866	snap_masked-LAFA0C-processed-gene-1.87-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-1.87&CDS=1-2223	YBR276C
867	OG0000867	snap_masked-LAFA0C-processed-gene-2.94-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-2.94&CDS=1-714	YJL063C
868	OG0000868	augustus_masked-LAFA0C-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-LAFA0C-processed-gene-2.43&CDS=1-267	YJL062W-A
869	OG0000869	snap_masked-LAFA0C-processed-gene-2.88-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-2.88&CDS=1-933	YBR265W
870	OG0000870	snap_masked-LAFA0C-processed-gene-2.89-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-2.89&CDS=1-1188	YBR267W
871	OG0000871	snap_masked-LAFA0C-processed-gene-2.90-mRNA-1_1&gene=snap_masked-LAFA0C-processed-gene-2.90&CDS=1-2454	YJL062W
