	OrthologID	Candida_versatilis	Saccharomyces_cerevisiae
353	OG0000353	-processed-gene-21.122-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-21.122&CDS=1-492	YLR456W, YPR172W
354	OG0000354	-processed-gene-22.90-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.90&CDS=1-261	YER019C-A, YER087C-B
355	OG0000355	-processed-gene-22.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.91&CDS=1-2319	YJL084C, YKR021W
356	OG0000356	-processed-gene-22.33-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.33&CDS=1-3462	YGL133W, YPL216W
357	OG0000357	-processed-gene-22.71-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.71&CDS=1-2472	YDR122W, YLR096W
358	OG0000358	-processed-gene-22.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.72&CDS=1-2268	YGL139W, YPL221W
359	OG0000359	-processed-gene-22.104-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-22.104&CDS=1-651	YGL135W, YPL220W
360	OG0000360	-processed-gene-23.69-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.69&CDS=1-636	YAR002C-A, YGL002W
361	OG0000361	-processed-gene-23.83-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.83&CDS=1-723	YGL076C, YPL198W
362	OG0000362	-processed-gene-23.95-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-23.95&CDS=1-708	YDR451C, YML027W
363	OG0000363	-processed-gene-24.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.75&CDS=1-1710	YBL067C, YER098W
364	OG0000364	-processed-gene-24.102-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.102&CDS=1-3426, -processed-gene-33.19-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.19&CDS=1-2823	YJL074C
365	OG0000365	-processed-gene-24.135-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-24.135&CDS=1-3933	YHR155W, YNL257C
366	OG0000366	-processed-gene-25.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.72&CDS=1-495	YDR418W, YEL054C
367	OG0000367	-processed-gene-25.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.82&CDS=1-2076	YDR069C, YER144C
368	OG0000368	-processed-gene-25.87-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-25.87&CDS=1-261	YJL136C, YKR057W
369	OG0000369	-augustus-gene-25.191-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-25.191&CDS=1-1860	YJR130C, YML082W
370	OG0000370	-processed-gene-26.141-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-26.141&CDS=1-948	YER064C, YIL056W
371	OG0000371	-processed-gene-26.155-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-26.155&CDS=1-1206	YBR033W, YKL038W
372	OG0000372	-processed-gene-27.187-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-27.187&CDS=1-1923	YDR264C, YOR034C
373	OG0000373	-processed-gene-27.162-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-27.162&CDS=1-1233	YJL134W, YKR053C
374	OG0000374	-processed-gene-28.5-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.5&CDS=1-873	YGR283C, YMR310C
375	OG0000375	-processed-gene-28.49-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.49&CDS=1-909	YAL034C, YOR338W
376	OG0000376	-processed-gene-28.20-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.20&CDS=1-882	YCL050C, YDR530C
377	OG0000377	-processed-gene-28.25-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.25&CDS=1-603	YCL026C-A, YCL026C-B
378	OG0000378	-processed-gene-28.27-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.27&CDS=1-921	YDL088C, YMR153W
379	OG0000379	-processed-gene-28.93-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.93&CDS=1-894	YGL082W, YPL191C
380	OG0000380	-processed-gene-28.190-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-28.190&CDS=1-645	YBR242W, YGL101W
381	OG0000381	-processed-gene-29.149-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-29.149&CDS=1-1080	YMR177W, YPL224C
382	OG0000382	-processed-gene-29.117-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-29.117&CDS=1-873	YFL059W, YNL333W
383	OG0000383	-processed-gene-30.75-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.75&CDS=1-324	YDL136W, YDL191W
384	OG0000384	-processed-gene-30.68-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.68&CDS=1-489	YDL137W, YDL192W
385	OG0000385	-processed-gene-30.116-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-30.116&CDS=1-399	YER074W, YIL069C
386	OG0000386	-processed-gene-31.59-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.59&CDS=1-4788	YNL087W, YOR086C
387	OG0000387	-processed-gene-31.60-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.60&CDS=1-1254	YBR214W, YGL056C
388	OG0000388	-processed-gene-31.144-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.144&CDS=1-942	YLR307W, YLR308W
389	OG0000389	-processed-gene-31.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-31.91&CDS=1-1881	YDR107C, YLR083C
390	OG0000390	-processed-gene-32.38-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-32.38&CDS=1-729	YGR248W, YHR163W
391	OG0000391	-processed-gene-33.109-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.109&CDS=1-1539	YER054C, YIL045W
392	OG0000392	-processed-gene-33.49-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.49&CDS=1-1944	YML109W, YMR273C
393	OG0000393	-processed-gene-33.28-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.28&CDS=1-417	YBR210W, YGL054C
394	OG0000394	-processed-gene-33.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-33.62&CDS=1-2865	YBL091C-A, YER120W
395	OG0000395	-processed-gene-34.141-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.141&CDS=1-492	YDR178W, YLR164W
396	OG0000396	-processed-gene-34.88-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.88&CDS=1-276	YGR008C, YLR327C
397	OG0000397	-processed-gene-34.93-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.93&CDS=1-1626	YGR092W, YPR111W
398	OG0000398	-processed-gene-34.99-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-34.99&CDS=1-1635	YGR241C, YHR161C
399	OG0000399	-processed-gene-36.82-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.82&CDS=1-1578	YBR270C, YJL058C
400	OG0000400	-processed-gene-36.91-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.91&CDS=1-1155	YDR348C, YHR097C
401	OG0000401	-processed-gene-36.100-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-36.100&CDS=1-297	YHR146W, YNL173C
402	OG0000402	-processed-gene-37.36-mRNA-1_1&gene=augustus_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.36&CDS=1-720	YDR277C, YOR047C
403	OG0000403	-processed-gene-37.81-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.81&CDS=1-1161	YKL132C, YMR113W
404	OG0000404	-processed-gene-37.157-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-37.157&CDS=1-1440	YKL133C, YMR115W
405	OG0000405	-processed-gene-38.59-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.59&CDS=1-1425	YDR111C, YLR089C
406	OG0000406	-processed-gene-38.72-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.72&CDS=1-2529	YDR385W, YOR133W
407	OG0000407	-processed-gene-38.21-mRNA-1_1&gene=genemark-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-38.21&CDS=1-1350	YEL041W, YJR049C
408	OG0000408	-processed-gene-39.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.62&CDS=1-408	YBL087C, YER117W
409	OG0000409	-processed-gene-39.90-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.90&CDS=1-624	YER031C, YGL210W
410	OG0000410	-processed-gene-39.76-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.76&CDS=1-1149	YDR502C, YLR180W
411	OG0000411	-processed-gene-39.78-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-39.78&CDS=1-1005	YDR151C, YLR136C
412	OG0000412	-augustus-gene-40.72-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-augustus-gene-40.72&CDS=1-1974	YDR098C, YER174C
413	OG0000413	-processed-gene-40.196-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.196&CDS=1-2712	YKL050C, YMR031C
414	OG0000414	-processed-gene-40.172-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.172&CDS=1-1623	YKR089C, YOR081C
415	OG0000415	-processed-gene-40.181-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-40.181&CDS=1-1347	YAL062W, YOR375C
416	OG0000416	-processed-gene-41.10-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.10&CDS=1-1203	YBL009W, YGL021W
417	OG0000417	-snap-gene-41.126-mRNA-1_1&gene=maker-gi|1002316101|dbj|BCJV01000001.1|-snap-gene-41.126&CDS=1-1227	YDR501W, YLR183C
418	OG0000418	-processed-gene-41.33-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.33&CDS=1-1653	YDL042C, YOL068C
419	OG0000419	-processed-gene-41.52-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.52&CDS=1-2292	YDR458C, YML034W
420	OG0000420	-processed-gene-41.62-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.62&CDS=1-1458	YBR020W, YDR009W
421	OG0000421	-processed-gene-41.122-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.122&CDS=1-1146	YGR004W, YLR324W
422	OG0000422	-processed-gene-41.66-mRNA-1_1&gene=snap_masked-gi|1002316101|dbj|BCJV01000001.1|-processed-gene-41.66&CDS=1-465	YDR450W, YML026C
423	OG0000423	-processed-gene-0.36-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.36&CDS=1-306	YBL001C
424	OG0000424	-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.102&CDS=1-798	YGR127W
425	OG0000425	-processed-gene-0.48-mRNA-1_1&gene=snap_masked-gi|1002316097|dbj|BCJV01000005.1|-processed-gene-0.48&CDS=1-939	YIL164C
426	OG0000426	-processed-gene-0.41-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-0.41&CDS=1-1497	YIL162W
427	OG0000427	-processed-gene-1.114-mRNA-1_1&gene=snap_masked-gi|1002316098|dbj|BCJV01000004.1|-processed-gene-1.114&CDS=1-1368	YNL239W
428	OG0000428	-processed-gene-0.105-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-0.105&CDS=1-1059	YJL171C
429	OG0000429	-processed-gene-1.44-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-1.44&CDS=1-1005	YPL088W
430	OG0000430	-processed-gene-2.61-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.61&CDS=1-1137	YGR234W
431	OG0000431	-processed-gene-2.124-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.124&CDS=1-975	YKL218C
432	OG0000432	-processed-gene-2.100-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-2.100&CDS=1-1731	YOR380W
433	OG0000433	-processed-gene-4.71-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.71&CDS=1-1296	YGR212W
434	OG0000434	-processed-gene-4.100-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.100&CDS=1-690	YKR043C
435	OG0000435	-processed-gene-4.75-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.75&CDS=1-996	YGR286C
436	OG0000436	-processed-gene-4.104-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.104&CDS=1-1449	YGR194C
437	OG0000437	-processed-gene-4.79-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.79&CDS=1-855	YNL229C
438	OG0000438	-snap-gene-4.128-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-snap-gene-4.128&CDS=1-2928	YKL134C
439	OG0000439	-processed-gene-4.108-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.108&CDS=1-570	YDR373W
440	OG0000440	-processed-gene-4.85-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.85&CDS=1-2271	YGL233W
441	OG0000441	-processed-gene-4.110-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.110&CDS=1-2454	YJL095W
442	OG0000442	-processed-gene-4.111-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.111&CDS=1-1152	YBR195C
443	OG0000443	-processed-gene-4.87-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.87&CDS=1-432	YCL012C
444	OG0000444	-processed-gene-4.112-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.112&CDS=1-1275	YJR117W
445	OG0000445	-processed-gene-4.113-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.113&CDS=1-513	YJL096W
446	OG0000446	-processed-gene-4.90-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.90&CDS=1-792	YDL133W
447	OG0000447	-processed-gene-4.91-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.91&CDS=1-2265	YDL132W
448	OG0000448	-processed-gene-4.117-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.117&CDS=1-2022	YDR104C
449	OG0000449	-processed-gene-4.118-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.118&CDS=1-633	YDR298C
450	OG0000450	-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.155&CDS=1-1146	YEL050C
451	OG0000451	-processed-gene-4.119-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.119&CDS=1-1104	YPL001W
452	OG0000452	-processed-gene-4.93-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.93&CDS=1-1071	YDR329C
453	OG0000453	-processed-gene-4.94-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.94&CDS=1-1107	YGR012W
454	OG0000454	-processed-gene-4.121-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.121&CDS=1-933	YNL231C
455	OG0000455	-processed-gene-4.95-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.95&CDS=1-1095	YDR083W
456	OG0000456	-processed-gene-4.124-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.124&CDS=1-2253	YNL238W
457	OG0000457	-processed-gene-4.96-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.96&CDS=1-216	YFL017W-A
458	OG0000458	-processed-gene-4.98-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-4.98&CDS=1-525	YPL010W
459	OG0000459	-snap-gene-5.60-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-snap-gene-5.60&CDS=1-2121	YPL009C
460	OG0000460	-processed-gene-5.62-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.62&CDS=1-1068	YPL015C
461	OG0000461	-processed-gene-5.4-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.4&CDS=1-2559	YDL240W
462	OG0000462	-processed-gene-5.98-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.98&CDS=1-3033	YNL242W
463	OG0000463	-processed-gene-5.99-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.99&CDS=1-3231	YPL012W
464	OG0000464	-processed-gene-5.100-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.100&CDS=1-957	YMR166C
465	OG0000465	-processed-gene-5.101-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.101&CDS=1-516	YKR065C
466	OG0000466	-processed-gene-5.72-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.72&CDS=1-195	YMR194C-B
467	OG0000467	-processed-gene-5.106-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.106&CDS=1-972	YDR044W
468	OG0000468	-processed-gene-5.73-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.73&CDS=1-825	YIL096C
469	OG0000469	-processed-gene-5.75-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.75&CDS=1-1692	YMR032W
470	OG0000470	-processed-gene-5.109-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.109&CDS=1-1293	YJL049W
471	OG0000471	-processed-gene-5.111-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.111&CDS=1-606	YDR032C
472	OG0000472	-processed-gene-5.112-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.112&CDS=1-567	YCR003W
473	OG0000473	-processed-gene-5.12-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.12&CDS=1-786	YOR311C
474	OG0000474	-processed-gene-5.79-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.79&CDS=1-1533	YPR088C
475	OG0000475	-processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.80&CDS=1-852	YLR348C
476	OG0000476	-processed-gene-5.117-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.117&CDS=1-1368	YHR176W
477	OG0000477	-processed-gene-5.83-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.83&CDS=1-861	YEL051W
478	OG0000478	-processed-gene-5.118-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.118&CDS=1-1323	YEL052W
479	OG0000479	-processed-gene-5.144-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.144&CDS=1-3318	YGR014W
480	OG0000480	-processed-gene-5.86-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.86&CDS=1-180	YMR256C
481	OG0000481	-processed-gene-5.87-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.87&CDS=1-10029	YKR054C
482	OG0000482	-augustus-gene-5.182-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-augustus-gene-5.182&CDS=1-1923	YPL028W
483	OG0000483	-processed-gene-5.121-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.121&CDS=1-858	YNL202W
484	OG0000484	-processed-gene-5.91-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.91&CDS=1-552	YGL010W
485	OG0000485	-processed-gene-5.93-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.93&CDS=1-2019	YKL213C
486	OG0000486	-processed-gene-5.152-mRNA-1_1&gene=augustus_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.152&CDS=1-3117	YKL212W
487	OG0000487	-processed-gene-5.122-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-5.122&CDS=1-252	YKR095W-A
488	OG0000488	-processed-gene-6.13-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.13&CDS=1-1461	YOL132W
489	OG0000489	-processed-gene-6.15-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.15&CDS=1-531	YGR078C
490	OG0000490	-processed-gene-6.38-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.38&CDS=1-912	YGR231C
491	OG0000491	-processed-gene-6.17-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.17&CDS=1-1302	YGR229C
492	OG0000492	-processed-gene-6.42-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.42&CDS=1-1149	YGR227W
493	OG0000493	-processed-gene-6.18-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.18&CDS=1-1506	YHR151C
494	OG0000494	-processed-gene-6.20-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.20&CDS=1-846	YNL315C
495	OG0000495	-processed-gene-6.21-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.21&CDS=1-831	YNL316C
496	OG0000496	-processed-gene-6.46-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.46&CDS=1-333	YOL133W
497	OG0000497	-processed-gene-6.50-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.50&CDS=1-1911	YBR133C
498	OG0000498	-processed-gene-6.24-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.24&CDS=1-333	YBR135W
499	OG0000499	-processed-gene-6.52-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.52&CDS=1-2586	YHR120W
500	OG0000500	-processed-gene-6.54-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.54&CDS=1-1269	YDR376W
501	OG0000501	-processed-gene-6.55-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.55&CDS=1-1257	YIL099W
502	OG0000502	-processed-gene-6.25-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.25&CDS=1-2301	YNL020C
503	OG0000503	-processed-gene-6.58-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.58&CDS=1-432	YOL127W
504	OG0000504	-processed-gene-6.27-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.27&CDS=1-1194	YOR269W
505	OG0000505	-processed-gene-6.184-mRNA-1_1&gene=genemark-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.184&CDS=1-1587	YOL060C
506	OG0000506	-processed-gene-6.28-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.28&CDS=1-624	YNL155W
507	OG0000507	-processed-gene-6.60-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.60&CDS=1-606	YGR033C
508	OG0000508	-processed-gene-6.30-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.30&CDS=1-1347	YER122C
509	OG0000509	-processed-gene-6.31-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.31&CDS=1-1212	YGL184C
510	OG0000510	-snap-gene-6.75-mRNA-1_1&gene=maker-gi|1002316099|dbj|BCJV01000003.1|-snap-gene-6.75&CDS=1-2253	YGR149W
511	OG0000511	-processed-gene-6.67-mRNA-1_1&gene=snap_masked-gi|1002316099|dbj|BCJV01000003.1|-processed-gene-6.67&CDS=1-2613	YBR229C
