	OrthologID	Kluyveromyces_marxianus	Saccharomyces_cerevisiae
496	OG0000496	genemark-BBIL01000001.1-processed-gene-4.77-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-4.77&CDS=1-1575	YDR061W
497	OG0000497	genemark-BBIL01000001.1-processed-gene-4.78-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-4.78&CDS=1-1686	YDR062W
498	OG0000498	augustus_masked-BBIL01000001.1-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-4.148&CDS=1-531	YOL048C
499	OG0000499	genemark-BBIL01000001.1-processed-gene-5.55-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.55&CDS=1-1812	YPR018W
500	OG0000500	genemark-BBIL01000001.1-processed-gene-5.52-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.52&CDS=1-735	YPR016C
501	OG0000501	genemark-BBIL01000001.1-processed-gene-5.53-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.53&CDS=1-1674	YGR009C
502	OG0000502	genemark-BBIL01000001.1-processed-gene-5.58-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.58&CDS=1-576	YMR269W
503	OG0000503	maker-BBIL01000001.1-snap-gene-5.50-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-5.50&CDS=1-3300	YML104C
504	OG0000504	augustus_masked-BBIL01000001.1-processed-gene-5.35-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-5.35&CDS=1-1272	YMR270C
505	OG0000505	genemark-BBIL01000001.1-processed-gene-5.60-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.60&CDS=1-825	YML105C
506	OG0000506	genemark-BBIL01000001.1-processed-gene-5.86-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.86&CDS=1-675	YML106W
507	OG0000507	genemark-BBIL01000001.1-processed-gene-5.87-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.87&CDS=1-1161	YMR276W
508	OG0000508	snap_masked-BBIL01000001.1-processed-gene-5.107-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.107&CDS=1-969	YML112W
509	OG0000509	genemark-BBIL01000001.1-processed-gene-5.88-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.88&CDS=1-921	YML110C
510	OG0000510	snap_masked-BBIL01000001.1-processed-gene-5.109-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.109&CDS=1-1221	YMR274C
511	OG0000511	snap_masked-BBIL01000001.1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.110&CDS=1-2871	YML109W
512	OG0000512	genemark-BBIL01000001.1-processed-gene-5.66-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.66&CDS=1-318	YML108W
513	OG0000513	genemark-BBIL01000001.1-processed-gene-5.67-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.67&CDS=1-1143	YMR272C
514	OG0000514	snap_masked-BBIL01000001.1-processed-gene-5.113-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.113&CDS=1-1662	YML114C
515	OG0000515	genemark-BBIL01000001.1-processed-gene-5.69-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.69&CDS=1-2184	YMR277W
516	OG0000516	genemark-BBIL01000001.1-processed-gene-5.89-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.89&CDS=1-1482	YNL136W
517	OG0000517	genemark-BBIL01000001.1-processed-gene-5.70-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.70&CDS=1-1446	YNL137C
518	OG0000518	genemark-BBIL01000001.1-processed-gene-5.90-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.90&CDS=1-1599	YNL138W
519	OG0000519	snap_masked-BBIL01000001.1-processed-gene-5.116-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.116&CDS=1-576	YHR127W
520	OG0000520	genemark-BBIL01000001.1-processed-gene-5.91-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.91&CDS=1-324	YNL138W-A
521	OG0000521	snap_masked-BBIL01000001.1-processed-gene-5.117-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.117&CDS=1-4674	YNL139C
522	OG0000522	snap_masked-BBIL01000001.1-processed-gene-5.118-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.118&CDS=1-1173	YNL152W
523	OG0000523	genemark-BBIL01000001.1-processed-gene-5.92-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.92&CDS=1-747	YNL151C
524	OG0000524	genemark-BBIL01000001.1-processed-gene-5.93-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.93&CDS=1-393	YNL149C
525	OG0000525	genemark-BBIL01000001.1-processed-gene-5.94-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.94&CDS=1-1329	YCR024C
526	OG0000526	genemark-BBIL01000001.1-processed-gene-5.95-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.95&CDS=1-762	YEL019C
527	OG0000527	genemark-BBIL01000001.1-processed-gene-5.75-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.75&CDS=1-885	YEL018W
528	OG0000528	snap_masked-BBIL01000001.1-processed-gene-5.121-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.121&CDS=1-951	YEL017W
529	OG0000529	genemark-BBIL01000001.1-processed-gene-5.96-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.96&CDS=1-570	YCR027C
530	OG0000530	snap_masked-BBIL01000001.1-processed-gene-5.124-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.124&CDS=1-1494	YEL015W
531	OG0000531	genemark-BBIL01000001.1-processed-gene-5.80-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.80&CDS=1-1740	YEL013W
532	OG0000532	snap_masked-BBIL01000001.1-processed-gene-5.126-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.126&CDS=1-1032	YCR019W
533	OG0000533	snap_masked-BBIL01000001.1-processed-gene-5.142-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.142&CDS=1-273	YCR020C-A
534	OG0000534	snap_masked-BBIL01000001.1-processed-gene-5.128-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-5.128&CDS=1-633	YEL012W
535	OG0000535	genemark-BBIL01000001.1-processed-gene-5.83-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.83&CDS=1-2151	YEL011W
536	OG0000536	genemark-BBIL01000001.1-processed-gene-5.84-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-5.84&CDS=1-2937	YCR017C
537	OG0000537	genemark-BBIL01000001.1-processed-gene-6.7-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.7&CDS=1-819	YCR016W
538	OG0000538	augustus_masked-BBIL01000001.1-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-6.117&CDS=1-687	YCR015C
539	OG0000539	augustus_masked-BBIL01000001.1-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-6.118&CDS=1-1470	YCR014C
540	OG0000540	genemark-BBIL01000001.1-processed-gene-6.37-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.37&CDS=1-1248	YCR012W
541	OG0000541	snap_masked-BBIL01000001.1-processed-gene-6.66-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-6.66&CDS=1-2019	YOL023W
542	OG0000542	genemark-BBIL01000001.1-processed-gene-6.38-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.38&CDS=1-1302	YOL022C
543	OG0000543	genemark-BBIL01000001.1-processed-gene-6.14-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.14&CDS=1-2256	YFR009W
544	OG0000544	genemark-BBIL01000001.1-processed-gene-6.39-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.39&CDS=1-3030	YOL021C
545	OG0000545	snap_masked-BBIL01000001.1-processed-gene-6.68-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-6.68&CDS=1-3165	YOL020W
546	OG0000546	genemark-BBIL01000001.1-processed-gene-6.40-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.40&CDS=1-465	YFR011C
547	OG0000547	augustus_masked-BBIL01000001.1-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-6.125&CDS=1-2046	YOL019W
548	OG0000548	genemark-BBIL01000001.1-processed-gene-6.41-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.41&CDS=1-1092	YOL018C
549	OG0000549	genemark-BBIL01000001.1-processed-gene-6.17-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.17&CDS=1-1194	YDR021W
550	OG0000550	genemark-BBIL01000001.1-processed-gene-6.18-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.18&CDS=1-1377	YDR023W
551	OG0000551	genemark-BBIL01000001.1-processed-gene-6.44-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.44&CDS=1-1011	YBR046C
552	OG0000552	genemark-BBIL01000001.1-processed-gene-6.19-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.19&CDS=1-534	YBR047W
553	OG0000553	genemark-BBIL01000001.1-processed-gene-6.45-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.45&CDS=1-720	YKL070W
554	OG0000554	genemark-BBIL01000001.1-processed-gene-6.22-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.22&CDS=1-1668	YIL162W
555	OG0000555	genemark-BBIL01000001.1-processed-gene-6.24-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.24&CDS=1-1086	YJR153W
556	OG0000556	genemark-BBIL01000001.1-processed-gene-6.47-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.47&CDS=1-1197	YHR208W
557	OG0000557	genemark-BBIL01000001.1-processed-gene-6.25-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.25&CDS=1-714	YER183C
558	OG0000558	genemark-BBIL01000001.1-processed-gene-6.48-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.48&CDS=1-837	YER182W
559	OG0000559	genemark-BBIL01000001.1-processed-gene-6.26-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.26&CDS=1-1467	YHR207C
560	OG0000560	genemark-BBIL01000001.1-processed-gene-6.49-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.49&CDS=1-1479	YHR206W
561	OG0000561	snap_masked-BBIL01000001.1-processed-gene-6.81-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-6.81&CDS=1-804	YMR312W
562	OG0000562	genemark-BBIL01000001.1-processed-gene-6.50-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.50&CDS=1-1779	YMR313C
563	OG0000563	genemark-BBIL01000001.1-processed-gene-6.28-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.28&CDS=1-699	YMR314W
564	OG0000564	genemark-BBIL01000001.1-processed-gene-6.29-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.29&CDS=1-2124	YMR301C
565	OG0000565	genemark-BBIL01000001.1-processed-gene-6.30-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.30&CDS=1-1527	YMR300C
566	OG0000566	genemark-BBIL01000001.1-processed-gene-6.31-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.31&CDS=1-1146	YMR299C
567	OG0000567	genemark-BBIL01000001.1-processed-gene-6.32-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.32&CDS=1-2124	YGR276C
568	OG0000568	augustus_masked-BBIL01000001.1-processed-gene-6.160-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-6.160&CDS=1-537	YGR275W
569	OG0000569	genemark-BBIL01000001.1-processed-gene-6.33-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.33&CDS=1-3165	YGR274C
570	OG0000570	genemark-BBIL01000001.1-processed-gene-6.52-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.52&CDS=1-456	YMR298W
571	OG0000571	genemark-BBIL01000001.1-processed-gene-6.34-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.34&CDS=1-1659	YMR296C
572	OG0000572	genemark-BBIL01000001.1-processed-gene-6.35-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.35&CDS=1-564	YMR295C
573	OG0000573	genemark-BBIL01000001.1-processed-gene-6.36-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-6.36&CDS=1-693	YGR271C-A
574	OG0000574	genemark-BBIL01000001.1-processed-gene-7.1-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.1&CDS=1-5874	YGR271W
575	OG0000575	snap_masked-BBIL01000001.1-processed-gene-7.41-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.41&CDS=1-1101	YMR294W
576	OG0000576	genemark-BBIL01000001.1-processed-gene-7.0-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.0&CDS=1-1395	YMR293C
577	OG0000577	augustus_masked-BBIL01000001.1-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-7.89&CDS=1-4092	YGR270W
578	OG0000578	genemark-BBIL01000001.1-processed-gene-7.5-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.5&CDS=1-615	YGR268C
579	OG0000579	genemark-BBIL01000001.1-processed-gene-7.6-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.6&CDS=1-735	YGR267C
580	OG0000580	genemark-BBIL01000001.1-processed-gene-7.19-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.19&CDS=1-1707	YMR291W
581	OG0000581	genemark-BBIL01000001.1-processed-gene-7.20-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.20&CDS=1-2151	YGR266W
582	OG0000582	genemark-BBIL01000001.1-processed-gene-7.7-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.7&CDS=1-1533	YMR290C
583	OG0000583	genemark-BBIL01000001.1-processed-gene-7.8-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.8&CDS=1-2259	YGR264C
584	OG0000584	genemark-BBIL01000001.1-processed-gene-7.9-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.9&CDS=1-792	YGR262C
585	OG0000585	genemark-BBIL01000001.1-processed-gene-7.21-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.21&CDS=1-1242	YMR289W
586	OG0000586	genemark-BBIL01000001.1-processed-gene-7.10-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.10&CDS=1-2499	YGR261C
587	OG0000587	genemark-BBIL01000001.1-processed-gene-7.22-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.22&CDS=1-2865	YMR288W
588	OG0000588	genemark-BBIL01000001.1-processed-gene-7.11-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.11&CDS=1-1899	YHR188C
589	OG0000589	genemark-BBIL01000001.1-processed-gene-7.23-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.23&CDS=1-885	YHR187W
590	OG0000590	genemark-BBIL01000001.1-processed-gene-7.12-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.12&CDS=1-4506	YHR186C
591	OG0000591	genemark-BBIL01000001.1-processed-gene-7.24-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.24&CDS=1-1524	YGR260W
592	OG0000592	genemark-BBIL01000001.1-processed-gene-7.13-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.13&CDS=1-3000	YGR258C
593	OG0000593	snap_masked-BBIL01000001.1-processed-gene-7.53-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.53&CDS=1-771	YHR185C
594	OG0000594	genemark-BBIL01000001.1-processed-gene-7.15-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.15&CDS=1-1110	YGR257C
595	OG0000595	snap_masked-BBIL01000001.1-processed-gene-7.68-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.68&CDS=1-2079	YHR184W
596	OG0000596	genemark-BBIL01000001.1-processed-gene-7.26-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.26&CDS=1-1476	YHR183W
597	OG0000597	genemark-BBIL01000001.1-processed-gene-7.28-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.28&CDS=1-702	YHR181W
598	OG0000598	genemark-BBIL01000001.1-processed-gene-7.29-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.29&CDS=1-2052	YHR178W
599	OG0000599	snap_masked-BBIL01000001.1-processed-gene-7.72-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.72&CDS=1-1272	YHR176W
600	OG0000600	snap_masked-BBIL01000001.1-processed-gene-7.73-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.73&CDS=1-462	YHR175W
601	OG0000601	snap_masked-BBIL01000001.1-processed-gene-7.75-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.75&CDS=1-2346	YHR172W
602	OG0000602	genemark-BBIL01000001.1-processed-gene-7.34-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.34&CDS=1-2448	YGL014W
603	OG0000603	genemark-BBIL01000001.1-processed-gene-7.35-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.35&CDS=1-2697	YGL008C
604	OG0000604	genemark-BBIL01000001.1-processed-gene-7.36-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.36&CDS=1-891	YAR008W
605	OG0000605	genemark-BBIL01000001.1-processed-gene-7.18-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-7.18&CDS=1-3822	YGL006W
606	OG0000606	snap_masked-BBIL01000001.1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.79&CDS=1-768	YGL005C
607	OG0000607	snap_masked-BBIL01000001.1-processed-gene-7.80-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-7.80&CDS=1-1284	YGL004C
608	OG0000608	genemark-BBIL01000001.1-processed-gene-8.100-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.100&CDS=1-1863	YAR007C
609	OG0000609	genemark-BBIL01000001.1-processed-gene-8.102-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.102&CDS=1-1740	YGL003C
610	OG0000610	genemark-BBIL01000001.1-processed-gene-8.103-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.103&CDS=1-1368	YAR003W
611	OG0000611	snap_masked-BBIL01000001.1-processed-gene-8.58-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.58&CDS=1-1566	YAR002W
612	OG0000612	snap_masked-BBIL01000001.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.59&CDS=1-3477	YAL001C
613	OG0000613	genemark-BBIL01000001.1-processed-gene-8.105-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.105&CDS=1-744	YGR001C
614	OG0000614	genemark-BBIL01000001.1-processed-gene-8.125-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.125&CDS=1-1173	YNL001W
615	OG0000615	genemark-BBIL01000001.1-processed-gene-8.126-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.126&CDS=1-546	YCL001W
616	OG0000616	genemark-BBIL01000001.1-processed-gene-8.107-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.107&CDS=1-642	YCL002C
617	OG0000617	genemark-BBIL01000001.1-processed-gene-8.127-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.127&CDS=1-1524	YCL004W
618	OG0000618	genemark-BBIL01000001.1-processed-gene-8.108-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.108&CDS=1-1020	YFR025C
619	OG0000619	genemark-BBIL01000001.1-processed-gene-8.130-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.130&CDS=1-2031	YHR020W
620	OG0000620	genemark-BBIL01000001.1-processed-gene-8.109-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.109&CDS=1-1656	YHR019C
621	OG0000621	genemark-BBIL01000001.1-processed-gene-8.110-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.110&CDS=1-1386	YHR018C
622	OG0000622	snap_masked-BBIL01000001.1-processed-gene-8.84-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.84&CDS=1-1158	YHR017W
623	OG0000623	genemark-BBIL01000001.1-processed-gene-8.111-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.111&CDS=1-1242	YHR016C
624	OG0000624	genemark-BBIL01000001.1-processed-gene-8.112-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.112&CDS=1-879	YML052W
625	OG0000625	genemark-BBIL01000001.1-processed-gene-8.113-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.113&CDS=1-1392	YML051W
626	OG0000626	genemark-BBIL01000001.1-processed-gene-8.114-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.114&CDS=1-924	YML050W
627	OG0000627	snap_masked-BBIL01000001.1-processed-gene-8.88-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.88&CDS=1-3879	YML049C
628	OG0000628	genemark-BBIL01000001.1-processed-gene-8.115-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.115&CDS=1-1155	YML048W
629	OG0000629	genemark-BBIL01000001.1-processed-gene-8.136-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.136&CDS=1-1569	YJR054W
630	OG0000630	snap_masked-BBIL01000001.1-processed-gene-8.90-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.90&CDS=1-1866	YJR053W
631	OG0000631	genemark-BBIL01000001.1-processed-gene-8.117-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.117&CDS=1-1857	YML046W
632	OG0000632	genemark-BBIL01000001.1-processed-gene-8.138-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.138&CDS=1-1698	YJR052W
633	OG0000633	genemark-BBIL01000001.1-processed-gene-8.139-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.139&CDS=1-1635	YOR070C
634	OG0000634	genemark-BBIL01000001.1-processed-gene-8.118-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.118&CDS=1-975	YKR080W
635	OG0000635	genemark-BBIL01000001.1-processed-gene-8.140-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.140&CDS=1-1026	YKR081C
636	OG0000636	snap_masked-BBIL01000001.1-processed-gene-8.72-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-8.72&CDS=1-3351	YKR082W
637	OG0000637	genemark-BBIL01000001.1-processed-gene-8.141-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.141&CDS=1-366	YKR083C
638	OG0000638	genemark-BBIL01000001.1-processed-gene-8.120-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.120&CDS=1-1926	YOR073W
639	OG0000639	genemark-BBIL01000001.1-processed-gene-8.142-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.142&CDS=1-912	YOR074C
640	OG0000640	genemark-BBIL01000001.1-processed-gene-8.121-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.121&CDS=1-987	YOR075W
641	OG0000641	maker-BBIL01000001.1-snap-gene-8.53-mRNA-1_1&gene=maker-BBIL01000001.1-snap-gene-8.53&CDS=1-2007	YKR084C
642	OG0000642	genemark-BBIL01000001.1-processed-gene-8.144-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.144&CDS=1-591	YKR085C
643	OG0000643	genemark-BBIL01000001.1-processed-gene-8.145-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.145&CDS=1-1038	YKR087C
644	OG0000644	genemark-BBIL01000001.1-processed-gene-8.124-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.124&CDS=1-717	YOR077W
645	OG0000645	genemark-BBIL01000001.1-processed-gene-8.146-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.146&CDS=1-915	YKR088C
646	OG0000646	snap_masked-BBIL01000001.1-processed-gene-9.1-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-9.1&CDS=1-1260	YOR078W
647	OG0000647	genemark-BBIL01000001.1-processed-gene-8.147-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-8.147&CDS=1-783	YOR079C
648	OG0000648	augustus_masked-BBIL01000001.1-processed-gene-9.115-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.115&CDS=1-2106	YOR080W
649	OG0000649	snap_masked-BBIL01000001.1-processed-gene-9.5-mRNA-1_1&gene=snap_masked-BBIL01000001.1-processed-gene-9.5&CDS=1-2997	YKR089C
650	OG0000650	augustus_masked-BBIL01000001.1-processed-gene-9.116-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.116&CDS=1-654	YOL111C
651	OG0000651	augustus_masked-BBIL01000001.1-processed-gene-9.119-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.119&CDS=1-1728	YNL293W
652	OG0000652	genemark-BBIL01000001.1-processed-gene-9.57-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.57&CDS=1-1803	YNL294C
653	OG0000653	augustus_masked-BBIL01000001.1-processed-gene-9.120-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.120&CDS=1-1485	YNL295W
654	OG0000654	augustus_masked-BBIL01000001.1-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.121&CDS=1-4905	YNL297C
655	OG0000655	genemark-BBIL01000001.1-processed-gene-9.87-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.87&CDS=1-2649	YNL298W
656	OG0000656	genemark-BBIL01000001.1-processed-gene-9.63-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.63&CDS=1-492	YOL114C
657	OG0000657	genemark-BBIL01000001.1-processed-gene-9.89-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.89&CDS=1-1290	YOL116W
658	OG0000658	genemark-BBIL01000001.1-processed-gene-9.91-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.91&CDS=1-1827	YOL117W
659	OG0000659	genemark-BBIL01000001.1-processed-gene-9.65-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.65&CDS=1-1491	YOL119C
660	OG0000660	genemark-BBIL01000001.1-processed-gene-9.67-mRNA-1_1&gene=genemark-BBIL01000001.1-processed-gene-9.67&CDS=1-1407	YOR025W
661	OG0000661	augustus_masked-BBIL01000001.1-processed-gene-9.127-mRNA-1_1&gene=augustus_masked-BBIL01000001.1-processed-gene-9.127&CDS=1-570	YDR478W
