	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_phaffii
896	OG0000896	YDL127W	genemark-NC_016520.1-processed-gene-7.12-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-7.12&CDS=1-867
897	OG0000897	YDL128W	snap_masked-NC_016535.1-processed-gene-1.87-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.87&CDS=1-1239
898	OG0000898	YDL129W	augustus_masked-NC_016520.1-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-7.96&CDS=1-1068
899	OG0000899	YDL130W	maker-NC_016535.1-snap-gene-1.45-mRNA-1_1&gene=maker-NC_016535.1-snap-gene-1.45&CDS=1-318
900	OG0000900	YDL131W	snap_masked-NC_016535.1-processed-gene-1.89-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.89&CDS=1-1344
901	OG0000901	YDL132W	snap_masked-NC_016535.1-processed-gene-1.90-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.90&CDS=1-2469
902	OG0000902	YDL133W	snap_masked-NC_016535.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.91&CDS=1-1365
903	OG0000903	YDL135C	snap_masked-NC_016535.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.69&CDS=1-600
904	OG0000904	YDL139C	snap_masked-NC_016520.1-processed-gene-6.100-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.100&CDS=1-600
905	OG0000905	YDL140C	snap_masked-NC_016520.1-processed-gene-6.99-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.99&CDS=1-5157
906	OG0000906	YDL141W	genemark-NC_016520.1-processed-gene-6.12-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-6.12&CDS=1-2055
907	OG0000907	YDL142C	genemark-NC_016520.1-processed-gene-6.31-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-6.31&CDS=1-573
908	OG0000908	YDL143W	snap_masked-NC_016520.1-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.78&CDS=1-1584
909	OG0000909	YDL144C	snap_masked-NC_016529.1-processed-gene-3.114-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-3.114&CDS=1-1077
910	OG0000910	YDL145C	snap_masked-NC_016523.1-processed-gene-9.129-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.129&CDS=1-3624
911	OG0000911	YDL146W	snap_masked-NC_016529.1-processed-gene-3.136-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-3.136&CDS=1-1374
912	OG0000912	YDL147W	snap_masked-NC_016529.1-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-3.137&CDS=1-1371
913	OG0000913	YDL148C	snap_masked-NC_016529.1-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-3.116&CDS=1-2496
914	OG0000914	YDL149W	snap_masked-NC_016529.1-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-4.52&CDS=1-3129
915	OG0000915	YDL150W	snap_masked-NC_016529.1-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-4.53&CDS=1-1314
916	OG0000916	YDL153C	genemark-NC_016529.1-processed-gene-4.2-mRNA-1_1&gene=genemark-NC_016529.1-processed-gene-4.2&CDS=1-1815
917	OG0000917	YDL154W	snap_masked-NC_016529.1-processed-gene-4.54-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-4.54&CDS=1-2679
918	OG0000918	YDL156W	snap_masked-NC_016525.1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.38&CDS=1-1611
919	OG0000919	YDL157C	snap_masked-NC_016525.1-processed-gene-6.14-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.14&CDS=1-336
920	OG0000920	YDL159W	snap_masked-NC_016525.1-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.39&CDS=1-1683
921	OG0000921	YDL160C	genemark-NC_016523.1-processed-gene-9.21-mRNA-1_1&gene=genemark-NC_016523.1-processed-gene-9.21&CDS=1-1506
922	OG0000922	YDL160C-A	snap_masked-NC_016525.1-processed-gene-6.16-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.16&CDS=1-378
923	OG0000923	YDL164C	snap_masked-NC_016523.1-processed-gene-9.133-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.133&CDS=1-2100
924	OG0000924	YDL165W	snap_masked-NC_016525.1-processed-gene-6.42-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.42&CDS=1-573
925	OG0000925	YDL166C	snap_masked-NC_016525.1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.19&CDS=1-648
926	OG0000926	YDL167C	snap_masked-NC_016525.1-processed-gene-6.20-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.20&CDS=1-1962
927	OG0000927	YDL168W	snap_masked-NC_016525.1-processed-gene-6.43-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.43&CDS=1-1143
928	OG0000928	YDL169C	augustus_masked-NC_016525.1-processed-gene-6.74-mRNA-1_1&gene=augustus_masked-NC_016525.1-processed-gene-6.74&CDS=1-465
929	OG0000929	YDL171C	snap_masked-NC_016525.1-processed-gene-6.27-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.27&CDS=1-6417
930	OG0000930	YDL174C	snap_masked-NC_016525.1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-6.28&CDS=1-1755
931	OG0000931	YDL176W	snap_masked-NC_016535.1-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-1.85&CDS=1-2223
932	OG0000932	YDL177C	snap_masked-NC_016520.1-processed-gene-7.71-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.71&CDS=1-486
933	OG0000933	YDL178W	snap_masked-NC_016520.1-processed-gene-7.52-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.52&CDS=1-1689
934	OG0000934	YDL180W	snap_masked-NC_016520.1-processed-gene-7.49-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.49&CDS=1-1761
935	OG0000935	YDL181W	snap_masked-NC_016520.1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.48&CDS=1-261
936	OG0000936	YDL185W	snap_masked-NC_016520.1-processed-gene-7.46-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.46&CDS=1-3402
937	OG0000937	YDL189W	snap_masked-NC_016520.1-processed-gene-7.42-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.42&CDS=1-1506
938	OG0000938	YDL190C	snap_masked-NC_016520.1-processed-gene-7.44-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-7.44&CDS=1-2883
939	OG0000939	YDL193W	snap_masked-NC_016535.1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-2.9&CDS=1-1050
940	OG0000940	YDL195W	snap_masked-NC_016520.1-processed-gene-6.79-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-6.79&CDS=1-3795
941	OG0000941	YDL198C	snap_masked-NC_016522.1-processed-gene-4.87-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.87&CDS=1-906
942	OG0000942	YDL200C	augustus_masked-NC_016522.1-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-NC_016522.1-processed-gene-4.135&CDS=1-648
943	OG0000943	YDL201W	snap_masked-NC_016522.1-processed-gene-4.69-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.69&CDS=1-846
944	OG0000944	YDL202W	genemark-NC_016522.1-processed-gene-4.21-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-4.21&CDS=1-789
945	OG0000945	YDL203C	snap_masked-NC_016522.1-processed-gene-4.84-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.84&CDS=1-1785
946	OG0000946	YDL205C	snap_masked-NC_016531.1-processed-gene-2.62-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-2.62&CDS=1-993
947	OG0000947	YDL206W	augustus_masked-NC_016531.1-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-NC_016531.1-processed-gene-2.34&CDS=1-2028
948	OG0000948	YDL207W	maker-NC_016522.1-snap-gene-4.93-mRNA-1_1&gene=maker-NC_016522.1-snap-gene-4.93&CDS=1-2304
949	OG0000949	YDL208W	snap_masked-NC_016522.1-processed-gene-4.62-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.62&CDS=1-441
950	OG0000950	YDL209C	snap_masked-NC_016531.1-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-2.63&CDS=1-966
951	OG0000951	YDL212W	snap_masked-NC_016534.1-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.32&CDS=1-627
952	OG0000952	YDL213C	snap_masked-NC_016525.1-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-5.52&CDS=1-672
953	OG0000953	YDL215C	snap_masked-NC_016525.1-processed-gene-5.53-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-5.53&CDS=1-3333
954	OG0000954	YDL216C	augustus_masked-NC_016525.1-processed-gene-5.16-mRNA-1_1&gene=augustus_masked-NC_016525.1-processed-gene-5.16&CDS=1-1119
955	OG0000955	YDL217C	snap_masked-NC_016534.1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.15&CDS=1-606
956	OG0000956	YDL218W	snap_masked-NC_016525.1-processed-gene-5.70-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-5.70&CDS=1-882
957	OG0000957	YDL222C	snap_masked-NC_016534.1-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.17&CDS=1-882
958	OG0000958	YDL225W	snap_masked-NC_016534.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.39&CDS=1-1683
959	OG0000959	YDL226C	snap_masked-NC_016527.1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-1.69&CDS=1-1047
960	OG0000960	YDL227C	snap_masked-NC_016534.1-processed-gene-3.21-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.21&CDS=1-1776
961	OG0000961	YDL230W	genemark-NC_016534.1-processed-gene-3.97-mRNA-1_1&gene=genemark-NC_016534.1-processed-gene-3.97&CDS=1-1044
962	OG0000962	YDL231C	snap_masked-NC_016535.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-2.44&CDS=1-3354
963	OG0000963	YDL233W	augustus_masked-NC_016535.1-processed-gene-2.180-mRNA-1_1&gene=augustus_masked-NC_016535.1-processed-gene-2.180&CDS=1-2106
964	OG0000964	YDL234C	snap_masked-NC_016535.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-2.46&CDS=1-2271
965	OG0000965	YDL235C	snap_masked-NC_016534.1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.23&CDS=1-414
966	OG0000966	YDL236W	snap_masked-NC_016534.1-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.47&CDS=1-924
967	OG0000967	YDL237W	augustus_masked-NC_016535.1-processed-gene-2.182-mRNA-1_1&gene=augustus_masked-NC_016535.1-processed-gene-2.182&CDS=1-1191
968	OG0000968	YDL238C	genemark-NC_016534.1-processed-gene-3.80-mRNA-1_1&gene=genemark-NC_016534.1-processed-gene-3.80&CDS=1-1470
969	OG0000969	YDL240W	snap_masked-NC_016534.1-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-3.51&CDS=1-3141
970	OG0000970	YDR002W	snap_masked-NC_016527.1-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-1.78&CDS=1-609
971	OG0000971	YDR004W	snap_masked-NC_016520.1-processed-gene-10.5-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-10.5&CDS=1-1398
972	OG0000972	YDR005C	snap_masked-NC_016527.1-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-1.55&CDS=1-1272
973	OG0000973	YDR006C	snap_masked-NC_016520.1-processed-gene-10.3-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-10.3&CDS=1-2958
974	OG0000974	YDR007W	snap_masked-NC_016527.1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-1.75&CDS=1-687
975	OG0000975	YDR013W	snap_masked-NC_016532.1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.41&CDS=1-624
976	OG0000976	YDR014W	snap_masked-NC_016532.1-processed-gene-1.24-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.24&CDS=1-1929
977	OG0000977	YDR014W-A	snap_masked-NC_016532.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.25&CDS=1-555
978	OG0000978	YDR016C	snap_masked-NC_016520.1-processed-gene-9.93-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.93&CDS=1-348
979	OG0000979	YDR017C	maker-NC_016520.1-snap-gene-9.124-mRNA-1_1&gene=maker-NC_016520.1-snap-gene-9.124&CDS=1-3159
980	OG0000980	YDR019C	snap_masked-NC_016532.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.43&CDS=1-1194
981	OG0000981	YDR020C	snap_masked-NC_016532.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.44&CDS=1-693
982	OG0000982	YDR021W	snap_masked-NC_016532.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.28&CDS=1-1200
983	OG0000983	YDR022C	snap_masked-NC_016532.1-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.45&CDS=1-495
984	OG0000984	YDR023W	snap_masked-NC_016520.1-processed-gene-9.112-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.112&CDS=1-1374
985	OG0000985	YDR026C	snap_masked-NC_016532.1-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.48&CDS=1-1989
986	OG0000986	YDR027C	snap_masked-NC_016532.1-processed-gene-1.49-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-1.49&CDS=1-3012
987	OG0000987	YDR028C	snap_masked-NC_016532.1-processed-gene-2.1-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.1&CDS=1-2880
988	OG0000988	YDR030C	snap_masked-NC_016532.1-processed-gene-2.2-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.2&CDS=1-468
989	OG0000989	YDR031W	snap_masked-NC_016532.1-processed-gene-2.0-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.0&CDS=1-369
990	OG0000990	YDR032C	snap_masked-NC_016532.1-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.3&CDS=1-594
991	OG0000991	YDR034C	snap_masked-NC_016532.1-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.19&CDS=1-2310
992	OG0000992	YDR035W	snap_masked-NC_016532.1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.9&CDS=1-1116
993	OG0000993	YDR036C	snap_masked-NC_016532.1-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.23&CDS=1-1548
994	OG0000994	YDR037W	snap_masked-NC_016520.1-processed-gene-9.85-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.85&CDS=1-1779
995	OG0000995	YDR041W	snap_masked-NC_016532.1-processed-gene-2.10-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.10&CDS=1-705
996	OG0000996	YDR044W	snap_masked-NC_016520.1-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-8.84&CDS=1-981
997	OG0000997	YDR045C	snap_masked-NC_016532.1-processed-gene-2.31-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.31&CDS=1-300
998	OG0000998	YDR047W	snap_masked-NC_016532.1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.33&CDS=1-1110
999	OG0000999	YDR049W	maker-NC_016520.1-augustus-gene-8.0-mRNA-1_1&gene=maker-NC_016520.1-augustus-gene-8.0&CDS=1-2610
1000	OG0001000	YDR050C	snap_masked-NC_016532.1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.11&CDS=1-744
1001	OG0001001	YDR051C	snap_masked-NC_016520.1-processed-gene-8.83-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-8.83&CDS=1-1083
1002	OG0001002	YDR052C	snap_masked-NC_016532.1-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NC_016532.1-processed-gene-2.34&CDS=1-2133
1003	OG0001003	YDR054C	augustus_masked-NC_016532.1-processed-gene-2.68-mRNA-1_1&gene=augustus_masked-NC_016532.1-processed-gene-2.68&CDS=1-1671
1004	OG0001004	YDR056C	augustus_masked-NC_016520.1-processed-gene-8.20-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-8.20&CDS=1-642
1005	OG0001005	YDR057W	augustus_masked-NC_016520.1-processed-gene-8.37-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-8.37&CDS=1-1920
1006	OG0001006	YDR058C	snap_masked-NC_016521.1-processed-gene-10.76-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-10.76&CDS=1-1224
1007	OG0001007	YDR060W	snap_masked-NC_016520.1-processed-gene-8.78-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-8.78&CDS=1-3114
1008	OG0001008	YDR061W	snap_masked-NC_016527.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-0.19&CDS=1-1626
1009	OG0001009	YDR062W	snap_masked-NC_016523.1-processed-gene-9.119-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.119&CDS=1-1707
1010	OG0001010	YDR064W	maker-NC_016522.1-snap-gene-6.86-mRNA-1_1&gene=maker-NC_016522.1-snap-gene-6.86&CDS=1-846
1011	OG0001011	YDR065W	snap_masked-NC_016522.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-6.72&CDS=1-1005
1012	OG0001012	YDR067C	genemark-NC_016523.1-processed-gene-9.34-mRNA-1_1&gene=genemark-NC_016523.1-processed-gene-9.34&CDS=1-621
1013	OG0001013	YDR068W	snap_masked-NC_016522.1-processed-gene-6.71-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-6.71&CDS=1-1095
1014	OG0001014	YDR069C	genemark-NC_016522.1-processed-gene-6.95-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-6.95&CDS=1-2910
1015	OG0001015	YDR070C	snap_masked-NC_016523.1-processed-gene-9.144-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.144&CDS=1-330
1016	OG0001016	YDR071C	snap_masked-NC_016522.1-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-6.49&CDS=1-582
1017	OG0001017	YDR072C	snap_masked-NC_016520.1-processed-gene-4.57-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.57&CDS=1-1587
1018	OG0001018	YDR073W	snap_masked-NC_016520.1-processed-gene-4.77-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.77&CDS=1-429
1019	OG0001019	YDR074W	snap_masked-NC_016520.1-processed-gene-4.76-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.76&CDS=1-2799
1020	OG0001020	YDR075W	snap_masked-NC_016520.1-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.74&CDS=1-921
1021	OG0001021	YDR076W	snap_masked-NC_016520.1-processed-gene-4.73-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.73&CDS=1-1296
1022	OG0001022	YDR078C	snap_masked-NC_016523.1-processed-gene-9.147-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.147&CDS=1-774
1023	OG0001023	YDR079C-A	snap_masked-NC_016523.1-processed-gene-9.150-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.150&CDS=1-216
1024	OG0001024	YDR079W	snap_masked-NC_016520.1-processed-gene-4.72-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.72&CDS=1-318
1025	OG0001025	YDR080W	snap_masked-NC_016523.1-processed-gene-9.125-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.125&CDS=1-2730
1026	OG0001026	YDR082W	snap_masked-NC_016520.1-processed-gene-4.70-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.70&CDS=1-1620
1027	OG0001027	YDR083W	genemark-NC_016520.1-processed-gene-4.28-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-4.28&CDS=1-1233
1028	OG0001028	YDR084C	snap_masked-NC_016523.1-processed-gene-9.152-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.152&CDS=1-222
1029	OG0001029	YDR085C	augustus_masked-NC_016521.1-processed-gene-8.50-mRNA-1_1&gene=augustus_masked-NC_016521.1-processed-gene-8.50&CDS=1-1539
1030	OG0001030	YDR086C	snap_masked-NC_016521.1-processed-gene-8.8-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.8&CDS=1-225
1031	OG0001031	YDR087C	snap_masked-NC_016521.1-processed-gene-8.7-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.7&CDS=1-861
1032	OG0001032	YDR088C	snap_masked-NC_016520.1-processed-gene-4.51-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.51&CDS=1-1110
1033	OG0001033	YDR089W	augustus_masked-NC_016521.1-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-NC_016521.1-processed-gene-8.61&CDS=1-2613
1034	OG0001034	YDR090C	genemark-NC_016520.1-processed-gene-12.46-mRNA-1_1&gene=genemark-NC_016520.1-processed-gene-12.46&CDS=1-738
1035	OG0001035	YDR091C	snap_masked-NC_016520.1-processed-gene-4.49-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.49&CDS=1-1821
1036	OG0001036	YDR092W	snap_masked-NC_016521.1-processed-gene-8.1-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.1&CDS=1-456
1037	OG0001037	YDR101C	snap_masked-NC_016521.1-processed-gene-7.17-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-7.17&CDS=1-1767
1038	OG0001038	YDR103W	snap_masked-NC_016521.1-processed-gene-7.34-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-7.34&CDS=1-3216
1039	OG0001039	YDR104C	augustus_masked-NC_016520.1-processed-gene-3.70-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-3.70&CDS=1-3240
1040	OG0001040	YDR105C	snap_masked-NC_016520.1-processed-gene-3.27-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.27&CDS=1-1416
1041	OG0001041	YDR108W	genemark-NC_016521.1-processed-gene-7.95-mRNA-1_1&gene=genemark-NC_016521.1-processed-gene-7.95&CDS=1-2142
1042	OG0001042	YDR109C	snap_masked-NC_016521.1-processed-gene-7.14-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-7.14&CDS=1-1755
1043	OG0001043	YDR110W	snap_masked-NC_016529.1-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-1.17&CDS=1-1224
1044	OG0001044	YDR113C	augustus_masked-NC_016520.1-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-3.64&CDS=1-1056
1045	OG0001045	YDR115W	snap_masked-NC_016520.1-processed-gene-3.39-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.39&CDS=1-312
1046	OG0001046	YDR116C	snap_masked-NC_016529.1-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-1.37&CDS=1-834
1047	OG0001047	YDR117C	snap_masked-NC_016529.1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-1.38&CDS=1-1749
1048	OG0001048	YDR118W	augustus_masked-NC_016529.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NC_016529.1-processed-gene-1.59&CDS=1-2055
1049	OG0001049	YDR119W-A	augustus_masked-NC_016520.1-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-3.79&CDS=1-237
1050	OG0001050	YDR120C	snap_masked-NC_016520.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.20&CDS=1-1653
1051	OG0001051	YDR121W	snap_masked-NC_016520.1-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.35&CDS=1-600
1052	OG0001052	YDR123C	augustus_masked-NC_016529.1-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NC_016529.1-processed-gene-2.43&CDS=1-1107
1053	OG0001053	YDR125C	snap_masked-NC_016520.1-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.17&CDS=1-1215
1054	OG0001054	YDR126W	genemark-NC_016522.1-processed-gene-2.96-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-2.96&CDS=1-999
1055	OG0001055	YDR127W	genemark-NC_016522.1-processed-gene-2.95-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-2.95&CDS=1-8073
1056	OG0001056	YDR129C	snap_masked-NC_016520.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.16&CDS=1-1932
1057	OG0001057	YDR130C	snap_masked-NC_016522.1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-2.44&CDS=1-792
1058	OG0001058	YDR131C	augustus_masked-NC_016520.1-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-3.57&CDS=1-1596
1059	OG0001059	YDR134C	snap_masked-NC_016520.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.13&CDS=1-393
1060	OG0001060	YDR135C	snap_masked-NC_016522.1-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-2.42&CDS=1-4569
1061	OG0001061	YDR137W	snap_masked-NC_016520.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-3.33&CDS=1-2160
1062	OG0001062	YDR138W	snap_masked-NC_016522.1-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-2.40&CDS=1-2331
1063	OG0001063	YDR140W	snap_masked-NC_016522.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-1.72&CDS=1-666
