	OrthologID	Aspergillus_nidulans	Saccharomyces_cerevisiae
495	OG0000495	AN4080	YAL036C
496	OG0000496	AN6576	YMR009W
497	OG0000497	AN6136	YIL030C
498	OG0000498	AN6510	YMR203W
499	OG0000499	AN10879	YAL039C
500	OG0000500	AN12171	YDR468C
501	OG0000501	AN3098	YBR080C
502	OG0000502	AN4530	YNL001W
503	OG0000503	AN0476	YBR282W
504	OG0000504	AN3188	YGR170W
505	OG0000505	AN3749	YCR092C
506	OG0000506	AN10717	YDR379C-A
507	OG0000507	AN5981	YJL020C
508	OG0000508	AN4984	YGL215W
509	OG0000509	AN8488	YKL196C
510	OG0000510	AN5676	YJL194W
511	OG0000511	AN5105	YAL023C
512	OG0000512	AN1800	YIL147C
513	OG0000513	AN1297	YBL102W
514	OG0000514	AN0641	YKL056C
515	OG0000515	AN4236	YOR117W
516	OG0000516	AN4298	YJR002W
517	OG0000517	AN2418	YLR396C
518	OG0000518	AN6517	YOL094C
519	OG0000519	AN0316	YML085C
520	OG0000520	AN7625	YJL153C
521	OG0000521	AN6126	YNR016C
522	OG0000522	AN2104	YDR140W
523	OG0000523	AN7579	YHR200W
524	OG0000524	AN4525	YGL187C
525	OG0000525	AN5711	YOR006C
526	OG0000526	AN3031	YCR053W
527	OG0000527	AN2742	YJR086W
528	OG0000528	AN8647	YHL008C
529	OG0000529	AN2285	YGL150C
530	OG0000530	AN2526	YLR355C
531	OG0000531	AN7609	YFL036W
532	OG0000532	AN4992	YNR008W
533	OG0000533	AN5607	YFL007W
534	OG0000534	AN0090	YMR159C
535	OG0000535	AN3026	YDL145C
536	OG0000536	AN3909	YOR346W
537	OG0000537	AN2137	YDL155W
538	OG0000538	AN1319	YEL026W
539	OG0000539	AN5188	YMR234W
540	OG0000540	AN6526	YLR382C
541	OG0000541	AN6006	YJR132W
542	OG0000542	AN1194	YKL001C
543	OG0000543	AN7472	YJL002C
544	OG0000544	AN2482	YGR271W
545	OG0000545	AN2314	YEL011W
546	OG0000546	AN2496	YMR212C
547	OG0000547	AN3827	YGR103W
548	OG0000548	AN4561	YOR281C
549	OG0000549	AN5122	YDR226W
550	OG0000550	AN12233	YPL046C
551	OG0000551	AN4584	YDL219W
552	OG0000552	AN8213	YJR057W
553	OG0000553	AN1984	YLR399C
554	OG0000554	AN4814	YBR187W
555	OG0000555	AN4594	YHL015W
556	OG0000556	AN5726	YNL027W
557	OG0000557	AN3834	YAL011W
558	OG0000558	AN0944	YGL171W
559	OG0000559	AN8742	YOL034W
560	OG0000560	AN7286	YMR034C
561	OG0000561	AN2080	YDR172W
562	OG0000562	AN7566	YGR276C
563	OG0000563	AN9168	YDR536W
564	OG0000564	AN2689	YPL020C
565	OG0000565	AN4788	YDR088C
566	OG0000566	AN1770	YHR147C
567	OG0000567	AN5203	YMR158W
568	OG0000568	AN4477	YKL146W
569	OG0000569	AN3761	YNL023C
570	OG0000570	AN4240	YLR025W
571	OG0000571	AN6491	YLR051C
572	OG0000572	AN11054	YBR229C
573	OG0000573	AN2068	YJL080C
574	OG0000574	AN11045	YDL178W
575	OG0000575	AN0719	YDR392W
576	OG0000576	AN3947	YKL114C
577	OG0000577	AN6145	YJR017C
578	OG0000578	AN5529	YNL161W
579	OG0000579	AN3176	YFL002C
580	OG0000580	AN4770	YPR167C
581	OG0000581	AN8825	YJL168C
582	OG0000582	AN1683	YMR149W
583	OG0000583	AN9504	YAR018C
584	OG0000584	AN10315	YLR289W
585	OG0000585	AN10336	YFR027W
586	OG0000586	AN3729	YGR032W
587	OG0000587	AN5155	YLR316C
588	OG0000588	AN0836	YML086C
589	OG0000589	AN7041	YGR014W
590	OG0000590	AN0872	YLR103C
591	OG0000591	AN1913	YDR037W
592	OG0000592	AN6728	YDR076W
593	OG0000593	AN3649	YEL050C
594	OG0000594	AN2332	YLL041C
595	OG0000595	AN9063	YAR042W
596	OG0000596	AN7697	YLR006C
597	OG0000597	AN0953	YGR163W
598	OG0000598	AN5915	YCL001W
599	OG0000599	AN1348	YJL063C
600	OG0000600	AN0653	YPL199C
601	OG0000601	AN7028	YOR074C
602	OG0000602	AN0252	YBR039W
603	OG0000603	AN6913	YDL122W
604	OG0000604	AN1635	YML046W
605	OG0000605	AN7348	YPR117W
606	OG0000606	AN11568	YML009C
607	OG0000607	AN4472	YDR359C
608	OG0000608	AN3462	YGL143C
609	OG0000609	AN1354	YIL091C
610	OG0000610	AN11231	YJR117W
611	OG0000611	AN2733	YDR047W
612	OG0000612	AN2053	YAL022C
613	OG0000613	AN2925	YNL329C
614	OG0000614	AN4793	YDR158W
615	OG0000615	AN1290	YJL094C
616	OG0000616	AN4415	YKL087C
617	OG0000617	AN9397	YFL031W
618	OG0000618	AN10434	YHR154W
619	OG0000619	AN0110	YEL051W
620	OG0000620	AN6895	YML061C
621	OG0000621	AN7182	YGL247W
622	OG0000622	AN8783	YGR098C
623	OG0000623	AN5904	YGR037C
624	OG0000624	AN10173	YDR496C
625	OG0000625	AN10574	YMR268C
626	OG0000626	AN5931	YNL112W
627	OG0000627	AN2077	YGR145W
628	OG0000628	AN4426	YNL032W
629	OG0000629	AN4458	YFR005C
630	OG0000630	AN4683	YEL002C
631	OG0000631	AN10515	YNL020C
632	OG0000632	AN4270	YIR006C
633	OG0000633	AN0247	YNL132W
634	OG0000634	AN0889	YHR168W
635	OG0000635	AN4328	YBR132C
636	OG0000636	AN3890	YER162C
637	OG0000637	AN3735	YKL092C
638	OG0000638	AN0984	YOR243C
639	OG0000639	AN3468	YDR225W
640	OG0000640	AN8201	YIL143C
641	OG0000641	AN1523	YBL099W
642	OG0000642	AN10283	YPR048W
643	OG0000643	AN0842	YOR093C
644	OG0000644	AN1976	YPR023C
645	OG0000645	AN4775	YDL147W
646	OG0000646	AN8881	YOR130C
647	OG0000647	AN8013	YHR166C
648	OG0000648	AN0065	YKL018W
649	OG0000649	AN3423	YGR116W
650	OG0000650	AN10304	YPL083C
651	OG0000651	AN3449	YFL044C
652	OG0000652	AN6216	YOR079C
653	OG0000653	AN7600	YJR137C
654	OG0000654	AN3666	YDR013W
655	OG0000655	AN6865	YDR361C
656	OG0000656	AN3677	YML096W
657	OG0000657	AN6556	YFR001W
658	OG0000658	AN2229	YNL277W
659	OG0000659	AN5451	YMR276W
660	OG0000660	AN7146	YML008C
661	OG0000661	AN4402	YNL055C
662	OG0000662	AN10444	YLR299W
663	OG0000663	AN3154	YDL056W
664	OG0000664	AN10348	YLR059C
665	OG0000665	AN5662	YIL078W
666	OG0000666	AN0797	YCL030C
667	OG0000667	AN10472	YPL214C
668	OG0000668	AN2433	YJR093C
669	OG0000669	AN8794	YLR312W-A
670	OG0000670	AN8864	YOR291W
671	OG0000671	AN0688	YPR074C
672	OG0000672	AN3013	YIR007W
673	OG0000673	AN10535	YOL023W
674	OG0000674	AN6032	YNL256W
675	OG0000675	AN1385	YDR267C
676	OG0000676	AN8698	YKL013C
677	OG0000677	AN4959	YIL150C
678	OG0000678	AN7017	YBL036C
679	OG0000679	AN2738	YAL042W
680	OG0000680	AN10546	YGL019W
681	OG0000681	AN5960	YCR031C
682	OG0000682	AN2295	YOR142W
683	OG0000683	AN6283	YIL103W
684	OG0000684	AN3375	YIR004W
685	OG0000685	AN4434	YIL093C
686	OG0000686	AN4036	YFL027C
687	OG0000687	AN1154	YGL200C
688	OG0000688	AN5528	YMR301C
689	OG0000689	AN0204	YKR024C
690	OG0000690	AN1970	YMR193W
691	OG0000691	AN2917	YKL145W
692	OG0000692	AN7296	YMR076C
693	OG0000693	AN4293	YKR082W
694	OG0000694	AN10855	YBL035C
695	OG0000695	AN10942	YMR092C
696	OG0000696	AN1494	YCR042C
697	OG0000697	AN6176	YOR265W
698	OG0000698	AN3095	YKL189W
699	OG0000699	AN5819	YKL154W
700	OG0000700	AN8268	YNR051C
701	OG0000701	AN1467	YHR076W
702	OG0000702	AN11164	YGL227W
703	OG0000703	AN4730	YNR036C
704	OG0000704	AN4463	YGL206C
705	OG0000705	AN6844	YDR036C
706	OG0000706	AN7435	YML021C
707	OG0000707	AN6675	YPR031W
708	OG0000708	AN0862	YNL153C
709	OG0000709	AN0354	YDR035W
710	OG0000710	AN7731	YGL016W
711	OG0000711	AN1021	YDL133W
712	OG0000712	AN10970	YJR063W
713	OG0000713	AN2997	YMR146C
714	OG0000714	AN5934	YAL020C
715	OG0000715	AN9065	YLR203C
716	OG0000716	AN10753	YDR408C
717	OG0000717	AN5568	YLR352W
718	OG0000718	AN1413	YDR301W
719	OG0000719	AN1500	YGR044C
720	OG0000720	AN8002	YKL022C
721	OG0000721	AN10396	YHR190W
722	OG0000722	AN1082	YEL042W
723	OG0000723	AN5195	YGL054C
724	OG0000724	AN0979	YNL233W
725	OG0000725	AN1357	YGR202C
726	OG0000726	AN6549	YHR058C
727	OG0000727	AN0893	YNL220W
728	OG0000728	AN1750	YBR142W
729	OG0000729	AN8676	YMR043W
730	OG0000730	AN5100	YCR094W
731	OG0000731	AN2007	YLR147C
732	OG0000732	AN6366	YIL043C
733	OG0000733	AN10436	YBL093C
734	OG0000734	AN2902	YMR277W
735	OG0000735	AN9437	YMR247C
736	OG0000736	AN1092	YNL191W
737	OG0000737	AN1328	YHR013C
738	OG0000738	AN1688	YBR053C
739	OG0000739	AN11631	YCR046C
740	OG0000740	AN2909	YDL100C
741	OG0000741	AN0910	YNL169C
742	OG0000742	AN0038	YBL088C
743	OG0000743	AN2988	YER163C
744	OG0000744	AN4042	YMR015C
745	OG0000745	AN3779	YHR201C
746	OG0000746	AN1215	YER006W
747	OG0000747	AN4639	YHR186C
748	OG0000748	AN5110	YPL222W
749	OG0000749	AN3450	YDL017W
750	OG0000750	AN5164	YNL137C
751	OG0000751	AN11803	YNL129W
752	OG0000752	AN11278	YCL057C-A
753	OG0000753	AN7044	YFR025C
754	OG0000754	AN20017	Q0130
755	OG0000755	AN1850	YKR087C
756	OG0000756	AN1455	YGL022W
757	OG0000757	AN1038	YMR218C
758	OG0000758	AN5997	YOL040C
759	OG0000759	AN12316	YPR062W
760	OG0000760	AN8707	YPL262W
761	OG0000761	AN5873	YHR172W
762	OG0000762	AN8233	YJL145W
763	OG0000763	AN6711	YKL181W
764	OG0000764	AN5179	YKL191W
765	OG0000765	AN10362	YJL140W
766	OG0000766	AN3624	YDR270W
767	OG0000767	AN5491	YNL242W
768	OG0000768	AN6138	YBL084C
769	OG0000769	AN6067	YPR041W
770	OG0000770	AN4101	YPR201W
771	OG0000771	AN0271	YBR252W
772	OG0000772	AN8859	YER052C
773	OG0000773	AN20009	Q0080
774	OG0000774	AN1150	YOL140W
775	OG0000775	AN6220	YMR155W
776	OG0000776	AN0717	YIL116W
777	OG0000777	AN4919	YIL062C
778	OG0000778	AN4071	YIL049W
779	OG0000779	AN6199	YJL124C
780	OG0000780	AN6580	YDL142C
781	OG0000781	AN2936	YGL156W
782	OG0000782	AN3061	YPR173C
783	OG0000783	AN4724	YDR164C
784	OG0000784	AN11722	YJR102C
785	OG0000785	AN0278	YFR032C-A
786	OG0000786	AN2635, AN5227	
787	OG0000787	AN6569	YKR038C
788	OG0000788	AN4889	YGL232W
789	OG0000789	AN3088	YEL027W
790	OG0000790	AN4974	YDR316W
791	OG0000791	AN12403	YDL117W
792	OG0000792	AN2222	YDL226C
793	OG0000793	AN11081	YGL001C
794	OG0000794	AN4342	YGL020C
795	OG0000795	AN10551	YLR384C
796	OG0000796	AN0130	YML005W
797	OG0000797	AN2949	YBR268W
798	OG0000798	AN1225	YDR121W
799	OG0000799	AN6901	YAL010C
800	OG0000800	AN7250	YLR138W
801	OG0000801	AN3173	YDR337W
802	OG0000802	AN1778	YBR176W
803	OG0000803	AN7140	YGL196W
804	OG0000804	AN8253	YOR056C
805	OG0000805	AN2480	YLR309C
806	OG0000806	AN6533	YDR407C
807	OG0000807	AN0726	YMR244W
808	OG0000808	AN0576	YBR097W
809	OG0000809	AN11691	YJL096W
810	OG0000810	AN3411	YOL139C
811	OG0000811	AN4219	YDR045C
812	OG0000812	AN0135	YOR035C
813	OG0000813	AN7572	YFL033C
814	OG0000814	AN3110	YDR490C
815	OG0000815	AN2002	YDL090C
816	OG0000816	AN8203	YHR074W
817	OG0000817	AN2049	YDR289C
818	OG0000818	AN10140	YJL042W
819	OG0000819	AN10567	YOL102C
820	OG0000820	AN6892	YDL006W
821	OG0000821	AN6544	YOL129W
822	OG0000822	AN1546	YOL004W
823	OG0000823	AN3933	YPR010C
824	OG0000824	AN4388	YDR529C
825	OG0000825	AN1442	YBR171W
826	OG0000826	AN0912	YCL018W
827	OG0000827	AN0930	YBR287W
828	OG0000828	AN3688	YHR206W
829	OG0000829	AN4678	YDR419W
830	OG0000830	AN2484	YOR122C
831	OG0000831	AN5953	YPR067W
832	OG0000832	AN10610	YGL153W
833	OG0000833	AN7741	YOL062C
834	OG0000834	AN3641	YDR248C
835	OG0000835	AN6231	YGL026C
836	OG0000836	AN6250	YGL017W
837	OG0000837	AN2298	YPR180W
838	OG0000838	AN5124	YDR228C
839	OG0000839	AN7425	YBL020W
840	OG0000840	AN4553	YPR098C
841	OG0000841	AN8225	YDR116C
842	OG0000842	AN10634	YMR302C
843	OG0000843	AN0078	YMR100W
844	OG0000844	AN5705	YDR372C
845	OG0000845	AN6087	YGR257C
846	OG0000846	AN6111	YDR280W
847	OG0000847	AN3466	YDR148C
848	OG0000848	AN6933	YKL029C
849	OG0000849	AN10829	YNL063W
850	OG0000850	AN6329	YLR087C
851	OG0000851	AN10077	YLR019W
852	OG0000852	AN4493	YNL330C
853	OG0000853	AN0728	YNL124W
854	OG0000854	AN6290	YNL213C
855	OG0000855	AN0258	YGL085W
856	OG0000856	AN6514	YGL246C
857	OG0000857	AN0281	YMR055C
858	OG0000858	AN2164	YGL241W
859	OG0000859	AN5008	YMR244C-A
860	OG0000860	AN1013	YPL131W
861	OG0000861	AN4903	YHR169W
862	OG0000862	AN6289	YDR137W
863	OG0000863	AN0349	YBR227C
864	OG0000864	AN5786	YHR194W
865	OG0000865	AN1282	YOR007C
866	OG0000866	AN11755	YPL011C
867	OG0000867	AN3758	YNL315C
868	OG0000868	AN4613	YKL155C
869	OG0000869	AN8862	YOR326W
870	OG0000870	AN6867	YKR036C
871	OG0000871	AN2521	YCL008C
872	OG0000872	AN7695	YDR477W
873	OG0000873	AN5774	YHL030W
874	OG0000874	AN1201	YER087W
875	OG0000875	AN6921	YKL117W
876	OG0000876	AN6108	YOR236W
877	OG0000877	AN5601	YNR050C
878	OG0000878	AN3695	YER090W
879	OG0000879	AN1632	YGL180W
880	OG0000880	AN1796	YDR182W
881	OG0000881	AN0156	YDR173C
882	OG0000882	AN3594	YOR069W
883	OG0000883	AN7353	YMR315W
884	OG0000884	AN0432	YKL150W
885	OG0000885	AN7729	YDR135C
886	OG0000886	AN1362	YOR042W
887	OG0000887	AN0647	YNL075W
888	OG0000888	AN10377	YOR161C
889	OG0000889	AN10466	YJR080C
890	OG0000890	AN3747	YPR176C
891	OG0000891	AN0643	YML105C
892	OG0000892	AN6996	YPL109C
893	OG0000893	AN2142	YNL189W
894	OG0000894	AN2235	YNL151C
895	OG0000895	AN0634	YPL051W
896	OG0000896	AN0703	YJR033C
897	OG0000897	AN9407	YPL231W
898	OG0000898	AN5713	YJL111W
899	OG0000899	AN4714	YKL027W
900	OG0000900	AN3692	YOL107W
901	OG0000901	AN0297	YDR032C
902	OG0000902	AN4862	YMR235C
903	OG0000903	AN2185	YJL208C
904	OG0000904	AN0167	YKR026C
905	OG0000905	AN1055	YPR129W
906	OG0000906	AN0814	YGL116W
907	OG0000907	AN2150	YHR020W
908	OG0000908	AN6611	YNL127W
909	OG0000909	AN4736	YBL019W
910	OG0000910	AN3033	YIR008C
911	OG0000911	AN1168	YGR217W
912	OG0000912	AN12407	YGR215W
913	OG0000913	AN2927	YDL028C
914	OG0000914	AN6630	YHR193C
915	OG0000915	AN3156	YJR007W
916	OG0000916	AN4182	YBR160W
917	OG0000917	AN1480	YIR032C
918	OG0000918	AN2149	YDR212W
919	OG0000919	AN6359	YIL046W
920	OG0000920	AN0998	YCR019W
921	OG0000921	AN10112	YML103C
922	OG0000922	AN8038	YBL051C
923	OG0000923	AN6606	YGL027C
924	OG0000924	AN8055	YDL167C
925	OG0000925	AN9151	YMR287C
926	OG0000926	AN10526	YBR034C
927	OG0000927	AN10061	YJL204C
928	OG0000928	AN8491	YPL211W
929	OG0000929	AN5813	YPL215W
930	OG0000930	AN4238	YHR205W
931	OG0000931	AN0997	YMR024W
932	OG0000932	AN0887	YBR208C
933	OG0000933	AN10175	YER007C-A
934	OG0000934	AN11843	YDR286C
935	OG0000935	AN6547	YMR314W
936	OG0000936	AN1237	YER095W
937	OG0000937	AN7260	YLR002C
938	OG0000938	AN7750	YNL201C
939	OG0000939	AN4278	YLR305C
940	OG0000940	AN0088	YML018C
941	OG0000941	AN11961	YDR079C-A
942	OG0000942	AN8883	YJR014W
943	OG0000943	AN6903	YIL061C
944	OG0000944	AN0855	YBR073W
945	OG0000945	AN5857	YNL054W
946	OG0000946	AN1908	YCR054C
947	OG0000947	AN5340	YER127W
948	OG0000948	AN8015	YDL030W
949	OG0000949	AN6528	YMR274C
950	OG0000950	AN12122	YBR201W
951	OG0000951	AN8275	YNR001C
952	OG0000952	AN0127	YFR021W
953	OG0000953	AN6594	YLR215C
954	OG0000954	AN4685	YGR152C
955	OG0000955	AN4739	YAR015W
956	OG0000956	AN10108	YKL070W
957	OG0000957	AN6165	YPL212C
958	OG0000958	AN4323	YJR148W
959	OG0000959	AN2415	YPR110C
960	OG0000960	AN8192	YIL031W
961	OG0000961	AN4548	YDR306C
962	OG0000962	AN6558	YNL113W
963	OG0000963	AN10556	YDL190C
964	OG0000964	AN1226	YDR191W
965	OG0000965	AN3447	YPL054W
966	OG0000966	AN8867	YDR023W
967	OG0000967	AN12305	YCL034W
968	OG0000968	AN4581	YLR336C
969	OG0000969	AN6714	YNL313C
970	OG0000970	AN4239	YMR091C
971	OG0000971	AN10056	YLR241W
972	OG0000972	AN11684	YPL072W
973	OG0000973	AN5760	YGL155W
974	OG0000974	AN2066	YHL002W
975	OG0000975	AN6507	YMR125W
976	OG0000976	AN7588	YJL121C
977	OG0000977	AN11175	YER058W
978	OG0000978	AN4428	YEL064C
979	OG0000979	AN2272	YJR105W
980	OG0000980	AN4781	YLR239C
981	OG0000981	AN0305	YLR129W
982	OG0000982	AN8604	YIR042C
983	OG0000983	AN0946	YOR206W
984	OG0000984	AN6726	YML092C
985	OG0000985	AN6578	YEL007W
986	OG0000986	AN4272	YBR114W
987	OG0000987	AN7995	YCR036W
988	OG0000988	AN3865	YGR171C
989	OG0000989	AN10769	YPL009C
990	OG0000990	AN5889	YGL100W
991	OG0000991	AN0834	YOR254C
992	OG0000992	AN3710	YGR113W
993	OG0000993	AN8844	YOL133W
994	OG0000994	AN11001	YNL200C
995	OG0000995	AN7479	YHR019C
996	OG0000996	AN11066	YGR280C
997	OG0000997	AN5129	YAL005C
998	OG0000998	AN5403	YBR156C
999	OG0000999	AN0471	YDL128W
1000	OG0001000	AN4470	YER025W
1001	OG0001001	AN5494	YBR274W
1002	OG0001002	AN6279	YML042W
1003	OG0001003	AN2240	YCL052C
1004	OG0001004	AN7502	YNR012W
1005	OG0001005	AN1281	YIL022W
1006	OG0001006	AN1810	YLR438W
1007	OG0001007	AN0126	YMR167W
1008	OG0001008	AN0141	YKR056W
1009	OG0001009	AN8681	YKL100C
1010	OG0001010	AN12059	YJL035C
1011	OG0001011	AN3819	YDR162C
1012	OG0001012	AN9360	YOR077W
1013	OG0001013	AN3812	YGR195W
1014	OG0001014	AN10222	YMR099C
1015	OG0001015	AN2906	YCR071C
1016	OG0001016	AN9124	YOR027W
1017	OG0001017	AN10780	YNL128W
1018	OG0001018	AN9358	YDR397C
1019	OG0001019	AN6489	YDR041W
1020	OG0001020	AN5871	YDR083W
1021	OG0001021	AN0143	YBR233W-A
1022	OG0001022	AN8076	YCR033W
1023	OG0001023	AN1334	YER072W
1024	OG0001024	AN4461	YOR148C
1025	OG0001025	AN2511	YJL030W
1026	OG0001026	AN2916	YKL148C
1027	OG0001027	AN7305	YNR054C
1028	OG0001028	AN8870	YLR441C
1029	OG0001029	AN5810	YFR006W
1030	OG0001030	AN7733	YJR062C
1031	OG0001031	AN6040	YGR203W
1032	OG0001032	AN4864	YOR002W
1033	OG0001033	AN10477	YPL183W-A
1034	OG0001034	AN2770	YBR215W
1035	OG0001035	AN8029	YKR050W
1036	OG0001036	AN5536	YJR072C
1037	OG0001037	AN3621	YGR252W
1038	OG0001038	AN2311	YMR220W
1039	OG0001039	AN1761	YEL012W
1040	OG0001040	AN0753	YOR198C
1041	OG0001041	AN11747	YGL066W
1042	OG0001042	AN5566	YMR217W
1043	OG0001043	AN3797	YJL092W
1044	OG0001044	AN1359	YIL140W
1045	OG0001045	AN5820	YGR155W
1046	OG0001046	AN0932	YPL091W
1047	OG0001047	AN5999	YJR109C
1048	OG0001048	AN1752	YFR030W
1049	OG0001049	AN7010	YHR029C
1050	OG0001050	AN5892	YPR162C
1051	OG0001051	AN11010	YGR100W
1052	OG0001052	AN3634	YDR354W
1053	OG0001053	AN1710	YPL104W
1054	OG0001054	AN1376	YJR073C
1055	OG0001055	AN10537	YDR374C
1056	OG0001056	AN4721	YER013W
1057	OG0001057	AN10181	YOR023C
1058	OG0001058	AN1469	YGL018C
1059	OG0001059	AN5899	YFR031C
1060	OG0001060	AN11406	YHR143W-A
1061	OG0001061	AN1163	YDR258C
1062	OG0001062	AN0081	YOR212W
1063	OG0001063	AN7491	YJR099W
1064	OG0001064	AN1534	YPL078C
1065	OG0001065	AN8820	YLR433C
1066	OG0001066	AN3427	YNL175C
1067	OG0001067	AN4360	YDR254W
1068	OG0001068	AN8040	YBR106W
1069	OG0001069	AN4038	YAL035W
1070	OG0001070	AN1706	YFR018C
1071	OG0001071	AN0686	YGR132C
1072	OG0001072	AN6363	YOR119C
1073	OG0001073	AN10417	YDL160C
1074	OG0001074	AN2992	YPL237W
1075	OG0001075	AN6073	YGR231C
1076	OG0001076	AN1065	YPR133C
1077	OG0001077	AN0294	YNL115C
1078	OG0001078	AN2321	YAL067C
1079	OG0001079	AN0670	YBL033C
1080	OG0001080	AN10558	YDR006C
1081	OG0001081	AN3626	YOR128C
1082	OG0001082	AN10901	YMR189W
1083	OG0001083	AN0677	YOR052C
1084	OG0001084	AN5883	YGL125W
1085	OG0001085	AN12473	YNL209W
1086	OG0001086	AN1382	YIL090W
1087	OG0001087	AN11444	YML081C-A
1088	OG0001088	AN1446	YAL012W
1089	OG0001089	AN2766	YDR208W
1090	OG0001090	AN9060	YNL227C
1091	OG0001091	AN8696	YGL050W
1092	OG0001092	AN8281	YFL010C
1093	OG0001093	AN4923	YML126C
1094	OG0001094	AN2105	YGR074W
1095	OG0001095	AN11303	YDR322C-A
1096	OG0001096	AN20010	Q0085
1097	OG0001097	AN1811	YGL142C
1098	OG0001098	AN5116	YCL029C
1099	OG0001099	AN8273	YPR191W
1100	OG0001100	AN6587	YLL013C
1101	OG0001101	AN4726	YNL181W
1102	OG0001102	AN2079	YLR435W
1103	OG0001103	AN6178	YNL230C
1104	OG0001104	AN7311	YDR108W
1105	OG0001105	AN8796	YML121W
1106	OG0001106	AN10247	YER140W
1107	OG0001107	AN0906	YLR347C
1108	OG0001108	AN6880	YDR017C
1109	OG0001109	AN10194	YER172C
1110	OG0001110	AN5443	YLR022C
1111	OG0001111	AN0808	YAR003W
1112	OG0001112	AN1969	YJL183W
1113	OG0001113	AN4550	YLL018C
1114	OG0001114	AN20003	Q0060
1115	OG0001115	AN12045	YGL070C
1116	OG0001116	AN6171	YHR148W
1117	OG0001117	AN2735	YDR165W
1118	OG0001118	AN7290	YPR094W
1119	OG0001119	AN6345	YPR139C
1120	OG0001120	AN1266	YBR237W
1121	OG0001121	AN4887	YJL095W
1122	OG0001122	AN1945	YOR131C
1123	OG0001123	AN10832	YGR200C
1124	OG0001124	AN0158	YBR046C
1125	OG0001125	AN0632	YGR006W
1126	OG0001126	AN2269	YLR362W
1127	OG0001127	AN0117	YDR346C
1128	OG0001128	AN0210	YER005W
1129	OG0001129	AN10708	YFR050C
1130	OG0001130	AN4880	YIL108W
1131	OG0001131	AN0810	YLR207W
1132	OG0001132	AN11070	YKL103C
1133	OG0001133	AN4207	YPR029C
1134	OG0001134	AN6150	YJR092W
1135	OG0001135	AN8866	YER081W
1136	OG0001136	AN0182	YNL098C
1137	OG0001137	AN8259	YHL022C
1138	OG0001138	AN5790	YNL037C
1139	OG0001139	AN1325	YGR178C
1140	OG0001140	AN11060	YIL003W
1141	OG0001141	AN10010	YNL118C
1142	OG0001142	AN1695	YPL247C
1143	OG0001143	AN5959	YBR166C
1144	OG0001144	AN5731	YGL148W
1145	OG0001145	AN0134	YBR133C
1146	OG0001146	AN4665	YIR005W
1147	OG0001147	AN7469	YDR236C
1148	OG0001148	AN8248	YDR470C
1149	OG0001149	AN8853	YBR143C
1150	OG0001150	AN1094	YMR145C
1151	OG0001151	AN0421	YPR112C
1152	OG0001152	AN0093	YML020W
1153	OG0001153	AN5901	YJL072C
1154	OG0001154	AN1479	YHR120W
1155	OG0001155	AN2261	YCL004W
1156	OG0001156	AN1391	YBL014C
1157	OG0001157	AN4000	YER165W
1158	OG0001158	AN1732	YOR348C
1159	OG0001159	AN4939	YPL170W
1160	OG0001160	AN3451	YLR272C
1161	OG0001161	AN2051	YDR168W
1162	OG0001162	AN4377	YGL151W
1163	OG0001163	AN10253	YHR191C
1164	OG0001164	AN20019	Q0250
1165	OG0001165	AN2516	YDR388W
1166	OG0001166	AN10757	YDR291W
1167	OG0001167	AN0720	YLR172C
1168	OG0001168	AN12204	YDR217C
1169	OG0001169	AN4748	YDL213C
1170	OG0001170	AN7447	YBR055C
1171	OG0001171	AN8850	YIL097W
1172	OG0001172	AN10415	YLR383W
1173	OG0001173	AN4062	YDR169C
1174	OG0001174	AN6080	YPL010W
1175	OG0001175	AN11153	YLR004C
1176	OG0001176	AN1084	YOR187W
1177	OG0001177	AN1365	YMR077C
1178	OG0001178	AN2934	YHR175W
1179	OG0001179	AN10956	YOR244W
1180	OG0001180	AN3955	YHR121W
1181	OG0001181	AN4024	YJL123C
1182	OG0001182	AN10161	YKL003C
1183	OG0001183	AN4741	YCR081W
1184	OG0001184	AN8183	YCR057C
1185	OG0001185	AN3923	YGR184C
1186	OG0001186	AN10129	YPL065W
1187	OG0001187	AN2005	YDL235C
1188	OG0001188	AN2224	YOR132W
1189	OG0001189	AN8843	YHR025W
1190	OG0001190	AN8869	YHR128W
1191	OG0001191	AN7032	YBR038W
1192	OG0001192	AN4734	YPR065W
1193	OG0001193	AN8021	YDL185W
1194	OG0001194	AN11250	YNL232W
1195	OG0001195	AN10763	YDR448W
1196	OG0001196	AN3134	YJL014W
1197	OG0001197	AN8702	YDR092W
1198	OG0001198	AN7289	YGR080W
1199	OG0001199	AN1495	YFL017W-A
1200	OG0001200	AN11853	YNL082W
1201	OG0001201	AN5682	YDR414C
1202	OG0001202	AN5991	YKL197C
1203	OG0001203	AN2243	YOR303W
1204	OG0001204	AN4454	YHR116W
1205	OG0001205	AN10394	YDL008W
1206	OG0001206	AN6628	YNL263C
1207	OG0001207	AN1743	YML110C
1208	OG0001208	AN10111	YPL152W
1209	OG0001209	AN6118	YPL265W
1210	OG0001210	AN0829	YGL248W
1211	OG0001211	AN6687	YML069W
1212	OG0001212	AN0844	YGR245C
1213	OG0001213	AN5578	YLR424W
1214	OG0001214	AN4411	YIR011C
1215	OG0001215	AN5626	YLR153C
1216	OG0001216	AN6248	YOR232W
1217	OG0001217	AN8039	YOL012C
1218	OG0001218	AN0705	YBL076C
