	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034594_Starmera_quercuum
168	OG0000168	YBR048W, YDR025W	maker-flattened_line_0-snap-gene-5.3-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.3&CDS=1-465
169	OG0000169	YBR054W, YDR033W	snap_masked-flattened_line_95-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.14&CDS=1-942
170	OG0000170	YBR067C, YIL011W	snap_masked-flattened_line_95-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.30&CDS=1-558
171	OG0000171	YBR078W, YDR055W	snap_masked-flattened_line_37-processed-gene-0.223-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.223&CDS=1-1266
172	OG0000172	YBR084W	snap_masked-flattened_line_2-processed-gene-1.44-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.44&CDS=1-2856, snap_masked-flattened_line_87-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.88&CDS=1-2817
173	OG0000173	YBR089C-A, YPR052C	snap_masked-flattened_line_29-processed-gene-1.4-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.4&CDS=1-270
174	OG0000174	YBR104W, YPR058W	snap_masked-flattened_line_23-processed-gene-1.240-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.240&CDS=1-903
175	OG0000175	YBR118W, YPR080W	genemark-flattened_line_251-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_251-processed-gene-0.2&CDS=1-756
176	OG0000176	YBR132C	snap_masked-flattened_line_10-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.49&CDS=1-1818, snap_masked-flattened_line_67-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.14&CDS=1-1776
177	OG0000177	YBR140C, YOL081W	snap_masked-flattened_line_61-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.128&CDS=1-8076
178	OG0000178	YBR147W, YOL092W	maker-flattened_line_49-snap-gene-0.213-mRNA-1_1&gene=maker-flattened_line_49-snap-gene-0.213&CDS=1-915
179	OG0000179	YBR169C, YPL106C	snap_masked-flattened_line_17-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.25&CDS=1-2073
180	OG0000180	YBR172C, YPL105C	genemark-flattened_line_17-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_17-processed-gene-0.112&CDS=1-2520
181	OG0000181	YBR183W, YPL087W	snap_masked-flattened_line_27-processed-gene-1.194-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.194&CDS=1-846
182	OG0000182	YBR189W, YPL081W	snap_masked-flattened_line_8-processed-gene-2.133-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.133&CDS=1-609
183	OG0000183	YBR191W, YPL079W	snap_masked-flattened_line_53-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.3&CDS=1-480
184	OG0000184	YBR197C, YPL077C	augustus_masked-flattened_line_8-processed-gene-3.210-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.210&CDS=1-639
185	OG0000185	YBR214W, YGL056C	snap_masked-flattened_line_51-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.139&CDS=1-1443
186	OG0000186	YBR216C, YGL060W	snap_masked-flattened_line_25-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.119&CDS=1-2043
187	OG0000187	YBR238C, YGL107C	snap_masked-flattened_line_47-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.94&CDS=1-1740
188	OG0000188	YBR239C	snap_masked-flattened_line_10-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.54&CDS=1-1482, snap_masked-flattened_line_10-processed-gene-3.53-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.53&CDS=1-1482
189	OG0000189	YBR241C	snap_masked-flattened_line_10-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.74&CDS=1-1452, snap_masked-flattened_line_10-processed-gene-3.14-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.14&CDS=1-1452
190	OG0000190	YBR243C	snap_masked-flattened_line_10-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.53&CDS=1-1377, snap_masked-flattened_line_10-processed-gene-3.54-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.54&CDS=1-1377
191	OG0000191	YBR246W	genemark-flattened_line_10-processed-gene-1.115-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.115&CDS=1-1101, genemark-flattened_line_10-processed-gene-3.212-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.212&CDS=1-1101
192	OG0000192	YBR294W, YLR092W	snap_masked-flattened_line_11-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.124&CDS=1-2385
193	OG0000193	YCL011C, YNL004W	augustus_masked-flattened_line_99-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_99-processed-gene-0.23&CDS=1-2283
194	OG0000194	YCL035C, YDR513W	augustus_masked-flattened_line_73-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.30&CDS=1-378
195	OG0000195	YCL036W, YDR514C	snap_masked-flattened_line_59-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.91&CDS=1-1242
196	OG0000196	YCL040W, YDR516C	snap_masked-flattened_line_59-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.88&CDS=1-1443
197	OG0000197	YCL048W, YDR522C	snap_masked-flattened_line_29-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.46&CDS=1-1347
198	OG0000198	YCL050C, YDR530C	snap_masked-flattened_line_29-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.54&CDS=1-969
199	OG0000199	YCL064C, YIL167W	snap_masked-flattened_line_29-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.66&CDS=1-990
200	OG0000200	YCL068C, YCR038C	snap_masked-flattened_line_2-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.70&CDS=1-4035
201	OG0000201	YCR010C, YNR002C	snap_masked-flattened_line_11-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-0.84&CDS=1-846
202	OG0000202	YCR026C, YEL016C	snap_masked-flattened_line_51-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.109&CDS=1-2328
203	OG0000203	YCR028C	augustus_masked-flattened_line_13-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-1.119&CDS=1-1413, snap_masked-flattened_line_55-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.143&CDS=1-1530
204	OG0000204	YCR031C, YJL191W	snap_masked-flattened_line_0-processed-gene-7.158-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.158&CDS=1-429
205	OG0000205	YCR037C, YJL198W	snap_masked-flattened_line_21-processed-gene-1.205-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.205&CDS=1-2802
206	OG0000206	YCR073C, YNR031C	snap_masked-flattened_line_2-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.30&CDS=1-3840
207	OG0000207	YCR073W-A, YNR034W	snap_masked-flattened_line_51-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.84&CDS=1-843
208	OG0000208	YCR105W, YMR318C	snap_masked-flattened_line_85-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.56&CDS=1-1146
209	OG0000209	YDL042C, YOL068C	snap_masked-flattened_line_15-processed-gene-2.231-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.231&CDS=1-1698
210	OG0000210	YDL048C, YLR375W	genemark-flattened_line_29-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.134&CDS=1-1029
211	OG0000211	YDL056W	maker-flattened_line_8-snap-gene-2.3-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.3&CDS=1-2064, snap_masked-flattened_line_117-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.27&CDS=1-2211
212	OG0000212	YDL075W, YLR406C	maker-flattened_line_4-snap-gene-3.4-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.4&CDS=1-354
213	OG0000213	YDL082W, YMR142C	snap_masked-flattened_line_2-processed-gene-5.14-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.14&CDS=1-597
214	OG0000214	YDL083C, YMR143W	snap_masked-flattened_line_2-processed-gene-5.12-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.12&CDS=1-435
215	OG0000215	YDL109C, YGL144C	maker-flattened_line_0-snap-gene-5.6-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.6&CDS=1-3330
216	OG0000216	YDL136W, YDL191W	augustus_masked-flattened_line_19-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.171&CDS=1-360
217	OG0000217	YDL137W, YDL192W	genemark-flattened_line_19-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.74&CDS=1-543
218	OG0000218	YDL138W	snap_masked-flattened_line_11-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-2.88&CDS=1-1647, snap_masked-flattened_line_19-processed-gene-1.224-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.224&CDS=1-2157
219	OG0000219	YDL174C	snap_masked-flattened_line_2-processed-gene-2.38-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.38&CDS=1-1710, snap_masked-flattened_line_71-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.99&CDS=1-1710
220	OG0000220	YDL204W, YDR233C	snap_masked-flattened_line_0-processed-gene-8.10-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.10&CDS=1-1044
221	OG0000221	YDL206W	maker-flattened_line_0-snap-gene-7.5-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-7.5&CDS=1-1629, snap_masked-flattened_line_0-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.50&CDS=1-2223
222	OG0000222	YDL224C, YNL197C	snap_masked-flattened_line_25-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.144&CDS=1-1758
223	OG0000223	YDL229W, YNL209W	maker-flattened_line_25-augustus-gene-0.108-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-0.108&CDS=1-2640
224	OG0000224	YDL237W	augustus_masked-flattened_line_37-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.98&CDS=1-1071, snap_masked-flattened_line_25-processed-gene-1.146-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.146&CDS=1-918
225	OG0000225	YDL246C, YJR159W	snap_masked-flattened_line_6-processed-gene-1.126-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.126&CDS=1-1065
226	OG0000226	YDR062W	snap_masked-flattened_line_10-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.71&CDS=1-1701, snap_masked-flattened_line_10-processed-gene-3.17-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.17&CDS=1-1701
227	OG0000227	YDR098C, YER174C	snap_masked-flattened_line_49-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.94&CDS=1-777
228	OG0000228	YDR122W, YLR096W	snap_masked-flattened_line_0-processed-gene-7.122-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.122&CDS=1-3585
229	OG0000229	YDR125C, YLR099C	genemark-flattened_line_65-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.140&CDS=1-1248
230	OG0000230	YDR143C	snap_masked-flattened_line_21-processed-gene-1.180-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-1.180&CDS=1-1542, snap_masked-flattened_line_79-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.121&CDS=1-834
231	OG0000231	YDR146C, YLR131C	augustus_masked-flattened_line_19-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-1.108&CDS=1-2028
232	OG0000232	YDR151C, YLR136C	snap_masked-flattened_line_19-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.109&CDS=1-1140
233	OG0000233	YDR200C, YLR238W	snap_masked-flattened_line_63-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.12&CDS=1-1521
234	OG0000234	YDR206W, YLR233C	snap_masked-flattened_line_63-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.20&CDS=1-2640
235	OG0000235	YDR247W, YPL026C	snap_masked-flattened_line_4-processed-gene-1.94-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.94&CDS=1-1329
236	OG0000236	YDR248C	maker-flattened_line_15-snap-gene-2.9-mRNA-1_1&gene=maker-flattened_line_15-snap-gene-2.9&CDS=1-534, maker-flattened_line_4-snap-gene-1.107-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.107&CDS=1-534
237	OG0000237	YDR251W, YPL032C	snap_masked-flattened_line_4-processed-gene-1.77-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.77&CDS=1-2715
238	OG0000238	YDR253C, YPL038W	maker-flattened_line_4-snap-gene-1.110-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.110&CDS=1-567
239	OG0000239	YDR263C, YOR033C	snap_masked-flattened_line_81-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.84&CDS=1-1920
240	OG0000240	YDR272W, YOR040W	snap_masked-flattened_line_27-processed-gene-1.213-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.213&CDS=1-759
241	OG0000241	YDR277C, YOR047C	snap_masked-flattened_line_23-processed-gene-0.79-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-0.79&CDS=1-1434
242	OG0000242	YDR312W, YHR066W	maker-flattened_line_0-snap-gene-1.3-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.3&CDS=1-1263
243	OG0000243	YDR348C, YHR097C	snap_masked-flattened_line_15-processed-gene-2.197-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.197&CDS=1-1263
244	OG0000244	YDR351W, YHR103W	snap_masked-flattened_line_27-processed-gene-1.178-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.178&CDS=1-2037
245	OG0000245	YDR368W, YOR120W	maker-flattened_line_75-augustus-gene-0.209-mRNA-1_1&gene=maker-flattened_line_75-augustus-gene-0.209&CDS=1-2190
246	OG0000246	YDR379W, YOR127W	snap_masked-flattened_line_2-processed-gene-3.107-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.107&CDS=1-2823
247	OG0000247	YDR380W	snap_masked-flattened_line_2-processed-gene-3.104-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.104&CDS=1-1800, snap_masked-flattened_line_37-processed-gene-0.202-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.202&CDS=1-1701
248	OG0000248	YDR385W, YOR133W	snap_masked-flattened_line_25-processed-gene-1.162-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.162&CDS=1-2526
249	OG0000249	YDR391C, YOR013W	snap_masked-flattened_line_107-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.89&CDS=1-591
250	OG0000250	YDR409W, YOR156C	maker-flattened_line_0-snap-gene-4.7-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-4.7&CDS=1-6801
251	OG0000251	YDR418W, YEL054C	snap_masked-flattened_line_27-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.117&CDS=1-495
252	OG0000252	YDR447C, YML024W	genemark-flattened_line_2-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.98&CDS=1-414
253	OG0000253	YDR450W, YML026C	maker-flattened_line_2-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.4&CDS=1-459
254	OG0000254	YDR451C, YML027W	augustus_masked-flattened_line_2-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.8&CDS=1-1410
255	OG0000255	YDR453C, YML028W	snap_masked-flattened_line_103-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_103-processed-gene-0.60&CDS=1-597
256	OG0000256	YDR458C, YML034W	snap_masked-flattened_line_67-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.54&CDS=1-2631
257	OG0000257	YDR463W, YHR006W	snap_masked-flattened_line_81-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.91&CDS=1-1254
258	OG0000258	YDR471W, YHR010W	snap_masked-flattened_line_81-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.88&CDS=1-408
259	OG0000259	YDR490C	snap_masked-flattened_line_61-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.130&CDS=1-3177, snap_masked-flattened_line_81-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.90&CDS=1-2547
260	OG0000260	YDR500C, YLR185W	snap_masked-flattened_line_45-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.112&CDS=1-264
261	OG0000261	YDR505C, YLR177W	snap_masked-flattened_line_45-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.77&CDS=1-1599
262	OG0000262	YDR536W	snap_masked-flattened_line_11-processed-gene-3.94-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.94&CDS=1-1644, snap_masked-flattened_line_29-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.36&CDS=1-1623
263	OG0000263	YEL037C	maker-flattened_line_10-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.47&CDS=1-1131, maker-flattened_line_10-snap-gene-3.244-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-3.244&CDS=1-1131
264	OG0000264	YEL038W	snap_masked-flattened_line_10-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.70&CDS=1-726, snap_masked-flattened_line_10-processed-gene-3.58-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.58&CDS=1-726
265	OG0000265	YEL046C	augustus_masked-flattened_line_39-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.159&CDS=1-1119, augustus_masked-flattened_line_39-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.161&CDS=1-1113
266	OG0000266	YEL047C, YJR051W	maker-flattened_line_99-snap-gene-0.86-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.86&CDS=1-1470
267	OG0000267	YEL060C	snap_masked-flattened_line_10-processed-gene-1.50-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.50&CDS=1-1572, snap_masked-flattened_line_10-processed-gene-3.21-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.21&CDS=1-1572
268	OG0000268	YER031C, YGL210W	snap_masked-flattened_line_91-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.57&CDS=1-654
269	OG0000269	YER045C, YIL036W	snap_masked-flattened_line_4-processed-gene-2.150-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.150&CDS=1-1302
270	OG0000270	YER056C-A, YIL052C	maker-flattened_line_25-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-0.3&CDS=1-348
271	OG0000271	YER057C, YIL051C	augustus_masked-flattened_line_25-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_25-processed-gene-0.88&CDS=1-711
272	OG0000272	YER059W, YIL050W	snap_masked-flattened_line_25-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.122&CDS=1-1695
273	OG0000273	YER064C, YIL056W	maker-flattened_line_25-snap-gene-1.9-mRNA-1_1&gene=maker-flattened_line_25-snap-gene-1.9&CDS=1-1263
274	OG0000274	YER066W, YFL009W	genemark-flattened_line_4-processed-gene-4.53-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.53&CDS=1-1872
275	OG0000275	YER067W, YIL057C	snap_masked-flattened_line_93-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_93-processed-gene-0.68&CDS=1-492
276	OG0000276	YER081W, YIL074C	snap_masked-flattened_line_15-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.62&CDS=1-1401
277	OG0000277	YER103W	maker-flattened_line_27-snap-gene-1.249-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-1.249&CDS=1-2829, snap_masked-flattened_line_2-processed-gene-5.60-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.60&CDS=1-1947
278	OG0000278	YER131W, YGL189C	snap_masked-flattened_line_19-processed-gene-1.239-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.239&CDS=1-357
279	OG0000279	YER132C, YGL197W	maker-flattened_line_33-snap-gene-0.164-mRNA-1_1&gene=maker-flattened_line_33-snap-gene-0.164&CDS=1-4185
280	OG0000280	YER185W, YGR213C	snap_masked-flattened_line_57-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.93&CDS=1-1023
281	OG0000281	YFL034C-A, YLR061W	snap_masked-flattened_line_6-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.106&CDS=1-354
282	OG0000282	YFL048C, YLR080W	maker-flattened_line_4-augustus-gene-4.173-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.173&CDS=1-1731
283	OG0000283	YFL050C, YOL130W	snap_masked-flattened_line_61-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.110&CDS=1-2286
284	OG0000284	YFR013W, YOL017W	snap_masked-flattened_line_105-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.41&CDS=1-2628
285	OG0000285	YFR023W, YHR015W	snap_masked-flattened_line_51-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.117&CDS=1-2220
286	OG0000286	YFR031C-A, YIL018W	snap_masked-flattened_line_43-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.117&CDS=1-762
287	OG0000287	YFR032C	maker-flattened_line_43-snap-gene-0.183-mRNA-1_1&gene=maker-flattened_line_43-snap-gene-0.183&CDS=1-1176, maker-flattened_line_43-snap-gene-0.189-mRNA-1_1&gene=maker-flattened_line_43-snap-gene-0.189&CDS=1-1188
288	OG0000288	YFR033C	maker-flattened_line_43-snap-gene-0.185-mRNA-1_1&gene=maker-flattened_line_43-snap-gene-0.185&CDS=1-369, snap_masked-flattened_line_2-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.29&CDS=1-570
289	OG0000289	YFR039C, YGL228W	snap_masked-flattened_line_69-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.77&CDS=1-2361
290	OG0000290	YFR053C, YGL253W	snap_masked-flattened_line_11-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.93&CDS=1-1455
291	OG0000291	YGL023C	snap_masked-flattened_line_109-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.56&CDS=1-1356, snap_masked-flattened_line_15-processed-gene-2.198-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.198&CDS=1-1158
292	OG0000292	YGL035C	snap_masked-flattened_line_19-processed-gene-1.262-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-1.262&CDS=1-1368, snap_masked-flattened_line_91-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.59&CDS=1-972
293	OG0000293	YGL049C, YGR162W	snap_masked-flattened_line_31-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.107&CDS=1-2985
294	OG0000294	YGL067W	snap_masked-flattened_line_27-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.114&CDS=1-1107, snap_masked-flattened_line_49-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.135&CDS=1-1116
295	OG0000295	YGL071W, YPL202C	snap_masked-flattened_line_49-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.138&CDS=1-1173
296	OG0000296	YGL076C, YPL198W	genemark-flattened_line_57-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.51&CDS=1-762
297	OG0000297	YGL082W, YPL191C	snap_masked-flattened_line_61-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.135&CDS=1-1062
298	OG0000298	YGL096W, YPL177C	snap_masked-flattened_line_17-processed-gene-1.263-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.263&CDS=1-843
299	OG0000299	YGL100W	snap_masked-flattened_line_10-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.69&CDS=1-1038, snap_masked-flattened_line_10-processed-gene-3.19-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.19&CDS=1-1038
300	OG0000300	YGL103W	maker-flattened_line_10-snap-gene-1.158-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.158&CDS=1-447, maker-flattened_line_10-snap-gene-3.241-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-3.241&CDS=1-447
301	OG0000301	YGL106W	genemark-flattened_line_10-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.137&CDS=1-426, genemark-flattened_line_10-processed-gene-3.171-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.171&CDS=1-426
302	OG0000302	YGL110C	snap_masked-flattened_line_10-processed-gene-1.46-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.46&CDS=1-1605, snap_masked-flattened_line_10-processed-gene-3.56-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.56&CDS=1-1605
303	OG0000303	YGL111W	maker-flattened_line_10-snap-gene-1.157-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.157&CDS=1-1122, maker-flattened_line_10-snap-gene-3.242-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-3.242&CDS=1-1122
