	OrthologID	Lipomyces_starkeyi	Saccharomyces_cerevisiae
727	OG0000727	augustus_masked-scaffold_1-processed-gene-17.40-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.40&CDS=1-2472	YGL027C
728	OG0000728	augustus_masked-scaffold_1-processed-gene-17.38-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.38&CDS=1-1476	YDL103C
729	OG0000729	maker-scaffold_1-augustus-gene-17.93-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.93&CDS=1-1707	YOR360C
730	OG0000730	augustus_masked-scaffold_1-processed-gene-17.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.41&CDS=1-2685	YAL041W
731	OG0000731	augustus_masked-scaffold_1-processed-gene-17.43-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.43&CDS=1-966	YER133W
732	OG0000732	genemark-scaffold_1-processed-gene-17.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-17.7&CDS=1-195	YFR032C-A
733	OG0000733	augustus_masked-scaffold_1-processed-gene-17.44-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.44&CDS=1-1518	YHL004W
734	OG0000734	maker-scaffold_1-augustus-gene-17.105-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.105&CDS=1-4428	YJR119C
735	OG0000735	augustus_masked-scaffold_1-processed-gene-17.46-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.46&CDS=1-570	YKR068C
736	OG0000736	augustus_masked-scaffold_1-processed-gene-17.48-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.48&CDS=1-3144	YGR047C
737	OG0000737	maker-scaffold_1-augustus-gene-17.107-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.107&CDS=1-540	YPR131C
738	OG0000738	augustus_masked-scaffold_1-processed-gene-17.49-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.49&CDS=1-1395	YHR018C
739	OG0000739	snap_masked-scaffold_1-processed-gene-17.131-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.131&CDS=1-1293	YPR066W
740	OG0000740	snap_masked-scaffold_1-processed-gene-17.149-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.149&CDS=1-1929	YLR396C
741	OG0000741	augustus_masked-scaffold_1-processed-gene-17.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.70&CDS=1-1830	YPL023C
742	OG0000742	maker-scaffold_1-augustus-gene-17.101-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-17.101&CDS=1-2004	YNL161W
743	OG0000743	snap_masked-scaffold_1-processed-gene-17.135-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.135&CDS=1-1803	YGR225W
744	OG0000744	maker-scaffold_1-augustus-gene-18.126-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.126&CDS=1-1083	YJR129C
745	OG0000745	augustus_masked-scaffold_1-processed-gene-18.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.2&CDS=1-2025	YOR359W
746	OG0000746	augustus_masked-scaffold_1-processed-gene-18.17-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.17&CDS=1-231	YER058W
747	OG0000747	augustus_masked-scaffold_1-processed-gene-18.3-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.3&CDS=1-348	YHR039C-A
748	OG0000748	augustus_masked-scaffold_1-processed-gene-18.4-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.4&CDS=1-1854	YHR039C
749	OG0000749	maker-scaffold_1-augustus-gene-18.137-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.137&CDS=1-6708	YNL262W
750	OG0000750	genemark-scaffold_1-processed-gene-18.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-18.58&CDS=1-5529	YGL092W
751	OG0000751	augustus_masked-scaffold_1-processed-gene-18.10-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.10&CDS=1-1518	YIL162W
752	OG0000752	maker-scaffold_1-augustus-gene-18.142-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.142&CDS=1-306	YKL053C-A
753	OG0000753	maker-scaffold_1-augustus-gene-18.130-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.130&CDS=1-1776	YOR001W
754	OG0000754	augustus_masked-scaffold_1-processed-gene-18.25-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.25&CDS=1-816	YLL027W
755	OG0000755	snap_masked-scaffold_1-processed-gene-18.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.121&CDS=1-723	YOR289W
756	OG0000756	maker-scaffold_1-snap-gene-18.49-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.49&CDS=1-348	YNL122C
757	OG0000757	maker-scaffold_1-augustus-gene-18.131-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.131&CDS=1-813	YGL232W
758	OG0000758	augustus_masked-scaffold_1-processed-gene-18.14-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.14&CDS=1-2574	YOR270C
759	OG0000759	augustus_masked-scaffold_1-processed-gene-18.29-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.29&CDS=1-501	YOR257W
760	OG0000760	maker-scaffold_1-augustus-gene-18.144-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.144&CDS=1-417	YGL087C
761	OG0000761	maker-scaffold_1-augustus-gene-18.134-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.134&CDS=1-5277	YNL297C
762	OG0000762	maker-scaffold_1-snap-gene-19.7-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.7&CDS=1-2766	YIL160C
763	OG0000763	maker-scaffold_1-augustus-gene-19.120-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.120&CDS=1-804	YHR038W
764	OG0000764	maker-scaffold_1-augustus-gene-19.129-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.129&CDS=1-1641	YJL111W
765	OG0000765	augustus_masked-scaffold_1-processed-gene-19.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.24&CDS=1-678	YCR051W
766	OG0000766	maker-scaffold_1-augustus-gene-19.121-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-19.121&CDS=1-1506	YOL125W
767	OG0000767	augustus_masked-scaffold_1-processed-gene-19.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.32&CDS=1-726	YBL041W
768	OG0000768	snap_masked-scaffold_1-processed-gene-20.66-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.66&CDS=1-1536	YBR286W
769	OG0000769	augustus_masked-scaffold_10-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.23&CDS=1-1458	YGL099W
770	OG0000770	maker-scaffold_10-augustus-gene-2.105-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.105&CDS=1-2556	YBR281C
771	OG0000771	snap_masked-scaffold_10-processed-gene-2.140-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.140&CDS=1-1044	YML004C
772	OG0000772	maker-scaffold_10-augustus-gene-2.106-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.106&CDS=1-1419	YCL034W
773	OG0000773	maker-scaffold_10-augustus-gene-2.95-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.95&CDS=1-1458	YGL256W
774	OG0000774	augustus_masked-scaffold_10-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.27&CDS=1-1062	YLR056W
775	OG0000775	maker-scaffold_10-augustus-gene-2.107-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.107&CDS=1-1755	YER140W
776	OG0000776	maker-scaffold_10-augustus-gene-2.99-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.99&CDS=1-2307	YGL009C
777	OG0000777	augustus_masked-scaffold_10-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-2.18&CDS=1-1167	YHR112C
778	OG0000778	augustus_masked-scaffold_10-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.62&CDS=1-1392	YKL143W
779	OG0000779	augustus_masked-scaffold_10-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.64&CDS=1-939	YGR144W
780	OG0000780	snap_masked-scaffold_10-processed-gene-3.118-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.118&CDS=1-1857	YJL156C
781	OG0000781	augustus_masked-scaffold_10-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.67&CDS=1-549	YDR236C
782	OG0000782	maker-scaffold_10-augustus-gene-3.106-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.106&CDS=1-894	YBR291C
783	OG0000783	augustus_masked-scaffold_10-processed-gene-3.68-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.68&CDS=1-1470	YBR239C
784	OG0000784	maker-scaffold_10-augustus-gene-3.107-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.107&CDS=1-618	YNL310C
785	OG0000785	augustus_masked-scaffold_10-processed-gene-3.69-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.69&CDS=1-2205	YOL060C
786	OG0000786	maker-scaffold_10-augustus-gene-3.96-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.96&CDS=1-1512	YER141W
787	OG0000787	augustus_masked-scaffold_10-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.71&CDS=1-957	YBR160W
788	OG0000788	maker-scaffold_10-augustus-gene-3.109-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.109&CDS=1-2004	YHL016C
789	OG0000789	augustus_masked-scaffold_10-processed-gene-3.87-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.87&CDS=1-828	YBR002C
790	OG0000790	snap_masked-scaffold_10-processed-gene-3.127-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.127&CDS=1-1533	YOR067C
791	OG0000791	augustus_masked-scaffold_10-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.88&CDS=1-630	YNL284C
792	OG0000792	maker-scaffold_10-augustus-gene-3.97-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.97&CDS=1-2319	YML061C
793	OG0000793	maker-scaffold_10-augustus-gene-3.110-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.110&CDS=1-906	YPL076W
794	OG0000794	maker-scaffold_10-augustus-gene-3.98-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.98&CDS=1-933	YFR004W
795	OG0000795	snap_masked-scaffold_10-processed-gene-3.131-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.131&CDS=1-1230	YJL123C
796	OG0000796	maker-scaffold_10-augustus-gene-3.100-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.100&CDS=1-933	YOR065W
797	OG0000797	genemark-scaffold_10-processed-gene-3.20-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.20&CDS=1-888	YNL110C
798	OG0000798	augustus_masked-scaffold_10-processed-gene-3.91-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.91&CDS=1-651	YGL020C
799	OG0000799	maker-scaffold_10-augustus-gene-3.102-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-3.102&CDS=1-666	YNL229C
800	OG0000800	augustus_masked-scaffold_10-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.123&CDS=1-633	YKR085C
801	OG0000801	maker-scaffold_10-augustus-gene-4.40-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.40&CDS=1-2214	YLR427W
802	OG0000802	maker-scaffold_10-snap-gene-4.102-mRNA-1_1&gene=maker-scaffold_10-snap-gene-4.102&CDS=1-408	YBL029C-A
803	OG0000803	maker-scaffold_10-augustus-gene-4.49-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.49&CDS=1-570	YML079W
804	OG0000804	maker-scaffold_10-augustus-gene-4.50-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.50&CDS=1-546	YER007C-A
805	OG0000805	maker-scaffold_10-augustus-gene-4.42-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.42&CDS=1-2772	YGL201C
806	OG0000806	augustus_masked-scaffold_10-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.129&CDS=1-1242	YLR027C
807	OG0000807	maker-scaffold_10-augustus-gene-4.51-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.51&CDS=1-1089	YDR354W
808	OG0000808	augustus_masked-scaffold_10-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.130&CDS=1-756	YDL202W
809	OG0000809	snap_masked-scaffold_10-processed-gene-4.89-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-4.89&CDS=1-4482	YPR184W
810	OG0000810	maker-scaffold_10-snap-gene-4.116-mRNA-1_1&gene=maker-scaffold_10-snap-gene-4.116&CDS=1-1701	YOR108W
811	OG0000811	maker-scaffold_10-augustus-gene-4.45-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.45&CDS=1-1320	YDL146W
812	OG0000812	augustus_masked-scaffold_10-processed-gene-4.135-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.135&CDS=1-1017	YNL289W
813	OG0000813	maker-scaffold_10-augustus-gene-4.55-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.55&CDS=1-2820	YOL090W
814	OG0000814	maker-scaffold_10-augustus-gene-4.46-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.46&CDS=1-765	YEL051W
815	OG0000815	maker-scaffold_10-augustus-gene-4.56-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-4.56&CDS=1-519	YIL098C
816	OG0000816	augustus_masked-scaffold_10-processed-gene-4.153-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.153&CDS=1-1023	YGL091C
817	OG0000817	augustus_masked-scaffold_10-processed-gene-4.156-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-4.156&CDS=1-2451	YDR416W
818	OG0000818	maker-scaffold_10-augustus-gene-5.11-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.11&CDS=1-1530	YGR255C
819	OG0000819	maker-scaffold_10-augustus-gene-5.3-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.3&CDS=1-636	YJR112W
820	OG0000820	maker-scaffold_10-augustus-gene-5.16-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.16&CDS=1-2034	YLR103C
821	OG0000821	maker-scaffold_10-augustus-gene-5.4-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.4&CDS=1-642	YBR154C
822	OG0000822	augustus_masked-scaffold_10-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.90&CDS=1-1242	YOL003C
823	OG0000823	augustus_masked-scaffold_10-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.72&CDS=1-1434	YHR168W
824	OG0000824	augustus_masked-scaffold_10-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.73&CDS=1-1020	YKL085W
825	OG0000825	augustus_masked-scaffold_10-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.91&CDS=1-1356	YGL155W
826	OG0000826	augustus_masked-scaffold_10-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.92&CDS=1-996	YMR146C
827	OG0000827	maker-scaffold_10-augustus-gene-5.5-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.5&CDS=1-3153	YBR084W
828	OG0000828	augustus_masked-scaffold_10-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.76&CDS=1-222	YLR325C
829	OG0000829	maker-scaffold_10-augustus-gene-5.17-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.17&CDS=1-1362	YKL184W
830	OG0000830	maker-scaffold_10-augustus-gene-5.18-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.18&CDS=1-2742	YBR114W
831	OG0000831	snap_masked-scaffold_10-processed-gene-5.54-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.54&CDS=1-3177	YDR430C
832	OG0000832	snap_masked-scaffold_10-processed-gene-5.36-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.36&CDS=1-1746	YGR171C
833	OG0000833	augustus_masked-scaffold_10-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.78&CDS=1-1569	YHR007C
834	OG0000834	maker-scaffold_10-augustus-gene-5.8-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.8&CDS=1-2454	YLR222C
835	OG0000835	genemark-scaffold_10-processed-gene-5.158-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-5.158&CDS=1-570	YOL008W
836	OG0000836	maker-scaffold_10-augustus-gene-5.19-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.19&CDS=1-381	YPL099C
837	OG0000837	genemark-scaffold_10-processed-gene-5.160-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-5.160&CDS=1-252	YBR162W-A
838	OG0000838	maker-scaffold_10-augustus-gene-5.9-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-5.9&CDS=1-981	YHL013C
839	OG0000839	augustus_masked-scaffold_10-processed-gene-5.98-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.98&CDS=1-330	YGR063C
840	OG0000840	augustus_masked-scaffold_10-processed-gene-5.82-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.82&CDS=1-1002	YJR062C
841	OG0000841	augustus_masked-scaffold_10-processed-gene-5.99-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.99&CDS=1-747	YJR060W
842	OG0000842	maker-scaffold_10-augustus-gene-6.0-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.0&CDS=1-885	YLR059C
843	OG0000843	maker-scaffold_10-augustus-gene-6.1-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.1&CDS=1-2268	YIL150C
844	OG0000844	augustus_masked-scaffold_10-processed-gene-6.144-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.144&CDS=1-1413	YDL066W
845	OG0000845	augustus_masked-scaffold_10-processed-gene-6.145-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.145&CDS=1-858	YLL041C
846	OG0000846	augustus_masked-scaffold_10-processed-gene-6.161-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.161&CDS=1-1464	YJR006W
847	OG0000847	maker-scaffold_10-augustus-gene-6.17-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.17&CDS=1-1431	YLR023C
848	OG0000848	maker-scaffold_10-augustus-gene-6.18-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.18&CDS=1-2718	YFL047W
849	OG0000849	maker-scaffold_10-augustus-gene-6.19-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.19&CDS=1-1308	YLR438W
850	OG0000850	maker-scaffold_10-augustus-gene-6.5-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.5&CDS=1-4581	YLR247C
851	OG0000851	augustus_masked-scaffold_10-processed-gene-6.152-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.152&CDS=1-1695	YJL194W
852	OG0000852	maker-scaffold_10-augustus-gene-6.6-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.6&CDS=1-681	YIR009W
853	OG0000853	genemark-scaffold_10-processed-gene-6.38-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-6.38&CDS=1-1101	YBR234C
854	OG0000854	maker-scaffold_10-augustus-gene-6.8-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.8&CDS=1-1326	YJR117W
855	OG0000855	maker-scaffold_10-augustus-gene-6.9-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.9&CDS=1-1053	YLR113W
856	OG0000856	maker-scaffold_10-snap-gene-6.126-mRNA-1_1&gene=maker-scaffold_10-snap-gene-6.126&CDS=1-1422	YLR114C
857	OG0000857	genemark-scaffold_10-processed-gene-6.62-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-6.62&CDS=1-876	YMR314W
858	OG0000858	maker-scaffold_10-augustus-gene-6.13-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-6.13&CDS=1-1356	YDR101C
859	OG0000859	augustus_masked-scaffold_10-processed-gene-6.177-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-6.177&CDS=1-267	YDL181W
860	OG0000860	genemark-scaffold_10-processed-gene-6.44-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-6.44&CDS=1-765	YER177W
861	OG0000861	genemark-scaffold_10-processed-gene-6.45-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-6.45&CDS=1-294	YKR095W-A
862	OG0000862	maker-scaffold_10-snap-gene-6.131-mRNA-1_1&gene=maker-scaffold_10-snap-gene-6.131&CDS=1-1920	YDR359C
863	OG0000863	maker-scaffold_10-augustus-gene-7.87-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.87&CDS=1-2160	YGL026C
864	OG0000864	maker-scaffold_10-augustus-gene-7.95-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.95&CDS=1-777	YPL117C
865	OG0000865	maker-scaffold_10-augustus-gene-7.90-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.90&CDS=1-1152	YMR028W
866	OG0000866	maker-scaffold_10-augustus-gene-7.97-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.97&CDS=1-1104	YPR056W
867	OG0000867	maker-scaffold_10-augustus-gene-7.98-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.98&CDS=1-3057	YMR231W
868	OG0000868	maker-scaffold_10-augustus-gene-7.91-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.91&CDS=1-288	YPR182W
869	OG0000869	maker-scaffold_10-augustus-gene-7.99-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.99&CDS=1-2829	YMR185W
870	OG0000870	augustus_masked-scaffold_10-processed-gene-7.140-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-7.140&CDS=1-2340	YGL120C
871	OG0000871	augustus_masked-scaffold_10-processed-gene-7.141-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-7.141&CDS=1-1827	YER005W
872	OG0000872	maker-scaffold_10-augustus-gene-7.100-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.100&CDS=1-4167	YJL197W
873	OG0000873	maker-scaffold_10-augustus-gene-7.102-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.102&CDS=1-1818	YDL113C
874	OG0000874	augustus_masked-scaffold_10-processed-gene-7.143-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-7.143&CDS=1-1005	YGL219C
875	OG0000875	snap_masked-scaffold_10-processed-gene-7.14-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-7.14&CDS=1-264	YKL138C
876	OG0000876	maker-scaffold_10-augustus-gene-7.92-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.92&CDS=1-3750	YIL030C
877	OG0000877	maker-scaffold_10-augustus-gene-7.93-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.93&CDS=1-681	YLR262C
878	OG0000878	maker-scaffold_10-augustus-gene-7.103-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.103&CDS=1-2310	YNL279W
879	OG0000879	maker-scaffold_10-augustus-gene-7.106-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.106&CDS=1-2046	YKR001C
880	OG0000880	maker-scaffold_10-augustus-gene-7.109-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.109&CDS=1-1506	YBR274W
881	OG0000881	maker-scaffold_10-augustus-gene-7.94-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-7.94&CDS=1-1296	YKL021C
882	OG0000882	augustus_masked-scaffold_10-processed-gene-7.170-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-7.170&CDS=1-1977	YOR204W
883	OG0000883	snap_masked-scaffold_10-processed-gene-8.173-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-8.173&CDS=1-693	YDL135C
884	OG0000884	maker-scaffold_10-augustus-gene-8.153-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.153&CDS=1-600	YLR250W
885	OG0000885	maker-scaffold_10-augustus-gene-8.154-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.154&CDS=1-1050	YOR262W
886	OG0000886	maker-scaffold_10-augustus-gene-8.130-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.130&CDS=1-423	YGR082W
887	OG0000887	augustus_masked-scaffold_10-processed-gene-8.61-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.61&CDS=1-615	YOL032W
888	OG0000888	snap_masked-scaffold_10-processed-gene-8.225-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-8.225&CDS=1-978	YJR142W
889	OG0000889	augustus_masked-scaffold_10-processed-gene-8.62-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.62&CDS=1-777	YDR167W
890	OG0000890	genemark-scaffold_10-processed-gene-8.318-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-8.318&CDS=1-2817	YDR270W
891	OG0000891	maker-scaffold_10-augustus-gene-8.132-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.132&CDS=1-270	YNR037C
892	OG0000892	maker-scaffold_10-augustus-gene-8.133-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.133&CDS=1-1101	YIR034C
893	OG0000893	maker-scaffold_10-augustus-gene-8.158-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.158&CDS=1-945	YDL047W
894	OG0000894	maker-scaffold_10-snap-gene-8.7-mRNA-1_1&gene=maker-scaffold_10-snap-gene-8.7&CDS=1-1314	YJR065C
895	OG0000895	augustus_masked-scaffold_10-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.101&CDS=1-264	YHR005C-A
896	OG0000896	maker-scaffold_10-augustus-gene-8.159-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.159&CDS=1-2757	YEL043W
897	OG0000897	augustus_masked-scaffold_10-processed-gene-8.69-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.69&CDS=1-2199	YMR165C
898	OG0000898	maker-scaffold_10-augustus-gene-8.163-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.163&CDS=1-1887	YIL101C
899	OG0000899	augustus_masked-scaffold_10-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.74&CDS=1-417	YDR063W
900	OG0000900	augustus_masked-scaffold_10-processed-gene-8.75-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-8.75&CDS=1-1089	YPL101W
901	OG0000901	genemark-scaffold_10-processed-gene-8.331-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-8.331&CDS=1-675	YOR101W
902	OG0000902	maker-scaffold_10-augustus-gene-8.140-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-8.140&CDS=1-966	YKR026C
