	OrthologID	Ogataea_parapolymorpha	Saccharomyces_cerevisiae
361	OG0000361	genemark-NC_027863.1-processed-gene-1.176-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-1.176&CDS=1-1494	YBR214W, YGL056C
362	OG0000362	genemark-NC_027863.1-processed-gene-2.27-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-2.27&CDS=1-957	YHR021C, YKL156W
363	OG0000363	augustus_masked-NC_027863.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.115&CDS=1-1827, augustus_masked-NC_027865.1-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-0.146&CDS=1-1809	YFL053W
364	OG0000364	snap_masked-NC_027863.1-processed-gene-2.172-mRNA-1_1&gene=snap_masked-NC_027863.1-processed-gene-2.172&CDS=1-1110	YDR312W, YHR066W
365	OG0000365	augustus_masked-NC_027863.1-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.54&CDS=1-885	YBR014C, YDL010W
366	OG0000366	maker-NC_027863.1-augustus-gene-3.160-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-3.160&CDS=1-465	YBR048W, YDR025W
367	OG0000367	genemark-NC_027863.1-processed-gene-3.17-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-3.17&CDS=1-411	YEL034W, YJR047C
368	OG0000368	augustus_masked-NC_027863.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-3.73&CDS=1-1620	YHL017W, YKL039W
369	OG0000369	maker-NC_027863.1-snap-gene-4.133-mRNA-1_1&gene=maker-NC_027863.1-snap-gene-4.133&CDS=1-879	YDL175C, YIL079C
370	OG0000370	augustus_masked-NC_027863.1-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-4.61&CDS=1-1725	YBR270C, YJL058C
371	OG0000371	augustus_masked-NC_027863.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.66&CDS=1-14595	YDR111C, YLR089C
372	OG0000372	augustus_masked-NC_027863.1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.75&CDS=1-2055, snap_masked-NC_027864.1-processed-gene-1.123-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-1.123&CDS=1-2202	YLL029W
373	OG0000373	augustus_masked-NC_027863.1-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.101&CDS=1-1119	YNL108C, YOR110W
374	OG0000374	augustus_masked-NC_027863.1-processed-gene-5.83-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-5.83&CDS=1-2409	YDR069C, YER144C
375	OG0000375	augustus_masked-NC_027863.1-processed-gene-6.1-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.1&CDS=1-1053, augustus_masked-NC_027864.1-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-4.93&CDS=1-1662	YKR066C
376	OG0000376	maker-NC_027863.1-augustus-gene-6.167-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-6.167&CDS=1-471	YBL087C, YER117W
377	OG0000377	augustus_masked-NC_027863.1-processed-gene-6.12-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.12&CDS=1-1626, snap_masked-NC_027865.1-processed-gene-4.122-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-4.122&CDS=1-1914	YDL138W
378	OG0000378	augustus_masked-NC_027863.1-processed-gene-10.61-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-10.61&CDS=1-630, augustus_masked-NC_027863.1-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-6.19&CDS=1-633	YGR201C
379	OG0000379	augustus_masked-NC_027863.1-processed-gene-7.182-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.182&CDS=1-1314, augustus_masked-NC_027866.1-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.71&CDS=1-1674	YML054C
380	OG0000380	maker-NC_027863.1-augustus-gene-7.206-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-7.206&CDS=1-3588	YDR409W, YOR156C
381	OG0000381	augustus_masked-NC_027863.1-processed-gene-7.173-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.173&CDS=1-3441	YPR169W-A, YPR170W-B
382	OG0000382	augustus_masked-NC_027863.1-processed-gene-11.197-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.197&CDS=1-1236, maker-NC_027863.1-augustus-gene-7.209-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-7.209&CDS=1-1899	YPR061C
383	OG0000383	augustus_masked-NC_027863.1-processed-gene-7.203-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-7.203&CDS=1-861	YBR104W, YPR058W
384	OG0000384	maker-NC_027863.1-augustus-gene-8.153-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-8.153&CDS=1-3090	YML100W, YMR261C
385	OG0000385	augustus_masked-NC_027863.1-processed-gene-9.88-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-9.88&CDS=1-1860	YDR107C, YLR083C
386	OG0000386	augustus_masked-NC_027863.1-processed-gene-9.89-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-9.89&CDS=1-1758, augustus_masked-NC_027865.1-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-0.148&CDS=1-1746	YEL065W
387	OG0000387	maker-NC_027863.1-augustus-gene-9.186-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-9.186&CDS=1-1188, snap_masked-NC_027865.1-processed-gene-8.210-mRNA-1_1&gene=snap_masked-NC_027865.1-processed-gene-8.210&CDS=1-1131	YDR415C
388	OG0000388	maker-NC_027863.1-augustus-gene-10.1-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-10.1&CDS=1-1863	YLR287C-A, YOR182C
389	OG0000389	augustus_masked-NC_027863.1-processed-gene-10.41-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-10.41&CDS=1-1002	YJL133W, YKR052C
390	OG0000390	genemark-NC_027863.1-processed-gene-11.217-mRNA-1_1&gene=genemark-NC_027863.1-processed-gene-11.217&CDS=1-1020	YCL050C, YDR530C
391	OG0000391	augustus_masked-NC_027863.1-processed-gene-11.132-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.132&CDS=1-273	YBR089C-A, YPR052C
392	OG0000392	augustus_masked-NC_027863.1-processed-gene-11.133-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.133&CDS=1-2064	YJL136C, YKR057W
393	OG0000393	maker-NC_027863.1-augustus-gene-11.337-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-11.337&CDS=1-1191	YJL138C, YKR059W
394	OG0000394	augustus_masked-NC_027863.1-processed-gene-11.180-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.180&CDS=1-1137, augustus_masked-NC_027864.1-processed-gene-8.59-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-8.59&CDS=1-1194	YKL004W
395	OG0000395	augustus_masked-NC_027863.1-processed-gene-11.143-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.143&CDS=1-774	YDL048C, YLR375W
396	OG0000396	augustus_masked-NC_027863.1-processed-gene-11.152-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.152&CDS=1-567	YBL027W, YBR084C-A
397	OG0000397	augustus_masked-NC_027863.1-processed-gene-11.204-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-11.204&CDS=1-5412, snap_masked-NC_027863.1-processed-gene-11.54-mRNA-1_1&gene=snap_masked-NC_027863.1-processed-gene-11.54&CDS=1-5406	YGR184C
398	OG0000398	augustus_masked-NC_027864.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-0.77&CDS=1-663, augustus_masked-NC_027864.1-processed-gene-11.119-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.119&CDS=1-657	YJL218W
399	OG0000399	augustus_masked-NC_027864.1-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-1.66&CDS=1-435	YGR118W, YPR132W
400	OG0000400	snap_masked-NC_027864.1-processed-gene-1.145-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-1.145&CDS=1-753, snap_masked-NC_027864.1-processed-gene-11.177-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-11.177&CDS=1-318	YBL054W
401	OG0000401	augustus_masked-NC_027864.1-processed-gene-2.178-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-2.178&CDS=1-354	YAL030W, YOR327C
402	OG0000402	augustus_masked-NC_027864.1-processed-gene-2.188-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-2.188&CDS=1-3093	YBL106C, YPR032W
403	OG0000403	augustus_masked-NC_027864.1-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-3.130&CDS=1-1431	YGR121C, YPR138C
404	OG0000404	augustus_masked-NC_027864.1-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-4.82&CDS=1-1149, augustus_masked-NC_027864.1-processed-gene-5.157-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-5.157&CDS=1-1200	YOR049C
405	OG0000405	snap_masked-NC_027864.1-processed-gene-4.56-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-4.56&CDS=1-246	YDR500C, YLR185W
406	OG0000406	maker-NC_027864.1-augustus-gene-4.3-mRNA-1_1&gene=maker-NC_027864.1-augustus-gene-4.3&CDS=1-2355	YDR502C, YLR180W
407	OG0000407	augustus_masked-NC_027864.1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-4.87&CDS=1-2733	YDR505C, YLR177W
408	OG0000408	augustus_masked-NC_027864.1-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-5.141&CDS=1-3111	YBL101C, YPR030W
409	OG0000409	genemark-NC_027864.1-processed-gene-5.62-mRNA-1_1&gene=genemark-NC_027864.1-processed-gene-5.62&CDS=1-708	YBR181C, YPL090C
410	OG0000410	augustus_masked-NC_027864.1-processed-gene-5.169-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-5.169&CDS=1-2127	YCR026C, YEL016C
411	OG0000411	augustus_masked-NC_027864.1-processed-gene-6.22-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-6.22&CDS=1-585	YDR453C, YML028W
412	OG0000412	augustus_masked-NC_027864.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-6.27&CDS=1-1614	YDL042C, YOL068C
413	OG0000413	snap_masked-NC_027864.1-processed-gene-7.93-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-7.93&CDS=1-789	YLR284C, YOR180C
414	OG0000414	augustus_masked-NC_027864.1-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-7.131&CDS=1-345	YDL075W, YLR406C
415	OG0000415	augustus_masked-NC_027865.1-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.30&CDS=1-876, snap_masked-NC_027864.1-processed-gene-8.107-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-8.107&CDS=1-897	YPR069C
416	OG0000416	augustus_masked-NC_027864.1-processed-gene-8.53-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-8.53&CDS=1-1227	YDR132C, YLR108C
417	OG0000417	augustus_masked-NC_027864.1-processed-gene-9.86-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-9.86&CDS=1-792	YNL098C, YOR101W
418	OG0000418	augustus_masked-NC_027864.1-processed-gene-10.18-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.18&CDS=1-2259, augustus_masked-NC_027864.1-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.78&CDS=1-2346	YPR022C
419	OG0000419	augustus_masked-NC_027864.1-processed-gene-10.49-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.49&CDS=1-765	YFR031C-A, YIL018W
420	OG0000420	augustus_masked-NC_027864.1-processed-gene-10.50-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.50&CDS=1-1212	YFL048C, YLR080W
421	OG0000421	augustus_masked-NC_027864.1-processed-gene-10.53-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.53&CDS=1-1239	YGR038W, YLR350W
422	OG0000422	augustus_masked-NC_027864.1-processed-gene-10.34-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-10.34&CDS=1-3264	YER132C, YGL197W
423	OG0000423	snap_masked-NC_027864.1-processed-gene-11.211-mRNA-1_1&gene=snap_masked-NC_027864.1-processed-gene-11.211&CDS=1-1605	YDR351W, YHR103W
424	OG0000424	augustus_masked-NC_027864.1-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.113&CDS=1-1278	YBL056W, YER089C
425	OG0000425	augustus_masked-NC_027864.1-processed-gene-11.120-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.120&CDS=1-1440, augustus_masked-NC_027864.1-processed-gene-11.123-mRNA-1_1&gene=augustus_masked-NC_027864.1-processed-gene-11.123&CDS=1-1509	YGR260W
426	OG0000426	augustus_masked-NC_027866.1-processed-gene-8.228-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.228&CDS=1-2052, maker-NC_027864.1-augustus-gene-11.15-mRNA-1_1&gene=maker-NC_027864.1-augustus-gene-11.15&CDS=1-3597	YHR175W
427	OG0000427	augustus_masked-NC_027865.1-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.30&CDS=1-3579	YCR091W, YNR047W
428	OG0000428	maker-NC_027865.1-augustus-gene-1.5-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-1.5&CDS=1-2160	YAL017W, YOL045W
429	OG0000429	genemark-NC_027865.1-processed-gene-2.1-mRNA-1_1&gene=genemark-NC_027865.1-processed-gene-2.1&CDS=1-1647	YDR358W, YHR108W
430	OG0000430	augustus_masked-NC_027865.1-processed-gene-2.174-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-2.174&CDS=1-1128	YGL071W, YPL202C
431	OG0000431	maker-NC_027865.1-augustus-gene-2.199-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-2.199&CDS=1-1170	YNL301C, YOL120C
432	OG0000432	augustus_masked-NC_027865.1-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-2.165&CDS=1-930, augustus_masked-NC_027866.1-processed-gene-6.209-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.209&CDS=1-2097	YGR086C
433	OG0000433	augustus_masked-NC_027865.1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-3.49&CDS=1-4575	YEL022W, YJR031C
434	OG0000434	augustus_masked-NC_027865.1-processed-gene-4.142-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-4.142&CDS=1-795	YGR214W, YLR048W
435	OG0000435	augustus_masked-NC_027865.1-processed-gene-6.13-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.13&CDS=1-4641	YIL149C, YKR095W
436	OG0000436	augustus_masked-NC_027865.1-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-6.31&CDS=1-1665, augustus_masked-NC_027866.1-processed-gene-6.192-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.192&CDS=1-1692	YDL174C
437	OG0000437	maker-NC_027865.1-augustus-gene-7.162-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-7.162&CDS=1-2283	YFR053C, YGL253W
438	OG0000438	augustus_masked-NC_027865.1-processed-gene-8.99-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-8.99&CDS=1-2010	YGR241C, YHR161C
439	OG0000439	maker-NC_027866.1-snap-gene-0.92-mRNA-1_1&gene=maker-NC_027866.1-snap-gene-0.92&CDS=1-2682	YDR247W, YPL026C
440	OG0000440	genemark-NC_027866.1-processed-gene-0.121-mRNA-1_1&gene=genemark-NC_027866.1-processed-gene-0.121&CDS=1-876	YGL076C, YPL198W
441	OG0000441	maker-NC_027866.1-augustus-gene-1.1-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-1.1&CDS=1-4785	YMR177W, YPL224C
442	OG0000442	augustus_masked-NC_027866.1-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-1.86&CDS=1-3636	YLL016W, YLR310C
443	OG0000443	augustus_masked-NC_027866.1-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-2.126&CDS=1-3216	YIR033W, YKL020C
444	OG0000444	augustus_masked-NC_027866.1-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-2.139&CDS=1-1353	YER064C, YIL056W
445	OG0000445	augustus_masked-NC_027866.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-3.60&CDS=1-2838	YGR043C, YLR354C
446	OG0000446	snap_masked-NC_027866.1-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-3.31&CDS=1-2244	YFR023W, YHR015W
447	OG0000447	augustus_masked-NC_027866.1-processed-gene-4.210-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-4.210&CDS=1-5109	YDR341C, YHR091C
448	OG0000448	maker-NC_027866.1-augustus-gene-4.3-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-4.3&CDS=1-858	YMR183C, YPL232W
449	OG0000449	snap_masked-NC_027866.1-processed-gene-5.159-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-5.159&CDS=1-438	YIL111W, YNL052W
450	OG0000450	augustus_masked-NC_027866.1-processed-gene-5.132-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-5.132&CDS=1-405	YDR447C, YML024W
451	OG0000451	augustus_masked-NC_027866.1-processed-gene-5.112-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-5.112&CDS=1-1086	YDR451C, YML027W
452	OG0000452	augustus_masked-NC_027866.1-processed-gene-5.136-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-5.136&CDS=1-450	YDR450W, YML026C
453	OG0000453	genemark-NC_027866.1-processed-gene-6.28-mRNA-1_1&gene=genemark-NC_027866.1-processed-gene-6.28&CDS=1-1008	YOR390W, YPL279C
454	OG0000454	augustus_masked-NC_027866.1-processed-gene-6.165-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.165&CDS=1-3180	YMR237W, YOR299W
455	OG0000455	snap_masked-NC_027866.1-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NC_027866.1-processed-gene-6.106&CDS=1-1833	YBR021W, YIR028W
456	OG0000456	augustus_masked-NC_027866.1-processed-gene-6.202-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-6.202&CDS=1-3096	YLR260W, YOR171C
457	OG0000457	maker-NC_027866.1-augustus-gene-7.2-mRNA-1_1&gene=maker-NC_027866.1-augustus-gene-7.2&CDS=1-5292	YJL098W, YKR028W
458	OG0000458	augustus_masked-NC_027866.1-processed-gene-8.277-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.277&CDS=1-954	YBR147W, YOL092W
459	OG0000459	genemark-NC_027866.1-processed-gene-8.93-mRNA-1_1&gene=genemark-NC_027866.1-processed-gene-8.93&CDS=1-1896	YKL126W, YMR104C
460	OG0000460	augustus_masked-NC_027866.1-processed-gene-8.259-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.259&CDS=1-1842, augustus_masked-NC_027866.1-processed-gene-8.299-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.299&CDS=1-8538	YNR063W
461	OG0000461	augustus_masked-NC_027860.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.29&CDS=1-603	YJL030W
462	OG0000462	augustus_masked-NC_027860.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.5&CDS=1-975	YJL031C
463	OG0000463	snap_masked-NC_027860.1-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.75&CDS=1-1266	YJL006C
464	OG0000464	augustus_masked-NC_027860.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.6&CDS=1-2319	YDL007W
465	OG0000465	augustus_masked-NC_027860.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.7&CDS=1-1020	YDL006W
466	OG0000466	maker-NC_027860.1-augustus-gene-0.144-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-0.144&CDS=1-2424	YKL148C
467	OG0000467	augustus_masked-NC_027860.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.31&CDS=1-1326	YKL145W
468	OG0000468	augustus_masked-NC_027860.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.32&CDS=1-1836	YDR496C
469	OG0000469	augustus_masked-NC_027860.1-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.33&CDS=1-2055	YKL149C
470	OG0000470	augustus_masked-NC_027860.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.11&CDS=1-990	YDR460W
471	OG0000471	snap_masked-NC_027860.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-0.80&CDS=1-4122	YBR115C
472	OG0000472	augustus_masked-NC_027860.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.35&CDS=1-1437	YPR073C
473	OG0000473	augustus_masked-NC_027860.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.13&CDS=1-5997	YBR114W
474	OG0000474	maker-NC_027860.1-augustus-gene-0.146-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-0.146&CDS=1-2931	YCL030C
475	OG0000475	augustus_masked-NC_027860.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.16&CDS=1-423	YPR100W
476	OG0000476	genemark-NC_027860.1-processed-gene-0.139-mRNA-1_1&gene=genemark-NC_027860.1-processed-gene-0.139&CDS=1-2526	YGL192W
477	OG0000477	maker-NC_027860.1-augustus-gene-0.154-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-0.154&CDS=1-3747	YGL009C
478	OG0000478	augustus_masked-NC_027860.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-0.40&CDS=1-1293	YER122C
479	OG0000479	augustus_masked-NC_027860.1-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.53&CDS=1-3168	YIL030C
480	OG0000480	augustus_masked-NC_027860.1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.54&CDS=1-879	YNL027W
481	OG0000481	augustus_masked-NC_027860.1-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.55&CDS=1-1032	YJR105W
482	OG0000482	augustus_masked-NC_027860.1-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.50&CDS=1-810	YJR116W
483	OG0000483	augustus_masked-NC_027860.1-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.56&CDS=1-840	YPL094C
484	OG0000484	augustus_masked-NC_027860.1-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.52&CDS=1-1041	YMR315W
485	OG0000485	augustus_masked-NC_027860.1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.58&CDS=1-405	YCR071C
486	OG0000486	augustus_masked-NC_027860.1-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.59&CDS=1-5790	YKR031C
487	OG0000487	maker-NC_027860.1-snap-gene-1.153-mRNA-1_1&gene=maker-NC_027860.1-snap-gene-1.153&CDS=1-2535	YIL102C-A
488	OG0000488	augustus_masked-NC_027860.1-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.60&CDS=1-687	YHR008C
489	OG0000489	augustus_masked-NC_027860.1-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.77&CDS=1-1011	YDR214W
490	OG0000490	augustus_masked-NC_027860.1-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.79&CDS=1-1563	YDL156W
491	OG0000491	augustus_masked-NC_027860.1-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.62&CDS=1-975	YGR179C
492	OG0000492	augustus_masked-NC_027860.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.80&CDS=1-3195	YJL087C
493	OG0000493	augustus_masked-NC_027860.1-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.63&CDS=1-897	YGR208W
494	OG0000494	augustus_masked-NC_027860.1-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.81&CDS=1-816	YMR289W
495	OG0000495	maker-NC_027860.1-augustus-gene-1.144-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-1.144&CDS=1-3486	YMR224C
496	OG0000496	augustus_masked-NC_027860.1-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.82&CDS=1-1242	YMR113W
497	OG0000497	maker-NC_027860.1-augustus-gene-1.148-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-1.148&CDS=1-2148	YJL008C
498	OG0000498	augustus_masked-NC_027860.1-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.68&CDS=1-2469	YJL029C
499	OG0000499	augustus_masked-NC_027860.1-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.84&CDS=1-1968	YMR108W
500	OG0000500	augustus_masked-NC_027860.1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.69&CDS=1-2154	YGL144C
501	OG0000501	maker-NC_027860.1-augustus-gene-1.146-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-1.146&CDS=1-2478	YDR221W
502	OG0000502	genemark-NC_027860.1-processed-gene-1.41-mRNA-1_1&gene=genemark-NC_027860.1-processed-gene-1.41&CDS=1-3978	YHR076W
503	OG0000503	snap_masked-NC_027860.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-NC_027860.1-processed-gene-1.133&CDS=1-1044	YDR322W
504	OG0000504	augustus_masked-NC_027860.1-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-1.87&CDS=1-6591	YIR006C
