	OrthologID	Metschnikowia_hibisci	Saccharomyces_cerevisiae
672	OG0000672	snap_masked-hib_s106-processed-gene-4.116-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-4.116&CDS=1-1272	YKL185W
673	OG0000673	augustus_masked-hib_s106-processed-gene-4.47-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.47&CDS=1-1944	YPL249C
674	OG0000674	augustus_masked-hib_s106-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.49&CDS=1-1197	YPL248C
675	OG0000675	augustus_masked-hib_s106-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.50&CDS=1-4317	YMR190C
676	OG0000676	augustus_masked-hib_s106-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.51&CDS=1-672	YML041C
677	OG0000677	augustus_masked-hib_s106-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.24&CDS=1-8124	YGL195W
678	OG0000678	augustus_masked-hib_s106-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.25&CDS=1-1179	YHL024W
679	OG0000679	augustus_masked-hib_s106-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.27&CDS=1-2091	YNL186W
680	OG0000680	augustus_masked-hib_s106-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.53&CDS=1-597	YBL049W
681	OG0000681	augustus_masked-hib_s106-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.54&CDS=1-1047	YNL177C
682	OG0000682	augustus_masked-hib_s106-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.55&CDS=1-651	YDL212W
683	OG0000683	maker-hib_s106-augustus-gene-4.65-mRNA-1_1&gene=maker-hib_s106-augustus-gene-4.65&CDS=1-2112	YDL213C
684	OG0000684	augustus_masked-hib_s106-processed-gene-4.29-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.29&CDS=1-1323	YNL181W
685	OG0000685	augustus_masked-hib_s106-processed-gene-4.57-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.57&CDS=1-429	YNL185C
686	OG0000686	augustus_masked-hib_s106-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.59&CDS=1-1302	YPL247C
687	OG0000687	augustus_masked-hib_s106-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-4.60&CDS=1-3033	YMR189W
688	OG0000688	augustus_masked-hib_s130-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.2&CDS=1-1410	YMR210W
689	OG0000689	augustus_masked-hib_s130-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.14&CDS=1-852	YKL019W
690	OG0000690	augustus_masked-hib_s130-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.3&CDS=1-1389	YMR209C
691	OG0000691	augustus_masked-hib_s130-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.4&CDS=1-1587	YMR217W
692	OG0000692	augustus_masked-hib_s130-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.5&CDS=1-984	YOR271C
693	OG0000693	augustus_masked-hib_s130-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.16&CDS=1-1227	YMR208W
694	OG0000694	augustus_masked-hib_s130-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.17&CDS=1-4836	YML103C
695	OG0000695	augustus_masked-hib_s130-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-hib_s130-processed-gene-0.20&CDS=1-3297	YMR287C
696	OG0000696	augustus_masked-hib_s141-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.35&CDS=1-2484	YGL083W
697	OG0000697	augustus_masked-hib_s141-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.30&CDS=1-591	YPL178W
698	OG0000698	augustus_masked-hib_s141-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.37&CDS=1-1740	YAL067C
699	OG0000699	augustus_masked-hib_s141-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.31&CDS=1-978	YML121W
700	OG0000700	augustus_masked-hib_s141-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.32&CDS=1-1344	YHR190W
701	OG0000701	augustus_masked-hib_s141-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.38&CDS=1-1269	YBR279W
702	OG0000702	augustus_masked-hib_s141-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.40&CDS=1-954	YJR096W
703	OG0000703	augustus_masked-hib_s141-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.34&CDS=1-642	YML001W
704	OG0000704	augustus_masked-hib_s141-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-hib_s141-processed-gene-0.41&CDS=1-735	YPL199C
705	OG0000705	augustus_masked-hib_s155-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.18&CDS=1-1953	YJL090C
706	OG0000706	maker-hib_s155-augustus-gene-0.34-mRNA-1_1&gene=maker-hib_s155-augustus-gene-0.34&CDS=1-6303	YMR176W
707	OG0000707	augustus_masked-hib_s155-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.3&CDS=1-1698	YDL210W
708	OG0000708	augustus_masked-hib_s155-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.4&CDS=1-1875	YML127W
709	OG0000709	augustus_masked-hib_s155-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.5&CDS=1-447	YML094W
710	OG0000710	augustus_masked-hib_s155-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.21&CDS=1-1014	YML095C
711	OG0000711	augustus_masked-hib_s155-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.6&CDS=1-213	YNL024C-A
712	OG0000712	augustus_masked-hib_s155-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.22&CDS=1-2121	YIL091C
713	OG0000713	augustus_masked-hib_s155-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.7&CDS=1-1368	YIL090W
714	OG0000714	augustus_masked-hib_s155-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.24&CDS=1-1107	YPR035W
715	OG0000715	augustus_masked-hib_s155-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.9&CDS=1-5862	YJL005W
716	OG0000716	augustus_masked-hib_s155-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.12&CDS=1-3165	YMR196W
717	OG0000717	augustus_masked-hib_s155-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.13&CDS=1-657	YMR197C
718	OG0000718	augustus_masked-hib_s155-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.14&CDS=1-672	YPL252C
719	OG0000719	augustus_masked-hib_s155-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.28&CDS=1-1065	YPL254W
720	OG0000720	augustus_masked-hib_s155-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.29&CDS=1-1512	YOR378W
721	OG0000721	augustus_masked-hib_s155-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.30&CDS=1-435	YML077W
722	OG0000722	genemark-hib_s155-processed-gene-0.108-mRNA-1_1&gene=genemark-hib_s155-processed-gene-0.108&CDS=1-180	YML081C-A
723	OG0000723	augustus_masked-hib_s155-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.31&CDS=1-1491	YNL026W
724	OG0000724	augustus_masked-hib_s155-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-0.33&CDS=1-1233	YML005W
725	OG0000725	snap_masked-hib_s155-processed-gene-1.43-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.43&CDS=1-1047	YNL016W
726	OG0000726	snap_masked-hib_s155-processed-gene-1.44-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.44&CDS=1-1695	YDL122W
727	OG0000727	augustus_masked-hib_s155-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.84&CDS=1-897	YIL096C
728	OG0000728	augustus_masked-hib_s155-processed-gene-1.86-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.86&CDS=1-1479	YIL097W
729	OG0000729	augustus_masked-hib_s155-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.108&CDS=1-699	YOL003C
730	OG0000730	snap_masked-hib_s155-processed-gene-1.49-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.49&CDS=1-711	YOR362C
731	OG0000731	augustus_masked-hib_s155-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.90&CDS=1-2181	YOR361C
732	OG0000732	augustus_masked-hib_s155-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.110&CDS=1-330	YAL046C
733	OG0000733	augustus_masked-hib_s155-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.91&CDS=1-1890	YAL048C
734	OG0000734	snap_masked-hib_s155-processed-gene-1.53-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.53&CDS=1-600	YOR294W
735	OG0000735	augustus_masked-hib_s155-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.93&CDS=1-3738	YOR296W
736	OG0000736	snap_masked-hib_s155-processed-gene-1.73-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.73&CDS=1-4146	YOL004W
737	OG0000737	genemark-hib_s155-processed-gene-1.15-mRNA-1_1&gene=genemark-hib_s155-processed-gene-1.15&CDS=1-360	YOL005C
738	OG0000738	augustus_masked-hib_s155-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.112&CDS=1-1989	YMR001C
739	OG0000739	augustus_masked-hib_s155-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.95&CDS=1-2163	YOL006C
740	OG0000740	augustus_masked-hib_s155-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.114&CDS=1-435	YMR002W
741	OG0000741	maker-hib_s155-augustus-gene-1.123-mRNA-1_1&gene=maker-hib_s155-augustus-gene-1.123&CDS=1-6735	YLR419W
742	OG0000742	augustus_masked-hib_s155-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.101&CDS=1-1605	YDR145W
743	OG0000743	augustus_masked-hib_s155-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.116&CDS=1-1941	YLR127C
744	OG0000744	genemark-hib_s155-processed-gene-1.23-mRNA-1_1&gene=genemark-hib_s155-processed-gene-1.23&CDS=1-762	YLR128W
745	OG0000745	snap_masked-hib_s155-processed-gene-1.79-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-1.79&CDS=1-1404	YGR212W
746	OG0000746	augustus_masked-hib_s155-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.103&CDS=1-786	YOL142W
747	OG0000747	augustus_masked-hib_s155-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.104&CDS=1-2037	YOL141W
748	OG0000748	augustus_masked-hib_s155-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.119&CDS=1-1932	YIL046W
749	OG0000749	augustus_masked-hib_s155-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.106&CDS=1-1422	YGR211W
750	OG0000750	augustus_masked-hib_s155-processed-gene-1.120-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.120&CDS=1-6330	YGR217W
751	OG0000751	augustus_masked-hib_s155-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-1.107&CDS=1-300	YGR215W
752	OG0000752	augustus_masked-hib_s155-processed-gene-2.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.3&CDS=1-4263	YDL195W
753	OG0000753	augustus_masked-hib_s155-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.26&CDS=1-927	YGR017W
754	OG0000754	augustus_masked-hib_s155-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.7&CDS=1-1389	YLL002W
755	OG0000755	augustus_masked-hib_s155-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.28&CDS=1-1176	YLR191W
756	OG0000756	augustus_masked-hib_s155-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.11&CDS=1-894	YJL126W
757	OG0000757	augustus_masked-hib_s155-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.30&CDS=1-1446	YJL123C
758	OG0000758	augustus_masked-hib_s155-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.13&CDS=1-1866	YDR103W
759	OG0000759	genemark-hib_s155-processed-gene-2.118-mRNA-1_1&gene=genemark-hib_s155-processed-gene-2.118&CDS=1-4095	YDR104C
760	OG0000760	augustus_masked-hib_s155-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.14&CDS=1-2979	YGL241W
761	OG0000761	maker-hib_s155-augustus-gene-2.42-mRNA-1_1&gene=maker-hib_s155-augustus-gene-2.42&CDS=1-2163	YNL191W
762	OG0000762	augustus_masked-hib_s155-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.16&CDS=1-492	YJL096W
763	OG0000763	augustus_masked-hib_s155-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.35&CDS=1-1680	YNR030W
764	OG0000764	augustus_masked-hib_s155-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.18&CDS=1-1155	YNR029C
765	OG0000765	augustus_masked-hib_s155-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.19&CDS=1-1332	YJL054W
766	OG0000766	augustus_masked-hib_s155-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.20&CDS=1-1353	YOR375C
767	OG0000767	augustus_masked-hib_s155-processed-gene-2.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.21&CDS=1-783	YEL019C
768	OG0000768	genemark-hib_s155-processed-gene-2.123-mRNA-1_1&gene=genemark-hib_s155-processed-gene-2.123&CDS=1-813	YGL221C
769	OG0000769	augustus_masked-hib_s155-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.37&CDS=1-4311	YDL240W
770	OG0000770	augustus_masked-hib_s155-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.38&CDS=1-651	YNL038W
771	OG0000771	augustus_masked-hib_s155-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.39&CDS=1-1998	YNL039W
772	OG0000772	augustus_masked-hib_s155-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.24&CDS=1-1086	YNL035C
773	OG0000773	augustus_masked-hib_s155-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-2.25&CDS=1-2829	YNL021W
774	OG0000774	augustus_masked-hib_s155-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.3&CDS=1-1377	YNL022C
775	OG0000775	augustus_masked-hib_s155-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.7&CDS=1-1113	YIL094C
776	OG0000776	augustus_masked-hib_s155-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.4&CDS=1-681	YOR232W
777	OG0000777	maker-hib_s155-augustus-gene-3.2-mRNA-1_1&gene=maker-hib_s155-augustus-gene-3.2&CDS=1-2058	YBR123C
778	OG0000778	augustus_masked-hib_s155-processed-gene-3.29-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.29&CDS=1-1290	YHR004C
779	OG0000779	augustus_masked-hib_s155-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.12&CDS=1-1164	YJL203W
780	OG0000780	augustus_masked-hib_s155-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.32&CDS=1-1479	YBR182C
781	OG0000781	augustus_masked-hib_s155-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.13&CDS=1-7365	YPL085W
782	OG0000782	snap_masked-hib_s155-processed-gene-3.145-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-3.145&CDS=1-654	YMR069W
783	OG0000783	augustus_masked-hib_s155-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.34&CDS=1-894	YOR311C
784	OG0000784	augustus_masked-hib_s155-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.17&CDS=1-1455	YMR023C
785	OG0000785	augustus_masked-hib_s155-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.18&CDS=1-4074	YPR047W
786	OG0000786	augustus_masked-hib_s155-processed-gene-3.37-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.37&CDS=1-603	YKL041W
787	OG0000787	augustus_masked-hib_s155-processed-gene-3.38-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.38&CDS=1-1077	YBR087W
788	OG0000788	augustus_masked-hib_s155-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.39&CDS=1-561	YER042W
789	OG0000789	augustus_masked-hib_s155-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.42&CDS=1-615	YOR289W
790	OG0000790	augustus_masked-hib_s155-processed-gene-3.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.21&CDS=1-702	YMR134W
791	OG0000791	augustus_masked-hib_s155-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.45&CDS=1-2445	YGL027C
792	OG0000792	augustus_masked-hib_s155-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.23&CDS=1-1248	YOL058W
793	OG0000793	augustus_masked-hib_s155-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.48&CDS=1-1599	YER051W
794	OG0000794	augustus_masked-hib_s155-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.24&CDS=1-1221	YIL042C
795	OG0000795	augustus_masked-hib_s155-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-3.25&CDS=1-1845	YDL146W
796	OG0000796	augustus_masked-hib_s155-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.59&CDS=1-3567	YGR233C
797	OG0000797	augustus_masked-hib_s155-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.60&CDS=1-603	YDR002W
798	OG0000798	augustus_masked-hib_s155-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.61&CDS=1-3237	YGR218W
799	OG0000799	augustus_masked-hib_s155-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.63&CDS=1-1452	YBR003W
800	OG0000800	maker-hib_s155-augustus-gene-4.57-mRNA-1_1&gene=maker-hib_s155-augustus-gene-4.57&CDS=1-1488	YHR147C
801	OG0000801	augustus_masked-hib_s155-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.64&CDS=1-549	YHR148W
802	OG0000802	augustus_masked-hib_s155-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.87&CDS=1-357	YJL104W
803	OG0000803	augustus_masked-hib_s155-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.66&CDS=1-1998	YBR030W
804	OG0000804	augustus_masked-hib_s155-processed-gene-4.67-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.67&CDS=1-1869	YKR017C
805	OG0000805	augustus_masked-hib_s155-processed-gene-4.69-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.69&CDS=1-948	YKR030W
806	OG0000806	augustus_masked-hib_s155-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.89&CDS=1-669	YNL129W
807	OG0000807	snap_masked-hib_s155-processed-gene-4.14-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-4.14&CDS=1-798	YNL036W
808	OG0000808	augustus_masked-hib_s155-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.91&CDS=1-669	YJL055W
809	OG0000809	augustus_masked-hib_s155-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.73&CDS=1-795	YAL014C
810	OG0000810	augustus_masked-hib_s155-processed-gene-4.92-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.92&CDS=1-420	YJR044C
811	OG0000811	augustus_masked-hib_s155-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.74&CDS=1-1533	YOL033W
812	OG0000812	augustus_masked-hib_s155-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.95&CDS=1-3183	YOL034W
813	OG0000813	maker-hib_s155-augustus-gene-4.53-mRNA-1_1&gene=maker-hib_s155-augustus-gene-4.53&CDS=1-426	YGL106W
814	OG0000814	augustus_masked-hib_s155-processed-gene-4.96-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.96&CDS=1-1164	YNL001W
815	OG0000815	augustus_masked-hib_s155-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.97&CDS=1-1125	YGL105W
816	OG0000816	augustus_masked-hib_s155-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.80&CDS=1-447	YGL103W
817	OG0000817	maker-hib_s155-snap-gene-4.157-mRNA-1_1&gene=maker-hib_s155-snap-gene-4.157&CDS=1-1242	YGR029W
818	OG0000818	snap_masked-hib_s155-processed-gene-4.25-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-4.25&CDS=1-2697	YJL187C
819	OG0000819	snap_masked-hib_s155-processed-gene-4.49-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-4.49&CDS=1-3849	YER008C
820	OG0000820	augustus_masked-hib_s155-processed-gene-4.103-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.103&CDS=1-564	YBR171W
821	OG0000821	augustus_masked-hib_s155-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-4.105&CDS=1-717	YPL051W
822	OG0000822	augustus_masked-hib_s155-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.5&CDS=1-1401	YER081W
823	OG0000823	augustus_masked-hib_s155-processed-gene-5.6-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.6&CDS=1-2874	YIL075C
824	OG0000824	augustus_masked-hib_s155-processed-gene-5.10-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.10&CDS=1-1608	YER014W
825	OG0000825	augustus_masked-hib_s155-processed-gene-5.41-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.41&CDS=1-345	YIR009W
826	OG0000826	genemark-hib_s155-processed-gene-5.178-mRNA-1_1&gene=genemark-hib_s155-processed-gene-5.178&CDS=1-1197	YGL143C
827	OG0000827	augustus_masked-hib_s155-processed-gene-5.43-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.43&CDS=1-1365	YDR316W
828	OG0000828	augustus_masked-hib_s155-processed-gene-5.12-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.12&CDS=1-1275	YDL097C
829	OG0000829	augustus_masked-hib_s155-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.44&CDS=1-2349	YDL116W
830	OG0000830	augustus_masked-hib_s155-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.13&CDS=1-2070	YDL113C
831	OG0000831	augustus_masked-hib_s155-processed-gene-5.14-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.14&CDS=1-4209	YDL112W
832	OG0000832	augustus_masked-hib_s155-processed-gene-5.46-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.46&CDS=1-867	YDL111C
833	OG0000833	augustus_masked-hib_s155-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.18&CDS=1-1314	YDL090C
834	OG0000834	augustus_masked-hib_s155-processed-gene-5.48-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.48&CDS=1-375	YDL092W
835	OG0000835	augustus_masked-hib_s155-processed-gene-5.49-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.49&CDS=1-2607	YBR179C
836	OG0000836	augustus_masked-hib_s155-processed-gene-5.21-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.21&CDS=1-642	YIR032C
837	OG0000837	snap_masked-hib_s155-processed-gene-5.87-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-5.87&CDS=1-2595	YGL233W
838	OG0000838	augustus_masked-hib_s155-processed-gene-5.24-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.24&CDS=1-840	YMR314W
839	OG0000839	augustus_masked-hib_s155-processed-gene-5.25-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.25&CDS=1-828	YGL232W
840	OG0000840	augustus_masked-hib_s155-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.54&CDS=1-501	YGL231C
841	OG0000841	augustus_masked-hib_s155-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.27&CDS=1-1170	YPL138C
842	OG0000842	augustus_masked-hib_s155-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.55&CDS=1-1407	YDR403W
843	OG0000843	augustus_masked-hib_s155-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.28&CDS=1-3222	YDR060W
844	OG0000844	maker-hib_s155-augustus-gene-5.1-mRNA-1_1&gene=maker-hib_s155-augustus-gene-5.1&CDS=1-8187	YBL104C
845	OG0000845	augustus_masked-hib_s155-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-hib_s155-processed-gene-5.30&CDS=1-3894	YFL036W
