	OrthologID	Candida_sorboxylosa	Saccharomyces_cerevisiae
627	OG0000627	-processed-gene-2.145-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.145&CDS=1-3153	YKR082W
628	OG0000628	-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.62&CDS=1-669	YDR367W
629	OG0000629	-processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.28&CDS=1-1710	YOR118W
630	OG0000630	-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.64&CDS=1-1773	YDR365C
631	OG0000631	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.48&CDS=1-645	YHR110W
632	OG0000632	-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.49&CDS=1-1164	YHR111W
633	OG0000633	-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.66&CDS=1-1098	YHR112C
634	OG0000634	-processed-gene-0.9-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.9&CDS=1-2766	YML093W
635	OG0000635	-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.67&CDS=1-324	YDR382W
636	OG0000636	-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.51&CDS=1-906	YOR130C
637	OG0000637	-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.52&CDS=1-372	YDR381C-A
638	OG0000638	-augustus-gene-0.5-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-augustus-gene-0.5&CDS=1-672	YDR381W
639	OG0000639	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.73&CDS=1-1269	YMR028W
640	OG0000640	-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.75&CDS=1-1638	YML112W
641	OG0000641	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.56&CDS=1-459	YMR260C
642	OG0000642	-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.57&CDS=1-537	YJR014W
643	OG0000643	-processed-gene-0.19-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.19&CDS=1-1215	YPR140W
644	OG0000644	-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.78&CDS=1-5892	YJL005W
645	OG0000645	-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.80&CDS=1-3495	YLR383W
646	OG0000646	-augustus-gene-0.4-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-augustus-gene-0.4&CDS=1-3762	YLR382C
647	OG0000647	-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.82&CDS=1-960	YKL051W
648	OG0000648	-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.61&CDS=1-954	YJL180C
649	OG0000649	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.16&CDS=1-2073	YML097C
650	OG0000650	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.51&CDS=1-1197	YOL031C
651	OG0000651	-snap-gene-1.0-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-1.0&CDS=1-3810	YFL034W
652	OG0000652	-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.34&CDS=1-1779	YLR060W
653	OG0000653	-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.17&CDS=1-618	YFL005W
654	OG0000654	-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.35&CDS=1-6087	YCR081W
655	OG0000655	-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.18&CDS=1-885	YGR223C
656	OG0000656	-snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-1.1&CDS=1-3078	YLR051C
657	OG0000657	-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.20&CDS=1-2016	YPR141C
658	OG0000658	-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.21&CDS=1-1380	YKL021C
659	OG0000659	-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.41&CDS=1-1122	YIR034C
660	OG0000660	-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.22&CDS=1-2073	YKL022C
661	OG0000661	-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.23&CDS=1-1248	YGR210C
662	OG0000662	-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.24&CDS=1-696	YKR043C
663	OG0000663	-snap-gene-1.3-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-1.3&CDS=1-1107	YIL096C
664	OG0000664	-processed-gene-1.69-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.69&CDS=1-1134	YMR168C
665	OG0000665	-augustus-gene-1.9-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-augustus-gene-1.9&CDS=1-1848	YBR268W
666	OG0000666	-processed-gene-1.117-mRNA-1_1&gene=genemark-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.117&CDS=1-2403	YNR029C
667	OG0000667	-processed-gene-1.46-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.46&CDS=1-222	YGR105W
668	OG0000668	-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.48&CDS=1-744	YKL152C
669	OG0000669	-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-1.49&CDS=1-477	YGR082W
670	OG0000670	-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.56&CDS=1-3036	YER072W
671	OG0000671	-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.58&CDS=1-1191	YHR107C
672	OG0000672	-processed-gene-2.94-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.94&CDS=1-1101	YDR354W
673	OG0000673	-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.76&CDS=1-1026	YBL029W
674	OG0000674	-processed-gene-2.98-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.98&CDS=1-789	YFL031W
675	OG0000675	-processed-gene-2.99-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.99&CDS=1-2916	YBL008W
676	OG0000676	-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.77&CDS=1-558	YLR323C
677	OG0000677	-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.61&CDS=1-222	YLR325C
678	OG0000678	-processed-gene-2.122-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.122&CDS=1-1419	YGL202W
679	OG0000679	-snap-gene-2.9-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-2.9&CDS=1-1287	YDR523C
680	OG0000680	-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.80&CDS=1-1167	YFL030W
681	OG0000681	-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.64&CDS=1-852	YDL236W
682	OG0000682	-snap-gene-2.7-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-2.7&CDS=1-1740	YNL219C
683	OG0000683	-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.81&CDS=1-6615	YJL207C
684	OG0000684	-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.82&CDS=1-1488	YOR269W
685	OG0000685	-processed-gene-2.69-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.69&CDS=1-957	YOR158W
686	OG0000686	-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.83&CDS=1-894	YDL198C
687	OG0000687	-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.70&CDS=1-924	YHR142W
688	OG0000688	-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.84&CDS=1-4215	YGR274C
689	OG0000689	-processed-gene-2.113-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.113&CDS=1-1002	YOR251C
690	OG0000690	-processed-gene-2.85-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.85&CDS=1-5079	YAL053W
691	OG0000691	-processed-gene-2.117-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.117&CDS=1-2127	YGL073W
692	OG0000692	-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.88&CDS=1-1440	YFR044C
693	OG0000693	-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.75&CDS=1-1695	YPR145W
694	OG0000694	-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.89&CDS=1-1068	YAR003W
695	OG0000695	-processed-gene-3.44-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.44&CDS=1-1446	YDR120C
696	OG0000696	-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.10&CDS=1-891	YMR055C
697	OG0000697	-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.30&CDS=1-1536	YOR310C
698	OG0000698	-processed-gene-3.91-mRNA-1_1&gene=genemark-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.91&CDS=1-774	YOR278W
699	OG0000699	-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.31&CDS=1-3399	YMR218C
700	OG0000700	-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.32&CDS=1-348	YKL160W
701	OG0000701	-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.14&CDS=1-1056	YHR052W
702	OG0000702	-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.33&CDS=1-1941	YJL163C
703	OG0000703	-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.34&CDS=1-498	YJR012C
704	OG0000704	-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.18&CDS=1-357	YGL221C
705	OG0000705	-snap-gene-3.0-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-3.0&CDS=1-1143	YDL035C
706	OG0000706	-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.20&CDS=1-1566	YOL112W
707	OG0000707	-processed-gene-3.72-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.72&CDS=1-1629	YJL111W
708	OG0000708	-processed-gene-3.74-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.74&CDS=1-1065	YKR038C
709	OG0000709	-processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.76&CDS=1-3456	YDR325W
710	OG0000710	-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.22&CDS=1-3870	YML049C
711	OG0000711	-augustus-gene-3.5-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-augustus-gene-3.5&CDS=1-3033	YPR074C
712	OG0000712	-snap-gene-3.2-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-3.2&CDS=1-1029	YCR036W
713	OG0000713	-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.25&CDS=1-1926	YJL201W
714	OG0000714	-processed-gene-3.40-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.40&CDS=1-975	YJL208C
715	OG0000715	-processed-gene-4.56-mRNA-1_1&gene=genemark-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.56&CDS=1-636	YJR073C
716	OG0000716	-processed-gene-4.91-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.91&CDS=1-6666	YJL130C
717	OG0000717	-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.111&CDS=1-1482	YFL022C
718	OG0000718	-processed-gene-4.94-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.94&CDS=1-903	YBR085W
719	OG0000719	-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.95&CDS=1-708	YOR095C
720	OG0000720	-snap-gene-4.134-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-4.134&CDS=1-1749	YDL020C
721	OG0000721	-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.98&CDS=1-2097	YDR172W
722	OG0000722	-processed-gene-4.99-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.99&CDS=1-3864	YDR301W
723	OG0000723	-processed-gene-4.36-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.36&CDS=1-372	YER009W
724	OG0000724	-processed-gene-4.102-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.102&CDS=1-1641	YFR034C
725	OG0000725	-processed-gene-4.121-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.121&CDS=1-1326	YDL090C
726	OG0000726	-processed-gene-4.122-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.122&CDS=1-3690	YDR335W
727	OG0000727	-processed-gene-4.15-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.15&CDS=1-1302	YDR316W
728	OG0000728	-snap-gene-4.131-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-4.131&CDS=1-1992	YMR155W
729	OG0000729	-processed-gene-4.123-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.123&CDS=1-2754	YNL118C
730	OG0000730	-processed-gene-4.72-mRNA-1_1&gene=genemark-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.72&CDS=1-456	YHR069C
731	OG0000731	-processed-gene-4.44-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.44&CDS=1-1080	YLR151C
732	OG0000732	-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.108&CDS=1-1887	YBR200W
733	OG0000733	-processed-gene-4.109-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.109&CDS=1-4161	YLR086W
734	OG0000734	-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.127&CDS=1-2655	YBR003W
735	OG0000735	-processed-gene-4.24-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.24&CDS=1-228	YPL206C
736	OG0000736	-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.129&CDS=1-741	YGR033C
737	OG0000737	-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.69&CDS=1-2451	YER069W
738	OG0000738	-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.84&CDS=1-1581	YJL014W
739	OG0000739	-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.70&CDS=1-1092	YBR030W
740	OG0000740	-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.71&CDS=1-1635	YKR016W
741	OG0000741	-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.73&CDS=1-735	YPR016C
742	OG0000742	-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.74&CDS=1-5451	YLR305C
743	OG0000743	-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.88&CDS=1-1254	YDR148C
744	OG0000744	-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.89&CDS=1-1602	YNL138W
745	OG0000745	-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.75&CDS=1-2304	YNL059C
746	OG0000746	-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.90&CDS=1-1881	YNL061W
747	OG0000747	-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.76&CDS=1-1383	YNL062C
748	OG0000748	-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.91&CDS=1-2358	YNL137C
749	OG0000749	-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.77&CDS=1-6951	YFL025C
750	OG0000750	-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.78&CDS=1-831	YJR096W
751	OG0000751	-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.94&CDS=1-1179	YJL131C
752	OG0000752	-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.79&CDS=1-1770	YOR353C
753	OG0000753	-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.96&CDS=1-1626	YMR044W
754	OG0000754	-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.97&CDS=1-750	YAL049C
755	OG0000755	-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.80&CDS=1-789	YMR042W
756	OG0000756	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.98&CDS=1-744	YLR126C
757	OG0000757	-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.81&CDS=1-714	YBR035C
758	OG0000758	-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.52&CDS=1-1227	YCL016C
759	OG0000759	-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.49&CDS=1-1704	YBR096W
760	OG0000760	-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.70&CDS=1-1602	YKR023W
761	OG0000761	-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.71&CDS=1-2049	YJL106W
762	OG0000762	-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.55&CDS=1-1959	YBR204C
763	OG0000763	-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.56&CDS=1-471	YHR191C
764	OG0000764	-augustus-gene-1.5-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-augustus-gene-1.5&CDS=1-2253	YBL019W
765	OG0000765	-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.72&CDS=1-1755	YNL104C
766	OG0000766	-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.73&CDS=1-1683	YDL057W
767	OG0000767	-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.60&CDS=1-1074	YDL193W
768	OG0000768	-processed-gene-1.24-mRNA-1_1&gene=snap_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.24&CDS=1-1542	YDL190C
769	OG0000769	-snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-snap-gene-1.1&CDS=1-729	YDL189W
770	OG0000770	-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.64&CDS=1-1314	YDL131W
771	OG0000771	-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.66&CDS=1-360	YGR215W
772	OG0000772	-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.79&CDS=1-1923	YGR216C
773	OG0000773	-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.67&CDS=1-3453	YGR225W
774	OG0000774	-processed-gene-1.34-mRNA-1_1&gene=snap_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.34&CDS=1-945	YIR029W
775	OG0000775	-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.36&CDS=1-1053	YLR447C
776	OG0000776	-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.37&CDS=1-1176	YJR125C
777	OG0000777	-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.41&CDS=1-1269	YLR449W
778	OG0000778	-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.43&CDS=1-3024	YPR055W
779	OG0000779	-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.53&CDS=1-726	YJR056C
780	OG0000780	-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.47&CDS=1-3252	YMR240C
781	OG0000781	-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.58&CDS=1-1335	YKL004W
782	OG0000782	-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.49&CDS=1-921	YNL229C
783	OG0000783	-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.59&CDS=1-1359	YJL054W
784	OG0000784	-processed-gene-2.16-mRNA-1_1&gene=snap_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.16&CDS=1-2370	YKR029C
785	OG0000785	-snap-gene-2.93-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-snap-gene-2.93&CDS=1-9396	YLR106C
786	OG0000786	-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.62&CDS=1-975	YPL096W
787	OG0000787	-augustus-gene-2.35-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-augustus-gene-2.35&CDS=1-5166	YDL185W
788	OG0000788	-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.64&CDS=1-1389	YGL059W
789	OG0000789	-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.52&CDS=1-1428	YKL027W
790	OG0000790	-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.65&CDS=1-576	YGR147C
