	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041818_Magnusiomyces_tetrasperma
249	OG0000249	YNL301C, YOL120C	genemark-flattened_line_36-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.112&CDS=1-561, genemark-flattened_line_58-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.61&CDS=1-561
250	OG0000250	YNL302C, YOL121C	genemark-flattened_line_36-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.114&CDS=1-447, genemark-flattened_line_58-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.44&CDS=1-444
251	OG0000251	YNL322C	genemark-flattened_line_104-processed-gene-0.147-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.147&CDS=1-327, genemark-flattened_line_314-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_314-processed-gene-0.31&CDS=1-342, snap_masked-flattened_line_166-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_166-processed-gene-0.93&CDS=1-324
252	OG0000252	YOL055C, YPL258C, YPR121W	genemark-flattened_line_152-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.82&CDS=1-1656
253	OG0000253	YOR204W, YPL119C	genemark-flattened_line_379-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_379-processed-gene-0.5&CDS=1-1929, genemark-flattened_line_50-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.21&CDS=1-1899
254	OG0000254	YOR227W, YPL137C	augustus_masked-flattened_line_54-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-1.66&CDS=1-4104, genemark-flattened_line_70-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.141&CDS=1-4593
255	OG0000255	YOR234C, YPL143W	genemark-flattened_line_216-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.53&CDS=1-315, genemark-flattened_line_387-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_387-processed-gene-0.2&CDS=1-315
256	OG0000256	YOR237W, YPL145C	genemark-flattened_line_100-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.41&CDS=1-1356, genemark-flattened_line_116-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.35&CDS=1-1329
257	OG0000257	YPR013C, YPR015C	snap_masked-flattened_line_284-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_284-processed-gene-0.34&CDS=1-1587, snap_masked-flattened_line_300-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_300-processed-gene-0.37&CDS=1-1353
258	OG0000258	YPR194C	genemark-flattened_line_170-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.43&CDS=1-2568, genemark-flattened_line_20-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.13&CDS=1-2679, genemark-flattened_line_74-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.85&CDS=1-2550
259	OG0000259	YAL003W	genemark-flattened_line_44-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.80&CDS=1-660, genemark-flattened_line_48-processed-gene-1.58-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-1.58&CDS=1-642
260	OG0000260	YAL005C	genemark-flattened_line_184-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.42&CDS=1-1950, genemark-flattened_line_521-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_521-processed-gene-0.5&CDS=1-1950
261	OG0000261	YAL009W	genemark-flattened_line_356-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_356-processed-gene-0.30&CDS=1-1824, genemark-flattened_line_391-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_391-processed-gene-0.18&CDS=1-1356
262	OG0000262	YAL013W	genemark-flattened_line_274-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_274-processed-gene-0.27&CDS=1-2952, genemark-flattened_line_38-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.80&CDS=1-3006
263	OG0000263	YAL016W	genemark-flattened_line_162-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_162-processed-gene-0.16&CDS=1-2031, genemark-flattened_line_58-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-1.64&CDS=1-2022
264	OG0000264	YAL021C	genemark-flattened_line_24-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.124&CDS=1-2238, maker-flattened_line_74-snap-gene-0.53-mRNA-1_1&gene=maker-flattened_line_74-snap-gene-0.53&CDS=1-4293
265	OG0000265	YAL024C	genemark-flattened_line_12-processed-gene-1.84-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.84&CDS=1-7197, genemark-flattened_line_4-processed-gene-1.28-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.28&CDS=1-9909
266	OG0000266	YAL038W	genemark-flattened_line_134-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_134-processed-gene-0.78&CDS=1-1539, genemark-flattened_line_174-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_174-processed-gene-0.12&CDS=1-1542
267	OG0000267	YAL041W	genemark-flattened_line_112-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.35&CDS=1-2628, genemark-flattened_line_212-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.24&CDS=1-2694
268	OG0000268	YAL060W, YAL061W	genemark-flattened_line_6-processed-gene-2.107-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.107&CDS=1-1203
269	OG0000269	YAR002C-A, YGL002W	augustus_masked-flattened_line_250-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_250-processed-gene-0.37&CDS=1-654
270	OG0000270	YAR007C	augustus_masked-flattened_line_26-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.122&CDS=1-1827, genemark-flattened_line_18-processed-gene-2.20-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.20&CDS=1-1752
271	OG0000271	YAR014C	augustus_masked-flattened_line_20-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.93&CDS=1-1968, snap_masked-flattened_line_142-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_142-processed-gene-0.111&CDS=1-1815
272	OG0000272	YAR018C	genemark-flattened_line_110-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.61&CDS=1-3453, genemark-flattened_line_342-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_342-processed-gene-0.27&CDS=1-3105
273	OG0000273	YAR035W	genemark-flattened_line_56-processed-gene-1.28-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-1.28&CDS=1-2262, genemark-flattened_line_96-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.144&CDS=1-2223
274	OG0000274	YBL001C	genemark-flattened_line_114-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.85&CDS=1-327, genemark-flattened_line_362-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_362-processed-gene-0.22&CDS=1-315
275	OG0000275	YBL011W	genemark-flattened_line_276-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_276-processed-gene-0.15&CDS=1-2196, genemark-flattened_line_32-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.16&CDS=1-2115
276	OG0000276	YBL015W	genemark-flattened_line_128-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.23&CDS=1-1566, genemark-flattened_line_397-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_397-processed-gene-0.19&CDS=1-1566
277	OG0000277	YBL016W	genemark-flattened_line_16-processed-gene-2.130-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.130&CDS=1-1056, genemark-flattened_line_278-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_278-processed-gene-0.52&CDS=1-1056
278	OG0000278	YBL020W	genemark-flattened_line_120-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.112&CDS=1-2406, genemark-flattened_line_94-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.44&CDS=1-2952
279	OG0000279	YBL026W	genemark-flattened_line_262-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_262-processed-gene-0.15&CDS=1-303, genemark-flattened_line_78-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.61&CDS=1-303
280	OG0000280	YBL029C-A	genemark-flattened_line_112-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.38&CDS=1-405, genemark-flattened_line_212-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_212-processed-gene-0.28&CDS=1-387
281	OG0000281	YBL029W	genemark-flattened_line_340-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_340-processed-gene-0.14&CDS=1-1647, genemark-flattened_line_86-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.106&CDS=1-1713
282	OG0000282	YBL030C, YBR085W	genemark-flattened_line_26-processed-gene-1.167-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.167&CDS=1-894
283	OG0000283	YBL033C	genemark-flattened_line_218-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_218-processed-gene-0.9&CDS=1-1059, genemark-flattened_line_28-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.88&CDS=1-1020
284	OG0000284	YBL036C	genemark-flattened_line_12-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.131&CDS=1-834, genemark-flattened_line_8-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.77&CDS=1-966
285	OG0000285	YBL040C	genemark-flattened_line_118-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.105&CDS=1-642, snap_masked-flattened_line_76-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.63&CDS=1-642
286	OG0000286	YBL041W	genemark-flattened_line_118-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.128&CDS=1-726, genemark-flattened_line_76-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.99&CDS=1-726
287	OG0000287	YBL047C	genemark-flattened_line_170-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.54&CDS=1-5322, genemark-flattened_line_20-processed-gene-1.38-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.38&CDS=1-5757
288	OG0000288	YBL050W	genemark-flattened_line_116-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.25&CDS=1-876, snap_masked-flattened_line_100-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.143&CDS=1-876
289	OG0000289	YBL054W	genemark-flattened_line_22-processed-gene-1.169-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.169&CDS=1-1137, genemark-flattened_line_86-processed-gene-0.125-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.125&CDS=1-1035
290	OG0000290	YBL057C	genemark-flattened_line_110-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.67&CDS=1-627, genemark-flattened_line_42-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.57&CDS=1-906
291	OG0000291	YBL060W	genemark-flattened_line_96-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.108&CDS=1-10266, maker-flattened_line_56-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_56-augustus-gene-0.3&CDS=1-6783
292	OG0000292	YBL068W, YER099C	genemark-flattened_line_180-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_180-processed-gene-0.4&CDS=1-957
293	OG0000293	YBL071W-A	snap_masked-flattened_line_507-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_507-processed-gene-0.4&CDS=1-252, snap_masked-flattened_line_8-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.0&CDS=1-210
294	OG0000294	YBL079W, YER105C	genemark-flattened_line_410-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_410-processed-gene-0.16&CDS=1-4527
295	OG0000295	YBL091C-A, YER120W	genemark-flattened_line_184-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.69&CDS=1-540
296	OG0000296	YBL092W	genemark-flattened_line_405-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_405-processed-gene-0.7&CDS=1-393, genemark-flattened_line_72-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.26&CDS=1-393
297	OG0000297	YBL098W	genemark-flattened_line_0-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.77&CDS=1-1674, genemark-flattened_line_304-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_304-processed-gene-0.7&CDS=1-1644
298	OG0000298	YBL105C	augustus_masked-flattened_line_12-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.67&CDS=1-2543, augustus_masked-flattened_line_8-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.7&CDS=1-2442
299	OG0000299	YBR001C, YDR001C	augustus_masked-flattened_line_142-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.6&CDS=1-2031
300	OG0000300	YBR003W	genemark-flattened_line_36-processed-gene-1.152-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.152&CDS=1-1395, genemark-flattened_line_58-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-1.76&CDS=1-1389
301	OG0000301	YBR005W, YDR003W	snap_masked-flattened_line_924-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_924-processed-gene-0.2&CDS=1-528
302	OG0000302	YBR008C	genemark-flattened_line_2-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.34&CDS=1-1782, genemark-flattened_line_270-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_270-processed-gene-0.27&CDS=1-1755
303	OG0000303	YBR014C, YDL010W	genemark-flattened_line_346-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_346-processed-gene-0.25&CDS=1-711
304	OG0000304	YBR016W, YDL012C	snap_masked-flattened_line_38-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.116&CDS=1-378
305	OG0000305	YBR017C	genemark-flattened_line_142-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_142-processed-gene-0.60&CDS=1-2889, genemark-flattened_line_306-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_306-processed-gene-0.38&CDS=1-2724
306	OG0000306	YBR020W, YDR009W	genemark-flattened_line_6-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.60&CDS=1-1848
307	OG0000307	YBR029C	genemark-flattened_line_18-processed-gene-2.3-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.3&CDS=1-1329, genemark-flattened_line_26-processed-gene-1.169-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.169&CDS=1-1338
308	OG0000308	YBR031W, YDR012W	genemark-flattened_line_332-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_332-processed-gene-0.58&CDS=1-1053
309	OG0000309	YBR033W, YKL038W	snap_masked-flattened_line_348-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_348-processed-gene-0.29&CDS=1-3081
310	OG0000310	YBR035C	genemark-flattened_line_54-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.56&CDS=1-699, snap_masked-flattened_line_70-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.25&CDS=1-663
311	OG0000311	YBR038W	genemark-flattened_line_22-processed-gene-1.167-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.167&CDS=1-3054, genemark-flattened_line_86-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.124&CDS=1-3111
312	OG0000312	YBR043C	genemark-flattened_line_140-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.62&CDS=1-2088, maker-flattened_line_80-snap-gene-0.8-mRNA-1_1&gene=maker-flattened_line_80-snap-gene-0.8&CDS=1-1905
313	OG0000313	YBR049C, YDR026C	genemark-flattened_line_206-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_206-processed-gene-0.82&CDS=1-3519
314	OG0000314	YBR056W	genemark-flattened_line_170-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.55&CDS=1-1593, genemark-flattened_line_20-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.39&CDS=1-1614
315	OG0000315	YBR079C	genemark-flattened_line_2-processed-gene-3.106-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.106&CDS=1-2796, genemark-flattened_line_66-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.68&CDS=1-2802
316	OG0000316	YBR082C, YDR059C	maker-flattened_line_440-augustus-gene-0.14-mRNA-1_1&gene=maker-flattened_line_440-augustus-gene-0.14&CDS=1-1494
317	OG0000317	YBR102C	augustus_masked-flattened_line_130-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.109&CDS=1-2661, snap_masked-flattened_line_10-processed-gene-2.41-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.41&CDS=1-2376
318	OG0000318	YBR104W, YPR058W	genemark-flattened_line_190-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_190-processed-gene-0.0&CDS=1-921
319	OG0000319	YBR105C, YGR066C	genemark-flattened_line_122-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.43&CDS=1-1602
320	OG0000320	YBR106W	genemark-flattened_line_54-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.50&CDS=1-567, genemark-flattened_line_70-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.159&CDS=1-570
321	OG0000321	YBR111C	augustus_masked-flattened_line_80-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.69&CDS=1-603, genemark-flattened_line_82-processed-gene-0.145-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.145&CDS=1-615
322	OG0000322	YBR112C	genemark-flattened_line_10-processed-gene-2.79-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.79&CDS=1-2115, genemark-flattened_line_152-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.99&CDS=1-4386
323	OG0000323	YBR118W, YPR080W	augustus_masked-flattened_line_930-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_930-processed-gene-0.1&CDS=1-1302
324	OG0000324	YBR121C	genemark-flattened_line_208-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.69&CDS=1-1956, genemark-flattened_line_517-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_517-processed-gene-0.4&CDS=1-1956
325	OG0000325	YBR122C	genemark-flattened_line_208-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_208-processed-gene-0.70&CDS=1-525, genemark-flattened_line_517-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_517-processed-gene-0.2&CDS=1-534
326	OG0000326	YBR133C	maker-flattened_line_12-snap-gene-0.30-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.30&CDS=1-3033, maker-flattened_line_4-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.33&CDS=1-2643
327	OG0000327	YBR135W	genemark-flattened_line_12-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.86&CDS=1-336, genemark-flattened_line_4-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.43&CDS=1-342
328	OG0000328	YBR137W	genemark-flattened_line_190-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_190-processed-gene-0.4&CDS=1-705, genemark-flattened_line_206-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_206-processed-gene-0.91&CDS=1-702
329	OG0000329	YBR138C	snap_masked-flattened_line_156-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.15&CDS=1-2124, snap_masked-flattened_line_164-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.29&CDS=1-3231
330	OG0000330	YBR147W, YOL092W	genemark-flattened_line_122-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.32&CDS=1-1077
331	OG0000331	YBR153W	augustus_masked-flattened_line_118-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.62&CDS=1-1092, genemark-flattened_line_76-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.129&CDS=1-1023
332	OG0000332	YBR156C	genemark-flattened_line_36-processed-gene-1.140-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.140&CDS=1-4185, genemark-flattened_line_58-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.47&CDS=1-3822
333	OG0000333	YBR161W, YPL057C	genemark-flattened_line_38-processed-gene-1.27-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.27&CDS=1-2103
334	OG0000334	YBR162C	genemark-flattened_line_104-processed-gene-0.132-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.132&CDS=1-1512, genemark-flattened_line_122-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.13&CDS=1-1536
335	OG0000335	YBR169C	genemark-flattened_line_244-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_244-processed-gene-0.28&CDS=1-2070, genemark-flattened_line_250-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_250-processed-gene-0.85&CDS=1-2082
336	OG0000336	YBR172C, YPL105C	snap_masked-flattened_line_122-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.105&CDS=1-4338
337	OG0000337	YBR176W	genemark-flattened_line_230-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_230-processed-gene-0.46&CDS=1-1122, snap_masked-flattened_line_0-processed-gene-2.42-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.42&CDS=1-939
338	OG0000338	YBR179C	genemark-flattened_line_32-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.13&CDS=1-2664, snap_masked-flattened_line_66-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.129&CDS=1-2361
339	OG0000339	YBR187W	genemark-flattened_line_14-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.99&CDS=1-1470, genemark-flattened_line_144-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.46&CDS=1-1557
340	OG0000340	YBR192W	genemark-flattened_line_14-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.88&CDS=1-1182, genemark-flattened_line_144-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.34&CDS=1-1140
341	OG0000341	YBR195C	snap_masked-flattened_line_162-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_162-processed-gene-0.100&CDS=1-1551, snap_masked-flattened_line_58-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-1.29&CDS=1-1551
342	OG0000342	YBR198C	genemark-flattened_line_204-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_204-processed-gene-0.1&CDS=1-2856, genemark-flattened_line_407-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_407-processed-gene-0.22&CDS=1-2622
343	OG0000343	YBR199W	genemark-flattened_line_100-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.43&CDS=1-1209, snap_masked-flattened_line_114-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.26&CDS=1-1266
344	OG0000344	YBR200W	maker-flattened_line_18-snap-gene-1.86-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.86&CDS=1-1935, maker-flattened_line_26-snap-gene-1.1-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.1&CDS=1-2337
345	OG0000345	YBR201W	genemark-flattened_line_36-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.110&CDS=1-987, genemark-flattened_line_58-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.42&CDS=1-1569
346	OG0000346	YBR216C, YGL060W	augustus_masked-flattened_line_154-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.58&CDS=1-2409
347	OG0000347	YBR225W	genemark-flattened_line_118-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.108&CDS=1-3054, snap_masked-flattened_line_76-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.60&CDS=1-2355
348	OG0000348	YBR234C	genemark-flattened_line_132-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.31&CDS=1-1098, genemark-flattened_line_98-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.84&CDS=1-1098
349	OG0000349	YBR241C, YGL104C	snap_masked-flattened_line_178-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_178-processed-gene-0.115&CDS=1-1407
350	OG0000350	YBR242W, YGL101W	genemark-flattened_line_218-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_218-processed-gene-0.27&CDS=1-1452
351	OG0000351	YBR270C, YJL058C	genemark-flattened_line_48-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-1.76&CDS=1-1857
352	OG0000352	YBR273C, YJL048C	snap_masked-flattened_line_254-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_254-processed-gene-0.3&CDS=1-2133
353	OG0000353	YBR276C	genemark-flattened_line_168-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.65&CDS=1-3171, genemark-flattened_line_68-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.82&CDS=1-3249
