	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034667_Blastobotrys_serpentis
203	OG0000203	YDR326C, YHR080C	snap_masked-flattened_line_0-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.77&CDS=1-2610
204	OG0000204	YDR348C, YHR097C	genemark-flattened_line_106-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.120&CDS=1-1275
205	OG0000205	YDR358W, YHR108W	snap_masked-flattened_line_62-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.149&CDS=1-1695
206	OG0000206	YDR368W, YOR120W	snap_masked-flattened_line_24-processed-gene-1.176-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.176&CDS=1-918
207	OG0000207	YDR385W, YOR133W	snap_masked-flattened_line_72-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.115&CDS=1-2502
208	OG0000208	YDR387C	snap_masked-flattened_line_30-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.58&CDS=1-1539, snap_masked-flattened_line_70-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.34&CDS=1-1392
209	OG0000209	YDR406W, YOR153W	maker-flattened_line_14-snap-gene-1.164-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.164&CDS=1-4407
210	OG0000210	YDR409W, YOR156C	augustus_masked-flattened_line_146-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.27&CDS=1-2373
211	OG0000211	YDR418W, YEL054C	snap_masked-flattened_line_42-processed-gene-1.188-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.188&CDS=1-489
212	OG0000212	YDR447C, YML024W	snap_masked-flattened_line_146-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.71&CDS=1-417
213	OG0000213	YDR450W, YML026C	genemark-flattened_line_108-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_108-processed-gene-0.37&CDS=1-444
214	OG0000214	YDR451C, YML027W	genemark-flattened_line_165-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_165-processed-gene-0.14&CDS=1-744
215	OG0000215	YDR453C, YML028W	genemark-flattened_line_0-processed-gene-5.247-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.247&CDS=1-579
216	OG0000216	YDR458C, YML034W	genemark-flattened_line_6-processed-gene-2.35-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.35&CDS=1-2511
217	OG0000217	YDR463W, YHR006W	genemark-flattened_line_20-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.11&CDS=1-1134
218	OG0000218	YDR500C, YLR185W	snap_masked-flattened_line_34-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.84&CDS=1-264
219	OG0000219	YDR501W, YLR183C	maker-flattened_line_34-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.5&CDS=1-1428
220	OG0000220	YDR505C, YLR177W	snap_masked-flattened_line_165-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.46&CDS=1-1659
221	OG0000221	YEL006W, YIL006W	snap_masked-flattened_line_128-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.25&CDS=1-1083
222	OG0000222	YEL022W, YJR031C	maker-flattened_line_159-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_159-snap-gene-0.2&CDS=1-4314
223	OG0000223	YEL041W, YJR049C	snap_masked-flattened_line_34-processed-gene-1.80-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.80&CDS=1-1257
224	OG0000224	YEL046C	snap_masked-flattened_line_30-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.105&CDS=1-1083, snap_masked-flattened_line_32-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.23&CDS=1-1104
225	OG0000225	YEL047C, YJR051W	snap_masked-flattened_line_2-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.40&CDS=1-1266
226	OG0000226	YEL056W	augustus_masked-flattened_line_66-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.134&CDS=1-1392, genemark-flattened_line_4-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.50&CDS=1-1185
227	OG0000227	YEL066W, YPR193C	snap_masked-flattened_line_2-processed-gene-1.28-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.28&CDS=1-450
228	OG0000228	YER015W	snap_masked-flattened_line_42-processed-gene-1.202-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.202&CDS=1-2205, snap_masked-flattened_line_6-processed-gene-2.69-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.69&CDS=1-2190
229	OG0000229	YER027C, YGL208W	snap_masked-flattened_line_38-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.17&CDS=1-1158
230	OG0000230	YER031C, YGL210W	snap_masked-flattened_line_38-processed-gene-1.41-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.41&CDS=1-630
231	OG0000231	YER053C	maker-flattened_line_72-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_72-snap-gene-0.0&CDS=1-1059, snap_masked-flattened_line_18-processed-gene-1.130-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.130&CDS=1-996
232	OG0000232	YER054C, YIL045W	snap_masked-flattened_line_6-processed-gene-2.102-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.102&CDS=1-1494
233	OG0000233	YER056C-A, YIL052C	snap_masked-flattened_line_6-processed-gene-3.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.17&CDS=1-348
234	OG0000234	YER057C, YIL051C	snap_masked-flattened_line_2-processed-gene-3.49-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.49&CDS=1-387
235	OG0000235	YER062C, YIL053W	snap_masked-flattened_line_8-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.17&CDS=1-684
236	OG0000236	YER064C, YIL056W	snap_masked-flattened_line_118-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.11&CDS=1-1158
237	OG0000237	YER066W, YFL009W	snap_masked-flattened_line_265-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_265-processed-gene-0.1&CDS=1-2226
238	OG0000238	YER074W, YIL069C	genemark-flattened_line_66-processed-gene-0.225-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.225&CDS=1-405
239	OG0000239	YER131W, YGL189C	snap_masked-flattened_line_8-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.128&CDS=1-363
240	OG0000240	YER166W	maker-flattened_line_194-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_194-augustus-gene-0.8&CDS=1-4128, snap_masked-flattened_line_0-processed-gene-2.22-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.22&CDS=1-4983
241	OG0000241	YFL004W, YPL019C	snap_masked-flattened_line_24-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.54&CDS=1-2091
242	OG0000242	YFL025C	maker-flattened_line_36-snap-gene-1.4-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.4&CDS=1-3609, snap_masked-flattened_line_8-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.3&CDS=1-2787
243	OG0000243	YFL034C-A, YLR061W	genemark-flattened_line_28-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.10&CDS=1-372
244	OG0000244	YFL050C, YOL130W	snap_masked-flattened_line_12-processed-gene-2.1-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.1&CDS=1-1944
245	OG0000245	YFL061W, YNL335W	snap_masked-flattened_line_4-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.70&CDS=1-681
246	OG0000246	YFR007W	snap_masked-flattened_line_2-processed-gene-3.44-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.44&CDS=1-681, snap_masked-flattened_line_4-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.149&CDS=1-813
247	OG0000247	YFR014C, YOL016C	snap_masked-flattened_line_108-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.92&CDS=1-1158
248	OG0000248	YFR022W, YOR018W	snap_masked-flattened_line_14-processed-gene-2.93-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.93&CDS=1-1965
249	OG0000249	YFR031C-A, YIL018W	snap_masked-flattened_line_50-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.21&CDS=1-759
250	OG0000250	YGL014W, YGL178W	snap_masked-flattened_line_122-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_122-processed-gene-0.60&CDS=1-2358
251	OG0000251	YGL049C, YGR162W	snap_masked-flattened_line_6-processed-gene-3.41-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.41&CDS=1-2856
252	OG0000252	YGL066W	augustus_masked-flattened_line_122-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.20&CDS=1-1131, snap_masked-flattened_line_88-processed-gene-0.114-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.114&CDS=1-1209
253	OG0000253	YGL076C, YPL198W	snap_masked-flattened_line_24-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.57&CDS=1-750
254	OG0000254	YGL082W, YPL191C	snap_masked-flattened_line_24-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.58&CDS=1-1029
255	OG0000255	YGL133W, YPL216W	maker-flattened_line_4-augustus-gene-2.4-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-2.4&CDS=1-3462
256	OG0000256	YGL135W, YPL220W	snap_masked-flattened_line_4-processed-gene-2.145-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.145&CDS=1-648
257	OG0000257	YGL147C, YNL067W	snap_masked-flattened_line_64-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.65&CDS=1-567
258	OG0000258	YGL156W	maker-flattened_line_122-snap-gene-0.84-mRNA-1_1&gene=maker-flattened_line_122-snap-gene-0.84&CDS=1-3321, maker-flattened_line_74-snap-gene-0.139-mRNA-1_1&gene=maker-flattened_line_74-snap-gene-0.139&CDS=1-3249
259	OG0000259	YGR008C, YLR327C	snap_masked-flattened_line_4-processed-gene-3.126-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.126&CDS=1-285
260	OG0000260	YGR027C, YLR333C	snap_masked-flattened_line_6-processed-gene-3.73-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.73&CDS=1-321
261	OG0000261	YGR034W, YLR344W	snap_masked-flattened_line_92-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.1&CDS=1-381
262	OG0000262	YGR038W, YLR350W	maker-flattened_line_34-snap-gene-1.9-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-1.9&CDS=1-594
263	OG0000263	YGR044C	genemark-flattened_line_30-processed-gene-1.165-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.165&CDS=1-1725, snap_masked-flattened_line_66-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.8&CDS=1-927
264	OG0000264	YGR056W, YLR357W	snap_masked-flattened_line_56-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.125&CDS=1-2304
265	OG0000265	YGR070W, YLR371W	maker-flattened_line_36-snap-gene-1.7-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-1.7&CDS=1-3918
266	OG0000266	YGR085C, YPR102C	snap_masked-flattened_line_10-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.45&CDS=1-540
267	OG0000267	YGR092W, YPR111W	augustus_masked-flattened_line_4-processed-gene-3.263-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.263&CDS=1-1686
268	OG0000268	YGR108W, YPR119W	snap_masked-flattened_line_2-processed-gene-3.63-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.63&CDS=1-1395
269	OG0000269	YGR110W	genemark-flattened_line_40-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.105&CDS=1-3981, snap_masked-flattened_line_98-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.68&CDS=1-1215
270	OG0000270	YGR118W, YPR132W	snap_masked-flattened_line_42-processed-gene-1.175-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.175&CDS=1-435
271	OG0000271	YGR121C, YPR138C	snap_masked-flattened_line_8-processed-gene-2.219-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.219&CDS=1-1500
272	OG0000272	YGR131W, YPR149W	snap_masked-flattened_line_8-processed-gene-2.122-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.122&CDS=1-516
273	OG0000273	YGR136W, YPR154W	snap_masked-flattened_line_8-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.125&CDS=1-801
274	OG0000274	YGR138C, YPR156C	snap_masked-flattened_line_24-processed-gene-1.163-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.163&CDS=1-1584
275	OG0000275	YGR141W, YPR157W	snap_masked-flattened_line_76-processed-gene-0.174-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.174&CDS=1-1206
276	OG0000276	YGR209C, YLR043C	augustus_masked-flattened_line_50-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.132&CDS=1-510
277	OG0000277	YGR214W, YLR048W	snap_masked-flattened_line_68-processed-gene-0.219-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.219&CDS=1-801
278	OG0000278	YGR238C, YHR158C	maker-flattened_line_192-snap-gene-0.10-mRNA-1_1&gene=maker-flattened_line_192-snap-gene-0.10&CDS=1-3912
279	OG0000279	YGR241C, YHR161C	snap_masked-flattened_line_46-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.54&CDS=1-1854
280	OG0000280	YGR243W, YHR162W	maker-flattened_line_10-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.47&CDS=1-405
281	OG0000281	YGR248W, YHR163W	snap_masked-flattened_line_6-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.157&CDS=1-747
282	OG0000282	YGR260W	genemark-flattened_line_74-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.183&CDS=1-1398, snap_masked-flattened_line_106-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.22&CDS=1-1440
283	OG0000283	YGR263C	snap_masked-flattened_line_120-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.6&CDS=1-1041, snap_masked-flattened_line_14-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.80&CDS=1-1005
284	OG0000284	YGR273C, YMR295C	snap_masked-flattened_line_26-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.25&CDS=1-519
285	OG0000285	YGR279C, YMR305C	snap_masked-flattened_line_56-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.84&CDS=1-1092
286	OG0000286	YHL001W, YKL006W	genemark-flattened_line_60-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.64&CDS=1-414
287	OG0000287	YHL003C, YKL008C	snap_masked-flattened_line_76-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.156&CDS=1-1278
288	OG0000288	YHL009W-B, YJL113W, YPL060C-A	
289	OG0000289	YHL017W, YKL039W	snap_masked-flattened_line_2-processed-gene-4.176-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.176&CDS=1-1683
290	OG0000290	YHL033C, YLL045C	snap_masked-flattened_line_134-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.81&CDS=1-786
291	OG0000291	YHL034C, YLL046C	snap_masked-flattened_line_50-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.20&CDS=1-951
292	OG0000292	YHL039W, YPL208W	snap_masked-flattened_line_28-processed-gene-1.227-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.227&CDS=1-1560
293	OG0000293	YHR001W, YKR003W	snap_masked-flattened_line_28-processed-gene-1.231-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.231&CDS=1-1383
294	OG0000294	YHR021C, YKL156W	genemark-flattened_line_24-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.104&CDS=1-246
295	OG0000295	YHR032W	snap_masked-flattened_line_14-processed-gene-2.90-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.90&CDS=1-1692, snap_masked-flattened_line_64-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.14&CDS=1-1416
296	OG0000296	YHR047C, YKL157W	snap_masked-flattened_line_28-processed-gene-1.165-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.165&CDS=1-2589
297	OG0000297	YHR072W	snap_masked-flattened_line_0-processed-gene-4.19-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.19&CDS=1-2181, snap_masked-flattened_line_130-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_130-processed-gene-0.46&CDS=1-2181
298	OG0000298	YHR101C	snap_masked-flattened_line_62-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.130&CDS=1-996, snap_masked-flattened_line_66-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.65&CDS=1-873
299	OG0000299	YHR112C	snap_masked-flattened_line_138-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.78&CDS=1-1125, snap_masked-flattened_line_146-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.67&CDS=1-1104
300	OG0000300	YHR115C, YNL116W	snap_masked-flattened_line_0-processed-gene-3.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.41&CDS=1-1029
301	OG0000301	YHR117W, YNL121C	snap_masked-flattened_line_78-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.98&CDS=1-1824
302	OG0000302	YHR123W, YNL130C	maker-flattened_line_150-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_150-snap-gene-0.1&CDS=1-1188
303	OG0000303	YHR131C, YNL144C	snap_masked-flattened_line_12-processed-gene-2.88-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.88&CDS=1-1338
304	OG0000304	YHR133C, YNL156C	snap_masked-flattened_line_84-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.2&CDS=1-900
305	OG0000305	YHR141C, YNL162W	genemark-flattened_line_116-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.9&CDS=1-318
306	OG0000306	YHR146W, YNL173C	snap_masked-flattened_line_108-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.72&CDS=1-207
307	OG0000307	YHR155W, YNL257C	snap_masked-flattened_line_64-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.61&CDS=1-3954
308	OG0000308	YHR177W	snap_masked-flattened_line_355-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_355-processed-gene-0.0&CDS=1-999, snap_masked-flattened_line_50-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.53&CDS=1-1161
309	OG0000309	YHR194W	augustus_masked-flattened_line_102-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.44&CDS=1-3405, snap_masked-flattened_line_18-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.111&CDS=1-1791
310	OG0000310	YHR198C, YHR199C	snap_masked-flattened_line_80-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.54&CDS=1-888
311	OG0000311	YHR203C, YJR145C	genemark-flattened_line_112-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.19&CDS=1-780
312	OG0000312	YHR210C, YNR071C	snap_masked-flattened_line_30-processed-gene-1.121-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.121&CDS=1-1035
313	OG0000313	YIL005W	snap_masked-flattened_line_46-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.82&CDS=1-1941, snap_masked-flattened_line_62-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.153&CDS=1-525
314	OG0000314	YIL033C	snap_masked-flattened_line_30-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.62&CDS=1-1164, snap_masked-flattened_line_36-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.13&CDS=1-1161
315	OG0000315	YIL072W	augustus_masked-flattened_line_38-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.28&CDS=1-981, snap_masked-flattened_line_60-processed-gene-0.197-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.197&CDS=1-1461
316	OG0000316	YIL085C, YNL029C	snap_masked-flattened_line_6-processed-gene-1.159-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.159&CDS=1-1470
317	OG0000317	YIL101C	augustus_masked-flattened_line_80-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.149&CDS=1-864, maker-flattened_line_6-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-0.1&CDS=1-1236
318	OG0000318	YIL105C, YNL047C	snap_masked-flattened_line_44-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.76&CDS=1-2187
319	OG0000319	YIL111W, YNL052W	snap_masked-flattened_line_0-processed-gene-5.151-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.151&CDS=1-498
320	OG0000320	YIL118W	snap_masked-flattened_line_158-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.1&CDS=1-633, snap_masked-flattened_line_158-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.16&CDS=1-633
321	OG0000321	YIL126W	snap_masked-flattened_line_24-processed-gene-1.234-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.234&CDS=1-4527, snap_masked-flattened_line_98-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.83&CDS=1-3840
322	OG0000322	YIL131C, YNL068C	snap_masked-flattened_line_0-processed-gene-4.47-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.47&CDS=1-2355
323	OG0000323	YIL149C, YKR095W	maker-flattened_line_80-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_80-snap-gene-0.5&CDS=1-6030
324	OG0000324	YIL151C, YKR096W	snap_masked-flattened_line_26-processed-gene-1.69-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.69&CDS=1-2340
325	OG0000325	YIL154C	maker-flattened_line_44-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.7&CDS=1-756, snap_masked-flattened_line_0-processed-gene-4.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.36&CDS=1-1449
326	OG0000326	YIR007W	snap_masked-flattened_line_0-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.52&CDS=1-2043, snap_masked-flattened_line_44-processed-gene-1.3-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-1.3&CDS=1-2091
327	OG0000327	YIR013C, YLR013W	snap_masked-flattened_line_279-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_279-processed-gene-0.2&CDS=1-1329
328	OG0000328	YIR031C, YNL117W	snap_masked-flattened_line_42-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.67&CDS=1-1641
329	OG0000329	YIR035C, YIR036C	maker-flattened_line_110-snap-gene-0.121-mRNA-1_1&gene=maker-flattened_line_110-snap-gene-0.121&CDS=1-1188
330	OG0000330	YJL076W, YKR010C	snap_masked-flattened_line_18-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.119&CDS=1-2616
331	OG0000331	YJL079C, YKR013W	snap_masked-flattened_line_16-processed-gene-1.254-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.254&CDS=1-774
332	OG0000332	YJL082W, YKR018C	augustus_masked-flattened_line_54-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.89&CDS=1-3780
333	OG0000333	YJL084C, YKR021W	snap_masked-flattened_line_4-processed-gene-3.122-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.122&CDS=1-1938
334	OG0000334	YJL098W, YKR028W	snap_masked-flattened_line_36-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.39&CDS=1-2397
335	OG0000335	YJL105W, YKR029C	snap_masked-flattened_line_2-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.5&CDS=1-2118
336	OG0000336	YJL127C	snap_masked-flattened_line_74-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.39&CDS=1-603, snap_masked-flattened_line_74-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.9&CDS=1-1752
337	OG0000337	YJL133W, YKR052C	snap_masked-flattened_line_78-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.85&CDS=1-984
338	OG0000338	YJL134W, YKR053C	snap_masked-flattened_line_4-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.127&CDS=1-1587
339	OG0000339	YJL136C, YKR057W	snap_masked-flattened_line_142-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_142-processed-gene-0.1&CDS=1-261
340	OG0000340	YJL137C, YKR058W	snap_masked-flattened_line_28-processed-gene-1.224-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.224&CDS=1-1857
341	OG0000341	YJL138C, YKR059W	snap_masked-flattened_line_154-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.6&CDS=1-1185
