	OrthologID	Kazachstania_naganishii	Saccharomyces_cerevisiae
820	OG0000820	augustus_masked-HE978315-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-0.35&CDS=1-2010	YGL236C
821	OG0000821	augustus_masked-HE978315-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-0.13&CDS=1-5754	YGL234W
822	OG0000822	snap_masked-HE978315-processed-gene-0.98-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.98&CDS=1-1665	YGL228W
823	OG0000823	genemark-HE978315-processed-gene-0.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.55&CDS=1-2313	YGL227W
824	OG0000824	genemark-HE978315-processed-gene-0.78-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.78&CDS=1-267	YGL226C-A
825	OG0000825	snap_masked-HE978315-processed-gene-0.100-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.100&CDS=1-477	YGL226W
826	OG0000826	genemark-HE978315-processed-gene-0.57-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.57&CDS=1-1008	YGL225W
827	OG0000827	snap_masked-HE978315-processed-gene-0.102-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.102&CDS=1-1857	YER036C
828	OG0000828	genemark-HE978315-processed-gene-0.82-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.82&CDS=1-885	YGL221C
829	OG0000829	genemark-HE978315-processed-gene-0.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.59&CDS=1-1755	YGR255C
830	OG0000830	genemark-HE978315-processed-gene-0.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.83&CDS=1-1527	YGL219C
831	OG0000831	genemark-HE978315-processed-gene-0.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.60&CDS=1-2169	YGL216W
832	OG0000832	augustus_masked-HE978315-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.93&CDS=1-1503	YGL215W
833	OG0000833	genemark-HE978315-processed-gene-1.53-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.53&CDS=1-1185	YGL213C
834	OG0000834	augustus_masked-HE978315-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.94&CDS=1-1047	YGL212W
835	OG0000835	maker-HE978315-augustus-gene-1.137-mRNA-1_1&gene=maker-HE978315-augustus-gene-1.137&CDS=1-1773	YGL211W
836	OG0000836	genemark-HE978315-processed-gene-1.52-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.52&CDS=1-3099	YGL207W
837	OG0000837	genemark-HE978315-processed-gene-1.69-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.69&CDS=1-4959	YGL206C
838	OG0000838	augustus_masked-HE978315-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.99&CDS=1-2991	YGL205W
839	OG0000839	genemark-HE978315-processed-gene-1.70-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.70&CDS=1-2112	YGL203C
840	OG0000840	genemark-HE978315-processed-gene-1.56-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.56&CDS=1-1488	YGL202W
841	OG0000841	genemark-HE978315-processed-gene-1.71-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.71&CDS=1-3048	YGL201C
842	OG0000842	snap_masked-HE978315-processed-gene-1.25-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.25&CDS=1-1212	YGR142W
843	OG0000843	genemark-HE978315-processed-gene-1.74-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.74&CDS=1-1368	YGR141W
844	OG0000844	snap_masked-HE978315-processed-gene-1.27-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.27&CDS=1-2562	YGR140W
845	OG0000845	genemark-HE978315-processed-gene-1.77-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.77&CDS=1-777	YGR135W
846	OG0000846	augustus_masked-HE978315-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.119&CDS=1-3114	YGR134W
847	OG0000847	genemark-HE978315-processed-gene-1.79-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.79&CDS=1-459	YGR133W
848	OG0000848	genemark-HE978315-processed-gene-1.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.59&CDS=1-852	YGR132C
849	OG0000849	snap_masked-HE978315-processed-gene-1.33-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.33&CDS=1-621	YGR129W
850	OG0000850	augustus_masked-HE978315-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.105&CDS=1-1821	YGR128C
851	OG0000851	genemark-HE978315-processed-gene-1.82-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.82&CDS=1-939	YGR127W
852	OG0000852	genemark-HE978315-processed-gene-1.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.83&CDS=1-675	YGR126W
853	OG0000853	augustus_masked-HE978315-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.125&CDS=1-3258	YGR125W
854	OG0000854	augustus_masked-HE978315-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.126&CDS=1-1245	YGR122W
855	OG0000855	genemark-HE978315-processed-gene-1.62-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.62&CDS=1-789	YGR120C
856	OG0000856	augustus_masked-HE978315-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.107&CDS=1-1086	YGR117C
857	OG0000857	genemark-HE978315-processed-gene-1.87-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.87&CDS=1-1080	YPR129W
858	OG0000858	augustus_masked-HE978315-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.129&CDS=1-1086	YGR113W
859	OG0000859	augustus_masked-HE978315-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.130&CDS=1-2295	YGR112W
860	OG0000860	genemark-HE978315-processed-gene-1.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.64&CDS=1-1254	YGR110W
861	OG0000861	snap_masked-HE978315-processed-gene-1.18-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.18&CDS=1-816	YGR106C
862	OG0000862	snap_masked-HE978315-processed-gene-1.44-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-1.44&CDS=1-225	YGR105W
863	OG0000863	genemark-HE978315-processed-gene-1.67-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.67&CDS=1-822	YGR104C
864	OG0000864	genemark-HE978315-processed-gene-1.92-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.92&CDS=1-1815	YGR103W
865	OG0000865	augustus_masked-HE978315-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-1.111&CDS=1-516	YGR102C
866	OG0000866	snap_masked-HE978315-processed-gene-2.6-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.6&CDS=1-393	YGR101W
867	OG0000867	genemark-HE978315-processed-gene-2.102-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.102&CDS=1-2892	YGR100W
868	OG0000868	augustus_masked-HE978315-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.55&CDS=1-2121	YGR099W
869	OG0000869	genemark-HE978315-processed-gene-2.101-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.101&CDS=1-1542	YGR098C
870	OG0000870	snap_masked-HE978315-processed-gene-2.9-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.9&CDS=1-3276	YGR097W
871	OG0000871	maker-HE978315-augustus-gene-2.3-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.3&CDS=1-981	YGR096W
872	OG0000872	genemark-HE978315-processed-gene-2.105-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.105&CDS=1-666	YGR095C
873	OG0000873	genemark-HE978315-processed-gene-2.130-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.130&CDS=1-1749	YGR092W
874	OG0000874	genemark-HE978315-processed-gene-2.131-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.131&CDS=1-1476	YGR091W
875	OG0000875	augustus_masked-HE978315-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.80&CDS=1-3705	YGR090W
876	OG0000876	genemark-HE978315-processed-gene-2.133-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.133&CDS=1-2616	YGR089W
877	OG0000877	snap_masked-HE978315-processed-gene-2.12-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.12&CDS=1-1026	YGR084C
878	OG0000878	genemark-HE978315-processed-gene-2.108-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.108&CDS=1-1911	YGR083C
879	OG0000879	genemark-HE978315-processed-gene-2.134-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.134&CDS=1-552	YGR082W
880	OG0000880	genemark-HE978315-processed-gene-2.109-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.109&CDS=1-576	YGR081C
881	OG0000881	genemark-HE978315-processed-gene-2.135-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.135&CDS=1-1005	YGR080W
882	OG0000882	augustus_masked-HE978315-processed-gene-2.84-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.84&CDS=1-891	YGR079W
883	OG0000883	genemark-HE978315-processed-gene-2.137-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.137&CDS=1-6684	YBR136W
884	OG0000884	genemark-HE978315-processed-gene-2.138-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.138&CDS=1-462	YBR135W
885	OG0000885	genemark-HE978315-processed-gene-2.110-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.110&CDS=1-2421	YBR133C
886	OG0000886	genemark-HE978315-processed-gene-2.111-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.111&CDS=1-1803	YBR132C
887	OG0000887	augustus_masked-HE978315-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.87&CDS=1-1881	YBR131W
888	OG0000888	augustus_masked-HE978315-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.62&CDS=1-1611	YPR088C
889	OG0000889	genemark-HE978315-processed-gene-2.140-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.140&CDS=1-1107	YPR086W
890	OG0000890	genemark-HE978315-processed-gene-2.114-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.114&CDS=1-1539	YBR127C
891	OG0000891	maker-HE978315-augustus-gene-2.1-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.1&CDS=1-2682	YBR126C
892	OG0000892	genemark-HE978315-processed-gene-2.117-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.117&CDS=1-1962	YBR123C
893	OG0000893	genemark-HE978315-processed-gene-2.118-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.118&CDS=1-549	YBR122C
894	OG0000894	maker-HE978315-augustus-gene-2.2-mRNA-1_1&gene=maker-HE978315-augustus-gene-2.2&CDS=1-2448	YBR121C
895	OG0000895	augustus_masked-HE978315-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.89&CDS=1-903	YBR119W
896	OG0000896	genemark-HE978315-processed-gene-2.122-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.122&CDS=1-4161	YBR115C
897	OG0000897	genemark-HE978315-processed-gene-2.143-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.143&CDS=1-2331	YBR114W
898	OG0000898	snap_masked-HE978315-processed-gene-2.47-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.47&CDS=1-225	YBR111W-A
899	OG0000899	augustus_masked-HE978315-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.72&CDS=1-1464	YPR069C
900	OG0000900	genemark-HE978315-processed-gene-2.144-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.144&CDS=1-1359	YBR110W
901	OG0000901	genemark-HE978315-processed-gene-2.125-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.125&CDS=1-441	YBR109C
902	OG0000902	snap_masked-HE978315-processed-gene-2.49-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-2.49&CDS=1-2787	YBR108W
903	OG0000903	augustus_masked-HE978315-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.74&CDS=1-780	YBR107C
904	OG0000904	genemark-HE978315-processed-gene-2.146-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.146&CDS=1-492	YPR067W
905	OG0000905	genemark-HE978315-processed-gene-2.147-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.147&CDS=1-576	YBR106W
906	OG0000906	genemark-HE978315-processed-gene-2.148-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.148&CDS=1-957	YJL208C
907	OG0000907	augustus_masked-HE978315-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-2.75&CDS=1-999	YBR105C
908	OG0000908	genemark-HE978315-processed-gene-3.30-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.30&CDS=1-891	YJL117W
909	OG0000909	genemark-HE978315-processed-gene-3.31-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.31&CDS=1-849	YJL115W
910	OG0000910	genemark-HE978315-processed-gene-3.32-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.32&CDS=1-2022	YJL112W
911	OG0000911	augustus_masked-HE978315-processed-gene-3.5-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.5&CDS=1-7164	YJL109C
912	OG0000912	genemark-HE978315-processed-gene-3.36-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.36&CDS=1-2316	YJL106W
913	OG0000913	genemark-HE978315-processed-gene-3.38-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.38&CDS=1-453	YJL104W
914	OG0000914	genemark-HE978315-processed-gene-3.52-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.52&CDS=1-1659	YJL103C
915	OG0000915	genemark-HE978315-processed-gene-3.39-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.39&CDS=1-2361	YJL102W
916	OG0000916	genemark-HE978315-processed-gene-3.40-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.40&CDS=1-2295	YJL099W
917	OG0000917	genemark-HE978315-processed-gene-3.42-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.42&CDS=1-645	YJL097W
918	OG0000918	snap_masked-HE978315-processed-gene-3.83-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.83&CDS=1-558	YJL096W
919	OG0000919	snap_masked-HE978315-processed-gene-3.84-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.84&CDS=1-4740	YJL095W
920	OG0000920	genemark-HE978315-processed-gene-3.53-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.53&CDS=1-2463	YJL094C
921	OG0000921	genemark-HE978315-processed-gene-3.54-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.54&CDS=1-2304	YJL093C
922	OG0000922	maker-HE978315-snap-gene-3.68-mRNA-1_1&gene=maker-HE978315-snap-gene-3.68&CDS=1-2850	YJL092W
923	OG0000923	genemark-HE978315-processed-gene-3.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.55&CDS=1-1449	YJL091C
924	OG0000924	snap_masked-HE978315-processed-gene-3.98-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.98&CDS=1-2256	YJL090C
925	OG0000925	genemark-HE978315-processed-gene-3.45-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.45&CDS=1-3216	YJL089W
926	OG0000926	genemark-HE978315-processed-gene-3.46-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.46&CDS=1-963	YJL088W
927	OG0000927	genemark-HE978315-processed-gene-3.57-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.57&CDS=1-2520	YJL087C
928	OG0000928	genemark-HE978315-processed-gene-3.47-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.47&CDS=1-1851	YJL085W
929	OG0000929	genemark-HE978315-processed-gene-3.58-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.58&CDS=1-3399	YJL084C
930	OG0000930	snap_masked-HE978315-processed-gene-3.90-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.90&CDS=1-909	YGL128C
931	OG0000931	augustus_masked-HE978315-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.16&CDS=1-1608	YJL083W
932	OG0000932	genemark-HE978315-processed-gene-3.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.59&CDS=1-1515	YJL081C
933	OG0000933	genemark-HE978315-processed-gene-3.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.60&CDS=1-3681	YJL080C
934	OG0000934	genemark-HE978315-processed-gene-3.63-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.63&CDS=1-681	YHR071W
935	OG0000935	genemark-HE978315-processed-gene-3.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.64&CDS=1-1491	YHR070W
936	OG0000936	augustus_masked-HE978315-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-3.28&CDS=1-2358	YHR068W
937	OG0000937	snap_masked-HE978315-processed-gene-3.92-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.92&CDS=1-192	YDR315C
938	OG0000938	snap_masked-HE978315-processed-gene-3.93-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.93&CDS=1-1737	YDR314C
939	OG0000939	snap_masked-HE978315-processed-gene-4.87-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.87&CDS=1-3540	YDR310C
940	OG0000940	snap_masked-HE978315-processed-gene-4.92-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.92&CDS=1-246	YPR036W-A
941	OG0000941	genemark-HE978315-processed-gene-4.7-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.7&CDS=1-1488	YPR036W
942	OG0000942	genemark-HE978315-processed-gene-4.8-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.8&CDS=1-1113	YPR035W
943	OG0000943	genemark-HE978315-processed-gene-4.9-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.9&CDS=1-1455	YPR034W
944	OG0000944	genemark-HE978315-processed-gene-4.10-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.10&CDS=1-1593	YPR033C
945	OG0000945	genemark-HE978315-processed-gene-4.11-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.11&CDS=1-2418	YPR029C
946	OG0000946	genemark-HE978315-processed-gene-4.28-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.28&CDS=1-1152	YPR028W
947	OG0000947	genemark-HE978315-processed-gene-4.12-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.12&CDS=1-1314	YER119C
948	OG0000948	snap_masked-HE978315-processed-gene-4.116-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.116&CDS=1-7956	YBL088C
949	OG0000949	genemark-HE978315-processed-gene-4.31-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.31&CDS=1-1377	YBL086C
950	OG0000950	genemark-HE978315-processed-gene-4.32-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.32&CDS=1-2172	YBL084C
951	OG0000951	genemark-HE978315-processed-gene-4.14-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.14&CDS=1-3003	YER111C
952	OG0000952	genemark-HE978315-processed-gene-4.15-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.15&CDS=1-1347	YBL082C
953	OG0000953	snap_masked-HE978315-processed-gene-4.102-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.102&CDS=1-1200	YBL081W
954	OG0000954	genemark-HE978315-processed-gene-4.33-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.33&CDS=1-1620	YBL080C
955	OG0000955	genemark-HE978315-processed-gene-4.18-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.18&CDS=1-4449	YBL079W
956	OG0000956	genemark-HE978315-processed-gene-4.34-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.34&CDS=1-351	YBL078C
957	OG0000957	genemark-HE978315-processed-gene-4.35-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.35&CDS=1-3216	YBL076C
958	OG0000958	snap_masked-HE978315-processed-gene-4.104-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.104&CDS=1-243	YBL071W-A
959	OG0000959	genemark-HE978315-processed-gene-4.37-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.37&CDS=1-753	YER100W
960	OG0000960	genemark-HE978315-processed-gene-4.39-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.39&CDS=1-3201	YBL066C
961	OG0000961	genemark-HE978315-processed-gene-4.40-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.40&CDS=1-2142	YBL061C
962	OG0000962	genemark-HE978315-processed-gene-4.21-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.21&CDS=1-2022	YBL060W
963	OG0000963	augustus_masked-HE978315-processed-gene-4.82-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-4.82&CDS=1-333	YBL059C-A
964	OG0000964	snap_masked-HE978315-processed-gene-4.107-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-4.107&CDS=1-372	YBL059W
965	OG0000965	genemark-HE978315-processed-gene-4.23-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.23&CDS=1-1155	YBL058W
966	OG0000966	genemark-HE978315-processed-gene-4.42-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.42&CDS=1-558	YBL057C
967	OG0000967	genemark-HE978315-processed-gene-4.43-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.43&CDS=1-1167	YBL055C
968	OG0000968	genemark-HE978315-processed-gene-4.45-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.45&CDS=1-2094	YBL051C
969	OG0000969	snap_masked-HE978315-processed-gene-5.1-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.1&CDS=1-1725	YLR190W
970	OG0000970	snap_masked-HE978315-processed-gene-5.2-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.2&CDS=1-942	YLR191W
971	OG0000971	genemark-HE978315-processed-gene-5.55-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.55&CDS=1-813	YLR192C
972	OG0000972	genemark-HE978315-processed-gene-5.56-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.56&CDS=1-618	YLR193C
973	OG0000973	genemark-HE978315-processed-gene-5.58-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.58&CDS=1-1374	YLR195C
974	OG0000974	genemark-HE978315-processed-gene-5.59-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.59&CDS=1-1740	YLR196W
975	OG0000975	genemark-HE978315-processed-gene-5.60-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.60&CDS=1-1497	YLR197W
976	OG0000976	augustus_masked-HE978315-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.129&CDS=1-888	YLR199C
977	OG0000977	genemark-HE978315-processed-gene-5.61-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.61&CDS=1-357	YLR200W
978	OG0000978	genemark-HE978315-processed-gene-5.86-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.86&CDS=1-795	YLR201C
979	OG0000979	genemark-HE978315-processed-gene-5.87-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.87&CDS=1-1314	YLR203C
980	OG0000980	genemark-HE978315-processed-gene-5.88-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.88&CDS=1-903	YLR205C
981	OG0000981	genemark-HE978315-processed-gene-5.64-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.64&CDS=1-2475	YLR207W
982	OG0000982	genemark-HE978315-processed-gene-5.65-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.65&CDS=1-909	YLR208W
983	OG0000983	genemark-HE978315-processed-gene-5.89-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.89&CDS=1-936	YLR209C
984	OG0000984	snap_masked-HE978315-processed-gene-5.38-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.38&CDS=1-699	YLR211C
985	OG0000985	snap_masked-HE978315-processed-gene-5.39-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.39&CDS=1-5094	YDL145C
986	OG0000986	genemark-HE978315-processed-gene-5.91-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.91&CDS=1-1071	YLR213C
987	OG0000987	genemark-HE978315-processed-gene-5.67-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.67&CDS=1-2097	YLR214W
988	OG0000988	genemark-HE978315-processed-gene-5.92-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.92&CDS=1-1095	YLR215C
989	OG0000989	genemark-HE978315-processed-gene-5.93-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.93&CDS=1-642	YDL142C
990	OG0000990	maker-HE978315-snap-gene-5.102-mRNA-1_1&gene=maker-HE978315-snap-gene-5.102&CDS=1-1416	YLR216C
991	OG0000991	genemark-HE978315-processed-gene-5.68-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.68&CDS=1-3894	YDL195W
992	OG0000992	genemark-HE978315-processed-gene-5.70-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.70&CDS=1-1080	YDL193W
993	OG0000993	genemark-HE978315-processed-gene-5.71-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.71&CDS=1-543	YDL137W
994	OG0000994	genemark-HE978315-processed-gene-5.95-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.95&CDS=1-2892	YDL190C
995	OG0000995	genemark-HE978315-processed-gene-5.96-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.96&CDS=1-885	YDL183C
996	OG0000996	genemark-HE978315-processed-gene-5.75-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.75&CDS=1-318	YDL130W
997	OG0000997	genemark-HE978315-processed-gene-5.77-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.77&CDS=1-1236	YDL128W
998	OG0000998	genemark-HE978315-processed-gene-5.97-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.97&CDS=1-2514	YDL126C
999	OG0000999	genemark-HE978315-processed-gene-5.79-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.79&CDS=1-1557	YDL178W
1000	OG0001000	genemark-HE978315-processed-gene-5.98-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.98&CDS=1-528	YDL177C
1001	OG0001001	augustus_masked-HE978315-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.125&CDS=1-2562	YDL176W
1002	OG0001002	augustus_masked-HE978315-processed-gene-5.126-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.126&CDS=1-2514	YER082C
1003	OG0001003	genemark-HE978315-processed-gene-5.83-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.83&CDS=1-1338	YOR047C
1004	OG0001004	genemark-HE978315-processed-gene-5.84-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.84&CDS=1-1479	YOR046C
1005	OG0001005	snap_masked-HE978315-processed-gene-5.49-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-5.49&CDS=1-183	YOR045W
1006	OG0001006	augustus_masked-HE978315-processed-gene-5.142-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-5.142&CDS=1-1977	YOR043W
