	OrthologID	Coccidioides_immitis	Saccharomyces_cerevisiae
402	OG0000402	XP_001248050.1	YGR238C, YHR158C
403	OG0000403	XP_001248065.1	YDR200C, YLR238W
404	OG0000404	XP_001248155.2	YMR182C, YPL230W
405	OG0000405	XP_001248201.2	YIL113W, YNL053W
406	OG0000406	XP_001248313.2	YGR056W, YLR357W
407	OG0000407	XP_001248336.1	YJR130C, YML082W
408	OG0000408	XP_001248362.1	YBL002W, YDR224C
409	OG0000409	XP_001248398.1	YCL050C, YDR530C
410	OG0000410	XP_001248521.1	YLR178C, YLR179C
411	OG0000411	XP_001248634.1	YGL096W, YPL177C
412	OG0000412	XP_001248697.1, XP_001249032.2	YGL012W
413	OG0000413	XP_001248699.1, XP_001248749.1	YMR315W
414	OG0000414	XP_001248707.2	YFL004W, YPL019C
415	OG0000415	XP_001248785.1	YCR094W, YNR048W
416	OG0000416	XP_001248791.1	YAL034C, YOR338W
417	OG0000417	XP_001248806.2	YDR409W, YOR156C
418	OG0000418	XP_001248919.1	YER027C, YGL208W
419	OG0000419	XP_001249035.1	YBR161W, YPL057C
420	OG0000420	XP_001249043.1	YDR450W, YML026C
421	OG0000421	XP_001249093.1	YDR107C, YLR083C
422	OG0000422	XP_004444813.1	YBR066C, YDR043C
423	OG0000423	XP_004444836.1, XP_004444837.1	YDR191W
424	OG0000424	XP_004444840.1, XP_004444841.1	YDR496C
425	OG0000425	XP_004444848.1, XP_004444849.1	YNL191W
426	OG0000426	XP_004444867.1, XP_004444868.1	YDR167W
427	OG0000427	XP_004444877.1, XP_004444878.1	YML018C
428	OG0000428	XP_004444989.1, XP_004444990.1	YGR014W
429	OG0000429	XP_004445014.1, XP_004445015.1	YKL182W
430	OG0000430	XP_004445075.1, XP_004445076.1	YGL180W
431	OG0000431	XP_004445084.1, XP_004445085.1	YGL106W
432	OG0000432	XP_004445146.1, XP_004445147.1	YGR013W
433	OG0000433	XP_004445150.1, XP_004445151.1	YER122C
434	OG0000434	XP_004445190.1, XP_004445191.1	YER055C
435	OG0000435	XP_004445197.1, XP_004445198.1	YIR006C
436	OG0000436	XP_004445270.1, XP_004445271.1	YCR087C-A
437	OG0000437	XP_004445280.1, XP_004445281.1	YMR043W
438	OG0000438	XP_004445295.1, XP_004445296.1	YDR092W
439	OG0000439	XP_004445358.1, XP_004445359.1	YBL040C
440	OG0000440	XP_004445361.1, XP_004445362.1	YIL074C
441	OG0000441	XP_004445365.1, XP_004445366.1	YBR143C
442	OG0000442	XP_004445376.1, XP_004445377.1	YFR015C
443	OG0000443	XP_004445474.1, XP_004445475.1	YNL037C
444	OG0000444	XP_004445609.1, XP_004445610.1	YFL024C
445	OG0000445	XP_004445611.1, XP_004445612.1	YKL190W
446	OG0000446	XP_004445700.1, XP_004445701.1	YKL162C
447	OG0000447	XP_004445702.1, XP_004445703.1	YML130C
448	OG0000448	XP_004445764.1, XP_004445765.1	YER047C
449	OG0000449	XP_004445770.1	YDL075W, YLR406C
450	OG0000450	XP_004445795.1, XP_004445796.1	YMR197C
451	OG0000451	XP_004445834.1, XP_004445835.1	YGR144W
452	OG0000452	XP_004445842.1, XP_004445843.1	YDR511W
453	OG0000453	XP_004445850.1, XP_004445851.1	YOL123W
454	OG0000454	XP_004445933.1, XP_004445934.1	YIL118W
455	OG0000455	XP_004445938.1, XP_004445939.1	YMR074C
456	OG0000456	XP_004445940.1, XP_004445941.1	YDR198C
457	OG0000457	XP_004446029.1, XP_004446030.1	YIL128W
458	OG0000458	XP_004446051.1, XP_004446052.1	YLR137W
459	OG0000459	XP_004446071.1, XP_004446072.1	YGL030W
460	OG0000460	XP_004446073.1, XP_004446074.1	YMR288W
461	OG0000461	XP_004446108.1, XP_004446109.1	YBR079C
462	OG0000462	XP_004446119.1, XP_004446120.1	YBR088C
463	OG0000463	XP_004446138.1	YIL148W, YKR094C
464	OG0000464	XP_004446142.1, XP_004446143.1	YGL224C
465	OG0000465	XP_004446159.1, XP_004446160.1	YDL195W
466	OG0000466	XP_004446221.1, XP_004446222.1	YJL155C
467	OG0000467	XP_004446239.1, XP_004446240.1	YLR429W
468	OG0000468	XP_004446291.1, XP_004446292.1	YGR163W
469	OG0000469	XP_004446293.1	YGR027C, YLR333C
470	OG0000470	XP_004446296.1, XP_004446297.1	YPL065W
471	OG0000471	XP_004446330.1, XP_004446331.1	YLR401C
472	OG0000472	XP_004446359.1, XP_004446360.1	YBR034C
473	OG0000473	XP_004446366.1, XP_004446367.1	YDR432W
474	OG0000474	XP_004446372.1, XP_004446373.1	YNL090W
475	OG0000475	XP_004446374.1, XP_004446375.1	YJL154C
476	OG0000476	XP_004446419.1, XP_004446420.1	YIL033C
477	OG0000477	XP_004446444.1, XP_004446445.1	YEL064C
478	OG0000478	XP_004446465.1, XP_004446466.1	YPR011C
479	OG0000479	XP_004446469.1, XP_004446470.1	YML021C
480	OG0000480	XP_004446471.1, XP_004446472.1	YAR007C
481	OG0000481	XP_012213637.1	YDR132C, YLR108C
482	OG0000482	XP_012213676.1	YDR471W, YHR010W
483	OG0000483	XP_012213713.1	YDR358W, YHR108W
484	OG0000484	XP_012213759.1	YJL083W, YKR019C
485	OG0000485	XP_012213765.1	YKL121W, YMR102C
486	OG0000486	XP_012213794.1	YJL079C, YKR013W
487	OG0000487	XP_012214312.1	YJL098W, YKR028W
488	OG0000488	XP_012214371.1	YCR026C, YEL016C
489	OG0000489	XP_001238894.1	YHR079C
490	OG0000490	XP_001238899.1	YIL142W
491	OG0000491	XP_001238942.1	YAL049C
492	OG0000492	XP_001238944.1	YOR361C
493	OG0000493	XP_001238949.1	YDR266C
494	OG0000494	XP_001238950.2	YFL003C
495	OG0000495	XP_001238951.2	YCR072C
496	OG0000496	XP_001238953.2	YBR186W
497	OG0000497	XP_001238954.1	YOR065W
498	OG0000498	XP_001238957.1	YDR035W
499	OG0000499	XP_001238958.1	YLR241W
500	OG0000500	XP_001238959.2	YPR184W
501	OG0000501	XP_001238998.2	YMR250W
502	OG0000502	XP_001239007.1	YOR320C
503	OG0000503	XP_001239017.1	YOR246C
504	OG0000504	XP_001239028.1	YIL001W
505	OG0000505	XP_001239029.1	YAR018C
506	OG0000506	XP_001239034.1	YDL084W
507	OG0000507	XP_001239047.1	YOL034W
508	OG0000508	XP_001239048.2	YPL030W
509	OG0000509	XP_001239058.1	YOR327C
510	OG0000510	XP_001239059.2	YER069W
511	OG0000511	XP_001239067.2	YPL226W
512	OG0000512	XP_001239074.2	YGL077C
513	OG0000513	XP_001239082.2	YFL054C
514	OG0000514	XP_001239084.1	YIR031C
515	OG0000515	XP_001239114.1	YPR002W
516	OG0000516	XP_001239115.2	YPR006C
517	OG0000517	XP_001239118.2	YMR300C
518	OG0000518	XP_001239122.2	YHR039C
519	OG0000519	XP_001239127.1	YKL016C
520	OG0000520	XP_001239128.1	YHR193C
521	OG0000521	XP_001239133.1	YDR292C
522	OG0000522	XP_001239134.1	YNL263C
523	OG0000523	XP_001239145.2	YDL234C
524	OG0000524	XP_001239148.1	YPL085W
525	OG0000525	XP_001239149.1	YIL048W
526	OG0000526	XP_001239152.1	YAL025C
527	OG0000527	XP_001239158.2	YNL127W
528	OG0000528	XP_001239161.2	YGR036C
529	OG0000529	XP_001239162.1	YML068W
530	OG0000530	XP_001239165.2	YGL027C
531	OG0000531	XP_001239166.1	YHR009C
532	OG0000532	XP_001239174.1	YHR187W
533	OG0000533	XP_001239175.1	YLR268W
534	OG0000534	XP_001239182.2	YGR021W
535	OG0000535	XP_001239183.2	YJL207C
536	OG0000536	XP_001239185.2	YLR215C
537	OG0000537	XP_001239187.1	YDR079W
538	OG0000538	XP_001239190.2	YLR281C
539	OG0000539	XP_001239191.1	YGL238W
540	OG0000540	XP_001239193.2	YLL013C
541	OG0000541	XP_001239196.1	YLL031C
542	OG0000542	XP_001239198.1	YMR128W
543	OG0000543	XP_001239202.1	YBR201W
544	OG0000544	XP_001239204.1	YMR276W
545	OG0000545	XP_001239205.2	YML049C
546	OG0000546	XP_001239211.1	YIL164C
547	OG0000547	XP_001239212.2	YJL109C
548	OG0000548	XP_001239220.1	YIL007C
549	OG0000549	XP_001239221.1	YLR293C
550	OG0000550	XP_001239229.2	YOR222W
551	OG0000551	XP_001239236.1	YBL102W
552	OG0000552	XP_001239237.1	YJL087C
553	OG0000553	XP_001239238.1	YCR051W
554	OG0000554	XP_001239245.2	YLL018C-A
555	OG0000555	XP_001239246.1	YHL023C
556	OG0000556	XP_001239250.1	YBL008W
557	OG0000557	XP_001239251.1	YBR025C
558	OG0000558	XP_001239252.1	YER007C-A
559	OG0000559	XP_001239254.1	YOR007C
560	OG0000560	XP_001239255.1	YIL022W
561	OG0000561	XP_001239256.1	YNL306W
562	OG0000562	XP_001239257.2	YML002W
563	OG0000563	XP_001239268.1	YOR039W
564	OG0000564	XP_001239270.1	YBR295W
565	OG0000565	XP_001239273.2	YDR428C
566	OG0000566	XP_001239279.1	YBR237W
567	OG0000567	XP_001239287.1	YLR117C
568	OG0000568	XP_001239288.1	YGR091W
569	OG0000569	XP_001239289.1	YER043C
570	OG0000570	XP_001239291.1	YER164W
571	OG0000571	XP_001239292.2	YDR091C
572	OG0000572	XP_001239293.2	YKL012W
573	OG0000573	XP_001239295.2	YOR292C
574	OG0000574	XP_001239296.2	YCR012W
575	OG0000575	XP_001239326.2	YER095W
576	OG0000576	XP_001239338.1	YER006W
577	OG0000577	XP_001239341.1	YHL031C
578	OG0000578	XP_001239349.2	YLR180W
579	OG0000579	XP_001239350.1	YLR243W
580	OG0000580	XP_001239356.1	YPR036W
581	OG0000581	XP_001239358.2	YGR232W
582	OG0000582	XP_001239359.1	YPL151C
583	OG0000583	XP_001239360.2	YML065W
584	OG0000584	XP_001239361.1	YGR119C
585	OG0000585	XP_001239362.2	YPR133C
586	OG0000586	XP_001239368.1	YBR096W
587	OG0000587	XP_001239369.1	YNR018W
588	OG0000588	XP_001239370.1	YOR165W
589	OG0000589	XP_001239381.1	YOR187W
590	OG0000590	XP_001239383.1	YEL042W
591	OG0000591	XP_001239389.1	YNR039C
592	OG0000592	XP_001239390.1	YKL034W
593	OG0000593	XP_001239393.1	YAL044C
594	OG0000594	XP_001239394.1	YKL003C
595	OG0000595	XP_001239396.1	YOR211C
596	OG0000596	XP_001239402.2	YNL016W
597	OG0000597	XP_001239418.1	YHR142W
598	OG0000598	XP_001239425.1	YNL284C
599	OG0000599	XP_001239433.1	YAR014C
600	OG0000600	XP_001239438.1	YDR062W
601	OG0000601	XP_001239441.1	YHR024C
602	OG0000602	XP_001239444.1	YNL131W
603	OG0000603	XP_001239447.1	YJL097W
604	OG0000604	XP_001239448.1	YLR147C
605	OG0000605	XP_001239449.1	YHR100C
606	OG0000606	XP_001239450.1	YDL106C
607	OG0000607	XP_001239453.1	YMR162C
608	OG0000608	XP_001239455.2	YBL057C
609	OG0000609	XP_001239460.1	YDL131W
610	OG0000610	XP_001239463.2	YDL235C
611	OG0000611	XP_001239478.2	YOR131C
612	OG0000612	XP_001239488.2	YMR114C
613	OG0000613	XP_001239490.1	YMR116C
614	OG0000614	XP_001239491.1	YOL071W
615	OG0000615	XP_001239492.1	YML012W
616	OG0000616	XP_001239501.1	YPR035W
617	OG0000617	XP_001239513.1	YKR026C
618	OG0000618	XP_001239514.2	YOL069W
619	OG0000619	XP_001239520.1	YNR032W
620	OG0000620	XP_001239521.1	YDL135C
621	OG0000621	XP_001239523.2	YOR250C
622	OG0000622	XP_001239525.2	YBR046C
623	OG0000623	XP_001239527.1	YDR173C
624	OG0000624	XP_001239528.1	YNR037C
625	OG0000625	XP_001239530.1	YPL128C
626	OG0000626	XP_001239534.2	YNR047W
627	OG0000627	XP_001239535.1	YBR251W
628	OG0000628	XP_001239536.2	YKR056W
629	OG0000629	XP_001239537.2	YJR065C
630	OG0000630	XP_001239539.1	YPR056W
631	OG0000631	XP_001239540.1	YOR035C
632	OG0000632	XP_001239542.2	YPL110C
633	OG0000633	XP_001239543.1	YBR133C
634	OG0000634	XP_001239544.1	YGL120C
635	OG0000635	XP_001239546.1	YLR250W
636	OG0000636	XP_001239547.1	YML005W
637	OG0000637	XP_001239549.1	YFR021W
638	OG0000638	XP_001239550.2	YOL141W
639	OG0000639	XP_001239551.1	YBR276C
640	OG0000640	XP_001239552.2	YMR167W
641	OG0000641	XP_001239554.2	YHR027C
642	OG0000642	XP_001239555.1	YNL207W
643	OG0000643	XP_001239556.1	YDR405W
644	OG0000644	XP_001239558.1	YDL205C
645	OG0000645	XP_001239560.2	YMR028W
646	OG0000646	XP_001239562.1	YKR054C
647	OG0000647	XP_001239567.1	YDR346C
648	OG0000648	XP_001239568.1	YNL185C
649	OG0000649	XP_001239570.1	YOR267C
650	OG0000650	XP_001239573.2	YNL003C
651	OG0000651	XP_001239579.2	YDR416W
652	OG0000652	XP_001239580.2	YEL051W
653	OG0000653	XP_001239582.2	YOR349W
654	OG0000654	XP_001239589.2	YBL082C
655	OG0000655	XP_001239594.1	YDL122W
656	OG0000656	XP_001239595.1	YOR005C
657	OG0000657	XP_001239599.2	YML020W
658	OG0000658	XP_001239600.1	YCL054W
659	OG0000659	XP_001239602.1	YML001W
660	OG0000660	XP_001239603.1	YMR159C
661	OG0000661	XP_001239604.1	YDR440W
662	OG0000662	XP_001239609.1	YDR002W
663	OG0000663	XP_001239610.2	YPL129W
664	OG0000664	XP_001239612.1	YNL022C
665	OG0000665	XP_001239616.1	YOR212W
666	OG0000666	XP_001239619.1	YMR100W
667	OG0000667	XP_001239621.2	YNL085W
668	OG0000668	XP_001239630.2	YKL015W
669	OG0000669	XP_001239632.1	YKL172W
670	OG0000670	XP_001239634.2	YNL292W
671	OG0000671	XP_001239640.2	YPL045W
672	OG0000672	XP_001239647.1	YGL115W
673	OG0000673	XP_001239648.2	YNL231C
674	OG0000674	XP_001239649.1	YBL035C
675	OG0000675	XP_001239651.2	YGR083C
676	OG0000676	XP_001239655.2	YMR150C
677	OG0000677	XP_001239656.1	YDR322W
678	OG0000678	XP_001239657.2	YML025C
679	OG0000679	XP_001239658.1	YDR036C
680	OG0000680	XP_001239661.2	YKR063C
681	OG0000681	XP_001239668.2	YDR472W
682	OG0000682	XP_001239674.1	YLR275W
683	OG0000683	XP_001239675.2	YML070W
684	OG0000684	XP_001239690.2	YER116C
685	OG0000685	XP_001239691.1	YOR330C
686	OG0000686	XP_001239694.2	YLR438C-A
687	OG0000687	XP_001239697.1	YLR032W
688	OG0000688	XP_001239699.2	YMR281W
689	OG0000689	XP_001239704.1	YJR122W
690	OG0000690	XP_001239705.2	YNL118C
691	OG0000691	XP_001239711.2	YNL119W
692	OG0000692	XP_001239723.2	YKL018W
693	OG0000693	XP_001239724.1	YKL120W
694	OG0000694	XP_001239725.1	YJL026W
695	OG0000695	XP_001239730.1	YEL013W
696	OG0000696	XP_001239731.2	YNL232W
697	OG0000697	XP_001239732.2	YNL163C
698	OG0000698	XP_001239734.1	YLL036C
699	OG0000699	XP_001239736.1	YPR100W
700	OG0000700	XP_001239737.1	YIL061C
701	OG0000701	XP_001239738.1	YKL009W
702	OG0000702	XP_001239739.1	YAL010C
703	OG0000703	XP_001239740.1	YDR050C
704	OG0000704	XP_001239748.1	YEL015W
705	OG0000705	XP_001239750.1	YBR179C
706	OG0000706	XP_001239751.1	YKL002W
707	OG0000707	XP_001239752.2	YDL006W
708	OG0000708	XP_001239759.2	YNL294C
709	OG0000709	XP_001239770.2	YML064C
710	OG0000710	XP_001239771.1	YMR131C
711	OG0000711	XP_001239773.2	YOR144C
712	OG0000712	XP_001239780.1	YLR138W
713	OG0000713	XP_001239786.1	YDL126C
714	OG0000714	XP_001239789.2	YCL032W
715	OG0000715	XP_001239790.2	YLR128W
716	OG0000716	XP_001239792.1	YPL211W
717	OG0000717	XP_001239793.1	YLR002C
718	OG0000718	XP_001239803.1	YNL252C
719	OG0000719	XP_001239807.2	YMR034C
720	OG0000720	XP_001239808.1	YJR095W
721	OG0000721	XP_001239809.2	YGR080W
722	OG0000722	XP_001239812.2	YNR064C
723	OG0000723	XP_001239817.1	YMR076C
724	OG0000724	XP_001239819.1	YMR075W
725	OG0000725	XP_001239820.2	YDR101C
726	OG0000726	XP_001239822.1	YBR289W
727	OG0000727	XP_001239824.1	YOR067C
728	OG0000728	XP_001239826.2	YHR002W
729	OG0000729	XP_001239827.2	YMR026C
730	OG0000730	XP_001239829.1	YHR170W
731	OG0000731	XP_001239830.1	YNR054C
732	OG0000732	XP_001239833.2	YCR066W
733	OG0000733	XP_001239836.1	YDR108W
734	OG0000734	XP_001239837.1	YER168C
735	OG0000735	XP_001239851.1	YDL102W
736	OG0000736	XP_001239869.1	YNL326C
737	OG0000737	XP_001239876.2	YLR454W
738	OG0000738	XP_001239881.2	YOL033W
739	OG0000739	XP_001239885.1	YBL092W
740	OG0000740	XP_001239886.1	YOR058C
741	OG0000741	XP_001239905.1	YDL150W
742	OG0000742	XP_001239907.2	YDL155W
743	OG0000743	XP_001239909.2	YOR258W
744	OG0000744	XP_001239910.1	YLR419W
745	OG0000745	XP_001239915.1	YER094C
746	OG0000746	XP_001239916.2	YOL076W
747	OG0000747	XP_001239917.2	YHR116W
748	OG0000748	XP_001239924.1	YPR137W
749	OG0000749	XP_001239927.1	YLR222C
750	OG0000750	XP_001239928.1	YOR148C
751	OG0000751	XP_001239929.1	YDR359C
752	OG0000752	XP_001239930.1	YKL021C
753	OG0000753	XP_001239931.1	YJR117W
754	OG0000754	XP_001239933.1	YER025W
755	OG0000755	XP_001239934.1	YOL098C
756	OG0000756	XP_001239936.1	YNL081C
757	OG0000757	XP_001239937.2	YDR155C
758	OG0000758	XP_001239942.2	YOR204W
759	OG0000759	XP_001239947.1	YFL013C
760	OG0000760	XP_001239950.1	YMR120C
761	OG0000761	XP_001239951.1	YGL206C
762	OG0000762	XP_001239952.1	YBR218C
763	OG0000763	XP_001239965.1	YER029C
764	OG0000764	XP_001239966.1	YGL080W
765	OG0000765	XP_001239967.2	YKL146W
766	OG0000766	XP_001239968.2	YBR235W
767	OG0000767	XP_001239974.1	YEL027W
768	OG0000768	XP_001239979.2	YPR069C
769	OG0000769	XP_001239980.2	YPR074C
770	OG0000770	XP_001239985.1	YGR210C
771	OG0000771	XP_001239989.1	YDR276C
772	OG0000772	XP_001239996.1	YLR107W
773	OG0000773	XP_001240007.1	YFR028C
774	OG0000774	XP_001240014.2	YMR020W
775	OG0000775	XP_001240029.2	YNL094W
776	OG0000776	XP_001240041.2	YOR095C
777	OG0000777	XP_001240042.2	YDL134C
778	OG0000778	XP_001240045.2	YKL033W-A
779	OG0000779	XP_001240047.1	YNL187W
780	OG0000780	XP_001240051.1	YJR093C
781	OG0000781	XP_001240062.2	YPL003W
782	OG0000782	XP_001240064.1	YOR262W
783	OG0000783	XP_001240084.1	YDR390C
784	OG0000784	XP_001240086.2	YPL046C
785	OG0000785	XP_001240087.1	YPL083C
786	OG0000786	XP_001240092.2	YGR211W
787	OG0000787	XP_001240094.1	YKL149C
788	OG0000788	XP_001240095.1	YMR185W
789	OG0000789	XP_001240100.1	YOR373W
790	OG0000790	XP_001240102.2	YDR017C
791	OG0000791	XP_001240120.1	YGL065C
792	OG0000792	XP_001240126.1	YPR060C
793	OG0000793	XP_001240127.2	YDR361C
794	OG0000794	XP_001240165.1	YDR381W
795	OG0000795	XP_001240167.1	YKL041W
796	OG0000796	XP_001240168.1	YKL117W
797	OG0000797	XP_001240169.2	YOR091W
798	OG0000798	XP_001240175.1	YJL130C
799	OG0000799	XP_001240176.2	YDR061W
800	OG0000800	XP_001240178.1	YBR102C
801	OG0000801	XP_001240179.1	YGR082W
802	OG0000802	XP_001240180.1	YMR215W
803	OG0000803	XP_001240182.2	YMR224C
804	OG0000804	XP_001240184.1	YER073W
805	OG0000805	XP_001240190.1	YGL159W
806	OG0000806	XP_001240193.1	YPL207W
807	OG0000807	XP_001240196.2	YLR411W
808	OG0000808	XP_001240197.1	YDL047W
809	OG0000809	XP_001240294.2	YPR118W
810	OG0000810	XP_001240296.2	YPL195W
811	OG0000811	XP_001240297.1	YPL155C
812	OG0000812	XP_001240299.2	YOR245C
813	OG0000813	XP_001240301.1	YGR280C
814	OG0000814	XP_001240304.2	YDL108W
815	OG0000815	XP_001240308.1	YLR305C
816	OG0000816	XP_001240316.1	YDR524C
817	OG0000817	XP_001240322.1	YBR114W
818	OG0000818	XP_001240323.2	YJR052W
819	OG0000819	XP_001240328.1	YOL005C
820	OG0000820	XP_001240330.2	YDL206W
821	OG0000821	XP_001240331.2	YBL097W
822	OG0000822	XP_001240336.1	YKL024C
823	OG0000823	XP_001240359.1	YDR330W
824	OG0000824	XP_001240360.2	YJL194W
825	OG0000825	XP_001240361.1	YFL047W
826	OG0000826	XP_001240364.1	YDR265W
827	OG0000827	XP_001240365.1	YDR414C
828	OG0000828	XP_001240377.2	YCR092C
829	OG0000829	XP_001240379.1	YPR176C
830	OG0000830	XP_001240383.1	YOR294W
831	OG0000831	XP_001240385.1	YKL197C
832	OG0000832	XP_001240386.1	YBR202W
833	OG0000833	XP_001240399.1	YDR412W
834	OG0000834	XP_001240401.1	YNL315C
835	OG0000835	XP_001240402.1	YNL320W
836	OG0000836	XP_001240403.1	YJL001W
837	OG0000837	XP_001240404.2	YJR006W
838	OG0000838	XP_001240413.1	YDR430C
839	OG0000839	XP_001240419.1	YDR182W
840	OG0000840	XP_001240421.2	YIR023W
841	OG0000841	XP_001240423.2	YER126C
842	OG0000842	XP_001240424.1	YJL096W
843	OG0000843	XP_001240425.2	YDL028C
844	OG0000844	XP_001240428.1	YNL168C
845	OG0000845	XP_001240432.2	YHR175W
846	OG0000846	XP_001240434.1	YGL156W
847	OG0000847	XP_001240436.1	YPR125W
848	OG0000848	XP_001240437.2	YLR151C
849	OG0000849	XP_001240439.2	YFL008W
850	OG0000850	XP_001240440.2	YGR149W
851	OG0000851	XP_001240449.2	YGL003C
852	OG0000852	XP_001240451.1	YHR113W
853	OG0000853	XP_001240453.1	YDL236W
854	OG0000854	XP_001240460.2	YJR068W
855	OG0000855	XP_001240463.1	YBR011C
856	OG0000856	XP_001240465.2	YNR015W
857	OG0000857	XP_001240466.1	YBR286W
858	OG0000858	XP_001240470.1	YAL019W
859	OG0000859	XP_001240471.1	YGR105W
860	OG0000860	XP_001240475.2	YBR182C
861	OG0000861	XP_001240484.2	YMR228W
862	OG0000862	XP_001240491.2	YER163C
863	OG0000863	XP_001240492.1	YGR058W
864	OG0000864	XP_001240498.1	YNL241C
865	OG0000865	XP_001240502.1	YER053C
866	OG0000866	XP_001240504.2	YOR188W
867	OG0000867	XP_001240506.1	YMR146C
868	OG0000868	XP_001240508.2	YGR204W
869	OG0000869	XP_001240510.1	YDL066W
870	OG0000870	XP_001240511.1	YOR298C-A
871	OG0000871	XP_001240516.1	YPL237W
872	OG0000872	XP_001240517.1	YLR099W-A
873	OG0000873	XP_001240523.1	YFR052W
874	OG0000874	XP_001240526.1	YPR189W
875	OG0000875	XP_001240527.1	YIR007W
876	OG0000876	XP_001240528.2	YDR335W
877	OG0000877	XP_001240530.1	YOL093W
878	OG0000878	XP_001240531.1	YNL212W
879	OG0000879	XP_001240532.1	YPL196W
880	OG0000880	XP_001240535.1	YGR029W
881	OG0000881	XP_001240536.2	YDL145C
882	OG0000882	XP_001240562.1	YJL180C
883	OG0000883	XP_001240564.1	YLR203C
884	OG0000884	XP_001240571.2	YDR334W
885	OG0000885	XP_001240573.2	YOR296W
886	OG0000886	XP_001240581.1	YML022W
887	OG0000887	XP_001240583.2	YHR204W
888	OG0000888	XP_001240588.2	YKR068C
889	OG0000889	XP_001240589.2	YER109C
890	OG0000890	XP_001240593.2	YHR086W
891	OG0000891	XP_001240596.2	YER179W
892	OG0000892	XP_001240598.1	YDL103C
893	OG0000893	XP_001240603.1	YJR129C
894	OG0000894	XP_001240609.2	YOR340C
895	OG0000895	XP_001240650.2	YOR151C
896	OG0000896	XP_001240654.2	YMR287C
897	OG0000897	XP_001240656.1	YOR317W
898	OG0000898	XP_001240661.2	YDR429C
899	OG0000899	XP_001240663.1	YNL256W
900	OG0000900	XP_001240665.1	YGR033C
901	OG0000901	XP_001240681.1	YBR196C
902	OG0000902	XP_001240684.2	YGR203W
903	OG0000903	XP_001240692.2	YEL065W
904	OG0000904	XP_001240693.1	YJR144W
905	OG0000905	XP_001240694.1	YLR218C
906	OG0000906	XP_001240695.2	YDL141W
907	OG0000907	XP_001240696.1	YGR127W
908	OG0000908	XP_001240699.2	YLR027C
909	OG0000909	XP_001240704.2	YOR075W
910	OG0000910	XP_001240707.2	YMR038C
911	OG0000911	XP_001240720.2	YJR035W
912	OG0000912	XP_001240722.2	YJL141C
913	OG0000913	XP_001240723.1	YMR309C
914	OG0000914	XP_001240724.1	YPL002C
915	OG0000915	XP_001240726.1	YNL102W
916	OG0000916	XP_001240731.2	YNL112W
917	OG0000917	XP_001240740.2	YAL020C
918	OG0000918	XP_001240751.1	YDR448W
919	OG0000919	XP_001240755.2	YGL137W
920	OG0000920	XP_001240768.1	YGL183C
921	OG0000921	XP_001240772.1	YGR037C
922	OG0000922	XP_001240773.2	YBR223C
923	OG0000923	XP_001240777.1	YGL045W
924	OG0000924	XP_001240783.1	YPL149W
925	OG0000925	XP_001240788.1	YDL212W
926	OG0000926	XP_001240797.2	YGR281W
927	OG0000927	XP_001240799.1	YLR438W
928	OG0000928	XP_001240800.1	YGL142C
929	OG0000929	XP_001240808.1	YLR418C
930	OG0000930	XP_001240809.1	YLR452C
931	OG0000931	XP_001240812.2	YPR162C
932	OG0000932	XP_001240814.1	YDL165W
933	OG0000933	XP_001240815.1	YLR439W
934	OG0000934	XP_001240816.1	YER136W
935	OG0000935	XP_001240817.2	YFR031C
936	OG0000936	XP_001240819.1	YJL072C
937	OG0000937	XP_001240822.2	YGR227W
938	OG0000938	XP_001240824.2	YJR101W
939	OG0000939	XP_001240828.1	YLR023C
940	OG0000940	XP_001240830.1	YOR239W
941	OG0000941	XP_001240833.1	YKL191W
942	OG0000942	XP_001240834.2	YGL256W
943	OG0000943	XP_001240835.1	YPR169W
944	OG0000944	XP_001240845.1	YCR011C
945	OG0000945	XP_001240847.1	YGL054C
946	OG0000946	XP_001240853.1	YDR364C
947	OG0000947	XP_001240857.1	YLR244C
948	OG0000948	XP_001240858.1	YBL098W
949	OG0000949	XP_001240861.2	YMR158W
950	OG0000950	XP_001240864.1	YIL094C
951	OG0000951	XP_001240869.1	YAL038W
952	OG0000952	XP_001240871.2	YIL156W-B
953	OG0000953	XP_001240874.2	YFR019W
954	OG0000954	XP_001240878.1	YPL183C
955	OG0000955	XP_001240880.1	YGR258C
956	OG0000956	XP_001240881.1	YGR086C
957	OG0000957	XP_001240882.1	YGL093W
958	OG0000958	XP_001240888.1	YML102W
959	OG0000959	XP_001240897.1	YJR008W
960	OG0000960	XP_001240899.2	YPL096W
961	OG0000961	XP_001240900.2	YDR324C
962	OG0000962	XP_001240911.2	YLR420W
963	OG0000963	XP_001240913.2	YMR073C
964	OG0000964	XP_001240918.1	YLR130C
965	OG0000965	XP_001240923.2	YOR209C
966	OG0000966	XP_001240929.1	YOL139C
967	OG0000967	XP_001240930.1	YLR251W
968	OG0000968	XP_001240931.1	YGL123W
969	OG0000969	XP_001240934.2	YOR251C
970	OG0000970	XP_001240937.2	YBL063W
971	OG0000971	XP_001240939.2	YPL040C
972	OG0000972	XP_001240946.1	YJR013W
973	OG0000973	XP_001240952.1	YHR190W
974	OG0000974	XP_001240954.1	YIR004W
975	OG0000975	XP_001240966.2	YJR111C
976	OG0000976	XP_001240975.1	YDR305C
977	OG0000977	XP_001240978.1	YNR029C
978	OG0000978	XP_001240981.1	YBL022C
979	OG0000979	XP_001240982.2	YFL016C
