	OrthologID	Candida_tenuis	Saccharomyces_cerevisiae
359	OG0000359	snap_masked-scaffold_00021-processed-gene-7.11-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-7.11&CDS=1-1458	YHR115C, YNL116W
360	OG0000360	augustus_masked-scaffold_00021-processed-gene-7.96-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-7.96&CDS=1-279	YER019C-A, YER087C-B
361	OG0000361	snap_masked-scaffold_00021-processed-gene-7.36-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-7.36&CDS=1-1089	YHR179W, YPL171C
362	OG0000362	maker-scaffold_00021-augustus-gene-24.149-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-24.149&CDS=1-2964, snap_masked-scaffold_00021-processed-gene-8.51-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.51&CDS=1-2073	YOR111W
363	OG0000363	maker-scaffold_00021-snap-gene-9.97-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-9.97&CDS=1-2469	YNL301C, YOL120C
364	OG0000364	maker-scaffold_00021-augustus-gene-10.93-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-10.93&CDS=1-747	YGL076C, YPL198W
365	OG0000365	augustus_masked-scaffold_00021-processed-gene-10.5-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-10.5&CDS=1-2055	YBR181C, YPL090C
366	OG0000366	snap_masked-scaffold_00021-processed-gene-10.79-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-10.79&CDS=1-1569	YDL042C, YOL068C
367	OG0000367	snap_masked-scaffold_00021-processed-gene-10.61-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-10.61&CDS=1-1653	YIR031C, YNL117W
368	OG0000368	augustus_masked-scaffold_00021-processed-gene-10.35-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-10.35&CDS=1-438	YBR048W, YDR025W
369	OG0000369	augustus_masked-scaffold_00021-processed-gene-12.47-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-12.47&CDS=1-957	YMR194W, YPL249C-A
370	OG0000370	maker-scaffold_00021-augustus-gene-12.89-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-12.89&CDS=1-3225	YJR127C, YML081W
371	OG0000371	snap_masked-scaffold_00021-processed-gene-12.12-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-12.12&CDS=1-720	YHR146W, YNL173C
372	OG0000372	augustus_masked-scaffold_00021-processed-gene-13.16-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-13.16&CDS=1-3888	YIR033W, YKL020C
373	OG0000373	snap_masked-scaffold_00021-processed-gene-14.45-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-14.45&CDS=1-3690	YGL133W, YPL216W
374	OG0000374	maker-scaffold_00021-snap-gene-14.4-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-14.4&CDS=1-1743	YEL041W, YJR049C
375	OG0000375	augustus_masked-scaffold_00021-processed-gene-15.49-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-15.49&CDS=1-10218	YKL129C, YMR109W
376	OG0000376	snap_masked-scaffold_00021-processed-gene-15.13-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-15.13&CDS=1-921, snap_masked-scaffold_00021-processed-gene-23.78-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.78&CDS=1-930	YGR060W
377	OG0000377	snap_masked-scaffold_00021-processed-gene-16.34-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.34&CDS=1-762	YFR031C-A, YIL018W
378	OG0000378	snap_masked-scaffold_00021-processed-gene-16.35-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.35&CDS=1-927	YHL034C, YLL046C
379	OG0000379	snap_masked-scaffold_00021-processed-gene-16.47-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.47&CDS=1-3288	YLR031W, YMR124W
380	OG0000380	snap_masked-scaffold_00021-processed-gene-17.6-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-17.6&CDS=1-549	YJL177W, YKL180W
381	OG0000381	maker-scaffold_00021-augustus-gene-18.76-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-18.76&CDS=1-2262, maker-scaffold_00021-snap-gene-17.102-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-17.102&CDS=1-2139	YNL099C
382	OG0000382	augustus_masked-scaffold_00021-processed-gene-18.5-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-18.5&CDS=1-1245	YKL133C, YMR115W
383	OG0000383	snap_masked-scaffold_00021-processed-gene-18.67-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-18.67&CDS=1-1473, snap_masked-scaffold_00022-processed-gene-4.76-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.76&CDS=1-1416	YGR019W
384	OG0000384	maker-scaffold_00021-augustus-gene-22.104-mRNA-1_1&gene=maker-scaffold_00021-augustus-gene-22.104&CDS=1-3546, snap_masked-scaffold_00021-processed-gene-18.71-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-18.71&CDS=1-2970	YBR084W
385	OG0000385	snap_masked-scaffold_00021-processed-gene-18.73-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-18.73&CDS=1-981	YAL034C, YOR338W
386	OG0000386	snap_masked-scaffold_00021-processed-gene-19.78-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-19.78&CDS=1-318	YHR141C, YNL162W
387	OG0000387	snap_masked-scaffold_00021-processed-gene-19.86-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-19.86&CDS=1-462	YEL034W, YJR047C
388	OG0000388	augustus_masked-scaffold_00021-processed-gene-19.60-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-19.60&CDS=1-2289	YJR059W, YKL198C
389	OG0000389	snap_masked-scaffold_00021-processed-gene-19.90-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-19.90&CDS=1-2790	YCR067C, YNR026C
390	OG0000390	snap_masked-scaffold_00021-processed-gene-20.103-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-20.103&CDS=1-606	YDL082W, YMR142C
391	OG0000391	snap_masked-scaffold_00021-processed-gene-20.73-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-20.73&CDS=1-426	YDL083C, YMR143W
392	OG0000392	maker-scaffold_00021-snap-gene-21.3-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-21.3&CDS=1-3285	YDL079C, YMR139W
393	OG0000393	augustus_masked-scaffold_00022-processed-gene-6.29-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-6.29&CDS=1-516, snap_masked-scaffold_00021-processed-gene-22.35-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-22.35&CDS=1-549	YLR109W
394	OG0000394	augustus_masked-scaffold_00021-processed-gene-22.74-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-22.74&CDS=1-7341	YBR031W, YDR012W
395	OG0000395	snap_masked-scaffold_00021-processed-gene-22.28-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-22.28&CDS=1-1194	YDR247W, YPL026C
396	OG0000396	snap_masked-scaffold_00021-processed-gene-23.71-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.71&CDS=1-3639	YBL101C, YPR030W
397	OG0000397	augustus_masked-scaffold_00022-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-1.15&CDS=1-1335, snap_masked-scaffold_00021-processed-gene-23.53-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.53&CDS=1-801	YKL190W
398	OG0000398	snap_masked-scaffold_00021-processed-gene-23.77-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.77&CDS=1-516	YMR242C, YOR312C
399	OG0000399	snap_masked-scaffold_00021-processed-gene-23.87-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.87&CDS=1-510	YGR131W, YPR149W
400	OG0000400	snap_masked-scaffold_00021-processed-gene-23.63-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-23.63&CDS=1-543	YDL137W, YDL192W
401	OG0000401	augustus_masked-scaffold_00021-processed-gene-23.20-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-23.20&CDS=1-360	YDL136W, YDL191W
402	OG0000402	snap_masked-scaffold_00021-processed-gene-24.69-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.69&CDS=1-801	YGR136W, YPR154W
403	OG0000403	maker-scaffold_00021-snap-gene-24.158-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-24.158&CDS=1-783	YGR214W, YLR048W
404	OG0000404	snap_masked-scaffold_00021-processed-gene-24.138-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.138&CDS=1-375, snap_masked-scaffold_00022-processed-gene-16.24-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-16.24&CDS=1-372	YNL322C
405	OG0000405	augustus_masked-scaffold_00022-processed-gene-19.60-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-19.60&CDS=1-1692, snap_masked-scaffold_00022-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.27&CDS=1-2685	YIL137C
406	OG0000406	snap_masked-scaffold_00022-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.46&CDS=1-852	YMR183C, YPL232W
407	OG0000407	maker-scaffold_00022-augustus-gene-1.97-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-1.97&CDS=1-3348	YEL006W, YIL006W
408	OG0000408	snap_masked-scaffold_00022-processed-gene-2.79-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.79&CDS=1-2208	YJL083W, YKR019C
409	OG0000409	snap_masked-scaffold_00022-processed-gene-13.35-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.35&CDS=1-1953, snap_masked-scaffold_00022-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.73&CDS=1-1647	YNL101W
410	OG0000410	snap_masked-scaffold_00022-processed-gene-2.74-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-2.74&CDS=1-2037	YLR098C, YOR337W
411	OG0000411	snap_masked-scaffold_00022-processed-gene-4.66-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.66&CDS=1-321	YOR234C, YPL143W
412	OG0000412	snap_masked-scaffold_00022-processed-gene-4.67-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.67&CDS=1-1272	YOR237W, YPL145C
413	OG0000413	snap_masked-scaffold_00022-processed-gene-4.69-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-4.69&CDS=1-1410	YEL047C, YJR051W
414	OG0000414	augustus_masked-scaffold_00022-processed-gene-5.56-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.56&CDS=1-3834	YDR122W, YLR096W
415	OG0000415	augustus_masked-scaffold_00022-processed-gene-5.60-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.60&CDS=1-3405	YBL068W, YER099C
416	OG0000416	snap_masked-scaffold_00022-processed-gene-5.18-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-5.18&CDS=1-267	YBR089C-A, YPR052C
417	OG0000417	augustus_masked-scaffold_00022-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-5.69&CDS=1-4083	YER081W, YIL074C
418	OG0000418	augustus_masked-scaffold_00022-processed-gene-6.23-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-6.23&CDS=1-663	YPR169W-A, YPR170W-B
419	OG0000419	snap_masked-scaffold_00022-processed-gene-7.71-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-7.71&CDS=1-3009	YGL049C, YGR162W
420	OG0000420	snap_masked-scaffold_00022-processed-gene-7.49-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-7.49&CDS=1-1044	YJL133W, YKR052C
421	OG0000421	snap_masked-scaffold_00022-processed-gene-7.51-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-7.51&CDS=1-1422	YLL012W, YLR020C
422	OG0000422	snap_masked-scaffold_00022-processed-gene-7.66-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-7.66&CDS=1-2277	YGL139W, YPL221W
423	OG0000423	snap_masked-scaffold_00022-processed-gene-8.29-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-8.29&CDS=1-762	YDR099W, YER177W
424	OG0000424	snap_masked-scaffold_00022-processed-gene-8.15-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-8.15&CDS=1-1815	YDR389W, YOR134W
425	OG0000425	snap_masked-scaffold_00022-processed-gene-9.51-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-9.51&CDS=1-702	YIR013C, YLR013W
426	OG0000426	snap_masked-scaffold_00022-processed-gene-9.58-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-9.58&CDS=1-957	YDR273W, YOR042W
427	OG0000427	snap_masked-scaffold_00022-processed-gene-10.29-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.29&CDS=1-726	YHR198C, YHR199C
428	OG0000428	snap_masked-scaffold_00022-processed-gene-12.82-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-12.82&CDS=1-348	YMR230W, YOR293W
429	OG0000429	maker-scaffold_00022-snap-gene-12.16-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-12.16&CDS=1-399	YHL001W, YKL006W
430	OG0000430	augustus_masked-scaffold_00022-processed-gene-13.108-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-13.108&CDS=1-618	YBL043W, YJR115W
431	OG0000431	maker-scaffold_00022-augustus-gene-13.9-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-13.9&CDS=1-2097	YDL155W, YLR210W
432	OG0000432	snap_masked-scaffold_00022-processed-gene-13.60-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.60&CDS=1-579	YOR226C, YPL135W
433	OG0000433	snap_masked-scaffold_00022-processed-gene-13.63-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.63&CDS=1-459	YDR252W, YPL037C
434	OG0000434	snap_masked-scaffold_00022-processed-gene-14.27-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-14.27&CDS=1-2328	YFL004W, YPL019C
435	OG0000435	snap_masked-scaffold_00022-processed-gene-14.50-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-14.50&CDS=1-4023	YCR005C, YNR001C
436	OG0000436	snap_masked-scaffold_00022-processed-gene-15.55-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-15.55&CDS=1-1677	YEL063C, YNL268W
437	OG0000437	snap_masked-scaffold_00022-processed-gene-15.64-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-15.64&CDS=1-282	YGR008C, YLR327C
438	OG0000438	augustus_masked-scaffold_00022-processed-gene-15.22-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-15.22&CDS=1-2127	YGR241C, YHR161C
439	OG0000439	maker-scaffold_00022-snap-gene-16.2-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-16.2&CDS=1-639	YLR287C-A, YOR182C
440	OG0000440	snap_masked-scaffold_00022-processed-gene-16.53-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-16.53&CDS=1-912	YLR270W, YOR173W
441	OG0000441	snap_masked-scaffold_00022-processed-gene-16.37-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-16.37&CDS=1-1089	YIL135C, YNL074C
442	OG0000442	snap_masked-scaffold_00022-processed-gene-16.40-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-16.40&CDS=1-1461	YIL085C, YNL029C
443	OG0000443	augustus_masked-scaffold_00022-processed-gene-17.57-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-17.57&CDS=1-3240	YGR056W, YLR357W
444	OG0000444	maker-scaffold_00022-augustus-gene-17.90-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-17.90&CDS=1-3876	YBR001C, YDR001C
445	OG0000445	snap_masked-scaffold_00022-processed-gene-18.58-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-18.58&CDS=1-807	YDR272W, YOR040W
446	OG0000446	snap_masked-scaffold_00022-processed-gene-18.96-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-18.96&CDS=1-2352	YBL067C, YER098W
447	OG0000447	snap_masked-scaffold_00022-processed-gene-18.100-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-18.100&CDS=1-354	YER131W, YGL189C
448	OG0000448	snap_masked-scaffold_00022-processed-gene-18.80-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-18.80&CDS=1-516	YKL141W, YMR118C
449	OG0000449	snap_masked-scaffold_00022-processed-gene-19.39-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.39&CDS=1-1482	YLR260W, YOR171C
450	OG0000450	snap_masked-scaffold_00022-processed-gene-19.17-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.17&CDS=1-2157	YER066W, YFL009W
451	OG0000451	augustus_masked-scaffold_00022-processed-gene-19.98-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-19.98&CDS=1-657	YML106W, YMR271C
452	OG0000452	snap_masked-scaffold_00022-processed-gene-19.49-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.49&CDS=1-4338	YML109W, YMR273C
453	OG0000453	snap_masked-scaffold_00022-processed-gene-19.36-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.36&CDS=1-3252	YML100W, YMR261C
454	OG0000454	snap_masked-scaffold_00022-processed-gene-20.27-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-20.27&CDS=1-816	YMR222C, YOR280C
455	OG0000455	augustus_masked-scaffold_00022-processed-gene-20.167-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-20.167&CDS=1-297	YJR094W-A, YPR043W
456	OG0000456	snap_masked-scaffold_00022-processed-gene-20.85-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-20.85&CDS=1-3303	YJR091C, YPR042C
457	OG0000457	maker-scaffold_00004-augustus-gene-0.102-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-0.102&CDS=1-1854	YDL230W
458	OG0000458	snap_masked-scaffold_00004-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.33&CDS=1-1278	YNL207W
459	OG0000459	snap_masked-scaffold_00004-processed-gene-0.34-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.34&CDS=1-2463	YNL118C
460	OG0000460	snap_masked-scaffold_00004-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.5&CDS=1-816	YLR393W
461	OG0000461	snap_masked-scaffold_00004-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.6&CDS=1-354	YHL015W
462	OG0000462	snap_masked-scaffold_00004-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.7&CDS=1-1755	YOR090C
463	OG0000463	snap_masked-scaffold_00004-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.8&CDS=1-3636	YLR398C
464	OG0000464	snap_masked-scaffold_00004-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.9&CDS=1-2319	YLR397C
465	OG0000465	snap_masked-scaffold_00004-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.36&CDS=1-903	YDL065C
466	OG0000466	snap_masked-scaffold_00004-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.10&CDS=1-480	YDL064W
467	OG0000467	snap_masked-scaffold_00004-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.11&CDS=1-2397	YJL156C
468	OG0000468	snap_masked-scaffold_00004-processed-gene-0.39-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.39&CDS=1-1923	YDL063C
469	OG0000469	maker-scaffold_00004-augustus-gene-0.104-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-0.104&CDS=1-4557	YLR386W
470	OG0000470	augustus_masked-scaffold_00004-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-0.68&CDS=1-1848	YNL081C
471	OG0000471	snap_masked-scaffold_00004-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.44&CDS=1-1527	YDR470C
472	OG0000472	snap_masked-scaffold_00004-processed-gene-0.45-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.45&CDS=1-399	YDR469W
473	OG0000473	augustus_masked-scaffold_00004-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-0.69&CDS=1-1617	YDR392W
474	OG0000474	snap_masked-scaffold_00004-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.46&CDS=1-2640	YOR144C
475	OG0000475	snap_masked-scaffold_00004-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.23&CDS=1-645	YOR148C
476	OG0000476	snap_masked-scaffold_00004-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.48&CDS=1-2280	YKL134C
477	OG0000477	augustus_masked-scaffold_00004-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-0.73&CDS=1-1236	YHR008C
478	OG0000478	snap_masked-scaffold_00004-processed-gene-0.50-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.50&CDS=1-1575	YOR132W
479	OG0000479	snap_masked-scaffold_00004-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.28&CDS=1-780	YOR145C
480	OG0000480	snap_masked-scaffold_00004-processed-gene-0.51-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.51&CDS=1-636	YHR013C
481	OG0000481	snap_masked-scaffold_00004-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.52&CDS=1-726	YDR472W
482	OG0000482	snap_masked-scaffold_00004-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-0.29&CDS=1-1347	YOR023C
483	OG0000483	snap_masked-scaffold_00004-processed-gene-1.55-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.55&CDS=1-1308	YHR109W
484	OG0000484	snap_masked-scaffold_00004-processed-gene-1.53-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.53&CDS=1-834	YLR192C
485	OG0000485	maker-scaffold_00004-augustus-gene-1.3-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-1.3&CDS=1-4626	YOR007C
486	OG0000486	snap_masked-scaffold_00004-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.65&CDS=1-1467	YGR260W
487	OG0000487	snap_masked-scaffold_00004-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.84&CDS=1-963	YOR006C
488	OG0000488	snap_masked-scaffold_00004-processed-gene-1.85-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.85&CDS=1-1269	YJL026W
489	OG0000489	snap_masked-scaffold_00004-processed-gene-1.66-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.66&CDS=1-2709	YOR005C
490	OG0000490	augustus_masked-scaffold_00004-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.23&CDS=1-3072	YDR394W
491	OG0000491	snap_masked-scaffold_00004-processed-gene-1.88-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.88&CDS=1-1623	YOR149C
492	OG0000492	snap_masked-scaffold_00004-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.89&CDS=1-1968	YDR398W
493	OG0000493	snap_masked-scaffold_00004-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.90&CDS=1-273	YER074W-A
494	OG0000494	snap_masked-scaffold_00004-processed-gene-1.73-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.73&CDS=1-984	YMR055C
495	OG0000495	snap_masked-scaffold_00004-processed-gene-1.91-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.91&CDS=1-1866	YKL074C
496	OG0000496	snap_masked-scaffold_00004-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.92&CDS=1-2772	YKL073W
497	OG0000497	snap_masked-scaffold_00004-processed-gene-1.74-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.74&CDS=1-642	YDR399W
498	OG0000498	snap_masked-scaffold_00004-processed-gene-1.93-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.93&CDS=1-1068	YGR048W
499	OG0000499	snap_masked-scaffold_00004-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.94&CDS=1-3000	YDR395W
500	OG0000500	snap_masked-scaffold_00004-processed-gene-1.75-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.75&CDS=1-849	YCL031C
501	OG0000501	snap_masked-scaffold_00004-processed-gene-1.76-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.76&CDS=1-849	YMR289W
502	OG0000502	augustus_masked-scaffold_00004-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.47&CDS=1-2373	YJL025W
503	OG0000503	snap_masked-scaffold_00004-processed-gene-1.80-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.80&CDS=1-828	YKL095W
504	OG0000504	snap_masked-scaffold_00004-processed-gene-1.99-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.99&CDS=1-2526	YIL068C
505	OG0000505	snap_masked-scaffold_00004-processed-gene-1.100-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.100&CDS=1-1746	YGR178C
506	OG0000506	augustus_masked-scaffold_00004-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.50&CDS=1-1752	YER072W
507	OG0000507	snap_masked-scaffold_00004-processed-gene-1.104-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-1.104&CDS=1-4047	YOR291W
508	OG0000508	snap_masked-scaffold_00004-processed-gene-2.0-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.0&CDS=1-1590	YMR227C
509	OG0000509	maker-scaffold_00004-augustus-gene-2.106-mRNA-1_1&gene=maker-scaffold_00004-augustus-gene-2.106&CDS=1-3402	YHL011C
510	OG0000510	augustus_masked-scaffold_00004-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-2.56&CDS=1-6060	YMR229C
511	OG0000511	snap_masked-scaffold_00004-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.11&CDS=1-3852	YMR076C
512	OG0000512	snap_masked-scaffold_00004-processed-gene-2.32-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-2.32&CDS=1-1338	YDL207W
