	OrthologID	Geotrichum_candidum	Saccharomyces_cerevisiae
568	OG0000568	genemark-CCBN010000005.1-processed-gene-13.50-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-13.50&CDS=1-2298, genemark-CCBN010000006.1-processed-gene-0.50-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.50&CDS=1-1554	YOR140W
569	OG0000569	genemark-CCBN010000005.1-processed-gene-14.45-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-14.45&CDS=1-2646, snap_masked-CCBN010000022.1-processed-gene-1.28-mRNA-1_1&gene=snap_masked-CCBN010000022.1-processed-gene-1.28&CDS=1-2922	YIR023W
570	OG0000570	genemark-CCBN010000005.1-processed-gene-14.33-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-14.33&CDS=1-1470, snap_masked-CCBN010000010.1-processed-gene-2.1-mRNA-1_1&gene=snap_masked-CCBN010000010.1-processed-gene-2.1&CDS=1-1560	YKL103C
571	OG0000571	augustus_masked-CCBN010000005.1-processed-gene-14.5-mRNA-1_1&gene=augustus_masked-CCBN010000005.1-processed-gene-14.5&CDS=1-627, snap_masked-CCBN010000022.1-processed-gene-1.15-mRNA-1_1&gene=snap_masked-CCBN010000022.1-processed-gene-1.15&CDS=1-603	YKR097W
572	OG0000572	genemark-CCBN010000005.1-processed-gene-14.50-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-14.50&CDS=1-1083, genemark-CCBN010000022.1-processed-gene-1.66-mRNA-1_1&gene=genemark-CCBN010000022.1-processed-gene-1.66&CDS=1-1137	YML008C
573	OG0000573	genemark-CCBN010000005.1-processed-gene-14.38-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-14.38&CDS=1-1218, genemark-CCBN010000022.1-processed-gene-1.50-mRNA-1_1&gene=genemark-CCBN010000022.1-processed-gene-1.50&CDS=1-1218	YPR191W
574	OG0000574	augustus_masked-CCBN010000022.1-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-CCBN010000022.1-processed-gene-1.83&CDS=1-3726, snap_masked-CCBN010000005.1-processed-gene-15.116-mRNA-1_1&gene=snap_masked-CCBN010000005.1-processed-gene-15.116&CDS=1-3615	YKL057C
575	OG0000575	maker-CCBN010000005.1-snap-gene-15.6-mRNA-1_1&gene=maker-CCBN010000005.1-snap-gene-15.6&CDS=1-2220, maker-CCBN010000021.1-augustus-gene-0.114-mRNA-1_1&gene=maker-CCBN010000021.1-augustus-gene-0.114&CDS=1-1947	YBL105C
576	OG0000576	genemark-CCBN010000005.1-processed-gene-15.65-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.65&CDS=1-1887	YDL042C, YOL068C
577	OG0000577	augustus_masked-CCBN010000005.1-processed-gene-15.38-mRNA-1_1&gene=augustus_masked-CCBN010000005.1-processed-gene-15.38&CDS=1-4191, snap_masked-CCBN010000021.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-CCBN010000021.1-processed-gene-0.79&CDS=1-2520	YOL070C
578	OG0000578	genemark-CCBN010000005.1-processed-gene-15.90-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.90&CDS=1-1566, genemark-CCBN010000021.1-processed-gene-0.41-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-0.41&CDS=1-1023	YOL067C
579	OG0000579	genemark-CCBN010000005.1-processed-gene-15.68-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.68&CDS=1-2622, genemark-CCBN010000007.1-processed-gene-3.38-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-3.38&CDS=1-2565	YJL154C
580	OG0000580	genemark-CCBN010000005.1-processed-gene-15.70-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.70&CDS=1-1629, genemark-CCBN010000007.1-processed-gene-3.37-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-3.37&CDS=1-1551	YIL101C
581	OG0000581	genemark-CCBN010000005.1-processed-gene-15.74-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-15.74&CDS=1-1806	YGR092W, YPR111W
582	OG0000582	augustus_masked-CCBN010000018.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-CCBN010000018.1-processed-gene-0.1&CDS=1-2877, genemark-CCBN010000006.1-processed-gene-0.38-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.38&CDS=1-2841	YBL104C
583	OG0000583	genemark-CCBN010000006.1-processed-gene-0.58-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.58&CDS=1-1212	YAL060W, YAL061W
584	OG0000584	genemark-CCBN010000006.1-processed-gene-0.42-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.42&CDS=1-1245, genemark-CCBN010000012.1-processed-gene-0.3-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-0.3&CDS=1-1305	YDL128W
585	OG0000585	genemark-CCBN010000006.1-processed-gene-0.61-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.61&CDS=1-2616, genemark-CCBN010000012.1-processed-gene-0.15-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-0.15&CDS=1-2772	YFR002W
586	OG0000586	genemark-CCBN010000012.1-processed-gene-0.5-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-0.5&CDS=1-3075, snap_masked-CCBN010000006.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-0.83&CDS=1-2811	YGR170W
587	OG0000587	genemark-CCBN010000006.1-processed-gene-1.17-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-1.17&CDS=1-1080	YDL175C, YIL079C
588	OG0000588	augustus_masked-CCBN010000006.1-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-1.35&CDS=1-2490, augustus_masked-CCBN010000012.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-CCBN010000012.1-processed-gene-0.40&CDS=1-2697	YLR001C
589	OG0000589	genemark-CCBN010000006.1-processed-gene-2.73-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-2.73&CDS=1-1350	YHL003C, YKL008C
590	OG0000590	snap_masked-CCBN010000006.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-2.28&CDS=1-1578	YBR273C, YJL048C
591	OG0000591	genemark-CCBN010000006.1-processed-gene-2.91-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-2.91&CDS=1-2349, snap_masked-CCBN010000019.1-processed-gene-4.7-mRNA-1_1&gene=snap_masked-CCBN010000019.1-processed-gene-4.7&CDS=1-2340	YLR304C
592	OG0000592	augustus_masked-CCBN010000006.1-processed-gene-3.23-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-3.23&CDS=1-1416, snap_masked-CCBN010000019.1-processed-gene-4.5-mRNA-1_1&gene=snap_masked-CCBN010000019.1-processed-gene-4.5&CDS=1-1314	YNL182C
593	OG0000593	genemark-CCBN010000006.1-processed-gene-3.9-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-3.9&CDS=1-3333, maker-CCBN010000019.1-snap-gene-4.71-mRNA-1_1&gene=maker-CCBN010000019.1-snap-gene-4.71&CDS=1-3690	YIL147C
594	OG0000594	genemark-CCBN010000009.1-processed-gene-5.5-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.5&CDS=1-3642, snap_masked-CCBN010000006.1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-4.20&CDS=1-3609	YBR023C
595	OG0000595	augustus_masked-CCBN010000006.1-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-4.33&CDS=1-861, genemark-CCBN010000009.1-processed-gene-5.8-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.8&CDS=1-945	YGR017W
596	OG0000596	genemark-CCBN010000006.1-processed-gene-4.59-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-4.59&CDS=1-1431, genemark-CCBN010000009.1-processed-gene-5.9-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.9&CDS=1-1482	YGR019W
597	OG0000597	genemark-CCBN010000006.1-processed-gene-4.60-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-4.60&CDS=1-1719, genemark-CCBN010000009.1-processed-gene-5.10-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.10&CDS=1-2313	YFR016C
598	OG0000598	genemark-CCBN010000006.1-processed-gene-5.45-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.45&CDS=1-1155, genemark-CCBN010000011.1-processed-gene-7.56-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-7.56&CDS=1-1104	YMR139W
599	OG0000599	genemark-CCBN010000006.1-processed-gene-5.47-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.47&CDS=1-2064, genemark-CCBN010000019.1-processed-gene-3.85-mRNA-1_1&gene=genemark-CCBN010000019.1-processed-gene-3.85&CDS=1-1824	YCL029C
600	OG0000600	augustus_masked-CCBN010000006.1-processed-gene-6.18-mRNA-1_1&gene=augustus_masked-CCBN010000006.1-processed-gene-6.18&CDS=1-1470, genemark-CCBN010000007.1-processed-gene-7.60-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.60&CDS=1-1560	YMR221C
601	OG0000601	genemark-CCBN010000006.1-processed-gene-6.45-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-6.45&CDS=1-1791, genemark-CCBN010000007.1-processed-gene-8.59-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-8.59&CDS=1-2190	YCR065W
602	OG0000602	genemark-CCBN010000006.1-processed-gene-6.40-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-6.40&CDS=1-756	YDR099W, YER177W
603	OG0000603	genemark-CCBN010000006.1-processed-gene-7.36-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.36&CDS=1-1389	YMR243C, YOR316C
604	OG0000604	genemark-CCBN010000006.1-processed-gene-7.43-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.43&CDS=1-1665, genemark-CCBN010000008.1-processed-gene-2.29-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-2.29&CDS=1-1698	YOR273C
605	OG0000605	genemark-CCBN010000006.1-processed-gene-8.49-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-8.49&CDS=1-1359, genemark-CCBN010000007.1-processed-gene-9.50-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-9.50&CDS=1-1446	YBR287W
606	OG0000606	genemark-CCBN010000006.1-processed-gene-9.25-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-9.25&CDS=1-1986, genemark-CCBN010000007.1-processed-gene-6.52-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-6.52&CDS=1-1821	YGL003C
607	OG0000607	genemark-CCBN010000006.1-processed-gene-9.13-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-9.13&CDS=1-2493, genemark-CCBN010000007.1-processed-gene-6.37-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-6.37&CDS=1-2109	YJR090C
608	OG0000608	genemark-CCBN010000006.1-processed-gene-10.45-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-10.45&CDS=1-1020	YHR210C, YNR071C
609	OG0000609	genemark-CCBN010000006.1-processed-gene-10.49-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-10.49&CDS=1-1230, genemark-CCBN010000016.1-processed-gene-5.68-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-5.68&CDS=1-1614	YML130C
610	OG0000610	genemark-CCBN010000006.1-processed-gene-11.62-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-11.62&CDS=1-2331	YNL299W, YOL115W
611	OG0000611	maker-CCBN010000006.1-augustus-gene-11.53-mRNA-1_1&gene=maker-CCBN010000006.1-augustus-gene-11.53&CDS=1-1944	YDR263C, YOR033C
612	OG0000612	genemark-CCBN010000026.1-processed-gene-0.59-mRNA-1_1&gene=genemark-CCBN010000026.1-processed-gene-0.59&CDS=1-1737, snap_masked-CCBN010000006.1-processed-gene-11.39-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-11.39&CDS=1-1938	YML046W
613	OG0000613	genemark-CCBN010000007.1-processed-gene-0.75-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.75&CDS=1-2091, genemark-CCBN010000020.1-processed-gene-0.73-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-0.73&CDS=1-1830	YBR260C
614	OG0000614	augustus_masked-CCBN010000007.1-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-0.34&CDS=1-2136, snap_masked-CCBN010000020.1-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CCBN010000020.1-processed-gene-1.100&CDS=1-2034	YIL005W
615	OG0000615	genemark-CCBN010000007.1-processed-gene-0.62-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.62&CDS=1-1179, genemark-CCBN010000020.1-processed-gene-1.54-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-1.54&CDS=1-1446	YEL007W
616	OG0000616	augustus_masked-CCBN010000028.1-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-CCBN010000028.1-processed-gene-0.53&CDS=1-1551, genemark-CCBN010000007.1-processed-gene-0.81-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.81&CDS=1-1146	YGL066W
617	OG0000617	genemark-CCBN010000007.1-processed-gene-0.69-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.69&CDS=1-2292, genemark-CCBN010000020.1-processed-gene-2.105-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-2.105&CDS=1-2529	YML035C
618	OG0000618	genemark-CCBN010000007.1-processed-gene-0.70-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.70&CDS=1-789	YGR248W, YHR163W
619	OG0000619	augustus_masked-CCBN010000020.1-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-CCBN010000020.1-processed-gene-2.66&CDS=1-2193, snap_masked-CCBN010000007.1-processed-gene-1.26-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-1.26&CDS=1-2616	YHR154W
620	OG0000620	genemark-CCBN010000007.1-processed-gene-1.110-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-1.110&CDS=1-1650	YCR048W, YNR019W
621	OG0000621	genemark-CCBN010000007.1-processed-gene-2.60-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-2.60&CDS=1-1692	YER059W, YIL050W
622	OG0000622	genemark-CCBN010000007.1-processed-gene-2.70-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-2.70&CDS=1-201	YLR264W, YOR167C
623	OG0000623	genemark-CCBN010000007.1-processed-gene-4.92-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.92&CDS=1-2997	YJL083W, YKR019C
624	OG0000624	genemark-CCBN010000007.1-processed-gene-4.78-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.78&CDS=1-978	YBR147W, YOL092W
625	OG0000625	genemark-CCBN010000007.1-processed-gene-4.101-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.101&CDS=1-1812, genemark-CCBN010000014.1-processed-gene-6.152-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-6.152&CDS=1-1968	YHL027W
626	OG0000626	genemark-CCBN010000007.1-processed-gene-4.102-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.102&CDS=1-555	YBR118W, YPR080W
627	OG0000627	genemark-CCBN010000007.1-processed-gene-4.103-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.103&CDS=1-2532, genemark-CCBN010000014.1-processed-gene-6.153-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-6.153&CDS=1-2988	YIL130W
628	OG0000628	genemark-CCBN010000007.1-processed-gene-5.44-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-5.44&CDS=1-1569, genemark-CCBN010000018.1-processed-gene-2.78-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-2.78&CDS=1-1575	YER073W
629	OG0000629	genemark-CCBN010000007.1-processed-gene-5.35-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-5.35&CDS=1-3528, genemark-CCBN010000014.1-processed-gene-0.80-mRNA-1_1&gene=genemark-CCBN010000014.1-processed-gene-0.80&CDS=1-3069	YDL117W
630	OG0000630	snap_masked-CCBN010000007.1-processed-gene-5.11-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-5.11&CDS=1-1251, snap_masked-CCBN010000014.1-processed-gene-5.17-mRNA-1_1&gene=snap_masked-CCBN010000014.1-processed-gene-5.17&CDS=1-1554	YGR110W
631	OG0000631	genemark-CCBN010000007.1-processed-gene-6.46-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-6.46&CDS=1-1461	YFR053C, YGL253W
632	OG0000632	genemark-CCBN010000007.1-processed-gene-7.45-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.45&CDS=1-801, genemark-CCBN010000025.1-processed-gene-0.41-mRNA-1_1&gene=genemark-CCBN010000025.1-processed-gene-0.41&CDS=1-888	YKR071C
633	OG0000633	snap_masked-CCBN010000007.1-processed-gene-7.79-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-7.79&CDS=1-279	YGR008C, YLR327C
634	OG0000634	genemark-CCBN010000007.1-processed-gene-7.46-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.46&CDS=1-1452, snap_masked-CCBN010000025.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-CCBN010000025.1-processed-gene-0.99&CDS=1-1437	YAL022C
635	OG0000635	augustus_masked-CCBN010000007.1-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-7.28&CDS=1-1254, augustus_masked-CCBN010000028.1-processed-gene-4.44-mRNA-1_1&gene=augustus_masked-CCBN010000028.1-processed-gene-4.44&CDS=1-1767	YNL042W
636	OG0000636	genemark-CCBN010000007.1-processed-gene-7.47-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.47&CDS=1-2178, genemark-CCBN010000025.1-processed-gene-0.45-mRNA-1_1&gene=genemark-CCBN010000025.1-processed-gene-0.45&CDS=1-1989	YOR360C
637	OG0000637	genemark-CCBN010000007.1-processed-gene-7.49-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.49&CDS=1-1572	YER064C, YIL056W
638	OG0000638	genemark-CCBN010000007.1-processed-gene-7.66-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-7.66&CDS=1-1602, genemark-CCBN010000008.1-processed-gene-5.47-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-5.47&CDS=1-2016	YLR034C
639	OG0000639	genemark-CCBN010000007.1-processed-gene-8.55-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-8.55&CDS=1-882	YLR284C, YOR180C
640	OG0000640	genemark-CCBN010000007.1-processed-gene-9.57-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-9.57&CDS=1-4863, maker-CCBN010000022.1-snap-gene-2.141-mRNA-1_1&gene=maker-CCBN010000022.1-snap-gene-2.141&CDS=1-10287	YLL048C
641	OG0000641	genemark-CCBN010000007.1-processed-gene-10.32-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-10.32&CDS=1-2760, genemark-CCBN010000018.1-processed-gene-2.59-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-2.59&CDS=1-2742	YBR017C
642	OG0000642	genemark-CCBN010000007.1-processed-gene-10.35-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-10.35&CDS=1-555	YJL177W, YKL180W
643	OG0000643	genemark-CCBN010000007.1-processed-gene-10.37-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-10.37&CDS=1-1326, genemark-CCBN010000016.1-processed-gene-4.29-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.29&CDS=1-1326	YLR314C
644	OG0000644	genemark-CCBN010000007.1-processed-gene-10.38-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-10.38&CDS=1-747, snap_masked-CCBN010000016.1-processed-gene-4.80-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-4.80&CDS=1-1389	YLL023C
645	OG0000645	genemark-CCBN010000007.1-processed-gene-10.53-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-10.53&CDS=1-2631, genemark-CCBN010000016.1-processed-gene-4.8-mRNA-1_1&gene=genemark-CCBN010000016.1-processed-gene-4.8&CDS=1-2649	YKR009C
646	OG0000646	genemark-CCBN010000007.1-processed-gene-11.47-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.47&CDS=1-1095, genemark-CCBN010000018.1-processed-gene-1.100-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.100&CDS=1-1176	YFR018C
647	OG0000647	genemark-CCBN010000007.1-processed-gene-11.50-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.50&CDS=1-1056, genemark-CCBN010000018.1-processed-gene-1.83-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.83&CDS=1-924	YLR403W
648	OG0000648	genemark-CCBN010000007.1-processed-gene-11.67-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.67&CDS=1-5226, genemark-CCBN010000018.1-processed-gene-1.81-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.81&CDS=1-3849	YBL047C
649	OG0000649	genemark-CCBN010000007.1-processed-gene-11.52-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.52&CDS=1-933, genemark-CCBN010000018.1-processed-gene-0.44-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.44&CDS=1-1065	YIL145C
650	OG0000650	genemark-CCBN010000007.1-processed-gene-11.72-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.72&CDS=1-759, genemark-CCBN010000018.1-processed-gene-0.66-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-0.66&CDS=1-774	YLR126C
651	OG0000651	genemark-CCBN010000007.1-processed-gene-11.63-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-11.63&CDS=1-924	YBR104W, YPR058W
652	OG0000652	genemark-CCBN010000008.1-processed-gene-0.33-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-0.33&CDS=1-2109, maker-CCBN010000008.1-snap-gene-3.36-mRNA-1_1&gene=maker-CCBN010000008.1-snap-gene-3.36&CDS=1-1992	YGL203C
653	OG0000653	augustus_masked-CCBN010000008.1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-CCBN010000008.1-processed-gene-0.51&CDS=1-2706, genemark-CCBN010000008.1-processed-gene-3.4-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-3.4&CDS=1-2529	YIL140W
654	OG0000654	genemark-CCBN010000008.1-processed-gene-0.25-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-0.25&CDS=1-5382, snap_masked-CCBN010000008.1-processed-gene-3.54-mRNA-1_1&gene=snap_masked-CCBN010000008.1-processed-gene-3.54&CDS=1-4323	YHR164C
655	OG0000655	genemark-CCBN010000008.1-processed-gene-4.10-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-4.10&CDS=1-2616, snap_masked-CCBN010000008.1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-CCBN010000008.1-processed-gene-0.5&CDS=1-2715	YKR028W
656	OG0000656	genemark-CCBN010000008.1-processed-gene-0.28-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-0.28&CDS=1-1467, genemark-CCBN010000008.1-processed-gene-4.12-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-4.12&CDS=1-1401	YPL262W
657	OG0000657	genemark-CCBN010000011.1-processed-gene-6.81-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-6.81&CDS=1-2805, maker-CCBN010000008.1-augustus-gene-1.132-mRNA-1_1&gene=maker-CCBN010000008.1-augustus-gene-1.132&CDS=1-2916	YML076C
658	OG0000658	genemark-CCBN010000008.1-processed-gene-1.70-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.70&CDS=1-1881	YFL050C, YOL130W
659	OG0000659	genemark-CCBN010000008.1-processed-gene-1.80-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.80&CDS=1-441	YNL302C, YOL121C
660	OG0000660	genemark-CCBN010000008.1-processed-gene-3.18-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-3.18&CDS=1-909, genemark-CCBN010000010.1-processed-gene-3.90-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-3.90&CDS=1-825	YGR031W
661	OG0000661	genemark-CCBN010000008.1-processed-gene-3.19-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-3.19&CDS=1-903, genemark-CCBN010000010.1-processed-gene-3.88-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-3.88&CDS=1-744	YDR174W
662	OG0000662	genemark-CCBN010000008.1-processed-gene-5.25-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-5.25&CDS=1-3645	YJR091C, YPR042C
663	OG0000663	genemark-CCBN010000008.1-processed-gene-6.33-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-6.33&CDS=1-1269	YHR001W, YKR003W
664	OG0000664	genemark-CCBN010000008.1-processed-gene-6.47-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-6.47&CDS=1-462	YDR252W, YPL037C
665	OG0000665	genemark-CCBN010000008.1-processed-gene-6.50-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-6.50&CDS=1-930, genemark-CCBN010000013.1-processed-gene-7.58-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-7.58&CDS=1-849	YHR071W
666	OG0000666	genemark-CCBN010000008.1-processed-gene-7.7-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.7&CDS=1-951	YHR198C, YHR199C
667	OG0000667	genemark-CCBN010000008.1-processed-gene-7.17-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.17&CDS=1-2391, genemark-CCBN010000026.1-processed-gene-0.43-mRNA-1_1&gene=genemark-CCBN010000026.1-processed-gene-0.43&CDS=1-2550	YDL206W
668	OG0000668	genemark-CCBN010000008.1-processed-gene-7.22-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.22&CDS=1-2676	YKL072W, YMR053C
669	OG0000669	genemark-CCBN010000008.1-processed-gene-7.36-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.36&CDS=1-675, genemark-CCBN010000009.1-processed-gene-4.42-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-4.42&CDS=1-666	YLR075W
670	OG0000670	genemark-CCBN010000008.1-processed-gene-7.37-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-7.37&CDS=1-1704, genemark-CCBN010000009.1-processed-gene-4.32-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-4.32&CDS=1-2088	YDR191W
