	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034902_Ogataea_minuta
548	OG0000548	YBR227C	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.58&CDS=1-1299
549	OG0000549	YBR228W	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-5.186-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-5.186&CDS=1-879
550	OG0000550	YBR229C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.119&CDS=1-2697
551	OG0000551	YBR231C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-3.105&CDS=1-699
552	OG0000552	YBR233W-A	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.45&CDS=1-366
553	OG0000553	YBR234C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.14&CDS=1-1092
554	OG0000554	YBR235W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-13.78-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-13.78&CDS=1-3255
555	OG0000555	YBR236C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-13.77-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-13.77&CDS=1-1155
556	OG0000556	YBR239C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.85-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.85&CDS=1-1230
557	OG0000557	YBR243C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.83-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.83&CDS=1-1359
558	OG0000558	YBR246W	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.86-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.86&CDS=1-1014
559	OG0000559	YBR247C	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.112-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.112&CDS=1-1386
560	OG0000560	YBR248C	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.113&CDS=1-1668
561	OG0000561	YBR249C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.169-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-3.169&CDS=1-1116
562	OG0000562	YBR251W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.125-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.125&CDS=1-918
563	OG0000563	YBR253W	augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.98&CDS=1-315
564	OG0000564	YBR254C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.135-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.135&CDS=1-426
565	OG0000565	YBR255W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.139-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-2.139&CDS=1-1542
566	OG0000566	YBR256C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.11-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.11&CDS=1-684
567	OG0000567	YBR257W	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-4.112-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-4.112&CDS=1-834
568	OG0000568	YBR260C	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-4.126&CDS=1-2643
569	OG0000569	YBR261C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-7.38-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-7.38&CDS=1-702
570	OG0000570	YBR265W	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-2.86&CDS=1-1401
571	OG0000571	YBR267W	snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-0.51&CDS=1-1209
572	OG0000572	YBR269C	genemark-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-1.47&CDS=1-402
573	OG0000573	YBR271W	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-8.115-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-8.115&CDS=1-1071
574	OG0000574	YBR272C	genemark-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.190-mRNA-1_1&gene=genemark-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.190&CDS=1-1320
575	OG0000575	YBR276C	augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-5.188-mRNA-1_1&gene=augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-5.188&CDS=1-3417
576	OG0000576	YBR279W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-7.105-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-7.105&CDS=1-1242
577	OG0000577	YBR281C	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.70-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.70&CDS=1-2547
578	OG0000578	YBR283C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-7.65-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-7.65&CDS=1-1464
579	OG0000579	YBR287W	maker-NODE_7_length_744497_cov_40.979_ID_13-snap-gene-2.111-mRNA-1_1&gene=maker-NODE_7_length_744497_cov_40.979_ID_13-snap-gene-2.111&CDS=1-2733
580	OG0000580	YBR288C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.29&CDS=1-1626
581	OG0000581	YBR289W	augustus_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.18&CDS=1-2898
582	OG0000582	YBR291C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-2.99&CDS=1-867
583	OG0000583	YBR296C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.88&CDS=1-1743
584	OG0000584	YCL001W	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.185-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.185&CDS=1-2310
585	OG0000585	YCL004W	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.122&CDS=1-1479
586	OG0000586	YCL010C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.146&CDS=1-705
587	OG0000587	YCL014W	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.116-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.116&CDS=1-3696
588	OG0000588	YCL016C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-1.35&CDS=1-1059
589	OG0000589	YCL017C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.89-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.89&CDS=1-1374
590	OG0000590	YCL018W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.125-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.125&CDS=1-1086
591	OG0000591	YCL029C	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.92-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.92&CDS=1-1122
592	OG0000592	YCL031C	augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.32&CDS=1-864
593	OG0000593	YCL033C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.158-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.158&CDS=1-438
594	OG0000594	YCL034W	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.124-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.124&CDS=1-1164
595	OG0000595	YCL038C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.38&CDS=1-1692
596	OG0000596	YCL039W	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.2&CDS=1-1755
597	OG0000597	YCL043C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.37&CDS=1-1539
598	OG0000598	YCL045C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.168-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.168&CDS=1-2181
599	OG0000599	YCL054W	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-1.75&CDS=1-2472
600	OG0000600	YCL055W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.106-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.106&CDS=1-1155
601	OG0000601	YCL057W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.125-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.125&CDS=1-1992
602	OG0000602	YCL059C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.123-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.123&CDS=1-1026
603	OG0000603	YCL061C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.117-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.117&CDS=1-2631
604	OG0000604	YCR002C	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.123-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.123&CDS=1-1053
605	OG0000605	YCR003W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.87-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.87&CDS=1-519
606	OG0000606	YCR008W	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.179-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.179&CDS=1-7518
607	OG0000607	YCR011C	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.183-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.183&CDS=1-6582
608	OG0000608	YCR012W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-11.60-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-11.60&CDS=1-1248
609	OG0000609	YCR016W	augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.45-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.45&CDS=1-4437
610	OG0000610	YCR017C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-11.83-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-11.83&CDS=1-3921
611	OG0000611	YCR019W	snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.109&CDS=1-993
612	OG0000612	YCR020C-A	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.106&CDS=1-255
613	OG0000613	YCR028C-A	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.95-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.95&CDS=1-384
614	OG0000614	YCR032W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.59&CDS=1-5901
615	OG0000615	YCR033W	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.37&CDS=1-3366
616	OG0000616	YCR034W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.58-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.58&CDS=1-1032
617	OG0000617	YCR036W	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-2.35-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-2.35&CDS=1-918
618	OG0000618	YCR042C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-2.47&CDS=1-4662
619	OG0000619	YCR043C	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.23&CDS=1-552
620	OG0000620	YCR047C	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.11&CDS=1-2352
621	OG0000621	YCR051W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.92-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-5.92&CDS=1-645
622	OG0000622	YCR053W	maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-5.206-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-5.206&CDS=1-3012
623	OG0000623	YCR057C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.213-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.213&CDS=1-2691
624	OG0000624	YCR059C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.212-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.212&CDS=1-891
625	OG0000625	YCR060W	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.261-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.261&CDS=1-852
626	OG0000626	YCR061W	snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.16&CDS=1-1743
627	OG0000627	YCR063W	maker-NODE_6_length_997536_cov_39.9545_ID_11-snap-gene-8.23-mRNA-1_1&gene=maker-NODE_6_length_997536_cov_39.9545_ID_11-snap-gene-8.23&CDS=1-756
628	OG0000628	YCR065W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-6.34-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-6.34&CDS=1-1503
629	OG0000629	YCR072C	maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-1.164-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-1.164&CDS=1-2430
630	OG0000630	YCR079W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.79&CDS=1-1482
631	OG0000631	YCR081W	snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-0.17&CDS=1-4161
632	OG0000632	YCR086W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.159-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.159&CDS=1-1044
633	OG0000633	YCR087C-A	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.129-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.129&CDS=1-453
634	OG0000634	YCR088W	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.63-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.63&CDS=1-1734
635	OG0000635	YCR090C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.109-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.109&CDS=1-474
636	OG0000636	YCR091W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.81-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.81&CDS=1-2199
637	OG0000637	YCR092C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.110-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.110&CDS=1-2919
638	OG0000638	YCR093W	maker-NODE_7_length_744497_cov_40.979_ID_13-augustus-gene-1.186-mRNA-1_1&gene=maker-NODE_7_length_744497_cov_40.979_ID_13-augustus-gene-1.186&CDS=1-8583
639	OG0000639	YCR097W	snap_masked-NODE_15_length_2223_cov_84.9583_ID_29-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_15_length_2223_cov_84.9583_ID_29-processed-gene-0.4&CDS=1-564
640	OG0000640	YCR098C	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-1.68&CDS=1-1494
641	OG0000641	YDL001W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-4.167-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-4.167&CDS=1-1254
642	OG0000642	YDL004W	genemark-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.124-mRNA-1_1&gene=genemark-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.124&CDS=1-501
643	OG0000643	YDL007W	augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.115-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.115&CDS=1-2319
644	OG0000644	YDL014W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.97-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.97&CDS=1-2112
645	OG0000645	YDL015C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.104&CDS=1-948
646	OG0000646	YDL017W	maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-0.7&CDS=1-3357
647	OG0000647	YDL018C	augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.19&CDS=1-618
648	OG0000648	YDL020C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.153-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.153&CDS=1-1449
649	OG0000649	YDL022W	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-10.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-10.105&CDS=1-1212
650	OG0000650	YDL025C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-0.45&CDS=1-1491
651	OG0000651	YDL028C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.57-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.57&CDS=1-2094
652	OG0000652	YDL030W	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-9.77-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-9.77&CDS=1-1467
653	OG0000653	YDL031W	maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-7.8-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-7.8&CDS=1-4011
654	OG0000654	YDL033C	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-6.159-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-6.159&CDS=1-1215
655	OG0000655	YDL043C	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-5.136-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-5.136&CDS=1-654
656	OG0000656	YDL045C	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.98&CDS=1-1149
657	OG0000657	YDL045W-A	augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-7.18-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-7.18&CDS=1-282
658	OG0000658	YDL046W	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-6.78&CDS=1-522
659	OG0000659	YDL047W	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-9.91-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-9.91&CDS=1-945
660	OG0000660	YDL052C	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-8.64-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-8.64&CDS=1-3282
661	OG0000661	YDL055C	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-5.69&CDS=1-4017
662	OG0000662	YDL060W	maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-14.14-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-14.14&CDS=1-3246
663	OG0000663	YDL064W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.136-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.136&CDS=1-486
664	OG0000664	YDL065C	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.177-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.177&CDS=1-867
665	OG0000665	YDL067C	maker-NODE_4_length_1228431_cov_41.8692_ID_7-snap-gene-0.15-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-snap-gene-0.15&CDS=1-183
666	OG0000666	YDL077C	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-6.70&CDS=1-2811
667	OG0000667	YDL084W	maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-3.3-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-3.3&CDS=1-1296
