	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034884_Peterozyma_toletana
254	OG0000254	YEL046C	genemark-flattened_line_49-processed-gene-0.269-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.269&CDS=1-1095, genemark-flattened_line_8-processed-gene-5.150-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.150&CDS=1-1089
255	OG0000255	YEL065W	genemark-flattened_line_36-processed-gene-1.182-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.182&CDS=1-1839, maker-flattened_line_6-snap-gene-4.0-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-4.0&CDS=1-3621
256	OG0000256	YEL066W, YPR193C	maker-flattened_line_71-augustus-gene-0.36-mRNA-1_1&gene=maker-flattened_line_71-augustus-gene-0.36&CDS=1-900
257	OG0000257	YER004W	genemark-flattened_line_44-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.109&CDS=1-708, genemark-flattened_line_44-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.112&CDS=1-708
258	OG0000258	YER013W	genemark-flattened_line_44-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.98&CDS=1-3180, genemark-flattened_line_44-processed-gene-1.130-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.130&CDS=1-3180
259	OG0000259	YER014W	genemark-flattened_line_44-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.83&CDS=1-1728, genemark-flattened_line_44-processed-gene-1.150-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.150&CDS=1-1728
260	OG0000260	YER026C	genemark-flattened_line_44-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.102&CDS=1-834, genemark-flattened_line_44-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.126&CDS=1-834
261	OG0000261	YER031C, YGL210W	genemark-flattened_line_34-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.74&CDS=1-648
262	OG0000262	YER045C, YIL036W	genemark-flattened_line_0-processed-gene-5.25-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.25&CDS=1-1515
263	OG0000263	YER056C-A, YIL052C	maker-flattened_line_8-augustus-gene-3.165-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-3.165&CDS=1-978
264	OG0000264	YER057C, YIL051C	augustus_masked-flattened_line_8-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.101&CDS=1-687
265	OG0000265	YER059W, YIL050W	genemark-flattened_line_8-processed-gene-3.139-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.139&CDS=1-1935
266	OG0000266	YER064C, YIL056W	genemark-flattened_line_36-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.48&CDS=1-1959
267	OG0000267	YER066W, YFL009W	genemark-flattened_line_6-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.126&CDS=1-2601
268	OG0000268	YER070W	genemark-flattened_line_12-processed-gene-4.142-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.142&CDS=1-2595, genemark-flattened_line_14-processed-gene-3.32-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.32&CDS=1-2562
269	OG0000269	YER131W, YGL189C	genemark-flattened_line_57-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.60&CDS=1-354
270	OG0000270	YER132C, YGL197W	genemark-flattened_line_38-processed-gene-1.104-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.104&CDS=1-3654
271	OG0000271	YFL004W, YPL019C	genemark-flattened_line_2-processed-gene-3.40-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.40&CDS=1-2553
272	OG0000272	YFL028C	genemark-flattened_line_18-processed-gene-2.162-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.162&CDS=1-1014, snap_masked-flattened_line_4-processed-gene-7.25-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.25&CDS=1-885
273	OG0000273	YFL042C, YLR072W	genemark-flattened_line_2-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.81&CDS=1-2802
274	OG0000274	YFL048C, YLR080W	snap_masked-flattened_line_28-processed-gene-1.233-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.233&CDS=1-1563
275	OG0000275	YFL050C, YOL130W	genemark-flattened_line_24-processed-gene-2.59-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.59&CDS=1-2292
276	OG0000276	YFL054C	genemark-flattened_line_4-processed-gene-5.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.127&CDS=1-984, snap_masked-flattened_line_4-processed-gene-5.37-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.37&CDS=1-984
277	OG0000277	YFR014C, YOL016C	augustus_masked-flattened_line_40-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-1.76&CDS=1-1368
278	OG0000278	YGL031C, YGR148C	genemark-flattened_line_0-processed-gene-3.132-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.132&CDS=1-465
279	OG0000279	YGL049C, YGR162W	genemark-flattened_line_14-processed-gene-2.87-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.87&CDS=1-2994
280	OG0000280	YGL055W	genemark-flattened_line_14-processed-gene-3.52-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.52&CDS=1-1497, genemark-flattened_line_6-processed-gene-5.123-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.123&CDS=1-1431
281	OG0000281	YGL071W, YPL202C	snap_masked-flattened_line_26-processed-gene-2.77-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.77&CDS=1-1365
282	OG0000282	YGL076C, YPL198W	snap_masked-flattened_line_26-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.120&CDS=1-732
283	OG0000283	YGL077C	augustus_masked-flattened_line_156-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_156-processed-gene-0.2&CDS=1-1239, augustus_masked-flattened_line_90-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.54&CDS=1-1212
284	OG0000284	YGL082W, YPL191C	snap_masked-flattened_line_26-processed-gene-2.73-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.73&CDS=1-1539
285	OG0000285	YGL096W, YPL177C	genemark-flattened_line_10-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.27&CDS=1-909
286	OG0000286	YGL112C	genemark-flattened_line_44-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.110&CDS=1-1557, genemark-flattened_line_44-processed-gene-1.135-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.135&CDS=1-1557
287	OG0000287	YGL135W, YPL220W	genemark-flattened_line_6-processed-gene-2.134-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.134&CDS=1-654
288	OG0000288	YGL139W, YPL221W	augustus_masked-flattened_line_6-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.59&CDS=1-2772
289	OG0000289	YGL162W, YPR009W	augustus_masked-flattened_line_0-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.65&CDS=1-1002
290	OG0000290	YGL179C	genemark-flattened_line_16-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.74&CDS=1-3225, genemark-flattened_line_57-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.47&CDS=1-2691
291	OG0000291	YGL224C	genemark-flattened_line_22-processed-gene-2.104-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.104&CDS=1-873, genemark-flattened_line_26-processed-gene-2.171-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.171&CDS=1-876
292	OG0000292	YGR008C, YLR327C	snap_masked-flattened_line_73-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.108&CDS=1-288
293	OG0000293	YGR009C, YMR017W	genemark-flattened_line_22-processed-gene-2.97-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.97&CDS=1-1389
294	OG0000294	YGR010W, YLR328W	genemark-flattened_line_6-processed-gene-7.127-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.127&CDS=1-1248
295	OG0000295	YGR027C, YLR333C	genemark-flattened_line_18-processed-gene-2.197-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.197&CDS=1-324
296	OG0000296	YGR031W	genemark-flattened_line_2-processed-gene-5.65-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.65&CDS=1-1041, genemark-flattened_line_40-processed-gene-1.155-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.155&CDS=1-966
297	OG0000297	YGR034W, YLR344W	genemark-flattened_line_2-processed-gene-5.91-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.91&CDS=1-381
298	OG0000298	YGR038W, YLR350W	genemark-flattened_line_26-processed-gene-2.176-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.176&CDS=1-591
299	OG0000299	YGR056W, YLR357W	genemark-flattened_line_2-processed-gene-7.58-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.58&CDS=1-2847
300	OG0000300	YGR067C	genemark-flattened_line_44-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.78&CDS=1-3195, genemark-flattened_line_44-processed-gene-1.155-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.155&CDS=1-3195
301	OG0000301	YGR070W, YLR371W	genemark-flattened_line_0-processed-gene-5.16-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.16&CDS=1-4362
302	OG0000302	YGR085C, YPR102C	genemark-flattened_line_28-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.109&CDS=1-498
303	OG0000303	YGR092W, YPR111W	genemark-flattened_line_30-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.80&CDS=1-1815
304	OG0000304	YGR108W, YPR119W	genemark-flattened_line_4-processed-gene-7.259-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.259&CDS=1-1386
305	OG0000305	YGR118W, YPR132W	genemark-flattened_line_8-processed-gene-2.145-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.145&CDS=1-435
306	OG0000306	YGR121C, YPR138C	genemark-flattened_line_30-processed-gene-1.247-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.247&CDS=1-1419
307	OG0000307	YGR131W, YPR149W	genemark-flattened_line_51-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.53&CDS=1-510
308	OG0000308	YGR136W, YPR154W	augustus_masked-flattened_line_51-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.92&CDS=1-675
309	OG0000309	YGR138C, YPR156C	genemark-flattened_line_49-processed-gene-0.266-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.266&CDS=1-1896
310	OG0000310	YGR141W, YPR157W	genemark-flattened_line_6-processed-gene-7.121-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.121&CDS=1-1305
311	OG0000311	YGR181W	genemark-flattened_line_44-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.111&CDS=1-318, genemark-flattened_line_44-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.117&CDS=1-318
312	OG0000312	YGR189C	genemark-flattened_line_75-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.91&CDS=1-1338, genemark-flattened_line_77-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.82&CDS=1-1167
313	OG0000313	YGR198W	augustus_masked-flattened_line_44-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-1.91&CDS=1-2343, snap_masked-flattened_line_44-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.15&CDS=1-2343
314	OG0000314	YGR209C, YLR043C	genemark-flattened_line_73-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_73-processed-gene-0.79&CDS=1-309
315	OG0000315	YGR212W	augustus_masked-flattened_line_16-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.5&CDS=1-1407, genemark-flattened_line_4-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.67&CDS=1-1455
316	OG0000316	YGR214W, YLR048W	genemark-flattened_line_14-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.50&CDS=1-786
317	OG0000317	YGR238C, YHR158C	genemark-flattened_line_4-processed-gene-3.77-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.77&CDS=1-3789
318	OG0000318	YGR241C, YHR161C	genemark-flattened_line_8-processed-gene-3.114-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.114&CDS=1-2298
319	OG0000319	YGR243W, YHR162W	genemark-flattened_line_38-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.100&CDS=1-390
320	OG0000320	YGR248W, YHR163W	genemark-flattened_line_12-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.102&CDS=1-750
321	OG0000321	YGR254W, YHR174W	genemark-flattened_line_6-processed-gene-5.138-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.138&CDS=1-1308
322	OG0000322	YHL001W, YKL006W	genemark-flattened_line_36-processed-gene-1.157-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.157&CDS=1-396
323	OG0000323	YHL003C, YKL008C	genemark-flattened_line_22-processed-gene-1.86-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.86&CDS=1-1227
324	OG0000324	YHL017W, YKL039W	genemark-flattened_line_30-processed-gene-1.286-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.286&CDS=1-1779
325	OG0000325	YHL033C, YLL045C	genemark-flattened_line_55-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.31&CDS=1-780
326	OG0000326	YHL036W	genemark-flattened_line_47-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.78&CDS=1-1680, genemark-flattened_line_82-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.51&CDS=1-1764
327	OG0000327	YHR001W, YKR003W	genemark-flattened_line_24-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.30&CDS=1-1308
328	OG0000328	YHR013C	genemark-flattened_line_6-processed-gene-5.137-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.137&CDS=1-609, genemark-flattened_line_6-processed-gene-6.21-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-6.21&CDS=1-612
329	OG0000329	YHR021C, YKL156W	genemark-flattened_line_4-processed-gene-4.16-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.16&CDS=1-246
330	OG0000330	YHR043C, YHR044C	genemark-flattened_line_30-processed-gene-1.287-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.287&CDS=1-708
331	OG0000331	YHR115C, YNL116W	genemark-flattened_line_34-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.78&CDS=1-1368
332	OG0000332	YHR117W, YNL121C	genemark-flattened_line_67-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.64&CDS=1-1821
333	OG0000333	YHR131C, YNL144C	genemark-flattened_line_12-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.113&CDS=1-2061
334	OG0000334	YHR132W-A, YNL157W	genemark-flattened_line_28-processed-gene-1.151-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.151&CDS=1-405
335	OG0000335	YHR133C, YNL156C	augustus_masked-flattened_line_28-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.44&CDS=1-837
336	OG0000336	YHR146W, YNL173C	maker-flattened_line_18-snap-gene-2.157-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-2.157&CDS=1-1062
337	OG0000337	YHR155W, YNL257C	genemark-flattened_line_20-processed-gene-1.29-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.29&CDS=1-3531
338	OG0000338	YHR203C, YJR145C	genemark-flattened_line_63-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_63-processed-gene-0.69&CDS=1-783
339	OG0000339	YIL085C, YNL029C	genemark-flattened_line_18-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.33&CDS=1-1719
340	OG0000340	YIL095W, YNL020C	maker-flattened_line_55-augustus-gene-0.80-mRNA-1_1&gene=maker-flattened_line_55-augustus-gene-0.80&CDS=1-3858
341	OG0000341	YIL105C, YNL047C	genemark-flattened_line_34-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.48&CDS=1-2091
342	OG0000342	YIL109C, YNL049C	genemark-flattened_line_55-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.36&CDS=1-2817
343	OG0000343	YIL111W, YNL052W	genemark-flattened_line_55-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.37&CDS=1-462
344	OG0000344	YIL151C, YKR096W	genemark-flattened_line_10-processed-gene-1.21-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.21&CDS=1-3303
345	OG0000345	YIL156W, YKR098C	genemark-flattened_line_24-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.18&CDS=1-1824
346	OG0000346	YIR001C	genemark-flattened_line_0-processed-gene-6.27-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.27&CDS=1-516, genemark-flattened_line_28-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.123&CDS=1-597
347	OG0000347	YIR008C	genemark-flattened_line_44-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.81&CDS=1-1374, genemark-flattened_line_44-processed-gene-1.152-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.152&CDS=1-1374
348	OG0000348	YIR013C, YLR013W	augustus_masked-flattened_line_2-processed-gene-7.103-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.103&CDS=1-609
349	OG0000349	YIR031C, YNL117W	genemark-flattened_line_2-processed-gene-1.56-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.56&CDS=1-1677
350	OG0000350	YIR033W, YKL020C	genemark-flattened_line_18-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.82&CDS=1-3675
351	OG0000351	YIR035C, YIR036C	maker-flattened_line_38-augustus-gene-0.74-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.74&CDS=1-3438
352	OG0000352	YJL068C	genemark-flattened_line_2-processed-gene-3.33-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.33&CDS=1-861, genemark-flattened_line_71-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.26&CDS=1-855
353	OG0000353	YJL076W, YKR010C	snap_masked-flattened_line_22-processed-gene-2.36-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.36&CDS=1-2805
354	OG0000354	YJL079C	augustus_masked-flattened_line_40-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.14&CDS=1-711, genemark-flattened_line_40-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.118&CDS=1-612
355	OG0000355	YJL082W, YKR018C	genemark-flattened_line_40-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.119&CDS=1-2367
356	OG0000356	YJL083W, YKR019C	genemark-flattened_line_40-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.102&CDS=1-2388
357	OG0000357	YJL084C, YKR021W	augustus_masked-flattened_line_6-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.60&CDS=1-3267
358	OG0000358	YJL095W	genemark-flattened_line_44-processed-gene-0.109-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.109&CDS=1-4707, genemark-flattened_line_44-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.119&CDS=1-4707
359	OG0000359	YJL098W, YKR028W	genemark-flattened_line_8-processed-gene-2.137-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.137&CDS=1-3171
360	OG0000360	YJL105W, YKR029C	genemark-flattened_line_45-processed-gene-1.57-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-1.57&CDS=1-3039
361	OG0000361	YJL112W, YKR036C	genemark-flattened_line_0-processed-gene-4.4-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.4&CDS=1-1902
362	OG0000362	YJL133W, YKR052C	snap_masked-flattened_line_38-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.40&CDS=1-1014
363	OG0000363	YJL134W, YKR053C	genemark-flattened_line_22-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.110&CDS=1-1260
364	OG0000364	YJL137C, YKR058W	genemark-flattened_line_49-processed-gene-0.248-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.248&CDS=1-1101
365	OG0000365	YJL138C, YKR059W	maker-flattened_line_22-snap-gene-2.141-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-2.141&CDS=1-1440
366	OG0000366	YJL139C, YKR061W	maker-flattened_line_2-augustus-gene-0.50-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-0.50&CDS=1-2097
367	OG0000367	YJL177W, YKL180W	maker-flattened_line_2-snap-gene-0.99-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-0.99&CDS=1-537
368	OG0000368	YJR019C	genemark-flattened_line_32-processed-gene-1.160-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.160&CDS=1-957, genemark-flattened_line_32-processed-gene-1.161-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.161&CDS=1-960
369	OG0000369	YJR054W, YML047C	genemark-flattened_line_4-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.50&CDS=1-1683
370	OG0000370	YJR059W, YKL198C	snap_masked-flattened_line_6-processed-gene-2.81-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.81&CDS=1-2502
371	OG0000371	YJR091C, YPR042C	genemark-flattened_line_26-processed-gene-1.21-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.21&CDS=1-3222
372	OG0000372	YJR094W-A, YPR043W	augustus_masked-flattened_line_20-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-2.22&CDS=1-303
373	OG0000373	YJR127C, YML081W	genemark-flattened_line_16-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.38&CDS=1-3531
374	OG0000374	YJR130C, YML082W	genemark-flattened_line_14-processed-gene-3.29-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.29&CDS=1-1794
375	OG0000375	YJR153W	genemark-flattened_line_0-processed-gene-6.14-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.14&CDS=1-1089, genemark-flattened_line_65-processed-gene-0.138-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.138&CDS=1-1089
376	OG0000376	YKL004W	genemark-flattened_line_2-processed-gene-7.94-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.94&CDS=1-954, genemark-flattened_line_36-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.43&CDS=1-1326
377	OG0000377	YKL029C	genemark-flattened_line_0-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.39&CDS=1-1848, genemark-flattened_line_10-processed-gene-4.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.91&CDS=1-1923
378	OG0000378	YKL050C, YMR031C	genemark-flattened_line_57-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.46&CDS=1-2772
379	OG0000379	YKL051W	genemark-flattened_line_10-processed-gene-5.13-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.13&CDS=1-924, genemark-flattened_line_10-processed-gene-5.14-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.14&CDS=1-870
380	OG0000380	YKL065C, YMR040W	augustus_masked-flattened_line_6-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.117&CDS=1-555
381	OG0000381	YKL068W, YMR047C	genemark-flattened_line_10-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.101&CDS=1-3396
382	OG0000382	YKL072W, YMR053C	genemark-flattened_line_0-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.80&CDS=1-2709
383	OG0000383	YKL096W	augustus_masked-flattened_line_6-processed-gene-7.234-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-7.234&CDS=1-795, snap_masked-flattened_line_61-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.117&CDS=1-720
384	OG0000384	YKL103C	genemark-flattened_line_36-processed-gene-1.184-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.184&CDS=1-1524, genemark-flattened_line_59-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_59-processed-gene-0.0&CDS=1-1611
385	OG0000385	YKL121W, YMR102C	genemark-flattened_line_30-processed-gene-1.233-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.233&CDS=1-2331
386	OG0000386	YKL122C	genemark-flattened_line_44-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.108&CDS=1-540, genemark-flattened_line_44-processed-gene-1.113-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.113&CDS=1-540
387	OG0000387	YKL124W	genemark-flattened_line_44-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.106&CDS=1-1923, genemark-flattened_line_44-processed-gene-1.136-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.136&CDS=1-1923
388	OG0000388	YKL127W, YMR105C	genemark-flattened_line_51-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.14&CDS=1-1683
389	OG0000389	YKL129C, YMR109W	genemark-flattened_line_0-processed-gene-5.15-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.15&CDS=1-3858
390	OG0000390	YKL133C, YMR115W	augustus_masked-flattened_line_0-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.17&CDS=1-1596
391	OG0000391	YKL141W, YMR118C	genemark-flattened_line_8-processed-gene-2.119-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.119&CDS=1-510
