	OrthologID	Nakaseomyces_nivariensis	Saccharomyces_cerevisiae
580	OG0000580	augustus_masked-CANI0S02-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.90&CDS=1-2322	YEL053C
581	OG0000581	snap_masked-CANI0S02-processed-gene-5.50-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.50&CDS=1-3390	YML002W
582	OG0000582	snap_masked-CANI0S02-processed-gene-5.51-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.51&CDS=1-465	YLR012C
583	OG0000583	augustus_masked-CANI0S02-processed-gene-5.91-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.91&CDS=1-948	YML004C
584	OG0000584	augustus_masked-CANI0S02-processed-gene-5.129-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.129&CDS=1-951	YPL266W
585	OG0000585	augustus_masked-CANI0S02-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.92&CDS=1-1686	YCR014C
586	OG0000586	snap_masked-CANI0S02-processed-gene-5.53-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.53&CDS=1-1248	YCR012W
587	OG0000587	snap_masked-CANI0S02-processed-gene-5.16-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.16&CDS=1-3165	YCR011C
588	OG0000588	snap_masked-CANI0S02-processed-gene-5.18-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.18&CDS=1-795	YCR009C
589	OG0000589	snap_masked-CANI0S02-processed-gene-5.54-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.54&CDS=1-1656	YCR008W
590	OG0000590	snap_masked-CANI0S02-processed-gene-5.19-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.19&CDS=1-837	YCR016W
591	OG0000591	snap_masked-CANI0S02-processed-gene-5.55-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.55&CDS=1-2916	YCR017C
592	OG0000592	snap_masked-CANI0S02-processed-gene-5.20-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.20&CDS=1-1035	YCR019W
593	OG0000593	augustus_masked-CANI0S02-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.133&CDS=1-858	YCR020C
594	OG0000594	snap_masked-CANI0S02-processed-gene-5.22-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.22&CDS=1-204	YCR020W-B
595	OG0000595	snap_masked-CANI0S02-processed-gene-5.23-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.23&CDS=1-1908	YCR026C
596	OG0000596	snap_masked-CANI0S02-processed-gene-5.24-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.24&CDS=1-1386	YCR024C
597	OG0000597	snap_masked-CANI0S02-processed-gene-5.57-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.57&CDS=1-1443	YCR028C
598	OG0000598	maker-CANI0S02-snap-gene-5.239-mRNA-1_1&gene=maker-CANI0S02-snap-gene-5.239&CDS=1-393	YCR028C-A
599	OG0000599	genemark-CANI0S02-processed-gene-5.214-mRNA-1_1&gene=genemark-CANI0S02-processed-gene-5.214&CDS=1-195	YJL189W
600	OG0000600	snap_masked-CANI0S02-processed-gene-5.25-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.25&CDS=1-6228	YCR032W
601	OG0000601	snap_masked-CANI0S02-processed-gene-5.26-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.26&CDS=1-3852	YCR033W
602	OG0000602	augustus_masked-CANI0S02-processed-gene-5.104-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.104&CDS=1-1053	YCR034W
603	OG0000603	augustus_masked-CANI0S02-processed-gene-5.139-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.139&CDS=1-1191	YCR035C
604	OG0000604	augustus_masked-CANI0S02-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.105&CDS=1-999	YCR036W
605	OG0000605	augustus_masked-CANI0S02-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.141&CDS=1-687	YLR186W
606	OG0000606	snap_masked-CANI0S02-processed-gene-5.66-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.66&CDS=1-261	YLR185W
607	OG0000607	snap_masked-CANI0S02-processed-gene-5.67-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.67&CDS=1-2388	YLR182W
608	OG0000608	snap_masked-CANI0S02-processed-gene-5.29-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.29&CDS=1-1224	YLR181C
609	OG0000609	augustus_masked-CANI0S02-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.108&CDS=1-591	YLR178C
610	OG0000610	snap_masked-CANI0S02-processed-gene-5.30-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.30&CDS=1-579	YCL026C-B
611	OG0000611	augustus_masked-CANI0S02-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.147&CDS=1-1125	YCL027W
612	OG0000612	snap_masked-CANI0S02-processed-gene-5.71-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.71&CDS=1-1296	YCL028W
613	OG0000613	snap_masked-CANI0S02-processed-gene-5.32-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.32&CDS=1-1371	YCL029C
614	OG0000614	snap_masked-CANI0S02-processed-gene-5.33-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.33&CDS=1-2403	YCL030C
615	OG0000615	snap_masked-CANI0S02-processed-gene-5.34-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.34&CDS=1-903	YCL031C
616	OG0000616	snap_masked-CANI0S02-processed-gene-5.72-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.72&CDS=1-978	YCL032W
617	OG0000617	snap_masked-CANI0S02-processed-gene-5.35-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.35&CDS=1-423	YCL033C
618	OG0000618	snap_masked-CANI0S02-processed-gene-5.73-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.73&CDS=1-1104	YCL034W
619	OG0000619	snap_masked-CANI0S02-processed-gene-5.36-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.36&CDS=1-1290	YCL037C
620	OG0000620	snap_masked-CANI0S02-processed-gene-5.37-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.37&CDS=1-1617	YCL038C
621	OG0000621	snap_masked-CANI0S02-processed-gene-5.74-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.74&CDS=1-2424	YCL039W
622	OG0000622	snap_masked-CANI0S02-processed-gene-5.38-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.38&CDS=1-1578	YCL043C
623	OG0000623	snap_masked-CANI0S02-processed-gene-5.39-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.39&CDS=1-1446	YCL044C
624	OG0000624	snap_masked-CANI0S02-processed-gene-5.40-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.40&CDS=1-2235	YCL045C
625	OG0000625	augustus_masked-CANI0S02-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.119&CDS=1-801	YCL047C
626	OG0000626	augustus_masked-CANI0S02-processed-gene-5.120-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.120&CDS=1-954	YCL050C
627	OG0000627	augustus_masked-CANI0S02-processed-gene-5.155-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.155&CDS=1-1977	YCL051W
628	OG0000628	snap_masked-CANI0S02-processed-gene-5.44-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.44&CDS=1-1239	YCL052C
629	OG0000629	augustus_masked-CANI0S02-processed-gene-5.156-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.156&CDS=1-2511	YCL054W
630	OG0000630	augustus_masked-CANI0S02-processed-gene-5.158-mRNA-1_1&gene=augustus_masked-CANI0S02-processed-gene-5.158&CDS=1-2214	YCL057W
631	OG0000631	snap_masked-CANI0S02-processed-gene-5.45-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.45&CDS=1-258	YCL057C-A
632	OG0000632	snap_masked-CANI0S02-processed-gene-5.79-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.79&CDS=1-375	YCL058W-A
633	OG0000633	snap_masked-CANI0S02-processed-gene-5.46-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.46&CDS=1-1011	YCL059C
634	OG0000634	snap_masked-CANI0S02-processed-gene-5.47-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.47&CDS=1-3498	YCL061C
635	OG0000635	snap_masked-CANI0S02-processed-gene-5.80-mRNA-1_1&gene=snap_masked-CANI0S02-processed-gene-5.80&CDS=1-1314	YCL063W
636	OG0000636	snap_masked-CANI0S04-processed-gene-0.20-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.20&CDS=1-1308	YER019W
637	OG0000637	snap_masked-CANI0S04-processed-gene-0.0-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.0&CDS=1-1965	YJL010C
638	OG0000638	snap_masked-CANI0S04-processed-gene-0.21-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.21&CDS=1-633	YKL142W
639	OG0000639	snap_masked-CANI0S04-processed-gene-0.22-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.22&CDS=1-1422	YKL145W
640	OG0000640	snap_masked-CANI0S04-processed-gene-0.23-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.23&CDS=1-2076	YKL146W
641	OG0000641	snap_masked-CANI0S04-processed-gene-0.1-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.1&CDS=1-1188	YKL149C
642	OG0000642	snap_masked-CANI0S04-processed-gene-0.24-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.24&CDS=1-900	YKL150W
643	OG0000643	snap_masked-CANI0S04-processed-gene-0.2-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.2&CDS=1-990	YKL151C
644	OG0000644	snap_masked-CANI0S04-processed-gene-0.3-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.3&CDS=1-741	YKL152C
645	OG0000645	augustus_masked-CANI0S04-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.43&CDS=1-1593	YOL033W
646	OG0000646	snap_masked-CANI0S04-processed-gene-0.5-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.5&CDS=1-720	YOL032W
647	OG0000647	snap_masked-CANI0S04-processed-gene-0.25-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.25&CDS=1-1056	YOL031C
648	OG0000648	augustus_masked-CANI0S04-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.45&CDS=1-426	YOL040C
649	OG0000649	snap_masked-CANI0S04-processed-gene-0.6-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.6&CDS=1-1191	YOL041C
650	OG0000650	snap_masked-CANI0S04-processed-gene-0.27-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.27&CDS=1-1077	YOL042W
651	OG0000651	snap_masked-CANI0S04-processed-gene-0.29-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.29&CDS=1-1125	YOL044W
652	OG0000652	snap_masked-CANI0S04-processed-gene-0.8-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.8&CDS=1-1161	YOL047C
653	OG0000653	augustus_masked-CANI0S04-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.49&CDS=1-642	YOL048C
654	OG0000654	augustus_masked-CANI0S04-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.70&CDS=1-1452	YOL049W
655	OG0000655	snap_masked-CANI0S04-processed-gene-0.33-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.33&CDS=1-2361	YOR322C
656	OG0000656	snap_masked-CANI0S04-processed-gene-0.34-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.34&CDS=1-1368	YOR323C
657	OG0000657	snap_masked-CANI0S04-processed-gene-0.13-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.13&CDS=1-2169	YMR075W
658	OG0000658	snap_masked-CANI0S04-processed-gene-0.35-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.35&CDS=1-3816	YMR076C
659	OG0000659	snap_masked-CANI0S04-processed-gene-0.36-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.36&CDS=1-855	YHL013C
660	OG0000660	augustus_masked-CANI0S04-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.76&CDS=1-723	YKL096W
661	OG0000661	snap_masked-CANI0S04-processed-gene-0.15-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.15&CDS=1-3147	YMR086W
662	OG0000662	snap_masked-CANI0S04-processed-gene-0.16-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-0.16&CDS=1-813	YMR087W
663	OG0000663	augustus_masked-CANI0S04-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-0.77&CDS=1-1683	YMR088C
664	OG0000664	genemark-CANI0S04-processed-gene-1.1-mRNA-1_1&gene=genemark-CANI0S04-processed-gene-1.1&CDS=1-2589	YMR257C
665	OG0000665	genemark-CANI0S04-processed-gene-1.2-mRNA-1_1&gene=genemark-CANI0S04-processed-gene-1.2&CDS=1-1623	YMR258C
666	OG0000666	snap_masked-CANI0S04-processed-gene-1.92-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.92&CDS=1-4287	YMR259C
667	OG0000667	snap_masked-CANI0S04-processed-gene-1.109-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.109&CDS=1-459	YMR260C
668	OG0000668	snap_masked-CANI0S04-processed-gene-1.93-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.93&CDS=1-897	YMR262W
669	OG0000669	snap_masked-CANI0S04-processed-gene-1.94-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.94&CDS=1-531	YMR263W
670	OG0000670	augustus_masked-CANI0S04-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.50&CDS=1-594	YMR264W
671	OG0000671	snap_masked-CANI0S04-processed-gene-1.111-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.111&CDS=1-1452	YMR265C
672	OG0000672	snap_masked-CANI0S04-processed-gene-1.95-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.95&CDS=1-2736	YMR266W
673	OG0000673	snap_masked-CANI0S04-processed-gene-1.96-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.96&CDS=1-897	YMR267W
674	OG0000674	snap_masked-CANI0S04-processed-gene-1.112-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.112&CDS=1-1110	YMR268C
675	OG0000675	snap_masked-CANI0S04-processed-gene-1.97-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.97&CDS=1-651	YMR269W
676	OG0000676	augustus_masked-CANI0S04-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.72&CDS=1-1293	YMR270C
677	OG0000677	snap_masked-CANI0S04-processed-gene-1.115-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.115&CDS=1-1677	YBR030W
678	OG0000678	snap_masked-CANI0S04-processed-gene-1.98-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.98&CDS=1-1647	YBR028C
679	OG0000679	snap_masked-CANI0S04-processed-gene-1.99-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.99&CDS=1-1158	YBR026C
680	OG0000680	snap_masked-CANI0S04-processed-gene-1.100-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.100&CDS=1-1179	YBR025C
681	OG0000681	augustus_masked-CANI0S04-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.76&CDS=1-537	YBR022W
682	OG0000682	snap_masked-CANI0S04-processed-gene-1.117-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.117&CDS=1-903	YOR104W
683	OG0000683	augustus_masked-CANI0S04-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.59&CDS=1-405	YOR103C
684	OG0000684	augustus_masked-CANI0S04-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.60&CDS=1-939	YOR100C
685	OG0000685	augustus_masked-CANI0S04-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.80&CDS=1-1212	YOR099W
686	OG0000686	snap_masked-CANI0S04-processed-gene-1.104-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.104&CDS=1-678	YNL107W
687	OG0000687	snap_masked-CANI0S04-processed-gene-1.105-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.105&CDS=1-1884	YNL103W
688	OG0000688	snap_masked-CANI0S04-processed-gene-1.106-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.106&CDS=1-4350	YNL102W
689	OG0000689	augustus_masked-CANI0S04-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.64&CDS=1-2199	YNL101W
690	OG0000690	augustus_masked-CANI0S04-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.65&CDS=1-714	YNL100W
691	OG0000691	snap_masked-CANI0S04-processed-gene-1.123-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.123&CDS=1-666	YNL099C
692	OG0000692	snap_masked-CANI0S04-processed-gene-1.124-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.124&CDS=1-921	YNL097C
693	OG0000693	maker-CANI0S04-snap-gene-1.0-mRNA-1_1&gene=maker-CANI0S04-snap-gene-1.0&CDS=1-564	YOR096W
694	OG0000694	augustus_masked-CANI0S04-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.66&CDS=1-492	YOR357C
695	OG0000695	augustus_masked-CANI0S04-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-1.88&CDS=1-1908	YOR356W
696	OG0000696	snap_masked-CANI0S04-processed-gene-1.128-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.128&CDS=1-1755	YOR355W
697	OG0000697	snap_masked-CANI0S04-processed-gene-1.108-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-1.108&CDS=1-333	YOR327C
698	OG0000698	augustus_masked-CANI0S04-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.0&CDS=1-2634	YAL027W
699	OG0000699	augustus_masked-CANI0S04-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.1&CDS=1-3978	YAL026C
700	OG0000700	snap_masked-CANI0S04-processed-gene-2.89-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.89&CDS=1-894	YAL025C
701	OG0000701	snap_masked-CANI0S04-processed-gene-2.108-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.108&CDS=1-4044	YAL024C
702	OG0000702	snap_masked-CANI0S04-processed-gene-2.110-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.110&CDS=1-1257	YAL022C
703	OG0000703	snap_masked-CANI0S04-processed-gene-2.111-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.111&CDS=1-1011	YOR091W
704	OG0000704	snap_masked-CANI0S04-processed-gene-2.90-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.90&CDS=1-1677	YOR090C
705	OG0000705	augustus_masked-CANI0S04-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.4&CDS=1-627	YOR089C
706	OG0000706	snap_masked-CANI0S04-processed-gene-2.112-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.112&CDS=1-2133	YOR087W
707	OG0000707	snap_masked-CANI0S04-processed-gene-2.92-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.92&CDS=1-3639	YOR086C
708	OG0000708	snap_masked-CANI0S04-processed-gene-2.113-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.113&CDS=1-1035	YOR085W
709	OG0000709	snap_masked-CANI0S04-processed-gene-2.114-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.114&CDS=1-1146	YOR084W
710	OG0000710	augustus_masked-CANI0S04-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.25&CDS=1-1329	YOR083W
711	OG0000711	snap_masked-CANI0S04-processed-gene-2.115-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.115&CDS=1-1800	YOR080W
712	OG0000712	snap_masked-CANI0S04-processed-gene-2.96-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.96&CDS=1-948	YOR079C
713	OG0000713	augustus_masked-CANI0S04-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.27&CDS=1-699	YOR078W
714	OG0000714	augustus_masked-CANI0S04-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.28&CDS=1-702	YOR077W
715	OG0000715	augustus_masked-CANI0S04-processed-gene-2.29-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.29&CDS=1-1023	YOR075W
716	OG0000716	snap_masked-CANI0S04-processed-gene-2.98-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.98&CDS=1-894	YOR074C
717	OG0000717	snap_masked-CANI0S04-processed-gene-2.118-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.118&CDS=1-1800	YOR073W
718	OG0000718	snap_masked-CANI0S04-processed-gene-2.119-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.119&CDS=1-1128	YPR040W
719	OG0000719	snap_masked-CANI0S04-processed-gene-2.99-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.99&CDS=1-591	YPR037C
720	OG0000720	snap_masked-CANI0S04-processed-gene-2.120-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.120&CDS=1-267	YPR036W-A
721	OG0000721	snap_masked-CANI0S04-processed-gene-2.121-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.121&CDS=1-1512	YPR036W
722	OG0000722	snap_masked-CANI0S04-processed-gene-2.122-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.122&CDS=1-3339	YER110C
723	OG0000723	augustus_masked-CANI0S04-processed-gene-2.11-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.11&CDS=1-495	YER112W
724	OG0000724	augustus_masked-CANI0S04-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.35&CDS=1-2088	YER113C
725	OG0000725	snap_masked-CANI0S04-processed-gene-2.125-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.125&CDS=1-477	YER115C
726	OG0000726	snap_masked-CANI0S04-processed-gene-2.126-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.126&CDS=1-450	YER116C
727	OG0000727	snap_masked-CANI0S04-processed-gene-2.127-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.127&CDS=1-1053	YER118C
728	OG0000728	snap_masked-CANI0S04-processed-gene-2.103-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.103&CDS=1-1260	YBL091C
729	OG0000729	snap_masked-CANI0S04-processed-gene-2.104-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.104&CDS=1-816	YER120W
730	OG0000730	snap_masked-CANI0S04-processed-gene-2.128-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.128&CDS=1-1506	YER122C
731	OG0000731	snap_masked-CANI0S04-processed-gene-2.106-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.106&CDS=1-2193	YPR024W
732	OG0000732	snap_masked-CANI0S04-processed-gene-2.129-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.129&CDS=1-1152	YPR025C
733	OG0000733	snap_masked-CANI0S04-processed-gene-2.107-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-2.107&CDS=1-3651	YPR026W
734	OG0000734	augustus_masked-CANI0S04-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.17&CDS=1-531	YPR028W
735	OG0000735	augustus_masked-CANI0S04-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-2.43&CDS=1-2772	YPR029C
736	OG0000736	snap_masked-CANI0S04-processed-gene-3.79-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.79&CDS=1-2220	YPR031W
737	OG0000737	snap_masked-CANI0S04-processed-gene-3.82-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.82&CDS=1-1554	YPR033C
738	OG0000738	snap_masked-CANI0S04-processed-gene-3.81-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.81&CDS=1-1632	YPR034W
739	OG0000739	snap_masked-CANI0S04-processed-gene-3.83-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.83&CDS=1-1116	YPR035W
740	OG0000740	snap_masked-CANI0S04-processed-gene-3.84-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.84&CDS=1-2712	YER109C
741	OG0000741	augustus_masked-CANI0S04-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-3.7&CDS=1-1104	YER107C
742	OG0000742	augustus_masked-CANI0S04-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-CANI0S04-processed-gene-3.24&CDS=1-618	YER106W
743	OG0000743	snap_masked-CANI0S04-processed-gene-3.86-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.86&CDS=1-4320	YBL079W
744	OG0000744	snap_masked-CANI0S04-processed-gene-3.105-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.105&CDS=1-543	YER104W
745	OG0000745	snap_masked-CANI0S04-processed-gene-3.106-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.106&CDS=1-3216	YBL076C
746	OG0000746	snap_masked-CANI0S04-processed-gene-3.90-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.90&CDS=1-1617	YKR017C
747	OG0000747	snap_masked-CANI0S04-processed-gene-3.108-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.108&CDS=1-450	YDR092W
748	OG0000748	snap_masked-CANI0S04-processed-gene-3.91-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.91&CDS=1-1821	YDR091C
749	OG0000749	snap_masked-CANI0S04-processed-gene-3.92-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.92&CDS=1-945	YDR090C
750	OG0000750	snap_masked-CANI0S04-processed-gene-3.93-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.93&CDS=1-1947	YNR039C
751	OG0000751	snap_masked-CANI0S04-processed-gene-3.109-mRNA-1_1&gene=snap_masked-CANI0S04-processed-gene-3.109&CDS=1-1986	YNR038W
