	OrthologID	Millerozyma_acaciae	Saccharomyces_cerevisiae
411	OG0000411	-processed-gene-7.65-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.65&CDS=1-549	YOR226C, YPL135W
412	OG0000412	-processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.76&CDS=1-996	YBL043W, YJR115W
413	OG0000413	-augustus-gene-7.1-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-7.1&CDS=1-2511	YGR283C, YMR310C
414	OG0000414	-processed-gene-7.112-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.112&CDS=1-5421, -processed-gene-7.87-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.87&CDS=1-5760	YGR184C
415	OG0000415	-processed-gene-8.5-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-8.5&CDS=1-3120	YAL056W, YOR371C
416	OG0000416	-processed-gene-9.179-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-9.179&CDS=1-1230	YBR078W, YDR055W
417	OG0000417	-processed-gene-9.96-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-9.96&CDS=1-2304	YGR038W, YLR350W
418	OG0000418	-processed-gene-9.37-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-9.37&CDS=1-1416	YCL040W, YDR516C
419	OG0000419	-processed-gene-10.129-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.129&CDS=1-1473	YMR182C, YPL230W
420	OG0000420	-processed-gene-10.112-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.112&CDS=1-2016, -processed-gene-5.6-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.6&CDS=1-4371	YAL054C
421	OG0000421	-processed-gene-10.136-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.136&CDS=1-3168	YIR033W, YKL020C
422	OG0000422	-processed-gene-10.125-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-10.125&CDS=1-2385	YFL004W, YPL019C
423	OG0000423	-processed-gene-11.94-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.94&CDS=1-1548	YIL120W, YIL121W
424	OG0000424	-processed-gene-13.77-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.77&CDS=1-3975	YGR070W, YLR371W
425	OG0000425	-processed-gene-13.67-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-13.67&CDS=1-3216	YBL106C, YPR032W
426	OG0000426	-processed-gene-14.152-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.152&CDS=1-309	YGR209C, YLR043C
427	OG0000427	-processed-gene-15.24-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.24&CDS=1-360	YMR230W, YOR293W
428	OG0000428	-processed-gene-16.9-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.9&CDS=1-2937	YKL121W, YMR102C
429	OG0000429	-processed-gene-16.58-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.58&CDS=1-1062	YCL064C, YIL167W
430	OG0000430	-processed-gene-16.16-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.16&CDS=1-1710	YER064C, YIL056W
431	OG0000431	-processed-gene-16.134-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.134&CDS=1-813	YDR272W, YOR040W
432	OG0000432	-processed-gene-16.46-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.46&CDS=1-1089	YBR031W, YDR012W
433	OG0000433	-processed-gene-16.47-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.47&CDS=1-2766	YJL082W, YKR018C
434	OG0000434	-processed-gene-16.206-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.206&CDS=1-3345	YJL105W, YKR029C
435	OG0000435	-processed-gene-1.89-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-1.89&CDS=1-1497	YFL048C, YLR080W
436	OG0000436	-processed-gene-1.91-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-1.91&CDS=1-825	YLR284C, YOR180C
437	OG0000437	-processed-gene-1.12-mRNA-1_1&gene=snap_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-1.12&CDS=1-2181	YMR119W, YNL008C
438	OG0000438	-processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-1.111&CDS=1-384	YGR243W, YHR162W
439	OG0000439	-augustus-gene-1.43-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-augustus-gene-1.43&CDS=1-3999, -processed-gene-13.89-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-13.89&CDS=1-1989	YNL101W
440	OG0000440	-processed-gene-2.31-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-2.31&CDS=1-387	YBL002W, YDR224C
441	OG0000441	-processed-gene-2.36-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-2.36&CDS=1-2307	YJL083W, YKR019C
442	OG0000442	-augustus-gene-2.56-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-augustus-gene-2.56&CDS=1-3738	YBR169C, YPL106C
443	OG0000443	-snap-gene-4.8-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-4.8&CDS=1-429	YER057C, YIL051C
444	OG0000444	-processed-gene-4.18-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-4.18&CDS=1-366	YER056C-A, YIL052C
445	OG0000445	-processed-gene-4.22-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-4.22&CDS=1-1671	YER059W, YIL050W
446	OG0000446	-processed-gene-6.87-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-6.87&CDS=1-1515	YML116W, YMR279C
447	OG0000447	-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-6.8&CDS=1-2220	YNL095C, YOR092W
448	OG0000448	-processed-gene-6.97-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-6.97&CDS=1-339	YDL075W, YLR406C
449	OG0000449	-processed-gene-6.104-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-6.104&CDS=1-1587	YGR197C, YJR015W
450	OG0000450	-augustus-gene-7.51-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-augustus-gene-7.51&CDS=1-3174	YMR186W, YPL240C
451	OG0000451	-processed-gene-7.26-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-7.26&CDS=1-1221	YMR199W, YPL256C
452	OG0000452	-processed-gene-7.89-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-7.89&CDS=1-6186	YLR450W, YML075C
453	OG0000453	-processed-gene-8.36-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-8.36&CDS=1-426	YDL083C, YMR143W
454	OG0000454	-processed-gene-8.16-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-8.16&CDS=1-606	YDL082W, YMR142C
455	OG0000455	-processed-gene-9.65-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-9.65&CDS=1-2853	YDR206W, YLR233C
456	OG0000456	-processed-gene-10.8-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-10.8&CDS=1-1272	YCL011C, YNL004W
457	OG0000457	-processed-gene-10.41-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-10.41&CDS=1-588	YDR453C, YML028W
458	OG0000458	-processed-gene-11.69-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-11.69&CDS=1-7953	YBR140C, YOL081W
459	OG0000459	-processed-gene-12.121-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-12.121&CDS=1-2778	YKL072W, YMR053C
460	OG0000460	-processed-gene-12.154-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-12.154&CDS=1-2670	YMR237W, YOR299W
461	OG0000461	-processed-gene-13.65-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-13.65&CDS=1-2826	YDR409W, YOR156C
462	OG0000462	-processed-gene-13.56-mRNA-1_1&gene=snap_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-13.56&CDS=1-2853	YDR251W, YPL032C
463	OG0000463	-processed-gene-14.61-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-14.61&CDS=1-1125	YDR253C, YPL038W
464	OG0000464	-processed-gene-15.175-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.175&CDS=1-840	YJL177W, YKL180W
465	OG0000465	-processed-gene-15.166-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.166&CDS=1-3438	YLR031W, YMR124W
466	OG0000466	-processed-gene-16.16-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-16.16&CDS=1-2238	YER066W, YFL009W
467	OG0000467	-processed-gene-16.35-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-16.35&CDS=1-660	YML106W, YMR271C
468	OG0000468	-processed-gene-16.37-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-16.37&CDS=1-3807	YML109W, YMR273C
469	OG0000469	-processed-gene-17.38-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-17.38&CDS=1-2517	YOR256C, YPL176C
470	OG0000470	-processed-gene-18.56-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.56&CDS=1-1869	YBR238C, YGL107C
471	OG0000471	-processed-gene-18.87-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.87&CDS=1-3510	YAL017W, YOL045W
472	OG0000472	-snap-gene-18.46-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-18.46&CDS=1-1053	YAL015C, YOL043C
473	OG0000473	-processed-gene-18.72-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.72&CDS=1-1662	YBR214W, YGL056C
474	OG0000474	-processed-gene-19.13-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.13&CDS=1-3084	YGR238C, YHR158C
475	OG0000475	-processed-gene-19.15-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.15&CDS=1-600	YIL133C, YNL069C
476	OG0000476	-snap-gene-19.79-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-19.79&CDS=1-1044	YER045C, YIL036W
477	OG0000477	-processed-gene-19.60-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.60&CDS=1-1266	YDR300C, YHR033W
478	OG0000478	-processed-gene-19.64-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.64&CDS=1-1089	YDL246C, YJR159W
479	OG0000479	-processed-gene-19.70-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.70&CDS=1-351, -processed-gene-19.71-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.71&CDS=1-408	YNL322C
480	OG0000480	-processed-gene-0.17-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.17&CDS=1-1209	YGR234W
481	OG0000481	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.20&CDS=1-1452	YCR028C
482	OG0000482	-processed-gene-0.22-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.22&CDS=1-978	YPL111W
483	OG0000483	-processed-gene-0.5-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.5&CDS=1-3816	YPL110C
484	OG0000484	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.39&CDS=1-1905	YPR040W
485	OG0000485	-processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.24&CDS=1-1725	YBL039C
486	OG0000486	-processed-gene-0.25-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.25&CDS=1-588	YJR102C
487	OG0000487	-processed-gene-0.27-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.27&CDS=1-2181	YJR090C
488	OG0000488	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.10&CDS=1-1296	YJR084W
489	OG0000489	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.11&CDS=1-1188	YPR041W
490	OG0000490	-augustus-gene-0.32-mRNA-1_1&gene=maker-gi|1002316180|dbj|BCKO01000009.1|-augustus-gene-0.32&CDS=1-5844	YJR092W
491	OG0000491	-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.44&CDS=1-2592	YDL103C
492	OG0000492	-processed-gene-0.14-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.14&CDS=1-1881	YHL032C
493	OG0000493	-processed-gene-1.159-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.159&CDS=1-6210	YKL182W
494	OG0000494	-processed-gene-1.160-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.160&CDS=1-984	YJL208C
495	OG0000495	-processed-gene-1.199-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.199&CDS=1-1530	YDR434W
496	OG0000496	-processed-gene-1.161-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.161&CDS=1-1740	YDR117C
497	OG0000497	-processed-gene-1.163-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.163&CDS=1-837	YDR116C
498	OG0000498	-processed-gene-1.165-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.165&CDS=1-1890	YLR088W
499	OG0000499	-processed-gene-1.202-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.202&CDS=1-1473	YDR111C
500	OG0000500	-processed-gene-1.203-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.203&CDS=1-1125	YGL255W
501	OG0000501	-processed-gene-1.204-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.204&CDS=1-1518	YNR012W
502	OG0000502	-processed-gene-1.46-mRNA-1_1&gene=snap_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.46&CDS=1-1251	YHR189W
503	OG0000503	-processed-gene-1.171-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.171&CDS=1-1704	YHR150W
504	OG0000504	-processed-gene-1.211-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.211&CDS=1-1536	YML068W
505	OG0000505	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.97&CDS=1-9546	YLR430W
506	OG0000506	-processed-gene-1.213-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.213&CDS=1-522	YKL190W
507	OG0000507	-processed-gene-1.176-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.176&CDS=1-570	YLR221C
508	OG0000508	-processed-gene-1.177-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.177&CDS=1-1221	YIL044C
509	OG0000509	-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.136&CDS=1-1155	YER053C
510	OG0000510	-processed-gene-1.218-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.218&CDS=1-483	YCR090C
511	OG0000511	-processed-gene-1.182-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.182&CDS=1-627	YER002W
512	OG0000512	-processed-gene-1.220-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.220&CDS=1-894	YIL003W
513	OG0000513	-processed-gene-1.183-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.183&CDS=1-438	YIL004C
514	OG0000514	-processed-gene-1.184-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.184&CDS=1-999	YEL004W
515	OG0000515	-processed-gene-1.222-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.222&CDS=1-1356	YCL034W
516	OG0000516	-processed-gene-1.185-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.185&CDS=1-2148	YDR172W
517	OG0000517	-processed-gene-1.223-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.223&CDS=1-1098	YDR173C
518	OG0000518	-snap-gene-1.242-mRNA-1_1&gene=maker-gi|1002316180|dbj|BCKO01000009.1|-snap-gene-1.242&CDS=1-2166	YIL049W
519	OG0000519	-processed-gene-1.190-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.190&CDS=1-843	YPL065W
520	OG0000520	-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.142&CDS=1-834	YFR052W
521	OG0000521	-processed-gene-1.191-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.191&CDS=1-1716	YPR145W
522	OG0000522	-processed-gene-1.226-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.226&CDS=1-573	YER063W
523	OG0000523	-processed-gene-1.228-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.228&CDS=1-2397	YBR202W
524	OG0000524	-processed-gene-1.229-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.229&CDS=1-1455	YDR169C
525	OG0000525	-processed-gene-1.231-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.231&CDS=1-5661	YPL231W
526	OG0000526	-processed-gene-1.70-mRNA-1_1&gene=snap_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.70&CDS=1-210	YBR162W-A
527	OG0000527	-augustus-gene-1.83-mRNA-1_1&gene=maker-gi|1002316180|dbj|BCKO01000009.1|-augustus-gene-1.83&CDS=1-2115	YDL178W
528	OG0000528	-processed-gene-1.195-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.195&CDS=1-1260	YJR076C
529	OG0000529	-processed-gene-1.237-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.237&CDS=1-396	YKL170W
530	OG0000530	-processed-gene-0.82-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.82&CDS=1-2040	YCL057W
531	OG0000531	-processed-gene-0.86-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.86&CDS=1-1596	YJR152W
532	OG0000532	-processed-gene-0.110-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.110&CDS=1-1506	YDR403W
533	OG0000533	-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.47&CDS=1-3051	YDR402C
534	OG0000534	-processed-gene-0.90-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.90&CDS=1-1710	YDL210W
535	OG0000535	-processed-gene-0.96-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.96&CDS=1-555	YER042W
536	OG0000536	-processed-gene-0.97-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.97&CDS=1-1101	YBR087W
537	OG0000537	-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.56&CDS=1-675	YKL041W
538	OG0000538	-augustus-gene-0.126-mRNA-1_1&gene=maker-gi|1002316181|dbj|BCKO01000008.1|-augustus-gene-0.126&CDS=1-3795	YPR047W
539	OG0000539	-processed-gene-0.120-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.120&CDS=1-1548	YMR023C
540	OG0000540	-processed-gene-1.5-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.5&CDS=1-1074	YOR311C
541	OG0000541	-processed-gene-1.9-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.9&CDS=1-624	YOR289W
542	OG0000542	-processed-gene-1.36-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.36&CDS=1-303	YDR377W
543	OG0000543	-processed-gene-1.37-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.37&CDS=1-255	YDR378C
544	OG0000544	-processed-gene-1.11-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.11&CDS=1-1542	YDR376W
545	OG0000545	-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.58&CDS=1-1032	YKL053C-A
546	OG0000546	-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.59&CDS=1-1896	YML042W
547	OG0000547	-processed-gene-1.41-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.41&CDS=1-3807	YPR049C
548	OG0000548	-processed-gene-1.18-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.18&CDS=1-1032	YBR095C
549	OG0000549	-processed-gene-1.19-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.19&CDS=1-777	YBR088C
550	OG0000550	-processed-gene-1.42-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.42&CDS=1-570	YPR051W
551	OG0000551	-processed-gene-1.20-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.20&CDS=1-1080	YKL060C
552	OG0000552	-processed-gene-1.43-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.43&CDS=1-321	YBR091C
553	OG0000553	-processed-gene-1.21-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.21&CDS=1-2169	YBR094W
554	OG0000554	-processed-gene-1.24-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.24&CDS=1-1371	YMR027W
555	OG0000555	-processed-gene-1.44-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.44&CDS=1-375	YKL058W
556	OG0000556	-processed-gene-1.25-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.25&CDS=1-1143	YMR028W
557	OG0000557	-processed-gene-1.45-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.45&CDS=1-3585	YKL057C
558	OG0000558	-processed-gene-1.26-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.26&CDS=1-1434	YKL059C
559	OG0000559	-processed-gene-1.28-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.28&CDS=1-1287	YOR303W
560	OG0000560	-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.75&CDS=1-1635	YMR226C
561	OG0000561	-processed-gene-1.46-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.46&CDS=1-1140	YGL211W
562	OG0000562	-processed-gene-1.47-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.47&CDS=1-3834	YMR309C
563	OG0000563	-processed-gene-1.33-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.33&CDS=1-1356	YLR195C
564	OG0000564	-processed-gene-1.34-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.34&CDS=1-1710	YLR196W
565	OG0000565	-processed-gene-1.49-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.49&CDS=1-2310	YGL009C
566	OG0000566	-processed-gene-2.55-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.55&CDS=1-1626	YGR002C
567	OG0000567	-processed-gene-2.56-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.56&CDS=1-1458	YAR002W
568	OG0000568	-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.106&CDS=1-1047	YGL001C
569	OG0000569	-processed-gene-2.82-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.82&CDS=1-936	YGR280C
570	OG0000570	-processed-gene-2.83-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.83&CDS=1-3690	YAL001C
