	OrthologID	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
801	OG0000801	-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.57&CDS=1-981	YOR271C
802	OG0000802	-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.58&CDS=1-921	YHR134W
803	OG0000803	-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.78&CDS=1-4308	YBL079W
804	OG0000804	-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.59&CDS=1-1101	YML018C
805	OG0000805	-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.80&CDS=1-1587	YKL045W
806	OG0000806	-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.81&CDS=1-1725	YCR068W
807	OG0000807	-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.60&CDS=1-1077	YMR028W
808	OG0000808	-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.64&CDS=1-459	YMR260C
809	OG0000809	-processed-gene-0.108-mRNA-1_1&gene=snap_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.108&CDS=1-4488	YMR259C
810	OG0000810	-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.98&CDS=1-1020	YML052W
811	OG0000811	-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.99&CDS=1-1017	YBR101C
812	OG0000812	-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.96&CDS=1-1170	YPR056W
813	OG0000813	-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.100&CDS=1-330	YPR063C
814	OG0000814	-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.104&CDS=1-2715	YDR074W
815	OG0000815	-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.124&CDS=1-1173	YMR262W
816	OG0000816	-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.126&CDS=1-1245	YGR193C
817	OG0000817	-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.107&CDS=1-2031	YLR002C
818	OG0000818	-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.128&CDS=1-1932	YHR084W
819	OG0000819	-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.129&CDS=1-1968	YJL010C
820	OG0000820	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.109&CDS=1-1383	YLR005W
821	OG0000821	-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.132&CDS=1-2124	YDR324C
822	OG0000822	-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.111&CDS=1-1467	YEL052W
823	OG0000823	-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.133&CDS=1-2493	YDR416W
824	OG0000824	-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.112&CDS=1-891	YEL051W
825	OG0000825	-processed-gene-1.17-mRNA-1_1&gene=snap_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.17&CDS=1-1245	YDR415C
826	OG0000826	-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.134&CDS=1-1317	YLR438W
827	OG0000827	-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.115&CDS=1-423	YLR421C
828	OG0000828	-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.137&CDS=1-843	YLR059C
829	OG0000829	-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.138&CDS=1-1941	YKL191W
830	OG0000830	-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.116&CDS=1-1143	YLR420W
831	OG0000831	-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.140&CDS=1-2322	YDR109C
832	OG0000832	-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.141&CDS=1-306	YER159C
833	OG0000833	-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-1.142&CDS=1-1506	YDR105C
834	OG0000834	-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.89&CDS=1-1488	YMR285C
835	OG0000835	-processed-gene-2.7-mRNA-1_1&gene=snap_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.7&CDS=1-2775	YPR026W
836	OG0000836	-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.90&CDS=1-1344	YML085C
837	OG0000837	-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.109&CDS=1-1002	YOR143C
838	OG0000838	-processed-gene-2.110-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.110&CDS=1-765	YOR039W
839	OG0000839	-processed-gene-2.96-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.96&CDS=1-3177	YOR038C
840	OG0000840	-processed-gene-2.111-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.111&CDS=1-1161	YDR268W
841	OG0000841	-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.97&CDS=1-1515	YDR363W
842	OG0000842	-processed-gene-2.112-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.112&CDS=1-1596	YOR037W
843	OG0000843	-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.98&CDS=1-1062	YDR267C
844	OG0000844	-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.113&CDS=1-831	YOR036W
845	OG0000845	-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.101&CDS=1-1842	YMR250W
846	OG0000846	-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.114&CDS=1-1035	YGL212W
847	OG0000847	-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.102&CDS=1-1176	YGL213C
848	OG0000848	-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.116&CDS=1-3513	YFR031C
849	OG0000849	-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.117&CDS=1-351	YGL080W
850	OG0000850	-processed-gene-2.118-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.118&CDS=1-924	YDR245W
851	OG0000851	-processed-gene-2.76-mRNA-1_1&gene=genemark-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.76&CDS=1-1788	YDR244W
852	OG0000852	-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.105&CDS=1-3357	YPL016W
853	OG0000853	-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.120&CDS=1-3006	YPL022W
854	OG0000854	-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.106&CDS=1-1896	YPL023C
855	OG0000855	-processed-gene-2.107-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.107&CDS=1-1575	YLR023C
856	OG0000856	-processed-gene-2.37-mRNA-1_1&gene=snap_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.37&CDS=1-2613	YLR001C
857	OG0000857	-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.126&CDS=1-879	YAR008W
858	OG0000858	-processed-gene-2.127-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.127&CDS=1-1854	YLR399C
859	OG0000859	-processed-gene-3.158-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.158&CDS=1-2172	YMR301C
860	OG0000860	-processed-gene-3.159-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.159&CDS=1-3054	YDR017C
861	OG0000861	-augustus-gene-3.141-mRNA-1_1&gene=maker-gi|1002316247|dbj|BCGA01000010.1|-augustus-gene-3.141&CDS=1-3675	YJR110W
862	OG0000862	-augustus-gene-3.142-mRNA-1_1&gene=maker-gi|1002316247|dbj|BCGA01000010.1|-augustus-gene-3.142&CDS=1-1245	YGR244C
863	OG0000863	-processed-gene-3.197-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.197&CDS=1-813	YKR025W
864	OG0000864	-processed-gene-3.167-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.167&CDS=1-2283	YKR024C
865	OG0000865	-processed-gene-3.81-mRNA-1_1&gene=genemark-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.81&CDS=1-582	YDR013W
866	OG0000866	-processed-gene-3.203-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.203&CDS=1-8142	YGL195W
867	OG0000867	-processed-gene-3.87-mRNA-1_1&gene=genemark-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.87&CDS=1-3894	YDR293C
868	OG0000868	-processed-gene-3.173-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.173&CDS=1-552	YLR306W
869	OG0000869	-processed-gene-3.205-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.205&CDS=1-1206	YHR156C
870	OG0000870	-processed-gene-3.174-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.174&CDS=1-519	YNL260C
871	OG0000871	-processed-gene-3.206-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.206&CDS=1-1410	YNL261W
872	OG0000872	-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.175&CDS=1-5940	YDR097C
873	OG0000873	-processed-gene-3.176-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.176&CDS=1-915	YLR288C
874	OG0000874	-processed-gene-3.208-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.208&CDS=1-1173	YOR184W
875	OG0000875	-processed-gene-3.209-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.209&CDS=1-1833	YKL212W
876	OG0000876	-processed-gene-3.210-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.210&CDS=1-4083	YLR384C
877	OG0000877	-processed-gene-3.211-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.211&CDS=1-1131	YDR347W
878	OG0000878	-processed-gene-3.213-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.213&CDS=1-516	YDR404C
879	OG0000879	-processed-gene-3.179-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.179&CDS=1-528	YOR150W
880	OG0000880	-processed-gene-3.214-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.214&CDS=1-3810	YOR151C
881	OG0000881	-processed-gene-3.180-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.180&CDS=1-753	YDR405W
882	OG0000882	-processed-gene-3.216-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.216&CDS=1-1281	YOR155C
883	OG0000883	-processed-gene-3.181-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.181&CDS=1-1479	YKL211C
884	OG0000884	-processed-gene-3.183-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.183&CDS=1-396	YKL170W
885	OG0000885	-processed-gene-3.184-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.184&CDS=1-447	YKL167C
886	OG0000886	-processed-gene-3.185-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.185&CDS=1-1587	YHR007C
887	OG0000887	-processed-gene-3.219-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.219&CDS=1-927	YDR280W
888	OG0000888	-processed-gene-3.220-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.220&CDS=1-987	YDR279W
889	OG0000889	-processed-gene-3.34-mRNA-1_1&gene=snap_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.34&CDS=1-3057	YMR029C
890	OG0000890	-snap-gene-3.154-mRNA-1_1&gene=maker-gi|1002316247|dbj|BCGA01000010.1|-snap-gene-3.154&CDS=1-3108	YLR069C
891	OG0000891	-processed-gene-3.221-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.221&CDS=1-1026	YPR086W
892	OG0000892	-processed-gene-3.191-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.191&CDS=1-771	YLR285W
893	OG0000893	-snap-gene-3.156-mRNA-1_1&gene=maker-gi|1002316247|dbj|BCGA01000010.1|-snap-gene-3.156&CDS=1-2724	YLR286C
894	OG0000894	-snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-snap-gene-0.2&CDS=1-1539	YBR026C
895	OG0000895	-processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.95&CDS=1-618	YBR047W
896	OG0000896	-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.5&CDS=1-960	YDR284C
897	OG0000897	-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.28&CDS=1-4554	YHR164C
898	OG0000898	-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.8&CDS=1-1464	YHR137W
899	OG0000899	-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.29&CDS=1-279	YER048W-A
900	OG0000900	-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.10&CDS=1-2853	YIL109C
901	OG0000901	-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.30&CDS=1-786	YPL065W
902	OG0000902	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.14&CDS=1-1575	YER052C
903	OG0000903	-processed-gene-0.122-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.122&CDS=1-885	YIL043C
904	OG0000904	-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.33&CDS=1-1203	YDR346C
905	OG0000905	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.34&CDS=1-1593	YHR009C
906	OG0000906	-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.35&CDS=1-1311	YMR062C
907	OG0000907	-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.16&CDS=1-1086	YDR158W
908	OG0000908	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.37&CDS=1-651	YKR020W
909	OG0000909	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.18&CDS=1-1359	YOR250C
910	OG0000910	-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.38&CDS=1-522	YJL004C
911	OG0000911	-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.19&CDS=1-3585	YMR076C
912	OG0000912	-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.39&CDS=1-1872	YMR075W
913	OG0000913	-snap-gene-0.1-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-snap-gene-0.1&CDS=1-2928	YBR289W
914	OG0000914	-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.40&CDS=1-897	YBR291C
915	OG0000915	-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.41&CDS=1-1509	YKL028W
916	OG0000916	-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.43&CDS=1-1341	YNR050C
917	OG0000917	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.23&CDS=1-1374	YGL065C
918	OG0000918	-processed-gene-0.137-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.137&CDS=1-5286	YFL033C
919	OG0000919	-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.89&CDS=1-753	YFL045C
920	OG0000920	-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.91&CDS=1-1575	YJL153C
921	OG0000921	-augustus-gene-1.44-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-augustus-gene-1.44&CDS=1-273	YKR095W-A
922	OG0000922	-augustus-gene-1.45-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-augustus-gene-1.45&CDS=1-1776	YPL274W
923	OG0000923	-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.113&CDS=1-1476	YPR065W
924	OG0000924	-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.95&CDS=1-1776	YJL163C
925	OG0000925	-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.115&CDS=1-1203	YGL004C
926	OG0000926	-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.96&CDS=1-1059	YGL005C
927	OG0000927	-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.116&CDS=1-3546	YGL006W
928	OG0000928	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.97&CDS=1-1809	YAR007C
929	OG0000929	-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.117&CDS=1-2991	YGL016W
930	OG0000930	-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.98&CDS=1-3198	YGL112C
931	OG0000931	-processed-gene-1.31-mRNA-1_1&gene=snap_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.31&CDS=1-2232	YGL113W
932	OG0000932	-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.101&CDS=1-714	YBR072W
933	OG0000933	-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.103&CDS=1-621	YML001W
934	OG0000934	-processed-gene-1.80-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.80&CDS=1-630	YOL139C
935	OG0000935	-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.122&CDS=1-381	YGR074W
936	OG0000936	-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.106&CDS=1-969	YDL015C
937	OG0000937	-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.107&CDS=1-3474	YNL321W
938	OG0000938	-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.123&CDS=1-1329	YOL140W
939	OG0000939	-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.108&CDS=1-495	YGR076C
940	OG0000940	-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.124&CDS=1-801	YIL093C
941	OG0000941	-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.126&CDS=1-1038	YMR315W
942	OG0000942	-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.109&CDS=1-2652	YHR028C
943	OG0000943	-processed-gene-1.87-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.87&CDS=1-1386	YHR030C
944	OG0000944	-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.110&CDS=1-1476	YPL254W
945	OG0000945	-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.111&CDS=1-2856	YHR027C
946	OG0000946	-processed-gene-1.26-mRNA-1_1&gene=snap_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.26&CDS=1-921	YMR274C
947	OG0000947	-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.0&CDS=1-1059	YHR025W
948	OG0000948	-snap-gene-2.52-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-snap-gene-2.52&CDS=1-585	YHR026W
949	OG0000949	-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.5&CDS=1-1980	YAL048C
950	OG0000950	-snap-gene-2.48-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-snap-gene-2.48&CDS=1-957	YOR362C
951	OG0000951	-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.2&CDS=1-2346	YHR178W
952	OG0000952	-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.32&CDS=1-906	YHR062C
953	OG0000953	-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.9&CDS=1-849	YNL155W
954	OG0000954	-processed-gene-2.140-mRNA-1_1&gene=genemark-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.140&CDS=1-492	YGR146C
955	OG0000955	-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.10&CDS=1-1815	YDR049W
956	OG0000956	-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.34&CDS=1-2628	YBR073W
957	OG0000957	-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.35&CDS=1-777	YIL106W
958	OG0000958	-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.15&CDS=1-2847	YDR395W
959	OG0000959	-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.40&CDS=1-1509	YEL060C
960	OG0000960	-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.41&CDS=1-315	YLR364W
961	OG0000961	-processed-gene-2.17-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.17&CDS=1-1959	YOR273C
962	OG0000962	-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.18&CDS=1-915	YML125C
963	OG0000963	-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.19&CDS=1-2412	YMR078C
