	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035659_Saturnispora_dispora
290	OG0000290	YER074W, YIL069C	augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.135&CDS=1-405
291	OG0000291	YER081W, YIL074C	genemark-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.224-mRNA-1_1&gene=genemark-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.224&CDS=1-1398
292	OG0000292	YER131W, YGL189C	augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.115&CDS=1-357
293	OG0000293	YER145C	augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.123&CDS=1-2163, maker-NODE_68_length_20500_cov_28.1319_ID_135-augustus-gene-0.5-mRNA-1_1&gene=maker-NODE_68_length_20500_cov_28.1319_ID_135-augustus-gene-0.5&CDS=1-2334
294	OG0000294	YER166W	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.148&CDS=1-4911, snap_masked-NODE_37_length_88312_cov_15.5914_ID_73-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_37_length_88312_cov_15.5914_ID_73-processed-gene-0.99&CDS=1-3957
295	OG0000295	YER179W, YMR001C	augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.58&CDS=1-2931
296	OG0000296	YFL004W, YPL019C	augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.79&CDS=1-2604
297	OG0000297	YFL048C, YLR080W	genemark-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-0.25&CDS=1-1215
298	OG0000298	YFR014C, YOL016C	augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-1.44&CDS=1-1317
299	OG0000299	YGL023C	snap_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.47-mRNA-1_1&gene=snap_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.47&CDS=1-918, snap_masked-NODE_47_length_59245_cov_14.3977_ID_93-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_47_length_59245_cov_14.3977_ID_93-processed-gene-0.76&CDS=1-1194
300	OG0000300	YGL031C, YGR148C	augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-0.85&CDS=1-462
301	OG0000301	YGL076C, YPL198W	augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.112&CDS=1-726
302	OG0000302	YGL082W, YPL191C	snap_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.149-mRNA-1_1&gene=snap_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.149&CDS=1-1098
303	OG0000303	YGL096W, YPL177C	augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.28&CDS=1-693
304	OG0000304	YGL133W, YPL216W	augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.198-mRNA-1_1&gene=augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.198&CDS=1-3873
305	OG0000305	YGL135W, YPL220W	augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.111&CDS=1-651
306	OG0000306	YGL147C, YNL067W	augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-1.119&CDS=1-573
307	OG0000307	YGL162W, YPR009W	augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.99&CDS=1-1500
308	OG0000308	YGR008C, YLR327C	augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.72&CDS=1-255
309	OG0000309	YGR009C, YMR017W	augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.85&CDS=1-1581
310	OG0000310	YGR010W, YLR328W	maker-NODE_3_length_385180_cov_19.4344_ID_5-augustus-gene-2.192-mRNA-1_1&gene=maker-NODE_3_length_385180_cov_19.4344_ID_5-augustus-gene-2.192&CDS=1-4410
311	OG0000311	YGR023W, YLR332W	augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.68&CDS=1-1707
312	OG0000312	YGR027C, YLR333C	snap_masked-NODE_49_length_57152_cov_18.9998_ID_97-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_49_length_57152_cov_18.9998_ID_97-processed-gene-0.7&CDS=1-318
313	OG0000313	YGR034W, YLR344W	augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-0.14&CDS=1-381
314	OG0000314	YGR056W, YLR357W	augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.122&CDS=1-2862
315	OG0000315	YGR085C, YPR102C	augustus_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.134&CDS=1-522
316	OG0000316	YGR092W, YPR111W	snap_masked-NODE_64_length_27081_cov_16.0418_ID_127-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_64_length_27081_cov_16.0418_ID_127-processed-gene-0.22&CDS=1-1680
317	OG0000317	YGR108W, YPR119W	snap_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.245-mRNA-1_1&gene=snap_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.245&CDS=1-1620
318	OG0000318	YGR118W, YPR132W	augustus_masked-NODE_30_length_126679_cov_13.5585_ID_59-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_30_length_126679_cov_13.5585_ID_59-processed-gene-0.28&CDS=1-429
319	OG0000319	YGR121C, YPR138C	augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.125&CDS=1-1413
320	OG0000320	YGR124W, YPR145W	augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.75&CDS=1-1713
321	OG0000321	YGR131W, YPR149W	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.21&CDS=1-510
322	OG0000322	YGR136W, YPR154W	augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.15&CDS=1-690
323	OG0000323	YGR138C, YPR156C	augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.151&CDS=1-1878
324	OG0000324	YGR141W, YPR157W	augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.188&CDS=1-1266
325	OG0000325	YGR192C, YJR009C	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.157&CDS=1-1005
326	OG0000326	YGR197C, YJR015W	augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.4&CDS=1-1509
327	OG0000327	YGR209C, YLR043C	augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.69&CDS=1-309
328	OG0000328	YGR214W, YLR048W	maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.158-mRNA-1_1&gene=maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.158&CDS=1-771
329	OG0000329	YGR238C, YHR158C	snap_masked-NODE_53_length_46141_cov_13.7266_ID_105-processed-gene-0.22-mRNA-1_1&gene=snap_masked-NODE_53_length_46141_cov_13.7266_ID_105-processed-gene-0.22&CDS=1-2796
330	OG0000330	YGR243W, YHR162W	augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-1.121&CDS=1-390
331	OG0000331	YGR248W, YHR163W	augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.128&CDS=1-729
332	OG0000332	YGR254W, YHR174W	augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.146&CDS=1-1311
333	OG0000333	YGR260W	augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.82&CDS=1-1503, snap_masked-NODE_32_length_120685_cov_13.1933_ID_63-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_32_length_120685_cov_13.1933_ID_63-processed-gene-0.102&CDS=1-1557
334	OG0000334	YGR279C, YMR305C	augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-0.87&CDS=1-1098
335	OG0000335	YGR281W	augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.19&CDS=1-4197, snap_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.209-mRNA-1_1&gene=snap_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.209&CDS=1-4233
336	OG0000336	YGR283C, YMR310C	snap_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.11&CDS=1-888
337	OG0000337	YHL001W, YKL006W	maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.160-mRNA-1_1&gene=maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.160&CDS=1-393
338	OG0000338	YHL003C, YKL008C	maker-NODE_25_length_169014_cov_14.7401_ID_49-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_25_length_169014_cov_14.7401_ID_49-snap-gene-0.0&CDS=1-2001
339	OG0000339	YHL009W-B, YJL113W, YPL060C-A	
340	OG0000340	YHL017W, YKL039W	augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.172-mRNA-1_1&gene=augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.172&CDS=1-1755
341	OG0000341	YHR001W, YKR003W	snap_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-2.127-mRNA-1_1&gene=snap_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-2.127&CDS=1-1296
342	OG0000342	YHR021C, YKL156W	augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.95&CDS=1-246
343	OG0000343	YHR029C	augustus_masked-NODE_76_length_11377_cov_19.4565_ID_151-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_76_length_11377_cov_19.4565_ID_151-processed-gene-0.3&CDS=1-867, snap_masked-NODE_73_length_13977_cov_28.4802_ID_145-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_73_length_13977_cov_28.4802_ID_145-processed-gene-0.4&CDS=1-798
344	OG0000344	YHR036W	augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.104&CDS=1-972, maker-NODE_4_length_384069_cov_13.5194_ID_7-snap-gene-2.272-mRNA-1_1&gene=maker-NODE_4_length_384069_cov_13.5194_ID_7-snap-gene-2.272&CDS=1-1209
345	OG0000345	YHR117W, YNL121C	augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-1.72&CDS=1-1815
346	OG0000346	YHR123W, YNL130C	augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-1.125&CDS=1-1164
347	OG0000347	YHR131C, YNL144C	snap_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.48&CDS=1-1788
348	OG0000348	YHR135C, YNL154C	maker-NODE_1_length_433307_cov_13.4139_ID_1-snap-gene-2.58-mRNA-1_1&gene=maker-NODE_1_length_433307_cov_13.4139_ID_1-snap-gene-2.58&CDS=1-3975
349	OG0000349	YHR141C, YNL162W	maker-NODE_15_length_230213_cov_14.9326_ID_29-snap-gene-1.7-mRNA-1_1&gene=maker-NODE_15_length_230213_cov_14.9326_ID_29-snap-gene-1.7&CDS=1-2349
350	OG0000350	YHR146W, YNL173C	snap_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-1.109&CDS=1-843
351	OG0000351	YHR203C, YJR145C	augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_25_length_169014_cov_14.7401_ID_49-processed-gene-0.126&CDS=1-2577
352	OG0000352	YHR208W, YJR148W	maker-NODE_37_length_88312_cov_15.5914_ID_73-augustus-gene-0.108-mRNA-1_1&gene=maker-NODE_37_length_88312_cov_15.5914_ID_73-augustus-gene-0.108&CDS=1-2508
353	OG0000353	YIL085C, YNL029C	augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.95&CDS=1-1755
354	OG0000354	YIL105C, YNL047C	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.123&CDS=1-2229
355	OG0000355	YIL111W, YNL052W	augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.24&CDS=1-441
356	OG0000356	YIL114C, YNL055C	augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.89&CDS=1-855
357	OG0000357	YIL126W	augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.285-mRNA-1_1&gene=augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.285&CDS=1-3861, maker-NODE_4_length_384069_cov_13.5194_ID_7-augustus-gene-0.51-mRNA-1_1&gene=maker-NODE_4_length_384069_cov_13.5194_ID_7-augustus-gene-0.51&CDS=1-7758
358	OG0000358	YIL133C, YNL069C	snap_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-0.37&CDS=1-600
359	OG0000359	YIL149C, YKR095W	snap_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.6&CDS=1-5412
360	OG0000360	YIL151C, YKR096W	genemark-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-2.39-mRNA-1_1&gene=genemark-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-2.39&CDS=1-2889
361	OG0000361	YIL156W, YKR098C	augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.156-mRNA-1_1&gene=augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.156&CDS=1-2499
362	OG0000362	YIR031C, YNL117W	augustus_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.88&CDS=1-1674
363	OG0000363	YIR033W, YKL020C	augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-2.10&CDS=1-3405
364	OG0000364	YIR035C, YIR036C	augustus_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.273-mRNA-1_1&gene=augustus_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.273&CDS=1-789
365	OG0000365	YJL045W, YKL148C	augustus_masked-NODE_12_length_241223_cov_13.3852_ID_23-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_12_length_241223_cov_13.3852_ID_23-processed-gene-1.45&CDS=1-4263
366	OG0000366	YJL076W, YKR010C	snap_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.68-mRNA-1_1&gene=snap_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.68&CDS=1-2502
367	OG0000367	YJL082W, YKR018C	augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.78&CDS=1-2307
368	OG0000368	YJL083W, YKR019C	augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.135-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.135&CDS=1-2190
369	OG0000369	YJL084C, YKR021W	augustus_masked-NODE_24_length_170623_cov_13.7203_ID_47-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-NODE_24_length_170623_cov_13.7203_ID_47-processed-gene-0.185&CDS=1-2619
370	OG0000370	YJL090C	augustus_masked-NODE_61_length_30044_cov_18.0526_ID_121-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_61_length_30044_cov_18.0526_ID_121-processed-gene-0.7&CDS=1-1830, snap_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.146&CDS=1-1644
371	OG0000371	YJL108C	augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.64&CDS=1-3174, augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.73&CDS=1-2787
372	OG0000372	YJL133W, YKR052C	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.6&CDS=1-891
373	OG0000373	YJL134W, YKR053C	augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-2.101&CDS=1-1236
374	OG0000374	YJL137C, YKR058W	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.92&CDS=1-1746
375	OG0000375	YJL138C, YKR059W	maker-NODE_1_length_433307_cov_13.4139_ID_1-augustus-gene-2.112-mRNA-1_1&gene=maker-NODE_1_length_433307_cov_13.4139_ID_1-augustus-gene-2.112&CDS=1-1452
376	OG0000376	YJL139C, YKR061W	snap_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-1.220-mRNA-1_1&gene=snap_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-1.220&CDS=1-1320
377	OG0000377	YJL177W, YKL180W	maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.159-mRNA-1_1&gene=maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-1.159&CDS=1-564
378	OG0000378	YJL190C, YLR367W	augustus_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.254-mRNA-1_1&gene=augustus_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.254&CDS=1-390
379	OG0000379	YJR001W	augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.204-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.204&CDS=1-1590, augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.100&CDS=1-3354
380	OG0000380	YJR045C	augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.68&CDS=1-1923, augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.165-mRNA-1_1&gene=augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-2.165&CDS=1-1941
381	OG0000381	YJR054W, YML047C	augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.132-mRNA-1_1&gene=augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.132&CDS=1-1536
382	OG0000382	YJR091C, YPR042C	augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-1.155&CDS=1-2436
383	OG0000383	YJR094W-A, YPR043W	augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.103&CDS=1-282
384	OG0000384	YJR126C	augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-1.199&CDS=1-2652, maker-NODE_36_length_96088_cov_17.0303_ID_71-snap-gene-0.141-mRNA-1_1&gene=maker-NODE_36_length_96088_cov_17.0303_ID_71-snap-gene-0.141&CDS=1-2985
385	OG0000385	YJR130C, YML082W	augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.139-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.139&CDS=1-1746
386	OG0000386	YKL046C	maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-0.105-mRNA-1_1&gene=maker-NODE_16_length_229556_cov_13.3766_ID_31-augustus-gene-0.105&CDS=1-2685, maker-NODE_38_length_80193_cov_14.4369_ID_75-augustus-gene-0.36-mRNA-1_1&gene=maker-NODE_38_length_80193_cov_14.4369_ID_75-augustus-gene-0.36&CDS=1-2673
387	OG0000387	YKL050C, YMR031C	augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.87&CDS=1-2658
388	OG0000388	YKL068W, YMR047C	augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-1.35&CDS=1-3009
389	OG0000389	YKL072W, YMR053C	augustus_masked-NODE_43_length_69932_cov_16.1305_ID_85-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_43_length_69932_cov_16.1305_ID_85-processed-gene-0.37&CDS=1-2853
390	OG0000390	YKL126W, YMR104C	genemark-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.64&CDS=1-1902
391	OG0000391	YKL132C, YMR113W	augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.62&CDS=1-1266
392	OG0000392	YKL133C, YMR115W	augustus_masked-NODE_36_length_96088_cov_17.0303_ID_71-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_36_length_96088_cov_17.0303_ID_71-processed-gene-0.36&CDS=1-1284
393	OG0000393	YKL140W	augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.251-mRNA-1_1&gene=augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.251&CDS=1-1413, augustus_masked-NODE_37_length_88312_cov_15.5914_ID_73-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-NODE_37_length_88312_cov_15.5914_ID_73-processed-gene-0.147&CDS=1-1635
