	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034660_Diddensiella_caesifluorescens
552	OG0000552	YBR074W	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-2.78&CDS=1-2676
553	OG0000553	YBR079C	maker-NODE_14_length_259907_cov_40.013_ID_27-snap-gene-1.14-mRNA-1_1&gene=maker-NODE_14_length_259907_cov_40.013_ID_27-snap-gene-1.14&CDS=1-3273
554	OG0000554	YBR080C	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.138-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.138&CDS=1-2355
555	OG0000555	YBR081C	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.184-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.184&CDS=1-3234
556	OG0000556	YBR082C	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.0-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.0&CDS=1-441
557	OG0000557	YBR083W	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-12.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-12.33&CDS=1-2367
558	OG0000558	YBR085W	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.128-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.128&CDS=1-912
559	OG0000559	YBR086C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.64-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.64&CDS=1-2166
560	OG0000560	YBR087W	genemark-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.94&CDS=1-1062
561	OG0000561	YBR088C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-6.51-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-6.51&CDS=1-801
562	OG0000562	YBR094W	maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.104-mRNA-1_1&gene=maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.104&CDS=1-2109
563	OG0000563	YBR095C	maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.90-mRNA-1_1&gene=maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.90&CDS=1-993
564	OG0000564	YBR096W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.137&CDS=1-645
565	OG0000565	YBR097W	augustus_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.303-mRNA-1_1&gene=augustus_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.303&CDS=1-7593
566	OG0000566	YBR098W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.187-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.187&CDS=1-1689
567	OG0000567	YBR101C	snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.33&CDS=1-837
568	OG0000568	YBR103W	snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.28&CDS=1-1662
569	OG0000569	YBR105C	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.246-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.246&CDS=1-834
570	OG0000570	YBR106W	snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-0.83-mRNA-1_1&gene=snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-0.83&CDS=1-570
571	OG0000571	YBR109C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-5.12-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-5.12&CDS=1-483
572	OG0000572	YBR110W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-5.139-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-5.139&CDS=1-1395
573	OG0000573	YBR111C	genemark-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.138-mRNA-1_1&gene=genemark-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.138&CDS=1-615
574	OG0000574	YBR111W-A	augustus_masked-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_15_length_240312_cov_38.1157_ID_29-processed-gene-1.28&CDS=1-315
575	OG0000575	YBR112C	genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.165-mRNA-1_1&gene=genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.165&CDS=1-2757
576	OG0000576	YBR114W	maker-NODE_12_length_299431_cov_39.0444_ID_23-snap-gene-1.350-mRNA-1_1&gene=maker-NODE_12_length_299431_cov_39.0444_ID_23-snap-gene-1.350&CDS=1-2559
577	OG0000577	YBR115C	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.33-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.33&CDS=1-4101
578	OG0000578	YBR121C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-3.1-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-3.1&CDS=1-2481
579	OG0000579	YBR122C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-3.83-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-3.83&CDS=1-555
580	OG0000580	YBR123C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-3.82&CDS=1-1542
581	OG0000581	YBR126C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-3.172-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-3.172&CDS=1-1413
582	OG0000582	YBR127C	genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.120-mRNA-1_1&gene=genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.120&CDS=1-1542
583	OG0000583	YBR129C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.100&CDS=1-1182
584	OG0000584	YBR130C	snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.190-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.190&CDS=1-1209
585	OG0000585	YBR132C	genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.160-mRNA-1_1&gene=genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.160&CDS=1-1653
586	OG0000586	YBR133C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-19.55-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-19.55&CDS=1-2214
587	OG0000587	YBR135W	genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-19.132-mRNA-1_1&gene=genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-19.132&CDS=1-300
588	OG0000588	YBR136W	snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.169-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.169&CDS=1-6987
589	OG0000589	YBR137W	maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.94-mRNA-1_1&gene=maker-NODE_13_length_269693_cov_38.1254_ID_25-snap-gene-1.94&CDS=1-486
590	OG0000590	YBR141C	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-4.169-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-4.169&CDS=1-795
591	OG0000591	YBR142W	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.136-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.136&CDS=1-2070
592	OG0000592	YBR143C	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.157-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.157&CDS=1-1296
593	OG0000593	YBR146W	augustus_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-1.114&CDS=1-1188
594	OG0000594	YBR151W	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.114-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.114&CDS=1-828
595	OG0000595	YBR153W	snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.28-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.28&CDS=1-717
596	OG0000596	YBR154C	maker-NODE_10_length_307200_cov_39.2786_ID_19-snap-gene-2.5-mRNA-1_1&gene=maker-NODE_10_length_307200_cov_39.2786_ID_19-snap-gene-2.5&CDS=1-639
597	OG0000597	YBR155W	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-6.59-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-6.59&CDS=1-1143
598	OG0000598	YBR156C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.137-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.137&CDS=1-2565
599	OG0000599	YBR158W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.109&CDS=1-1722
600	OG0000600	YBR160W	maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-7.98-mRNA-1_1&gene=maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-7.98&CDS=1-1902
601	OG0000601	YBR162C	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-3.105-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-3.105&CDS=1-1455
602	OG0000602	YBR162W-A	maker-NODE_5_length_663820_cov_38.3927_ID_9-snap-gene-3.52-mRNA-1_1&gene=maker-NODE_5_length_663820_cov_38.3927_ID_9-snap-gene-3.52&CDS=1-198
603	OG0000603	YBR166C	genemark-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-0.95&CDS=1-1290
604	OG0000604	YBR167C	snap_masked-NODE_26_length_34277_cov_39.3416_ID_51-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_26_length_34277_cov_39.3416_ID_51-processed-gene-0.39&CDS=1-369
605	OG0000605	YBR170C	maker-NODE_9_length_477053_cov_38.1667_ID_17-augustus-gene-2.7-mRNA-1_1&gene=maker-NODE_9_length_477053_cov_38.1667_ID_17-augustus-gene-2.7&CDS=1-1698
606	OG0000606	YBR171W	maker-NODE_9_length_477053_cov_38.1667_ID_17-snap-gene-2.160-mRNA-1_1&gene=maker-NODE_9_length_477053_cov_38.1667_ID_17-snap-gene-2.160&CDS=1-552
607	OG0000607	YBR173C	genemark-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-2.26-mRNA-1_1&gene=genemark-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-2.26&CDS=1-432
608	OG0000608	YBR176W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-4.134-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-4.134&CDS=1-963
609	OG0000609	YBR179C	snap_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-0.66&CDS=1-2556
610	OG0000610	YBR185C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-11.6-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-11.6&CDS=1-831
611	OG0000611	YBR187W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.52-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.52&CDS=1-1380
612	OG0000612	YBR192W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.104-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-21.104&CDS=1-1089
613	OG0000613	YBR193C	genemark-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.106-mRNA-1_1&gene=genemark-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.106&CDS=1-576
614	OG0000614	YBR196C	snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.151-mRNA-1_1&gene=snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.151&CDS=1-1650
615	OG0000615	YBR198C	snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-3.29-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-3.29&CDS=1-2178
616	OG0000616	YBR199W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.95&CDS=1-1206
617	OG0000617	YBR200W	snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.134-mRNA-1_1&gene=snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.134&CDS=1-1935
618	OG0000618	YBR201W	snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.133-mRNA-1_1&gene=snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-0.133&CDS=1-660
619	OG0000619	YBR202W	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.119&CDS=1-2331
620	OG0000620	YBR203W	snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_17_length_234958_cov_39.2301_ID_33-processed-gene-0.85&CDS=1-1068
621	OG0000621	YBR208C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-8.98-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-8.98&CDS=1-5397
622	OG0000622	YBR213W	augustus_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-0.36&CDS=1-1584
623	OG0000623	YBR215W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-14.48-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-14.48&CDS=1-936
624	OG0000624	YBR217W	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-14.7-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-14.7&CDS=1-387
625	OG0000625	YBR218C	genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-10.25-mRNA-1_1&gene=genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-10.25&CDS=1-3528
626	OG0000626	YBR220C	snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.139-mRNA-1_1&gene=snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.139&CDS=1-1623
627	OG0000627	YBR221C	maker-NODE_19_length_153970_cov_37.8582_ID_37-snap-gene-0.262-mRNA-1_1&gene=maker-NODE_19_length_153970_cov_37.8582_ID_37-snap-gene-0.262&CDS=1-1179
628	OG0000628	YBR222C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-7.165-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-7.165&CDS=1-1545
629	OG0000629	YBR223C	maker-NODE_16_length_236730_cov_37.7939_ID_31-snap-gene-1.15-mRNA-1_1&gene=maker-NODE_16_length_236730_cov_37.7939_ID_31-snap-gene-1.15&CDS=1-1506
630	OG0000630	YBR228W	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-4.103-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-4.103&CDS=1-807
631	OG0000631	YBR231C	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.8-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.8&CDS=1-753
632	OG0000632	YBR233W	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.27-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.27&CDS=1-1344
633	OG0000633	YBR233W-A	maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-1.130-mRNA-1_1&gene=maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-1.130&CDS=1-303
634	OG0000634	YBR234C	snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-1.87-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-1.87&CDS=1-1092
635	OG0000635	YBR235W	genemark-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-1.59-mRNA-1_1&gene=genemark-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-1.59&CDS=1-4563
636	OG0000636	YBR237W	snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.177&CDS=1-2958
637	OG0000637	YBR243C	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-3.116-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-3.116&CDS=1-1326
638	OG0000638	YBR246W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.157-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.157&CDS=1-1005
639	OG0000639	YBR247C	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-4.22-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-4.22&CDS=1-1311
640	OG0000640	YBR248C	maker-NODE_6_length_641012_cov_38.5042_ID_11-snap-gene-4.148-mRNA-1_1&gene=maker-NODE_6_length_641012_cov_38.5042_ID_11-snap-gene-4.148&CDS=1-2694
641	OG0000641	YBR251W	snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.70&CDS=1-927
642	OG0000642	YBR254C	maker-NODE_10_length_307200_cov_39.2786_ID_19-snap-gene-1.5-mRNA-1_1&gene=maker-NODE_10_length_307200_cov_39.2786_ID_19-snap-gene-1.5&CDS=1-423
643	OG0000643	YBR255W	snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-1.166-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-1.166&CDS=1-1767
644	OG0000644	YBR256C	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-2.77&CDS=1-687
645	OG0000645	YBR257W	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.148-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.148&CDS=1-711
646	OG0000646	YBR260C	snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-2.138-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-2.138&CDS=1-2061
647	OG0000647	YBR261C	snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-2.131-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-2.131&CDS=1-699
648	OG0000648	YBR263W	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-1.95-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-1.95&CDS=1-1434
649	OG0000649	YBR265W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.66-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-4.66&CDS=1-933
650	OG0000650	YBR267W	snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.204-mRNA-1_1&gene=snap_masked-NODE_18_length_188106_cov_38.3849_ID_35-processed-gene-0.204&CDS=1-1389
651	OG0000651	YBR268W	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.139-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-5.139&CDS=1-339
652	OG0000652	YBR269C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.124-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.124&CDS=1-345
653	OG0000653	YBR271W	snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.147-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.147&CDS=1-873
654	OG0000654	YBR274W	maker-NODE_9_length_477053_cov_38.1667_ID_17-snap-gene-1.110-mRNA-1_1&gene=maker-NODE_9_length_477053_cov_38.1667_ID_17-snap-gene-1.110&CDS=1-1518
655	OG0000655	YBR276C	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-3.32-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-3.32&CDS=1-2526
656	OG0000656	YBR279W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-5.44-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-5.44&CDS=1-1134
657	OG0000657	YBR280C	genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-17.138-mRNA-1_1&gene=genemark-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-17.138&CDS=1-1674
658	OG0000658	YBR281C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-17.124-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-augustus-gene-17.124&CDS=1-4152
659	OG0000659	YBR282W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.67&CDS=1-420
660	OG0000660	YBR286W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.152-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.152&CDS=1-1527
661	OG0000661	YBR287W	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.121-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.121&CDS=1-1431
662	OG0000662	YBR288C	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-14.3-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-14.3&CDS=1-1338
663	OG0000663	YBR289W	snap_masked-NODE_22_length_74237_cov_38.7338_ID_43-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_22_length_74237_cov_38.7338_ID_43-processed-gene-0.28&CDS=1-1776
664	OG0000664	YBR290W	snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.150&CDS=1-1065
665	OG0000665	YBR291C	maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-4.132-mRNA-1_1&gene=maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-4.132&CDS=1-876
666	OG0000666	YBR293W	snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.95-mRNA-1_1&gene=snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.95&CDS=1-1635
667	OG0000667	YCL001W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.177-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.177&CDS=1-567
668	OG0000668	YCL004W	augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.124&CDS=1-2046
669	OG0000669	YCL005W-A	maker-NODE_3_length_1094262_cov_38.3339_ID_5-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_3_length_1094262_cov_38.3339_ID_5-augustus-gene-0.0&CDS=1-219
670	OG0000670	YCL008C	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-0.118&CDS=1-1323
671	OG0000671	YCL009C	snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-3.37-mRNA-1_1&gene=snap_masked-NODE_7_length_627228_cov_38.3844_ID_13-processed-gene-3.37&CDS=1-912
672	OG0000672	YCL010C	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.5-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-8.5&CDS=1-846
673	OG0000673	YCL012C	snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.173-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-7.173&CDS=1-426
