	OrthologID	Clavispora_lusitaniae	Saccharomyces_cerevisiae
636	OG0000636	genemark-NW_003101571.1-processed-gene-6.69-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.69&CDS=1-1701	YMR250W
637	OG0000637	genemark-NW_003101571.1-processed-gene-6.95-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.95&CDS=1-1005	YER156C
638	OG0000638	genemark-NW_003101571.1-processed-gene-6.96-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.96&CDS=1-1653	YIL150C
639	OG0000639	genemark-NW_003101571.1-processed-gene-6.71-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.71&CDS=1-2460	YER157W
640	OG0000640	snap_masked-NW_003101571.1-processed-gene-6.157-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-6.157&CDS=1-219	YDR079C-A
641	OG0000641	augustus_masked-NW_003101571.1-processed-gene-6.15-mRNA-1_1&gene=augustus_masked-NW_003101571.1-processed-gene-6.15&CDS=1-2835	YDR080W
642	OG0000642	snap_masked-NW_003101571.1-processed-gene-6.158-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-6.158&CDS=1-732	YDR084C
643	OG0000643	maker-NW_003101571.1-augustus-gene-6.180-mRNA-1_1&gene=maker-NW_003101571.1-augustus-gene-6.180&CDS=1-294	YDR079W
644	OG0000644	snap_masked-NW_003101571.1-processed-gene-6.159-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-6.159&CDS=1-2529	YDR081C
645	OG0000645	genemark-NW_003101571.1-processed-gene-6.98-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.98&CDS=1-897	YKL094W
646	OG0000646	genemark-NW_003101571.1-processed-gene-6.73-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.73&CDS=1-960	YDL006W
647	OG0000647	genemark-NW_003101571.1-processed-gene-6.101-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.101&CDS=1-5586	YKR031C
648	OG0000648	genemark-NW_003101571.1-processed-gene-6.75-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.75&CDS=1-1101	YDR336W
649	OG0000649	genemark-NW_003101571.1-processed-gene-6.103-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.103&CDS=1-588	YHR089C
650	OG0000650	genemark-NW_003101571.1-processed-gene-6.76-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.76&CDS=1-4119	YBL047C
651	OG0000651	genemark-NW_003101571.1-processed-gene-6.104-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.104&CDS=1-1161	YLL057C
652	OG0000652	maker-NW_003101571.1-snap-gene-6.1-mRNA-1_1&gene=maker-NW_003101571.1-snap-gene-6.1&CDS=1-411	YPR100W
653	OG0000653	genemark-NW_003101571.1-processed-gene-6.107-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.107&CDS=1-1638	YGR055W
654	OG0000654	genemark-NW_003101571.1-processed-gene-6.108-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.108&CDS=1-3564	YJL080C
655	OG0000655	genemark-NW_003101571.1-processed-gene-6.109-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.109&CDS=1-2577	YFR016C
656	OG0000656	genemark-NW_003101571.1-processed-gene-6.79-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.79&CDS=1-711	YDR054C
657	OG0000657	genemark-NW_003101571.1-processed-gene-6.80-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.80&CDS=1-1587	YDR052C
658	OG0000658	augustus_masked-NW_003101571.1-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-NW_003101571.1-processed-gene-6.24&CDS=1-3420	YOL023W
659	OG0000659	genemark-NW_003101571.1-processed-gene-6.83-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.83&CDS=1-3813	YJL108C
660	OG0000660	genemark-NW_003101571.1-processed-gene-6.111-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.111&CDS=1-4296	YGR116W
661	OG0000661	genemark-NW_003101571.1-processed-gene-6.84-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.84&CDS=1-1074	YPL069C
662	OG0000662	genemark-NW_003101571.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-6.85&CDS=1-900	YLR172C
663	OG0000663	genemark-NW_003101572.1-processed-gene-0.62-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.62&CDS=1-1644	YOR386W
664	OG0000664	genemark-NW_003101572.1-processed-gene-0.63-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.63&CDS=1-1071	YLR403W
665	OG0000665	genemark-NW_003101572.1-processed-gene-0.66-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.66&CDS=1-1629	YLR133W
666	OG0000666	genemark-NW_003101572.1-processed-gene-0.67-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.67&CDS=1-1092	YDR142C
667	OG0000667	genemark-NW_003101572.1-processed-gene-0.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.68&CDS=1-2574	YLL032C
668	OG0000668	genemark-NW_003101572.1-processed-gene-0.71-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.71&CDS=1-2262	YBR112C
669	OG0000669	genemark-NW_003101572.1-processed-gene-0.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.83&CDS=1-2706	YBR111C
670	OG0000670	snap_masked-NW_003101572.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-0.10&CDS=1-288	YBR111W-A
671	OG0000671	genemark-NW_003101572.1-processed-gene-0.84-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.84&CDS=1-1953	YBR212W
672	OG0000672	genemark-NW_003101572.1-processed-gene-0.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.86&CDS=1-429	YOR369C
673	OG0000673	genemark-NW_003101572.1-processed-gene-0.87-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.87&CDS=1-1851	YOR370C
674	OG0000674	genemark-NW_003101572.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.75&CDS=1-795	YBR213W
675	OG0000675	genemark-NW_003101572.1-processed-gene-0.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.88&CDS=1-1317	YOR323C
676	OG0000676	maker-NW_003101572.1-augustus-gene-0.34-mRNA-1_1&gene=maker-NW_003101572.1-augustus-gene-0.34&CDS=1-5343	YAL026C
677	OG0000677	genemark-NW_003101572.1-processed-gene-0.78-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-0.78&CDS=1-5490	YHL030W
678	OG0000678	genemark-NW_003101572.1-processed-gene-1.40-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.40&CDS=1-1605	YHL029C
679	OG0000679	genemark-NW_003101572.1-processed-gene-1.65-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.65&CDS=1-1653	YDR481C
680	OG0000680	genemark-NW_003101572.1-processed-gene-1.66-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.66&CDS=1-1032	YGL159W
681	OG0000681	genemark-NW_003101572.1-processed-gene-1.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.68&CDS=1-2298	YGL009C
682	OG0000682	genemark-NW_003101572.1-processed-gene-1.45-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.45&CDS=1-2643	YGR003W
683	OG0000683	snap_masked-NW_003101572.1-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.114&CDS=1-2370	YDR416W
684	OG0000684	genemark-NW_003101572.1-processed-gene-1.70-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.70&CDS=1-864	YJL158C
685	OG0000685	genemark-NW_003101572.1-processed-gene-1.50-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.50&CDS=1-2025	YMR068W
686	OG0000686	snap_masked-NW_003101572.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.96&CDS=1-3006	YCR092C
687	OG0000687	genemark-NW_003101572.1-processed-gene-1.53-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.53&CDS=1-813	YEL009C
688	OG0000688	genemark-NW_003101572.1-processed-gene-1.74-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.74&CDS=1-690	YIR009W
689	OG0000689	snap_masked-NW_003101572.1-processed-gene-1.125-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.125&CDS=1-1023	YJL088W
690	OG0000690	genemark-NW_003101572.1-processed-gene-1.54-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.54&CDS=1-966	YNR003C
691	OG0000691	genemark-NW_003101572.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.77&CDS=1-801	YBR257W
692	OG0000692	augustus_masked-NW_003101572.1-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-1.15&CDS=1-1443	YJL046W
693	OG0000693	snap_masked-NW_003101572.1-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.105&CDS=1-1959	YMR164C
694	OG0000694	maker-NW_003101572.1-augustus-gene-1.141-mRNA-1_1&gene=maker-NW_003101572.1-augustus-gene-1.141&CDS=1-3411	YBL082C
695	OG0000695	genemark-NW_003101572.1-processed-gene-1.84-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-1.84&CDS=1-684	YOL147C
696	OG0000696	snap_masked-NW_003101572.1-processed-gene-1.106-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.106&CDS=1-3087	YGL093W
697	OG0000697	snap_masked-NW_003101572.1-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-1.107&CDS=1-1287	YNL323W
698	OG0000698	maker-NW_003101572.1-snap-gene-1.137-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-1.137&CDS=1-2115	YML131W
699	OG0000699	augustus_masked-NW_003101572.1-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-2.5&CDS=1-1743	YOR308C
700	OG0000700	genemark-NW_003101572.1-processed-gene-2.50-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.50&CDS=1-3363	YDR270W
701	OG0000701	snap_masked-NW_003101572.1-processed-gene-2.121-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-2.121&CDS=1-2811	YOR160W
702	OG0000702	genemark-NW_003101572.1-processed-gene-2.53-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.53&CDS=1-555	YDR454C
703	OG0000703	genemark-NW_003101572.1-processed-gene-2.54-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.54&CDS=1-1920	YCR008W
704	OG0000704	genemark-NW_003101572.1-processed-gene-2.57-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.57&CDS=1-1026	YBR159W
705	OG0000705	genemark-NW_003101572.1-processed-gene-2.58-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.58&CDS=1-1026	YNL007C
706	OG0000706	genemark-NW_003101572.1-processed-gene-2.59-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.59&CDS=1-933	YNL006W
707	OG0000707	genemark-NW_003101572.1-processed-gene-2.60-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.60&CDS=1-999	YBR046C
708	OG0000708	genemark-NW_003101572.1-processed-gene-2.77-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.77&CDS=1-2061	YLR176C
709	OG0000709	genemark-NW_003101572.1-processed-gene-2.61-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.61&CDS=1-828	YNL002C
710	OG0000710	genemark-NW_003101572.1-processed-gene-2.62-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.62&CDS=1-1836	YNL003C
711	OG0000711	genemark-NW_003101572.1-processed-gene-2.63-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.63&CDS=1-1350	YCL017C
712	OG0000712	genemark-NW_003101572.1-processed-gene-2.64-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.64&CDS=1-1119	YCL018W
713	OG0000713	genemark-NW_003101572.1-processed-gene-2.78-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.78&CDS=1-4143	YCL014W
714	OG0000714	genemark-NW_003101572.1-processed-gene-2.79-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.79&CDS=1-414	YCL012C
715	OG0000715	genemark-NW_003101572.1-processed-gene-2.81-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.81&CDS=1-816	YCL010C
716	OG0000716	genemark-NW_003101572.1-processed-gene-2.67-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.67&CDS=1-1635	YCL004W
717	OG0000717	genemark-NW_003101572.1-processed-gene-2.68-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.68&CDS=1-1128	YNL005C
718	OG0000718	augustus_masked-NW_003101572.1-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-2.39&CDS=1-216	YOR210W
719	OG0000719	genemark-NW_003101572.1-processed-gene-2.70-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.70&CDS=1-2553	YPL126W
720	OG0000720	genemark-NW_003101572.1-processed-gene-2.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.83&CDS=1-2652	YOR211C
721	OG0000721	genemark-NW_003101572.1-processed-gene-2.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.85&CDS=1-315	YDL130W
722	OG0000722	genemark-NW_003101572.1-processed-gene-2.72-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.72&CDS=1-918	YGR101W
723	OG0000723	genemark-NW_003101572.1-processed-gene-2.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.86&CDS=1-606	YFR001W
724	OG0000724	genemark-NW_003101572.1-processed-gene-2.87-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.87&CDS=1-1995	YKL179C
725	OG0000725	genemark-NW_003101572.1-processed-gene-2.74-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-2.74&CDS=1-1905	YLR143W
726	OG0000726	snap_masked-NW_003101572.1-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.3&CDS=1-2925	YHR098C
727	OG0000727	genemark-NW_003101572.1-processed-gene-3.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.85&CDS=1-2217	YOR035C
728	OG0000728	genemark-NW_003101572.1-processed-gene-3.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.83&CDS=1-750	YHR090C
729	OG0000729	genemark-NW_003101572.1-processed-gene-3.105-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.105&CDS=1-432	YHR051W
730	OG0000730	genemark-NW_003101572.1-processed-gene-3.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.88&CDS=1-420	YOR028C
731	OG0000731	genemark-NW_003101572.1-processed-gene-3.89-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.89&CDS=1-1077	YDR322W
732	OG0000732	genemark-NW_003101572.1-processed-gene-3.90-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.90&CDS=1-3039	YHR077C
733	OG0000733	genemark-NW_003101572.1-processed-gene-3.107-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.107&CDS=1-1059	YHR076W
734	OG0000734	snap_masked-NW_003101572.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.13&CDS=1-273	YDR322C-A
735	OG0000735	augustus_masked-NW_003101572.1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.55&CDS=1-1605	YDR323C
736	OG0000736	genemark-NW_003101572.1-processed-gene-3.109-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.109&CDS=1-1968	YLR103C
737	OG0000737	genemark-NW_003101572.1-processed-gene-3.110-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.110&CDS=1-1506	YLR149C
738	OG0000738	snap_masked-NW_003101572.1-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.33&CDS=1-378	YLR104W
739	OG0000739	genemark-NW_003101572.1-processed-gene-3.112-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.112&CDS=1-1356	YER019W
740	OG0000740	genemark-NW_003101572.1-processed-gene-3.114-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.114&CDS=1-591	YDR167W
741	OG0000741	augustus_masked-NW_003101572.1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.60&CDS=1-4452	YDR128W
742	OG0000742	maker-NW_003101572.1-snap-gene-3.123-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-3.123&CDS=1-1131	YLR100W
743	OG0000743	augustus_masked-NW_003101572.1-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-3.62&CDS=1-4755	YKL010C
744	OG0000744	genemark-NW_003101572.1-processed-gene-3.100-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.100&CDS=1-792	YKL007W
745	OG0000745	genemark-NW_003101572.1-processed-gene-3.117-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.117&CDS=1-1425	YHL002W
746	OG0000746	genemark-NW_003101572.1-processed-gene-3.118-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.118&CDS=1-1326	YHL004W
747	OG0000747	genemark-NW_003101572.1-processed-gene-3.119-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.119&CDS=1-597	YKL117W
748	OG0000748	genemark-NW_003101572.1-processed-gene-3.120-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.120&CDS=1-2838	YNL325C
749	OG0000749	genemark-NW_003101572.1-processed-gene-3.121-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-3.121&CDS=1-1077	YLR321C
750	OG0000750	snap_masked-NW_003101572.1-processed-gene-4.93-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.93&CDS=1-2103	YLR319C
751	OG0000751	genemark-NW_003101572.1-processed-gene-4.4-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.4&CDS=1-3267	YMR308C
752	OG0000752	genemark-NW_003101572.1-processed-gene-4.5-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.5&CDS=1-1101	YAL036C
753	OG0000753	genemark-NW_003101572.1-processed-gene-4.0-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.0&CDS=1-3036	YAL035W
754	OG0000754	genemark-NW_003101572.1-processed-gene-4.6-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.6&CDS=1-444	YDL235C
755	OG0000755	genemark-NW_003101572.1-processed-gene-4.27-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.27&CDS=1-1791	YNL219C
756	OG0000756	snap_masked-NW_003101572.1-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.117&CDS=1-1230	YNL220W
757	OG0000757	snap_masked-NW_003101572.1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.118&CDS=1-1077	YNL037C
758	OG0000758	genemark-NW_003101572.1-processed-gene-4.7-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.7&CDS=1-402	YIL098C
759	OG0000759	genemark-NW_003101572.1-processed-gene-4.8-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.8&CDS=1-453	YAL008W
760	OG0000760	snap_masked-NW_003101572.1-processed-gene-4.120-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-4.120&CDS=1-4932	YOR341W
761	OG0000761	genemark-NW_003101572.1-processed-gene-4.31-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.31&CDS=1-1473	YBR243C
762	OG0000762	genemark-NW_003101572.1-processed-gene-4.10-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.10&CDS=1-1020	YGL100W
763	OG0000763	genemark-NW_003101572.1-processed-gene-4.32-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.32&CDS=1-1263	YGL111W
764	OG0000764	genemark-NW_003101572.1-processed-gene-4.11-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.11&CDS=1-1581	YHR064C
765	OG0000765	genemark-NW_003101572.1-processed-gene-4.12-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.12&CDS=1-1536	YOR070C
766	OG0000766	augustus_masked-NW_003101572.1-processed-gene-4.56-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-4.56&CDS=1-1077	YKR080W
767	OG0000767	genemark-NW_003101572.1-processed-gene-4.16-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.16&CDS=1-2097	YKR099W
768	OG0000768	genemark-NW_003101572.1-processed-gene-4.34-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.34&CDS=1-768	YOR077W
769	OG0000769	genemark-NW_003101572.1-processed-gene-4.35-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.35&CDS=1-972	YKR087C
770	OG0000770	genemark-NW_003101572.1-processed-gene-4.37-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.37&CDS=1-561	YIL157C
771	OG0000771	genemark-NW_003101572.1-processed-gene-4.19-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.19&CDS=1-513	YAL059W
772	OG0000772	genemark-NW_003101572.1-processed-gene-4.20-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.20&CDS=1-1698	YAL058W
773	OG0000773	genemark-NW_003101572.1-processed-gene-4.23-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.23&CDS=1-3633	YMR218C
774	OG0000774	genemark-NW_003101572.1-processed-gene-4.24-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.24&CDS=1-1851	YGL110C
775	OG0000775	genemark-NW_003101572.1-processed-gene-4.39-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.39&CDS=1-1314	YOL062C
776	OG0000776	genemark-NW_003101572.1-processed-gene-4.25-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.25&CDS=1-3171	YDL215C
777	OG0000777	genemark-NW_003101572.1-processed-gene-4.26-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.26&CDS=1-1002	YBR246W
778	OG0000778	maker-NW_003101572.1-snap-gene-5.38-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-5.38&CDS=1-2121	YLR337C
779	OG0000779	snap_masked-NW_003101572.1-processed-gene-5.3-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.3&CDS=1-708	YNL129W
780	OG0000780	genemark-NW_003101572.1-processed-gene-5.97-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.97&CDS=1-642	YDR486C
781	OG0000781	genemark-NW_003101572.1-processed-gene-5.80-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.80&CDS=1-1869	YKL029C
782	OG0000782	genemark-NW_003101572.1-processed-gene-5.82-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.82&CDS=1-747	YDR226W
783	OG0000783	genemark-NW_003101572.1-processed-gene-5.100-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.100&CDS=1-1620	YDR228C
784	OG0000784	genemark-NW_003101572.1-processed-gene-5.83-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.83&CDS=1-897	YDL198C
785	OG0000785	snap_masked-NW_003101572.1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.27&CDS=1-1347	YNL193W
786	OG0000786	genemark-NW_003101572.1-processed-gene-5.85-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.85&CDS=1-465	YOR104W
787	OG0000787	genemark-NW_003101572.1-processed-gene-5.86-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.86&CDS=1-1842	YEL023C
788	OG0000788	augustus_masked-NW_003101572.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-5.66&CDS=1-3633	YEL024W
789	OG0000789	genemark-NW_003101572.1-processed-gene-5.88-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.88&CDS=1-2196	YJR042W
790	OG0000790	genemark-NW_003101572.1-processed-gene-5.104-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.104&CDS=1-480	YEL027W
791	OG0000791	genemark-NW_003101572.1-processed-gene-5.89-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.89&CDS=1-375	YEL026W
792	OG0000792	snap_masked-NW_003101572.1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.16&CDS=1-3789	YJR041C
793	OG0000793	genemark-NW_003101572.1-processed-gene-5.105-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.105&CDS=1-2148	YJR040W
794	OG0000794	genemark-NW_003101572.1-processed-gene-5.107-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.107&CDS=1-792	YOR036W
795	OG0000795	genemark-NW_003101572.1-processed-gene-5.91-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.91&CDS=1-4293	YNL102W
796	OG0000796	genemark-NW_003101572.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.92&CDS=1-2574	YBR289W
797	OG0000797	genemark-NW_003101572.1-processed-gene-5.109-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.109&CDS=1-1125	YHR112C
798	OG0000798	genemark-NW_003101572.1-processed-gene-5.93-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.93&CDS=1-3537	YMR287C
799	OG0000799	genemark-NW_003101572.1-processed-gene-5.95-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.95&CDS=1-975	YMR267W
800	OG0000800	genemark-NW_003101572.1-processed-gene-5.96-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-5.96&CDS=1-4842	YML103C
801	OG0000801	genemark-NW_003101572.1-processed-gene-6.166-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.166&CDS=1-1275	YMR208W
802	OG0000802	genemark-NW_003101572.1-processed-gene-6.169-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.169&CDS=1-978	YOR271C
803	OG0000803	genemark-NW_003101572.1-processed-gene-6.170-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.170&CDS=1-1584	YMR217W
804	OG0000804	genemark-NW_003101572.1-processed-gene-6.171-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.171&CDS=1-1512	YMR209C
805	OG0000805	genemark-NW_003101572.1-processed-gene-6.172-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.172&CDS=1-864	YKL019W
806	OG0000806	genemark-NW_003101572.1-processed-gene-6.174-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.174&CDS=1-1143	YFL030W
