	OrthologID	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
328	OG0000328	XP_011119761.1	YKL141W, YMR118C
329	OG0000329	XP_011119825.1	YBR147W, YOL092W
330	OG0000330	XP_011119897.1, XP_011124458.1	YGR213C
331	OG0000331	XP_011119941.1	YJL137C, YKR058W
332	OG0000332	XP_011119954.1	YCR048W, YNR019W
333	OG0000333	XP_011119955.1	YDR348C, YHR097C
334	OG0000334	XP_011119981.1	YER031C, YGL210W
335	OG0000335	XP_011120046.1	YHL017W, YKL039W
336	OG0000336	XP_011120058.1	YKL121W, YMR102C
337	OG0000337	XP_011120113.1, XP_011122071.1	YLR380W
338	OG0000338	XP_011120130.1	YER131W, YGL189C
339	OG0000339	XP_011120149.1, XP_011127530.1	YOR197W
340	OG0000340	XP_011120188.1	YBL067C, YER098W
341	OG0000341	XP_011120203.1	YDR358W, YHR108W
342	OG0000342	XP_011120204.1, XP_011126033.1	YJL094C
343	OG0000343	XP_011120236.1	YGR056W, YLR357W
344	OG0000344	XP_011120243.1, XP_011124401.1	YJL127C
345	OG0000345	XP_011120254.1	YBL106C, YPR032W
346	OG0000346	XP_011120255.1, XP_011127506.1	YLR058C
347	OG0000347	XP_011120276.1	YGR279C, YMR305C
348	OG0000348	XP_011120288.1	YDR253C, YPL038W
349	OG0000349	XP_011120313.1	YJL098W, YKR028W
350	OG0000350	XP_011120322.1	YIL149C, YKR095W
351	OG0000351	XP_011120324.1, XP_011128424.1	YDL128W
352	OG0000352	XP_011120363.1, XP_011124664.1	YMR041C
353	OG0000353	XP_011120366.1	YDL022W, YOL059W
354	OG0000354	XP_011120396.1	YJL076W, YKR010C
355	OG0000355	XP_011120418.1	YER059W, YIL050W
356	OG0000356	XP_011120419.1	YLR264W, YOR167C
357	OG0000357	XP_011120434.1	YMR233W, YOR295W
358	OG0000358	XP_011120464.1	YHR133C, YNL156C
359	OG0000359	XP_011120527.1	YBR218C, YGL062W
360	OG0000360	XP_011120539.1	YGR085C, YPR102C
361	OG0000361	XP_011120631.1	YDR451C, YML027W
362	OG0000362	XP_011120680.1, XP_011123768.1	YKL046C
363	OG0000363	XP_011120689.1	YHR146W, YNL173C
364	OG0000364	XP_011120730.1, XP_011125910.1	YBR296C
365	OG0000365	XP_011120787.1	YAL015C, YOL043C
366	OG0000366	XP_011120790.1, XP_011122381.1	YKR070W
367	OG0000367	XP_011120797.1, XP_011121057.1	YAL049C
368	OG0000368	XP_011120814.1	YBR244W, YIR037W
369	OG0000369	XP_011120822.1, XP_011123223.1	YGR170W
370	OG0000370	XP_011120824.1	YIR013C, YLR013W
371	OG0000371	XP_011120828.1, XP_011124893.1	YDL056W
372	OG0000372	XP_011120843.1	YBR241C, YGL104C
373	OG0000373	XP_011120853.1, XP_011123502.1	YJL108C
374	OG0000374	XP_011120909.1, XP_011127761.1	YMR029C
375	OG0000375	XP_011120944.1, XP_011127727.1	YKL157W
376	OG0000376	XP_011120952.1	YCL064C, YIL167W
377	OG0000377	XP_011120987.1	YKL050C, YMR031C
378	OG0000378	XP_011121052.1	YMR194W, YPL249C-A
379	OG0000379	XP_011121076.1, XP_011126959.1	YER177W
380	OG0000380	XP_011121086.1, XP_011122991.1	YHR007C
381	OG0000381	XP_011121093.1, XP_011122579.1	YPR201W
382	OG0000382	XP_011121123.1	YBL079W, YER105C
383	OG0000383	XP_011121125.1	YML106W, YMR271C
384	OG0000384	XP_011121199.1	YBR177C, YPL095C
385	OG0000385	XP_011121383.1	YCL050C, YDR530C
386	OG0000386	XP_011121400.1	YMR222C, YOR280C
387	OG0000387	XP_011121443.1	YGL147C, YNL067W
388	OG0000388	XP_011121498.1	YBR183W, YPL087W
389	OG0000389	XP_011121500.1, XP_011122202.1	YDR415C
390	OG0000390	XP_011121518.1	YLR260W, YOR171C
391	OG0000391	XP_011121534.1	YDR122W, YLR096W
392	OG0000392	XP_011121560.1	YHR155W, YNL257C
393	OG0000393	XP_011121561.1, XP_011124321.1	YGL212W
394	OG0000394	XP_011121563.1	YCL036W, YDR514C
395	OG0000395	XP_011121564.1, XP_011123558.1	YBR233W
396	OG0000396	XP_011121579.1	YER066W, YFL009W
397	OG0000397	XP_011121618.1, XP_011126897.1	YPL208W
398	OG0000398	XP_011121623.1	YDL161W, YLR206W
399	OG0000399	XP_011121638.1	YMR243C, YOR316C
400	OG0000400	XP_011121660.1, XP_011123966.1	YOL016C
401	OG0000401	XP_011121683.1	YGR273C, YMR295C
402	OG0000402	XP_011121694.1	YOR234C, YPL143W
403	OG0000403	XP_011121808.1, XP_011127751.1	YML085C
404	OG0000404	XP_011121814.1, XP_011124055.1	YDR028C
405	OG0000405	XP_011121842.1	YLR178C, YLR179C
406	OG0000406	XP_011121849.1	YKL132C, YMR113W
407	OG0000407	XP_011121853.1, XP_011127889.1	YHL021C
408	OG0000408	XP_011121883.1, XP_011126815.1	YBR007C
409	OG0000409	XP_011121952.1	YBL089W, YER119C
410	OG0000410	XP_011121963.1, XP_011127510.1	YDR150W
411	OG0000411	XP_011122022.1	YDR326C, YHR080C
412	OG0000412	XP_011122179.1	YGL076C, YPL198W
413	OG0000413	XP_011122213.1	YDR447C, YML024W
414	OG0000414	XP_011122217.1, XP_011127591.1	YER162C
415	OG0000415	XP_011122231.1	YBR024W, YBR037C
416	OG0000416	XP_011122246.1	YHR203C, YJR145C
417	OG0000417	XP_011122273.1	YDR453C, YML028W
418	OG0000418	XP_011122290.1	YGR238C, YHR158C
419	OG0000419	XP_011122297.1	YBR191W, YPL079W
420	OG0000420	XP_011122299.1	YDR500C, YLR185W
421	OG0000421	XP_011122332.1	YDL222C, YNL194C
422	OG0000422	XP_011122392.1	YDR200C, YLR238W
423	OG0000423	XP_011122404.1	YLR456W, YPR172W
424	OG0000424	XP_011122409.1	YDL093W, YDL095W
425	OG0000425	XP_011122435.1	YHR021C, YKL156W
426	OG0000426	XP_011122648.1	YCR067C, YNR026C
427	OG0000427	XP_011122665.1	YBR042C, YDR018C
428	OG0000428	XP_011122690.1	YDR178W, YLR164W
429	OG0000429	XP_011122734.1	YDL075W, YLR406C
430	OG0000430	XP_011122756.1, XP_011127888.1	YJR126C
431	OG0000431	XP_011122773.1	YLR300W, YOR190W
432	OG0000432	XP_011122787.1	YJL136C, YKR057W
433	OG0000433	XP_011122788.1	YLR450W, YML075C
434	OG0000434	XP_011122795.1	YNL087W, YOR086C
435	OG0000435	XP_011122818.1	YHR001W, YKR003W
436	OG0000436	XP_011122830.1	YNL302C, YOL121C
437	OG0000437	XP_011122833.1, XP_011123959.1	YPL242C
438	OG0000438	XP_011122851.1	YER056C-A, YIL052C
439	OG0000439	XP_011122913.1	YBL087C, YER117W
440	OG0000440	XP_011123057.1	YCL026C-A, YCL026C-B
441	OG0000441	XP_011123171.1	YBL072C, YER102W
442	OG0000442	XP_011123206.1	YKL152C, YOR283W
443	OG0000443	XP_011123216.1	YBR181C, YPL090C
444	OG0000444	XP_011123292.1	YDR505C, YLR177W
445	OG0000445	XP_011123305.1	YEL039C, YJR048W
446	OG0000446	XP_011123394.1, XP_011126119.1	YDL210W
447	OG0000447	XP_011123430.1, XP_011126197.1	YJL124C
448	OG0000448	XP_011123442.1, XP_011127609.1	YLR027C
449	OG0000449	XP_011123458.1	YMR230W, YOR293W
450	OG0000450	XP_011123471.1	YDL070W, YLR399C
451	OG0000451	XP_011123547.1, XP_011126789.1	YHR134W
452	OG0000452	XP_011123623.1	YDR418W, YEL054C
453	OG0000453	XP_011123639.1, XP_011127709.1	YPR128C
454	OG0000454	XP_011123664.1	YHR131C, YNL144C
455	OG0000455	XP_011123696.1	YMR177W, YPL224C
456	OG0000456	XP_011123759.1	YCR005C, YNR001C
457	OG0000457	XP_011123828.1	YHR141C, YNL162W
458	OG0000458	XP_011123857.1, XP_011126521.1	YLR014C
459	OG0000459	XP_011123905.1	YJL083W, YKR019C
460	OG0000460	XP_011123912.1, XP_011127544.1	YOL147C
461	OG0000461	XP_011123944.1	YDR146C, YLR131C
462	OG0000462	XP_011123964.1	YBR214W, YGL056C
463	OG0000463	XP_011123965.1	YIL105C, YNL047C
464	OG0000464	XP_011123970.1	YBR104W, YPR058W
465	OG0000465	XP_011123972.1	YHR210C, YNR071C
466	OG0000466	XP_011123981.1	YFL004W, YPL019C
467	OG0000467	XP_011123986.1	YAL034C, YOR338W
468	OG0000468	XP_011124335.1	YJL134W, YKR053C
469	OG0000469	XP_011124348.1, XP_011128039.1	YEL007W
470	OG0000470	XP_011124359.1, XP_011126525.1	YMR068W
471	OG0000471	XP_011124364.1	YCL011C, YNL004W
472	OG0000472	XP_011124432.1	YDR450W, YML026C
473	OG0000473	XP_011124546.1	YJL177W, YKL180W
474	OG0000474	XP_011124562.1	YDL083C, YMR143W
475	OG0000475	XP_011124566.1	YCR031C, YJL191W
476	OG0000476	XP_011124570.1	YNL108C, YOR110W
477	OG0000477	XP_011124576.1	YAR042W, YDL019C
478	OG0000478	XP_011124662.1	YGR004W, YLR324W
479	OG0000479	XP_011124713.1	YNL299W, YOL115W
480	OG0000480	XP_011124718.1	YDR132C, YLR108C
481	OG0000481	XP_011124731.1	YGR027C, YLR333C
482	OG0000482	XP_011124773.1	YGL049C, YGR162W
483	OG0000483	XP_011124777.1	YDL082W, YMR142C
484	OG0000484	XP_011124870.1	YDR385W, YOR133W
485	OG0000485	XP_011124882.1	YEL066W, YPR193C
486	OG0000486	XP_011124916.1	YCR026C, YEL016C
487	OG0000487	XP_011124941.1	YCR052W, YNR023W
488	OG0000488	XP_011124954.1	YDR471W, YHR010W
489	OG0000489	XP_011124963.1	YDL204W, YDR233C
490	OG0000490	XP_011124987.1	YGR214W, YLR048W
491	OG0000491	XP_011125000.1	YBL056W, YER089C
492	OG0000492	XP_011125005.1	YHR132W-A, YNL157W
493	OG0000493	XP_011125007.1	YEL006W, YIL006W
494	OG0000494	XP_011125123.1	YJL133W, YKR052C
495	OG0000495	XP_011125133.1	YBR049C, YDR026C
496	OG0000496	XP_011125138.1	YMR182C, YPL230W
497	OG0000497	XP_011125291.1	YER175C, YHR209W
498	OG0000498	XP_011125344.1	YDL224C, YNL197C
499	OG0000499	XP_011125411.1	YNL301C, YOL120C
500	OG0000500	XP_011125421.1	YFR053C, YGL253W
501	OG0000501	XP_011125426.1	YDR458C, YML034W
502	OG0000502	XP_011125429.1	YER062C, YIL053W
503	OG0000503	XP_011125432.1	YHL001W, YKL006W
504	OG0000504	XP_011125437.1	YGR092W, YPR111W
505	OG0000505	XP_011125448.1	YGR243W, YHR162W
506	OG0000506	XP_011125449.1	YDR252W, YPL037C
507	OG0000507	XP_011125467.1	YBR010W, YNL031C
508	OG0000508	XP_011125517.1, XP_011127623.1	YHR018C
509	OG0000509	XP_011125528.1	YDR107C, YLR083C
510	OG0000510	XP_011125607.1	YJL172W, YOL153C
511	OG0000511	XP_011125668.1	YIL111W, YNL052W
512	OG0000512	XP_011125702.1	YIR033W, YKL020C
513	OG0000513	XP_011125707.1	YBR118W, YPR080W
514	OG0000514	XP_011125709.1	YIL113W, YNL053W
515	OG0000515	XP_011125713.1	YAL017W, YOL045W
516	OG0000516	XP_011125743.1, XP_011128280.1	YOL137W
517	OG0000517	XP_011126139.1	YFL034C-A, YLR061W
518	OG0000518	XP_011126156.1	YGR038W, YLR350W
519	OG0000519	XP_011126174.1	YLR287C-A, YOR182C
520	OG0000520	XP_011126179.1	YLR448W, YML073C
521	OG0000521	XP_011126188.1	YDR368W, YOR120W
522	OG0000522	XP_011126227.1	YGR136W, YPR154W
523	OG0000523	XP_011126245.1	YGR131W, YPR149W
524	OG0000524	XP_011126299.1	YHR117W, YNL121C
525	OG0000525	XP_011126381.1	YGL135W, YPL220W
526	OG0000526	XP_011126391.1, XP_011128407.1	YPL092W
527	OG0000527	XP_011126552.1	YGR118W, YPR132W
528	OG0000528	XP_011126614.1	YDR185C, YLR168C
529	OG0000529	XP_011126617.1	YDR273W, YOR042W
530	OG0000530	XP_011126628.1	YGR008C, YLR327C
531	OG0000531	XP_011126634.1	YAR002C-A, YGL002W
532	OG0000532	XP_011126661.1	YMR253C, YPL264C
533	OG0000533	XP_011126767.1	YLR187W, YNL278W
534	OG0000534	XP_011126841.1	YBR294W, YLR092W
535	OG0000535	XP_011126879.1, XP_011127059.1	YBR271W
536	OG0000536	XP_011126916.1	YHL033C, YLL045C
537	OG0000537	XP_011126958.1	YDL130W-A, YDL181W
538	OG0000538	XP_011126972.1	YER074W, YIL069C
539	OG0000539	XP_011126985.1	YBL085W, YER114C
540	OG0000540	XP_011127039.1	YDL246C, YJR159W
541	OG0000541	XP_011127067.1	YMR242C, YOR312C
542	OG0000542	XP_011127090.1	YER019C-A, YER087C-B
543	OG0000543	XP_011127114.1	YIL148W, YKR094C
544	OG0000544	XP_011127215.1	YDR501W, YLR183C
545	OG0000545	XP_011127244.1, XP_011128069.1	YKL085W
546	OG0000546	XP_011127264.1	YHR179W, YPL171C
547	OG0000547	XP_011127346.1	YML109W, YMR273C
548	OG0000548	XP_011127391.1	YBR267W, YLR387C
549	OG0000549	XP_011127430.1	YDR069C, YER144C
550	OG0000550	XP_011127459.1	YJR054W, YML047C
551	OG0000551	XP_011127515.1	YBL027W, YBR084C-A
552	OG0000552	XP_011127699.1	YBR021W, YIR028W
553	OG0000553	XP_011127726.1	YJR061W, YKL201C
554	OG0000554	XP_011127788.1	YGL082W, YPL191C
555	OG0000555	XP_011127843.1	YDR098C, YER174C
556	OG0000556	XP_011127945.1, XP_011128226.1	YDR421W
557	OG0000557	XP_011127976.1	YNL106C, YOR109W
558	OG0000558	XP_011128062.1	YBR161W, YPL057C
559	OG0000559	XP_011128072.1	YDR409W, YOR156C
560	OG0000560	XP_011128082.1	YKL081W, YPL048W
561	OG0000561	XP_011128118.1	YER027C, YGL208W
562	OG0000562	XP_011128183.1	YFR031C-A, YIL018W
563	OG0000563	XP_011128304.1	YGR034W, YLR344W
564	OG0000564	XP_011128333.1	YAL060W, YAL061W
565	OG0000565	XP_011128394.1	YBR172C, YPL105C
566	OG0000566	XP_011116989.1	YLL063C
567	OG0000567	XP_011116993.1	YPL172C
568	OG0000568	XP_011116994.1	YPL247C
569	OG0000569	XP_011116999.1	YIL075C
570	OG0000570	XP_011117010.1	YBR041W
571	OG0000571	XP_011117027.1	YMR149W
572	OG0000572	XP_011117033.1	YJR013W
573	OG0000573	XP_011117034.1	YIL156W-B
574	OG0000574	XP_011117035.1	YMR158W
575	OG0000575	XP_011117039.1	YAL038W
576	OG0000576	XP_011117050.1	YHR190W
577	OG0000577	XP_011117056.1	YIR004W
578	OG0000578	XP_011117059.1	YFR018C
579	OG0000579	XP_011117075.1	YGR277C
580	OG0000580	XP_011117076.1	YDR434W
581	OG0000581	XP_011117079.1	YML010W
582	OG0000582	XP_011117083.1	YDR097C
583	OG0000583	XP_011117088.1	YML102W
584	OG0000584	XP_011117111.1	YBR261C
585	OG0000585	XP_011117122.1	YPL104W
586	OG0000586	XP_011117138.1	YOR241W
587	OG0000587	XP_011117139.1	YDR460W
588	OG0000588	XP_011117146.1	YNR053C
589	OG0000589	XP_011117147.1	YGR258C
590	OG0000590	XP_011117148.1	YPL183C
591	OG0000591	XP_011117153.1	YIL094C
592	OG0000592	XP_011117156.1	YDR324C
593	OG0000593	XP_011117157.1	YDR364C
594	OG0000594	XP_011117167.1	YGR086C
595	OG0000595	XP_011117170.1	YPL096W
596	OG0000596	XP_011117171.1	YJR008W
597	OG0000597	XP_011117178.1	YKL209C
598	OG0000598	XP_011117180.1	YPL225W
599	OG0000599	XP_011117187.1	YFR019W
600	OG0000600	XP_011117198.1	YJL092W
601	OG0000601	XP_011117199.1	YPL183W-A
602	OG0000602	XP_011117200.1	YKL212W
603	OG0000603	XP_011117201.1	YLR459W
604	OG0000604	XP_011117207.1	YBR006W
605	OG0000605	XP_011117210.1	YPL040C
606	OG0000606	XP_011117212.1	YFR029W
607	OG0000607	XP_011117213.1	YGR103W
608	OG0000608	XP_011117217.1	YLR244C
609	OG0000609	XP_011117221.1	YPR183W
610	OG0000610	XP_011117226.1	YLR262C-A
611	OG0000611	XP_011117233.1	YPR086W
612	OG0000612	XP_011117234.1	YLR295C
613	OG0000613	XP_011117237.1	YDR432W
614	OG0000614	XP_011117238.1	YJL154C
615	OG0000615	XP_011117239.1	YDR462W
616	OG0000616	XP_011117244.1	YGL153W
617	OG0000617	XP_011117253.1	YPR049C
618	OG0000618	XP_011117254.1	YMR105C
619	OG0000619	XP_011117256.1	YPL072W
620	OG0000620	XP_011117257.1	YKL054C
621	OG0000621	XP_011117260.1	YBR094W
622	OG0000622	XP_011117265.1	YNR017W
623	OG0000623	XP_011117266.1	YMR259C
624	OG0000624	XP_011117267.1	YBR254C
625	OG0000625	XP_011117273.1	YDR341C
626	OG0000626	XP_011117274.1	YBL001C
627	OG0000627	XP_011117280.1	YIL150C
628	OG0000628	XP_011117282.1	YLR059C
629	OG0000629	XP_011117284.1	YKL060C
630	OG0000630	XP_011117287.1	YML004C
631	OG0000631	XP_011117291.1	YKR043C
632	OG0000632	XP_011117303.1	YLR262C
633	OG0000633	XP_011117304.1	YOR021C
634	OG0000634	XP_011117309.1	YDL183C
635	OG0000635	XP_011117311.1	YFR030W
636	OG0000636	XP_011117312.1	YOL135C
637	OG0000637	XP_011117313.1	YDR284C
638	OG0000638	XP_011117314.1	YKR097W
639	OG0000639	XP_011117318.1	YEL012W
640	OG0000640	XP_011117323.1	YBR286W
641	OG0000641	XP_011117325.1	YHL002W
642	OG0000642	XP_011117326.1	YDR105C
643	OG0000643	XP_011117330.1	YIR026C
644	OG0000644	XP_011117336.1	YDR479C
645	OG0000645	XP_011117337.1	YPL162C
646	OG0000646	XP_011117338.1	YER002W
647	OG0000647	XP_011117339.1	YGR002C
648	OG0000648	XP_011117342.1	YBL013W
649	OG0000649	XP_011117344.1	YER078C
650	OG0000650	XP_011117345.1	YDR299W
651	OG0000651	XP_011117349.1	YJR064W
652	OG0000652	XP_011117362.1	YKL007W
653	OG0000653	XP_011117364.1	YDR481C
654	OG0000654	XP_011117368.1	YKL010C
655	OG0000655	XP_011117376.1	YMR297W
656	OG0000656	XP_011117378.1	YMR028W
657	OG0000657	XP_011117380.1	YLR032W
658	OG0000658	XP_011117381.1	YLR326W
659	OG0000659	XP_011117383.1	YNL118C
660	OG0000660	XP_011117384.1	YPR100W
661	OG0000661	XP_011117385.1	YIL061C
662	OG0000662	XP_011117389.1	YOR212W
663	OG0000663	XP_011117391.1	YAL010C
664	OG0000664	XP_011117392.1	YKL009W
665	OG0000665	XP_011117393.1	YDR050C
666	OG0000666	XP_011117395.1	YMR289W
667	OG0000667	XP_011117400.1	YMR281W
668	OG0000668	XP_011117408.1	YKR063C
669	OG0000669	XP_011117410.1	YEL042W
670	OG0000670	XP_011117414.1	YDL112W
671	OG0000671	XP_011117417.1	YPL045W
672	OG0000672	XP_011117421.1	YMR315W
673	OG0000673	XP_011117422.1	YML020W
674	OG0000674	XP_011117424.1	YKL172W
675	OG0000675	XP_011117427.1	YNL131W
676	OG0000676	XP_011117433.1	YJR122W
677	OG0000677	XP_011117435.1	YNL284C
678	OG0000678	XP_011117436.1	YLR438C-A
679	OG0000679	XP_011117443.1	YDL205C
680	OG0000680	XP_011117444.1	YGL115W
681	OG0000681	XP_011117446.1	YEL013W
682	OG0000682	XP_011117447.1	YNL011C
683	OG0000683	XP_011117450.1	YHR142W
684	OG0000684	XP_011117452.1	YDR472W
685	OG0000685	XP_011117460.1	YKL003C
686	OG0000686	XP_011117461.1	YAL044C
687	OG0000687	XP_011117466.1	YNL016W
688	OG0000688	XP_011117468.1	YHR031C
689	OG0000689	XP_011117469.1	YEL015W
690	OG0000690	XP_011117473.1	YMR004W
691	OG0000691	XP_011117475.1	YGR083C
692	OG0000692	XP_011117481.1	YCL032W
693	OG0000693	XP_011117482.1	YOR144C
694	OG0000694	XP_011117485.1	YJR138W
695	OG0000695	XP_011117486.1	YFL036W
696	OG0000696	XP_011117487.1	YDR365C
697	OG0000697	XP_011117488.1	YPL146C
698	OG0000698	XP_011117489.1	YHR170W
699	OG0000699	XP_011117490.1	YNR054C
700	OG0000700	XP_011117495.1	YDR377W
701	OG0000701	XP_011117497.1	YJL130C
702	OG0000702	XP_011117498.1	YMR026C
703	OG0000703	XP_011117502.1	YHR032W
704	OG0000704	XP_011117503.1	YHR027C
705	OG0000705	XP_011117504.1	YDL063C
706	OG0000706	XP_011117506.1	YDR367W
707	OG0000707	XP_011117508.1	YMR213W
708	OG0000708	XP_011117509.1	YGL091C
709	OG0000709	XP_011117516.1	YDR416W
710	OG0000710	XP_011117517.1	YEL051W
711	OG0000711	XP_011117520.1	YLR401C
712	OG0000712	XP_011117526.1	YGR157W
713	OG0000713	XP_011117530.1	YMR266W
714	OG0000714	XP_011117531.1	YLR403W
715	OG0000715	XP_011117558.1	YPR020W
716	OG0000716	XP_011117559.1	YGL171W
717	OG0000717	XP_011117569.1	YKL210W
718	OG0000718	XP_011117576.1	YDL072C
719	OG0000719	XP_011117581.1	YOR370C
720	OG0000720	XP_011117585.1	YKL013C
721	OG0000721	XP_011117586.1	YFR010W
722	OG0000722	XP_011117587.1	YOL034W
723	OG0000723	XP_011117589.1	YFL017C
724	OG0000724	XP_011117590.1	YNL221C
725	OG0000725	XP_011117594.1	YDR092W
726	OG0000726	XP_011117595.1	YDR128W
727	OG0000727	XP_011117596.1	YGL050W
728	OG0000728	XP_011117605.1	YPL262W
729	OG0000729	XP_011117608.1	YPL030W
730	OG0000730	XP_011117613.1	YBL023C
731	OG0000731	XP_011117616.1	YJR078W
732	OG0000732	XP_011117619.1	YBR251W
733	OG0000733	XP_011117620.1	YMR231W
734	OG0000734	XP_011117621.1	YCR091W
735	OG0000735	XP_011117622.1	YHR040W
736	OG0000736	XP_011117626.1	YER003C
737	OG0000737	XP_011117627.1	YGR262C
738	OG0000738	XP_011117632.1	YKR056W
739	OG0000739	XP_011117633.1	YKL058W
740	OG0000740	XP_011117634.1	YFR021W
741	OG0000741	XP_011117636.1	YHR020W
742	OG0000742	XP_011117637.1	YDR212W
743	OG0000743	XP_011117638.1	YHR026W
744	OG0000744	XP_011117640.1	YDR390C
745	OG0000745	XP_011117642.1	YJL019W
746	OG0000746	XP_011117645.1	YER005W
747	OG0000747	XP_011117646.1	YOL032W
748	OG0000748	XP_011117649.1	YDR063W
749	OG0000749	XP_011117650.1	YMR178W
750	OG0000750	XP_011117652.1	YDL135C
751	OG0000751	XP_011117654.1	YAR008W
752	OG0000752	XP_011117659.1	YKR024C
753	OG0000753	XP_011117662.1	YBR046C
754	OG0000754	XP_011117666.1	YDR173C
755	OG0000755	XP_011117669.1	YKR026C
756	OG0000756	XP_011117671.1	YNL263C
757	OG0000757	XP_011117674.1	YGR091W
758	OG0000758	XP_011117676.1	YNL240C
759	OG0000759	XP_011117702.1	YOR007C
760	OG0000760	XP_011117703.1	YIL022W
761	OG0000761	XP_011117704.1	YDR354W
762	OG0000762	XP_011117707.1	YDR043C
763	OG0000763	XP_011117708.1	YER007W
764	OG0000764	XP_011117709.1	YDL202W
765	OG0000765	XP_011117710.1	YHR143W-A
766	OG0000766	XP_011117711.1	YER007C-A
767	OG0000767	XP_011117715.1	YNL306W
768	OG0000768	XP_011117716.1	YNL161W
769	OG0000769	XP_011117718.1	YMR226C
770	OG0000770	XP_011117723.1	YJL054W
771	OG0000771	XP_011117726.1	YLR117C
772	OG0000772	XP_011117727.1	YJR072C
773	OG0000773	XP_011117731.1	YML002W
774	OG0000774	XP_011117734.1	YBR025C
775	OG0000775	XP_011117735.1	YMR300C
776	OG0000776	XP_011117737.1	YNL274C
777	OG0000777	XP_011117740.1	YKL196C
778	OG0000778	XP_011117743.1	YDR152W
779	OG0000779	XP_011117744.1	YDR161W
780	OG0000780	XP_011117747.1	YDR016C
781	OG0000781	XP_011117748.1	YER043C
782	OG0000782	XP_011117751.1	YDL040C
783	OG0000783	XP_011117759.1	YDR428C
784	OG0000784	XP_011117761.1	YDL043C
785	OG0000785	XP_011117762.1	YHL023C
786	OG0000786	XP_011117767.1	YJL087C
787	OG0000787	XP_011117769.1	YBL102W
788	OG0000788	XP_011117773.1	YDL231C
789	OG0000789	XP_011117777.1	YEL050C
790	OG0000790	XP_011117778.1	YOL124C
791	OG0000791	XP_011117779.1	YNL297C
792	OG0000792	XP_011117780.1	YGL087C
793	OG0000793	XP_011117783.1	YOR222W
794	OG0000794	XP_011117784.1	YHR164C
795	OG0000795	XP_011117787.1	YER095W
796	OG0000796	XP_011117788.1	YDR496C
797	OG0000797	XP_011117790.1	YKL057C
798	OG0000798	XP_011117792.1	YDR502C
799	OG0000799	XP_011117795.1	YKL012W
800	OG0000800	XP_011117798.1	YDR091C
801	OG0000801	XP_011117803.1	YDR191W
802	OG0000802	XP_011117804.1	YLR243W
803	OG0000803	XP_011117806.1	YER164W
804	OG0000804	XP_011117807.1	YCR014C
805	OG0000805	XP_011117809.1	YCR012W
806	OG0000806	XP_011117810.1	YDR363W-A
807	OG0000807	XP_011117817.1	YHL031C
808	OG0000808	XP_011117826.1	YNL286W
809	OG0000809	XP_011117827.1	YLR393W
810	OG0000810	XP_011117829.1	YJR102C
811	OG0000811	XP_011117859.1	YIL062C
812	OG0000812	XP_011117860.1	YBR085W
813	OG0000813	XP_011117864.1	YJR110W
814	OG0000814	XP_011117869.1	YNL308C
815	OG0000815	XP_011117870.1	YNL178W
816	OG0000816	XP_011117879.1	YDL237W
817	OG0000817	XP_011117893.1	YIL067C
818	OG0000818	XP_011117898.1	YLR138W
819	OG0000819	XP_011117899.1	YML064C
820	OG0000820	XP_011117901.1	YMR131C
821	OG0000821	XP_011117902.1	YNL294C
822	OG0000822	XP_011117912.1	YGL201C
823	OG0000823	XP_011117914.1	YBR167C
824	OG0000824	XP_011117915.1	YCR066W
825	OG0000825	XP_011117916.1	YJL049W
826	OG0000826	XP_011117917.1	YDR108W
827	OG0000827	XP_011117922.1	YMR220W
828	OG0000828	XP_011117924.1	YER168C
829	OG0000829	XP_011117930.1	YOL080C
830	OG0000830	XP_011117933.1	YPL117C
831	OG0000831	XP_011117934.1	YNL207W
832	OG0000832	XP_011117936.1	YHR042W
833	OG0000833	XP_011117937.1	YIL129C
834	OG0000834	XP_011117938.1	YNL325C
835	OG0000835	XP_011117939.1	YMR167W
836	OG0000836	XP_011117940.1	YJR063W
837	OG0000837	XP_011117941.1	YJR070C
838	OG0000838	XP_011117942.1	YDR164C
839	OG0000839	XP_011117945.1	YPL029W
840	OG0000840	XP_011117946.1	YDL045C
841	OG0000841	XP_011117949.1	YPR082C
842	OG0000842	XP_011117951.1	YDL031W
843	OG0000843	XP_011117956.1	YNL312W
844	OG0000844	XP_011117957.1	YNL099C
845	OG0000845	XP_011117958.1	YDR405W
846	OG0000846	XP_011117960.1	YBR035C
847	OG0000847	XP_011117966.1	YOR244W
848	OG0000848	XP_011117975.1	YJL033W
849	OG0000849	XP_011117979.1	YEL036C
850	OG0000850	XP_011117981.1	YKR054C
851	OG0000851	XP_011117982.1	YGL105W
852	OG0000852	XP_011117983.1	YGR111W
853	OG0000853	XP_011117984.1	YOL069W
854	OG0000854	XP_011117993.1	YHR002W
855	OG0000855	XP_011117999.1	YJR137C
856	OG0000856	XP_011118001.1	YDR346C
857	OG0000857	XP_011118002.1	YBR173C
858	OG0000858	XP_011118003.1	YKL014C
859	OG0000859	XP_011118024.1	YNL003C
860	OG0000860	XP_011118029.1	YGR094W
861	OG0000861	XP_011118031.1	YDL035C
862	OG0000862	XP_011118032.1	YNL181W
863	OG0000863	XP_011118034.1	YJR099W
864	OG0000864	XP_011118037.1	YJR113C
865	OG0000865	XP_011118039.1	YDR180W
866	OG0000866	XP_011118042.1	YBR257W
