	OrthologID	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
190	OG0000190	snap_masked-scaffold_4-processed-gene-15.41-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.41&CDS=1-990	YLL062C, YMR321C, YPL273W
191	OG0000191	genemark-scaffold_6-processed-gene-7.143-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.143&CDS=1-849, snap_masked-scaffold_5-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.120&CDS=1-903	YLR307W, YLR308W
192	OG0000192	augustus_masked-scaffold_5-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-10.22&CDS=1-3405, snap_masked-scaffold_5-processed-gene-3.8-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.8&CDS=1-2001	YNL095C, YOR092W
193	OG0000193	snap_masked-scaffold_5-processed-gene-5.37-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-5.37&CDS=1-894, snap_masked-scaffold_6-processed-gene-6.140-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.140&CDS=1-2406	YKL139W, YPL031C
194	OG0000194	maker-scaffold_8-snap-gene-4.11-mRNA-1_1&gene=maker-scaffold_8-snap-gene-4.11&CDS=1-15102, snap_masked-scaffold_5-processed-gene-7.30-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.30&CDS=1-2421	YDR457W, YER125W
195	OG0000195	snap_masked-scaffold_5-processed-gene-10.165-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-10.165&CDS=1-1035, snap_masked-scaffold_8-processed-gene-2.21-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.21&CDS=1-999	YDL078C, YKL085W
196	OG0000196	snap_masked-scaffold_5-processed-gene-11.161-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.161&CDS=1-2490, snap_masked-scaffold_5-processed-gene-13.9-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.9&CDS=1-1959	YDR146C, YLR131C
197	OG0000197	snap_masked-scaffold_5-processed-gene-14.197-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.197&CDS=1-1566	YOL055C, YPL258C, YPR121W
198	OG0000198	maker-scaffold_6-augustus-gene-4.107-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.107&CDS=1-1356, snap_masked-scaffold_6-processed-gene-0.26-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.26&CDS=1-1236	YLR090W, YNL064C
199	OG0000199	maker-scaffold_6-snap-gene-1.49-mRNA-1_1&gene=maker-scaffold_6-snap-gene-1.49&CDS=1-417, maker-scaffold_7-snap-gene-1.32-mRNA-1_1&gene=maker-scaffold_7-snap-gene-1.32&CDS=1-414	YHL001W, YKL006W
200	OG0000200	snap_masked-scaffold_6-processed-gene-1.135-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.135&CDS=1-1617, snap_masked-scaffold_7-processed-gene-1.96-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.96&CDS=1-1512	YLL012W, YLR020C
201	OG0000201	snap_masked-scaffold_6-processed-gene-2.101-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.101&CDS=1-321, snap_masked-scaffold_6-processed-gene-6.139-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.139&CDS=1-321	YOR234C, YPL143W
202	OG0000202	maker-scaffold_6-augustus-gene-6.3-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.3&CDS=1-1329, snap_masked-scaffold_8-processed-gene-1.23-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.23&CDS=1-1416	YFL048C, YLR080W
203	OG0000203	maker-scaffold_6-augustus-gene-6.8-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-6.8&CDS=1-2037, snap_masked-scaffold_9-processed-gene-3.153-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-3.153&CDS=1-909	YDR071C, YHR005C
204	OG0000204	maker-scaffold_6-snap-gene-7.46-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.46&CDS=1-369, maker-scaffold_9-snap-gene-2.140-mRNA-1_1&gene=maker-scaffold_9-snap-gene-2.140&CDS=1-375	YFL034C-A, YLR061W
205	OG0000205	snap_masked-scaffold_6-processed-gene-7.23-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.23&CDS=1-1707, snap_masked-scaffold_9-processed-gene-2.15-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-2.15&CDS=1-2445	YDR463W, YHR006W
206	OG0000206	genemark-scaffold_7-processed-gene-7.68-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.68&CDS=1-1881, snap_masked-scaffold_7-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.24&CDS=1-1944	YGL257C, YNR059W
207	OG0000207	snap_masked-scaffold_7-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.94&CDS=1-2094, snap_masked-scaffold_8-processed-gene-6.108-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.108&CDS=1-1953	YDL003W, YPR007C
208	OG0000208	snap_masked-scaffold_7-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.93&CDS=1-315, snap_masked-scaffold_9-processed-gene-7.113-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-7.113&CDS=1-315	YGR027C, YLR333C
209	OG0000209	augustus_masked-scaffold_8-processed-gene-7.24-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.24&CDS=1-1332	YCR096C, YGL096W, YPL177C
210	OG0000210	snap_masked-scaffold_9-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.116&CDS=1-3327	YDR038C, YDR039C, YDR040C
211	OG0000211	snap_masked-scaffold_9-processed-gene-5.114-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.114&CDS=1-1143	YCR102C, YLR460C, YNL134C
212	OG0000212	snap_masked-scaffold_9-processed-gene-7.132-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-7.132&CDS=1-186	YML116W, YMR279C, YOR378W
213	OG0000213	snap_masked-scaffold_1-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.92&CDS=1-876	YER185W, YGR213C
214	OG0000214	augustus_masked-scaffold_1-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.66&CDS=1-1638, maker-scaffold_3-snap-gene-13.152-mRNA-1_1&gene=maker-scaffold_3-snap-gene-13.152&CDS=1-2157	YNR055C
215	OG0000215	augustus_masked-scaffold_1-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.72&CDS=1-1872	YLR260W, YOR171C
216	OG0000216	snap_masked-scaffold_1-processed-gene-0.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.100&CDS=1-1671	YGR108W, YPR119W
217	OG0000217	snap_masked-scaffold_1-processed-gene-1.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.34&CDS=1-1392	YKL132C, YMR113W
218	OG0000218	maker-scaffold_2-snap-gene-18.203-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.203&CDS=1-1032, snap_masked-scaffold_1-processed-gene-1.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.38&CDS=1-1050	YMR315W
219	OG0000219	maker-scaffold_1-snap-gene-1.99-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.99&CDS=1-3222	YDR069C, YER144C
220	OG0000220	augustus_masked-scaffold_1-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.65&CDS=1-1902, snap_masked-scaffold_8-processed-gene-2.23-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.23&CDS=1-1920	YKL025C
221	OG0000221	snap_masked-scaffold_1-processed-gene-2.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.119&CDS=1-1086	YBR054W, YDR033W
222	OG0000222	snap_masked-scaffold_1-processed-gene-2.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.120&CDS=1-2061, snap_masked-scaffold_4-processed-gene-11.133-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.133&CDS=1-2031	YKR001C
223	OG0000223	snap_masked-scaffold_1-processed-gene-2.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.126&CDS=1-1035	YCL050C, YDR530C
224	OG0000224	augustus_masked-scaffold_5-processed-gene-7.75-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.75&CDS=1-1755, snap_masked-scaffold_1-processed-gene-2.137-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.137&CDS=1-1608	YMR088C
225	OG0000225	snap_masked-scaffold_1-processed-gene-3.7-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.7&CDS=1-912, snap_masked-scaffold_8-processed-gene-3.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.14&CDS=1-885	YGR267C
226	OG0000226	snap_masked-scaffold_1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.16&CDS=1-435, snap_masked-scaffold_8-processed-gene-4.107-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.107&CDS=1-426	YML030W
227	OG0000227	genemark-scaffold_1-processed-gene-4.133-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.133&CDS=1-651, snap_masked-scaffold_8-processed-gene-4.137-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.137&CDS=1-576	YHR013C
228	OG0000228	snap_masked-scaffold_1-processed-gene-4.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.9&CDS=1-1632, snap_masked-scaffold_5-processed-gene-1.108-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.108&CDS=1-1599	YGL186C
229	OG0000229	snap_masked-scaffold_1-processed-gene-4.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.33&CDS=1-2268, snap_masked-scaffold_8-processed-gene-5.103-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.103&CDS=1-2709	YOR022C
230	OG0000230	snap_masked-scaffold_1-processed-gene-4.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.19&CDS=1-1281, snap_masked-scaffold_8-processed-gene-5.106-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.106&CDS=1-1233	YDL066W
231	OG0000231	snap_masked-scaffold_1-processed-gene-4.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.20&CDS=1-1365	YMR253C, YPL264C
232	OG0000232	augustus_masked-scaffold_1-processed-gene-4.85-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.85&CDS=1-528	YKL141W, YMR118C
233	OG0000233	snap_masked-scaffold_1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.16&CDS=1-681, snap_masked-scaffold_8-processed-gene-5.132-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.132&CDS=1-714	YLR118C
234	OG0000234	snap_masked-scaffold_1-processed-gene-5.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.9&CDS=1-1299	YBR078W, YDR055W
235	OG0000235	snap_masked-scaffold_1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.25&CDS=1-321	YEL039C, YJR048W
236	OG0000236	snap_masked-scaffold_1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.38&CDS=1-1263, snap_masked-scaffold_8-processed-gene-6.134-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.134&CDS=1-1197	YOR197W
237	OG0000237	snap_masked-scaffold_1-processed-gene-6.24-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.24&CDS=1-780, snap_masked-scaffold_8-processed-gene-7.146-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.146&CDS=1-663	YOL139C
238	OG0000238	augustus_masked-scaffold_1-processed-gene-6.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.125&CDS=1-1764	YJL172W, YOL153C
239	OG0000239	snap_masked-scaffold_1-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.28&CDS=1-849	YDL049C, YJL174W
240	OG0000240	maker-scaffold_1-snap-gene-6.72-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.72&CDS=1-1563, snap_masked-scaffold_8-processed-gene-7.123-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.123&CDS=1-1617	YKR016W
241	OG0000241	snap_masked-scaffold_1-processed-gene-7.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.98&CDS=1-1875, snap_masked-scaffold_8-processed-gene-6.142-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.142&CDS=1-2064	YNL045W
242	OG0000242	snap_masked-scaffold_1-processed-gene-7.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.109&CDS=1-1179	YHR208W, YJR148W
243	OG0000243	maker-scaffold_1-augustus-gene-7.82-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-7.82&CDS=1-4713, snap_masked-scaffold_2-processed-gene-3.111-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.111&CDS=1-2883	YBL060W
244	OG0000244	snap_masked-scaffold_1-processed-gene-7.126-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.126&CDS=1-1557, snap_masked-scaffold_11-processed-gene-0.115-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.115&CDS=1-1563	YMR004W
245	OG0000245	snap_masked-scaffold_1-processed-gene-8.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.113&CDS=1-1959	YDR501W, YLR183C
246	OG0000246	snap_masked-scaffold_1-processed-gene-8.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.116&CDS=1-2706, snap_masked-scaffold_11-processed-gene-0.111-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.111&CDS=1-2712	YGL008C
247	OG0000247	augustus_masked-scaffold_8-processed-gene-7.49-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.49&CDS=1-2220, snap_masked-scaffold_1-processed-gene-8.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.106&CDS=1-2295	YKL146W
248	OG0000248	snap_masked-scaffold_1-processed-gene-8.124-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.124&CDS=1-5016, snap_masked-scaffold_8-processed-gene-7.134-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.134&CDS=1-4983	YLL048C
249	OG0000249	augustus_masked-scaffold_8-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.83&CDS=1-3342, maker-scaffold_1-snap-gene-10.49-mRNA-1_1&gene=maker-scaffold_1-snap-gene-10.49&CDS=1-4281	YDR333C
250	OG0000250	snap_masked-scaffold_1-processed-gene-10.14-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.14&CDS=1-3717, snap_masked-scaffold_9-processed-gene-1.16-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.16&CDS=1-4236	YDR293C
251	OG0000251	augustus_masked-scaffold_1-processed-gene-10.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.69&CDS=1-1779, snap_masked-scaffold_5-processed-gene-7.22-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.22&CDS=1-1863	YNL294C
252	OG0000252	snap_masked-scaffold_1-processed-gene-11.6-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.6&CDS=1-2883	YGR056W, YLR357W
253	OG0000253	snap_masked-scaffold_1-processed-gene-11.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.17&CDS=1-1173, snap_masked-scaffold_5-processed-gene-7.26-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.26&CDS=1-1203	YOR242C
254	OG0000254	augustus_masked-scaffold_1-processed-gene-11.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.65&CDS=1-1965	YPR013C, YPR015C
255	OG0000255	maker-scaffold_9-snap-gene-0.44-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.44&CDS=1-1380, snap_masked-scaffold_1-processed-gene-12.82-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.82&CDS=1-1119	YDR329C
256	OG0000256	genemark-scaffold_1-processed-gene-12.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-12.11&CDS=1-3441, genemark-scaffold_3-processed-gene-7.57-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.57&CDS=1-2751	YJL141C
257	OG0000257	snap_masked-scaffold_1-processed-gene-12.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.92&CDS=1-2166, snap_masked-scaffold_3-processed-gene-7.19-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.19&CDS=1-2061	YPR024W
258	OG0000258	snap_masked-scaffold_1-processed-gene-12.95-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.95&CDS=1-843, snap_masked-scaffold_3-processed-gene-7.31-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.31&CDS=1-843	YOR065W
259	OG0000259	snap_masked-scaffold_1-processed-gene-13.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.84&CDS=1-777	YHR203C, YJR145C
260	OG0000260	genemark-scaffold_1-processed-gene-13.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-13.1&CDS=1-2496, genemark-scaffold_3-processed-gene-7.50-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.50&CDS=1-2193	YHR205W
261	OG0000261	snap_masked-scaffold_1-processed-gene-13.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.99&CDS=1-2253, snap_masked-scaffold_3-processed-gene-7.5-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.5&CDS=1-1953	YOR069W
262	OG0000262	augustus_masked-scaffold_3-processed-gene-6.72-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.72&CDS=1-1437, snap_masked-scaffold_1-processed-gene-13.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.106&CDS=1-1383	YNL062C
263	OG0000263	snap_masked-scaffold_1-processed-gene-13.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.113&CDS=1-1221, snap_masked-scaffold_4-processed-gene-9.129-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.129&CDS=1-903	YHR071W
264	OG0000264	snap_masked-scaffold_1-processed-gene-13.117-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.117&CDS=1-1098	YDL204W, YDR233C
265	OG0000265	snap_masked-scaffold_1-processed-gene-14.113-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.113&CDS=1-468	YDR252W, YPL037C
266	OG0000266	snap_masked-scaffold_1-processed-gene-14.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.120&CDS=1-327, snap_masked-scaffold_4-processed-gene-10.3-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.3&CDS=1-324	YLR295C
267	OG0000267	snap_masked-scaffold_1-processed-gene-14.142-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.142&CDS=1-825	YDR099W, YER177W
268	OG0000268	maker-scaffold_1-snap-gene-20.66-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.66&CDS=1-1458, snap_masked-scaffold_1-processed-gene-14.143-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.143&CDS=1-1197	YGL066W
269	OG0000269	maker-scaffold_1-snap-gene-14.16-mRNA-1_1&gene=maker-scaffold_1-snap-gene-14.16&CDS=1-264	YDL130W-A, YDL181W
270	OG0000270	snap_masked-scaffold_1-processed-gene-14.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-14.125&CDS=1-957, snap_masked-scaffold_4-processed-gene-15.37-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.37&CDS=1-1962	YIL154C
271	OG0000271	maker-scaffold_1-snap-gene-15.4-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.4&CDS=1-1629, maker-scaffold_5-snap-gene-14.18-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.18&CDS=1-1614	YNL189W
272	OG0000272	maker-scaffold_1-snap-gene-15.5-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.5&CDS=1-4338, maker-scaffold_5-snap-gene-14.19-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.19&CDS=1-4419	YOL004W
273	OG0000273	snap_masked-scaffold_1-processed-gene-15.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.123&CDS=1-975	YIL114C, YNL055C
274	OG0000274	snap_masked-scaffold_1-processed-gene-15.112-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.112&CDS=1-3540	YAR042W, YDL019C
275	OG0000275	snap_masked-scaffold_1-processed-gene-16.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.2&CDS=1-1494	YGR121C, YPR138C
276	OG0000276	augustus_masked-scaffold_5-processed-gene-14.46-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.46&CDS=1-1626, snap_masked-scaffold_1-processed-gene-16.3-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.3&CDS=1-3117	YNL272C
277	OG0000277	snap_masked-scaffold_1-processed-gene-16.35-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.35&CDS=1-1512	YKL133C, YMR115W
278	OG0000278	maker-scaffold_3-snap-gene-6.99-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.99&CDS=1-2820, snap_masked-scaffold_1-processed-gene-16.20-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.20&CDS=1-2916	YBR084W
279	OG0000279	snap_masked-scaffold_1-processed-gene-16.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.38&CDS=1-819, snap_masked-scaffold_5-processed-gene-14.209-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.209&CDS=1-801	YLL041C
280	OG0000280	snap_masked-scaffold_1-processed-gene-17.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.111&CDS=1-3453, snap_masked-scaffold_5-processed-gene-14.204-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.204&CDS=1-3555	YGL006W
281	OG0000281	maker-scaffold_1-snap-gene-17.54-mRNA-1_1&gene=maker-scaffold_1-snap-gene-17.54&CDS=1-492	YLR456W, YPR172W
282	OG0000282	snap_masked-scaffold_1-processed-gene-17.149-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.149&CDS=1-1440, snap_masked-scaffold_10-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.93&CDS=1-1416	YJR124C
283	OG0000283	snap_masked-scaffold_1-processed-gene-17.130-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.130&CDS=1-630, snap_masked-scaffold_5-processed-gene-13.45-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-13.45&CDS=1-630	YJR123W
284	OG0000284	augustus_masked-scaffold_1-processed-gene-21.9-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-21.9&CDS=1-1962, snap_masked-scaffold_1-processed-gene-18.23-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.23&CDS=1-2187	YCR008W
285	OG0000285	maker-scaffold_1-snap-gene-18.35-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.35&CDS=1-555	YJL177W, YKL180W
286	OG0000286	augustus_masked-scaffold_1-processed-gene-18.56-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.56&CDS=1-1392, snap_masked-scaffold_3-processed-gene-13.30-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.30&CDS=1-1293	YGR110W
287	OG0000287	snap_masked-scaffold_1-processed-gene-19.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.2&CDS=1-1248, snap_masked-scaffold_4-processed-gene-0.112-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.112&CDS=1-1395	YDR388W
288	OG0000288	snap_masked-scaffold_1-processed-gene-19.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.25&CDS=1-2643, snap_masked-scaffold_6-processed-gene-6.110-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.110&CDS=1-2721	YLL026W
289	OG0000289	augustus_masked-scaffold_10-processed-gene-5.57-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-5.57&CDS=1-942, maker-scaffold_1-snap-gene-19.100-mRNA-1_1&gene=maker-scaffold_1-snap-gene-19.100&CDS=1-906	YOR222W
290	OG0000290	augustus_masked-scaffold_1-processed-gene-19.136-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.136&CDS=1-1911, snap_masked-scaffold_10-processed-gene-5.21-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.21&CDS=1-1968	YPL133C
291	OG0000291	snap_masked-scaffold_1-processed-gene-19.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.36&CDS=1-894, snap_masked-scaffold_10-processed-gene-5.19-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.19&CDS=1-888	YPL131W
292	OG0000292	genemark-scaffold_5-processed-gene-3.54-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.54&CDS=1-942, snap_masked-scaffold_1-processed-gene-19.42-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.42&CDS=1-969	YGR031W
293	OG0000293	snap_masked-scaffold_1-processed-gene-20.121-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.121&CDS=1-1446, snap_masked-scaffold_8-processed-gene-1.21-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.21&CDS=1-1416	YLR163C
294	OG0000294	snap_masked-scaffold_1-processed-gene-20.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.127&CDS=1-1215	YOR237W, YPL145C
295	OG0000295	augustus_masked-scaffold_1-processed-gene-20.24-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-20.24&CDS=1-339	YJR094W-A, YPR043W
296	OG0000296	maker-scaffold_3-snap-gene-13.146-mRNA-1_1&gene=maker-scaffold_3-snap-gene-13.146&CDS=1-5322, snap_masked-scaffold_1-processed-gene-20.152-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.152&CDS=1-4737	YIL126W
297	OG0000297	snap_masked-scaffold_1-processed-gene-20.153-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.153&CDS=1-2535, snap_masked-scaffold_5-processed-gene-11.155-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.155&CDS=1-2568	YNR013C
298	OG0000298	maker-scaffold_1-snap-gene-20.68-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.68&CDS=1-1503, snap_masked-scaffold_5-processed-gene-11.158-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-11.158&CDS=1-1524	YNL241C
