	OrthologID	Saccharomyces_cerevisiae	Sclerotinia_sclerotiorum
436	OG0000436	YBL051C	XP_001597861.1
437	OG0000437	YBL055C	XP_001588499.1
438	OG0000438	YBL057C	XP_001593630.1
439	OG0000439	YBL058W	XP_001592206.1
440	OG0000440	YBL059C-A	XP_001594611.1
441	OG0000441	YBL060W	XP_001586936.1
442	OG0000442	YBL061C	XP_001594454.1
443	OG0000443	YBL063W	XP_001585883.1
444	OG0000444	YBL071W-A	XP_001588286.1
445	OG0000445	YBL076C	XP_001585648.1
446	OG0000446	YBL078C	XP_001597408.1
447	OG0000447	YBL080C	XP_001586927.1
448	OG0000448	YBL082C	XP_001584933.1
449	OG0000449	YBL084C	XP_001589064.1
450	OG0000450	YBL086C	XP_001584892.1
451	OG0000451	YBL088C	XP_001595136.1
452	OG0000452	YBL091C	XP_001588206.1
453	OG0000453	YBL092W	XP_001595262.1
454	OG0000454	YBL095W	XP_001584618.1
455	OG0000455	YBL097W	XP_001586167.1
456	OG0000456	YBL098W	XP_001586027.1
457	OG0000457	YBL099W	XP_001591260.1
458	OG0000458	YBL102W	XP_001584675.1
459	OG0000459	YBL104C	XP_001591884.1
460	OG0000460	YBL105C	XP_001584929.1
461	OG0000461	YBR002C	XP_001593180.1
462	OG0000462	YBR003W	XP_001587847.1
463	OG0000463	YBR004C	XP_001598067.1
464	OG0000464	YBR006W	XP_001596391.1
465	OG0000465	YBR007C	XP_001584774.1
466	OG0000466	YBR008C	XP_001596953.1
467	OG0000467	YBR011C	XP_001594975.1
468	OG0000468	YBR017C	XP_001591562.1
469	OG0000469	YBR018C	XP_001585148.1
470	OG0000470	YBR019C	XP_001590586.1
471	OG0000471	YBR023C	XP_001594456.1
472	OG0000472	YBR025C	XP_001592250.1
473	OG0000473	YBR026C	XP_001587344.1
474	OG0000474	YBR029C	XP_001590691.1
475	OG0000475	YBR034C	XP_001597386.1
476	OG0000476	YBR035C	XP_001585171.1
477	OG0000477	YBR037C	XP_001596352.1
478	OG0000478	YBR038W	XP_001590525.1
479	OG0000479	YBR039W	XP_001589381.1
480	OG0000480	YBR041W	XP_001596429.1
481	OG0000481	YBR042C	XP_001586659.1
482	OG0000482	YBR046C	XP_001590587.1
483	OG0000483	YBR053C	XP_001598688.1
484	OG0000484	YBR055C	XP_001593581.1
485	OG0000485	YBR056W	XP_001597364.1
486	OG0000486	YBR058C	XP_001588082.1
487	OG0000487	YBR060C	XP_001598541.1
488	OG0000488	YBR061C	XP_001596247.1
489	OG0000489	YBR062C	XP_001585514.1
490	OG0000490	YBR065C	XP_001595379.1
491	OG0000491	YBR073W	XP_001586563.1
492	OG0000492	YBR074W	XP_001586609.1
493	OG0000493	YBR079C	XP_001586581.1
494	OG0000494	YBR080C	XP_001587195.1
495	OG0000495	YBR081C	XP_001586799.1
496	OG0000496	YBR082C	XP_001587931.1
497	OG0000497	YBR083W	XP_001593270.1
498	OG0000498	YBR084W	XP_001595805.1
499	OG0000499	YBR085W	XP_001598713.1
500	OG0000500	YBR086C	XP_001586006.1
501	OG0000501	YBR087W	XP_001588728.1
502	OG0000502	YBR088C	XP_001586111.1
503	OG0000503	YBR094W	XP_001592419.1
504	OG0000504	YBR097W	XP_001590834.1
505	OG0000505	YBR101C	XP_001589970.1
506	OG0000506	YBR102C	XP_001590748.1
507	OG0000507	YBR105C	XP_001597361.1
508	OG0000508	YBR106W	XP_001597838.1
509	OG0000509	YBR109C	XP_001589037.1
510	OG0000510	YBR110W	XP_001596773.1
511	OG0000511	YBR111C	XP_001595329.1
512	OG0000512	YBR112C	XP_001588757.1
513	OG0000513	YBR114W	XP_001596837.1
514	OG0000514	YBR115C	XP_001590445.1
515	OG0000515	YBR120C	XP_001586806.1
516	OG0000516	YBR121C	XP_001598549.1
517	OG0000517	YBR123C	XP_001591244.1
518	OG0000518	YBR126C	XP_001586818.1
519	OG0000519	YBR127C	XP_001588235.1
520	OG0000520	YBR132C	XP_001584612.1
521	OG0000521	YBR133C	XP_001596156.1
522	OG0000522	YBR135W	XP_001592722.1
523	OG0000523	YBR136W	XP_001587604.1
524	OG0000524	YBR137W	XP_001584907.1
525	OG0000525	YBR141C	XP_001597936.1
526	OG0000526	YBR142W	XP_001596248.1
527	OG0000527	YBR143C	XP_001598524.1
528	OG0000528	YBR146W	XP_001598133.1
529	OG0000529	YBR151W	XP_001598392.1
530	OG0000530	YBR153W	XP_001584851.1
531	OG0000531	YBR154C	XP_001596786.1
532	OG0000532	YBR155W	XP_001597730.1
533	OG0000533	YBR159W	XP_001585152.1
534	OG0000534	YBR160W	XP_001596080.1
535	OG0000535	YBR162C	XP_001587233.1
536	OG0000536	YBR162W-A	XP_001588016.1
537	OG0000537	YBR164C	XP_001598456.1
538	OG0000538	YBR166C	XP_001598003.1
539	OG0000539	YBR167C	XP_001589729.1
540	OG0000540	YBR169C	XP_001597692.1
541	OG0000541	YBR170C	XP_001594639.1
542	OG0000542	YBR171W	XP_001594638.1
543	OG0000543	YBR173C	XP_001595587.1
544	OG0000544	YBR176W	XP_001596062.1
545	OG0000545	YBR179C	XP_001598437.1
546	OG0000546	YBR182C	XP_001593202.1
547	OG0000547	YBR186W	XP_001586235.1
548	OG0000548	YBR187W	XP_001585947.1
549	OG0000549	YBR189W	XP_001594205.1
550	OG0000550	YBR192W	XP_001594212.1
551	OG0000551	YBR193C	XP_001589583.1
552	OG0000552	YBR196C	XP_001584559.1
553	OG0000553	YBR198C	XP_001591943.1
554	OG0000554	YBR200W	XP_001590714.1
555	OG0000555	YBR202W	XP_001586176.1
556	OG0000556	YBR213W	XP_001584979.1
557	OG0000557	YBR215W	XP_001586804.1
558	OG0000558	YBR217W	XP_001596061.1
559	OG0000559	YBR218C	XP_001586261.1
560	OG0000560	YBR220C	XP_001589673.1
561	OG0000561	YBR221C	XP_001587351.1
562	OG0000562	YBR222C	XP_001588125.1
563	OG0000563	YBR223C	XP_001585784.1
564	OG0000564	YBR227C	XP_001591170.1
565	OG0000565	YBR228W	XP_001597281.1
566	OG0000566	YBR229C	XP_001597484.1
567	OG0000567	YBR231C	XP_001586658.1
568	OG0000568	YBR233W	XP_001584778.1
569	OG0000569	YBR234C	XP_001594702.1
570	OG0000570	YBR235W	XP_001593186.1
571	OG0000571	YBR236C	XP_001595985.1
572	OG0000572	YBR239C	XP_001596077.1
573	OG0000573	YBR243C	XP_001591105.1
574	OG0000574	YBR248C	XP_001593688.1
575	OG0000575	YBR249C	XP_001594931.1
576	OG0000576	YBR251W	XP_001585537.1
577	OG0000577	YBR252W	XP_001586109.1
578	OG0000578	YBR254C	XP_001585388.1
579	OG0000579	YBR256C	XP_001597040.1
580	OG0000580	YBR260C	XP_001594183.1
581	OG0000581	YBR261C	XP_001598554.1
582	OG0000582	YBR268W	XP_001585066.1
583	OG0000583	YBR269C	XP_001590375.1
584	OG0000584	YBR271W	XP_001592937.1
585	OG0000585	YBR274W	XP_001587149.1
586	OG0000586	YBR276C	XP_001589877.1
587	OG0000587	YBR279W	XP_001598148.1
588	OG0000588	YBR281C	XP_001595897.1
589	OG0000589	YBR282W	XP_001598230.1
590	OG0000590	YBR286W	XP_001591275.1
591	OG0000591	YBR287W	XP_001584862.1
592	OG0000592	YBR289W	XP_001585438.1
593	OG0000593	YBR290W	XP_001586807.1
594	OG0000594	YBR291C	XP_001598170.1
595	OG0000595	YBR293W	XP_001585513.1
596	OG0000596	YBR296C	XP_001594878.1
597	OG0000597	YCL001W	XP_001598150.1
598	OG0000598	YCL004W	XP_001598530.1
599	OG0000599	YCL005W-A	XP_001585133.1
600	OG0000600	YCL008C	XP_001588761.1
601	OG0000601	YCL009C	XP_001595836.1
602	OG0000602	YCL010C	XP_001598974.1
603	OG0000603	YCL017C	XP_001598849.1
604	OG0000604	YCL018W	XP_001591656.1
605	OG0000605	YCL030C	XP_001587239.1
606	OG0000606	YCL032W	XP_001595106.1
607	OG0000607	YCL033C	XP_001596222.1
608	OG0000608	YCL034W	XP_001585544.1
609	OG0000609	YCL039W	XP_001595699.1
610	OG0000610	YCL043C	XP_001596744.1
611	OG0000611	YCL045C	XP_001595133.1
612	OG0000612	YCL052C	XP_001586631.1
613	OG0000613	YCL054W	XP_001595030.1
614	OG0000614	YCL057C-A	XP_001587311.1
615	OG0000615	YCL057W	XP_001585087.1
616	OG0000616	YCL059C	XP_001589150.1
617	OG0000617	YCR002C	XP_001588383.1
618	OG0000618	YCR003W	XP_001588382.1
619	OG0000619	YCR008W	XP_001598494.1
620	OG0000620	YCR009C	XP_001591595.1
621	OG0000621	YCR011C	XP_001596305.1
622	OG0000622	YCR012W	XP_001596913.1
623	OG0000623	YCR014C	XP_001592371.1
624	OG0000624	YCR016W	XP_001593801.1
625	OG0000625	YCR017C	XP_001586845.1
626	OG0000626	YCR019W	XP_001585811.1
627	OG0000627	YCR023C	XP_001596708.1
628	OG0000628	YCR024C	XP_001587913.1
629	OG0000629	YCR028C	XP_001595958.1
630	OG0000630	YCR028C-A	XP_001591996.1
631	OG0000631	YCR030C	XP_001590946.1
632	OG0000632	YCR032W	XP_001595196.1
633	OG0000633	YCR033W	XP_001597870.1
634	OG0000634	YCR034W	XP_001597203.1
635	OG0000635	YCR036W	XP_001595700.1
636	OG0000636	YCR042C	XP_001592729.1
637	OG0000637	YCR044C	XP_001597372.1
638	OG0000638	YCR047C	XP_001594354.1
639	OG0000639	YCR051W	XP_001592503.1
640	OG0000640	YCR053W	XP_001585599.1
641	OG0000641	YCR054C	XP_001585613.1
642	OG0000642	YCR057C	XP_001591087.1
643	OG0000643	YCR059C	XP_001597816.1
644	OG0000644	YCR061W	XP_001587815.1
645	OG0000645	YCR063W	XP_001598501.1
646	OG0000646	YCR065W	XP_001598491.1
647	OG0000647	YCR066W	XP_001590557.1
648	OG0000648	YCR068W	XP_001595072.1
649	OG0000649	YCR072C	XP_001594573.1
650	OG0000650	YCR075C	XP_001587571.1
651	OG0000651	YCR077C	XP_001595562.1
652	OG0000652	YCR079W	XP_001597439.1
653	OG0000653	YCR081W	XP_001594185.1
654	OG0000654	YCR084C	XP_001590199.1
655	OG0000655	YCR088W	XP_001591018.1
656	OG0000656	YCR090C	XP_001596157.1
657	OG0000657	YCR091W	XP_001589844.1
658	OG0000658	YCR092C	XP_001596685.1
659	OG0000659	YCR093W	XP_001592402.1
660	OG0000660	YCR098C	XP_001589592.1
661	OG0000661	YDL001W	XP_001589937.1
662	OG0000662	YDL003W	XP_001589251.1
663	OG0000663	YDL004W	XP_001591609.1
664	OG0000664	YDL006W	XP_001598439.1
665	OG0000665	YDL007W	XP_001591603.1
666	OG0000666	YDL008W	XP_001585926.1
667	OG0000667	YDL014W	XP_001586496.1
668	OG0000668	YDL015C	XP_001588259.1
669	OG0000669	YDL017W	XP_001587897.1
670	OG0000670	YDL020C	XP_001585665.1
671	OG0000671	YDL028C	XP_001597239.1
672	OG0000672	YDL029W	XP_001598984.1
673	OG0000673	YDL030W	XP_001592195.1
674	OG0000674	YDL031W	XP_001590582.1
675	OG0000675	YDL035C	XP_001590503.1
676	OG0000676	YDL040C	XP_001596993.1
677	OG0000677	YDL043C	XP_001597002.1
678	OG0000678	YDL045C	XP_001590584.1
679	OG0000679	YDL045W-A	XP_001592801.1
680	OG0000680	YDL046W	XP_001590989.1
681	OG0000681	YDL047W	XP_001585590.1
682	OG0000682	YDL051W	XP_001585820.1
683	OG0000683	YDL052C	XP_001590116.1
684	OG0000684	YDL054C	XP_001596178.1
685	OG0000685	YDL055C	XP_001598078.1
686	OG0000686	YDL058W	XP_001585659.1
687	OG0000687	YDL060W	XP_001593672.1
688	OG0000688	YDL063C	XP_001590579.1
689	OG0000689	YDL064W	XP_001588201.1
690	OG0000690	YDL065C	XP_001588200.1
691	OG0000691	YDL066W	XP_001593497.1
692	OG0000692	YDL067C	XP_001598813.1
693	OG0000693	YDL072C	XP_001592944.1
694	OG0000694	YDL074C	XP_001586633.1
695	OG0000695	YDL076C	XP_001588216.1
696	OG0000696	YDL077C	XP_001590449.1
697	OG0000697	YDL081C	XP_001588181.1
698	OG0000698	YDL084W	XP_001593842.1
699	OG0000699	YDL086W	XP_001593040.1
700	OG0000700	YDL087C	XP_001587711.1
701	OG0000701	YDL090C	XP_001598083.1
702	OG0000702	YDL091C	XP_001584871.1
703	OG0000703	YDL095W	XP_001594220.1
704	OG0000704	YDL097C	XP_001592823.1
705	OG0000705	YDL098C	XP_001589196.1
706	OG0000706	YDL100C	XP_001593411.1
707	OG0000707	YDL101C	XP_001594262.1
708	OG0000708	YDL102W	XP_001587512.1
709	OG0000709	YDL103C	XP_001592750.1
710	OG0000710	YDL104C	XP_001585731.1
711	OG0000711	YDL105W	XP_001587333.1
712	OG0000712	YDL108W	XP_001593129.1
713	OG0000713	YDL111C	XP_001598898.1
714	OG0000714	YDL116W	XP_001592610.1
715	OG0000715	YDL117W	XP_001597074.1
716	OG0000716	YDL119C	XP_001584645.1
717	OG0000717	YDL120W	XP_001588285.1
718	OG0000718	YDL122W	XP_001595510.1
719	OG0000719	YDL125C	XP_001587803.1
720	OG0000720	YDL126C	XP_001595101.1
721	OG0000721	YDL128W	XP_001598242.1
722	OG0000722	YDL132W	XP_001590968.1
723	OG0000723	YDL133W	XP_001589160.1
724	OG0000724	YDL135C	XP_001590772.1
725	OG0000725	YDL137W	XP_001592489.1
726	OG0000726	YDL140C	XP_001593006.1
727	OG0000727	YDL141W	XP_001594659.1
728	OG0000728	YDL142C	XP_001597943.1
729	OG0000729	YDL143W	XP_001597630.1
730	OG0000730	YDL144C	XP_001586373.1
731	OG0000731	YDL145C	XP_001587889.1
732	OG0000732	YDL146W	XP_001587740.1
733	OG0000733	YDL147W	XP_001589739.1
734	OG0000734	YDL148C	XP_001594332.1
735	OG0000735	YDL149W	XP_001591329.1
736	OG0000736	YDL150W	XP_001587584.1
737	OG0000737	YDL153C	XP_001598589.1
738	OG0000738	YDL154W	XP_001592471.1
739	OG0000739	YDL155W	XP_001587579.1
740	OG0000740	YDL156W	XP_001591352.1
741	OG0000741	YDL159W	XP_001588345.1
742	OG0000742	YDL160C	XP_001588066.1
743	OG0000743	YDL164C	XP_001585474.1
744	OG0000744	YDL165W	XP_001589115.1
745	OG0000745	YDL166C	XP_001598123.1
746	OG0000746	YDL167C	XP_001597578.1
747	OG0000747	YDL168W	XP_001588588.1
748	OG0000748	YDL171C	XP_001591223.1
749	OG0000749	YDL174C	XP_001586065.1
750	OG0000750	YDL178W	XP_001591077.1
751	OG0000751	YDL182W	XP_001584693.1
752	OG0000752	YDL185W	XP_001595698.1
753	OG0000753	YDL189W	XP_001588370.1
754	OG0000754	YDL190C	XP_001595850.1
755	OG0000755	YDL195W	XP_001588939.1
756	OG0000756	YDL198C	XP_001597405.1
757	OG0000757	YDL200C	XP_001590347.1
758	OG0000758	YDL201W	XP_001584656.1
759	OG0000759	YDL205C	XP_001597961.1
760	OG0000760	YDL206W	XP_001586166.1
761	OG0000761	YDL207W	XP_001590367.1
762	OG0000762	YDL208W	XP_001588971.1
763	OG0000763	YDL209C	XP_001598516.1
764	OG0000764	YDL212W	XP_001594464.1
765	OG0000765	YDL213C	XP_001586089.1
766	OG0000766	YDL215C	XP_001597916.1
767	OG0000767	YDL217C	XP_001589410.1
768	OG0000768	YDL219W	XP_001593560.1
769	OG0000769	YDL226C	XP_001596373.1
770	OG0000770	YDL230W	XP_001591318.1
771	OG0000771	YDL231C	XP_001592425.1
772	OG0000772	YDL234C	XP_001590252.1
773	OG0000773	YDL235C	XP_001588846.1
774	OG0000774	YDL236W	XP_001591743.1
775	OG0000775	YDL237W	XP_001587666.1
776	OG0000776	YDL238C	XP_001585960.1
777	OG0000777	YDL240W	XP_001591111.1
778	OG0000778	YDR001C	XP_001593547.1
779	OG0000779	YDR002W	XP_001587452.1
780	OG0000780	YDR004W	XP_001597069.1
781	OG0000781	YDR005C	XP_001588706.1
782	OG0000782	YDR013W	XP_001596967.1
783	OG0000783	YDR016C	XP_001595968.1
784	OG0000784	YDR017C	XP_001596249.1
785	OG0000785	YDR019C	XP_001592518.1
786	OG0000786	YDR021W	XP_001592196.1
787	OG0000787	YDR023W	XP_001598102.1
788	OG0000788	YDR027C	XP_001591049.1
789	OG0000789	YDR030C	XP_001593949.1
790	OG0000790	YDR032C	XP_001584830.1
791	OG0000791	YDR035W	XP_001586216.1
792	OG0000792	YDR036C	XP_001595164.1
793	OG0000793	YDR037W	XP_001595938.1
794	OG0000794	YDR041W	XP_001598100.1
795	OG0000795	YDR044W	XP_001597409.1
796	OG0000796	YDR045C	XP_001593971.1
797	OG0000797	YDR047W	XP_001584825.1
798	OG0000798	YDR049W	XP_001595365.1
799	OG0000799	YDR050C	XP_001587441.1
800	OG0000800	YDR051C	XP_001592813.1
801	OG0000801	YDR052C	XP_001596059.1
802	OG0000802	YDR054C	XP_001598543.1
803	OG0000803	YDR057W	XP_001587253.1
804	OG0000804	YDR058C	XP_001598799.1
805	OG0000805	YDR060W	XP_001584616.1
806	OG0000806	YDR061W	XP_001595588.1
807	OG0000807	YDR062W	XP_001587396.1
808	OG0000808	YDR063W	XP_001590726.1
809	OG0000809	YDR064W	XP_001596762.1
810	OG0000810	YDR074W	XP_001587963.1
811	OG0000811	YDR075W	XP_001590680.1
812	OG0000812	YDR079C-A	XP_001598824.1
813	OG0000813	YDR079W	XP_001590191.1
814	OG0000814	YDR080W	XP_001586973.1
815	OG0000815	YDR083W	XP_001597157.1
816	OG0000816	YDR086C	XP_001586079.1
817	OG0000817	YDR087C	XP_001597357.1
818	OG0000818	YDR088C	XP_001594204.1
819	OG0000819	YDR090C	XP_001594749.1
820	OG0000820	YDR091C	XP_001592376.1
821	OG0000821	YDR092W	XP_001593719.1
822	OG0000822	YDR097C	XP_001594528.1
823	OG0000823	YDR103W	XP_001589952.1
824	OG0000824	YDR105C	XP_001590962.1
825	OG0000825	YDR108W	XP_001590549.1
826	OG0000826	YDR109C	XP_001597446.1
827	OG0000827	YDR116C	XP_001595709.1
828	OG0000828	YDR120C	XP_001585873.1
829	OG0000829	YDR124W	XP_001592009.1
830	OG0000830	YDR126W	XP_001596084.1
831	OG0000831	YDR127W	XP_001585666.1
832	OG0000832	YDR128W	XP_001593720.1
833	OG0000833	YDR129C	XP_001588148.1
834	OG0000834	YDR135C	XP_001592006.1
835	OG0000835	YDR140W	XP_001584806.1
836	OG0000836	YDR141C	XP_001596748.1
837	OG0000837	YDR142C	XP_001596816.1
838	OG0000838	YDR145W	XP_001588022.1
839	OG0000839	YDR148C	XP_001587717.1
840	OG0000840	YDR150W	XP_001587437.1
841	OG0000841	YDR152W	XP_001592536.1
842	OG0000842	YDR155C	XP_001593362.1
843	OG0000843	YDR158W	XP_001586069.1
844	OG0000844	YDR159W	XP_001590060.1
845	OG0000845	YDR161W	XP_001592537.1
846	OG0000846	YDR162C	XP_001593094.1
847	OG0000847	YDR164C	XP_001590507.1
848	OG0000848	YDR165W	XP_001584827.1
849	OG0000849	YDR166C	XP_001589322.1
850	OG0000850	YDR167W	XP_001589847.1
851	OG0000851	YDR168W	XP_001585371.1
852	OG0000852	YDR169C	XP_001586666.1
853	OG0000853	YDR170C	XP_001584976.1
854	OG0000854	YDR171W	XP_001591095.1
855	OG0000855	YDR172W	XP_001596056.1
856	OG0000856	YDR173C	XP_001590631.1
857	OG0000857	YDR175C	XP_001588351.1
858	OG0000858	YDR176W	XP_001592875.1
859	OG0000859	YDR177W	XP_001591602.1
860	OG0000860	YDR179W-A	XP_001591533.1
861	OG0000861	YDR180W	XP_001590594.1
862	OG0000862	YDR182W	XP_001587117.1
863	OG0000863	YDR183W	XP_001598343.1
864	OG0000864	YDR188W	XP_001591294.1
865	OG0000865	YDR189W	XP_001593526.1
866	OG0000866	YDR190C	XP_001593913.1
867	OG0000867	YDR191W	XP_001592380.1
868	OG0000868	YDR196C	XP_001590084.1
869	OG0000869	YDR198C	XP_001586076.1
870	OG0000870	YDR204W	XP_001586075.1
871	OG0000871	YDR205W	XP_001596775.1
872	OG0000872	YDR211W	XP_001586784.1
873	OG0000873	YDR212W	XP_001590906.1
874	OG0000874	YDR214W	XP_001587655.1
875	OG0000875	YDR217C	XP_001597557.1
876	OG0000876	YDR221W	XP_001586367.1
877	OG0000877	YDR226W	XP_001597412.1
878	OG0000878	YDR228C	XP_001597398.1
879	OG0000879	YDR229W	XP_001593709.1
880	OG0000880	YDR232W	XP_001591490.1
881	OG0000881	YDR234W	XP_001598937.1
882	OG0000882	YDR236C	XP_001596079.1
883	OG0000883	YDR237W	XP_001590328.1
884	OG0000884	YDR238C	XP_001597359.1
885	OG0000885	YDR243C	XP_001594598.1
886	OG0000886	YDR244W	XP_001591251.1
887	OG0000887	YDR245W	XP_001597235.1
888	OG0000888	YDR246W	XP_001591451.1
889	OG0000889	YDR248C	XP_001592446.1
890	OG0000890	YDR254W	XP_001588498.1
891	OG0000891	YDR255C	XP_001593392.1
892	OG0000892	YDR256C	XP_001598458.1
893	OG0000893	YDR257C	XP_001598126.1
894	OG0000894	YDR258C	XP_001592469.1
895	OG0000895	YDR262W	XP_001593296.1
896	OG0000896	YDR265W	XP_001595000.1
897	OG0000897	YDR266C	XP_001595017.1
898	OG0000898	YDR268W	XP_001598101.1
899	OG0000899	YDR270W	XP_001592734.1
900	OG0000900	YDR280W	XP_001585319.1
901	OG0000901	YDR282C	XP_001586972.1
902	OG0000902	YDR283C	XP_001598533.1
903	OG0000903	YDR284C	XP_001589784.1
904	OG0000904	YDR287W	XP_001589650.1
905	OG0000905	YDR289C	XP_001585369.1
906	OG0000906	YDR291W	XP_001585778.1
907	OG0000907	YDR292C	XP_001593623.1
908	OG0000908	YDR293C	XP_001590366.1
909	OG0000909	YDR294C	XP_001588834.1
910	OG0000910	YDR297W	XP_001586534.1
911	OG0000911	YDR298C	XP_001593937.1
912	OG0000912	YDR301W	XP_001587226.1
913	OG0000913	YDR302W	XP_001588795.1
914	OG0000914	YDR305C	XP_001597721.1
915	OG0000915	YDR306C	XP_001596339.1
916	OG0000916	YDR308C	XP_001597714.1
917	OG0000917	YDR311W	XP_001593013.1
918	OG0000918	YDR316W	XP_001584636.1
919	OG0000919	YDR319C	XP_001591956.1
920	OG0000920	YDR320C	XP_001592210.1
921	OG0000921	YDR322C-A	XP_001597659.1
922	OG0000922	YDR322W	XP_001595159.1
923	OG0000923	YDR323C	XP_001584978.1
924	OG0000924	YDR324C	XP_001585902.1
925	OG0000925	YDR325W	XP_001591068.1
926	OG0000926	YDR328C	XP_001598454.1
927	OG0000927	YDR329C	XP_001598504.1
928	OG0000928	YDR330W	XP_001586272.1
929	OG0000929	YDR331W	XP_001596767.1
930	OG0000930	YDR332W	XP_001590977.1
931	OG0000931	YDR333C	XP_001588440.1
932	OG0000932	YDR334W	XP_001584813.1
933	OG0000933	YDR335W	XP_001586831.1
934	OG0000934	YDR336W	XP_001598258.1
935	OG0000935	YDR338C	XP_001590870.1
936	OG0000936	YDR339C	XP_001596852.1
937	OG0000937	YDR341C	XP_001592168.1
938	OG0000938	YDR353W	XP_001592977.1
939	OG0000939	YDR354W	XP_001592491.1
940	OG0000940	YDR359C	XP_001593060.1
941	OG0000941	YDR361C	XP_001590830.1
942	OG0000942	YDR363W	XP_001586325.1
943	OG0000943	YDR363W-A	XP_001596912.1
944	OG0000944	YDR364C	XP_001586030.1
945	OG0000945	YDR365C	XP_001584972.1
946	OG0000946	YDR372C	XP_001586869.1
947	OG0000947	YDR373W	XP_001597725.1
948	OG0000948	YDR375C	XP_001597038.1
949	OG0000949	YDR376W	XP_001590981.1
950	OG0000950	YDR377W	XP_001585300.1
951	OG0000951	YDR378C	XP_001586324.1
952	OG0000952	YDR382W	XP_001597505.1
953	OG0000953	YDR386W	XP_001597390.1
954	OG0000954	YDR388W	XP_001598850.1
955	OG0000955	YDR390C	XP_001596160.1
956	OG0000956	YDR392W	XP_001590940.1
957	OG0000957	YDR393W	XP_001595557.1
958	OG0000958	YDR394W	XP_001586774.1
959	OG0000959	YDR397C	XP_001587346.1
960	OG0000960	YDR398W	XP_001584716.1
961	OG0000961	YDR400W	XP_001585772.1
962	OG0000962	YDR404C	XP_001591145.1
963	OG0000963	YDR405W	XP_001585309.1
964	OG0000964	YDR407C	XP_001589963.1
965	OG0000965	YDR408C	XP_001594873.1
966	OG0000966	YDR412W	XP_001596850.1
967	OG0000967	YDR414C	XP_001595001.1
968	OG0000968	YDR415C	XP_001590877.1
969	OG0000969	YDR416W	XP_001590841.1
970	OG0000970	YDR421W	XP_001587375.1
971	OG0000971	YDR424C	XP_001593272.1
972	OG0000972	YDR425W	XP_001585480.1
973	OG0000973	YDR427W	XP_001587810.1
974	OG0000974	YDR428C	XP_001584984.1
975	OG0000975	YDR429C	XP_001589112.1
976	OG0000976	YDR430C	XP_001587175.1
977	OG0000977	YDR432W	XP_001584668.1
978	OG0000978	YDR434W	XP_001596428.1
979	OG0000979	YDR435C	XP_001597119.1
980	OG0000980	YDR440W	XP_001595038.1
981	OG0000981	YDR443C	XP_001596018.1
982	OG0000982	YDR448W	XP_001584557.1
983	OG0000983	YDR449C	XP_001586844.1
984	OG0000984	YDR452W	XP_001592422.1
985	OG0000985	YDR454C	XP_001588384.1
986	OG0000986	YDR456W	XP_001586462.1
987	OG0000987	YDR457W	XP_001588266.1
988	OG0000988	YDR460W	XP_001594909.1
989	OG0000989	YDR465C	XP_001597078.1
990	OG0000990	YDR469W	XP_001596761.1
991	OG0000991	YDR470C	XP_001595679.1
992	OG0000992	YDR472W	XP_001595495.1
993	OG0000993	YDR473C	XP_001589883.1
994	OG0000994	YDR477W	XP_001588878.1
995	OG0000995	YDR479C	XP_001598787.1
996	OG0000996	YDR481C	XP_001595122.1
997	OG0000997	YDR482C	XP_001590190.1
998	OG0000998	YDR484W	XP_001597679.1
999	OG0000999	YDR486C	XP_001593228.1
1000	OG0001000	YDR487C	XP_001587380.1
1001	OG0001001	YDR488C	XP_001597660.1
1002	OG0001002	YDR489W	XP_001589261.1
1003	OG0001003	YDR490C	XP_001585644.1
1004	OG0001004	YDR493W	XP_001595380.1
1005	OG0001005	YDR495C	XP_001591567.1
1006	OG0001006	YDR496C	XP_001592535.1
1007	OG0001007	YDR510W	XP_001590119.1
1008	OG0001008	YDR512C	XP_001598406.1
1009	OG0001009	YDR517W	XP_001594608.1
1010	OG0001010	YDR523C	XP_001586270.1
1011	OG0001011	YDR524C	XP_001594268.1
1012	OG0001012	YDR527W	XP_001586803.1
1013	OG0001013	YDR529C	XP_001588130.1
1014	OG0001014	YDR531W	XP_001596358.1
1015	OG0001015	YDR536W	XP_001586428.1
1016	OG0001016	YDR539W	XP_001596688.1
1017	OG0001017	YEL002C	XP_001595219.1
1018	OG0001018	YEL003W	XP_001594612.1
1019	OG0001019	YEL004W	XP_001595654.1
1020	OG0001020	YEL007W	XP_001597945.1
1021	OG0001021	YEL011W	XP_001591169.1
1022	OG0001022	YEL012W	XP_001596063.1
1023	OG0001023	YEL013W	XP_001595148.1
1024	OG0001024	YEL015W	XP_001595252.1
1025	OG0001025	YEL019C	XP_001596199.1
1026	OG0001026	YEL020C	XP_001591149.1
1027	OG0001027	YEL020W-A	XP_001587319.1
1028	OG0001028	YEL021W	XP_001598054.1
1029	OG0001029	YEL024W	XP_001590905.1
1030	OG0001030	YEL026W	XP_001588692.1
1031	OG0001031	YEL027W	XP_001588693.1
1032	OG0001032	YEL029C	XP_001586110.1
1033	OG0001033	YEL031W	XP_001590405.1
1034	OG0001034	YEL032W	XP_001585813.1
1035	OG0001035	YEL036C	XP_001590740.1
1036	OG0001036	YEL037C	XP_001591627.1
1037	OG0001037	YEL038W	XP_001597930.1
1038	OG0001038	YEL040W	XP_001596281.1
1039	OG0001039	YEL042W	XP_001598028.1
