	OrthologID	Saccharomyces_cerevisiae	Scheffersomyces_lignosus
925	OG0000925	YDL156W	-processed-gene-2.53-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.53&CDS=1-1776
926	OG0000926	YDL157C	-processed-gene-18.44-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.44&CDS=1-294
927	OG0000927	YDL159W	-processed-gene-18.125-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.125&CDS=1-1710
928	OG0000928	YDL160C	-processed-gene-2.71-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.71&CDS=1-1548
929	OG0000929	YDL164C	-processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-1.70&CDS=1-2226
930	OG0000930	YDL165W	-processed-gene-27.45-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.45&CDS=1-660
931	OG0000931	YDL166C	-processed-gene-27.100-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-27.100&CDS=1-729
932	OG0000932	YDL167C	-processed-gene-14.99-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-14.99&CDS=1-2559
933	OG0000933	YDL168W	-processed-gene-0.12-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.12&CDS=1-1140
934	OG0000934	YDL171C	-snap-gene-15.65-mRNA-1_1&gene=maker-gi|1002316368|dbj|BCGS01000005.1|-snap-gene-15.65&CDS=1-6648
935	OG0000935	YDL174C	-processed-gene-0.13-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.13&CDS=1-1770
936	OG0000936	YDL177C	-processed-gene-25.60-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.60&CDS=1-612
937	OG0000937	YDL178W	-processed-gene-3.102-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-3.102&CDS=1-1647
938	OG0000938	YDL183C	-processed-gene-28.57-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.57&CDS=1-1116
939	OG0000939	YDL185W	-processed-gene-28.8-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-28.8&CDS=1-3210
940	OG0000940	YDL190C	-processed-gene-4.92-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.92&CDS=1-3228
941	OG0000941	YDL193W	-processed-gene-4.76-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-4.76&CDS=1-1119
942	OG0000942	YDL195W	-processed-gene-24.105-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-24.105&CDS=1-3786
943	OG0000943	YDL198C	-processed-gene-9.22-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.22&CDS=1-903
944	OG0000944	YDL200C	-processed-gene-0.67-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.67&CDS=1-585
945	OG0000945	YDL201W	-processed-gene-8.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.95&CDS=1-909
946	OG0000946	YDL202W	-processed-gene-8.96-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.96&CDS=1-774
947	OG0000947	YDL205C	-snap-gene-19.34-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-19.34&CDS=1-1938
948	OG0000948	YDL207W	-processed-gene-8.3-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-8.3&CDS=1-1560
949	OG0000949	YDL208W	-processed-gene-17.57-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.57&CDS=1-462
950	OG0000950	YDL209C	-processed-gene-4.60-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-4.60&CDS=1-963
951	OG0000951	YDL212W	-processed-gene-9.114-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.114&CDS=1-633
952	OG0000952	YDL213C	-processed-gene-5.5-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-5.5&CDS=1-720
953	OG0000953	YDL215C	-processed-gene-7.22-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.22&CDS=1-3162
954	OG0000954	YDL216C	-processed-gene-9.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-9.95&CDS=1-1749
955	OG0000955	YDL217C	-processed-gene-16.110-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.110&CDS=1-546
956	OG0000956	YDL225W	-processed-gene-17.15-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.15&CDS=1-1824
957	OG0000957	YDL226C	-processed-gene-17.28-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-17.28&CDS=1-1107
958	OG0000958	YDL228C	-processed-gene-7.72-mRNA-1_1&gene=snap_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-7.72&CDS=1-2709
959	OG0000959	YDL230W	-processed-gene-9.52-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-9.52&CDS=1-1110
960	OG0000960	YDL233W	-processed-gene-15.86-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-15.86&CDS=1-2190
961	OG0000961	YDL234C	-processed-gene-10.79-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-10.79&CDS=1-2316
962	OG0000962	YDL235C	-processed-gene-4.88-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-4.88&CDS=1-564
963	OG0000963	YDL236W	-processed-gene-4.89-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-4.89&CDS=1-924
964	OG0000964	YDL237W	-processed-gene-12.50-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-12.50&CDS=1-1059
965	OG0000965	YDL238C	-processed-gene-3.30-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-3.30&CDS=1-1596
966	OG0000966	YDL240W	-processed-gene-6.23-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.23&CDS=1-4278
967	OG0000967	YDR002W	-processed-gene-6.10-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-6.10&CDS=1-609
968	OG0000968	YDR005C	-processed-gene-16.101-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.101&CDS=1-2796
969	OG0000969	YDR006C	-processed-gene-4.8-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-4.8&CDS=1-2289
970	OG0000970	YDR007W	-processed-gene-16.127-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-16.127&CDS=1-744
971	OG0000971	YDR011W	-processed-gene-20.21-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.21&CDS=1-4455
972	OG0000972	YDR013W	-processed-gene-2.51-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.51&CDS=1-675
973	OG0000973	YDR016C	-processed-gene-12.180-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-12.180&CDS=1-360
974	OG0000974	YDR017C	-processed-gene-17.44-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.44&CDS=1-2565
975	OG0000975	YDR019C	-processed-gene-9.19-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.19&CDS=1-1179
976	OG0000976	YDR020C	-processed-gene-0.33-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.33&CDS=1-765
977	OG0000977	YDR021W	-processed-gene-0.13-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-0.13&CDS=1-1197
978	OG0000978	YDR023W	-processed-gene-4.114-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.114&CDS=1-1383
979	OG0000979	YDR026C	-processed-gene-8.77-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.77&CDS=1-1965
980	OG0000980	YDR027C	-processed-gene-2.25-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.25&CDS=1-4539
981	OG0000981	YDR028C	-processed-gene-2.23-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-2.23&CDS=1-4167
982	OG0000982	YDR030C	-processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-4.98&CDS=1-1380
983	OG0000983	YDR031W	-processed-gene-16.124-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-16.124&CDS=1-321
984	OG0000984	YDR032C	-processed-gene-17.46-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-17.46&CDS=1-600
985	OG0000985	YDR036C	-processed-gene-8.50-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.50&CDS=1-1533
986	OG0000986	YDR037W	-processed-gene-3.10-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.10&CDS=1-1773
987	OG0000987	YDR041W	-processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.11&CDS=1-813
988	OG0000988	YDR043C	-processed-gene-1.30-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-1.30&CDS=1-777
989	OG0000989	YDR044W	-processed-gene-3.48-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-3.48&CDS=1-969
990	OG0000990	YDR045C	-processed-gene-19.64-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.64&CDS=1-333
991	OG0000991	YDR047W	-processed-gene-19.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.81&CDS=1-1086
992	OG0000992	YDR049W	-processed-gene-19.82-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-19.82&CDS=1-1908
993	OG0000993	YDR050C	-processed-gene-3.23-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.23&CDS=1-744
994	OG0000994	YDR051C	-processed-gene-3.24-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-3.24&CDS=1-1056
995	OG0000995	YDR052C	-processed-gene-11.13-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.13&CDS=1-2472
996	OG0000996	YDR054C	-processed-gene-11.31-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-11.31&CDS=1-726
997	OG0000997	YDR057W	-processed-gene-5.8-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-5.8&CDS=1-2571
998	OG0000998	YDR060W	-processed-gene-12.55-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-12.55&CDS=1-3366
999	OG0000999	YDR061W	-processed-gene-15.95-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.95&CDS=1-1623
1000	OG0001000	YDR062W	-processed-gene-15.94-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.94&CDS=1-1731
1001	OG0001001	YDR064W	-processed-gene-7.91-mRNA-1_1&gene=augustus_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-7.91&CDS=1-891
1002	OG0001002	YDR067C	-processed-gene-15.93-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.93&CDS=1-642
1003	OG0001003	YDR068W	-processed-gene-15.81-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-15.81&CDS=1-1008
1004	OG0001004	YDR071C	-processed-gene-16.37-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-16.37&CDS=1-681
1005	OG0001005	YDR072C	-processed-gene-2.59-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-2.59&CDS=1-1473
1006	OG0001006	YDR074W	-processed-gene-8.99-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.99&CDS=1-2670
1007	OG0001007	YDR079C-A	-processed-gene-6.99-mRNA-1_1&gene=augustus_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.99&CDS=1-222
1008	OG0001008	YDR079W	-processed-gene-6.17-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.17&CDS=1-348
1009	OG0001009	YDR080W	-processed-gene-6.14-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.14&CDS=1-3093
1010	OG0001010	YDR081C	-processed-gene-6.30-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.30&CDS=1-2604
1011	OG0001011	YDR083W	-processed-gene-16.116-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-16.116&CDS=1-1263
1012	OG0001012	YDR084C	-processed-gene-6.29-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-6.29&CDS=1-738
1013	OG0001013	YDR086C	-processed-gene-1.82-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.82&CDS=1-204
1014	OG0001014	YDR087C	-processed-gene-1.83-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.83&CDS=1-840
1015	OG0001015	YDR088C	-processed-gene-1.84-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-1.84&CDS=1-1005
1016	OG0001016	YDR089W	-processed-gene-2.34-mRNA-1_1&gene=snap_masked-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-2.34&CDS=1-3048
1017	OG0001017	YDR090C	-processed-gene-4.72-mRNA-1_1&gene=genemark-gi|1002316364|dbj|BCGS01000009.1|-processed-gene-4.72&CDS=1-804
1018	OG0001018	YDR091C	-processed-gene-8.83-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.83&CDS=1-1821
1019	OG0001019	YDR092W	-processed-gene-23.85-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-23.85&CDS=1-462
1020	OG0001020	YDR097C	-processed-gene-8.61-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-8.61&CDS=1-3816
1021	OG0001021	YDR100W	-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.15&CDS=1-333
1022	OG0001022	YDR101C	-processed-gene-9.34-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.34&CDS=1-1728
1023	OG0001023	YDR104C	-snap-gene-0.30-mRNA-1_1&gene=maker-gi|1002316370|dbj|BCGS01000003.1|-snap-gene-0.30&CDS=1-2886
1024	OG0001024	YDR105C	-processed-gene-9.87-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.87&CDS=1-1461
1025	OG0001025	YDR108W	-processed-gene-9.91-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.91&CDS=1-2163
1026	OG0001026	YDR109C	-processed-gene-12.19-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-12.19&CDS=1-2277
1027	OG0001027	YDR111C	-processed-gene-2.35-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-2.35&CDS=1-1527
1028	OG0001028	YDR115W	-processed-gene-24.96-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.96&CDS=1-360
1029	OG0001029	YDR116C	-processed-gene-24.90-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.90&CDS=1-825
1030	OG0001030	YDR117C	-processed-gene-24.89-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-24.89&CDS=1-1755
1031	OG0001031	YDR120C	-processed-gene-7.77-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.77&CDS=1-1770
1032	OG0001032	YDR121W	-processed-gene-1.30-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-1.30&CDS=1-738
1033	OG0001033	YDR126W	-processed-gene-7.1-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.1&CDS=1-1092
1034	OG0001034	YDR127W	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-0.9&CDS=1-4713
1035	OG0001035	YDR128W	-processed-gene-8.72-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.72&CDS=1-4506
1036	OG0001036	YDR129C	-processed-gene-7.16-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-7.16&CDS=1-1935
1037	OG0001037	YDR135C	-processed-gene-13.42-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.42&CDS=1-4668
1038	OG0001038	YDR137W	-processed-gene-18.30-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-18.30&CDS=1-2010
1039	OG0001039	YDR140W	-processed-gene-2.79-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-2.79&CDS=1-675
1040	OG0001040	YDR141C	-processed-gene-15.116-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-15.116&CDS=1-5082
1041	OG0001041	YDR142C	-processed-gene-11.61-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.61&CDS=1-1125
1042	OG0001042	YDR145W	-processed-gene-18.109-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-18.109&CDS=1-2538
1043	OG0001043	YDR148C	-processed-gene-8.29-mRNA-1_1&gene=genemark-gi|1002316365|dbj|BCGS01000008.1|-processed-gene-8.29&CDS=1-1332
1044	OG0001044	YDR150W	-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-7.38&CDS=1-10041
1045	OG0001045	YDR152W	-processed-gene-13.47-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.47&CDS=1-756
1046	OG0001046	YDR155C	-processed-gene-13.44-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.44&CDS=1-486
1047	OG0001047	YDR158W	-processed-gene-25.66-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.66&CDS=1-1092
1048	OG0001048	YDR159W	-processed-gene-25.67-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-25.67&CDS=1-4869
1049	OG0001049	YDR160W	-processed-gene-22.24-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-22.24&CDS=1-2604
1050	OG0001050	YDR161W	-processed-gene-9.71-mRNA-1_1&gene=genemark-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-9.71&CDS=1-1206
1051	OG0001051	YDR162C	-processed-gene-13.59-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.59&CDS=1-735
1052	OG0001052	YDR164C	-processed-gene-13.41-mRNA-1_1&gene=genemark-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.41&CDS=1-2211
1053	OG0001053	YDR165W	-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-gi|1002316367|dbj|BCGS01000006.1|-processed-gene-13.89&CDS=1-3609
1054	OG0001054	YDR166C	-processed-gene-8.78-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.78&CDS=1-2895
1055	OG0001055	YDR167W	-processed-gene-8.73-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.73&CDS=1-738
1056	OG0001056	YDR168W	-processed-gene-11.59-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-11.59&CDS=1-1554
1057	OG0001057	YDR169C	-processed-gene-14.65-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-14.65&CDS=1-1890
1058	OG0001058	YDR170C	-processed-gene-11.9-mRNA-1_1&gene=snap_masked-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-11.9&CDS=1-5670
1059	OG0001059	YDR172W	-processed-gene-13.18-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.18&CDS=1-2223
1060	OG0001060	YDR173C	-processed-gene-13.34-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-13.34&CDS=1-1248
1061	OG0001061	YDR175C	-processed-gene-8.104-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.104&CDS=1-933
1062	OG0001062	YDR176W	-processed-gene-8.103-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-8.103&CDS=1-1899
1063	OG0001063	YDR177W	-processed-gene-21.39-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-21.39&CDS=1-660
1064	OG0001064	YDR179W-A	-processed-gene-9.66-mRNA-1_1&gene=augustus_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.66&CDS=1-2112
1065	OG0001065	YDR180W	-processed-gene-0.58-mRNA-1_1&gene=snap_masked-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.58&CDS=1-4749
1066	OG0001066	YDR181C	-processed-gene-0.75-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.75&CDS=1-1215
1067	OG0001067	YDR182W	-processed-gene-0.89-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.89&CDS=1-1446
1068	OG0001068	YDR183W	-processed-gene-0.72-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-0.72&CDS=1-684
1069	OG0001069	YDR188W	-processed-gene-1.76-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.76&CDS=1-1665
1070	OG0001070	YDR189W	-processed-gene-1.77-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.77&CDS=1-1914
1071	OG0001071	YDR190C	-processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.90&CDS=1-1374
1072	OG0001072	YDR194C	-processed-gene-13.20-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-13.20&CDS=1-1920
1073	OG0001073	YDR196C	-processed-gene-15.96-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.96&CDS=1-723
1074	OG0001074	YDR198C	-processed-gene-15.97-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-15.97&CDS=1-1344
1075	OG0001075	YDR201W	-processed-gene-9.10-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.10&CDS=1-495
1076	OG0001076	YDR202C	-processed-gene-20.77-mRNA-1_1&gene=snap_masked-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-20.77&CDS=1-1110
1077	OG0001077	YDR204W	-processed-gene-9.103-mRNA-1_1&gene=snap_masked-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-9.103&CDS=1-954
1078	OG0001078	YDR205W	-processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-1.92&CDS=1-2241
1079	OG0001079	YDR208W	-processed-gene-2.109-mRNA-1_1&gene=snap_masked-gi|1002316366|dbj|BCGS01000007.1|-processed-gene-2.109&CDS=1-1965
1080	OG0001080	YDR212W	-processed-gene-15.96-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-15.96&CDS=1-1659
1081	OG0001081	YDR214W	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316363|dbj|BCGS01000010.1|-processed-gene-0.11&CDS=1-1017
1082	OG0001082	YDR217C	-processed-gene-7.38-mRNA-1_1&gene=snap_masked-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-7.38&CDS=1-3426
1083	OG0001083	YDR221W	-processed-gene-6.24-mRNA-1_1&gene=genemark-gi|1002316368|dbj|BCGS01000005.1|-processed-gene-6.24&CDS=1-1545
1084	OG0001084	YDR223W	-processed-gene-7.118-mRNA-1_1&gene=genemark-gi|1002316369|dbj|BCGS01000004.1|-processed-gene-7.118&CDS=1-2940
1085	OG0001085	YDR226W	-processed-gene-9.1-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.1&CDS=1-738
1086	OG0001086	YDR228C	-processed-gene-9.3-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-9.3&CDS=1-1617
1087	OG0001087	YDR229W	-processed-gene-8.97-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.97&CDS=1-1506
1088	OG0001088	YDR231C	-processed-gene-2.62-mRNA-1_1&gene=genemark-gi|1002316372|dbj|BCGS01000001.1|-processed-gene-2.62&CDS=1-501
1089	OG0001089	YDR232W	-processed-gene-21.35-mRNA-1_1&gene=genemark-gi|1002316371|dbj|BCGS01000002.1|-processed-gene-21.35&CDS=1-1710
1090	OG0001090	YDR233C	-processed-gene-8.93-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.93&CDS=1-855
1091	OG0001091	YDR234W	-processed-gene-8.116-mRNA-1_1&gene=genemark-gi|1002316370|dbj|BCGS01000003.1|-processed-gene-8.116&CDS=1-2034
