	OrthologID	Ogataea_polymorpha	Saccharomyces_cerevisiae
388	OG0000388	augustus_masked-scaffold_6-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.67&CDS=1-2082	YGR241C, YHR161C
389	OG0000389	genemark-scaffold_6-processed-gene-3.44-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.44&CDS=1-1665, maker-scaffold_7-augustus-gene-3.69-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-3.69&CDS=1-2553	YDL174C
390	OG0000390	snap_masked-scaffold_6-processed-gene-4.129-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.129&CDS=1-4623	YIL149C, YKR095W
391	OG0000391	genemark-scaffold_6-processed-gene-5.48-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.48&CDS=1-1776, genemark-scaffold_7-processed-gene-2.166-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.166&CDS=1-1728	YOR108W
392	OG0000392	snap_masked-scaffold_6-processed-gene-5.130-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.130&CDS=1-543	YDL137W, YDL192W
393	OG0000393	augustus_masked-scaffold_6-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.108&CDS=1-2511	YGR214W, YLR048W
394	OG0000394	genemark-scaffold_6-processed-gene-6.111-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-6.111&CDS=1-1122	YDR348C, YHR097C
395	OG0000395	snap_masked-scaffold_6-processed-gene-6.63-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.63&CDS=1-4566	YEL022W, YJR031C
396	OG0000396	maker-scaffold_6-snap-gene-7.182-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.182&CDS=1-981	YNL301C, YOL120C
397	OG0000397	maker-scaffold_6-snap-gene-7.183-mRNA-1_1&gene=maker-scaffold_6-snap-gene-7.183&CDS=1-1179	YGL071W, YPL202C
398	OG0000398	genemark-scaffold_6-processed-gene-7.168-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.168&CDS=1-1644	YDR358W, YHR108W
399	OG0000399	augustus_masked-scaffold_6-processed-gene-8.36-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.36&CDS=1-720	YER074W, YIL069C
400	OG0000400	augustus_masked-scaffold_6-processed-gene-8.98-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-8.98&CDS=1-3588	YCR091W, YNR047W
401	OG0000401	genemark-scaffold_7-processed-gene-0.73-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.73&CDS=1-1896	YKL126W, YMR104C
402	OG0000402	genemark-scaffold_7-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-1.106&CDS=1-954	YBR147W, YOL092W
403	OG0000403	augustus_masked-scaffold_7-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.16&CDS=1-5304	YJL098W, YKR028W
404	OG0000404	augustus_masked-scaffold_7-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.86&CDS=1-3084	YLR260W, YOR171C
405	OG0000405	genemark-scaffold_7-processed-gene-3.188-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-3.188&CDS=1-1704	YBR021W, YIR028W
406	OG0000406	augustus_masked-scaffold_7-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.123&CDS=1-4566	YMR237W, YOR299W
407	OG0000407	genemark-scaffold_7-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.18&CDS=1-450	YDR450W, YML026C
408	OG0000408	genemark-scaffold_7-processed-gene-4.49-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.49&CDS=1-1086	YDR451C, YML027W
409	OG0000409	genemark-scaffold_7-processed-gene-4.22-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.22&CDS=1-405	YDR447C, YML024W
410	OG0000410	genemark-scaffold_7-processed-gene-4.60-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.60&CDS=1-438	YIL111W, YNL052W
411	OG0000411	maker-scaffold_7-snap-gene-4.76-mRNA-1_1&gene=maker-scaffold_7-snap-gene-4.76&CDS=1-858	YMR183C, YPL232W
412	OG0000412	augustus_masked-scaffold_7-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.171&CDS=1-3444	YGR256W, YHR183W
413	OG0000413	genemark-scaffold_7-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-5.32&CDS=1-1413	YDR146C, YLR131C
414	OG0000414	genemark-scaffold_7-processed-gene-6.1-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-6.1&CDS=1-2154	YFR023W, YHR015W
415	OG0000415	genemark-scaffold_7-processed-gene-7.43-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.43&CDS=1-1353	YER064C, YIL056W
416	OG0000416	maker-scaffold_7-augustus-gene-7.69-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-7.69&CDS=1-705	YFL034C-A, YLR061W
417	OG0000417	genemark-scaffold_7-processed-gene-7.33-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-7.33&CDS=1-1155	YGL082W, YPL191C
418	OG0000418	genemark-scaffold_7-processed-gene-8.283-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.283&CDS=1-3636	YLL016W, YLR310C
419	OG0000419	maker-scaffold_7-augustus-gene-8.203-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-8.203&CDS=1-4803	YMR177W, YPL224C
420	OG0000420	genemark-scaffold_7-processed-gene-8.301-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-8.301&CDS=1-876	YGL076C, YPL198W
421	OG0000421	maker-scaffold_7-snap-gene-8.338-mRNA-1_1&gene=maker-scaffold_7-snap-gene-8.338&CDS=1-3051	YDR247W, YPL026C
422	OG0000422		YAL051W, YLL054C, YOR363C
423	OG0000423	genemark-scaffold_1-processed-gene-0.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.3&CDS=1-747	YLR126C
424	OG0000424	snap_masked-scaffold_1-processed-gene-0.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.132&CDS=1-3876	YDR443C
425	OG0000425	snap_masked-scaffold_1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.109&CDS=1-228	YML009C
426	OG0000426	genemark-scaffold_1-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.5&CDS=1-2799	YML010W
427	OG0000427	genemark-scaffold_1-processed-gene-0.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.6&CDS=1-639	YML012W
428	OG0000428	maker-scaffold_1-augustus-gene-0.99-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.99&CDS=1-2649	YDL113C
429	OG0000429	genemark-scaffold_1-processed-gene-0.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.33&CDS=1-1293	YBR029C
430	OG0000430	genemark-scaffold_1-processed-gene-0.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.34&CDS=1-1569	YGL028C
431	OG0000431	genemark-scaffold_1-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.35&CDS=1-462	YGR148C
432	OG0000432	genemark-scaffold_1-processed-gene-0.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.13&CDS=1-324	YGL030W
433	OG0000433	genemark-scaffold_1-processed-gene-0.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.14&CDS=1-1080	YML048W
434	OG0000434	snap_masked-scaffold_1-processed-gene-0.139-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.139&CDS=1-1656	YDL017W
435	OG0000435	snap_masked-scaffold_1-processed-gene-0.140-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.140&CDS=1-1647	YGR276C
436	OG0000436	genemark-scaffold_1-processed-gene-0.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.15&CDS=1-1467	YDR036C
437	OG0000437	snap_masked-scaffold_1-processed-gene-0.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.119&CDS=1-1161	YPR152C
438	OG0000438	snap_masked-scaffold_1-processed-gene-0.143-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.143&CDS=1-1953	YPR159W
439	OG0000439	augustus_masked-scaffold_1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.86&CDS=1-2643	YDL054C
440	OG0000440	snap_masked-scaffold_1-processed-gene-0.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.120&CDS=1-867	YML110C
441	OG0000441	genemark-scaffold_1-processed-gene-0.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.19&CDS=1-1095	YKL108W
442	OG0000442	genemark-scaffold_1-processed-gene-0.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.45&CDS=1-1491	YMR093W
443	OG0000443	snap_masked-scaffold_1-processed-gene-0.123-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.123&CDS=1-933	YMR114C
444	OG0000444	snap_masked-scaffold_1-processed-gene-0.153-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.153&CDS=1-4032	YOR336W
445	OG0000445	snap_masked-scaffold_1-processed-gene-0.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.125&CDS=1-1296	YBR227C
446	OG0000446	genemark-scaffold_1-processed-gene-0.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.25&CDS=1-501	YMR022W
447	OG0000447	snap_masked-scaffold_1-processed-gene-0.129-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.129&CDS=1-357	YBR255C-A
448	OG0000448	genemark-scaffold_1-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.27&CDS=1-624	YOR131C
449	OG0000449	snap_masked-scaffold_1-processed-gene-0.156-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.156&CDS=1-1596	YBR288C
450	OG0000450	snap_masked-scaffold_1-processed-gene-1.63-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.63&CDS=1-5634	YPL082C
451	OG0000451	maker-scaffold_1-snap-gene-1.56-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.56&CDS=1-3465	YBR111C
452	OG0000452	snap_masked-scaffold_1-processed-gene-1.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.68&CDS=1-285	YBR111W-A
453	OG0000453	genemark-scaffold_1-processed-gene-1.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.3&CDS=1-834	YDR050C
454	OG0000454	snap_masked-scaffold_1-processed-gene-1.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.69&CDS=1-447	YAL033W
455	OG0000455	genemark-scaffold_1-processed-gene-1.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.4&CDS=1-2862	YOR335C
456	OG0000456	genemark-scaffold_1-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.6&CDS=1-1365	YNL291C
457	OG0000457	genemark-scaffold_1-processed-gene-1.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.27&CDS=1-1095	YNL292W
458	OG0000458	snap_masked-scaffold_1-processed-gene-1.71-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.71&CDS=1-4812	YNL297C
459	OG0000459	snap_masked-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.92&CDS=1-3543	YBR023C
460	OG0000460	genemark-scaffold_1-processed-gene-1.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.8&CDS=1-2526	YBL023C
461	OG0000461	genemark-scaffold_1-processed-gene-1.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.9&CDS=1-663	YPR113W
462	OG0000462	genemark-scaffold_1-processed-gene-1.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.30&CDS=1-939	YLR017W
463	OG0000463	genemark-scaffold_1-processed-gene-1.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.10&CDS=1-591	YHR026W
464	OG0000464	genemark-scaffold_1-processed-gene-1.31-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.31&CDS=1-1032	YHR025W
465	OG0000465	maker-scaffold_1-augustus-gene-1.174-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.174&CDS=1-2580	YAL048C
466	OG0000466	maker-scaffold_1-augustus-gene-1.171-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.171&CDS=1-768	YOR362C
467	OG0000467	genemark-scaffold_1-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.35&CDS=1-1830	YHR178W
468	OG0000468	genemark-scaffold_1-processed-gene-1.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.37&CDS=1-840	YHR062C
469	OG0000469	genemark-scaffold_1-processed-gene-1.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.17&CDS=1-762	YNL155W
470	OG0000470	genemark-scaffold_1-processed-gene-1.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.40&CDS=1-2913	YKL165C
471	OG0000471	genemark-scaffold_1-processed-gene-1.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.41&CDS=1-1179	YLR050C
472	OG0000472	maker-scaffold_1-snap-gene-1.61-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.61&CDS=1-4191	YDL234C
473	OG0000473	maker-scaffold_1-augustus-gene-1.175-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-1.175&CDS=1-4014	YMR277W
474	OG0000474	genemark-scaffold_1-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.47&CDS=1-1440	YML114C
475	OG0000475	genemark-scaffold_1-processed-gene-1.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.18&CDS=1-1920	YPR155C
476	OG0000476	genemark-scaffold_1-processed-gene-1.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.19&CDS=1-759	YIL049W
477	OG0000477	snap_masked-scaffold_1-processed-gene-1.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.115&CDS=1-1296	YER061C
478	OG0000478	genemark-scaffold_1-processed-gene-1.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.20&CDS=1-2382	YDL148C
479	OG0000479	snap_masked-scaffold_1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.116&CDS=1-2667	YDL149W
480	OG0000480	genemark-scaffold_1-processed-gene-1.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.21&CDS=1-1077	YLR418C
481	OG0000481	genemark-scaffold_1-processed-gene-1.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.24&CDS=1-837	YNL289W
482	OG0000482	genemark-scaffold_1-processed-gene-1.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.52&CDS=1-618	YJR133W
483	OG0000483	genemark-scaffold_1-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.54&CDS=1-567	YOL067C
484	OG0000484	genemark-scaffold_1-processed-gene-1.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.26&CDS=1-1464	YDR168W
485	OG0000485	snap_masked-scaffold_1-processed-gene-1.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.120&CDS=1-435	YOL071W
486	OG0000486	augustus_masked-scaffold_1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.59&CDS=1-1965	YOR202W
487	OG0000487	maker-scaffold_1-augustus-gene-2.52-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.52&CDS=1-5232	YPL167C
488	OG0000488	genemark-scaffold_1-processed-gene-2.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.109&CDS=1-2391	YOR249C
489	OG0000489	augustus_masked-scaffold_1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.61&CDS=1-3057	YMR201C
490	OG0000490	genemark-scaffold_1-processed-gene-2.131-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.131&CDS=1-741	YMR188C
491	OG0000491	snap_masked-scaffold_1-processed-gene-2.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.9&CDS=1-2373	YDR160W
492	OG0000492	genemark-scaffold_1-processed-gene-2.132-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.132&CDS=1-684	YJR050W
493	OG0000493	augustus_masked-scaffold_1-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.65&CDS=1-3642	YEL042W
494	OG0000494	genemark-scaffold_1-processed-gene-2.115-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.115&CDS=1-3690	YMR304W
495	OG0000495	snap_masked-scaffold_1-processed-gene-2.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.33&CDS=1-837	YGR277C
496	OG0000496	genemark-scaffold_1-processed-gene-2.116-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.116&CDS=1-1638	YGR278W
497	OG0000497	augustus_masked-scaffold_1-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.86&CDS=1-4167	YNL234W
498	OG0000498	snap_masked-scaffold_1-processed-gene-2.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.15&CDS=1-771	YCR075C
499	OG0000499	maker-scaffold_1-snap-gene-2.103-mRNA-1_1&gene=maker-scaffold_1-snap-gene-2.103&CDS=1-744	YPL127C
500	OG0000500	maker-scaffold_1-augustus-gene-2.58-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.58&CDS=1-2628	YLR314C
501	OG0000501	genemark-scaffold_1-processed-gene-2.122-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.122&CDS=1-2367	YPR091C
502	OG0000502	snap_masked-scaffold_1-processed-gene-2.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.44&CDS=1-4650	YCR042C
503	OG0000503	genemark-scaffold_1-processed-gene-2.123-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.123&CDS=1-3018	YNL267W
504	OG0000504	genemark-scaffold_1-processed-gene-2.144-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.144&CDS=1-2352	YBR133C
505	OG0000505	genemark-scaffold_1-processed-gene-2.124-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.124&CDS=1-7398	YBR136W
506	OG0000506	genemark-scaffold_1-processed-gene-2.145-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.145&CDS=1-3018	YGL207W
507	OG0000507	genemark-scaffold_1-processed-gene-2.146-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.146&CDS=1-453	YER030W
508	OG0000508	genemark-scaffold_1-processed-gene-2.126-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.126&CDS=1-1587	YGR046W
509	OG0000509	genemark-scaffold_1-processed-gene-2.147-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.147&CDS=1-1467	YBR103W
510	OG0000510	genemark-scaffold_1-processed-gene-2.129-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.129&CDS=1-1233	YBL091C
511	OG0000511	genemark-scaffold_1-processed-gene-2.130-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.130&CDS=1-1200	YPR108W
512	OG0000512	genemark-scaffold_1-processed-gene-3.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.3&CDS=1-846	YER118C
513	OG0000513	genemark-scaffold_1-processed-gene-3.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.4&CDS=1-2244	YDL028C
514	OG0000514	genemark-scaffold_1-processed-gene-3.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.12&CDS=1-4779	YLR247C
515	OG0000515	genemark-scaffold_1-processed-gene-3.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.37&CDS=1-759	YNL312W
516	OG0000516	genemark-scaffold_1-processed-gene-3.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.38&CDS=1-2523	YJL102W
517	OG0000517	genemark-scaffold_1-processed-gene-3.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.13&CDS=1-927	YKR026C
518	OG0000518	genemark-scaffold_1-processed-gene-3.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.39&CDS=1-1029	YNL175C
519	OG0000519	genemark-scaffold_1-processed-gene-3.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.14&CDS=1-930	YGR282C
520	OG0000520	snap_masked-scaffold_1-processed-gene-3.145-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.145&CDS=1-966	YGR284C
521	OG0000521	genemark-scaffold_1-processed-gene-3.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.41&CDS=1-2565	YBR179C
522	OG0000522	genemark-scaffold_1-processed-gene-3.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.15&CDS=1-1209	YPL101W
523	OG0000523	genemark-scaffold_1-processed-gene-3.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.42&CDS=1-1470	YGL017W
524	OG0000524	augustus_masked-scaffold_1-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.76&CDS=1-1884	YGR152C
525	OG0000525	genemark-scaffold_1-processed-gene-3.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.20&CDS=1-2082	YGR266W
526	OG0000526	genemark-scaffold_1-processed-gene-3.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.47&CDS=1-720	YGR172C
527	OG0000527	genemark-scaffold_1-processed-gene-3.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.48&CDS=1-1221	YLR015W
528	OG0000528	genemark-scaffold_1-processed-gene-3.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.22&CDS=1-1485	YMR293C
529	OG0000529	snap_masked-scaffold_1-processed-gene-3.154-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.154&CDS=1-417	YMR292W
530	OG0000530	snap_masked-scaffold_1-processed-gene-3.155-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.155&CDS=1-3075	YGR246C
531	OG0000531	genemark-scaffold_1-processed-gene-3.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.52&CDS=1-1224	YDR531W
532	OG0000532	snap_masked-scaffold_1-processed-gene-3.127-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.127&CDS=1-3174	YGR170W
533	OG0000533	genemark-scaffold_1-processed-gene-3.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.53&CDS=1-747	YHR163W
534	OG0000534	snap_masked-scaffold_1-processed-gene-3.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.128&CDS=1-252	YLR363W-A
535	OG0000535	genemark-scaffold_1-processed-gene-3.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.54&CDS=1-444	YOR224C
536	OG0000536	genemark-scaffold_1-processed-gene-3.55-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.55&CDS=1-510	YJR025C
537	OG0000537	genemark-scaffold_1-processed-gene-3.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.30&CDS=1-2265	YJL094C
538	OG0000538	genemark-scaffold_1-processed-gene-3.56-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.56&CDS=1-1434	YGR014W
539	OG0000539	augustus_masked-scaffold_1-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.88&CDS=1-2220	YOR198C
540	OG0000540	snap_masked-scaffold_1-processed-gene-3.160-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.160&CDS=1-2997	YOR196C
541	OG0000541	snap_masked-scaffold_1-processed-gene-3.140-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.140&CDS=1-2019	YIL108W
542	OG0000542	genemark-scaffold_1-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.9&CDS=1-2583	YBL066C
543	OG0000543	genemark-scaffold_1-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.14&CDS=1-1107	YER095W
544	OG0000544	augustus_masked-scaffold_1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.53&CDS=1-2607	YER094C
545	OG0000545	snap_masked-scaffold_1-processed-gene-4.93-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.93&CDS=1-1275	YJL123C
546	OG0000546	augustus_masked-scaffold_1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.71&CDS=1-1233	YJL126W
547	OG0000547	genemark-scaffold_1-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.16&CDS=1-930	YMR310C
548	OG0000548	genemark-scaffold_1-processed-gene-4.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.35&CDS=1-4074	YGR061C
549	OG0000549	genemark-scaffold_1-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.17&CDS=1-1278	YGR252W
550	OG0000550	genemark-scaffold_1-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.36&CDS=1-759	YGR253C
551	OG0000551	augustus_masked-scaffold_1-processed-gene-4.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.59&CDS=1-3924	YDR142C
552	OG0000552	augustus_masked-scaffold_1-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.74&CDS=1-2871	YDR104C
553	OG0000553	genemark-scaffold_1-processed-gene-4.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.22&CDS=1-540	YLR066W
554	OG0000554	genemark-scaffold_1-processed-gene-4.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.38&CDS=1-3525	YLR067C
555	OG0000555	snap_masked-scaffold_1-processed-gene-4.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.101&CDS=1-276	YLR068W
556	OG0000556	snap_masked-scaffold_1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.118&CDS=1-2076	YHL024W
557	OG0000557	snap_masked-scaffold_1-processed-gene-4.102-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.102&CDS=1-5334	YHL030W
558	OG0000558	genemark-scaffold_1-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.42&CDS=1-1494	YLL036C
559	OG0000559	snap_masked-scaffold_1-processed-gene-4.103-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.103&CDS=1-1839	YHL029C
560	OG0000560	genemark-scaffold_1-processed-gene-4.44-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.44&CDS=1-1794	YGL125W
561	OG0000561	snap_masked-scaffold_1-processed-gene-4.104-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.104&CDS=1-753	YPL011C
562	OG0000562	augustus_masked-scaffold_1-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.81&CDS=1-3372	YPL012W
