	OrthologID	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
519	OG0000519	YAR018C	maker-scf7180000049514-snap-gene-0.44-mRNA-1_1&gene=maker-scf7180000049514-snap-gene-0.44&CDS=1-2196
520	OG0000520	YAR035W	augustus_masked-scf7180000049582-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.27&CDS=1-2139
521	OG0000521	YBL001C	augustus_masked-scf7180000049582-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.16&CDS=1-318
522	OG0000522	YBL004W	augustus_masked-scf7180000049582-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.10&CDS=1-7482
523	OG0000523	YBL006C	augustus_masked-scf7180000049538-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.90&CDS=1-603
524	OG0000524	YBL007C	augustus_masked-scf7180000049538-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.89&CDS=1-3696
525	OG0000525	YBL008W	augustus_masked-scf7180000049538-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.78&CDS=1-2529
526	OG0000526	YBL009W	augustus_masked-scf7180000049538-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.77&CDS=1-2418
527	OG0000527	YBL010C	augustus_masked-scf7180000049538-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.88&CDS=1-831
528	OG0000528	YBL011W	augustus_masked-scf7180000049538-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.91&CDS=1-2253
529	OG0000529	YBL013W	augustus_masked-scf7180000049538-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-0.92&CDS=1-1131
530	OG0000530	YBL014C	snap_masked-scf7180000049538-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000049538-processed-gene-0.17&CDS=1-2745
531	OG0000531	YBL015W	augustus_masked-scf7180000049585-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.26&CDS=1-1581
532	OG0000532	YBL016W	augustus_masked-scf7180000049585-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.27&CDS=1-1086
533	OG0000533	YBL018C	augustus_masked-scf7180000049585-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.11&CDS=1-408
534	OG0000534	YBL020W	augustus_masked-scf7180000049585-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.28&CDS=1-3225
535	OG0000535	YBL021C	snap_masked-scf7180000049585-processed-gene-1.96-mRNA-1_1&gene=snap_masked-scf7180000049585-processed-gene-1.96&CDS=1-501
536	OG0000536	YBL022C	augustus_masked-scf7180000049585-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.13&CDS=1-3183
537	OG0000537	YBL023C	augustus_masked-scf7180000049585-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.14&CDS=1-2613
538	OG0000538	YBL026W	augustus_masked-scf7180000049585-processed-gene-1.31-mRNA-1_1&gene=augustus_masked-scf7180000049585-processed-gene-1.31&CDS=1-285
539	OG0000539	YBL028C	augustus_masked-scf7180000049582-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.46&CDS=1-318
540	OG0000540	YBL029C-A	snap_masked-scf7180000049582-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-0.17&CDS=1-264
541	OG0000541	YBL029W	snap_masked-scf7180000049582-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-0.2&CDS=1-1095
542	OG0000542	YBL030C	augustus_masked-scf7180000049580-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.70&CDS=1-915
543	OG0000543	YBL033C	augustus_masked-scf7180000049554-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049554-processed-gene-0.1&CDS=1-891
544	OG0000544	YBL035C	snap_masked-scf7180000049554-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000049554-processed-gene-0.4&CDS=1-1995
545	OG0000545	YBL036C	augustus_masked-scf7180000049580-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.68&CDS=1-759
546	OG0000546	YBL037W	augustus_masked-scf7180000049506-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000049506-processed-gene-0.4&CDS=1-3126
547	OG0000547	YBL038W	augustus_masked-scf7180000049506-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049506-processed-gene-0.3&CDS=1-663
548	OG0000548	YBL039C	augustus_masked-scf7180000049588-processed-gene-3.62-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.62&CDS=1-1737
549	OG0000549	YBL040C	augustus_masked-scf7180000049588-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.63&CDS=1-660
550	OG0000550	YBL041W	augustus_masked-scf7180000049588-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.77&CDS=1-723
551	OG0000551	YBL043W	snap_masked-scf7180000049588-processed-gene-3.39-mRNA-1_1&gene=snap_masked-scf7180000049588-processed-gene-3.39&CDS=1-498
552	OG0000552	YBL045C	augustus_masked-scf7180000049588-processed-gene-3.64-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.64&CDS=1-1293
553	OG0000553	YBL046W	augustus_masked-scf7180000049588-processed-gene-3.79-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.79&CDS=1-1866
554	OG0000554	YBL047C	augustus_masked-scf7180000049588-processed-gene-3.81-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.81&CDS=1-3816
555	OG0000555	YBL049W	augustus_masked-scf7180000049501-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-scf7180000049501-processed-gene-0.42&CDS=1-540
556	OG0000556	YBL050W	augustus_masked-scf7180000049588-processed-gene-3.65-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-3.65&CDS=1-876
557	OG0000557	YBL051C	snap_masked-scf7180000049491-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000049491-processed-gene-0.44&CDS=1-2082
558	OG0000558	YBL055C	augustus_masked-scf7180000049491-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.85&CDS=1-1131
559	OG0000559	YBL056W	augustus_masked-scf7180000049464-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000049464-processed-gene-0.44&CDS=1-1368
560	OG0000560	YBL057C	augustus_masked-scf7180000049491-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.84&CDS=1-588
561	OG0000561	YBL058W	augustus_masked-scf7180000049491-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.63&CDS=1-1206
562	OG0000562	YBL059C-A	genemark-scf7180000049491-processed-gene-0.124-mRNA-1_1&gene=genemark-scf7180000049491-processed-gene-0.124&CDS=1-330
563	OG0000563	YBL059W	maker-scf7180000049491-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000049491-snap-gene-0.1&CDS=1-324
564	OG0000564	YBL060W	augustus_masked-scf7180000049491-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.62&CDS=1-2460
565	OG0000565	YBL061C	augustus_masked-scf7180000049491-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.82&CDS=1-1941
566	OG0000566	YBL063W	augustus_masked-scf7180000049491-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.61&CDS=1-3654
567	OG0000567	YBL066C	augustus_masked-scf7180000049491-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.81&CDS=1-3438
568	OG0000568	YBL071W-A	augustus_masked-scf7180000049491-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.59&CDS=1-240
569	OG0000569	YBL076C	augustus_masked-scf7180000049491-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.77&CDS=1-3216
570	OG0000570	YBL078C	augustus_masked-scf7180000049491-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.75&CDS=1-354
571	OG0000571	YBL079W	maker-scf7180000049491-augustus-gene-0.45-mRNA-1_1&gene=maker-scf7180000049491-augustus-gene-0.45&CDS=1-4482
572	OG0000572	YBL080C	augustus_masked-scf7180000049491-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.74&CDS=1-1632
573	OG0000573	YBL082C	augustus_masked-scf7180000049491-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.55&CDS=1-1380
574	OG0000574	YBL084C	augustus_masked-scf7180000049491-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-scf7180000049491-processed-gene-0.73&CDS=1-2412
575	OG0000575	YBL086C	augustus_masked-scf7180000049574-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.129&CDS=1-1434
576	OG0000576	YBL088C	snap_masked-scf7180000049574-processed-gene-1.32-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-1.32&CDS=1-1767
577	OG0000577	YBL090W	snap_masked-scf7180000049532-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scf7180000049532-processed-gene-0.69&CDS=1-561
578	OG0000578	YBL091C	augustus_masked-scf7180000049532-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049532-processed-gene-0.7&CDS=1-1254
579	OG0000579	YBL092W	augustus_masked-scf7180000049574-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.110&CDS=1-393
580	OG0000580	YBL093C	augustus_masked-scf7180000049574-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.124&CDS=1-591
581	OG0000581	YBL098W	augustus_masked-scf7180000049574-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.109&CDS=1-4137
582	OG0000582	YBL099W	augustus_masked-scf7180000049574-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.108&CDS=1-1641
583	OG0000583	YBL101C	augustus_masked-scf7180000049574-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.123&CDS=1-3084
584	OG0000584	YBL102W	augustus_masked-scf7180000049574-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.107&CDS=1-639
585	OG0000585	YBL103C	augustus_masked-scf7180000049574-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.122&CDS=1-1527
586	OG0000586	YBL105C	genemark-scf7180000049574-processed-gene-1.64-mRNA-1_1&gene=genemark-scf7180000049574-processed-gene-1.64&CDS=1-6507
587	OG0000587	YBR002C	augustus_masked-scf7180000049582-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.107&CDS=1-846
588	OG0000588	YBR003W	genemark-scf7180000049582-processed-gene-1.81-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-1.81&CDS=1-1608
589	OG0000589	YBR004C	augustus_masked-scf7180000049590-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.93&CDS=1-1419
590	OG0000590	YBR006W	augustus_masked-scf7180000049590-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.112&CDS=1-1491
591	OG0000591	YBR007C	augustus_masked-scf7180000049590-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.92&CDS=1-2703
592	OG0000592	YBR011C	augustus_masked-scf7180000049582-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.105&CDS=1-861
593	OG0000593	YBR012C	augustus_masked-scf7180000049552-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-scf7180000049552-processed-gene-0.27&CDS=1-711
594	OG0000594	YBR017C	augustus_masked-scf7180000049533-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049533-processed-gene-0.10&CDS=1-2763
595	OG0000595	YBR018C	augustus_masked-scf7180000049582-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.54&CDS=1-1095
596	OG0000596	YBR019C	augustus_masked-scf7180000049590-processed-gene-0.117-mRNA-1_1&gene=augustus_masked-scf7180000049590-processed-gene-0.117&CDS=1-2082
597	OG0000597	YBR020W	augustus_masked-scf7180000049582-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.19&CDS=1-1548
598	OG0000598	YBR025C	augustus_masked-scf7180000049582-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.56&CDS=1-1179
599	OG0000599	YBR026C	genemark-scf7180000049582-processed-gene-2.128-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-2.128&CDS=1-1269
600	OG0000600	YBR028C	augustus_masked-scf7180000049582-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.101&CDS=1-1647
601	OG0000601	YBR029C	augustus_masked-scf7180000049582-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.100&CDS=1-1305
602	OG0000602	YBR030W	augustus_masked-scf7180000049582-processed-gene-1.116-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.116&CDS=1-1755
603	OG0000603	YBR034C	augustus_masked-scf7180000049484-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.18&CDS=1-1044
604	OG0000604	YBR035C	augustus_masked-scf7180000049484-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.19&CDS=1-672
605	OG0000605	YBR036C	augustus_masked-scf7180000049582-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.23&CDS=1-1242
606	OG0000606	YBR038W	augustus_masked-scf7180000049582-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.55&CDS=1-3405
607	OG0000607	YBR039W	augustus_masked-scf7180000049484-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.14&CDS=1-888
608	OG0000608	YBR040W	snap_masked-scf7180000049484-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000049484-processed-gene-0.29&CDS=1-897
609	OG0000609	YBR041W	snap_masked-scf7180000049484-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000049484-processed-gene-0.30&CDS=1-1965
610	OG0000610	YBR042C	augustus_masked-scf7180000049484-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.20&CDS=1-1188
611	OG0000611	YBR053C	snap_masked-scf7180000049484-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000049484-processed-gene-0.40&CDS=1-1002
612	OG0000612	YBR055C	augustus_masked-scf7180000049582-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-1.85&CDS=1-2706
613	OG0000613	YBR056W	augustus_masked-scf7180000049574-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.115&CDS=1-1455
614	OG0000614	YBR057C	augustus_masked-scf7180000049484-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000049484-processed-gene-0.17&CDS=1-582
615	OG0000615	YBR058C	augustus_masked-scf7180000049574-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.130&CDS=1-2358
616	OG0000616	YBR058C-A	snap_masked-scf7180000049574-processed-gene-1.39-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-1.39&CDS=1-264
617	OG0000617	YBR060C	snap_masked-scf7180000049574-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scf7180000049574-processed-gene-1.41&CDS=1-1932
618	OG0000618	YBR061C	maker-scf7180000049574-augustus-gene-1.142-mRNA-1_1&gene=maker-scf7180000049574-augustus-gene-1.142&CDS=1-1902
619	OG0000619	YBR065C	maker-scf7180000049574-augustus-gene-1.143-mRNA-1_1&gene=maker-scf7180000049574-augustus-gene-1.143&CDS=1-1527
620	OG0000620	YBR067C	augustus_masked-scf7180000049574-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-scf7180000049574-processed-gene-1.113&CDS=1-675
621	OG0000621	YBR070C	augustus_masked-scf7180000049582-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.51&CDS=1-726
622	OG0000622	YBR071W	augustus_masked-scf7180000049582-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.40&CDS=1-669
623	OG0000623	YBR072W	augustus_masked-scf7180000049582-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.41&CDS=1-633
624	OG0000624	YBR073W	genemark-scf7180000049448-processed-gene-0.59-mRNA-1_1&gene=genemark-scf7180000049448-processed-gene-0.59&CDS=1-2979
625	OG0000625	YBR074W	genemark-scf7180000049448-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000049448-processed-gene-0.58&CDS=1-2805
626	OG0000626	YBR076W	snap_masked-scf7180000049448-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scf7180000049448-processed-gene-0.93&CDS=1-870
627	OG0000627	YBR077C	augustus_masked-scf7180000049448-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.10&CDS=1-504
628	OG0000628	YBR078W	augustus_masked-scf7180000049448-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.24&CDS=1-1281
629	OG0000629	YBR079C	augustus_masked-scf7180000049448-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.9&CDS=1-2892
630	OG0000630	YBR080C	augustus_masked-scf7180000049448-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.8&CDS=1-2283
631	OG0000631	YBR081C	augustus_masked-scf7180000049448-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000049448-processed-gene-0.7&CDS=1-3918
632	OG0000632	YBR082C	augustus_masked-scf7180000049582-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-0.34&CDS=1-441
633	OG0000633	YBR085C-A	snap_masked-scf7180000049580-processed-gene-0.210-mRNA-1_1&gene=snap_masked-scf7180000049580-processed-gene-0.210&CDS=1-252
634	OG0000634	YBR086C	augustus_masked-scf7180000049580-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.35&CDS=1-2760
635	OG0000635	YBR087W	augustus_masked-scf7180000049506-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000049506-processed-gene-0.11&CDS=1-1068
636	OG0000636	YBR088C	augustus_masked-scf7180000049580-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.34&CDS=1-777
637	OG0000637	YBR091C	augustus_masked-scf7180000049580-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.32&CDS=1-318
638	OG0000638	YBR094W	augustus_masked-scf7180000049580-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.66&CDS=1-2235
639	OG0000639	YBR095C	augustus_masked-scf7180000049580-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-scf7180000049580-processed-gene-0.31&CDS=1-1155
640	OG0000640	YBR097W	maker-scf7180000049580-augustus-gene-0.79-mRNA-1_1&gene=maker-scf7180000049580-augustus-gene-0.79&CDS=1-5013
641	OG0000641	YBR098W	augustus_masked-scf7180000049556-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049556-processed-gene-0.0&CDS=1-2136
642	OG0000642	YBR101C	snap_masked-scf7180000049556-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scf7180000049556-processed-gene-0.66&CDS=1-870
643	OG0000643	YBR102C	snap_masked-scf7180000049556-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scf7180000049556-processed-gene-0.67&CDS=1-2505
644	OG0000644	YBR105C	augustus_masked-scf7180000049543-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.28&CDS=1-969
645	OG0000645	YBR106W	snap_masked-scf7180000049490-processed-gene-0.129-mRNA-1_1&gene=snap_masked-scf7180000049490-processed-gene-0.129&CDS=1-561
646	OG0000646	YBR109C	augustus_masked-scf7180000049543-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.30&CDS=1-441
647	OG0000647	YBR110W	augustus_masked-scf7180000049543-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.21&CDS=1-1350
648	OG0000648	YBR111C	augustus_masked-scf7180000049543-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.32&CDS=1-633
649	OG0000649	YBR111W-A	augustus_masked-scf7180000049543-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.22&CDS=1-213
650	OG0000650	YBR112C	maker-scf7180000049535-augustus-gene-0.22-mRNA-1_1&gene=maker-scf7180000049535-augustus-gene-0.22&CDS=1-3174
651	OG0000651	YBR114W	augustus_masked-scf7180000049543-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.23&CDS=1-2331
652	OG0000652	YBR115C	augustus_masked-scf7180000049543-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.33&CDS=1-4143
653	OG0000653	YBR119W	augustus_masked-scf7180000049489-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.47&CDS=1-891
654	OG0000654	YBR120C	augustus_masked-scf7180000049489-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.68&CDS=1-489
655	OG0000655	YBR121C	augustus_masked-scf7180000049489-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.69&CDS=1-1983
656	OG0000656	YBR123C	augustus_masked-scf7180000049489-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.70&CDS=1-2502
657	OG0000657	YBR126C	augustus_masked-scf7180000049489-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.71&CDS=1-2559
658	OG0000658	YBR127C	snap_masked-scf7180000049489-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000049489-processed-gene-0.30&CDS=1-1545
659	OG0000659	YBR130C	snap_masked-scf7180000049489-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000049489-processed-gene-0.31&CDS=1-1488
660	OG0000660	YBR131W	augustus_masked-scf7180000049489-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.49&CDS=1-1962
661	OG0000661	YBR132C	snap_masked-scf7180000049489-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000049489-processed-gene-0.33&CDS=1-1827
662	OG0000662	YBR133C	genemark-scf7180000049489-processed-gene-0.118-mRNA-1_1&gene=genemark-scf7180000049489-processed-gene-0.118&CDS=1-2271
663	OG0000663	YBR135W	augustus_masked-scf7180000049489-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.50&CDS=1-369
664	OG0000664	YBR136W	augustus_masked-scf7180000049489-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scf7180000049489-processed-gene-0.51&CDS=1-7266
665	OG0000665	YBR137W	augustus_masked-scf7180000049582-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.39&CDS=1-531
666	OG0000666	YBR138C	maker-scf7180000049582-snap-gene-2.168-mRNA-1_1&gene=maker-scf7180000049582-snap-gene-2.168&CDS=1-1320
667	OG0000667	YBR139W	augustus_masked-scf7180000049582-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.41&CDS=1-1497
668	OG0000668	YBR141C	augustus_masked-scf7180000049582-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.70&CDS=1-990
669	OG0000669	YBR142W	augustus_masked-scf7180000049582-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.42&CDS=1-2223
670	OG0000670	YBR143C	augustus_masked-scf7180000049582-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.71&CDS=1-1320
671	OG0000671	YBR146W	augustus_masked-scf7180000049582-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.44&CDS=1-882
672	OG0000672	YBR149W	genemark-scf7180000049582-processed-gene-2.151-mRNA-1_1&gene=genemark-scf7180000049582-processed-gene-2.151&CDS=1-966
673	OG0000673	YBR151W	augustus_masked-scf7180000049582-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.73&CDS=1-969
674	OG0000674	YBR152W	snap_masked-scf7180000049582-processed-gene-2.240-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.240&CDS=1-501
675	OG0000675	YBR153W	snap_masked-scf7180000049582-processed-gene-2.239-mRNA-1_1&gene=snap_masked-scf7180000049582-processed-gene-2.239&CDS=1-750
676	OG0000676	YBR154C	augustus_masked-scf7180000049582-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-scf7180000049582-processed-gene-2.45&CDS=1-645
677	OG0000677	YBR155W	augustus_masked-scf7180000049538-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.93&CDS=1-1134
678	OG0000678	YBR156C	augustus_masked-scf7180000049538-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.69&CDS=1-1923
679	OG0000679	YBR157C	snap_masked-scf7180000049538-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scf7180000049538-processed-gene-1.119&CDS=1-675
680	OG0000680	YBR158W	augustus_masked-scf7180000049538-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-scf7180000049538-processed-gene-1.92&CDS=1-1581
681	OG0000681	YBR160W	maker-scf7180000049538-snap-gene-1.168-mRNA-1_1&gene=maker-scf7180000049538-snap-gene-1.168&CDS=1-1845
682	OG0000682	YBR162C	maker-scf7180000049538-augustus-gene-1.55-mRNA-1_1&gene=maker-scf7180000049538-augustus-gene-1.55&CDS=1-1485
683	OG0000683	YBR163W	snap_masked-scf7180000049538-processed-gene-1.141-mRNA-1_1&gene=snap_masked-scf7180000049538-processed-gene-1.141&CDS=1-1659
684	OG0000684	YBR164C	snap_masked-scf7180000049580-processed-gene-0.217-mRNA-1_1&gene=snap_masked-scf7180000049580-processed-gene-0.217&CDS=1-549
