	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034646_Wickerhamiella_cacticola
344	OG0000344	YJL005W	genemark-flattened_line_6-processed-gene-3.142-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.142&CDS=1-4281, snap_masked-flattened_line_6-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.17&CDS=1-4281
345	OG0000345	YJL006C	genemark-flattened_line_9-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.39&CDS=1-774, genemark-flattened_line_9-processed-gene-3.18-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.18&CDS=1-774
346	OG0000346	YJL025W	augustus_masked-flattened_line_36-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.99&CDS=1-2127, snap_masked-flattened_line_52-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.56&CDS=1-1041
347	OG0000347	YJL026W	genemark-flattened_line_9-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.10&CDS=1-1221, genemark-flattened_line_9-processed-gene-3.53-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.53&CDS=1-1221
348	OG0000348	YJL079C, YKR013W	genemark-flattened_line_7-processed-gene-2.48-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-2.48&CDS=1-894
349	OG0000349	YJL084C, YKR021W	genemark-flattened_line_46-processed-gene-0.204-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.204&CDS=1-2154
350	OG0000350	YJL105W, YKR029C	genemark-flattened_line_96-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.39&CDS=1-1071
351	OG0000351	YJL112W, YKR036C	genemark-flattened_line_122-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.18&CDS=1-1539
352	OG0000352	YJL129C, YKR050W	genemark-flattened_line_52-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.87&CDS=1-2391
353	OG0000353	YJL133W, YKR052C	genemark-flattened_line_26-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.91&CDS=1-876
354	OG0000354	YJL134W, YKR053C	genemark-flattened_line_40-processed-gene-0.244-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.244&CDS=1-1263
355	OG0000355	YJL136C, YKR057W	augustus_masked-flattened_line_16-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-2.12&CDS=1-261
356	OG0000356	YJL137C, YKR058W	genemark-flattened_line_24-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.64&CDS=1-1032
357	OG0000357	YJL138C, YKR059W	genemark-flattened_line_18-processed-gene-1.218-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.218&CDS=1-1182
358	OG0000358	YJL177W, YKL180W	genemark-flattened_line_98-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.77&CDS=1-552
359	OG0000359	YJL190C, YLR367W	maker-flattened_line_24-augustus-gene-1.0-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.0&CDS=1-456
360	OG0000360	YJR091C, YPR042C	augustus_masked-flattened_line_72-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.97&CDS=1-1566
361	OG0000361	YJR094W-A, YPR043W	augustus_masked-flattened_line_0-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.18&CDS=1-276
362	OG0000362	YJR107W	augustus_masked-flattened_line_36-processed-gene-1.99-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.99&CDS=1-1896, snap_masked-flattened_line_118-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.58&CDS=1-390
363	OG0000363	YJR126C	genemark-flattened_line_156-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_156-processed-gene-0.15&CDS=1-2160, genemark-flattened_line_4-processed-gene-2.125-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.125&CDS=1-2178
364	OG0000364	YJR127C, YML081W	genemark-flattened_line_24-processed-gene-1.37-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.37&CDS=1-2745
365	OG0000365	YJR130C, YML082W	genemark-flattened_line_44-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.93&CDS=1-1638
366	OG0000366	YKL028W	genemark-flattened_line_9-processed-gene-1.139-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-1.139&CDS=1-1053, genemark-flattened_line_9-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.116&CDS=1-1053
367	OG0000367	YKL068W, YMR047C	genemark-flattened_line_4-processed-gene-3.112-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.112&CDS=1-3018
368	OG0000368	YKL072W, YMR053C	genemark-flattened_line_52-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.81&CDS=1-2061
369	OG0000369	YKL081W, YPL048W	genemark-flattened_line_20-processed-gene-0.157-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.157&CDS=1-492
370	OG0000370	YKL092C	augustus_masked-flattened_line_6-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.135&CDS=1-2403, augustus_masked-flattened_line_6-processed-gene-4.98-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.98&CDS=1-2403
371	OG0000371	YKL108W	augustus_masked-flattened_line_6-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.9&CDS=1-747, snap_masked-flattened_line_6-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.53&CDS=1-747
372	OG0000372	YKL114C	genemark-flattened_line_6-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.38&CDS=1-1056, genemark-flattened_line_6-processed-gene-4.29-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.29&CDS=1-1056
373	OG0000373	YKL121W, YMR102C	snap_masked-flattened_line_2-processed-gene-4.56-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.56&CDS=1-1053
374	OG0000374	YKL132C, YMR113W	genemark-flattened_line_0-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.79&CDS=1-1155
375	OG0000375	YKL133C, YMR115W	genemark-flattened_line_14-processed-gene-1.27-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.27&CDS=1-1371
376	OG0000376	YKL141W, YMR118C	genemark-flattened_line_14-processed-gene-1.24-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.24&CDS=1-519
377	OG0000377	YKL167C	genemark-flattened_line_9-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.17&CDS=1-390, genemark-flattened_line_9-processed-gene-3.46-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.46&CDS=1-390
378	OG0000378	YKL191W	genemark-flattened_line_9-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.14&CDS=1-1380, genemark-flattened_line_9-processed-gene-3.49-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.49&CDS=1-1380
379	OG0000379	YKR034W	genemark-flattened_line_140-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.24&CDS=1-360, genemark-flattened_line_78-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.97&CDS=1-1023
380	OG0000380	YKR070W	genemark-flattened_line_0-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.78&CDS=1-930, genemark-flattened_line_100-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.12&CDS=1-1092
381	OG0000381	YKR089C, YOR081C	snap_masked-flattened_line_62-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.93&CDS=1-1638
382	OG0000382	YLL012W, YLR020C	snap_masked-flattened_line_66-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.106&CDS=1-1284
383	OG0000383	YLL016W, YLR310C	snap_masked-flattened_line_2-processed-gene-2.8-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.8&CDS=1-2289
384	OG0000384	YLL021W	genemark-flattened_line_6-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.125&CDS=1-4674, genemark-flattened_line_6-processed-gene-3.114-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.114&CDS=1-4674
385	OG0000385	YLL028W	genemark-flattened_line_40-processed-gene-0.218-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.218&CDS=1-1743, genemark-flattened_line_66-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.25&CDS=1-1776
386	OG0000386	YLL029W	genemark-flattened_line_14-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.21&CDS=1-1863, genemark-flattened_line_92-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.89&CDS=1-1740
387	OG0000387	YLL040C	augustus_masked-flattened_line_6-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.68&CDS=1-9087, augustus_masked-flattened_line_6-processed-gene-4.75-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.75&CDS=1-9087
388	OG0000388	YLL057C	genemark-flattened_line_10-processed-gene-1.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.91&CDS=1-1206, genemark-flattened_line_84-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.103&CDS=1-1290
389	OG0000389	YLR016C	snap_masked-flattened_line_118-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.51&CDS=1-252, snap_masked-flattened_line_28-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.68&CDS=1-567
390	OG0000390	YLR029C, YMR121C	maker-flattened_line_44-augustus-gene-0.95-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.95&CDS=1-930
391	OG0000391	YLR039C	snap_masked-flattened_line_9-processed-gene-2.1-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.1&CDS=1-1182, snap_masked-flattened_line_9-processed-gene-2.34-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.34&CDS=1-1182
392	OG0000392	YLR045C	snap_masked-flattened_line_6-processed-gene-2.57-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.57&CDS=1-2373, snap_masked-flattened_line_6-processed-gene-3.73-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.73&CDS=1-2373
393	OG0000393	YLR074C	genemark-flattened_line_6-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.92&CDS=1-477, genemark-flattened_line_6-processed-gene-4.10-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.10&CDS=1-477
394	OG0000394	YLR109W	genemark-flattened_line_84-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.97&CDS=1-501, genemark-flattened_line_96-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.43&CDS=1-522
395	OG0000395	YLR113W	genemark-flattened_line_9-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.25&CDS=1-1044, genemark-flattened_line_9-processed-gene-3.32-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.32&CDS=1-1044
396	OG0000396	YLR189C	snap_masked-flattened_line_9-processed-gene-1.52-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-1.52&CDS=1-4107, snap_masked-flattened_line_9-processed-gene-3.71-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.71&CDS=1-4107
397	OG0000397	YLR234W	maker-flattened_line_6-augustus-gene-1.129-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-1.129&CDS=1-2946, maker-flattened_line_6-augustus-gene-4.0-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-4.0&CDS=1-2946
398	OG0000398	YLR240W	genemark-flattened_line_6-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.131&CDS=1-2478, genemark-flattened_line_6-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.100&CDS=1-2478
399	OG0000399	YLR264W, YOR167C	augustus_masked-flattened_line_20-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.140&CDS=1-201
400	OG0000400	YLR270W, YOR173W	maker-flattened_line_2-augustus-gene-4.289-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.289&CDS=1-1260
401	OG0000401	YLR287C-A, YOR182C	genemark-flattened_line_2-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.23&CDS=1-201
402	OG0000402	YLR293C, YOR185C	genemark-flattened_line_4-processed-gene-2.119-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.119&CDS=1-642
403	OG0000403	YLR299W	genemark-flattened_line_6-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.39&CDS=1-1824, genemark-flattened_line_6-processed-gene-4.28-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.28&CDS=1-1824
404	OG0000404	YLR312W-A	genemark-flattened_line_6-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.126&CDS=1-588, genemark-flattened_line_6-processed-gene-3.113-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.113&CDS=1-588
405	OG0000405	YLR351C	genemark-flattened_line_6-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.99&CDS=1-834, genemark-flattened_line_6-processed-gene-3.143-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.143&CDS=1-834
406	OG0000406	YLR355C	genemark-flattened_line_6-processed-gene-2.115-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.115&CDS=1-1185, genemark-flattened_line_6-processed-gene-2.144-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.144&CDS=1-1185
407	OG0000407	YLR389C	maker-flattened_line_9-augustus-gene-2.153-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-2.153&CDS=1-3849, maker-flattened_line_9-augustus-gene-2.154-mRNA-1_1&gene=maker-flattened_line_9-augustus-gene-2.154&CDS=1-3849
408	OG0000408	YLR414C	augustus_masked-flattened_line_124-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.36&CDS=1-846, augustus_masked-flattened_line_4-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.9&CDS=1-798
409	OG0000409	YLR417W	augustus_masked-flattened_line_6-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.36&CDS=1-1362, snap_masked-flattened_line_6-processed-gene-1.18-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.18&CDS=1-1362
410	OG0000410	YLR441C, YML063W	maker-flattened_line_40-augustus-gene-0.326-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.326&CDS=1-1572
411	OG0000411	YLR449W, YML074C	genemark-flattened_line_14-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.33&CDS=1-1095
412	OG0000412	YLR450W, YML075C	genemark-flattened_line_14-processed-gene-1.26-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.26&CDS=1-2817
413	OG0000413	YLR452C	snap_masked-flattened_line_9-processed-gene-2.32-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.32&CDS=1-1458, snap_masked-flattened_line_9-processed-gene-2.6-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.6&CDS=1-1458
414	OG0000414	YML064C	genemark-flattened_line_6-processed-gene-2.126-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.126&CDS=1-627, genemark-flattened_line_6-processed-gene-2.133-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.133&CDS=1-627
415	OG0000415	YML100W, YMR261C	snap_masked-flattened_line_30-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.137&CDS=1-2586
416	OG0000416	YML106W, YMR271C	genemark-flattened_line_64-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.93&CDS=1-642
417	OG0000417	YML116W, YMR279C	genemark-flattened_line_4-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.131&CDS=1-1497
418	OG0000418	YMR009W	snap_masked-flattened_line_6-processed-gene-2.72-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.72&CDS=1-1416, snap_masked-flattened_line_6-processed-gene-2.84-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.84&CDS=1-1416
419	OG0000419	YMR041C	augustus_masked-flattened_line_9-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.66&CDS=1-2286, augustus_masked-flattened_line_9-processed-gene-3.142-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.142&CDS=1-2286
420	OG0000420	YMR058W	genemark-flattened_line_18-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.123&CDS=1-1809, genemark-flattened_line_72-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.7&CDS=1-1902
421	OG0000421	YMR074C	genemark-flattened_line_9-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.109&CDS=1-390, genemark-flattened_line_9-processed-gene-2.130-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.130&CDS=1-390
422	OG0000422	YMR080C	genemark-flattened_line_6-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.34&CDS=1-2421, genemark-flattened_line_6-processed-gene-4.33-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.33&CDS=1-2421
423	OG0000423	YMR093W	genemark-flattened_line_6-processed-gene-2.98-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.98&CDS=1-1503, genemark-flattened_line_6-processed-gene-3.132-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.132&CDS=1-1503
424	OG0000424	YMR098C	genemark-flattened_line_6-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.99&CDS=1-1443, snap_masked-flattened_line_6-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.77&CDS=1-1815
425	OG0000425	YMR110C	genemark-flattened_line_140-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.19&CDS=1-1548, genemark-flattened_line_72-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.23&CDS=1-1551
426	OG0000426	YMR155W	genemark-flattened_line_6-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.109&CDS=1-1056, genemark-flattened_line_6-processed-gene-4.11-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.11&CDS=1-1056
427	OG0000427	YMR169C, YMR170C	genemark-flattened_line_12-processed-gene-2.27-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.27&CDS=1-1479
428	OG0000428	YMR177W, YPL224C	genemark-flattened_line_26-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.99&CDS=1-822
429	OG0000429	YMR182C, YPL230W	genemark-flattened_line_22-processed-gene-1.225-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.225&CDS=1-744
430	OG0000430	YMR190C	augustus_masked-flattened_line_6-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.25&CDS=1-6027, augustus_masked-flattened_line_6-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.41&CDS=1-6027
431	OG0000431	YMR194W, YPL249C-A	genemark-flattened_line_4-processed-gene-4.67-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.67&CDS=1-309
432	OG0000432	YMR211W	genemark-flattened_line_6-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.5&CDS=1-1212, genemark-flattened_line_6-processed-gene-4.65-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.65&CDS=1-1212
433	OG0000433	YMR214W	genemark-flattened_line_6-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.27&CDS=1-1047, genemark-flattened_line_6-processed-gene-4.40-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.40&CDS=1-1047
434	OG0000434	YMR230W, YOR293W	augustus_masked-flattened_line_14-processed-gene-2.35-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.35&CDS=1-354
435	OG0000435	YMR242C, YOR312C	genemark-flattened_line_24-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.20&CDS=1-513
436	OG0000436	YMR244C-A	genemark-flattened_line_6-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.45&CDS=1-303, genemark-flattened_line_6-processed-gene-4.22-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.22&CDS=1-303
437	OG0000437	YMR247C	augustus_masked-flattened_line_0-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.107&CDS=1-2223, snap_masked-flattened_line_74-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.51&CDS=1-3840
438	OG0000438	YMR253C, YPL264C	snap_masked-flattened_line_112-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.36&CDS=1-942
439	OG0000439	YMR260C	genemark-flattened_line_6-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.30&CDS=1-570, genemark-flattened_line_6-processed-gene-4.37-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.37&CDS=1-570
440	OG0000440	YMR272C	genemark-flattened_line_9-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.4&CDS=1-1026, genemark-flattened_line_9-processed-gene-3.59-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.59&CDS=1-1026
441	OG0000441	YMR281W	genemark-flattened_line_9-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.3&CDS=1-801, genemark-flattened_line_9-processed-gene-3.60-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.60&CDS=1-801
442	OG0000442	YMR315W	genemark-flattened_line_9-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.40&CDS=1-1026, genemark-flattened_line_9-processed-gene-3.17-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.17&CDS=1-1026
443	OG0000443	YNL071W	genemark-flattened_line_6-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.36&CDS=1-1347, genemark-flattened_line_6-processed-gene-4.31-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.31&CDS=1-1347
444	OG0000444	YNL072W	genemark-flattened_line_6-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.37&CDS=1-831, genemark-flattened_line_6-processed-gene-4.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.30&CDS=1-831
445	OG0000445	YNL075W	genemark-flattened_line_6-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.10&CDS=1-849, genemark-flattened_line_6-processed-gene-4.60-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.60&CDS=1-849
446	OG0000446	YNL087W, YOR086C	genemark-flattened_line_54-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.32&CDS=1-4905
447	OG0000447	YNL091W	augustus_masked-flattened_line_9-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.18&CDS=1-1605, augustus_masked-flattened_line_9-processed-gene-2.87-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.87&CDS=1-1605
448	OG0000448	YNL095C, YOR092W	genemark-flattened_line_12-processed-gene-2.24-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.24&CDS=1-1596
449	OG0000449	YNL096C, YOR096W	genemark-flattened_line_96-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.36&CDS=1-579
450	OG0000450	YNL104C, YOR108W	genemark-flattened_line_14-processed-gene-1.12-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.12&CDS=1-1722
451	OG0000451	YNL106C, YOR109W	genemark-flattened_line_30-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.49&CDS=1-1776
452	OG0000452	YNL108C, YOR110W	genemark-flattened_line_96-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.42&CDS=1-1290
453	OG0000453	YNL124W	genemark-flattened_line_6-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.96&CDS=1-1089, genemark-flattened_line_6-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.146&CDS=1-1089
454	OG0000454	YNL200C	genemark-flattened_line_9-processed-gene-2.101-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.101&CDS=1-471, genemark-flattened_line_9-processed-gene-2.113-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.113&CDS=1-471
455	OG0000455	YNL201C	snap_masked-flattened_line_6-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.71&CDS=1-2112, snap_masked-flattened_line_6-processed-gene-2.85-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.85&CDS=1-2112
456	OG0000456	YNL202W	genemark-flattened_line_9-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.37&CDS=1-870, genemark-flattened_line_9-processed-gene-3.20-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.20&CDS=1-870
457	OG0000457	YNL229C	genemark-flattened_line_6-processed-gene-2.119-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.119&CDS=1-876, genemark-flattened_line_6-processed-gene-2.140-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.140&CDS=1-876
458	OG0000458	YNL267W	genemark-flattened_line_9-processed-gene-2.107-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.107&CDS=1-2448, genemark-flattened_line_9-processed-gene-2.132-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.132&CDS=1-2448
459	OG0000459	YNL272C	augustus_masked-flattened_line_9-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.53&CDS=1-1212, augustus_masked-flattened_line_9-processed-gene-3.160-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.160&CDS=1-1212
