	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
634	OG0000634	YBR265W	augustus_masked-flattened_line_16-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.10&CDS=1-948
635	OG0000635	YBR267W	augustus_masked-flattened_line_16-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.11&CDS=1-1302
636	OG0000636	YBR268W	snap_masked-flattened_line_16-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.49&CDS=1-309
637	OG0000637	YBR269C	augustus_masked-flattened_line_16-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.26&CDS=1-465
638	OG0000638	YBR271W	augustus_masked-flattened_line_16-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.35&CDS=1-1080
639	OG0000639	YBR274W	augustus_masked-flattened_line_16-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.16&CDS=1-1662
640	OG0000640	YBR276C	snap_masked-flattened_line_16-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.43&CDS=1-2562
641	OG0000641	YBR279W	augustus_masked-flattened_line_190-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.12&CDS=1-1341
642	OG0000642	YBR281C	snap_masked-flattened_line_190-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_190-processed-gene-0.2&CDS=1-2796
643	OG0000643	YBR286W	augustus_masked-flattened_line_108-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.39&CDS=1-1596
644	OG0000644	YBR290W	snap_masked-flattened_line_58-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.2&CDS=1-1410
645	OG0000645	YCL001W	augustus_masked-flattened_line_170-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.31&CDS=1-624
646	OG0000646	YCL004W	augustus_masked-flattened_line_136-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.29&CDS=1-1458
647	OG0000647	YCL005W-A	augustus_masked-flattened_line_136-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.36&CDS=1-234
648	OG0000648	YCL009C	augustus_masked-flattened_line_68-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.93&CDS=1-903
649	OG0000649	YCL010C	augustus_masked-flattened_line_68-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.111&CDS=1-1308
650	OG0000650	YCL014W	augustus_masked-flattened_line_190-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.13&CDS=1-4494
651	OG0000651	YCL016C	genemark-flattened_line_190-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_190-processed-gene-0.18&CDS=1-1143
652	OG0000652	YCL017C	augustus_masked-flattened_line_142-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.37&CDS=1-1512
653	OG0000653	YCL018W	maker-flattened_line_142-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_142-augustus-gene-0.0&CDS=1-1866
654	OG0000654	YCL027W	augustus_masked-flattened_line_74-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.71&CDS=1-1191
655	OG0000655	YCL029C	augustus_masked-flattened_line_152-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.0&CDS=1-795
656	OG0000656	YCL030C	augustus_masked-flattened_line_152-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.1&CDS=1-2421
657	OG0000657	YCL031C	augustus_masked-flattened_line_152-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.3&CDS=1-1008
658	OG0000658	YCL032W	augustus_masked-flattened_line_152-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.12&CDS=1-963
659	OG0000659	YCL033C	genemark-flattened_line_152-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_152-processed-gene-0.38&CDS=1-507
660	OG0000660	YCL034W	augustus_masked-flattened_line_152-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.14&CDS=1-1134
661	OG0000661	YCL038C	augustus_masked-flattened_line_152-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.7&CDS=1-1839
662	OG0000662	YCL043C	augustus_masked-flattened_line_74-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.62&CDS=1-1611
663	OG0000663	YCL044C	augustus_masked-flattened_line_74-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.61&CDS=1-1344
664	OG0000664	YCL045C	augustus_masked-flattened_line_74-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.60&CDS=1-2292
665	OG0000665	YCL048W	augustus_masked-flattened_line_74-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.42&CDS=1-1362
666	OG0000666	YCL052C	augustus_masked-flattened_line_194-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.13&CDS=1-1338
667	OG0000667	YCL054W	augustus_masked-flattened_line_194-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_194-processed-gene-0.16&CDS=1-2505
668	OG0000668	YCL055W	genemark-flattened_line_194-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_194-processed-gene-0.8&CDS=1-1026
669	OG0000669	YCL057C-A	augustus_masked-flattened_line_184-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.22&CDS=1-252
670	OG0000670	YCL059C	augustus_masked-flattened_line_184-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.23&CDS=1-1110
671	OG0000671	YCR002C	augustus_masked-flattened_line_170-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.20&CDS=1-999
672	OG0000672	YCR003W	augustus_masked-flattened_line_170-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.28&CDS=1-549
673	OG0000673	YCR009C	augustus_masked-flattened_line_40-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.74&CDS=1-792
674	OG0000674	YCR011C	augustus_masked-flattened_line_120-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.3&CDS=1-3045
675	OG0000675	YCR012W	augustus_masked-flattened_line_68-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.107&CDS=1-1251
676	OG0000676	YCR016W	augustus_masked-flattened_line_68-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.106&CDS=1-780
677	OG0000677	YCR017C	genemark-flattened_line_68-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.10&CDS=1-2280
678	OG0000678	YCR019W	augustus_masked-flattened_line_52-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.72&CDS=1-1092
679	OG0000679	YCR024C	augustus_masked-flattened_line_68-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.115&CDS=1-2367
680	OG0000680	YCR028C	augustus_masked-flattened_line_242-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_242-processed-gene-0.5&CDS=1-1533
681	OG0000681	YCR028C-A	augustus_masked-flattened_line_64-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.56&CDS=1-378
682	OG0000682	YCR030C	augustus_masked-flattened_line_64-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.76&CDS=1-2436
683	OG0000683	YCR032W	snap_masked-flattened_line_64-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.102&CDS=1-4497
684	OG0000684	YCR033W	augustus_masked-flattened_line_64-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.61&CDS=1-2664
685	OG0000685	YCR034W	augustus_masked-flattened_line_64-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.62&CDS=1-1011
686	OG0000686	YCR035C	augustus_masked-flattened_line_64-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.81&CDS=1-1092
687	OG0000687	YCR036W	augustus_masked-flattened_line_64-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.63&CDS=1-1092
688	OG0000688	YCR042C	augustus_masked-flattened_line_152-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.16&CDS=1-4704
689	OG0000689	YCR043C	augustus_masked-flattened_line_152-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_152-processed-gene-0.9&CDS=1-540
690	OG0000690	YCR044C	augustus_masked-flattened_line_74-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.47&CDS=1-1149
691	OG0000691	YCR045C	augustus_masked-flattened_line_238-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.7&CDS=1-1473
692	OG0000692	YCR047C	augustus_masked-flattened_line_346-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_346-processed-gene-0.1&CDS=1-669
693	OG0000693	YCR051W	augustus_masked-flattened_line_2-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.45&CDS=1-684
694	OG0000694	YCR053W	augustus_masked-flattened_line_2-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.65&CDS=1-1539
695	OG0000695	YCR054C	augustus_masked-flattened_line_2-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.68&CDS=1-1734
696	OG0000696	YCR057C	augustus_masked-flattened_line_2-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.69&CDS=1-2787
697	OG0000697	YCR059C	augustus_masked-flattened_line_2-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.70&CDS=1-846
698	OG0000698	YCR061W	augustus_masked-flattened_line_2-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.47&CDS=1-1800
699	OG0000699	YCR063W	augustus_masked-flattened_line_2-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.48&CDS=1-459
700	OG0000700	YCR065W	augustus_masked-flattened_line_2-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.49&CDS=1-1821
701	OG0000701	YCR066W	augustus_masked-flattened_line_2-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.50&CDS=1-1311
702	OG0000702	YCR068W	augustus_masked-flattened_line_2-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.52&CDS=1-1170
703	OG0000703	YCR069W	augustus_masked-flattened_line_86-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.41&CDS=1-1077
704	OG0000704	YCR072C	augustus_masked-flattened_line_86-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.61&CDS=1-1545
705	OG0000705	YCR077C	augustus_masked-flattened_line_86-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.63&CDS=1-3129
706	OG0000706	YCR079W	augustus_masked-flattened_line_44-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.73&CDS=1-1410
707	OG0000707	YCR084C	genemark-flattened_line_230-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_230-processed-gene-0.7&CDS=1-1401
708	OG0000708	YCR087C-A	augustus_masked-flattened_line_86-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.55&CDS=1-468
709	OG0000709	YCR088W	genemark-flattened_line_86-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.71&CDS=1-1902
710	OG0000710	YCR090C	augustus_masked-flattened_line_86-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.56&CDS=1-591
711	OG0000711	YCR091W	augustus_masked-flattened_line_86-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.64&CDS=1-2292
712	OG0000712	YCR092C	augustus_masked-flattened_line_86-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.48&CDS=1-2796
713	OG0000713	YCR093W	augustus_masked-flattened_line_86-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.49&CDS=1-6771
714	OG0000714	YCR095C	augustus_masked-flattened_line_86-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.67&CDS=1-1530
715	OG0000715	YDL001W	augustus_masked-flattened_line_206-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_206-processed-gene-0.0&CDS=1-1509
716	OG0000716	YDL004W	augustus_masked-flattened_line_154-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.39&CDS=1-471
717	OG0000717	YDL006W	augustus_masked-flattened_line_104-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.13&CDS=1-984
718	OG0000718	YDL007W	augustus_masked-flattened_line_76-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.71&CDS=1-1395
719	OG0000719	YDL008W	augustus_masked-flattened_line_54-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.154&CDS=1-519
720	OG0000720	YDL013W	augustus_masked-flattened_line_104-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.6&CDS=1-2190
721	OG0000721	YDL014W	augustus_masked-flattened_line_154-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_154-processed-gene-0.29&CDS=1-990
722	OG0000722	YDL018C	augustus_masked-flattened_line_76-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.89&CDS=1-726
723	OG0000723	YDL020C	snap_masked-flattened_line_48-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.27&CDS=1-1458
724	OG0000724	YDL028C	augustus_masked-flattened_line_32-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.209&CDS=1-1602
725	OG0000725	YDL029W	augustus_masked-flattened_line_32-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.175&CDS=1-1179
726	OG0000726	YDL030W	augustus_masked-flattened_line_104-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.1&CDS=1-1668
727	OG0000727	YDL031W	augustus_masked-flattened_line_104-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.0&CDS=1-3057
728	OG0000728	YDL033C	augustus_masked-flattened_line_104-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.12&CDS=1-1314
729	OG0000729	YDL037C, YIR019C	
730	OG0000730	YDL040C	snap_masked-flattened_line_88-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.47&CDS=1-2526
731	OG0000731	YDL043C	augustus_masked-flattened_line_44-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.99&CDS=1-927
732	OG0000732	YDL045C	augustus_masked-flattened_line_48-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.82&CDS=1-882
733	OG0000733	YDL046W	augustus_masked-flattened_line_54-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.155&CDS=1-507
734	OG0000734	YDL047W	augustus_masked-flattened_line_54-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.156&CDS=1-1278
735	OG0000735	YDL052C	augustus_masked-flattened_line_50-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.60&CDS=1-879
736	OG0000736	YDL054C	augustus_masked-flattened_line_84-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.62&CDS=1-1764
737	OG0000737	YDL055C	augustus_masked-flattened_line_0-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.56&CDS=1-1095
738	OG0000738	YDL056W	augustus_masked-flattened_line_0-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.57&CDS=1-2961
739	OG0000739	YDL057W	augustus_masked-flattened_line_0-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.58&CDS=1-2073
740	OG0000740	YDL058W	snap_masked-flattened_line_0-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.74&CDS=1-6357
741	OG0000741	YDL060W	maker-flattened_line_0-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.0&CDS=1-3873
742	OG0000742	YDL063C	augustus_masked-flattened_line_0-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.51&CDS=1-1878
743	OG0000743	YDL064W	augustus_masked-flattened_line_0-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.35&CDS=1-474
744	OG0000744	YDL066W	augustus_masked-flattened_line_10-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.190&CDS=1-1251
745	OG0000745	YDL072C	augustus_masked-flattened_line_20-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.126&CDS=1-600
746	OG0000746	YDL074C	genemark-flattened_line_20-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.48&CDS=1-1848
747	OG0000747	YDL076C	augustus_masked-flattened_line_20-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.149&CDS=1-1059
748	OG0000748	YDL081C	augustus_masked-flattened_line_26-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.203&CDS=1-315
749	OG0000749	YDL084W	augustus_masked-flattened_line_26-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.170&CDS=1-1314
750	OG0000750	YDL090C	genemark-flattened_line_6-processed-gene-1.195-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.195&CDS=1-1323
751	OG0000751	YDL097C	augustus_masked-flattened_line_26-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.163&CDS=1-1371
752	OG0000752	YDL099W	augustus_masked-flattened_line_26-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.197&CDS=1-915
753	OG0000753	YDL100C	augustus_masked-flattened_line_26-processed-gene-0.166-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.166&CDS=1-1080
754	OG0000754	YDL101C	augustus_masked-flattened_line_26-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.168&CDS=1-1554
755	OG0000755	YDL102W	maker-flattened_line_26-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_26-augustus-gene-0.2&CDS=1-3906
756	OG0000756	YDL103C	augustus_masked-flattened_line_26-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.169&CDS=1-1323
757	OG0000757	YDL104C	augustus_masked-flattened_line_56-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.37&CDS=1-1179
758	OG0000758	YDL105W	augustus_masked-flattened_line_6-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.112&CDS=1-1071
759	OG0000759	YDL106C	augustus_masked-flattened_line_6-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.108&CDS=1-1836
760	OG0000760	YDL107W	augustus_masked-flattened_line_6-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.141&CDS=1-1473
761	OG0000761	YDL111C	augustus_masked-flattened_line_216-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.8&CDS=1-825
762	OG0000762	YDL114W	snap_masked-flattened_line_6-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.33&CDS=1-921
763	OG0000763	YDL115C	augustus_masked-flattened_line_6-processed-gene-1.137-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.137&CDS=1-1131
764	OG0000764	YDL116W	snap_masked-flattened_line_6-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.32&CDS=1-2013
765	OG0000765	YDL117W	augustus_masked-flattened_line_6-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.104&CDS=1-2709
766	OG0000766	YDL119C	augustus_masked-flattened_line_6-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.100&CDS=1-888
767	OG0000767	YDL120W	augustus_masked-flattened_line_6-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.98&CDS=1-552
768	OG0000768	YDL122W	augustus_masked-flattened_line_6-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.97&CDS=1-2211
769	OG0000769	YDL123W	augustus_masked-flattened_line_98-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.98&CDS=1-336
770	OG0000770	YDL126C	maker-flattened_line_98-augustus-gene-0.32-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.32&CDS=1-2937
771	OG0000771	YDL128W	augustus_masked-flattened_line_98-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.78&CDS=1-1233
772	OG0000772	YDL130W	maker-flattened_line_98-augustus-gene-0.33-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.33&CDS=1-345
773	OG0000773	YDL131W	augustus_masked-flattened_line_98-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.89&CDS=1-1320
774	OG0000774	YDL132W	augustus_masked-flattened_line_98-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.90&CDS=1-2322
775	OG0000775	YDL133W	augustus_masked-flattened_line_98-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.91&CDS=1-1734
776	OG0000776	YDL135C	augustus_masked-flattened_line_98-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.75&CDS=1-645
777	OG0000777	YDL139C	augustus_masked-flattened_line_98-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.85&CDS=1-1014
778	OG0000778	YDL140C	augustus_masked-flattened_line_98-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.83&CDS=1-4887
779	OG0000779	YDL141W	genemark-flattened_line_24-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.47&CDS=1-2301
780	OG0000780	YDL142C	augustus_masked-flattened_line_24-processed-gene-0.163-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.163&CDS=1-789
781	OG0000781	YDL143W	augustus_masked-flattened_line_24-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.209&CDS=1-1854
782	OG0000782	YDL144C	augustus_masked-flattened_line_24-processed-gene-0.167-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.167&CDS=1-1110
783	OG0000783	YDL145C	augustus_masked-flattened_line_24-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.168&CDS=1-3672
784	OG0000784	YDL147W	augustus_masked-flattened_line_24-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.211&CDS=1-1293
785	OG0000785	YDL148C	augustus_masked-flattened_line_24-processed-gene-0.170-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.170&CDS=1-2421
786	OG0000786	YDL149W	augustus_masked-flattened_line_24-processed-gene-0.212-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.212&CDS=1-2649
787	OG0000787	YDL150W	augustus_masked-flattened_line_24-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.213&CDS=1-1341
788	OG0000788	YDL153C	augustus_masked-flattened_line_24-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.171&CDS=1-1812
789	OG0000789	YDL156W	augustus_masked-flattened_line_240-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.3&CDS=1-1560
790	OG0000790	YDL157C	augustus_masked-flattened_line_240-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.1&CDS=1-336
791	OG0000791	YDL159W	augustus_masked-flattened_line_240-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.4&CDS=1-1683
792	OG0000792	YDL160C	augustus_masked-flattened_line_16-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.64&CDS=1-1419
793	OG0000793	YDL164C	augustus_masked-flattened_line_16-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.68&CDS=1-2064
794	OG0000794	YDL165W	augustus_masked-flattened_line_16-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.70&CDS=1-621
795	OG0000795	YDL167C	augustus_masked-flattened_line_16-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.72&CDS=1-1887
796	OG0000796	YDL168W	augustus_masked-flattened_line_16-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.73&CDS=1-1176
797	OG0000797	YDL171C	augustus_masked-flattened_line_16-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.77&CDS=1-6501
798	OG0000798	YDL177C	augustus_masked-flattened_line_98-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.97&CDS=1-375
799	OG0000799	YDL178W	augustus_masked-flattened_line_98-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.79&CDS=1-1626
