	OrthologID	Metschnikowia_proteae	Saccharomyces_cerevisiae
295	OG0000295	snap_masked-proT_s25-processed-gene-1.15-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-1.15&CDS=1-3216, snap_masked-proT_s32-processed-gene-0.116-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.116&CDS=1-669	YLR148W
296	OG0000296	snap_masked-proT_s25-processed-gene-1.18-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-1.18&CDS=1-942	YCL050C, YDR530C
297	OG0000297	maker-proT_s25-snap-gene-2.107-mRNA-1_1&gene=maker-proT_s25-snap-gene-2.107&CDS=1-390, snap_masked-proT_s97-processed-gene-0.145-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.145&CDS=1-390	YJL190C
298	OG0000298	snap_masked-proT_s25-processed-gene-2.41-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-2.41&CDS=1-3510, snap_masked-proT_s28-processed-gene-1.67-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-1.67&CDS=1-369	YDR440W
299	OG0000299	snap_masked-proT_s25-processed-gene-2.22-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-2.22&CDS=1-336	YDL075W, YLR406C
300	OG0000300	genemark-proT_s25-processed-gene-2.156-mRNA-1_1&gene=genemark-proT_s25-processed-gene-2.156&CDS=1-2121, maker-proT_s62-snap-gene-2.42-mRNA-1_1&gene=maker-proT_s62-snap-gene-2.42&CDS=1-4245	YGL205W
301	OG0000301	snap_masked-proT_s25-processed-gene-2.33-mRNA-1_1&gene=snap_masked-proT_s25-processed-gene-2.33&CDS=1-246, snap_masked-proT_s58-processed-gene-0.39-mRNA-1_1&gene=snap_masked-proT_s58-processed-gene-0.39&CDS=1-1047	YJR062C
302	OG0000302	maker-proT_s28-snap-gene-1.80-mRNA-1_1&gene=maker-proT_s28-snap-gene-1.80&CDS=1-1188	YNL108C, YOR110W
303	OG0000303	maker-proT_s28-augustus-gene-1.38-mRNA-1_1&gene=maker-proT_s28-augustus-gene-1.38&CDS=1-4107	YNL106C, YOR109W
304	OG0000304	snap_masked-proT_s28-processed-gene-2.101-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-2.101&CDS=1-3918	YGR070W, YLR371W
305	OG0000305	snap_masked-proT_s28-processed-gene-2.103-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-2.103&CDS=1-1056	YDL048C, YLR375W
306	OG0000306	snap_masked-proT_s28-processed-gene-3.112-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-3.112&CDS=1-3183	YBL106C, YPR032W
307	OG0000307	snap_masked-proT_s28-processed-gene-3.158-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-3.158&CDS=1-1578	YDL042C, YOL068C
308	OG0000308	snap_masked-proT_s28-processed-gene-4.48-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.48&CDS=1-1653	YIR031C, YNL117W
309	OG0000309	snap_masked-proT_s28-processed-gene-4.49-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.49&CDS=1-639	YBR014C, YDL010W
310	OG0000310	snap_masked-proT_s28-processed-gene-4.53-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.53&CDS=1-465	YBR048W, YDR025W
311	OG0000311	snap_masked-proT_s28-processed-gene-4.93-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.93&CDS=1-2001	YBR216C, YGL060W
312	OG0000312	snap_masked-proT_s28-processed-gene-5.106-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-5.106&CDS=1-1005	YBR273C, YJL048C
313	OG0000313	snap_masked-proT_s28-processed-gene-5.85-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-5.85&CDS=1-591	YBL072C, YER102W
314	OG0000314	snap_masked-proT_s3-processed-gene-0.9-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-0.9&CDS=1-2151	YFL050C, YOL130W
315	OG0000315	snap_masked-proT_s3-processed-gene-0.38-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-0.38&CDS=1-1170	YMR243C, YOR316C
316	OG0000316	genemark-proT_s3-processed-gene-1.108-mRNA-1_1&gene=genemark-proT_s3-processed-gene-1.108&CDS=1-372	YMR230W, YOR293W
317	OG0000317	augustus_masked-proT_s3-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-2.25&CDS=1-1305	YGR141W, YPR157W
318	OG0000318	snap_masked-proT_s3-processed-gene-2.59-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.59&CDS=1-1770	YJR130C, YML082W
319	OG0000319	snap_masked-proT_s3-processed-gene-3.90-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-3.90&CDS=1-1182	YDL088C, YMR153W
320	OG0000320	snap_masked-proT_s3-processed-gene-4.58-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.58&CDS=1-447	YIL111W, YNL052W
321	OG0000321	snap_masked-proT_s3-processed-gene-4.86-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.86&CDS=1-654	YBR242W, YGL101W
322	OG0000322	snap_masked-proT_s3-processed-gene-4.70-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.70&CDS=1-1089	YBR031W, YDR012W
323	OG0000323	snap_masked-proT_s3-processed-gene-4.97-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.97&CDS=1-738	YJL079C, YKR013W
324	OG0000324	snap_masked-proT_s3-processed-gene-4.72-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.72&CDS=1-2568	YJL082W, YKR018C
325	OG0000325	snap_masked-proT_s3-processed-gene-4.74-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.74&CDS=1-2952	YJL105W, YKR029C
326	OG0000326	snap_masked-proT_s3-processed-gene-4.105-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.105&CDS=1-2097	YBR001C, YDR001C
327	OG0000327	snap_masked-proT_s3-processed-gene-4.109-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-4.109&CDS=1-765	YDR272W, YOR040W
328	OG0000328	snap_masked-proT_s3-processed-gene-5.6-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.6&CDS=1-2253	YBL067C, YER098W
329	OG0000329	snap_masked-proT_s3-processed-gene-5.15-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.15&CDS=1-708	YBR181C, YPL090C
330	OG0000330	snap_masked-proT_s3-processed-gene-5.23-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.23&CDS=1-1749	YBR021W, YIR028W
331	OG0000331	augustus_masked-proT_s3-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-5.76&CDS=1-2373	YIL095W, YNL020C
332	OG0000332	snap_masked-proT_s3-processed-gene-6.16-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.16&CDS=1-1971	YCR026C, YEL016C
333	OG0000333	maker-proT_s3-snap-gene-6.45-mRNA-1_1&gene=maker-proT_s3-snap-gene-6.45&CDS=1-3054	YJL098W, YKR028W
334	OG0000334	snap_masked-proT_s3-processed-gene-6.34-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.34&CDS=1-339	YER056C-A, YIL052C
335	OG0000335	snap_masked-proT_s3-processed-gene-6.35-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-6.35&CDS=1-792	YER037W, YGL224C
336	OG0000336	snap_masked-proT_s3-processed-gene-7.38-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.38&CDS=1-348	YER057C, YIL051C
337	OG0000337	snap_masked-proT_s3-processed-gene-7.56-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-7.56&CDS=1-1737	YER054C, YIL045W
338	OG0000338	augustus_masked-proT_s3-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-7.15&CDS=1-1422	YGR177C, YOR377W
339	OG0000339	maker-proT_s3-snap-gene-8.58-mRNA-1_1&gene=maker-proT_s3-snap-gene-8.58&CDS=1-657	YMR233W, YOR295W
340	OG0000340	augustus_masked-proT_s3-processed-gene-8.24-mRNA-1_1&gene=augustus_masked-proT_s3-processed-gene-8.24&CDS=1-723	YGL076C, YPL198W
341	OG0000341	snap_masked-proT_s32-processed-gene-0.72-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.72&CDS=1-1695	YGR138C, YPR156C
342	OG0000342	snap_masked-proT_s32-processed-gene-0.74-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.74&CDS=1-2409	YDR351W, YHR103W
343	OG0000343	maker-proT_s32-augustus-gene-0.63-mRNA-1_1&gene=maker-proT_s32-augustus-gene-0.63&CDS=1-1332	YPR013C, YPR015C
344	OG0000344	snap_masked-proT_s32-processed-gene-0.117-mRNA-1_1&gene=snap_masked-proT_s32-processed-gene-0.117&CDS=1-3030	YJL084C, YKR021W
345	OG0000345	maker-proT_s32-snap-gene-0.62-mRNA-1_1&gene=maker-proT_s32-snap-gene-0.62&CDS=1-2727, snap_masked-proT_s97-processed-gene-0.103-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.103&CDS=1-471	YHR059W
346	OG0000346	maker-proT_s44-augustus-gene-0.140-mRNA-1_1&gene=maker-proT_s44-augustus-gene-0.140&CDS=1-2658	YMR237W, YOR299W
347	OG0000347	augustus_masked-proT_s44-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-proT_s44-processed-gene-0.8&CDS=1-2814	YDR409W, YOR156C
348	OG0000348	snap_masked-proT_s44-processed-gene-0.130-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-0.130&CDS=1-1185	YHR123W, YNL130C
349	OG0000349	snap_masked-proT_s44-processed-gene-0.132-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-0.132&CDS=1-1782	YHR117W, YNL121C
350	OG0000350	snap_masked-proT_s44-processed-gene-1.60-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-1.60&CDS=1-1020	YAL034C, YOR338W
351	OG0000351	snap_masked-proT_s44-processed-gene-1.92-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-1.92&CDS=1-363	YFL034C-A, YLR061W
352	OG0000352	genemark-proT_s44-processed-gene-1.16-mRNA-1_1&gene=genemark-proT_s44-processed-gene-1.16&CDS=1-3150	YML100W, YMR261C
353	OG0000353	genemark-proT_s44-processed-gene-1.41-mRNA-1_1&gene=genemark-proT_s44-processed-gene-1.41&CDS=1-774	YDR066C, YER139C
354	OG0000354	snap_masked-proT_s44-processed-gene-1.83-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-1.83&CDS=1-612	YLR029C, YMR121C
355	OG0000355	augustus_masked-proT_s44-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-proT_s44-processed-gene-2.50&CDS=1-2553	YBR172C, YPL105C
356	OG0000356	snap_masked-proT_s44-processed-gene-3.110-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-3.110&CDS=1-990	YKR076W, YMR251W
357	OG0000357	augustus_masked-proT_s44-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-proT_s44-processed-gene-3.61&CDS=1-3027	YKL072W, YMR053C
358	OG0000358	snap_masked-proT_s44-processed-gene-3.123-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-3.123&CDS=1-534	YDR134C, YLR110C
359	OG0000359	snap_masked-proT_s44-processed-gene-4.242-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-4.242&CDS=1-1263, snap_masked-proT_s6-processed-gene-2.58-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.58&CDS=1-1284	YDL131W
360	OG0000360	snap_masked-proT_s44-processed-gene-4.204-mRNA-1_1&gene=snap_masked-proT_s44-processed-gene-4.204&CDS=1-996, snap_masked-proT_s62-processed-gene-1.67-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-1.67&CDS=1-984	YOR246C
361	OG0000361	snap_masked-proT_s5-processed-gene-0.86-mRNA-1_1&gene=snap_masked-proT_s5-processed-gene-0.86&CDS=1-354	YCL035C, YDR513W
362	OG0000362	augustus_masked-proT_s5-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-proT_s5-processed-gene-0.67&CDS=1-480	YBR191W, YPL079W
363	OG0000363	genemark-proT_s5-processed-gene-1.174-mRNA-1_1&gene=genemark-proT_s5-processed-gene-1.174&CDS=1-879	YMR183C, YPL232W
364	OG0000364	snap_masked-proT_s5-processed-gene-1.97-mRNA-1_1&gene=snap_masked-proT_s5-processed-gene-1.97&CDS=1-900	YBR105C, YGR066C
365	OG0000365	snap_masked-proT_s57-processed-gene-0.68-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-0.68&CDS=1-573	YGL147C, YNL067W
366	OG0000366	snap_masked-proT_s57-processed-gene-0.58-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-0.58&CDS=1-1476	YGR256W, YHR183W
367	OG0000367	snap_masked-proT_s57-processed-gene-1.50-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-1.50&CDS=1-1647	YDL085W, YMR145C
368	OG0000368	genemark-proT_s57-processed-gene-1.31-mRNA-1_1&gene=genemark-proT_s57-processed-gene-1.31&CDS=1-1200	YDR451C, YML027W
369	OG0000369	snap_masked-proT_s57-processed-gene-1.100-mRNA-1_1&gene=snap_masked-proT_s57-processed-gene-1.100&CDS=1-1893	YMR008C, YOL011W
370	OG0000370	augustus_masked-proT_s58-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-proT_s58-processed-gene-0.81&CDS=1-267	YGR008C, YLR327C
371	OG0000371	snap_masked-proT_s6-processed-gene-0.81-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-0.81&CDS=1-609	YDR259C, YOR028C
372	OG0000372	snap_masked-proT_s6-processed-gene-1.86-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-1.86&CDS=1-1221	YHL003C, YKL008C
373	OG0000373	snap_masked-proT_s6-processed-gene-1.104-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-1.104&CDS=1-2259	YIL156W, YKR098C
374	OG0000374	snap_masked-proT_s6-processed-gene-1.127-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-1.127&CDS=1-2997	YDR379W, YOR127W
375	OG0000375	snap_masked-proT_s6-processed-gene-2.80-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.80&CDS=1-357	YER131W, YGL189C
376	OG0000376	snap_masked-proT_s6-processed-gene-2.90-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.90&CDS=1-507	YKL141W, YMR118C
377	OG0000377	maker-proT_s62-augustus-gene-0.40-mRNA-1_1&gene=maker-proT_s62-augustus-gene-0.40&CDS=1-3459	YOR204W, YPL119C
378	OG0000378	maker-proT_s62-snap-gene-0.116-mRNA-1_1&gene=maker-proT_s62-snap-gene-0.116&CDS=1-2622	YDR458C, YML034W
379	OG0000379	maker-proT_s62-snap-gene-2.43-mRNA-1_1&gene=maker-proT_s62-snap-gene-2.43&CDS=1-1254	YDR348C, YHR097C
380	OG0000380	snap_masked-proT_s62-processed-gene-3.50-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-3.50&CDS=1-3066	YML109W, YMR273C
381	OG0000381	snap_masked-proT_s62-processed-gene-3.53-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-3.53&CDS=1-654	YML106W, YMR271C
382	OG0000382	snap_masked-proT_s62-processed-gene-3.74-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-3.74&CDS=1-2142	YER066W, YFL009W
383	OG0000383	genemark-proT_s62-processed-gene-3.44-mRNA-1_1&gene=genemark-proT_s62-processed-gene-3.44&CDS=1-1455	YMR182C, YPL230W
384	OG0000384	snap_masked-proT_s62-processed-gene-4.68-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-4.68&CDS=1-3297	YIR033W, YKL020C
385	OG0000385	snap_masked-proT_s62-processed-gene-4.57-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-4.57&CDS=1-2817	YKR089C, YOR081C
386	OG0000386	snap_masked-proT_s62-processed-gene-4.60-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-4.60&CDS=1-1125	YMR253C, YPL264C
387	OG0000387	snap_masked-proT_s62-processed-gene-5.166-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-5.166&CDS=1-975	YDL175C, YIL079C
388	OG0000388	snap_masked-proT_s62-processed-gene-5.208-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-5.208&CDS=1-915	YDR368W, YOR120W
389	OG0000389	genemark-proT_s62-processed-gene-5.59-mRNA-1_1&gene=genemark-proT_s62-processed-gene-5.59&CDS=1-459	YGL031C, YGR148C
390	OG0000390	augustus_masked-proT_s62-processed-gene-5.141-mRNA-1_1&gene=augustus_masked-proT_s62-processed-gene-5.141&CDS=1-1965	YDR475C, YOR019W
391	OG0000391	snap_masked-proT_s7-processed-gene-0.91-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-0.91&CDS=1-1539	YBR020W, YDR009W
392	OG0000392	snap_masked-proT_s7-processed-gene-0.96-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-0.96&CDS=1-1224	YEL007W, YHR177W
393	OG0000393	snap_masked-proT_s7-processed-gene-1.61-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-1.61&CDS=1-1392, snap_masked-proT_s96-processed-gene-0.38-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-0.38&CDS=1-2016	YHR124W
394	OG0000394	genemark-proT_s7-processed-gene-1.119-mRNA-1_1&gene=genemark-proT_s7-processed-gene-1.119&CDS=1-1659	YKL127W, YMR105C
395	OG0000395	snap_masked-proT_s70-processed-gene-0.47-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-0.47&CDS=1-1974	YIL131C, YNL068C
396	OG0000396	snap_masked-proT_s70-processed-gene-0.39-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-0.39&CDS=1-2139	YKL050C, YMR031C
397	OG0000397	snap_masked-proT_s70-processed-gene-1.94-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.94&CDS=1-1797	YGR092W, YPR111W
398	OG0000398	augustus_masked-proT_s70-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-proT_s70-processed-gene-1.10&CDS=1-2292, snap_masked-proT_s70-processed-gene-1.107-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.107&CDS=1-1014	YJR019C
399	OG0000399	snap_masked-proT_s70-processed-gene-1.123-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.123&CDS=1-1431	YCL040W, YDR516C
400	OG0000400	maker-proT_s70-augustus-gene-1.87-mRNA-1_1&gene=maker-proT_s70-augustus-gene-1.87&CDS=1-1575	YGR043C, YLR354C
401	OG0000401	snap_masked-proT_s70-processed-gene-1.159-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.159&CDS=1-516	YMR242C, YOR312C
402	OG0000402	snap_masked-proT_s70-processed-gene-1.167-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.167&CDS=1-267	YBR089C-A, YPR052C
403	OG0000403	snap_masked-proT_s70-processed-gene-1.136-mRNA-1_1&gene=snap_masked-proT_s70-processed-gene-1.136&CDS=1-4104	YCL024W, YDR507C
404	OG0000404	snap_masked-proT_s72-processed-gene-0.200-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.200&CDS=1-1344, snap_masked-proT_s97-processed-gene-1.89-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.89&CDS=1-1386	YBR028C
405	OG0000405	snap_masked-proT_s72-processed-gene-0.173-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.173&CDS=1-1167, snap_masked-proT_s96-processed-gene-0.35-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-0.35&CDS=1-1239	YGR263C
406	OG0000406	snap_masked-proT_s72-processed-gene-0.213-mRNA-1_1&gene=snap_masked-proT_s72-processed-gene-0.213&CDS=1-7599	YBR140C, YOL081W
407	OG0000407	augustus_masked-proT_s72-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-proT_s72-processed-gene-0.113&CDS=1-588	YBL027W, YBR084C-A
408	OG0000408	maker-proT_s96-snap-gene-1.2-mRNA-1_1&gene=maker-proT_s96-snap-gene-1.2&CDS=1-582	YLR287C-A, YOR182C
409	OG0000409	augustus_masked-proT_s96-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-proT_s96-processed-gene-1.20&CDS=1-2523	YKL132C, YMR113W
410	OG0000410	snap_masked-proT_s96-processed-gene-1.92-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.92&CDS=1-2139	YDR069C, YER144C
411	OG0000411	snap_masked-proT_s96-processed-gene-1.101-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.101&CDS=1-1818	YGL158W, YLR248W
412	OG0000412	snap_masked-proT_s96-processed-gene-1.137-mRNA-1_1&gene=snap_masked-proT_s96-processed-gene-1.137&CDS=1-1533	YJR054W, YML047C
413	OG0000413	snap_masked-proT_s97-processed-gene-0.132-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.132&CDS=1-588	YDR453C, YML028W
414	OG0000414	snap_masked-proT_s97-processed-gene-0.111-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.111&CDS=1-678	YDR185C, YLR168C
415	OG0000415	snap_masked-proT_s97-processed-gene-0.118-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.118&CDS=1-474	YDR178W, YLR164W
416	OG0000416	snap_masked-proT_s97-processed-gene-0.120-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-0.120&CDS=1-1530	YDR200C, YLR238W
417	OG0000417	snap_masked-proT_s97-processed-gene-1.105-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.105&CDS=1-369	YHR132W-A, YNL157W
418	OG0000418	snap_masked-proT_s97-processed-gene-1.144-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.144&CDS=1-858	YHR133C, YNL156C
419	OG0000419	genemark-proT_s97-processed-gene-1.212-mRNA-1_1&gene=genemark-proT_s97-processed-gene-1.212&CDS=1-3540	YNL087W, YOR086C
420	OG0000420	snap_masked-proT_s97-processed-gene-1.132-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.132&CDS=1-771	YGR248W, YHR163W
421	OG0000421	snap_masked-proT_s97-processed-gene-1.169-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.169&CDS=1-846	YIL114C, YNL055C
422	OG0000422	augustus_masked-proT_s97-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-proT_s97-processed-gene-1.84&CDS=1-1089	YBL003C, YDR225W
423	OG0000423	snap_masked-proT_s97-processed-gene-1.137-mRNA-1_1&gene=snap_masked-proT_s97-processed-gene-1.137&CDS=1-390	YBL002W, YDR224C
424	OG0000424	snap_masked-proT_C15475-processed-gene-0.3-mRNA-1_1&gene=snap_masked-proT_C15475-processed-gene-0.3&CDS=1-843	YPR103W
425	OG0000425	snap_masked-proT_C15847-processed-gene-0.10-mRNA-1_1&gene=snap_masked-proT_C15847-processed-gene-0.10&CDS=1-546	YOR163W
426	OG0000426	snap_masked-proT_C15847-processed-gene-0.8-mRNA-1_1&gene=snap_masked-proT_C15847-processed-gene-0.8&CDS=1-636	YLR250W
427	OG0000427	snap_masked-proT_C16329-processed-gene-0.57-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.57&CDS=1-933	YNR007C
428	OG0000428	snap_masked-proT_C16329-processed-gene-0.58-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.58&CDS=1-2148	YNR008W
429	OG0000429	snap_masked-proT_C16329-processed-gene-0.60-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.60&CDS=1-1977	YLR429W
430	OG0000430	genemark-proT_C16329-processed-gene-0.9-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.9&CDS=1-4512	YPL242C
431	OG0000431	snap_masked-proT_C16329-processed-gene-0.67-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.67&CDS=1-696	YJR050W
432	OG0000432	genemark-proT_C16329-processed-gene-0.3-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.3&CDS=1-480	YPL234C
433	OG0000433	genemark-proT_C16329-processed-gene-0.12-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.12&CDS=1-1431	YPL235W
434	OG0000434	snap_masked-proT_C16329-processed-gene-0.72-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.72&CDS=1-1854	YDR380W
435	OG0000435	genemark-proT_C16329-processed-gene-0.16-mRNA-1_1&gene=genemark-proT_C16329-processed-gene-0.16&CDS=1-2829	YMR205C
436	OG0000436	snap_masked-proT_C16329-processed-gene-0.61-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.61&CDS=1-1149	YMR203W
437	OG0000437	augustus_masked-proT_C16329-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-proT_C16329-processed-gene-0.47&CDS=1-816	YPL246C
438	OG0000438	snap_masked-proT_C16329-processed-gene-0.62-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.62&CDS=1-1062	YPL236C
439	OG0000439	snap_masked-proT_C16329-processed-gene-0.78-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.78&CDS=1-807	YPL237W
440	OG0000440	snap_masked-proT_C16329-processed-gene-0.79-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.79&CDS=1-594	YPL239W
441	OG0000441	snap_masked-proT_C16329-processed-gene-0.64-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.64&CDS=1-3099	YMR185W
442	OG0000442	snap_masked-proT_C16329-processed-gene-0.80-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.80&CDS=1-2103	YMR186W
443	OG0000443	maker-proT_C16329-snap-gene-0.27-mRNA-1_1&gene=maker-proT_C16329-snap-gene-0.27&CDS=1-1062	YMR201C
444	OG0000444	snap_masked-proT_C16329-processed-gene-0.83-mRNA-1_1&gene=snap_masked-proT_C16329-processed-gene-0.83&CDS=1-2337	YLR304C
445	OG0000445	snap_masked-proT_s1-processed-gene-0.5-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.5&CDS=1-1164	YCR044C
446	OG0000446	snap_masked-proT_s1-processed-gene-0.22-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.22&CDS=1-711	YPL002C
447	OG0000447	snap_masked-proT_s1-processed-gene-0.6-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.6&CDS=1-1086	YMR152W
448	OG0000448	snap_masked-proT_s1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.24&CDS=1-897	YLR172C
449	OG0000449	snap_masked-proT_s1-processed-gene-0.25-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.25&CDS=1-1128	YPL069C
450	OG0000450	snap_masked-proT_s1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.10&CDS=1-2250	YPL070W
451	OG0000451	snap_masked-proT_s1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.12&CDS=1-4272	YGR116W
452	OG0000452	snap_masked-proT_s1-processed-gene-0.27-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.27&CDS=1-2757	YJL108C
453	OG0000453	snap_masked-proT_s1-processed-gene-0.28-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-0.28&CDS=1-1299	YOL022C
