	OrthologID	Saccharomyces_cerevisiae	yHAB153_Kazachstania_rosinii
330	OG0000330	YLR264W	snap_masked-scf7180000099676-processed-gene-3.166-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-3.166&CDS=1-201, snap_masked-scf7180000099711-processed-gene-7.215-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-7.215&CDS=1-201
331	OG0000331	YLR287C-A, YOR182C	snap_masked-scf7180000099711-processed-gene-6.97-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-6.97&CDS=1-210
332	OG0000332	YLR293C, YOR185C	snap_masked-scf7180000099610-processed-gene-0.104-mRNA-1_1&gene=snap_masked-scf7180000099610-processed-gene-0.104&CDS=1-666
333	OG0000333	YLR307W, YLR308W	maker-scf7180000099630-augustus-gene-0.23-mRNA-1_1&gene=maker-scf7180000099630-augustus-gene-0.23&CDS=1-1452
334	OG0000334	YLR357W	genemark-scf7180000099711-processed-gene-0.66-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-0.66&CDS=1-2820, snap_masked-scf7180000099586-processed-gene-0.197-mRNA-1_1&gene=snap_masked-scf7180000099586-processed-gene-0.197&CDS=1-2967
335	OG0000335	YLR361C-A	augustus_masked-scf7180000099343-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000099343-processed-gene-0.0&CDS=1-288, snap_masked-scf7180000099586-processed-gene-0.164-mRNA-1_1&gene=snap_masked-scf7180000099586-processed-gene-0.164&CDS=1-366
336	OG0000336	YLR413W	snap_masked-scf7180000099586-processed-gene-0.176-mRNA-1_1&gene=snap_masked-scf7180000099586-processed-gene-0.176&CDS=1-2223, snap_masked-scf7180000099702-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000099702-processed-gene-0.52&CDS=1-2295
337	OG0000337	YLR433C, YML057W	snap_masked-scf7180000099597-processed-gene-0.61-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.61&CDS=1-1773
338	OG0000338	YLR441C	snap_masked-scf7180000099597-processed-gene-0.64-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.64&CDS=1-765, snap_masked-scf7180000099614-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-0.14&CDS=1-765
339	OG0000339	YML073C	snap_masked-scf7180000099597-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.48&CDS=1-531, snap_masked-scf7180000099614-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-0.31&CDS=1-531
340	OG0000340	YML131W	snap_masked-scf7180000099615-processed-gene-1.24-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-1.24&CDS=1-1101, snap_masked-scf7180000099722-processed-gene-1.127-mRNA-1_1&gene=snap_masked-scf7180000099722-processed-gene-1.127&CDS=1-1101
341	OG0000341	YMR035W	genemark-scf7180000099330-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000099330-processed-gene-0.1&CDS=1-240, snap_masked-scf7180000099649-processed-gene-3.186-mRNA-1_1&gene=snap_masked-scf7180000099649-processed-gene-3.186&CDS=1-540
342	OG0000342	YMR102C	snap_masked-scf7180000099650-processed-gene-1.176-mRNA-1_1&gene=snap_masked-scf7180000099650-processed-gene-1.176&CDS=1-2754, snap_masked-scf7180000099676-processed-gene-0.84-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-0.84&CDS=1-2892
343	OG0000343	YMR105C	snap_masked-scf7180000099650-processed-gene-1.177-mRNA-1_1&gene=snap_masked-scf7180000099650-processed-gene-1.177&CDS=1-1707, snap_masked-scf7180000099676-processed-gene-0.87-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-0.87&CDS=1-1707
344	OG0000344	YMR120C	genemark-scf7180000099676-processed-gene-1.124-mRNA-1_1&gene=genemark-scf7180000099676-processed-gene-1.124&CDS=1-1776, snap_masked-scf7180000099650-processed-gene-1.185-mRNA-1_1&gene=snap_masked-scf7180000099650-processed-gene-1.185&CDS=1-1770
345	OG0000345	YMR145C	snap_masked-scf7180000099650-processed-gene-1.192-mRNA-1_1&gene=snap_masked-scf7180000099650-processed-gene-1.192&CDS=1-1650, snap_masked-scf7180000099676-processed-gene-1.89-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-1.89&CDS=1-1602
346	OG0000346	YMR164C	augustus_masked-scf7180000099707-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-scf7180000099707-processed-gene-0.75&CDS=1-1308, snap_masked-scf7180000099676-processed-gene-2.145-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-2.145&CDS=1-2085
347	OG0000347	YMR169C, YMR170C	maker-scf7180000099707-augustus-gene-0.3-mRNA-1_1&gene=maker-scf7180000099707-augustus-gene-0.3&CDS=1-3363
348	OG0000348	YMR177W	genemark-scf7180000099692-processed-gene-1.1-mRNA-1_1&gene=genemark-scf7180000099692-processed-gene-1.1&CDS=1-1500, snap_masked-scf7180000099711-processed-gene-6.83-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-6.83&CDS=1-1173
349	OG0000349	YMR183C, YPL232W	snap_masked-scf7180000099692-processed-gene-1.128-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-1.128&CDS=1-915
350	OG0000350	YMR186W, YPL240C	snap_masked-scf7180000099711-processed-gene-6.88-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-6.88&CDS=1-2106
351	OG0000351	YMR190C	genemark-scf7180000099711-processed-gene-6.30-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-6.30&CDS=1-4197, snap_masked-scf7180000099692-processed-gene-1.136-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-1.136&CDS=1-2922
352	OG0000352	YMR194W, YPL249C-A	snap_masked-scf7180000099692-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-1.94&CDS=1-300
353	OG0000353	YMR196W	genemark-scf7180000099711-processed-gene-6.16-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-6.16&CDS=1-3483, snap_masked-scf7180000099692-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-1.97&CDS=1-3123
354	OG0000354	YMR230W, YOR293W	snap_masked-scf7180000099622-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-0.75&CDS=1-315
355	OG0000355	YMR237W, YOR299W	snap_masked-scf7180000099622-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-0.71&CDS=1-2337
356	OG0000356	YMR243C	snap_masked-scf7180000099595-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000099595-processed-gene-0.20&CDS=1-1380, snap_masked-scf7180000099674-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scf7180000099674-processed-gene-0.98&CDS=1-1230
357	OG0000357	YMR244W	snap_masked-scf7180000099567-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000099567-processed-gene-0.6&CDS=1-1092, snap_masked-scf7180000099674-processed-gene-0.122-mRNA-1_1&gene=snap_masked-scf7180000099674-processed-gene-0.122&CDS=1-1110
358	OG0000358	YMR253C, YPL264C	snap_masked-scf7180000099674-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scf7180000099674-processed-gene-0.92&CDS=1-1335
359	OG0000359	YMR261C	genemark-scf7180000099674-processed-gene-0.22-mRNA-1_1&gene=genemark-scf7180000099674-processed-gene-0.22&CDS=1-3372, snap_masked-scf7180000099589-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000099589-processed-gene-0.16&CDS=1-3105
360	OG0000360	YMR275C	maker-scf7180000099589-snap-gene-0.74-mRNA-1_1&gene=maker-scf7180000099589-snap-gene-0.74&CDS=1-2937, snap_masked-scf7180000099674-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scf7180000099674-processed-gene-0.80&CDS=1-2964
361	OG0000361	YNL004W	snap_masked-scf7180000099643-processed-gene-2.142-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.142&CDS=1-1377, snap_masked-scf7180000099668-processed-gene-0.6-mRNA-1_1&gene=snap_masked-scf7180000099668-processed-gene-0.6&CDS=1-1368
362	OG0000362	YNL014W	snap_masked-scf7180000099643-processed-gene-2.146-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.146&CDS=1-3135, snap_masked-scf7180000099668-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000099668-processed-gene-0.29&CDS=1-3135
363	OG0000363	YNL018C, YNL034W	snap_masked-scf7180000099580-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.89&CDS=1-1278
364	OG0000364	YNL085W	genemark-scf7180000099614-processed-gene-1.16-mRNA-1_1&gene=genemark-scf7180000099614-processed-gene-1.16&CDS=1-2376, genemark-scf7180000099676-processed-gene-3.237-mRNA-1_1&gene=genemark-scf7180000099676-processed-gene-3.237&CDS=1-2526
365	OG0000365	YNL098C, YOR101W	augustus_masked-scf7180000099676-processed-gene-3.24-mRNA-1_1&gene=augustus_masked-scf7180000099676-processed-gene-3.24&CDS=1-1557
366	OG0000366	YNL197C	genemark-scf7180000099621-processed-gene-0.43-mRNA-1_1&gene=genemark-scf7180000099621-processed-gene-0.43&CDS=1-2184, snap_masked-scf7180000099568-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000099568-processed-gene-0.25&CDS=1-1896
367	OG0000367	YNL225C	augustus_masked-scf7180000099588-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-scf7180000099588-processed-gene-0.20&CDS=1-2139, augustus_masked-scf7180000099688-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-scf7180000099688-processed-gene-0.58&CDS=1-1521
368	OG0000368	YNL229C	genemark-scf7180000099588-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000099588-processed-gene-0.5&CDS=1-1005, genemark-scf7180000099688-processed-gene-0.119-mRNA-1_1&gene=genemark-scf7180000099688-processed-gene-0.119&CDS=1-1011
369	OG0000369	YNL241C	snap_masked-scf7180000099588-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000099588-processed-gene-0.35&CDS=1-1509, snap_masked-scf7180000099688-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000099688-processed-gene-0.9&CDS=1-1530
370	OG0000370	YNL257C	augustus_masked-scf7180000099688-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-scf7180000099688-processed-gene-0.70&CDS=1-4098, snap_masked-scf7180000099638-processed-gene-0.159-mRNA-1_1&gene=snap_masked-scf7180000099638-processed-gene-0.159&CDS=1-3879
371	OG0000371	YNL293W	genemark-scf7180000099638-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000099638-processed-gene-0.34&CDS=1-2106, snap_masked-scf7180000099711-processed-gene-7.212-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-7.212&CDS=1-1794
372	OG0000372	YOL016C	genemark-scf7180000099650-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000099650-processed-gene-0.78&CDS=1-1197, snap_masked-scf7180000099668-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000099668-processed-gene-0.33&CDS=1-1320
373	OG0000373	YOL081W	augustus_masked-scf7180000099445-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000099445-processed-gene-0.0&CDS=1-4488, genemark-scf7180000099615-processed-gene-2.104-mRNA-1_1&gene=genemark-scf7180000099615-processed-gene-2.104&CDS=1-9423
374	OG0000374	YOL089C	augustus_masked-scf7180000099409-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000099409-processed-gene-0.5&CDS=1-2457, augustus_masked-scf7180000099610-processed-gene-0.182-mRNA-1_1&gene=augustus_masked-scf7180000099610-processed-gene-0.182&CDS=1-3150
375	OG0000375	YOL115W	snap_masked-scf7180000099638-processed-gene-0.166-mRNA-1_1&gene=snap_masked-scf7180000099638-processed-gene-0.166&CDS=1-2037, snap_masked-scf7180000099711-processed-gene-7.211-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-7.211&CDS=1-1764
376	OG0000376	YOL123W	genemark-scf7180000099711-processed-gene-7.42-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-7.42&CDS=1-1749, snap_masked-scf7180000099638-processed-gene-0.165-mRNA-1_1&gene=snap_masked-scf7180000099638-processed-gene-0.165&CDS=1-1479
377	OG0000377	YOR054C	snap_masked-scf7180000099669-processed-gene-1.108-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-1.108&CDS=1-2229, snap_masked-scf7180000099690-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000099690-processed-gene-0.42&CDS=1-1638
378	OG0000378	YOR086C	maker-scf7180000099676-snap-gene-3.271-mRNA-1_1&gene=maker-scf7180000099676-snap-gene-3.271&CDS=1-3654, snap_masked-scf7180000099614-processed-gene-1.95-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-1.95&CDS=1-3552
379	OG0000379	YOR109W	genemark-scf7180000099614-processed-gene-1.44-mRNA-1_1&gene=genemark-scf7180000099614-processed-gene-1.44&CDS=1-3930, snap_masked-scf7180000099676-processed-gene-3.112-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-3.112&CDS=1-3408
380	OG0000380	YOR113W	maker-scf7180000099640-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000099640-snap-gene-0.5&CDS=1-2103, snap_masked-scf7180000099676-processed-gene-3.116-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-3.116&CDS=1-2712
381	OG0000381	YOR162C, YOR172W	genemark-scf7180000099711-processed-gene-7.4-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-7.4&CDS=1-2736
382	OG0000382	YOR171C	genemark-scf7180000099711-processed-gene-7.53-mRNA-1_1&gene=genemark-scf7180000099711-processed-gene-7.53&CDS=1-1743, snap_masked-scf7180000099676-processed-gene-3.133-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-3.133&CDS=1-2475
383	OG0000383	YOR178C	augustus_masked-scf7180000099610-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-scf7180000099610-processed-gene-0.201&CDS=1-2493, snap_masked-scf7180000099711-processed-gene-6.100-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-6.100&CDS=1-2193
384	OG0000384	YOR204W	genemark-scf7180000099643-processed-gene-2.20-mRNA-1_1&gene=genemark-scf7180000099643-processed-gene-2.20&CDS=1-1947, snap_masked-scf7180000099622-processed-gene-1.108-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-1.108&CDS=1-1905
385	OG0000385	YOR222W, YPL134C	snap_masked-scf7180000099643-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-1.35&CDS=1-927
386	OG0000386	YOR229W, YOR230W	maker-scf7180000099622-snap-gene-1.10-mRNA-1_1&gene=maker-scf7180000099622-snap-gene-1.10&CDS=1-2577
387	OG0000387	YOR267C	maker-scf7180000099643-snap-gene-0.89-mRNA-1_1&gene=maker-scf7180000099643-snap-gene-0.89&CDS=1-2109, snap_masked-scf7180000099622-processed-gene-0.65-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-0.65&CDS=1-2202
388	OG0000388	YOR317W	snap_masked-scf7180000099595-processed-gene-0.13-mRNA-1_1&gene=snap_masked-scf7180000099595-processed-gene-0.13&CDS=1-2091, snap_masked-scf7180000099674-processed-gene-0.121-mRNA-1_1&gene=snap_masked-scf7180000099674-processed-gene-0.121&CDS=1-2094
389	OG0000389	YOR326W	genemark-scf7180000099722-processed-gene-1.144-mRNA-1_1&gene=genemark-scf7180000099722-processed-gene-1.144&CDS=1-4824, snap_masked-scf7180000099580-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.83&CDS=1-4494
390	OG0000390	YOR342C	augustus_masked-scf7180000099375-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000099375-processed-gene-0.0&CDS=1-189, augustus_masked-scf7180000099671-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000099671-processed-gene-0.57&CDS=1-957
391	OG0000391	YOR385W	snap_masked-scf7180000099614-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-0.19&CDS=1-993, snap_masked-scf7180000099719-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000099719-processed-gene-0.25&CDS=1-1071
392	OG0000392	YPL032C	augustus_masked-scf7180000099697-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-scf7180000099697-processed-gene-0.116&CDS=1-2649, snap_masked-scf7180000099622-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-2.64&CDS=1-2577
393	OG0000393	YPL088W	genemark-scf7180000099716-processed-gene-1.4-mRNA-1_1&gene=genemark-scf7180000099716-processed-gene-1.4&CDS=1-1029, snap_masked-scf7180000099697-processed-gene-0.186-mRNA-1_1&gene=snap_masked-scf7180000099697-processed-gene-0.186&CDS=1-1035
394	OG0000394	YPL156C	augustus_masked-scf7180000099643-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scf7180000099643-processed-gene-1.67&CDS=1-798, snap_masked-scf7180000099622-processed-gene-1.90-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-1.90&CDS=1-822
395	OG0000395	YPL181W	snap_masked-scf7180000099615-processed-gene-1.30-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-1.30&CDS=1-1317, snap_masked-scf7180000099711-processed-gene-5.115-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-5.115&CDS=1-1251
396	OG0000396	YPR013C, YPR015C	snap_masked-scf7180000099711-processed-gene-1.47-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-1.47&CDS=1-1074
397	OG0000397	YPR074C	genemark-scf7180000099658-processed-gene-0.191-mRNA-1_1&gene=genemark-scf7180000099658-processed-gene-0.191&CDS=1-2139, snap_masked-scf7180000099682-processed-gene-1.94-mRNA-1_1&gene=snap_masked-scf7180000099682-processed-gene-1.94&CDS=1-2040
398	OG0000398	YPR095C	augustus_masked-scf7180000099594-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-scf7180000099594-processed-gene-0.80&CDS=1-2262, snap_masked-scf7180000099682-processed-gene-1.138-mRNA-1_1&gene=snap_masked-scf7180000099682-processed-gene-1.138&CDS=1-3777
399	OG0000399	YPR159W	snap_masked-scf7180000099687-processed-gene-0.186-mRNA-1_1&gene=snap_masked-scf7180000099687-processed-gene-0.186&CDS=1-2316, snap_masked-scf7180000099719-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000099719-processed-gene-0.22&CDS=1-2160
400	OG0000400	YPR194C	maker-scf7180000099616-snap-gene-1.64-mRNA-1_1&gene=maker-scf7180000099616-snap-gene-1.64&CDS=1-2808, snap_masked-scf7180000099649-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000099649-processed-gene-0.38&CDS=1-2631
401	OG0000401	YAL001C	augustus_masked-scf7180000099577-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000099577-processed-gene-0.24&CDS=1-3717
402	OG0000402	YAL002W	snap_masked-scf7180000099577-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000099577-processed-gene-0.7&CDS=1-4455
403	OG0000403	YAL003W	snap_masked-scf7180000099639-processed-gene-0.72-mRNA-1_1&gene=snap_masked-scf7180000099639-processed-gene-0.72&CDS=1-618
404	OG0000404	YAL009W	genemark-scf7180000099580-processed-gene-0.48-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.48&CDS=1-1059
405	OG0000405	YAL010C	genemark-scf7180000099580-processed-gene-0.24-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.24&CDS=1-1494
406	OG0000406	YAL011W	maker-scf7180000099580-snap-gene-0.8-mRNA-1_1&gene=maker-scf7180000099580-snap-gene-0.8&CDS=1-2169
407	OG0000407	YAL012W	snap_masked-scf7180000099580-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.99&CDS=1-1170
408	OG0000408	YAL013W	maker-scf7180000099580-snap-gene-0.9-mRNA-1_1&gene=maker-scf7180000099580-snap-gene-0.9&CDS=1-1416
409	OG0000409	YAL015C	genemark-scf7180000099580-processed-gene-0.55-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.55&CDS=1-1338
410	OG0000410	YAL016W	snap_masked-scf7180000099722-processed-gene-1.103-mRNA-1_1&gene=snap_masked-scf7180000099722-processed-gene-1.103&CDS=1-1839
411	OG0000411	YAL018C	snap_masked-scf7180000099580-processed-gene-0.102-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.102&CDS=1-924
412	OG0000412	YAL019W	maker-scf7180000099580-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000099580-snap-gene-0.6&CDS=1-3132
413	OG0000413	YAL020C	augustus_masked-scf7180000099580-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-scf7180000099580-processed-gene-0.144&CDS=1-1179
414	OG0000414	YAL021C	snap_masked-scf7180000099580-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.78&CDS=1-2385
415	OG0000415	YAL022C	augustus_masked-scf7180000099580-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-scf7180000099580-processed-gene-0.124&CDS=1-1287
416	OG0000416	YAL025C	snap_masked-scf7180000099722-processed-gene-1.77-mRNA-1_1&gene=snap_masked-scf7180000099722-processed-gene-1.77&CDS=1-915
417	OG0000417	YAL026C	genemark-scf7180000099580-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.31&CDS=1-8373
418	OG0000418	YAL027W	genemark-scf7180000099580-processed-gene-0.58-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.58&CDS=1-2205
419	OG0000419	YAL031C	augustus_masked-scf7180000099580-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scf7180000099580-processed-gene-0.128&CDS=1-3972
420	OG0000420	YAL033W	snap_masked-scf7180000099580-processed-gene-0.105-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.105&CDS=1-528
421	OG0000421	YAL034C	snap_masked-scf7180000099580-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.86&CDS=1-1179
422	OG0000422	YAL034W-A	snap_masked-scf7180000099580-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scf7180000099580-processed-gene-0.106&CDS=1-942
423	OG0000423	YAL035W	snap_masked-scf7180000099671-processed-gene-0.90-mRNA-1_1&gene=snap_masked-scf7180000099671-processed-gene-0.90&CDS=1-2961
424	OG0000424	YAL036C	genemark-scf7180000099580-processed-gene-0.37-mRNA-1_1&gene=genemark-scf7180000099580-processed-gene-0.37&CDS=1-1104
425	OG0000425	YAL038W	snap_masked-scf7180000099692-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.91&CDS=1-1503
426	OG0000426	YAL039C	snap_masked-scf7180000099692-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.75&CDS=1-849
427	OG0000427	YAL040C	snap_masked-scf7180000099692-processed-gene-0.76-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.76&CDS=1-1515
428	OG0000428	YAL041W	snap_masked-scf7180000099692-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.92&CDS=1-2508
429	OG0000429	YAL042C-A	snap_masked-scf7180000099671-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000099671-processed-gene-0.99&CDS=1-324
430	OG0000430	YAL042W	snap_masked-scf7180000099692-processed-gene-0.93-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.93&CDS=1-1215
431	OG0000431	YAL043C	snap_masked-scf7180000099692-processed-gene-0.77-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.77&CDS=1-2487
432	OG0000432	YAL044C	snap_masked-scf7180000099692-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.78&CDS=1-546
433	OG0000433	YAL044W-A	snap_masked-scf7180000099692-processed-gene-0.94-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-0.94&CDS=1-441
434	OG0000434	YAL046C	genemark-scf7180000099597-processed-gene-0.95-mRNA-1_1&gene=genemark-scf7180000099597-processed-gene-0.95&CDS=1-426
435	OG0000435	YAL047C	snap_masked-scf7180000099597-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.53&CDS=1-2796
436	OG0000436	YAL048C	genemark-scf7180000099597-processed-gene-0.97-mRNA-1_1&gene=genemark-scf7180000099597-processed-gene-0.97&CDS=1-1974
437	OG0000437	YAL051W	maker-scf7180000099597-snap-gene-0.123-mRNA-1_1&gene=maker-scf7180000099597-snap-gene-0.123&CDS=1-3549
438	OG0000438	YAL053W	snap_masked-scf7180000099597-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.71&CDS=1-2538
439	OG0000439	YAL054C	snap_masked-scf7180000099597-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.55&CDS=1-2160
440	OG0000440	YAL055W	augustus_masked-scf7180000099671-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-scf7180000099671-processed-gene-0.44&CDS=1-528
441	OG0000441	YAL059W	snap_masked-scf7180000099597-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scf7180000099597-processed-gene-0.75&CDS=1-597
442	OG0000442	YAL060W	maker-scf7180000099597-snap-gene-0.124-mRNA-1_1&gene=maker-scf7180000099597-snap-gene-0.124&CDS=1-1959
443	OG0000443	YAL067C	snap_masked-scf7180000099598-processed-gene-0.30-mRNA-1_1&gene=snap_masked-scf7180000099598-processed-gene-0.30&CDS=1-1719
444	OG0000444	YAR002C-A	genemark-scf7180000099698-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000099698-processed-gene-0.14&CDS=1-663
445	OG0000445	YAR002W	augustus_masked-scf7180000099698-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-scf7180000099698-processed-gene-0.33&CDS=1-1836
446	OG0000446	YAR003W	snap_masked-scf7180000099698-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000099698-processed-gene-0.21&CDS=1-1500
447	OG0000447	YAR007C	snap_masked-scf7180000099698-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000099698-processed-gene-0.29&CDS=1-1863
448	OG0000448	YAR008W	augustus_masked-scf7180000099698-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000099698-processed-gene-0.36&CDS=1-1020
449	OG0000449	YAR015W	snap_masked-scf7180000099428-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000099428-processed-gene-0.2&CDS=1-924
450	OG0000450	YAR018C	maker-scf7180000099615-augustus-gene-2.93-mRNA-1_1&gene=maker-scf7180000099615-augustus-gene-2.93&CDS=1-4677
451	OG0000451	YAR035W	snap_masked-scf7180000099428-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000099428-processed-gene-0.1&CDS=1-2229
452	OG0000452	YBL001C	snap_masked-scf7180000099434-processed-gene-0.15-mRNA-1_1&gene=snap_masked-scf7180000099434-processed-gene-0.15&CDS=1-312
453	OG0000453	YBL004W	snap_masked-scf7180000099455-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000099455-processed-gene-0.2&CDS=1-2346
