	OrthologID	Saccharomyces_cerevisiae	Schizosaccharomyces_pomb
340	OG0000340	YKR060W	SPAC8F11.04_pep, SPCC306.07c_pep
341	OG0000341	YKR076W, YMR251W	SPCC1281.07c_pep
342	OG0000342	YKR089C, YOR081C	SPAC1A6.05c_pep
343	OG0000343	YLL016W, YLR310C	SPCC1442.01_pep
344	OG0000344	YLL055W	SPBPB10D8.01_pep, SPCPB1C11.03_pep
345	OG0000345	YLR045C	SPCC736.14_pep, SPCC895.07_pep
346	OG0000346	YLR075W	SPAP7G5.05_pep, SPBC18E5.04_pep
347	OG0000347	YLR167W	SPAC589.10c_pep, SPAC6G10.11c_pep
348	OG0000348	YLR207W	SPAC1B3.10c_pep, SPBC28F2.08c_pep
349	OG0000349	YLR248W	SPAC23A1.06c_pep, SPCC1322.08_pep
350	OG0000350	YLR251W	SPAC3G6.05_pep, SPAC4G9.14_pep
351	OG0000351	YLR260W, YOR171C	SPAC4A8.07c_pep
352	OG0000352	YLR270W, YOR173W	SPBP4H10.20_pep
353	OG0000353	YLR299W	SPAC56E4.06c_pep, SPAC664.09_pep
354	OG0000354	YLR300W, YOR190W	SPBC1105.05_pep
355	OG0000355	YLR325C	SPAC30D11.12_pep, SPBC577.02_pep
356	OG0000356	YLR411W	SPAC1142.05_pep, SPCC1393.10_pep
357	OG0000357	YLR430W	SPAC6G9.10c_pep, SPBC29A10.10c_pep
358	OG0000358	YLR448W, YML073C	SPCC622.18_pep
359	OG0000359	YLR449W, YML074C	SPBC1347.02_pep
360	OG0000360	YLR450W, YML075C	SPCC162.09c_pep
361	OG0000361	YLR456W, YPR172W	SPAC1952.08c_pep
362	OG0000362	YML032C	SPAC30D11.10_pep, SPBC119.14_pep
363	OG0000363	YML106W, YMR271C	SPBC725.15_pep
364	OG0000364	YML109W, YMR273C	SPAC31F12.01_pep
365	OG0000365	YML118W, YMR285C	SPBC9B6.11c_pep
366	OG0000366	YMR027W	SPAC806.04c_pep, SPCC1393.13_pep
367	OG0000367	YMR042W, YMR043W	SPAC11E3.06_pep
368	OG0000368	YMR073C	SPAC1F12.10c_pep, SPCC330.03c_pep
369	OG0000369	YMR075W	SPAC16C9.05_pep, SPAC2F7.07c_pep
370	OG0000370	YMR139W	SPAC1687.15_pep, SPBC8D2.01_pep
371	OG0000371	YMR152W	SPBC16A3.02c_pep, SPBC1773.06c_pep
372	OG0000372	YMR169C, YMR170C	SPAC922.07c_pep
373	OG0000373	YMR177W, YPL224C	SPCC1020.03_pep
374	OG0000374	YMR182C, YPL230W	SPAC144.02_pep
375	OG0000375	YMR183C, YPL232W	SPCC825.03c_pep
376	OG0000376	YMR192W, YPL249C	SPAC26F1.09_pep
377	OG0000377	YMR222C, YOR280C	SPCC1223.08c_pep
378	OG0000378	YMR233W, YOR295W	SPCC285.17_pep
379	OG0000379	YMR237W, YOR299W	SPBC31F10.16_pep
380	OG0000380	YMR243C, YOR316C	SPAC23C11.14_pep
381	OG0000381	YMR304W	SPBC713.02c_pep, SPCC188.08c_pep
382	OG0000382	YMR315W	SPAC26H5.09c_pep, SPBC115.03_pep
383	OG0000383	YNL096C, YOR096W	SPAC18G6.14c_pep
384	OG0000384	YNL104C, YOR108W	SPBC3E7.16c_pep
385	OG0000385	YNL106C, YOR109W	SPBC2G2.02_pep
386	OG0000386	YNL189W	SPBC1604.08c_pep, SPCC962.03c_pep
387	OG0000387	YNL229C	SPCC191.09c_pep, SPCC965.07c_pep
388	OG0000388	YNL231C, YNL264C	SPCC23B6.04c_pep
389	OG0000389	YNL293W, YOL112W	SPCC4G3.09c_pep
390	OG0000390	YNL299W, YOL115W	SPAC12G12.13c_pep
391	OG0000391	YOL040C	SPAC1071.07c_pep, SPCC1393.03_pep
392	OG0000392	YOL127W	SPBC106.18_pep, SPBC4F6.04_pep
393	OG0000393	YOL139C	SPAC16E8.15_pep, SPBC1709.18_pep
394	OG0000394	YOR043W	SPAC20H4.08_pep, SPBP4H10.16c_pep
395	OG0000395	YOR063W	SPAC17A5.03_pep, SPAPB8E5.06c_pep
396	OG0000396	YOR093C	SPAC22F3.04_pep, SPAC56F8.02_pep
397	OG0000397	YOR191W	SPAC17A2.12_pep, SPBC23E6.02_pep
398	OG0000398	YOR226C, YPL135W	SPAC227.13c_pep
399	OG0000399	YOR231W, YPL140C	SPBC543.07_pep
400	OG0000400	YOR233W, YPL141C	SPAC110.01_pep
401	OG0000401	YOR256C, YPL176C	SPBC354.09c_pep
402	OG0000402	YOR285W, YOR286W	SPAC4H3.07c_pep
403	OG0000403	YOR322C	SPAC1F12.05_pep, SPBC18H10.20c_pep
404	OG0000404	YOR369C	SPBC1685.02c_pep, SPCC962.04_pep
405	OG0000405	YPL088W	SPAC750.01_pep, SPAC977.14c_pep
406	OG0000406	YPL111W	SPAC3H1.07_pep, SPBP26C9.02c_pep
407	OG0000407	YPL131W	SPAC3H5.12c_pep, SPBC11C11.09c_pep
408	OG0000408	YPL132W	SPAC1420.04c_pep, SPAC19B12.13_pep
409	OG0000409	YPR013C, YPR015C	SPAC25B8.19c_pep
410	OG0000410	YPR022C	SPAC1039.05c_pep, SPBC1198.04c_pep
411	OG0000411	YPR065W	SPBC1711.02_pep, SPBC23G7.09_pep
412	OG0000412	YPR095C	SPAC19A8.01c_pep, SPAC26F1.01_pep
413	OG0000413	YPR165W	SPAC1F7.04_pep, SPAC20H4.11c_pep
414	OG0000414	YPR169W-A, YPR170W-B	SPAC2F3.18c_pep
415	OG0000415	Q0050, Q0055	SPMIT.06_pep
416	OG0000416	YAL001C	SPBC336.07_pep
417	OG0000417	YAL003W	SPCC1450.04_pep
418	OG0000418	YAL009W	SPBC902.03_pep
419	OG0000419	YAL010C	SPAC17H9.17c_pep
420	OG0000420	YAL016W	SPAP8A3.09c_pep
421	OG0000421	YAL020C	SPAC10F6.04_pep
422	OG0000422	YAL021C	SPCC31H12.08c_pep
423	OG0000423	YAL025C	SPAC222.06_pep
424	OG0000424	YAL026C	SPBC887.12_pep
425	OG0000425	YAL032C	SPCC188.11_pep
426	OG0000426	YAL033W	SPCC830.09c_pep
427	OG0000427	YAL034W-A	SPBC409.04c_pep
428	OG0000428	YAL035W	SPAC56F8.03_pep
429	OG0000429	YAL036C	SPAC9.07c_pep
430	OG0000430	YAL038W	SPAC4H3.10c_pep
431	OG0000431	YAL039C	SPBC26H8.12_pep
432	OG0000432	YAL041W	SPAC16E8.09_pep
433	OG0000433	YAL042W	SPAC24B11.08c_pep
434	OG0000434	YAL043C	SPAC1071.01c_pep
435	OG0000435	YAL044C	SPBP19A11.01_pep
436	OG0000436	YAL044W-A	SPBC16E9.06c_pep
437	OG0000437	YAL046C	SPCC4B3.11c_pep
438	OG0000438	YAL048C	SPCC320.04c_pep
439	OG0000439	YAL058W	SPAC3C7.11c_pep
440	OG0000440	YAR003W	SPAC23H3.05c_pep
441	OG0000441	YAR007C	SPBC660.13c_pep
442	OG0000442	YAR008W	SPBC19C7.07c_pep
443	OG0000443	YAR014C	SPBC1706.01_pep
444	OG0000444	YAR015W	SPBC409.10_pep
445	OG0000445	YAR018C	SPAC19E9.02_pep
446	OG0000446	YBL004W	SPBC56F2.04_pep
447	OG0000447	YBL007C	SPAC16E8.01_pep
448	OG0000448	YBL011W	SPBC1718.04_pep
449	OG0000449	YBL013W	SPAC1805.09c_pep
450	OG0000450	YBL015W	SPAC1952.09c_pep
451	OG0000451	YBL019W	SPBC3D6.10_pep
452	OG0000452	YBL020W	SPBC887.19_pep
453	OG0000453	YBL021C	SPAC23C11.08_pep
454	OG0000454	YBL022C	SPAC22F3.06c_pep
455	OG0000455	YBL023C	SPBC4.04c_pep
456	OG0000456	YBL026W	SPCC1620.01c_pep
457	OG0000457	YBL028C	SPBC32H8.05_pep
458	OG0000458	YBL033C	SPAP27G11.09c_pep
459	OG0000459	YBL034C	SPAC3G9.12_pep
460	OG0000460	YBL035C	SPCC553.09c_pep
461	OG0000461	YBL036C	SPAC644.09_pep
462	OG0000462	YBL037W	SPBC691.03c_pep
463	OG0000463	YBL038W	SPBC1105.03c_pep
464	OG0000464	YBL039C	SPAC10F6.03c_pep
465	OG0000465	YBL040C	SPBP8B7.22_pep
466	OG0000466	YBL041W	SPAC22F8.06_pep
467	OG0000467	YBL047C	SPBC800.10c_pep
468	OG0000468	YBL049W	SPAPJ691.02_pep
469	OG0000469	YBL050W	SPAC959.02_pep
470	OG0000470	YBL055C	SPBC17A3.08_pep
471	OG0000471	YBL057C	SPAC19A8.14_pep
472	OG0000472	YBL058W	SPAC343.09_pep
473	OG0000473	YBL060W	SPAC11E3.11c_pep
474	OG0000474	YBL063W	SPAC25G10.07c_pep
475	OG0000475	YBL071W-A	SPAC8F11.02c_pep
476	OG0000476	YBL076C	SPBC8D2.06_pep
477	OG0000477	YBL078C	SPBP8B7.24c_pep
478	OG0000478	YBL080C	SPAC343.13_pep
479	OG0000479	YBL082C	SPAC7D4.06c_pep
480	OG0000480	YBL084C	SPAC17C9.01c_pep
481	OG0000481	YBL086C	SPCC1494.08c_pep
482	OG0000482	YBL088C	SPCC23B6.03c_pep
483	OG0000483	YBL090W	SPBC839.09c_pep
484	OG0000484	YBL091C	SPBC14C8.03_pep
485	OG0000485	YBL093C	SPCC1450.05c_pep
486	OG0000486	YBL095W	SPAPB2B4.06_pep
487	OG0000487	YBL097W	SPCC306.03c_pep
488	OG0000488	YBL099W	SPAC14C4.14_pep
489	OG0000489	YBL102W	SPAC1527.02_pep
490	OG0000490	YBL104C	SPAC12G12.01c_pep
491	OG0000491	YBL105C	SPBC12D12.04c_pep
492	OG0000492	YBR002C	SPAC4D7.04c_pep
493	OG0000493	YBR003W	SPBPJ4664.01_pep
494	OG0000494	YBR004C	SPAC18B11.05_pep
495	OG0000495	YBR006W	SPAC1002.12c_pep
496	OG0000496	YBR011C	SPAC23C11.05_pep
497	OG0000497	YBR017C	SPAC2F3.06c_pep
498	OG0000498	YBR018C	SPBPB2B2.10c_pep
499	OG0000499	YBR019C	SPBPB2B2.12c_pep
500	OG0000500	YBR025C	SPAC27E2.03c_pep
501	OG0000501	YBR026C	SPAC26F1.04c_pep
502	OG0000502	YBR028C	SPCC4G3.08_pep
503	OG0000503	YBR029C	SPBC13A2.03_pep
504	OG0000504	YBR034C	SPAC890.07c_pep
505	OG0000505	YBR035C	SPAC1093.02_pep
506	OG0000506	YBR038W	SPAC13G6.12c_pep
507	OG0000507	YBR039W	SPBC1734.13_pep
508	OG0000508	YBR046C	SPCC1442.16c_pep
509	OG0000509	YBR055C	SPBC6B1.07_pep
510	OG0000510	YBR056W	SPBC2D10.05_pep
511	OG0000511	YBR058C	SPBC6B1.06c_pep
512	OG0000512	YBR060C	SPBC685.09_pep
513	OG0000513	YBR061C	SPAC4F10.03c_pep
514	OG0000514	YBR062C	SPBC2A9.04c_pep
515	OG0000515	YBR065C	SPCC550.02c_pep
516	OG0000516	YBR070C	SPAC5D6.06c_pep
517	OG0000517	YBR074W	SPCC1919.12c_pep
518	OG0000518	YBR079C	SPBC17D11.05_pep
519	OG0000519	YBR080C	SPAC1834.11c_pep
520	OG0000520	YBR081C	SPBC25H2.11c_pep
521	OG0000521	YBR082C	SPBC119.02_pep
522	OG0000522	YBR085W	SPBC530.10c_pep
523	OG0000523	YBR086C	SPBC691.05c_pep
524	OG0000524	YBR087W	SPBC83.14c_pep
525	OG0000525	YBR088C	SPBC16D10.09_pep
526	OG0000526	YBR094W	SPAC12B10.04_pep
527	OG0000527	YBR097W	SPBC119.07_pep
528	OG0000528	YBR101C	SPBC3B9.01_pep
529	OG0000529	YBR106W	SPBC16H5.04_pep
530	OG0000530	YBR109C	SPAC3A12.14_pep
531	OG0000531	YBR110W	SPAC23C4.14_pep
532	OG0000532	YBR111C	SPBP35G2.12_pep
533	OG0000533	YBR111W-A	SPBC6B1.12c_pep
534	OG0000534	YBR112C	SPBC23E6.09_pep
535	OG0000535	YBR114W	SPCC330.01c_pep
536	OG0000536	YBR115C	SPAP7G5.04c_pep
537	OG0000537	YBR121C	SPAC3F10.03_pep
538	OG0000538	YBR123C	SPAC6F12.11c_pep
539	OG0000539	YBR126C	SPAC328.03_pep
540	OG0000540	YBR127C	SPAC637.05c_pep
541	OG0000541	YBR133C	SPBC16H5.11c_pep
542	OG0000542	YBR135W	SPBC1734.14c_pep
543	OG0000543	YBR136W	SPBC216.05_pep
544	OG0000544	YBR137W	SPBP4H10.12_pep
545	OG0000545	YBR139W	SPAC19G12.10c_pep
546	OG0000546	YBR141C	SPAC630.10_pep
547	OG0000547	YBR142W	SPBC4F6.07c_pep
548	OG0000548	YBR143C	SPAC1834.01_pep
549	OG0000549	YBR146W	SPAC29A4.03c_pep
550	OG0000550	YBR153W	SPBC21C3.10c_pep
551	OG0000551	YBR154C	SPAC23C4.15_pep
552	OG0000552	YBR155W	SPAC17A2.04c_pep
553	OG0000553	YBR156C	SPBC336.15_pep
554	OG0000554	YBR159W	SPAC4G9.15_pep
555	OG0000555	YBR160W	SPBC11B10.09_pep
556	OG0000556	YBR162C	SPBP23A10.11c_pep
557	OG0000557	YBR166C	SPCC1494.04c_pep
558	OG0000558	YBR168W	SPCC550.09_pep
559	OG0000559	YBR170C	SPBC1711.10c_pep
560	OG0000560	YBR171W	SPBC409.21_pep
561	OG0000561	YBR173C	SPCC14G10.03c_pep
562	OG0000562	YBR175W	SPBC1289.11_pep
563	OG0000563	YBR176W	SPAC5H10.09c_pep
564	OG0000564	YBR179C	SPBC1706.03_pep
565	OG0000565	YBR192W	SPAC688.09_pep
566	OG0000566	YBR193C	SPBC21.04_pep
567	OG0000567	YBR196C	SPBC1604.05_pep
568	OG0000568	YBR200W	SPAC22H10.07_pep
569	OG0000569	YBR202W	SPBC25D12.03c_pep
570	OG0000570	YBR213W	SPAC4D7.06c_pep
571	OG0000571	YBR215W	SPBC947.08c_pep
572	OG0000572	YBR217W	SPAC1783.06c_pep
573	OG0000573	YBR220C	SPBC21B10.09_pep
574	OG0000574	YBR221C	SPBC30D10.13c_pep
575	OG0000575	YBR222C	SPCC1827.03c_pep
576	OG0000576	YBR223C	SPCP31B10.05_pep
577	OG0000577	YBR228W	SPAP27G11.15_pep
578	OG0000578	YBR229C	SPAC1002.03c_pep
579	OG0000579	YBR231C	SPCC576.13_pep
580	OG0000580	YBR233W	SPCC757.09c_pep
581	OG0000581	YBR233W-A	SPAC14C4.16_pep
582	OG0000582	YBR234C	SPBC14C8.06_pep
583	OG0000583	YBR235W	SPBC18H10.16_pep
584	OG0000584	YBR236C	SPCC330.10_pep
585	OG0000585	YBR237W	SPCC10H11.01_pep
586	OG0000586	YBR243C	SPBC15D4.04_pep
587	OG0000587	YBR246W	SPCC18.15_pep
588	OG0000588	YBR247C	SPBC13G1.09_pep
589	OG0000589	YBR248C	SPBC418.01c_pep
590	OG0000590	YBR249C	SPAC24H6.10c_pep
591	OG0000591	YBR251W	SPAC4G9.17c_pep
592	OG0000592	YBR252W	SPAC644.05c_pep
593	OG0000593	YBR254C	SPBC11G11.04_pep
594	OG0000594	YBR256C	SPCC1450.13c_pep
595	OG0000595	YBR257W	SPBC1703.01c_pep
596	OG0000596	YBR260C	SPBC23G7.08c_pep
597	OG0000597	YBR261C	SPAC16E8.14c_pep
598	OG0000598	YBR265W	SPCC1450.15_pep
599	OG0000599	YBR267W	SPCC550.15c_pep
600	OG0000600	YBR268W	SPCC645.09_pep
601	OG0000601	YBR269C	SPBC26H8.16_pep
602	OG0000602	YBR271W	SPCC338.11c_pep
603	OG0000603	YBR274W	SPCC1259.13_pep
604	OG0000604	YBR279W	SPAC664.03_pep
605	OG0000605	YBR280C	SPBC3H7.06c_pep
606	OG0000606	YBR282W	SPAC3A12.19_pep
607	OG0000607	YBR287W	SPAC5D6.04_pep
608	OG0000608	YBR289W	SPAC2F7.08c_pep
609	OG0000609	YBR290W	SPAC328.07c_pep
610	OG0000610	YBR291C	SPAC19G12.05_pep
611	OG0000611	YBR293W	SPBC460.03_pep
612	OG0000612	YCL001W	SPAC22E12.05c_pep
613	OG0000613	YCL004W	SPBP18G5.02_pep
614	OG0000614	YCL005W-A	SPBC1685.16_pep
615	OG0000615	YCL009C	SPBC14C8.04_pep
616	OG0000616	YCL010C	SPBC1921.07c_pep
617	OG0000617	YCL012C	SPAC1687.07_pep
618	OG0000618	YCL016C	SPAC31A2.15c_pep
619	OG0000619	YCL017C	SPBC21D10.11c_pep
620	OG0000620	YCL018W	SPBC1A4.02c_pep
621	OG0000621	YCL030C	SPBC1711.13_pep
622	OG0000622	YCL031C	SPBC776.17_pep
623	OG0000623	YCL033C	SPBC216.04c_pep
624	OG0000624	YCL034W	SPBC31F10.07_pep
625	OG0000625	YCL038C	SPAC2G11.13_pep
626	OG0000626	YCL039W	SPAC343.04c_pep
627	OG0000627	YCL043C	SPAC1F5.02_pep
628	OG0000628	YCL045C	SPAC25H1.07_pep
629	OG0000629	YCL047C	SPAC694.03_pep
630	OG0000630	YCL054W	SPAC1687.11_pep
631	OG0000631	YCL057C-A	SPAPJ691.03_pep
632	OG0000632	YCL059C	SPBC25B2.05_pep
633	OG0000633	YCL061C	SPAC694.06c_pep
634	OG0000634	YCR002C	SPAC821.06_pep
635	OG0000635	YCR003W	SPBC1604.13c_pep
636	OG0000636	YCR008W	SPAC29A4.16_pep
637	OG0000637	YCR009C	SPBC725.09c_pep
638	OG0000638	YCR012W	SPBC14F5.04c_pep
639	OG0000639	YCR017C	SPAC589.12_pep
640	OG0000640	YCR019W	SPAC16C9.01c_pep
641	OG0000641	YCR024C	SPBC1198.10c_pep
642	OG0000642	YCR027C	SPBC428.16c_pep
643	OG0000643	YCR028C	SPBC2G2.01c_pep
644	OG0000644	YCR028C-A	SPAC2F3.04c_pep
645	OG0000645	YCR032W	SPBC28E12.06c_pep
646	OG0000646	YCR033W	SPAC22E12.19_pep
647	OG0000647	YCR034W	SPAC1B2.03c_pep
648	OG0000648	YCR036W	SPBC16G5.02c_pep
649	OG0000649	YCR042C	SPAC3A12.05c_pep
650	OG0000650	YCR044C	SPAC823.07_pep
651	OG0000651	YCR046C	SPAC343.02_pep
652	OG0000652	YCR047C	SPAC26A3.06_pep
653	OG0000653	YCR051W	SPCP1E11.10_pep
654	OG0000654	YCR053W	SPAC9E9.06c_pep
655	OG0000655	YCR054C	SPCC584.14_pep
656	OG0000656	YCR057C	SPBC713.04c_pep
657	OG0000657	YCR059C	SPAC27E2.02_pep
658	OG0000658	YCR061W	SPBC3B8.06_pep
659	OG0000659	YCR063W	SPBC24C6.11_pep
660	OG0000660	YCR066W	SPBC1734.06_pep
661	OG0000661	YCR068W	SPAC23C4.16c_pep
662	OG0000662	YCR071C	SPAC3H8.03_pep
663	OG0000663	YCR072C	SPCC18.05c_pep
664	OG0000664	YCR077C	SPBC19G7.10c_pep
665	OG0000665	YCR081W	SPAC688.08_pep
666	OG0000666	YCR087C-A	SPBC215.06c_pep
667	OG0000667	YCR088W	SPAPJ760.02c_pep
668	OG0000668	YCR090C	SPBC2D10.03c_pep
669	OG0000669	YCR092C	SPAC8F11.03_pep
670	OG0000670	YCR093W	SPAC20G8.06_pep
671	OG0000671	YCR098C	SPBC1271.09_pep
672	OG0000672	YDL001W	SPCC16C4.01_pep
673	OG0000673	YDL003W	SPCC338.17c_pep
674	OG0000674	YDL004W	SPBC13E7.04_pep
675	OG0000675	YDL007W	SPBC4.07c_pep
676	OG0000676	YDL008W	SPAC343.03_pep
677	OG0000677	YDL014W	SPBC2D10.10c_pep
678	OG0000678	YDL015C	SPBC646.07c_pep
679	OG0000679	YDL020C	SPBC1105.14_pep
680	OG0000680	YDL028C	SPBC106.01_pep
681	OG0000681	YDL029W	SPAC11H11.06_pep
682	OG0000682	YDL030W	SPBC36.09_pep
683	OG0000683	YDL031W	SPAC31A2.07c_pep
684	OG0000684	YDL033C	SPAC23H4.04_pep
685	OG0000685	YDL035C	SPCC1753.02c_pep
686	OG0000686	YDL036C	SPAC18B11.02c_pep
687	OG0000687	YDL040C	SPCC338.07c_pep
688	OG0000688	YDL045C	SPCC1235.04c_pep
689	OG0000689	YDL046W	SPAPB8E5.04c_pep
690	OG0000690	YDL047W	SPCC1739.12_pep
691	OG0000691	YDL051W	SPAC57A10.10c_pep
692	OG0000692	YDL052C	SPAC1851.02_pep
693	OG0000693	YDL055C	SPCC1906.01_pep
694	OG0000694	YDL058W	SPAC29E6.03c_pep
695	OG0000695	YDL060W	SPAC23H4.15_pep
696	OG0000696	YDL063C	SPBC1703.03c_pep
697	OG0000697	YDL064W	SPAC30D11.13_pep
698	OG0000698	YDL065C	SPAC17C9.14_pep
699	OG0000699	YDL066W	SPAC6G10.08_pep
700	OG0000700	YDL067C	SPCC1259.05c_pep
701	OG0000701	YDL072C	SPAC9E9.04_pep
702	OG0000702	YDL074C	SPCC970.10c_pep
703	OG0000703	YDL076C	SPCC1259.07_pep
704	OG0000704	YDL077C	SPAC23H4.14_pep
705	OG0000705	YDL084W	SPAC17G6.14c_pep
706	OG0000706	YDL087C	SPCC16A11.13_pep
707	OG0000707	YDL090C	SPAC17G6.04c_pep
708	OG0000708	YDL091C	SPCC285.11_pep
709	OG0000709	YDL097C	SPAC23G3.11_pep
710	OG0000710	YDL098C	SPAC22F3.11c_pep
711	OG0000711	YDL100C	SPAC1142.06_pep
712	OG0000712	YDL102W	SPBC336.04_pep
713	OG0000713	YDL103C	SPBC1289.08_pep
714	OG0000714	YDL104C	SPCC1259.10_pep
715	OG0000715	YDL105W	SPBC20F10.04c_pep
716	OG0000716	YDL108W	SPBC19F8.07_pep
717	OG0000717	YDL111C	SPBC16G5.10_pep
718	OG0000718	YDL116W	SPBC428.01c_pep
719	OG0000719	YDL117W	SPAC9G1.06c_pep
720	OG0000720	YDL119C	SPAC823.10c_pep
721	OG0000721	YDL120W	SPCC1183.03c_pep
722	OG0000722	YDL124W	SPAC19G12.09_pep
723	OG0000723	YDL125C	SPCC1442.14c_pep
724	OG0000724	YDL126C	SPAC1565.08_pep
725	OG0000725	YDL128W	SPCC1795.02c_pep
726	OG0000726	YDL131W	SPBC1105.02c_pep
727	OG0000727	YDL132W	SPAC17G6.12_pep
728	OG0000728	YDL134C	SPBC16H5.07c_pep
729	OG0000729	YDL135C	SPAC6F12.06_pep
730	OG0000730	YDL137W	SPBC4F6.18c_pep
731	OG0000731	YDL140C	SPBC28F2.12_pep
732	OG0000732	YDL141W	SPBC30D10.07c_pep
733	OG0000733	YDL143W	SPBC106.06_pep
734	OG0000734	YDL145C	SPBPJ4664.04_pep
735	OG0000735	YDL146W	SPBC24C6.10c_pep
736	OG0000736	YDL148C	SPBC3F6.04c_pep
737	OG0000737	YDL149W	SPBC15D4.07c_pep
738	OG0000738	YDL150W	SPCC18.07_pep
739	OG0000739	YDL153C	SPBC3B8.09_pep
740	OG0000740	YDL160C	SPBC776.09_pep
741	OG0000741	YDL164C	SPAC20G8.01_pep
742	OG0000742	YDL165W	SPCC4G3.15c_pep
743	OG0000743	YDL166C	SPCC830.11c_pep
744	OG0000744	YDL167C	SPAC17H9.04c_pep
745	OG0000745	YDL168W	SPCC13B11.04c_pep
746	OG0000746	YDL170W	SPCC965.10_pep
747	OG0000747	YDL171C	SPAPB1E7.07_pep
748	OG0000748	YDL178W	SPBC713.03_pep
749	OG0000749	YDL183C	SPAC23H3.12c_pep
750	OG0000750	YDL185W	SPAC343.05_pep
751	OG0000751	YDL190C	SPAC20H4.10_pep
752	OG0000752	YDL193W	SPBC2A9.06c_pep
753	OG0000753	YDL195W	SPBC8D2.20c_pep
754	OG0000754	YDL198C	SPCC1682.09c_pep
755	OG0000755	YDL200C	SPAC1250.04c_pep
756	OG0000756	YDL201W	SPCPB16A4.04c_pep
757	OG0000757	YDL205C	SPAC24B11.13_pep
758	OG0000758	YDL206W	SPAC3A12.06c_pep
759	OG0000759	YDL207W	SPBC31E1.05_pep
760	OG0000760	YDL208W	SPAC1782.10c_pep
761	OG0000761	YDL209C	SPAC3A12.11c_pep
762	OG0000762	YDL212W	SPBC409.20c_pep
763	OG0000763	YDL213C	SPBC365.04c_pep
764	OG0000764	YDL215C	SPCC132.04c_pep
765	OG0000765	YDL216C	SPAC1687.13c_pep
766	OG0000766	YDL217C	SPBC25H2.04c_pep
767	OG0000767	YDL219W	SPAC8C9.05_pep
768	OG0000768	YDL226C	SPCC622.14_pep
769	OG0000769	YDL230W	SPAC26F1.10c_pep
770	OG0000770	YDL234C	SPAC630.05_pep
771	OG0000771	YDL235C	SPBC725.02_pep
772	OG0000772	YDL236W	SPBC15D4.15_pep
773	OG0000773	YDL238C	SPCC1672.03c_pep
774	OG0000774	YDL240W	SPBC3F6.05_pep
775	OG0000775	YDR001C	SPBC660.07_pep
776	OG0000776	YDR002W	SPBC1773.07c_pep
777	OG0000777	YDR004W	SPAC20H4.07_pep
778	OG0000778	YDR005C	SPAC31G5.12c_pep
779	OG0000779	YDR013W	SPBP23A10.09_pep
780	OG0000780	YDR017C	SPCC970.08_pep
781	OG0000781	YDR019C	SPAC31G5.14_pep
782	OG0000782	YDR021W	SPAC1F5.10_pep
783	OG0000783	YDR023W	SPAC29A4.15_pep
784	OG0000784	YDR027C	SPAC2F3.10_pep
785	OG0000785	YDR028C	SPAC227.15_pep
786	OG0000786	YDR030C	SPBC577.09_pep
787	OG0000787	YDR032C	SPAC3C7.14c_pep
788	OG0000788	YDR036C	SPBC2D10.09_pep
789	OG0000789	YDR037W	SPBC17G9.03c_pep
790	OG0000790	YDR041W	SPBC211.01_pep
791	OG0000791	YDR044W	SPAC222.11_pep
792	OG0000792	YDR045C	SPAC22A12.05_pep
793	OG0000793	YDR047W	SPCC4B3.05c_pep
794	OG0000794	YDR049W	SPCC1827.04_pep
795	OG0000795	YDR050C	SPCC24B10.21_pep
796	OG0000796	YDR060W	SPAC4F10.09c_pep
797	OG0000797	YDR061W	SPAC323.04_pep
798	OG0000798	YDR062W	SPAC21E11.08_pep
799	OG0000799	YDR063W	SPAC17H9.11_pep
800	OG0000800	YDR064W	SPAC6F6.07c_pep
801	OG0000801	YDR068W	SPAC22A12.14c_pep
802	OG0000802	YDR071C	SPAC9.02c_pep
803	OG0000803	YDR074W	SPAC19G12.15c_pep
804	OG0000804	YDR079C-A	SPBC32F12.15_pep
805	OG0000805	YDR080W	SPAP27G11.05c_pep
806	OG0000806	YDR083W	SPAC56F8.09_pep
807	OG0000807	YDR084C	SPBC2A9.05c_pep
808	OG0000808	YDR086C	SPAC4G8.02c_pep
809	OG0000809	YDR087C	SPBC9B6.07_pep
810	OG0000810	YDR088C	SPBC365.05c_pep
811	OG0000811	YDR090C	SPAC2E12.03c_pep
812	OG0000812	YDR091C	SPBC14F5.06_pep
813	OG0000813	YDR092W	SPAC11E3.04c_pep
814	OG0000814	YDR097C	SPCC285.16c_pep
815	OG0000815	YDR100W	SPAC6F12.04_pep
816	OG0000816	YDR104C	SPAC26H5.11_pep
817	OG0000817	YDR105C	SPAPB1A10.07c_pep
818	OG0000818	YDR106W	SPBC56F2.03_pep
819	OG0000819	YDR115W	SPBC21C3.04c_pep
820	OG0000820	YDR116C	SPAC1610.02c_pep
821	OG0000821	YDR120C	SPBC25D12.05_pep
822	OG0000822	YDR126W	SPBC13G1.07_pep
823	OG0000823	YDR127W	SPAC1834.02_pep
824	OG0000824	YDR128W	SPAC11E3.05_pep
825	OG0000825	YDR129C	SPBC1778.06c_pep
826	OG0000826	YDR139C	SPBC12D12.08c_pep
827	OG0000827	YDR140W	SPAC323.05c_pep
828	OG0000828	YDR141C	SPAPB21F2.02_pep
829	OG0000829	YDR142C	SPAC17D4.01_pep
830	OG0000830	YDR145W	SPAC15A10.02_pep
831	OG0000831	YDR148C	SPBC776.15c_pep
832	OG0000832	YDR152W	SPCC1393.09c_pep
