	OrthologID	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
170	OG0000170	genemark-ham-_s756-processed-gene-0.6-mRNA-1_1&gene=genemark-ham-_s756-processed-gene-0.6&CDS=1-1932, snap_masked-ham-_s48-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s48-processed-gene-0.4&CDS=1-1419	YKL221W, YNL125C
171	OG0000171	snap_masked-ham-_s482-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-2.26&CDS=1-930, snap_masked-ham-_s784-processed-gene-1.123-mRNA-1_1&gene=snap_masked-ham-_s784-processed-gene-1.123&CDS=1-1719	YCR060W, YOR027W
172	OG0000172	genemark-ham-_s482-processed-gene-4.145-mRNA-1_1&gene=genemark-ham-_s482-processed-gene-4.145&CDS=1-1602, genemark-ham-_s659-processed-gene-1.209-mRNA-1_1&gene=genemark-ham-_s659-processed-gene-1.209&CDS=1-1380	YDL091C, YML013W
173	OG0000173	maker-ham-_s539-snap-gene-0.73-mRNA-1_1&gene=maker-ham-_s539-snap-gene-0.73&CDS=1-4026, snap_masked-ham-_s587-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ham-_s587-processed-gene-0.32&CDS=1-3138	YLR389C, YPR122W
174	OG0000174	snap_masked-ham-_s54-processed-gene-0.113-mRNA-1_1&gene=snap_masked-ham-_s54-processed-gene-0.113&CDS=1-315, snap_masked-ham-_s635-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.29&CDS=1-315	YDL081C, YDL130W
175	OG0000175	snap_masked-ham-_s553-processed-gene-0.174-mRNA-1_1&gene=snap_masked-ham-_s553-processed-gene-0.174&CDS=1-1032	YCR102C, YLR460C, YNL134C
176	OG0000176	snap_masked-ham-_s553-processed-gene-0.176-mRNA-1_1&gene=snap_masked-ham-_s553-processed-gene-0.176&CDS=1-1326, snap_masked-ham-_s659-processed-gene-1.21-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-1.21&CDS=1-1533	YBR239C, YJL103C
177	OG0000177	snap_masked-ham-_s553-processed-gene-0.214-mRNA-1_1&gene=snap_masked-ham-_s553-processed-gene-0.214&CDS=1-693, snap_masked-ham-_s599-processed-gene-0.129-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.129&CDS=1-657	YFR042W, YJL097W
178	OG0000178	snap_masked-ham-_s564-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.32&CDS=1-1461, snap_masked-ham-_s727-processed-gene-0.26-mRNA-1_1&gene=snap_masked-ham-_s727-processed-gene-0.26&CDS=1-1431	YBR283C, YLR378C
179	OG0000179	genemark-ham-_s583-processed-gene-0.1-mRNA-1_1&gene=genemark-ham-_s583-processed-gene-0.1&CDS=1-1215, genemark-ham-_s583-processed-gene-0.2-mRNA-1_1&gene=genemark-ham-_s583-processed-gene-0.2&CDS=1-345, snap_masked-ham-_s90-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s90-processed-gene-0.1&CDS=1-1686	YDL210W
180	OG0000180	genemark-ham-_s711-processed-gene-0.37-mRNA-1_1&gene=genemark-ham-_s711-processed-gene-0.37&CDS=1-927, snap_masked-ham-_s619-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.16&CDS=1-912	YBR151W, YML050W
181	OG0000181	genemark-ham-_s654-processed-gene-0.20-mRNA-1_1&gene=genemark-ham-_s654-processed-gene-0.20&CDS=1-1263, snap_masked-ham-_s635-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s635-processed-gene-0.12&CDS=1-1497	YLR455W, YMR044W
182	OG0000182	snap_masked-ham-_s708-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s708-processed-gene-0.6&CDS=1-1056, snap_masked-ham-_s708-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s708-processed-gene-0.7&CDS=1-1008, snap_masked-ham-_s708-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s708-processed-gene-0.8&CDS=1-999	YJR019C
183	OG0000183	snap_masked-ham-_s727-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ham-_s727-processed-gene-0.33&CDS=1-2391, snap_masked-ham-_s756-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s756-processed-gene-0.9&CDS=1-1290	YER047C, YPR173C
184	OG0000184	snap_masked-ham-_s755-processed-gene-0.21-mRNA-1_1&gene=snap_masked-ham-_s755-processed-gene-0.21&CDS=1-1059, snap_masked-ham-_s880-processed-gene-0.22-mRNA-1_1&gene=snap_masked-ham-_s880-processed-gene-0.22&CDS=1-990	YCL064C, YIL167W
185	OG0000185	augustus_masked-ham-_s784-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-ham-_s784-processed-gene-1.89&CDS=1-2361	YBL005W, YER184C, YGL013C
186	OG0000186	snap_masked-ham-_s85-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s85-processed-gene-0.12&CDS=1-702	YFL060C, YMR095C, YNL334C
187	OG0000187	snap_masked-ham-_s879-processed-gene-0.32-mRNA-1_1&gene=snap_masked-ham-_s879-processed-gene-0.32&CDS=1-1437, snap_masked-ham-_s879-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s879-processed-gene-0.8&CDS=1-1362	YDR463W, YHR006W
188	OG0000188	augustus_masked-ham-_s99-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-ham-_s99-processed-gene-0.26&CDS=1-3762, snap_masked-ham-_s89-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s89-processed-gene-0.10&CDS=1-1077	YCR092C, YML019W
189	OG0000189		YKL222C, YLR266C, YOR162C, YOR172W
190	OG0000190	augustus_masked-ham-_C62453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C62453-processed-gene-0.0&CDS=1-174, augustus_masked-ham-_s264-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-ham-_s264-processed-gene-0.87&CDS=1-1431	YBR086C
191	OG0000191	augustus_masked-ham-_C65061-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C65061-processed-gene-0.2&CDS=1-306, snap_masked-ham-_s173-processed-gene-0.128-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.128&CDS=1-1305	YDR083W
192	OG0000192	snap_masked-ham-_C65309-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_C65309-processed-gene-0.0&CDS=1-120, snap_masked-ham-_s279-processed-gene-2.122-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.122&CDS=1-1572	YKL047W
193	OG0000193	augustus_masked-ham-_C65397-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C65397-processed-gene-0.0&CDS=1-306, snap_masked-ham-_s437-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s437-processed-gene-0.1&CDS=1-3150	YOL145C
194	OG0000194	augustus_masked-ham-_C66523-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C66523-processed-gene-0.0&CDS=1-372, snap_masked-ham-_s649-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s649-processed-gene-0.8&CDS=1-2181	YOR361C
195	OG0000195	augustus_masked-ham-_C67815-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C67815-processed-gene-0.0&CDS=1-291	YGL076C, YPL198W
196	OG0000196	augustus_masked-ham-_C68187-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C68187-processed-gene-0.2&CDS=1-561, augustus_masked-ham-_s663-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-ham-_s663-processed-gene-0.56&CDS=1-1476	YBL084C
197	OG0000197	augustus_masked-ham-_C68275-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_C68275-processed-gene-0.2&CDS=1-573, augustus_masked-ham-_s593-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-ham-_s593-processed-gene-0.99&CDS=1-1149	YAR002W
198	OG0000198	snap_masked-ham-_C68963-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_C68963-processed-gene-0.1&CDS=1-270, snap_masked-ham-_s336-processed-gene-1.100-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.100&CDS=1-1626	YDR479C
199	OG0000199	augustus_masked-ham-_C72645-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_C72645-processed-gene-0.1&CDS=1-618	YCR052W, YNR023W
200	OG0000200	snap_masked-ham-_s1-processed-gene-0.40-mRNA-1_1&gene=snap_masked-ham-_s1-processed-gene-0.40&CDS=1-435	YGR118W, YPR132W
201	OG0000201	augustus_masked-ham-_s100-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_s100-processed-gene-0.1&CDS=1-849, augustus_masked-ham-_s454-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-ham-_s454-processed-gene-0.15&CDS=1-1845	YHR027C
202	OG0000202	snap_masked-ham-_s103-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s103-processed-gene-0.27&CDS=1-1524, snap_masked-ham-_s121-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.67&CDS=1-1539	YKL103C
203	OG0000203	genemark-ham-_s108-processed-gene-0.22-mRNA-1_1&gene=genemark-ham-_s108-processed-gene-0.22&CDS=1-312	YGR027C, YLR333C
204	OG0000204	snap_masked-ham-_s108-processed-gene-0.82-mRNA-1_1&gene=snap_masked-ham-_s108-processed-gene-0.82&CDS=1-819	YDL049C, YJL174W
205	OG0000205	snap_masked-ham-_s109-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s109-processed-gene-0.0&CDS=1-1521	YBR214W, YGL056C
206	OG0000206	augustus_masked-ham-_s109-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-ham-_s109-processed-gene-0.34&CDS=1-717, maker-ham-_s536-snap-gene-0.110-mRNA-1_1&gene=maker-ham-_s536-snap-gene-0.110&CDS=1-1878	YAR014C
207	OG0000207	snap_masked-ham-_s109-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s109-processed-gene-0.8&CDS=1-186	YER057C, YIL051C
208	OG0000208	snap_masked-ham-_s112-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s112-processed-gene-0.0&CDS=1-189, snap_masked-ham-_s399-processed-gene-0.160-mRNA-1_1&gene=snap_masked-ham-_s399-processed-gene-0.160&CDS=1-6228	YJR140C
209	OG0000209	genemark-ham-_s113-processed-gene-0.14-mRNA-1_1&gene=genemark-ham-_s113-processed-gene-0.14&CDS=1-378, snap_masked-ham-_s888-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s888-processed-gene-0.36&CDS=1-672	YOR319W
210	OG0000210	snap_masked-ham-_s114-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s114-processed-gene-0.13&CDS=1-1155	YDR312W, YHR066W
211	OG0000211	snap_masked-ham-_s114-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s114-processed-gene-0.5&CDS=1-246	YHR021C, YKL156W
212	OG0000212	snap_masked-ham-_s117-processed-gene-0.29-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-0.29&CDS=1-594	YBL072C, YER102W
213	OG0000213	snap_masked-ham-_s117-processed-gene-1.12-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.12&CDS=1-996	YBR273C, YJL048C
214	OG0000214	snap_masked-ham-_s117-processed-gene-1.28-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.28&CDS=1-2001	YBR216C, YGL060W
215	OG0000215	snap_masked-ham-_s117-processed-gene-2.13-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.13&CDS=1-1665, snap_masked-ham-_s279-processed-gene-2.128-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.128&CDS=1-1410	YEL060C
216	OG0000216	maker-ham-_s181-augustus-gene-0.82-mRNA-1_1&gene=maker-ham-_s181-augustus-gene-0.82&CDS=1-1938, snap_masked-ham-_s117-processed-gene-2.20-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.20&CDS=1-1509	YBR006W
217	OG0000217	maker-ham-_s117-snap-gene-2.1-mRNA-1_1&gene=maker-ham-_s117-snap-gene-2.1&CDS=1-2805, snap_masked-ham-_s45-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ham-_s45-processed-gene-0.59&CDS=1-2742	YDL056W
218	OG0000218	augustus_masked-ham-_s315-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-ham-_s315-processed-gene-0.46&CDS=1-591, genemark-ham-_s117-processed-gene-2.138-mRNA-1_1&gene=genemark-ham-_s117-processed-gene-2.138&CDS=1-1779	YOL070C
219	OG0000219	augustus_masked-ham-_s689-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ham-_s689-processed-gene-0.16&CDS=1-321, snap_masked-ham-_s117-processed-gene-2.25-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.25&CDS=1-3663	YNL273W
220	OG0000220	snap_masked-ham-_s117-processed-gene-2.26-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.26&CDS=1-567, snap_masked-ham-_s701-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s701-processed-gene-0.14&CDS=1-177	YLR068W
221	OG0000221	snap_masked-ham-_s117-processed-gene-2.28-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.28&CDS=1-465	YBR048W, YDR025W
222	OG0000222	snap_masked-ham-_s117-processed-gene-2.66-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.66&CDS=1-636	YBR014C, YDL010W
223	OG0000223	snap_masked-ham-_s117-processed-gene-2.67-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.67&CDS=1-1653	YIR031C, YNL117W
224	OG0000224	snap_masked-ham-_s117-processed-gene-2.29-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.29&CDS=1-1611	YDL042C, YOL068C
225	OG0000225	snap_masked-ham-_s117-processed-gene-2.44-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.44&CDS=1-1581, snap_masked-ham-_s784-processed-gene-1.112-mRNA-1_1&gene=snap_masked-ham-_s784-processed-gene-1.112&CDS=1-237	YOR132W
226	OG0000226	snap_masked-ham-_s121-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.47&CDS=1-1593, snap_masked-ham-_s435-processed-gene-0.67-mRNA-1_1&gene=snap_masked-ham-_s435-processed-gene-0.67&CDS=1-1812	YLR248W
227	OG0000227	genemark-ham-_s121-processed-gene-0.108-mRNA-1_1&gene=genemark-ham-_s121-processed-gene-0.108&CDS=1-1086	YDL246C, YJR159W
228	OG0000228	snap_masked-ham-_s121-processed-gene-0.64-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.64&CDS=1-1437	YGR121C, YPR138C
229	OG0000229	augustus_masked-ham-_s75-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-ham-_s75-processed-gene-0.76&CDS=1-435, snap_masked-ham-_s121-processed-gene-0.70-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.70&CDS=1-1368	YML007W
230	OG0000230	snap_masked-ham-_s121-processed-gene-0.74-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.74&CDS=1-495	YDR418W, YEL054C
231	OG0000231	genemark-ham-_s121-processed-gene-0.165-mRNA-1_1&gene=genemark-ham-_s121-processed-gene-0.165&CDS=1-795	YGR214W, YLR048W
232	OG0000232	snap_masked-ham-_s121-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.36&CDS=1-900	YGL162W, YPR009W
233	OG0000233	snap_masked-ham-_s121-processed-gene-0.81-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.81&CDS=1-870	YBR183W, YPL087W
234	OG0000234	augustus_masked-ham-_s125-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s125-processed-gene-0.0&CDS=1-930, snap_masked-ham-_s773-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s773-processed-gene-0.28&CDS=1-2505	YHL023C
235	OG0000235	augustus_masked-ham-_s46-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ham-_s46-processed-gene-0.51&CDS=1-726, snap_masked-ham-_s125-processed-gene-0.39-mRNA-1_1&gene=snap_masked-ham-_s125-processed-gene-0.39&CDS=1-8169	YPR117W
236	OG0000236	snap_masked-ham-_s125-processed-gene-0.62-mRNA-1_1&gene=snap_masked-ham-_s125-processed-gene-0.62&CDS=1-1368, snap_masked-ham-_s76-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s76-processed-gene-0.1&CDS=1-1350	YAL040C
237	OG0000237	augustus_masked-ham-_s126-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-ham-_s126-processed-gene-0.7&CDS=1-975, snap_masked-ham-_s286-processed-gene-2.15-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.15&CDS=1-3183	YDL215C
238	OG0000238	genemark-ham-_s284-processed-gene-0.93-mRNA-1_1&gene=genemark-ham-_s284-processed-gene-0.93&CDS=1-933, snap_masked-ham-_s128-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s128-processed-gene-0.3&CDS=1-741	YNL025C
239	OG0000239	snap_masked-ham-_s132-processed-gene-0.35-mRNA-1_1&gene=snap_masked-ham-_s132-processed-gene-0.35&CDS=1-1617	YHL017W, YKL039W
240	OG0000240	snap_masked-ham-_s135-processed-gene-0.3-mRNA-1_1&gene=snap_masked-ham-_s135-processed-gene-0.3&CDS=1-1248	YLR449W, YML074C
241	OG0000241	augustus_masked-ham-_s279-processed-gene-3.61-mRNA-1_1&gene=augustus_masked-ham-_s279-processed-gene-3.61&CDS=1-2064, snap_masked-ham-_s139-processed-gene-0.12-mRNA-1_1&gene=snap_masked-ham-_s139-processed-gene-0.12&CDS=1-1698	YGL186C
242	OG0000242	augustus_masked-ham-_s538-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s538-processed-gene-0.0&CDS=1-147, genemark-ham-_s139-processed-gene-0.8-mRNA-1_1&gene=genemark-ham-_s139-processed-gene-0.8&CDS=1-504	YOL149W
243	OG0000243	genemark-ham-_s14-processed-gene-0.4-mRNA-1_1&gene=genemark-ham-_s14-processed-gene-0.4&CDS=1-951, snap_masked-ham-_s315-processed-gene-0.101-mRNA-1_1&gene=snap_masked-ham-_s315-processed-gene-0.101&CDS=1-423	YOR174W
244	OG0000244	snap_masked-ham-_s148-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s148-processed-gene-0.1&CDS=1-180, snap_masked-ham-_s800-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s800-processed-gene-0.1&CDS=1-687	YNL213C
245	OG0000245	augustus_masked-ham-_s15-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s15-processed-gene-0.0&CDS=1-270, snap_masked-ham-_s482-processed-gene-2.19-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-2.19&CDS=1-2583	YNL127W
246	OG0000246	snap_masked-ham-_s15-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ham-_s15-processed-gene-0.69&CDS=1-1038, snap_masked-ham-_s259-processed-gene-0.87-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.87&CDS=1-228	YPR127W
247	OG0000247	snap_masked-ham-_s152-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s152-processed-gene-0.14&CDS=1-3870, snap_masked-ham-_s443-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s443-processed-gene-0.8&CDS=1-393	YGL093W
248	OG0000248	snap_masked-ham-_s152-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s152-processed-gene-0.5&CDS=1-2931	YJL084C, YKR021W
249	OG0000249	snap_masked-ham-_s159-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s159-processed-gene-0.2&CDS=1-198, snap_masked-ham-_s181-processed-gene-1.99-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.99&CDS=1-1437	YDR030C
250	OG0000250	snap_masked-ham-_s16-processed-gene-0.132-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.132&CDS=1-195, snap_masked-ham-_s279-processed-gene-2.105-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.105&CDS=1-1725	YMR227C
251	OG0000251	snap_masked-ham-_s16-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.133&CDS=1-5307	YIL149C, YKR095W
252	OG0000252	snap_masked-ham-_s16-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.108&CDS=1-3732	YIL151C, YKR096W
253	OG0000253	snap_masked-ham-_s16-processed-gene-0.134-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.134&CDS=1-1698, snap_masked-ham-_s336-processed-gene-1.94-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.94&CDS=1-1740	YBR132C
254	OG0000254	augustus_masked-ham-_s570-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ham-_s570-processed-gene-0.16&CDS=1-3465, genemark-ham-_s16-processed-gene-0.58-mRNA-1_1&gene=genemark-ham-_s16-processed-gene-0.58&CDS=1-2424	YER041W
255	OG0000255	snap_masked-ham-_s16-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s16-processed-gene-0.118&CDS=1-756	YIR035C, YIR036C
256	OG0000256	maker-ham-_s16-snap-gene-0.53-mRNA-1_1&gene=maker-ham-_s16-snap-gene-0.53&CDS=1-987	YNL302C, YOL121C
257	OG0000257	snap_masked-ham-_s163-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s163-processed-gene-0.4&CDS=1-1404	YGR108W, YPR119W
258	OG0000258	snap_masked-ham-_s163-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s163-processed-gene-0.6&CDS=1-5055, snap_masked-ham-_s264-processed-gene-0.133-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.133&CDS=1-315	YDR443C
259	OG0000259	genemark-ham-_s190-processed-gene-0.1-mRNA-1_1&gene=genemark-ham-_s190-processed-gene-0.1&CDS=1-969, snap_masked-ham-_s173-processed-gene-0.112-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.112&CDS=1-930	YKL128C
260	OG0000260	snap_masked-ham-_s173-processed-gene-0.89-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.89&CDS=1-1878, snap_masked-ham-_s541-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s541-processed-gene-0.1&CDS=1-843	YAL016W
261	OG0000261	snap_masked-ham-_s173-processed-gene-0.114-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.114&CDS=1-2274, snap_masked-ham-_s369-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s369-processed-gene-0.16&CDS=1-2385	YAL023C
262	OG0000262	augustus_masked-ham-_s173-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-ham-_s173-processed-gene-0.48&CDS=1-534	YOR226C, YPL135W
263	OG0000263	snap_masked-ham-_s173-processed-gene-0.96-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.96&CDS=1-4323	YBL079W, YER105C
264	OG0000264	snap_masked-ham-_s173-processed-gene-0.103-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.103&CDS=1-2934, snap_masked-ham-_s479-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s479-processed-gene-0.4&CDS=1-3234	YNL192W
265	OG0000265	snap_masked-ham-_s173-processed-gene-0.105-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.105&CDS=1-591	YER067W, YIL057C
266	OG0000266	snap_masked-ham-_s173-processed-gene-0.106-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.106&CDS=1-1275, snap_masked-ham-_s846-processed-gene-0.10-mRNA-1_1&gene=snap_masked-ham-_s846-processed-gene-0.10&CDS=1-1425	YHR135C
267	OG0000267	snap_masked-ham-_s181-processed-gene-0.118-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.118&CDS=1-3318	YCR067C, YNR026C
268	OG0000268	snap_masked-ham-_s181-processed-gene-0.103-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.103&CDS=1-2175	YJR059W, YKL198C
269	OG0000269	snap_masked-ham-_s181-processed-gene-1.83-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.83&CDS=1-1719, snap_masked-ham-_s593-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.47&CDS=1-1674	YDR242W
270	OG0000270	snap_masked-ham-_s181-processed-gene-1.98-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.98&CDS=1-3519	YJL076W, YKR010C
271	OG0000271	maker-ham-_s181-snap-gene-1.74-mRNA-1_1&gene=maker-ham-_s181-snap-gene-1.74&CDS=1-2559	YBR205W, YOR099W
272	OG0000272	maker-ham-_s181-augustus-gene-2.213-mRNA-1_1&gene=maker-ham-_s181-augustus-gene-2.213&CDS=1-2175	YDL134C, YDL188C
273	OG0000273	genemark-ham-_s181-processed-gene-2.104-mRNA-1_1&gene=genemark-ham-_s181-processed-gene-2.104&CDS=1-2439	YBR294W, YLR092W
274	OG0000274	snap_masked-ham-_s181-processed-gene-2.151-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.151&CDS=1-981	YGR136W, YPR154W
275	OG0000275	augustus_masked-ham-_s181-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-ham-_s181-processed-gene-2.45&CDS=1-360	YDL136W, YDL191W
276	OG0000276	snap_masked-ham-_s181-processed-gene-2.189-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.189&CDS=1-543	YDL137W, YDL192W
277	OG0000277	snap_masked-ham-_s181-processed-gene-2.157-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.157&CDS=1-507	YGR131W, YPR149W
278	OG0000278	maker-ham-_s181-snap-gene-2.221-mRNA-1_1&gene=maker-ham-_s181-snap-gene-2.221&CDS=1-3750	YGR143W, YPR159W
279	OG0000279	snap_masked-ham-_s181-processed-gene-2.165-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.165&CDS=1-2391	YIL105C, YNL047C
280	OG0000280	snap_masked-ham-_s181-processed-gene-2.205-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.205&CDS=1-411	YBL087C, YER117W
281	OG0000281	snap_masked-ham-_s181-processed-gene-2.206-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.206&CDS=1-1179	YNL283C, YOL105C
282	OG0000282	snap_masked-ham-_s186-processed-gene-0.28-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.28&CDS=1-297, snap_masked-ham-_s279-processed-gene-3.99-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-3.99&CDS=1-1509	YDR434W
283	OG0000283	genemark-ham-_s324-processed-gene-0.32-mRNA-1_1&gene=genemark-ham-_s324-processed-gene-0.32&CDS=1-408, snap_masked-ham-_s186-processed-gene-0.36-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.36&CDS=1-645	YHR181W
284	OG0000284	genemark-ham-_s226-processed-gene-0.5-mRNA-1_1&gene=genemark-ham-_s226-processed-gene-0.5&CDS=1-714, snap_masked-ham-_s186-processed-gene-0.46-mRNA-1_1&gene=snap_masked-ham-_s186-processed-gene-0.46&CDS=1-1365	YDL006W
