	OrthologID	Neurospora_crassa	Saccharomyces_cerevisiae
386	OG0000386	XP_011394691.1, XP_011394692.1	YDL167C
387	OG0000387	XP_011394699.1, XP_011394700.1	YHR051W
388	OG0000388	XP_011394713.1, XP_011394714.1	YPL042C
389	OG0000389	XP_011394715.1, XP_011394716.1	YDL210W
390	OG0000390	XP_011394724.1, XP_011394725.1	YAL021C
391	OG0000391	XP_011394728.1, XP_011394729.1	YKL060C
392	OG0000392	XP_011394745.1, XP_011394746.1	YGL150C
393	OG0000393	XP_011394747.1, XP_011394748.1	YIL010W
394	OG0000394	XP_011394752.1, XP_011394753.1	YHR013C
395	OG0000395	XP_011394754.1, XP_011394755.1	YHR004C
396	OG0000396	XP_011394761.1, XP_011394762.1	YNL054W
397	OG0000397	XP_011394773.1, XP_011394774.1	YNL152W
398	OG0000398	XP_011394779.1, XP_011394780.1	YPL206C
399	OG0000399	XP_011394781.1, XP_011394782.1	YDL205C
400	OG0000400	XP_011394791.1, XP_011394792.1	YOL098C
401	OG0000401	XP_011394869.1, XP_011394870.1	YIL038C
402	OG0000402	XP_011394874.1, XP_011394875.1	YDR058C
403	OG0000403	XP_011394885.1, XP_011394886.1	YJL080C
404	OG0000404	XP_011394887.1, XP_011394888.1	YIR001C
405	OG0000405	XP_011394889.1, XP_011394890.1	YLR212C
406	OG0000406	XP_011394897.1, XP_011394898.1	YNL154C
407	OG0000407	XP_011394899.1, XP_011394900.1	YMR110C
408	OG0000408	XP_011394905.1, XP_011394906.1	YHR164C
409	OG0000409	XP_011394911.1, XP_011394912.1	YDR172W
410	OG0000410	XP_011394917.1, XP_011394918.1	YOL147C
411	OG0000411	XP_011394953.1, XP_011394954.1	YDL182W
412	OG0000412	XP_011394956.1, XP_011394957.1	YGR247W
413	OG0000413	XP_011394970.1, XP_011394971.1	YLR085C
414	OG0000414	XP_011394975.1, XP_011394976.1	YFL007W
415	OG0000415	XP_011394977.1, XP_011394978.1	YDR284C
416	OG0000416	XP_011394985.1, XP_011394986.1	YFR033C
417	OG0000417	XP_011394990.1, XP_011394991.1	YIR023W
418	OG0000418	XP_011394995.1, XP_011394996.1	YDL128W
419	OG0000419	XP_011395018.1, XP_011395019.1	YER008C
420	OG0000420	XP_011395024.1, XP_011395025.1	YOR043W
421	OG0000421	XP_011395030.1, XP_011395031.1	YLR427W
422	OG0000422	XP_011395052.1, XP_011395053.1	YGL136C
423	OG0000423	XP_011395093.1, XP_011395094.1	YGL047W
424	OG0000424	XP_011395111.1, XP_011395112.1	YJL095W
425	OG0000425	XP_011395122.1, XP_011395123.1	YGR078C
426	OG0000426	XP_011395127.1, XP_011395128.1	YLR077W
427	OG0000427	XP_011395140.1, XP_011395141.1	YPL111W
428	OG0000428	XP_011395161.1, XP_011395162.1	YBL016W
429	OG0000429	XP_011395174.1, XP_011395175.1	YER047C
430	OG0000430	XP_011395182.1, XP_011395183.1	YNL227C
431	OG0000431	XP_011395184.1, XP_011395185.1	YER086W
432	OG0000432	XP_011395193.1, XP_011395194.1	YLR167W
433	OG0000433	XP_011395195.1, XP_011395196.1	YGL077C
434	OG0000434	XP_011395201.1, XP_011395202.1	YKR068C
435	OG0000435	XP_011395224.1, XP_011395225.1	YHR190W
436	OG0000436	XP_011395230.1, XP_011395231.1	YAL038W
437	OG0000437	XP_011395243.1, XP_011395244.1	YPR061C
438	OG0000438	XP_011395251.1, XP_011395252.1	YLR115W
439	OG0000439	XP_011395253.1, XP_011395254.1	YLR380W
440	OG0000440	XP_011395262.1, XP_011395263.1	YGL054C
441	OG0000441	XP_011395273.1, XP_011395274.1	YJL057C
442	OG0000442	XP_011395277.1, XP_011395278.1	YPR082C
443	OG0000443	XP_011395287.1, XP_011395288.1	YMR277W
444	OG0000444	XP_011395300.1, XP_011395301.1	YHR008C
445	OG0000445	XP_011395302.1, XP_011395303.1	YBR296C
446	OG0000446	XP_955807.3	YDR096W, YER169W
447	OG0000447	XP_955841.3	YJL134W, YKR053C
448	OG0000448	XP_955853.3	YHR132W-A, YNL157W
449	OG0000449	XP_955910.1	YHR179W, YPL171C
450	OG0000450	XP_955943.1	YER131W, YGL189C
451	OG0000451	XP_956003.1	YBR010W, YNL031C
452	OG0000452	XP_956011.3	YCR052W, YNR023W
453	OG0000453	XP_956068.2, XP_963599.1	YKR093W
454	OG0000454	XP_956110.2	YDL242W, YPR079W
455	OG0000455	XP_956128.1	YGR034W, YLR344W
456	OG0000456	XP_956141.2	YKR076W, YMR251W
457	OG0000457	XP_956180.2	YHR155W, YNL257C
458	OG0000458	XP_956237.1, XP_965638.1	YGL080W
459	OG0000459	XP_956264.3	YBR140C, YOL081W
460	OG0000460	XP_956405.1	YHL017W, YKL039W
461	OG0000461	XP_956427.1, XP_964854.2	YOL048C
462	OG0000462	XP_956438.1	YMR182C, YPL230W
463	OG0000463	XP_956445.1	YGL082W, YPL191C
464	OG0000464	XP_956486.2	YEL039C, YJR048W
465	OG0000465	XP_956560.2	YDR253C, YPL038W
466	OG0000466	XP_956573.1	YNL301C, YOL120C
467	OG0000467	XP_956576.3	YCR048W, YNR019W
468	OG0000468	XP_956611.1	YDR471W, YHR010W
469	OG0000469	XP_956677.2	YGL133W, YPL216W
470	OG0000470	XP_956794.2	YDR450W, YML026C
471	OG0000471	XP_956811.1, XP_962085.1	YNL027W
472	OG0000472	XP_956840.1	YGR214W, YLR048W
473	OG0000473	XP_956914.1	YDR312W, YHR066W
474	OG0000474	XP_956922.1	YMR237W, YOR299W
475	OG0000475	XP_956925.2	YNL293W, YOL112W
476	OG0000476	XP_956945.3, XP_960958.3	YOR269W
477	OG0000477	XP_956972.2	YER031C, YGL210W
478	OG0000478	XP_956995.1	YHL003C, YKL008C
479	OG0000479	XP_957006.1	YIL131C, YNL068C
480	OG0000480	XP_957032.1	YBL079W, YER105C
481	OG0000481	XP_957035.2	YFL061W, YNL335W
482	OG0000482	XP_957039.1	YBR242W, YGL101W
483	OG0000483	XP_957140.3	YLL016W, YLR310C
484	OG0000484	XP_957168.1	YFL004W, YPL019C
485	OG0000485	XP_957200.3	YDR505C, YLR177W
486	OG0000486	XP_957211.1	YCR073W-A, YNR034W
487	OG0000487	XP_957230.2	YDR300C, YHR033W
488	OG0000488	XP_957265.1	YCR067C, YNR026C
489	OG0000489	XP_957299.2	YFR031C-A, YIL018W
490	OG0000490	XP_957301.2	YDR206W, YLR233C
491	OG0000491	XP_957310.3	YOR231W, YPL140C
492	OG0000492	XP_957316.2	YBL043W, YJR115W
493	OG0000493	XP_957383.1	YGR141W, YPR157W
494	OG0000494	XP_957394.1	YBR241C, YGL104C
495	OG0000495	XP_957407.1	YER074W, YIL069C
496	OG0000496	XP_957466.2	YJL105W, YKR029C
497	OG0000497	XP_957510.3	YBR294W, YLR092W
498	OG0000498	XP_957526.1	YFR022W, YOR018W
499	OG0000499	XP_957567.3	YJR054W, YML047C
500	OG0000500	XP_957618.1	YAR002C-A, YGL002W
501	OG0000501	XP_957634.1	YGR010W, YLR328W
502	OG0000502	XP_957637.1	YBR267W, YLR387C
503	OG0000503	XP_957674.3	YIL149C, YKR095W
504	OG0000504	XP_957729.1	YNL096C, YOR096W
505	OG0000505	XP_957765.1	YGL135W, YPL220W
506	OG0000506	XP_957766.1	YBR216C, YGL060W
507	OG0000507	XP_957770.1	YLR284C, YOR180C
508	OG0000508	XP_957821.1, XP_965606.1	YNR064C
509	OG0000509	XP_957875.2	YOR237W, YPL145C
510	OG0000510	XP_957886.2	YDR247W, YPL026C
511	OG0000511	XP_957919.2	YBR244W, YIR037W
512	OG0000512	XP_957995.1	YEL007W, YHR177W
513	OG0000513	XP_958030.2, XP_964653.3	YDR402C
514	OG0000514	XP_958035.1	YMR180C, YPL228W
515	OG0000515	XP_958140.1	YER059W, YIL050W
516	OG0000516	XP_958255.2	YBR161W, YPL057C
517	OG0000517	XP_958266.1	YHR131C, YNL144C
518	OG0000518	XP_958318.2	YOR234C, YPL143W
519	OG0000519	XP_958396.1	YBR015C, YJL186W
520	OG0000520	XP_958421.2	YJL138C, YKR059W
521	OG0000521	XP_958547.1, XP_959390.1	YGR055W
522	OG0000522	XP_958549.1	YKL141W, YMR118C
523	OG0000523	XP_958607.2	YJR094W-A, YPR043W
524	OG0000524	XP_958660.2	YAL051W, YOR363C
525	OG0000525	XP_958723.1	YBR172C, YPL105C
526	OG0000526	XP_958750.1	YKR089C, YOR081C
527	OG0000527	XP_958783.2	YER066W, YFL009W
528	OG0000528	XP_959085.1, XP_962219.1	YGR282C
529	OG0000529	XP_959182.1	YGR131W, YPR149W
530	OG0000530	XP_959308.3	YDR264C, YOR034C
531	OG0000531	XP_959411.2	YDL138W, YDL194W
532	OG0000532	XP_959435.2	YJR130C, YML082W
533	OG0000533	XP_959440.1	YBL002W, YDR224C
534	OG0000534	XP_959523.1	YMR233W, YOR295W
535	OG0000535	XP_959551.1	YDR263C, YOR033C
536	OG0000536	XP_959605.1	YJL133W, YKR052C
537	OG0000537	XP_959676.3, XP_960227.1	YNL036W
538	OG0000538	XP_959692.1	YHL039W, YPL208W
539	OG0000539	XP_959775.3	YGR056W, YLR357W
540	OG0000540	XP_959779.3	YBR214W, YGL056C
541	OG0000541	XP_959806.2	YCR010C, YNR002C
542	OG0000542	XP_959913.1	YBR104W, YPR058W
543	OG0000543	XP_959922.1	YGL160W, YLR047C
544	OG0000544	XP_959951.3, XP_962317.3	YDL170W
545	OG0000545	XP_959967.1	YDR358W, YHR108W
546	OG0000546	XP_960038.1	YOR226C, YPL135W
547	OG0000547	XP_960045.1, XP_961648.2	YAL053W
548	OG0000548	XP_960064.2	YBL027W, YBR084C-A
549	OG0000549	XP_960210.1	YER185W, YGR213C
550	OG0000550	XP_960228.2	YHL033C, YLL045C
551	OG0000551	XP_960232.2	YDL161W, YLR206W
552	OG0000552	XP_960280.3	YDR122W, YLR096W
553	OG0000553	XP_960372.1	YDL042C, YOL068C
554	OG0000554	XP_960386.3	YBR033W, YKL038W
555	OG0000555	XP_960410.1	YKL068W, YMR047C
556	OG0000556	XP_960516.1	YDL082W, YMR142C
557	OG0000557	XP_960550.2	YNL299W, YOL115W
558	OG0000558	XP_960561.1	YLR264W, YOR167C
559	OG0000559	XP_960596.1	YER027C, YGL208W
560	OG0000560	XP_960680.2	YBL091C-A, YER120W
561	OG0000561	XP_960684.1	YDL081C, YDL130W
562	OG0000562	XP_960699.3	YAL015C, YOL043C
563	OG0000563	XP_960808.1	YEL006W, YIL006W
564	OG0000564	XP_960881.3	YBL085W, YER114C
565	OG0000565	XP_960908.1	YFL034C-A, YLR061W
566	OG0000566	XP_960950.1	YIL114C, YNL055C
567	OG0000567	XP_960953.1	YDR185C, YLR168C
568	OG0000568	XP_961019.2	YLR178C, YLR179C
569	OG0000569	XP_961104.1	YBR031W, YDR012W
570	OG0000570	XP_961108.1	YCL064C, YIL167W
571	OG0000571	XP_961189.2	YAL007C, YOR016C
572	OG0000572	XP_961215.1	YKL081W, YPL048W
573	OG0000573	XP_961235.1	YMR183C, YPL232W
574	OG0000574	XP_961236.1	YHR117W, YNL121C
575	OG0000575	XP_961403.1	YDR418W, YEL054C
576	OG0000576	XP_961472.2	YCL026C-A, YCL026C-B
577	OG0000577	XP_961475.2, XP_965380.2	YGR044C
578	OG0000578	XP_961479.2	YJL177W, YKL180W
579	OG0000579	XP_961514.1	YDL061C, YLR388W
580	OG0000580	XP_961531.1	YCR094W, YNR048W
581	OG0000581	XP_961584.2	YHR198C, YHR199C
582	OG0000582	XP_961585.2	YCL035C, YDR513W
583	OG0000583	XP_961726.1	YDL109C, YGL144C
584	OG0000584	XP_961766.2	YBR020W, YDR009W
585	OG0000585	XP_961835.1	YDR447C, YML024W
586	OG0000586	XP_961911.2	YEL034W, YJR047C
587	OG0000587	XP_961912.3	YIL148W, YKR094C
588	OG0000588	XP_961970.2, XP_964152.1	YDR338C
589	OG0000589	XP_962061.1	YML106W, YMR271C
590	OG0000590	XP_962134.3	YKL126W, YMR104C
591	OG0000591	XP_962237.3	YDR259C, YOR028C
592	OG0000592	XP_962286.2	YDR385W, YOR133W
593	OG0000593	XP_962427.1	YJL082W, YKR018C
594	OG0000594	XP_962488.1	YDR107C, YLR083C
595	OG0000595	XP_962492.1	YBR021W, YIR028W
596	OG0000596	XP_962638.2	YLR270W, YOR173W
597	OG0000597	XP_962693.3	YEL022W, YJR031C
598	OG0000598	XP_962794.1	YIL085C, YNL029C
599	OG0000599	XP_962812.3	YMR177W, YPL224C
600	OG0000600	XP_962856.1	YIL113W, YNL053W
601	OG0000601	XP_962860.2	YNL108C, YOR110W
602	OG0000602	XP_962866.2	YOR390W, YPL279C
603	OG0000603	XP_962873.1	YHR115C, YNL116W
604	OG0000604	XP_962880.1	YJL083W, YKR019C
605	OG0000605	XP_962907.2	YJL084C, YKR021W
606	OG0000606	XP_962915.2	YJR091C, YPR042C
607	OG0000607	XP_962918.2	YIL095W, YNL020C
608	OG0000608	XP_962947.1	YNL302C, YOL121C
609	OG0000609	XP_962950.2	YGL076C, YPL198W
610	OG0000610	XP_962951.1	YCR031C, YJL191W
611	OG0000611	XP_962969.1	YEL066W, YPR193C
612	OG0000612	XP_962989.3	YER129W, YGL179C
613	OG0000613	XP_963100.1	YAL017W, YOL045W
614	OG0000614	XP_963118.1	YER056C-A, YIL052C
615	OG0000615	XP_963130.1	YHR133C, YNL156C
616	OG0000616	XP_963213.1	YKL152C, YOR283W
617	OG0000617	XP_963221.2	YDR132C, YLR108C
618	OG0000618	XP_963231.1	YGR027C, YLR333C
619	OG0000619	XP_963320.3	YDR497C, YOL103W
620	OG0000620	XP_963448.1	YIL111W, YNL052W
621	OG0000621	XP_963515.2	YMR230W, YOR293W
622	OG0000622	XP_963727.3	YDR441C, YML022W
623	OG0000623	XP_963733.1	YLR449W, YML074C
624	OG0000624	XP_963739.1	YDR213W, YLR228C
625	OG0000625	XP_963790.3	YER062C, YIL053W
626	OG0000626	XP_963792.3	YCL024W, YDR507C
627	OG0000627	XP_963851.1	YGR108W, YPR119W
628	OG0000628	XP_963925.2	YER057C, YIL051C
629	OG0000629	XP_964034.1	YPR169W-A, YPR170W-B
630	OG0000630	XP_964063.1	YDR098C, YER174C
631	OG0000631	XP_964080.2	YDR200C, YLR238W
632	OG0000632	XP_964151.2	YGR138C, YPR156C
633	OG0000633	XP_964164.1	YCR073C, YNR031C
634	OG0000634	XP_964194.1	YMR243C, YOR316C
635	OG0000635	XP_964197.2	YDR252W, YPL037C
636	OG0000636	XP_964199.1	YGL031C, YGR148C
637	OG0000637	XP_964232.1	YBR191W, YPL079W
638	OG0000638	XP_964233.1	YBR189W, YPL081W
639	OG0000639	XP_964251.2	YHR203C, YJR145C
640	OG0000640	XP_964395.3	YDL022W, YOL059W
641	OG0000641	XP_964410.1	YGR121C, YPR138C
642	OG0000642	XP_964411.2	YHR001W, YKR003W
643	OG0000643	XP_964419.1	YDR451C, YML027W
644	OG0000644	XP_964420.2	YEL041W, YJR049C
645	OG0000645	XP_964475.2	YNL106C, YOR109W
646	OG0000646	XP_964479.1	YMR194W, YPL249C-A
647	OG0000647	XP_964540.2	YHR141C, YNL162W
648	OG0000648	XP_964546.1	YLR450W, YML075C
649	OG0000649	XP_964561.1	YGR243W, YHR162W
650	OG0000650	XP_964590.1	YPR013C, YPR015C
651	OG0000651	XP_964678.2	YGR009C, YMR017W
652	OG0000652	XP_964717.2	YDL224C, YNL197C
653	OG0000653	XP_964736.2	YCL040W, YDR516C
654	OG0000654	XP_964813.2	YKL072W, YMR053C
655	OG0000655	XP_964828.1	YDL083C, YMR143W
656	OG0000656	XP_964858.1	YHR123W, YNL130C
657	OG0000657	XP_964868.2	YBR118W, YPR080W
658	OG0000658	XP_964875.1	YNL104C, YOR108W
659	OG0000659	XP_964883.3	YIR035C, YIR036C
660	OG0000660	XP_964888.1	YGR092W, YPR111W
661	OG0000661	XP_964949.2	YML100W, YMR261C
662	OG0000662	XP_964961.1	YBR048W, YDR025W
663	OG0000663	XP_965129.1	YGL147C, YNL067W
664	OG0000664	XP_965135.2	YLR187W, YNL278W
665	OG0000665	XP_965197.3	YBL089W, YER119C
666	OG0000666	XP_965225.3	YMR222C, YOR280C
667	OG0000667	XP_965247.1	YDL075W, YLR406C
668	OG0000668	XP_965275.1	YLL012W, YLR020C
669	OG0000669	XP_965282.1	YER019C-A, YER087C-B
670	OG0000670	XP_965356.2	YBR183W, YPL087W
671	OG0000671	XP_965417.1	YDR178W, YLR164W
672	OG0000672	XP_965480.2	YLR448W, YML073C
673	OG0000673	XP_965493.3	YAL034C, YOR338W
674	OG0000674	XP_965537.2	YDR368W, YOR120W
675	OG0000675	XP_965587.1	YBL087C, YER117W
676	OG0000676	XP_965640.2	YGR085C, YPR102C
677	OG0000677	XP_965711.1	YEL047C, YJR051W
678	OG0000678	XP_965717.1	YGR241C, YHR161C
679	OG0000679	XP_965730.1	YLR456W, YPR172W
680	OG0000680	XP_965737.1	YGR283C, YMR310C
681	OG0000681	XP_965745.1	YHR003C, YKL027W
682	OG0000682	XP_965751.3	YIL151C, YKR096W
683	OG0000683	XP_965758.1	YHR021C, YKL156W
684	OG0000684	XP_965762.3	YGR238C, YHR158C
685	OG0000685	XP_965772.1	YCR026C, YEL016C
686	OG0000686	XP_965774.1	YHL001W, YKL006W
687	OG0000687	XP_965808.3	YGR070W, YLR371W
688	OG0000688	XP_965827.2	YDR348C, YHR097C
689	OG0000689	XP_965836.1	YGR136W, YPR154W
690	OG0000690	XP_001727960.2	YGR233C
691	OG0000691	XP_001727961.1	YOR042W
692	OG0000692	XP_001727995.2	YDR378C
693	OG0000693	XP_001728014.1	YBR252W
694	OG0000694	XP_001728020.2	YIL007C
695	OG0000695	XP_001728028.2	YOR149C
696	OG0000696	XP_001728029.2	YGR021W
697	OG0000697	XP_001728043.2	YDR063W
698	OG0000698	XP_001728068.1	YNR043W
699	OG0000699	XP_001728079.1	YMR214W
700	OG0000700	XP_001728089.2	YNR029C
701	OG0000701	XP_001728095.2	YGL126W
702	OG0000702	XP_001728132.1	YHR029C
703	OG0000703	XP_001728133.1	YLL036C
704	OG0000704	XP_001728137.2	YGR194C
705	OG0000705	XP_001728150.1	YPL118W
706	OG0000706	XP_001728159.2	YMR077C
707	OG0000707	XP_001728186.2	YKL148C
708	OG0000708	XP_001728192.1	YKR060W
709	OG0000709	XP_001728197.2	YNL267W
710	OG0000710	XP_001728202.1	YDR320C-A
711	OG0000711	XP_001728209.1	YPL244C
712	OG0000712	XP_001728212.1	YJR135W-A
713	OG0000713	XP_001728214.1	YJR010C-A
714	OG0000714	XP_001728227.2	YLR170C
715	OG0000715	XP_001728234.1	YLR220W
716	OG0000716	XP_001728241.1	YGL087C
717	OG0000717	XP_001728250.2	YDL008W
718	OG0000718	XP_001728277.1	YPL265W
719	OG0000719	XP_001728299.2	YGL094C
720	OG0000720	XP_001728316.1	YMR062C
721	OG0000721	XP_001728317.2	YOL094C
722	OG0000722	XP_001728325.1	YOR007C
723	OG0000723	XP_001728327.1	YPR085C
724	OG0000724	XP_001728331.2	YNL011C
725	OG0000725	XP_001728337.2	YHR048W
726	OG0000726	XP_001728349.1	YKR063C
727	OG0000727	XP_001728355.2	YKL113C
728	OG0000728	XP_001728360.2	YMR129W
729	OG0000729	XP_001728367.2	YML046W
730	OG0000730	XP_001728368.2	YPR105C
731	OG0000731	XP_001728372.1	YMR149W
732	OG0000732	XP_001728384.2	YML005W
733	OG0000733	XP_001728391.2	YGL085W
734	OG0000734	XP_001728397.2	YDR246W
735	OG0000735	XP_001728402.2	YMR221C
736	OG0000736	XP_001728406.1	YOR039W
737	OG0000737	XP_001728407.2	YLR039C
738	OG0000738	XP_001728408.1	YGL022W
739	OG0000739	XP_001728416.2	YGL169W
740	OG0000740	XP_001728419.1	YNL044W
741	OG0000741	XP_001728430.2	YGL114W
742	OG0000742	XP_001728437.1	YHL010C
743	OG0000743	XP_001728457.1	YDR292C
744	OG0000744	XP_001728458.2	YBR136W
745	OG0000745	XP_001728471.2	YFL003C
746	OG0000746	XP_001728480.2	YGR252W
747	OG0000747	XP_001728481.2	YKL144C
748	OG0000748	XP_001728485.1	YPR187W
749	OG0000749	XP_001728496.1	YPL214C
750	OG0000750	XP_001728497.1	YBR254C
751	OG0000751	XP_001728501.2	YLL008W
752	OG0000752	XP_001728502.1	YNL094W
753	OG0000753	XP_001728508.2	YPL218W
754	OG0000754	XP_001728513.2	YAL016W
755	OG0000755	XP_001728517.2	YER152C
756	OG0000756	XP_001728521.2	YPL008W
757	OG0000757	XP_001728522.1	YDL017W
758	OG0000758	XP_001728527.2	YOR291W
759	OG0000759	XP_001728530.2	YDL166C
760	OG0000760	XP_001728535.2	YCR060W
761	OG0000761	XP_001728541.1	YBR243C
762	OG0000762	XP_001728551.2	YKR043C
763	OG0000763	XP_001728558.2	YPL065W
764	OG0000764	XP_011392866.1	YLL041C
765	OG0000765	XP_011392880.1	YPR201W
766	OG0000766	XP_011392906.1	YOR155C
767	OG0000767	XP_011392992.1	YOL058W
768	OG0000768	XP_011393191.1	YOR339C
769	OG0000769	XP_011393246.1	YAL043C
770	OG0000770	XP_011393339.1	YMR002W
771	OG0000771	XP_011393345.1	YPL125W
772	OG0000772	XP_011393362.1	YDR437W
773	OG0000773	XP_011393363.1	YGL196W
774	OG0000774	XP_011393370.1	YLR059C
775	OG0000775	XP_011393371.1	YMR194C-B
776	OG0000776	XP_011393377.1	YDR286C
777	OG0000777	XP_011393386.1	YGL122C
778	OG0000778	XP_011393388.1	YER074W-A
779	OG0000779	XP_011393465.1	YJR053W
780	OG0000780	XP_011393470.1	YJR033C
781	OG0000781	XP_011393485.1	YMR241W
782	OG0000782	XP_011393537.1	YNR032C-A
783	OG0000783	XP_011393607.1	YDL076C
784	OG0000784	XP_011393630.1	YGL240W
785	OG0000785	XP_011393638.1	YBR085W
786	OG0000786	XP_011393677.1	YDL054C
787	OG0000787	XP_011393684.1	YMR126C
788	OG0000788	XP_011393727.1	YPR153W
789	OG0000789	XP_011393787.1	YKL138C
790	OG0000790	XP_011393824.1	YNR017W
791	OG0000791	XP_011393916.1	YOL038W
792	OG0000792	XP_011393920.1	YLR229C
793	OG0000793	XP_011393940.1	YJR112W
794	OG0000794	XP_011394037.1	YOR236W
795	OG0000795	XP_011394042.1	YDR268W
796	OG0000796	XP_011394055.1	YDR179W-A
797	OG0000797	XP_011394063.1	YGR080W
798	OG0000798	XP_011394090.1	YGL100W
799	OG0000799	XP_011394113.1	YPR035W
800	OG0000800	XP_011394156.1	YIL065C
801	OG0000801	XP_011394171.1	YNL088W
802	OG0000802	XP_011394216.1	YLR410W
803	OG0000803	XP_011394349.1	YKR034W
804	OG0000804	XP_011394356.1	YOR087W
805	OG0000805	XP_011394372.1	YHR089C
806	OG0000806	XP_011394378.1	YPL207W
807	OG0000807	XP_011394380.1	YAL033W
808	OG0000808	XP_011394387.1	YKL014C
809	OG0000809	XP_011394388.1	YLR242C
810	OG0000810	XP_011394393.1	YLR418C
811	OG0000811	XP_011394394.1	YMR035W
812	OG0000812	XP_011394408.1	YIL042C
813	OG0000813	XP_011394421.1	YGR227W
814	OG0000814	XP_011394441.1	YOR305W
815	OG0000815	XP_011394448.1	YLR050C
816	OG0000816	XP_011394531.1	YOR326W
817	OG0000817	XP_011394566.1, XP_011394567.1	
818	OG0000818	XP_011394634.1	YKL067W
819	OG0000819	XP_011394640.1	YMR289W
820	OG0000820	XP_011394768.1	YJL213W
821	OG0000821	XP_011394818.1	YLR099W-A
822	OG0000822	XP_011394826.1	YOR037W
823	OG0000823	XP_011394827.1	YHR079C-A
824	OG0000824	XP_011394842.1	YMR150C
825	OG0000825	XP_011394849.1	YOL123W
826	OG0000826	XP_011394879.1	YGR204W
827	OG0000827	XP_011395043.1	YER162C
828	OG0000828	XP_011395048.1	YLR218C
829	OG0000829	XP_011395054.1	YOR022C
830	OG0000830	XP_011395059.1	YDR034C
831	OG0000831	XP_011395120.1	YGR216C
832	OG0000832	XP_011395129.1	YNL132W
833	OG0000833	XP_011395130.1	YOL114C
834	OG0000834	XP_011395179.1	YLR186W
835	OG0000835	XP_011395322.1	YHL004W
836	OG0000836	XP_011395335.1	YHL021C
837	OG0000837	XP_011395353.1	YLR195C
838	OG0000838	XP_011395378.1	YKL053C-A
839	OG0000839	XP_011395384.1	YPR194C
840	OG0000840	XP_955761.1	YLR250W
841	OG0000841	XP_955769.1	YDR190C
842	OG0000842	XP_955772.2	YOR260W
843	OG0000843	XP_955775.2	YER159C
844	OG0000844	XP_955777.1	YML105C
845	OG0000845	XP_955799.1	YER061C
846	OG0000846	XP_955800.1	YPL215W
847	OG0000847	XP_955821.1	YDL056W
848	OG0000848	XP_955826.3	YDR332W
849	OG0000849	XP_955827.1	YJL100W
850	OG0000850	XP_955834.1	YER145C
851	OG0000851	XP_955835.1	YMR058W
852	OG0000852	XP_955840.1	YGL065C
853	OG0000853	XP_955842.2	YGR031W
854	OG0000854	XP_955843.1	YPL210C
855	OG0000855	XP_955845.1	YDL122W
856	OG0000856	XP_955852.2	YER156C
857	OG0000857	XP_955860.2	YIR032C
858	OG0000858	XP_955862.3	YKL092C
859	OG0000859	XP_955863.1	YLR216C
860	OG0000860	XP_955864.3	YDL219W
861	OG0000861	XP_955871.1	YCR002C
862	OG0000862	XP_955872.1	YCR003W
863	OG0000863	XP_955873.3	YGL213C
864	OG0000864	XP_955875.1	YEL021W
865	OG0000865	XP_955879.1	YMR272C
866	OG0000866	XP_955882.1	YCR079W
867	OG0000867	XP_955906.2	YDR212W
868	OG0000868	XP_955907.2	YHR020W
869	OG0000869	XP_955912.1	YNL219C
870	OG0000870	XP_955913.1	YNL124W
871	OG0000871	XP_955917.2	YGR218W
872	OG0000872	XP_955918.1	YFL030W
873	OG0000873	XP_955919.1	YHR012W
874	OG0000874	XP_955934.1	YPL054W
875	OG0000875	XP_955935.1	YKL192C
876	OG0000876	XP_955939.3	YNL262W
877	OG0000877	XP_955951.1	YNL308C
878	OG0000878	XP_955952.1	YOR089C
879	OG0000879	XP_955958.2	YOL061W
880	OG0000880	XP_955963.1	YJR069C
881	OG0000881	XP_955965.3	YDR023W
882	OG0000882	XP_955966.1	YCR027C
883	OG0000883	XP_955969.1	YKL160W
884	OG0000884	XP_955974.2	YLR441C
885	OG0000885	XP_955981.1	YDR486C
886	OG0000886	XP_955989.1	YOR184W
887	OG0000887	XP_955991.1	YNL271C
888	OG0000888	XP_955993.1	YGR123C
889	OG0000889	XP_955995.3	YPR161C
890	OG0000890	XP_955998.2	YKR048C
891	OG0000891	XP_955999.1	YER081W
892	OG0000892	XP_956000.1	YDR127W
893	OG0000893	XP_956005.1	YDR473C
894	OG0000894	XP_956006.2	YOR341W
895	OG0000895	XP_956008.2	YDL020C
896	OG0000896	XP_956010.3	YDR490C
897	OG0000897	XP_956014.1	YBL076C
898	OG0000898	XP_956015.1	YKL189W
899	OG0000899	XP_956018.1	YBL036C
900	OG0000900	XP_956027.1	YNL148C
901	OG0000901	XP_956039.1	YLR316C
902	OG0000902	XP_956050.1	YOL073C
903	OG0000903	XP_956051.1	YBR002C
904	OG0000904	XP_956053.1	YLR352W
905	OG0000905	XP_956054.1	YOR270C
906	OG0000906	XP_956055.1	YML098W
907	OG0000907	XP_956056.2	YNL024C-A
908	OG0000908	XP_956064.3	YBR291C
909	OG0000909	XP_956066.1	YBR290W
910	OG0000910	XP_956076.1	YDR126W
911	OG0000911	XP_956077.2	YDR336W
912	OG0000912	XP_956078.1	YIL098C
913	OG0000913	XP_956083.1	YDR214W
914	OG0000914	XP_956086.2	YPL006W
915	OG0000915	XP_956111.1	YNL280C
916	OG0000916	XP_956115.1	YLR423C
917	OG0000917	XP_956116.2	YOR119C
