	OrthologID	Kazachstania_africana	Saccharomyces_cerevisiae
440	OG0000440	snap_masked-scaffold_1-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.41&CDS=1-2259	YJL056C
441	OG0000441	genemark-scaffold_1-processed-gene-1.79-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.79&CDS=1-699	YJL055W
442	OG0000442	snap_masked-scaffold_1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.18&CDS=1-2448	YJL053W
443	OG0000443	snap_masked-scaffold_1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.19&CDS=1-2022	YJL051W
444	OG0000444	augustus_masked-scaffold_1-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.131&CDS=1-4506	YJL050W
445	OG0000445	genemark-scaffold_1-processed-gene-1.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.104&CDS=1-1281	YBR273C
446	OG0000446	snap_masked-scaffold_1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.44&CDS=1-2316	YJL047C
447	OG0000447	genemark-scaffold_1-processed-gene-1.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.106&CDS=1-825	YBR257W
448	OG0000448	maker-scaffold_1-snap-gene-1.58-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.58&CDS=1-1182	YJL046W
449	OG0000449	genemark-scaffold_1-processed-gene-1.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.86&CDS=1-1533	YFR028C
450	OG0000450	genemark-scaffold_1-processed-gene-1.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.107&CDS=1-2019	YHR020W
451	OG0000451	genemark-scaffold_1-processed-gene-1.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.87&CDS=1-1653	YHR019C
452	OG0000452	genemark-scaffold_1-processed-gene-1.88-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.88&CDS=1-1392	YHR018C
453	OG0000453	augustus_masked-scaffold_1-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.155&CDS=1-1155	YHR017W
454	OG0000454	genemark-scaffold_1-processed-gene-1.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.109&CDS=1-1926	YFR023W
455	OG0000455	genemark-scaffold_1-processed-gene-2.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.49&CDS=1-1119	YDR035W
456	OG0000456	genemark-scaffold_1-processed-gene-2.52-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.52&CDS=1-1776	YDR037W
457	OG0000457	genemark-scaffold_1-processed-gene-2.53-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.53&CDS=1-540	YDR041W
458	OG0000458	snap_masked-scaffold_1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.28&CDS=1-747	YDR043C
459	OG0000459	genemark-scaffold_1-processed-gene-2.54-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.54&CDS=1-984	YDR044W
460	OG0000460	genemark-scaffold_1-processed-gene-2.76-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.76&CDS=1-330	YDR045C
461	OG0000461	genemark-scaffold_1-processed-gene-2.78-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.78&CDS=1-396	YPL054W
462	OG0000462	genemark-scaffold_1-processed-gene-2.58-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.58&CDS=1-4524	YPL058C
463	OG0000463	snap_masked-scaffold_1-processed-gene-2.32-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.32&CDS=1-471	YPL059W
464	OG0000464	genemark-scaffold_1-processed-gene-2.80-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.80&CDS=1-1212	YPL060W
465	OG0000465	genemark-scaffold_1-processed-gene-2.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.81&CDS=1-1488	YPL061W
466	OG0000466	snap_masked-scaffold_1-processed-gene-2.11-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.11&CDS=1-246	YDL012C
467	OG0000467	genemark-scaffold_1-processed-gene-2.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.82&CDS=1-1941	YDL013W
468	OG0000468	genemark-scaffold_1-processed-gene-2.59-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.59&CDS=1-660	YDL010W
469	OG0000469	genemark-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.60&CDS=1-519	YDL008W
470	OG0000470	genemark-scaffold_1-processed-gene-2.62-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.62&CDS=1-861	YBR011C
471	OG0000471	genemark-scaffold_1-processed-gene-2.64-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.64&CDS=1-2766	YDR006C
472	OG0000472	snap_masked-scaffold_1-processed-gene-2.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.37&CDS=1-1338	YJL110C
473	OG0000473	genemark-scaffold_1-processed-gene-2.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.85&CDS=1-5295	YJL109C
474	OG0000474	augustus_masked-scaffold_1-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.105&CDS=1-1986	YJL106W
475	OG0000475	genemark-scaffold_1-processed-gene-2.67-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.67&CDS=1-450	YJL104W
476	OG0000476	genemark-scaffold_1-processed-gene-2.71-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.71&CDS=1-648	YJL097W
477	OG0000477	genemark-scaffold_1-processed-gene-2.72-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.72&CDS=1-4758	YJL095W
478	OG0000478	maker-scaffold_1-augustus-gene-2.40-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-2.40&CDS=1-4455	YJL094C
479	OG0000479	genemark-scaffold_1-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.73&CDS=1-3348	YJL092W
480	OG0000480	maker-scaffold_1-snap-gene-3.121-mRNA-1_1&gene=maker-scaffold_1-snap-gene-3.121&CDS=1-3639	YJL091C
481	OG0000481	genemark-scaffold_1-processed-gene-3.81-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.81&CDS=1-2175	YJL089W
482	OG0000482	genemark-scaffold_1-processed-gene-3.82-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.82&CDS=1-960	YJL088W
483	OG0000483	genemark-scaffold_1-processed-gene-3.85-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.85&CDS=1-2460	YJL087C
484	OG0000484	genemark-scaffold_1-processed-gene-3.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.86&CDS=1-1932	YJL085W
485	OG0000485	genemark-scaffold_1-processed-gene-3.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.98&CDS=1-2892	YJL084C
486	OG0000486	genemark-scaffold_1-processed-gene-3.87-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.87&CDS=1-831	YGL128C
487	OG0000487	genemark-scaffold_1-processed-gene-3.99-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.99&CDS=1-1455	YJL081C
488	OG0000488	genemark-scaffold_1-processed-gene-3.100-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.100&CDS=1-3666	YJL080C
489	OG0000489	genemark-scaffold_1-processed-gene-3.103-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.103&CDS=1-3681	YJL074C
490	OG0000490	genemark-scaffold_1-processed-gene-3.90-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.90&CDS=1-1995	YJL073W
491	OG0000491	genemark-scaffold_1-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.104&CDS=1-711	YJL072C
492	OG0000492	augustus_masked-scaffold_1-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.55&CDS=1-1713	YJL071W
493	OG0000493	genemark-scaffold_1-processed-gene-3.105-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.105&CDS=1-2532	YJL070C
494	OG0000494	genemark-scaffold_1-processed-gene-3.106-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.106&CDS=1-1797	YJL069C
495	OG0000495	genemark-scaffold_1-processed-gene-3.107-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.107&CDS=1-888	YJL068C
496	OG0000496	augustus_masked-scaffold_1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.71&CDS=1-849	YJL066C
497	OG0000497	genemark-scaffold_1-processed-gene-3.109-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.109&CDS=1-543	YJL065C
498	OG0000498	genemark-scaffold_1-processed-gene-3.110-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.110&CDS=1-1023	YJL059W
499	OG0000499	genemark-scaffold_1-processed-gene-3.111-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.111&CDS=1-1305	YJL060W
500	OG0000500	snap_masked-scaffold_1-processed-gene-3.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.38&CDS=1-2148	YJL061W
501	OG0000501	genemark-scaffold_1-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.113&CDS=1-2376	YJL062W
502	OG0000502	genemark-scaffold_1-processed-gene-3.114-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.114&CDS=1-1947	YJL057C
503	OG0000503	genemark-scaffold_1-processed-gene-3.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.92&CDS=1-708	YKL009W
504	OG0000504	augustus_masked-scaffold_1-processed-gene-3.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.77&CDS=1-489	YHL006C
505	OG0000505	genemark-scaffold_1-processed-gene-3.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.93&CDS=1-1209	YHL004W
506	OG0000506	genemark-scaffold_1-processed-gene-3.95-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.95&CDS=1-1068	YHR002W
507	OG0000507	genemark-scaffold_1-processed-gene-3.119-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-3.119&CDS=1-1326	YHR004C
508	OG0000508	augustus_masked-scaffold_1-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.60&CDS=1-768	YMR069W
509	OG0000509	genemark-scaffold_1-processed-gene-4.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.3&CDS=1-501	YMR071C
510	OG0000510	genemark-scaffold_1-processed-gene-4.1-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.1&CDS=1-612	YMR072W
511	OG0000511	augustus_masked-scaffold_1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.53&CDS=1-483	YMR073C
512	OG0000512	genemark-scaffold_1-processed-gene-4.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.4&CDS=1-438	YMR074C
513	OG0000513	augustus_masked-scaffold_1-processed-gene-4.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.51&CDS=1-2058	YMR075W
514	OG0000514	genemark-scaffold_1-processed-gene-4.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.5&CDS=1-3906	YMR076C
515	OG0000515	genemark-scaffold_1-processed-gene-4.28-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.28&CDS=1-2340	YMR078C
516	OG0000516	genemark-scaffold_1-processed-gene-4.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.6&CDS=1-912	YMR079W
517	OG0000517	genemark-scaffold_1-processed-gene-4.29-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.29&CDS=1-2985	YMR080C
518	OG0000518	genemark-scaffold_1-processed-gene-4.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.7&CDS=1-981	YHL009C
519	OG0000519	genemark-scaffold_1-processed-gene-4.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.32&CDS=1-1698	YHL008C
520	OG0000520	genemark-scaffold_1-processed-gene-4.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.8&CDS=1-1680	YHL010C
521	OG0000521	genemark-scaffold_1-processed-gene-4.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.9&CDS=1-960	YHL011C
522	OG0000522	genemark-scaffold_1-processed-gene-4.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.33&CDS=1-1503	YKL035W
523	OG0000523	genemark-scaffold_1-processed-gene-4.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.10&CDS=1-948	YHL013C
524	OG0000524	genemark-scaffold_1-processed-gene-4.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.34&CDS=1-357	YHL015W
525	OG0000525	genemark-scaffold_1-processed-gene-4.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.11&CDS=1-762	YKL040C
526	OG0000526	genemark-scaffold_1-processed-gene-4.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.35&CDS=1-360	YHL018W
527	OG0000527	genemark-scaffold_1-processed-gene-4.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.12&CDS=1-1620	YHL019C
528	OG0000528	genemark-scaffold_1-processed-gene-4.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.13&CDS=1-1275	YHL020C
529	OG0000529	genemark-scaffold_1-processed-gene-4.14-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.14&CDS=1-3816	YMR012W
530	OG0000530	genemark-scaffold_1-processed-gene-4.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.36&CDS=1-1530	YMR013C
531	OG0000531	genemark-scaffold_1-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.15&CDS=1-1419	YMR014W
532	OG0000532	genemark-scaffold_1-processed-gene-4.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.37&CDS=1-1554	YMR015C
533	OG0000533	genemark-scaffold_1-processed-gene-4.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.16&CDS=1-2121	YMR019W
534	OG0000534	genemark-scaffold_1-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.17&CDS=1-1500	YMR020W
535	OG0000535	genemark-scaffold_1-processed-gene-4.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.39&CDS=1-1146	YMR021C
536	OG0000536	genemark-scaffold_1-processed-gene-4.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.18&CDS=1-495	YMR022W
537	OG0000537	genemark-scaffold_1-processed-gene-4.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.40&CDS=1-1494	YMR023C
538	OG0000538	genemark-scaffold_1-processed-gene-4.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.20&CDS=1-1047	YMR024W
539	OG0000539	augustus_masked-scaffold_1-processed-gene-4.71-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.71&CDS=1-747	YMR025W
540	OG0000540	genemark-scaffold_1-processed-gene-4.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.41&CDS=1-1011	YMR026C
541	OG0000541	snap_masked-scaffold_1-processed-gene-4.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.115&CDS=1-2427	YMR027W
542	OG0000542	genemark-scaffold_1-processed-gene-4.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.42&CDS=1-3117	YKL057C
543	OG0000543	augustus_masked-scaffold_1-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.89&CDS=1-1410	YMR029C
544	OG0000544	genemark-scaffold_1-processed-gene-4.45-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.45&CDS=1-2490	YMR031C
545	OG0000545	genemark-scaffold_1-processed-gene-4.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.25&CDS=1-2070	YMR032W
546	OG0000546	genemark-scaffold_1-processed-gene-4.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.26&CDS=1-447	YMR035W
547	OG0000547	genemark-scaffold_1-processed-gene-4.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.46&CDS=1-1125	YMR036C
548	OG0000548	genemark-scaffold_1-processed-gene-4.48-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.48&CDS=1-654	YMR039C
549	OG0000549	genemark-scaffold_1-processed-gene-4.49-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.49&CDS=1-987	YMR041C
550	OG0000550	genemark-scaffold_1-processed-gene-4.27-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.27&CDS=1-708	YDR098C
551	OG0000551	genemark-scaffold_1-processed-gene-5.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.0&CDS=1-3618	YDR097C
552	OG0000552	augustus_masked-scaffold_1-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.75&CDS=1-453	YDR092W
553	OG0000553	genemark-scaffold_1-processed-gene-5.4-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.4&CDS=1-1821	YDR091C
554	OG0000554	augustus_masked-scaffold_1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.53&CDS=1-912	YDR090C
555	OG0000555	snap_masked-scaffold_1-processed-gene-5.125-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.125&CDS=1-2394	YDR089W
556	OG0000556	genemark-scaffold_1-processed-gene-5.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.8&CDS=1-1035	YDR088C
557	OG0000557	genemark-scaffold_1-processed-gene-5.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.9&CDS=1-1044	YDR087C
558	OG0000558	augustus_masked-scaffold_1-processed-gene-5.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.58&CDS=1-1584	YDR085C
559	OG0000559	genemark-scaffold_1-processed-gene-5.11-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.11&CDS=1-603	YDR084C
560	OG0000560	genemark-scaffold_1-processed-gene-5.30-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.30&CDS=1-1116	YDR083W
561	OG0000561	augustus_masked-scaffold_1-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.79&CDS=1-1059	YDR082W
562	OG0000562	genemark-scaffold_1-processed-gene-5.12-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.12&CDS=1-1497	YIL036W
563	OG0000563	genemark-scaffold_1-processed-gene-5.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.32&CDS=1-1101	YIL035C
564	OG0000564	genemark-scaffold_1-processed-gene-5.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.33&CDS=1-849	YIL034C
565	OG0000565	genemark-scaffold_1-processed-gene-5.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.34&CDS=1-879	YIL023C
566	OG0000566	genemark-scaffold_1-processed-gene-5.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.13&CDS=1-1314	YIL033C
567	OG0000567	snap_masked-scaffold_1-processed-gene-5.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.110&CDS=1-519	YIL024C
568	OG0000568	genemark-scaffold_1-processed-gene-5.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.15&CDS=1-399	YIL027C
569	OG0000569	genemark-scaffold_1-processed-gene-5.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.16&CDS=1-3828	YIL030C
570	OG0000570	snap_masked-scaffold_1-processed-gene-5.134-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.134&CDS=1-2988	YIL031W
571	OG0000571	maker-scaffold_1-augustus-gene-5.148-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.148&CDS=1-2184	YIL021W
572	OG0000572	genemark-scaffold_1-processed-gene-5.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.37&CDS=1-789	YIL020C
573	OG0000573	genemark-scaffold_1-processed-gene-5.38-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.38&CDS=1-2706	YIL017C
574	OG0000574	genemark-scaffold_1-processed-gene-5.20-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.20&CDS=1-474	YIL016W
575	OG0000575	genemark-scaffold_1-processed-gene-5.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.39&CDS=1-1284	YIR012W
576	OG0000576	snap_masked-scaffold_1-processed-gene-5.138-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.138&CDS=1-1632	YIR010W
577	OG0000577	augustus_masked-scaffold_1-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.68&CDS=1-5004	YML103C
578	OG0000578	augustus_masked-scaffold_1-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.69&CDS=1-3192	YML104C
579	OG0000579	genemark-scaffold_1-processed-gene-5.22-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.22&CDS=1-798	YML105C
580	OG0000580	genemark-scaffold_1-processed-gene-5.42-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.42&CDS=1-336	YML108W
581	OG0000581	genemark-scaffold_1-processed-gene-5.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.43&CDS=1-2652	YML109W
582	OG0000582	snap_masked-scaffold_1-processed-gene-5.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.119&CDS=1-858	YML110C
583	OG0000583	snap_masked-scaffold_1-processed-gene-5.142-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.142&CDS=1-771	YML112W
584	OG0000584	genemark-scaffold_1-processed-gene-5.46-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.46&CDS=1-588	YML113W
585	OG0000585	snap_masked-scaffold_1-processed-gene-5.120-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.120&CDS=1-1359	YML114C
586	OG0000586	genemark-scaffold_1-processed-gene-5.25-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-5.25&CDS=1-1521	YML115C
587	OG0000587	genemark-scaffold_1-processed-gene-6.0-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.0&CDS=1-3123	YML117W
588	OG0000588	snap_masked-scaffold_1-processed-gene-6.96-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.96&CDS=1-255	YMR286W
589	OG0000589	snap_masked-scaffold_1-processed-gene-6.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.99&CDS=1-1290	YML119W
590	OG0000590	genemark-scaffold_1-processed-gene-6.3-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.3&CDS=1-1584	YML120C
591	OG0000591	genemark-scaffold_1-processed-gene-6.23-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.23&CDS=1-933	YML121W
592	OG0000592	snap_masked-scaffold_1-processed-gene-6.101-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.101&CDS=1-1758	YML123C
593	OG0000593	genemark-scaffold_1-processed-gene-6.5-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.5&CDS=1-948	YML125C
594	OG0000594	genemark-scaffold_1-processed-gene-6.24-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.24&CDS=1-1776	YML127W
595	OG0000595	genemark-scaffold_1-processed-gene-6.6-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.6&CDS=1-1509	YML128C
596	OG0000596	genemark-scaffold_1-processed-gene-6.7-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.7&CDS=1-624	YML095C
597	OG0000597	genemark-scaffold_1-processed-gene-6.8-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.8&CDS=1-1359	YML097C
598	OG0000598	genemark-scaffold_1-processed-gene-6.9-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.9&CDS=1-1710	YML130C
599	OG0000599	genemark-scaffold_1-processed-gene-6.26-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.26&CDS=1-504	YML098W
600	OG0000600	genemark-scaffold_1-processed-gene-6.10-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.10&CDS=1-1050	YMR315W
601	OG0000601	augustus_masked-scaffold_1-processed-gene-6.77-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.77&CDS=1-1359	YPR168W
602	OG0000602	genemark-scaffold_1-processed-gene-6.32-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.32&CDS=1-627	YPR165W
603	OG0000603	genemark-scaffold_1-processed-gene-6.33-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.33&CDS=1-7878	YLR454W
604	OG0000604	genemark-scaffold_1-processed-gene-6.13-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.13&CDS=1-1239	YPR163C
605	OG0000605	genemark-scaffold_1-processed-gene-6.15-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.15&CDS=1-2178	YLR452C
606	OG0000606	genemark-scaffold_1-processed-gene-6.34-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.34&CDS=1-1566	YER025W
607	OG0000607	genemark-scaffold_1-processed-gene-6.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.35&CDS=1-2568	YLR451W
608	OG0000608	genemark-scaffold_1-processed-gene-6.16-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.16&CDS=1-1359	YJR124C
609	OG0000609	genemark-scaffold_1-processed-gene-6.36-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.36&CDS=1-675	YJR123W
610	OG0000610	genemark-scaffold_1-processed-gene-6.37-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.37&CDS=1-1317	YJR122W
611	OG0000611	snap_masked-scaffold_1-processed-gene-6.136-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.136&CDS=1-1524	YJR121W
612	OG0000612	genemark-scaffold_1-processed-gene-6.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.17&CDS=1-2415	YJR119C
613	OG0000613	genemark-scaffold_1-processed-gene-6.39-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.39&CDS=1-1533	YER021W
614	OG0000614	genemark-scaffold_1-processed-gene-6.40-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.40&CDS=1-1368	YJR117W
615	OG0000615	genemark-scaffold_1-processed-gene-6.41-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.41&CDS=1-813	YJR116W
616	OG0000616	genemark-scaffold_1-processed-gene-6.18-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.18&CDS=1-1026	YJR105W
617	OG0000617	genemark-scaffold_1-processed-gene-6.19-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.19&CDS=1-1242	YKR048C
618	OG0000618	snap_masked-scaffold_1-processed-gene-6.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.119&CDS=1-753	YKR046C
619	OG0000619	genemark-scaffold_1-processed-gene-6.21-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.21&CDS=1-711	YKR045C
