	OrthologID	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
322	OG0000322	augustus_masked-mau_s158-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.56&CDS=1-465	YBR048W, YDR025W
323	OG0000323	augustus_masked-mau_s158-processed-gene-2.78-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.78&CDS=1-1653	YIR031C, YNL117W
324	OG0000324	augustus_masked-mau_s158-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.57&CDS=1-1611	YDL042C, YOL068C
325	OG0000325	augustus_masked-mau_s158-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-3.162&CDS=1-3192	YBL106C, YPR032W
326	OG0000326	genemark-mau_s158-processed-gene-3.108-mRNA-1_1&gene=genemark-mau_s158-processed-gene-3.108&CDS=1-1857, maker-mau_s45-snap-gene-1.134-mRNA-1_1&gene=maker-mau_s45-snap-gene-1.134&CDS=1-2574	YMR058W
327	OG0000327	augustus_masked-mau_s159-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.15&CDS=1-585, augustus_masked-mau_s7-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-1.1&CDS=1-1212	YKR048C
328	OG0000328	augustus_masked-mau_s159-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.26&CDS=1-285, augustus_masked-mau_s77-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-mau_s77-processed-gene-0.99&CDS=1-921	YGR026W
329	OG0000329	snap_masked-mau_s159-processed-gene-0.120-mRNA-1_1&gene=snap_masked-mau_s159-processed-gene-0.120&CDS=1-642, snap_masked-mau_s66-processed-gene-2.128-mRNA-1_1&gene=snap_masked-mau_s66-processed-gene-2.128&CDS=1-3243	YIL115C
330	OG0000330	augustus_masked-mau_s159-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s159-processed-gene-0.5&CDS=1-924	YDR151C, YLR136C
331	OG0000331	augustus_masked-mau_s40-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-mau_s40-processed-gene-1.43&CDS=1-1158, snap_masked-mau_s16-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mau_s16-processed-gene-0.11&CDS=1-525	YDR336W
332	OG0000332	augustus_masked-mau_s16-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-mau_s16-processed-gene-0.33&CDS=1-1533	YMR199W, YPL256C
333	OG0000333	augustus_masked-mau_s165-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.85&CDS=1-3153	YML100W, YMR261C
334	OG0000334	augustus_masked-mau_s165-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.91&CDS=1-1662, snap_masked-mau_s97-processed-gene-0.112-mRNA-1_1&gene=snap_masked-mau_s97-processed-gene-0.112&CDS=1-1785	YDL174C
335	OG0000335	augustus_masked-mau_s165-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.67&CDS=1-354	YFL034C-A, YLR061W
336	OG0000336	augustus_masked-mau_s165-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.94&CDS=1-3249, snap_masked-mau_s45-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mau_s45-processed-gene-0.62&CDS=1-282	YOR340C
337	OG0000337	augustus_masked-mau_s165-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-0.96&CDS=1-1020	YAL034C, YOR338W
338	OG0000338	augustus_masked-mau_s165-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.216&CDS=1-1782	YHR117W, YNL121C
339	OG0000339	augustus_masked-mau_s165-processed-gene-1.279-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.279&CDS=1-3903	YDR409W, YOR156C
340	OG0000340	genemark-mau_s165-processed-gene-1.134-mRNA-1_1&gene=genemark-mau_s165-processed-gene-1.134&CDS=1-2622	YMR237W, YOR299W
341	OG0000341	augustus_masked-mau_s165-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.239&CDS=1-3675, snap_masked-mau_s25-processed-gene-3.123-mRNA-1_1&gene=snap_masked-mau_s25-processed-gene-3.123&CDS=1-459	YOR124C
342	OG0000342	augustus_masked-mau_s165-processed-gene-1.290-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.290&CDS=1-588	YDR453C, YML028W
343	OG0000343	augustus_masked-mau_s165-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.251&CDS=1-678	YDR185C, YLR168C
344	OG0000344	augustus_masked-mau_s165-processed-gene-1.259-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.259&CDS=1-1533	YDR200C, YLR238W
345	OG0000345	maker-mau_s165-augustus-gene-1.11-mRNA-1_1&gene=maker-mau_s165-augustus-gene-1.11&CDS=1-1761	YDR358W, YHR108W
346	OG0000346	augustus_masked-mau_s165-processed-gene-1.303-mRNA-1_1&gene=augustus_masked-mau_s165-processed-gene-1.303&CDS=1-396	YCR031C, YJL191W
347	OG0000347	augustus_masked-mau_s170-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mau_s170-processed-gene-0.31&CDS=1-327, augustus_masked-mau_s89-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-1.82&CDS=1-441	YOR104W
348	OG0000348	augustus_masked-mau_s172-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s172-processed-gene-0.15&CDS=1-1170, augustus_masked-mau_s267-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s267-processed-gene-0.21&CDS=1-1116	YCR044C
349	OG0000349	augustus_masked-mau_s18-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-0.23&CDS=1-1413, augustus_masked-mau_s260-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-mau_s260-processed-gene-0.99&CDS=1-1404	YMR020W
350	OG0000350	augustus_masked-mau_s18-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-1.28&CDS=1-549, snap_masked-mau_s66-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mau_s66-processed-gene-0.6&CDS=1-564	YLR109W
351	OG0000351	augustus_masked-mau_s18-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-1.33&CDS=1-1845	YNL299W, YOL115W
352	OG0000352	snap_masked-mau_s18-processed-gene-2.7-mRNA-1_1&gene=snap_masked-mau_s18-processed-gene-2.7&CDS=1-3639	YHR155W, YNL257C
353	OG0000353	maker-mau_s18-augustus-gene-2.1-mRNA-1_1&gene=maker-mau_s18-augustus-gene-2.1&CDS=1-393	YHL001W, YKL006W
354	OG0000354	augustus_masked-mau_s18-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-mau_s18-processed-gene-2.102&CDS=1-6009, augustus_masked-mau_s7-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-0.49&CDS=1-5445	YNL271C
355	OG0000355	genemark-mau_s183-processed-gene-0.22-mRNA-1_1&gene=genemark-mau_s183-processed-gene-0.22&CDS=1-1533	YBR214W, YGL056C
356	OG0000356	augustus_masked-mau_s28-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-mau_s28-processed-gene-0.10&CDS=1-288, genemark-mau_s185-processed-gene-0.49-mRNA-1_1&gene=genemark-mau_s185-processed-gene-0.49&CDS=1-1851	YPL155C
357	OG0000357	augustus_masked-mau_s185-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-mau_s185-processed-gene-0.90&CDS=1-198, augustus_masked-mau_s48-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mau_s48-processed-gene-0.62&CDS=1-1101	YOR007C
358	OG0000358	augustus_masked-mau_s185-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-mau_s185-processed-gene-0.101&CDS=1-1902, augustus_masked-mau_s40-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s40-processed-gene-0.61&CDS=1-564	YDR425W
359	OG0000359	augustus_masked-mau_s185-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-mau_s185-processed-gene-0.118&CDS=1-1617	YHL017W, YKL039W
360	OG0000360	augustus_masked-mau_s185-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-mau_s185-processed-gene-0.104&CDS=1-1509	YDL161W, YLR206W
361	OG0000361	augustus_masked-mau_s190-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s190-processed-gene-0.23&CDS=1-1929, genemark-mau_s3-processed-gene-3.53-mRNA-1_1&gene=genemark-mau_s3-processed-gene-3.53&CDS=1-1938	YJR045C
362	OG0000362	augustus_masked-mau_s190-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-mau_s190-processed-gene-0.19&CDS=1-480	YBR191W, YPL079W
363	OG0000363	augustus_masked-mau_s195-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.24&CDS=1-426	YDL083C, YMR143W
364	OG0000364	augustus_masked-mau_s195-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.0&CDS=1-591	YDL082W, YMR142C
365	OG0000365	augustus_masked-mau_s89-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-2.51&CDS=1-1707, snap_masked-mau_s195-processed-gene-0.125-mRNA-1_1&gene=snap_masked-mau_s195-processed-gene-0.125&CDS=1-1689	YNR055C
366	OG0000366	augustus_masked-mau_s195-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.1&CDS=1-1242	YLR300W, YOR190W
367	OG0000367	snap_masked-mau_s195-processed-gene-0.105-mRNA-1_1&gene=snap_masked-mau_s195-processed-gene-0.105&CDS=1-2220, snap_masked-mau_s67-processed-gene-5.122-mRNA-1_1&gene=snap_masked-mau_s67-processed-gene-5.122&CDS=1-726	YLR424W
368	OG0000368	augustus_masked-mau_s195-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.36&CDS=1-435	YDR450W, YML026C
369	OG0000369	augustus_masked-mau_s195-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.40&CDS=1-222, augustus_masked-mau_s3-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.57&CDS=1-1506	YOL123W
370	OG0000370	augustus_masked-mau_s195-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mau_s195-processed-gene-0.12&CDS=1-873	YMR042W, YMR043W
371	OG0000371	maker-mau_s195-augustus-gene-0.147-mRNA-1_1&gene=maker-mau_s195-augustus-gene-0.147&CDS=1-201	YLR264W, YOR167C
372	OG0000372	augustus_masked-mau_s199-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-mau_s199-processed-gene-0.38&CDS=1-906	YBR105C, YGR066C
373	OG0000373	augustus_masked-mau_s199-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mau_s199-processed-gene-0.40&CDS=1-282, snap_masked-mau_s214-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mau_s214-processed-gene-0.0&CDS=1-1449	YDL238C
374	OG0000374	augustus_masked-mau_s2-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s2-processed-gene-0.7&CDS=1-1797	YGR092W, YPR111W
375	OG0000375	augustus_masked-mau_s67-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-2.27&CDS=1-2070, genemark-mau_s2-processed-gene-0.42-mRNA-1_1&gene=genemark-mau_s2-processed-gene-0.42&CDS=1-1296	YOR049C
376	OG0000376	augustus_masked-mau_s259-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-mau_s259-processed-gene-0.87&CDS=1-2052, snap_masked-mau_s20-processed-gene-0.44-mRNA-1_1&gene=snap_masked-mau_s20-processed-gene-0.44&CDS=1-330	YDR194C
377	OG0000377	augustus_masked-mau_s204-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mau_s204-processed-gene-0.22&CDS=1-1167, augustus_masked-mau_s221-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.85&CDS=1-1113	YEL046C
378	OG0000378	augustus_masked-mau_s205-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-mau_s205-processed-gene-0.62&CDS=1-1689, augustus_masked-mau_s67-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-0.7&CDS=1-1752	YML054C
379	OG0000379	augustus_masked-mau_s205-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mau_s205-processed-gene-0.73&CDS=1-675, augustus_masked-mau_s94-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-mau_s94-processed-gene-0.104&CDS=1-633	YDR367W
380	OG0000380	augustus_masked-mau_s206-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s206-processed-gene-0.21&CDS=1-441, augustus_masked-mau_s207-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s207-processed-gene-0.1&CDS=1-1185	YDR402C
381	OG0000381	augustus_masked-mau_s206-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s206-processed-gene-0.23&CDS=1-2124	YKL050C, YMR031C
382	OG0000382	augustus_masked-mau_s21-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_s21-processed-gene-0.2&CDS=1-336	YDL075W, YLR406C
383	OG0000383	augustus_masked-mau_s211-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-mau_s211-processed-gene-0.28&CDS=1-714	YDR259C, YOR028C
384	OG0000384	augustus_masked-mau_s214-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-mau_s214-processed-gene-0.24&CDS=1-1593	YDR501W, YLR183C
385	OG0000385	augustus_masked-mau_s217-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mau_s217-processed-gene-0.15&CDS=1-2100, augustus_masked-mau_s5-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-mau_s5-processed-gene-2.134&CDS=1-2097	YLL029W
386	OG0000386	augustus_masked-mau_s217-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mau_s217-processed-gene-0.16&CDS=1-1527	YJR054W, YML047C
387	OG0000387	genemark-mau_s217-processed-gene-0.56-mRNA-1_1&gene=genemark-mau_s217-processed-gene-0.56&CDS=1-468	YBR082C, YDR059C
388	OG0000388	augustus_masked-mau_s66-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-mau_s66-processed-gene-1.14&CDS=1-1395, maker-mau_s217-snap-gene-0.0-mRNA-1_1&gene=maker-mau_s217-snap-gene-0.0&CDS=1-2514	YDL170W
389	OG0000389	augustus_masked-mau_s217-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s217-processed-gene-0.14&CDS=1-1047, augustus_masked-mau_s54-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s54-processed-gene-0.60&CDS=1-423	YGR112W
390	OG0000390	augustus_masked-mau_s219-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s219-processed-gene-0.14&CDS=1-1044	YPR013C, YPR015C
391	OG0000391	augustus_masked-mau_s3-processed-gene-5.90-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-5.90&CDS=1-1902, snap_masked-mau_s219-processed-gene-0.6-mRNA-1_1&gene=snap_masked-mau_s219-processed-gene-0.6&CDS=1-231	YDL146W
392	OG0000392	augustus_masked-mau_s22-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-mau_s22-processed-gene-0.53&CDS=1-396, augustus_masked-mau_s23-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.71&CDS=1-2397	YLR268W
393	OG0000393	snap_masked-mau_s22-processed-gene-0.18-mRNA-1_1&gene=snap_masked-mau_s22-processed-gene-0.18&CDS=1-1221, snap_masked-mau_s85-processed-gene-0.88-mRNA-1_1&gene=snap_masked-mau_s85-processed-gene-0.88&CDS=1-228	YDR473C
394	OG0000394	augustus_masked-mau_s220-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mau_s220-processed-gene-0.5&CDS=1-3636	YDR122W, YLR096W
395	OG0000395	augustus_masked-mau_s221-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-0.59&CDS=1-1995	YGR241C, YHR161C
396	OG0000396	augustus_masked-mau_s221-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.122&CDS=1-2340	YDL109C, YGL144C
397	OG0000397	augustus_masked-mau_s221-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-1.129&CDS=1-852, snap_masked-mau_s98-processed-gene-0.120-mRNA-1_1&gene=snap_masked-mau_s98-processed-gene-0.120&CDS=1-213	YLR003C
398	OG0000398	augustus_masked-mau_s224-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_s224-processed-gene-0.1&CDS=1-1356	YDL048C, YLR375W
399	OG0000399	augustus_masked-mau_s23-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.36&CDS=1-819	YAL018C, YOL048C
400	OG0000400	augustus_masked-mau_s23-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.13&CDS=1-1056, snap_masked-mau_s43-processed-gene-0.62-mRNA-1_1&gene=snap_masked-mau_s43-processed-gene-0.62&CDS=1-309	YNL234W
401	OG0000401	augustus_masked-mau_s23-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.14&CDS=1-3537, snap_masked-mau_s90-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mau_s90-processed-gene-0.60&CDS=1-231	YNL233W
402	OG0000402	augustus_masked-mau_s23-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-0.40&CDS=1-1041, augustus_masked-mau_s3-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-1.61&CDS=1-1140	YNL231C
403	OG0000403	augustus_masked-mau_s23-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-1.62&CDS=1-996, snap_masked-mau_s89-processed-gene-5.143-mRNA-1_1&gene=snap_masked-mau_s89-processed-gene-5.143&CDS=1-984	YOR246C
404	OG0000404	augustus_masked-mau_s23-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-1.66&CDS=1-1263, augustus_masked-mau_s94-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-mau_s94-processed-gene-0.134&CDS=1-1284	YDL131W
405	OG0000405	augustus_masked-mau_s23-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-1.82&CDS=1-615, augustus_masked-mau_s25-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.25&CDS=1-636	YNR018W
406	OG0000406	augustus_masked-mau_s23-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-1.92&CDS=1-1767, snap_masked-mau_s244-processed-gene-0.10-mRNA-1_1&gene=snap_masked-mau_s244-processed-gene-0.10&CDS=1-333	YML070W
407	OG0000407	augustus_masked-mau_s23-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.7&CDS=1-834, maker-mau_s48-snap-gene-0.139-mRNA-1_1&gene=maker-mau_s48-snap-gene-0.139&CDS=1-894	YOR036W
408	OG0000408	augustus_masked-mau_s23-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.45&CDS=1-3018	YKL072W, YMR053C
409	OG0000409	augustus_masked-mau_s23-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.47&CDS=1-990	YKR076W, YMR251W
410	OG0000410	augustus_masked-mau_s23-processed-gene-2.49-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.49&CDS=1-762, genemark-mau_s85-processed-gene-0.64-mRNA-1_1&gene=genemark-mau_s85-processed-gene-0.64&CDS=1-756	YBL064C
411	OG0000411	snap_masked-mau_s23-processed-gene-2.208-mRNA-1_1&gene=snap_masked-mau_s23-processed-gene-2.208&CDS=1-2535	YBR172C, YPL105C
412	OG0000412	augustus_masked-mau_s23-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-2.80&CDS=1-612	YLR029C, YMR121C
413	OG0000413	augustus_masked-mau_s233-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-mau_s233-processed-gene-0.90&CDS=1-1926	YEL047C, YJR051W
414	OG0000414	maker-mau_s234-snap-gene-0.4-mRNA-1_1&gene=maker-mau_s234-snap-gene-0.4&CDS=1-411	Q0050, Q0055
415	OG0000415	augustus_masked-mau_s237-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mau_s237-processed-gene-0.7&CDS=1-1725	YGR138C, YPR156C
416	OG0000416	augustus_masked-mau_s237-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-mau_s237-processed-gene-0.8&CDS=1-2778, augustus_masked-mau_s94-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-mau_s94-processed-gene-0.103&CDS=1-351	YGR003W
417	OG0000417	augustus_masked-mau_s55-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-mau_s55-processed-gene-0.69&CDS=1-819, snap_masked-mau_s242-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mau_s242-processed-gene-0.4&CDS=1-828	YIL020C
418	OG0000418	augustus_masked-mau_s89-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.22&CDS=1-2826, maker-mau_s247-augustus-gene-0.58-mRNA-1_1&gene=maker-mau_s247-augustus-gene-0.58&CDS=1-4650	YOR270C
419	OG0000419	augustus_masked-mau_s247-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.65&CDS=1-4119	YCR073C, YNR031C
420	OG0000420	augustus_masked-mau_s247-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.100&CDS=1-1683, snap_masked-mau_s48-processed-gene-0.121-mRNA-1_1&gene=snap_masked-mau_s48-processed-gene-0.121&CDS=1-675	YBR220C
421	OG0000421	augustus_masked-mau_s247-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.108&CDS=1-2997	YGL049C, YGR162W
422	OG0000422	augustus_masked-mau_s247-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.87&CDS=1-966	YJL133W, YKR052C
423	OG0000423	augustus_masked-mau_s247-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.88&CDS=1-1611	YLL012W, YLR020C
424	OG0000424	augustus_masked-mau_s247-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-mau_s247-processed-gene-1.117&CDS=1-870	YHR198C, YHR199C
425	OG0000425	augustus_masked-mau_s249-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s249-processed-gene-0.21&CDS=1-1047	YGR279C, YMR305C
426	OG0000426	augustus_masked-mau_s25-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.45&CDS=1-480, augustus_masked-mau_s82-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-mau_s82-processed-gene-0.121&CDS=1-750	YBL021C
427	OG0000427	augustus_masked-mau_s25-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.31&CDS=1-975	YGR136W, YPR154W
428	OG0000428	augustus_masked-mau_s25-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.51&CDS=1-543	YDL137W, YDL192W
429	OG0000429	augustus_masked-mau_s25-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.36&CDS=1-507	YGR131W, YPR149W
430	OG0000430	maker-mau_s25-snap-gene-0.62-mRNA-1_1&gene=maker-mau_s25-snap-gene-0.62&CDS=1-3750	YGR143W, YPR159W
431	OG0000431	augustus_masked-mau_s25-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-0.61&CDS=1-3498, snap_masked-mau_s5-processed-gene-2.4-mRNA-1_1&gene=snap_masked-mau_s5-processed-gene-2.4&CDS=1-624	YGL156W
432	OG0000432	augustus_masked-mau_s25-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-1.3&CDS=1-2391	YIL105C, YNL047C
433	OG0000433	augustus_masked-mau_s25-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-1.19&CDS=1-411	YBL087C, YER117W
434	OG0000434	augustus_masked-mau_s25-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-1.12&CDS=1-3537	YGL133W, YPL216W
435	OG0000435	augustus_masked-mau_s45-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-1.78&CDS=1-1278, snap_masked-mau_s25-processed-gene-1.111-mRNA-1_1&gene=snap_masked-mau_s25-processed-gene-1.111&CDS=1-330	YLR459W
436	OG0000436	augustus_masked-mau_s25-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.45&CDS=1-657	YER031C, YGL210W
437	OG0000437	augustus_masked-mau_s25-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.57&CDS=1-738, augustus_masked-mau_s67-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-mau_s67-processed-gene-1.61&CDS=1-753	YKL040C
438	OG0000438	augustus_masked-mau_s25-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-2.58&CDS=1-1536, augustus_masked-mau_s31-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.25&CDS=1-1965	YLR034C
439	OG0000439	augustus_masked-mau_s25-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.4&CDS=1-1539	YFR012W, YOL019W
440	OG0000440	augustus_masked-mau_s25-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.15&CDS=1-804, augustus_masked-mau_s260-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-mau_s260-processed-gene-0.87&CDS=1-801	YMR226C
441	OG0000441	augustus_masked-mau_s25-processed-gene-3.36-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-3.36&CDS=1-1269	YDR300C, YHR033W
442	OG0000442	augustus_masked-mau_s250-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.46&CDS=1-792	YGR214W, YLR048W
443	OG0000443	augustus_masked-mau_s250-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.50&CDS=1-495	YDR418W, YEL054C
444	OG0000444	augustus_masked-mau_s250-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.60&CDS=1-1437	YGR121C, YPR138C
445	OG0000445	augustus_masked-mau_s250-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-0.84&CDS=1-1086	YDL246C, YJR159W
446	OG0000446	augustus_masked-mau_s250-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-1.136&CDS=1-1593, genemark-mau_s82-processed-gene-0.89-mRNA-1_1&gene=genemark-mau_s82-processed-gene-0.89&CDS=1-1812	YLR248W
