	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035045_Barnettozyma_hawaiiensis
219	OG0000219	YBL043W, YJR115W	augustus_masked-flattened_line_24-processed-gene-1.257-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.257&CDS=1-768
220	OG0000220	YBL054W	snap_masked-flattened_line_10-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.95&CDS=1-390, snap_masked-flattened_line_76-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.11&CDS=1-1401
221	OG0000221	YBL056W, YER089C	snap_masked-flattened_line_28-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.91&CDS=1-1335
222	OG0000222	YBL067C, YER098W	snap_masked-flattened_line_4-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.87&CDS=1-2247
223	OG0000223	YBL072C, YER102W	snap_masked-flattened_line_4-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.67&CDS=1-606
224	OG0000224	YBL087C, YER117W	snap_masked-flattened_line_46-processed-gene-0.236-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.236&CDS=1-399
225	OG0000225	YBL101C, YPR030W	snap_masked-flattened_line_18-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.119&CDS=1-2040
226	OG0000226	YBL106C, YPR032W	maker-flattened_line_60-snap-gene-0.75-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.75&CDS=1-3042
227	OG0000227	YBR005W, YDR003W	snap_masked-flattened_line_84-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.113&CDS=1-564
228	OG0000228	YBR021W, YIR028W	snap_masked-flattened_line_18-processed-gene-1.187-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.187&CDS=1-1776
229	OG0000229	YBR031W, YDR012W	snap_masked-flattened_line_20-processed-gene-1.4-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.4&CDS=1-1095
230	OG0000230	YBR033W, YKL038W	genemark-flattened_line_0-processed-gene-2.127-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.127&CDS=1-2502
231	OG0000231	YBR048W, YDR025W	snap_masked-flattened_line_0-processed-gene-7.71-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.71&CDS=1-468
232	OG0000232	YBR066C, YDR043C	snap_masked-flattened_line_44-processed-gene-0.156-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.156&CDS=1-822
233	OG0000233	YBR078W, YDR055W	snap_masked-flattened_line_62-processed-gene-0.192-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.192&CDS=1-1266
234	OG0000234	YBR089C-A, YPR052C	snap_masked-flattened_line_0-processed-gene-5.166-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.166&CDS=1-279
235	OG0000235	YBR104W, YPR058W	snap_masked-flattened_line_6-processed-gene-2.108-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.108&CDS=1-891
236	OG0000236	YBR118W, YPR080W	augustus_masked-flattened_line_231-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_231-processed-gene-0.1&CDS=1-792
237	OG0000237	YBR140C, YOL081W	snap_masked-flattened_line_66-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.101&CDS=1-8013
238	OG0000238	YBR147W, YOL092W	snap_masked-flattened_line_30-processed-gene-1.144-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.144&CDS=1-882
239	OG0000239	YBR161W, YPL057C	genemark-flattened_line_18-processed-gene-1.276-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.276&CDS=1-1023
240	OG0000240	YBR169C, YPL106C	snap_masked-flattened_line_50-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.129&CDS=1-2076
241	OG0000241	YBR172C, YPL105C	snap_masked-flattened_line_50-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.131&CDS=1-2601
242	OG0000242	YBR177C, YPL095C	snap_masked-flattened_line_0-processed-gene-2.95-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.95&CDS=1-1338
243	OG0000243	YBR183W, YPL087W	snap_masked-flattened_line_24-processed-gene-1.93-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.93&CDS=1-846
244	OG0000244	YBR189W, YPL081W	augustus_masked-flattened_line_42-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.118&CDS=1-615
245	OG0000245	YBR191W, YPL079W	snap_masked-flattened_line_32-processed-gene-1.140-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.140&CDS=1-480
246	OG0000246	YBR214W, YGL056C	snap_masked-flattened_line_0-processed-gene-8.129-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.129&CDS=1-1446
247	OG0000247	YBR216C, YGL060W	snap_masked-flattened_line_76-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.16&CDS=1-1974
248	OG0000248	YBR238C, YGL107C	snap_masked-flattened_line_38-processed-gene-0.199-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.199&CDS=1-1941
249	OG0000249	YBR242W, YGL101W	snap_masked-flattened_line_40-processed-gene-0.182-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.182&CDS=1-660
250	OG0000250	YBR273C, YJL048C	snap_masked-flattened_line_22-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.61&CDS=1-1572
251	OG0000251	YBR294W, YLR092W	snap_masked-flattened_line_0-processed-gene-5.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.144&CDS=1-2337
252	OG0000252	YCL035C, YDR513W	snap_masked-flattened_line_6-processed-gene-2.134-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.134&CDS=1-306
253	OG0000253	YCL040W, YDR516C	snap_masked-flattened_line_10-processed-gene-1.61-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.61&CDS=1-1434
254	OG0000254	YCL048W, YDR522C	snap_masked-flattened_line_0-processed-gene-4.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.117&CDS=1-1425
255	OG0000255	YCL050C, YDR530C	snap_masked-flattened_line_98-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.15&CDS=1-960
256	OG0000256	YCL064C, YIL167W	snap_masked-flattened_line_26-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.128&CDS=1-1032
257	OG0000257	YCL068C, YCR038C	snap_masked-flattened_line_48-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.116&CDS=1-4185
258	OG0000258	YCR026C, YEL016C	snap_masked-flattened_line_0-processed-gene-8.169-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.169&CDS=1-2091
259	OG0000259	YCR031C, YJL191W	snap_masked-flattened_line_78-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.2&CDS=1-426
260	OG0000260	YCR034W	snap_masked-flattened_line_0-processed-gene-7.66-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.66&CDS=1-993, snap_masked-flattened_line_26-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.5&CDS=1-969
261	OG0000261	YCR067C, YNR026C	snap_masked-flattened_line_80-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.25&CDS=1-3492
262	OG0000262	YCR073C, YNR031C	snap_masked-flattened_line_0-processed-gene-8.196-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.196&CDS=1-3957
263	OG0000263	YCR073W-A, YNR034W	snap_masked-flattened_line_0-processed-gene-3.65-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.65&CDS=1-858
264	OG0000264	YCR105W, YMR318C	snap_masked-flattened_line_8-processed-gene-2.296-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.296&CDS=1-1155
265	OG0000265	YDL022W	snap_masked-flattened_line_22-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.73&CDS=1-1140, snap_masked-flattened_line_52-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.84&CDS=1-1152
266	OG0000266	YDL035C	augustus_masked-flattened_line_0-processed-gene-3.138-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.138&CDS=1-1227, snap_masked-flattened_line_30-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.110&CDS=1-1599
267	OG0000267	YDL042C, YOL068C	snap_masked-flattened_line_30-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.136&CDS=1-1506
268	OG0000268	YDL048C, YLR375W	snap_masked-flattened_line_26-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.6&CDS=1-1203
269	OG0000269	YDL061C, YLR388W	genemark-flattened_line_12-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.39&CDS=1-219
270	OG0000270	YDL075W, YLR406C	snap_masked-flattened_line_2-processed-gene-4.206-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.206&CDS=1-357
271	OG0000271	YDL079C, YMR139W	snap_masked-flattened_line_16-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.64&CDS=1-948
272	OG0000272	YDL083C, YMR143W	snap_masked-flattened_line_78-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.37&CDS=1-435
273	OG0000273	YDL127W, YDL179W	snap_masked-flattened_line_92-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.24&CDS=1-1062
274	OG0000274	YDL130W-A, YDL181W	snap_masked-flattened_line_14-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.167&CDS=1-258
275	OG0000275	YDL136W, YDL191W	snap_masked-flattened_line_76-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.44&CDS=1-375
276	OG0000276	YDL137W, YDL192W	genemark-flattened_line_76-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.148&CDS=1-543
277	OG0000277	YDL155W, YLR210W	snap_masked-flattened_line_4-processed-gene-3.140-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.140&CDS=1-1383
278	OG0000278	YDL161W, YLR206W	maker-flattened_line_32-snap-gene-0.49-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.49&CDS=1-1458
279	OG0000279	YDL170W	genemark-flattened_line_4-processed-gene-3.270-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.270&CDS=1-2286, snap_masked-flattened_line_0-processed-gene-3.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.63&CDS=1-1566
280	OG0000280	YDL224C, YNL197C	snap_masked-flattened_line_24-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.75&CDS=1-1743
281	OG0000281	YDL237W	genemark-flattened_line_8-processed-gene-2.71-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.71&CDS=1-897, snap_masked-flattened_line_60-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.112&CDS=1-1260
282	OG0000282	YDL246C, YJR159W	snap_masked-flattened_line_10-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.97&CDS=1-1062
283	OG0000283	YDR032C	snap_masked-flattened_line_38-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.115&CDS=1-600, snap_masked-flattened_line_38-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.175&CDS=1-756
284	OG0000284	YDR047W	genemark-flattened_line_8-processed-gene-2.10-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.10&CDS=1-2856, maker-flattened_line_68-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_68-augustus-gene-0.5&CDS=1-1617
285	OG0000285	YDR090C	snap_masked-flattened_line_0-processed-gene-4.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.103&CDS=1-750, snap_masked-flattened_line_4-processed-gene-1.145-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.145&CDS=1-717
286	OG0000286	YDR098C, YER174C	augustus_masked-flattened_line_92-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.54&CDS=1-1656
287	OG0000287	YDR106W	augustus_masked-flattened_line_0-processed-gene-8.286-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.286&CDS=1-1098, snap_masked-flattened_line_32-processed-gene-1.132-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.132&CDS=1-1158
288	OG0000288	YDR107C, YLR083C	augustus_masked-flattened_line_0-processed-gene-8.289-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.289&CDS=1-1863
289	OG0000289	YDR111C, YLR089C	snap_masked-flattened_line_14-processed-gene-1.220-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.220&CDS=1-1554
290	OG0000290	YDR122W, YLR096W	snap_masked-flattened_line_58-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.94&CDS=1-3609
291	OG0000291	YDR125C, YLR099C	genemark-flattened_line_64-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.57&CDS=1-1440
292	OG0000292	YDR132C, YLR108C	snap_masked-flattened_line_12-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.71&CDS=1-1260
293	OG0000293	YDR134C, YLR110C	snap_masked-flattened_line_48-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.137&CDS=1-450
294	OG0000294	YDR146C, YLR131C	snap_masked-flattened_line_24-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.125&CDS=1-2115
295	OG0000295	YDR151C, YLR136C	snap_masked-flattened_line_6-processed-gene-2.176-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.176&CDS=1-723
296	OG0000296	YDR178W, YLR164W	snap_masked-flattened_line_76-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.25&CDS=1-528
297	OG0000297	YDR200C, YLR238W	snap_masked-flattened_line_36-processed-gene-1.150-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.150&CDS=1-1536
298	OG0000298	YDR206W, YLR233C	snap_masked-flattened_line_36-processed-gene-1.155-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.155&CDS=1-2535
299	OG0000299	YDR247W, YPL026C	snap_masked-flattened_line_16-processed-gene-1.292-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.292&CDS=1-1245
300	OG0000300	YDR251W, YPL032C	snap_masked-flattened_line_90-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.81&CDS=1-2712
301	OG0000301	YDR253C, YPL038W	maker-flattened_line_26-snap-gene-1.143-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.143&CDS=1-444
302	OG0000302	YDR263C, YOR033C	snap_masked-flattened_line_86-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.58&CDS=1-2073
303	OG0000303	YDR272W, YOR040W	augustus_masked-flattened_line_38-processed-gene-0.266-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.266&CDS=1-762
304	OG0000304	YDR277C, YOR047C	snap_masked-flattened_line_4-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.64&CDS=1-1389
305	OG0000305	YDR309C, YHR061C	snap_masked-flattened_line_48-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.118&CDS=1-1578
306	OG0000306	YDR312W, YHR066W	genemark-flattened_line_48-processed-gene-0.185-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.185&CDS=1-1248
307	OG0000307	YDR326C, YHR080C	snap_masked-flattened_line_4-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.71&CDS=1-3132
308	OG0000308	YDR348C, YHR097C	snap_masked-flattened_line_30-processed-gene-0.134-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.134&CDS=1-1605
309	OG0000309	YDR351W, YHR103W	augustus_masked-flattened_line_38-processed-gene-0.261-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.261&CDS=1-1983
310	OG0000310	YDR368W, YOR120W	snap_masked-flattened_line_26-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.9&CDS=1-936
311	OG0000311	YDR391C, YOR013W	augustus_masked-flattened_line_14-processed-gene-1.263-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.263&CDS=1-600
312	OG0000312	YDR409W, YOR156C	snap_masked-flattened_line_4-processed-gene-1.152-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.152&CDS=1-3084
313	OG0000313	YDR418W, YEL054C	snap_masked-flattened_line_2-processed-gene-3.44-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.44&CDS=1-495
314	OG0000314	YDR447C, YML024W	augustus_masked-flattened_line_48-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.62&CDS=1-441
315	OG0000315	YDR450W, YML026C	snap_masked-flattened_line_48-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.112&CDS=1-438
316	OG0000316	YDR451C, YML027W	snap_masked-flattened_line_48-processed-gene-0.158-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.158&CDS=1-1176
317	OG0000317	YDR453C, YML028W	snap_masked-flattened_line_82-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.83&CDS=1-594
318	OG0000318	YDR490C	maker-flattened_line_86-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_86-snap-gene-0.123&CDS=1-2514, snap_masked-flattened_line_66-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.103&CDS=1-3171
319	OG0000319	YDR500C, YLR185W	augustus_masked-flattened_line_2-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.41&CDS=1-264
320	OG0000320	YDR501W, YLR183C	genemark-flattened_line_2-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.108&CDS=1-1611
321	OG0000321	YEL006W, YIL006W	augustus_masked-flattened_line_12-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.171&CDS=1-1980
322	OG0000322	YEL022W, YJR031C	snap_masked-flattened_line_4-processed-gene-2.98-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.98&CDS=1-4314
323	OG0000323	YEL039C, YJR048W	snap_masked-flattened_line_36-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.125&CDS=1-330
324	OG0000324	YEL047C, YJR051W	snap_masked-flattened_line_90-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.73&CDS=1-1362
325	OG0000325	YEL066W, YPR193C	snap_masked-flattened_line_14-processed-gene-1.189-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.189&CDS=1-456
326	OG0000326	YER031C, YGL210W	snap_masked-flattened_line_0-processed-gene-8.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.153&CDS=1-660
327	OG0000327	YER045C, YIL036W	snap_masked-flattened_line_18-processed-gene-1.125-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.125&CDS=1-1098
328	OG0000328	YER056C-A	snap_masked-flattened_line_2-processed-gene-4.224-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.224&CDS=1-363, snap_masked-flattened_line_6-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.72&CDS=1-363
329	OG0000329	YER057C, YIL051C	maker-flattened_line_2-snap-gene-4.155-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.155&CDS=1-606
330	OG0000330	YER059W, YIL050W	genemark-flattened_line_2-processed-gene-4.42-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.42&CDS=1-1842
331	OG0000331	YER062C, YIL053W	snap_masked-flattened_line_0-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.5&CDS=1-762
332	OG0000332	YER064C, YIL056W	augustus_masked-flattened_line_14-processed-gene-1.255-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.255&CDS=1-1593
333	OG0000333	YER066W, YFL009W	snap_masked-flattened_line_26-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.97&CDS=1-2127
334	OG0000334	YER067W, YIL057C	snap_masked-flattened_line_14-processed-gene-1.213-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.213&CDS=1-492
335	OG0000335	YER070W	genemark-flattened_line_118-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_118-processed-gene-0.29&CDS=1-2505, snap_masked-flattened_line_42-processed-gene-0.191-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.191&CDS=1-2616
336	OG0000336	YER094C	maker-flattened_line_34-augustus-gene-0.48-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.48&CDS=1-1695, snap_masked-flattened_line_24-processed-gene-1.151-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.151&CDS=1-1029
337	OG0000337	YER131W, YGL189C	snap_masked-flattened_line_28-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.58&CDS=1-357
338	OG0000338	YER132C, YGL197W	snap_masked-flattened_line_0-processed-gene-6.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.57&CDS=1-4332
339	OG0000339	YER166W	augustus_masked-flattened_line_6-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.26&CDS=1-4188, snap_masked-flattened_line_92-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.25&CDS=1-4737
340	OG0000340	YER188W	augustus_masked-flattened_line_145-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_145-processed-gene-0.11&CDS=1-429, snap_masked-flattened_line_145-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.8&CDS=1-732
341	OG0000341	YFL004W, YPL019C	snap_masked-flattened_line_124-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.15&CDS=1-2346
342	OG0000342	YFL034C-A, YLR061W	snap_masked-flattened_line_0-processed-gene-2.104-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.104&CDS=1-354
343	OG0000343	YFL048C, YLR080W	snap_masked-flattened_line_28-processed-gene-1.203-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.203&CDS=1-1395
344	OG0000344	YFL050C, YOL130W	snap_masked-flattened_line_104-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.37&CDS=1-2106
345	OG0000345	YFR013W, YOL017W	snap_masked-flattened_line_18-processed-gene-1.213-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.213&CDS=1-2742
346	OG0000346	YFR014C, YOL016C	snap_masked-flattened_line_10-processed-gene-2.221-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.221&CDS=1-1296
347	OG0000347	YFR023W, YHR015W	snap_masked-flattened_line_96-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.57&CDS=1-2226
348	OG0000348	YFR031C-A, YIL018W	snap_masked-flattened_line_8-processed-gene-2.238-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.238&CDS=1-762
349	OG0000349	YFR053C, YGL253W	snap_masked-flattened_line_20-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.45&CDS=1-1446
350	OG0000350	YGL023C	augustus_masked-flattened_line_30-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.69&CDS=1-1236, snap_masked-flattened_line_72-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.14&CDS=1-1716
351	OG0000351	YGL031C, YGR148C	snap_masked-flattened_line_38-processed-gene-0.194-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.194&CDS=1-465
352	OG0000352	YGL035C	snap_masked-flattened_line_0-processed-gene-8.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.155&CDS=1-1056, snap_masked-flattened_line_28-processed-gene-1.195-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.195&CDS=1-1569
353	OG0000353	YGL049C, YGR162W	snap_masked-flattened_line_12-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.130&CDS=1-2661
354	OG0000354	YGL071W, YPL202C	augustus_masked-flattened_line_30-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.26&CDS=1-1416
355	OG0000355	YGL076C, YPL198W	snap_masked-flattened_line_104-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.33&CDS=1-801
356	OG0000356	YGL082W, YPL191C	snap_masked-flattened_line_66-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.109&CDS=1-1083
357	OG0000357	YGL096W, YPL177C	genemark-flattened_line_12-processed-gene-2.31-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.31&CDS=1-906
358	OG0000358	YGL133W, YPL216W	genemark-flattened_line_20-processed-gene-1.177-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.177&CDS=1-3456
359	OG0000359	YGL135W, YPL220W	snap_masked-flattened_line_20-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.83&CDS=1-651
360	OG0000360	YGL139W, YPL221W	snap_masked-flattened_line_6-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.73&CDS=1-2478
361	OG0000361	YGL147C, YNL067W	snap_masked-flattened_line_28-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.57&CDS=1-573
362	OG0000362	YGL162W, YPR009W	augustus_masked-flattened_line_2-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.39&CDS=1-681
