	OrthologID	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
789	OG0000789	augustus_masked-bow-b_s182-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.82&CDS=1-2175	YNL191W
790	OG0000790	augustus_masked-bow-b_s182-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.83&CDS=1-3075	YGL241W
791	OG0000791	augustus_masked-bow-b_s182-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.62&CDS=1-414	YDR100W
792	OG0000792	snap_masked-bow-b_s182-processed-gene-0.107-mRNA-1_1&gene=snap_masked-bow-b_s182-processed-gene-0.107&CDS=1-4089	YDR104C
793	OG0000793	augustus_masked-bow-b_s182-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.64&CDS=1-1488	YJL123C
794	OG0000794	augustus_masked-bow-b_s182-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.86&CDS=1-918	YJL126W
795	OG0000795	augustus_masked-bow-b_s182-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-bow-b_s182-processed-gene-0.66&CDS=1-1233	YLR191W
796	OG0000796	augustus_masked-bow-b_s187-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.47&CDS=1-819	YDR313C
797	OG0000797	augustus_masked-bow-b_s187-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.30&CDS=1-480	YDR308C
798	OG0000798	snap_masked-bow-b_s187-processed-gene-0.79-mRNA-1_1&gene=snap_masked-bow-b_s187-processed-gene-0.79&CDS=1-1398	YDR306C
799	OG0000799	augustus_masked-bow-b_s187-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.50&CDS=1-2481	YKL155C
800	OG0000800	augustus_masked-bow-b_s187-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.33&CDS=1-651	YGR235C
801	OG0000801	augustus_masked-bow-b_s187-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.51&CDS=1-1236	YGR257C
802	OG0000802	augustus_masked-bow-b_s187-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.52&CDS=1-4350	YHR186C
803	OG0000803	augustus_masked-bow-b_s187-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.37&CDS=1-1707	YPL092W
804	OG0000804	augustus_masked-bow-b_s187-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.39&CDS=1-2139	YCL057W
805	OG0000805	augustus_masked-bow-b_s187-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.54&CDS=1-1962	YBR121C
806	OG0000806	augustus_masked-bow-b_s187-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.56&CDS=1-1836	YHR078W
807	OG0000807	augustus_masked-bow-b_s187-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.41&CDS=1-714	YDR296W
808	OG0000808	augustus_masked-bow-b_s187-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.43&CDS=1-1335	YKL145W
809	OG0000809	augustus_masked-bow-b_s187-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.57&CDS=1-588	YKL144C
810	OG0000810	augustus_masked-bow-b_s188-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.20&CDS=1-2037	YFR034C
811	OG0000811	augustus_masked-bow-b_s188-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.16&CDS=1-1140	YNL254C
812	OG0000812	maker-bow-b_s188-augustus-gene-0.0-mRNA-1_1&gene=maker-bow-b_s188-augustus-gene-0.0&CDS=1-2409	YNL256W
813	OG0000813	augustus_masked-bow-b_s188-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.18&CDS=1-2358	YHR204W
814	OG0000814	augustus_masked-bow-b_s188-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s188-processed-gene-0.19&CDS=1-1200	YJR148W
815	OG0000815	genemark-bow-b_s189-processed-gene-0.46-mRNA-1_1&gene=genemark-bow-b_s189-processed-gene-0.46&CDS=1-4596	YMR189W
816	OG0000816	augustus_masked-bow-b_s189-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.89&CDS=1-429	YNL185C
817	OG0000817	augustus_masked-bow-b_s189-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.92&CDS=1-1425	YIL097W
818	OG0000818	genemark-bow-b_s189-processed-gene-0.69-mRNA-1_1&gene=genemark-bow-b_s189-processed-gene-0.69&CDS=1-1197	YIL096C
819	OG0000819	augustus_masked-bow-b_s189-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.111&CDS=1-2082	YDL122W
820	OG0000820	maker-bow-b_s189-augustus-gene-0.128-mRNA-1_1&gene=maker-bow-b_s189-augustus-gene-0.128&CDS=1-1941	YNL016W
821	OG0000821	augustus_masked-bow-b_s189-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.93&CDS=1-1257	YML005W
822	OG0000822	augustus_masked-bow-b_s189-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.114&CDS=1-624	YOR289W
823	OG0000823	augustus_masked-bow-b_s189-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.97&CDS=1-660	YMR134W
824	OG0000824	augustus_masked-bow-b_s189-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.115&CDS=1-3546	YGL027C
825	OG0000825	augustus_masked-bow-b_s189-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.99&CDS=1-1248	YOL058W
826	OG0000826	augustus_masked-bow-b_s189-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.118&CDS=1-1587	YER051W
827	OG0000827	augustus_masked-bow-b_s189-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.100&CDS=1-1236	YIL042C
828	OG0000828	augustus_masked-bow-b_s189-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.101&CDS=1-1908	YDL146W
829	OG0000829	augustus_masked-bow-b_s189-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.119&CDS=1-3624	YGR233C
830	OG0000830	augustus_masked-bow-b_s189-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.120&CDS=1-639	YDR002W
831	OG0000831	augustus_masked-bow-b_s189-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.121&CDS=1-3243	YGR218W
832	OG0000832	augustus_masked-bow-b_s189-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.103&CDS=1-1458	YBR003W
833	OG0000833	augustus_masked-bow-b_s189-processed-gene-0.123-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.123&CDS=1-849	YGR220C
834	OG0000834	augustus_masked-bow-b_s189-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.124&CDS=1-663	YHR147C
835	OG0000835	augustus_masked-bow-b_s189-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.104&CDS=1-549	YHR148W
836	OG0000836	augustus_masked-bow-b_s190-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.12&CDS=1-693	YPL199C
837	OG0000837	augustus_masked-bow-b_s190-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.16&CDS=1-642	YML001W
838	OG0000838	augustus_masked-bow-b_s190-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.13&CDS=1-954	YJR096W
839	OG0000839	augustus_masked-bow-b_s190-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.14&CDS=1-1269	YBR279W
840	OG0000840	snap_masked-bow-b_s190-processed-gene-0.8-mRNA-1_1&gene=snap_masked-bow-b_s190-processed-gene-0.8&CDS=1-1335	YHR190W
841	OG0000841	genemark-bow-b_s190-processed-gene-0.27-mRNA-1_1&gene=genemark-bow-b_s190-processed-gene-0.27&CDS=1-978	YML121W
842	OG0000842	augustus_masked-bow-b_s190-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.15&CDS=1-1752	YAL067C
843	OG0000843	genemark-bow-b_s190-processed-gene-0.28-mRNA-1_1&gene=genemark-bow-b_s190-processed-gene-0.28&CDS=1-582	YPL178W
844	OG0000844	snap_masked-bow-b_s190-processed-gene-0.5-mRNA-1_1&gene=snap_masked-bow-b_s190-processed-gene-0.5&CDS=1-789	YGL083W
845	OG0000845	augustus_masked-bow-b_s191-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.11&CDS=1-1206	YML048W
846	OG0000846	augustus_masked-bow-b_s191-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.12&CDS=1-2301	YER091C
847	OG0000847	augustus_masked-bow-b_s191-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.13&CDS=1-1098	YBL058W
848	OG0000848	augustus_masked-bow-b_s191-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-bow-b_s191-processed-gene-0.15&CDS=1-1542	YER090W
849	OG0000849	augustus_masked-bow-b_s20-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.16&CDS=1-1662	YDR188W
850	OG0000850	augustus_masked-bow-b_s20-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.18&CDS=1-1908	YDR189W
851	OG0000851	augustus_masked-bow-b_s20-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.22&CDS=1-1368	YDR190C
852	OG0000852	augustus_masked-bow-b_s20-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.23&CDS=1-3174	YLR243W
853	OG0000853	augustus_masked-bow-b_s20-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s20-processed-gene-0.19&CDS=1-1275	YOR117W
854	OG0000854	genemark-bow-b_s20-processed-gene-0.30-mRNA-1_1&gene=genemark-bow-b_s20-processed-gene-0.30&CDS=1-4422	YOR116C
855	OG0000855	augustus_masked-bow-b_s200-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.44&CDS=1-2409	YLR045C
856	OG0000856	snap_masked-bow-b_s200-processed-gene-0.4-mRNA-1_1&gene=snap_masked-bow-b_s200-processed-gene-0.4&CDS=1-765	YGR207C
857	OG0000857	augustus_masked-bow-b_s200-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.46&CDS=1-852	YGR205W
858	OG0000858	augustus_masked-bow-b_s200-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.52&CDS=1-651	YJL001W
859	OG0000859	augustus_masked-bow-b_s200-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.53&CDS=1-1413	YJL002C
860	OG0000860	augustus_masked-bow-b_s200-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.57&CDS=1-1284	YGR193C
861	OG0000861	genemark-bow-b_s201-processed-gene-0.5-mRNA-1_1&gene=genemark-bow-b_s201-processed-gene-0.5&CDS=1-2211	YBR019C
862	OG0000862	snap_masked-bow-b_s211-processed-gene-0.12-mRNA-1_1&gene=snap_masked-bow-b_s211-processed-gene-0.12&CDS=1-3270	YPL183C
863	OG0000863	augustus_masked-bow-b_s22-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.46&CDS=1-1032	YBR265W
864	OG0000864	augustus_masked-bow-b_s22-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.33&CDS=1-204	YLR262C-A
865	OG0000865	augustus_masked-bow-b_s22-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.34&CDS=1-735	YJL063C
866	OG0000866	maker-bow-b_s22-snap-gene-0.86-mRNA-1_1&gene=maker-bow-b_s22-snap-gene-0.86&CDS=1-2049	YOR181W
867	OG0000867	augustus_masked-bow-b_s22-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.36&CDS=1-1158	YLR287C
868	OG0000868	augustus_masked-bow-b_s22-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.47&CDS=1-864	YJL068C
869	OG0000869	augustus_masked-bow-b_s22-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.37&CDS=1-918	YKR088C
870	OG0000870	augustus_masked-bow-b_s22-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.49&CDS=1-2652	YKR090W
871	OG0000871	augustus_masked-bow-b_s22-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.50&CDS=1-432	YOL127W
872	OG0000872	maker-bow-b_s22-snap-gene-0.87-mRNA-1_1&gene=maker-bow-b_s22-snap-gene-0.87&CDS=1-621	YNL306W
873	OG0000873	augustus_masked-bow-b_s22-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.39&CDS=1-1116	YNL307C
874	OG0000874	augustus_masked-bow-b_s22-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.52&CDS=1-528	YOL129W
875	OG0000875	augustus_masked-bow-b_s22-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.42&CDS=1-1245	YPL060W
876	OG0000876	augustus_masked-bow-b_s22-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.44&CDS=1-816	YLR192C
877	OG0000877	augustus_masked-bow-b_s222-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.1&CDS=1-1641	YKL078W
878	OG0000878	augustus_masked-bow-b_s222-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.22&CDS=1-1113	YPL096W
879	OG0000879	augustus_masked-bow-b_s222-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.2&CDS=1-1662	YOR002W
880	OG0000880	genemark-bow-b_s222-processed-gene-0.44-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-0.44&CDS=1-1389	YPL120W
881	OG0000881	augustus_masked-bow-b_s222-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.5&CDS=1-1158	YDR459C
882	OG0000882	augustus_masked-bow-b_s222-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.7&CDS=1-588	YHR026W
883	OG0000883	augustus_masked-bow-b_s222-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.27&CDS=1-2838	YHR027C
884	OG0000884	augustus_masked-bow-b_s222-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.8&CDS=1-1767	YJL201W
885	OG0000885	augustus_masked-bow-b_s222-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.30&CDS=1-684	YLR145W
886	OG0000886	augustus_masked-bow-b_s222-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.11&CDS=1-1143	YDR161W
887	OG0000887	maker-bow-b_s222-augustus-gene-0.127-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-0.127&CDS=1-3801	YLL021W
888	OG0000888	augustus_masked-bow-b_s222-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.33&CDS=1-855	YDL052C
889	OG0000889	augustus_masked-bow-b_s222-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.34&CDS=1-1881	YOR129C
890	OG0000890	maker-bow-b_s222-augustus-gene-0.128-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-0.128&CDS=1-642	YDR381W
891	OG0000891	augustus_masked-bow-b_s222-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.13&CDS=1-1359	YOR301W
892	OG0000892	augustus_masked-bow-b_s222-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.14&CDS=1-1683	YOR128C
893	OG0000893	augustus_masked-bow-b_s222-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.38&CDS=1-1782	YBR083W
894	OG0000894	augustus_masked-bow-b_s222-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.39&CDS=1-2172	YPR031W
895	OG0000895	augustus_masked-bow-b_s222-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.18&CDS=1-900	YDR361C
896	OG0000896	augustus_masked-bow-b_s222-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.19&CDS=1-2757	YBR079C
897	OG0000897	augustus_masked-bow-b_s222-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.20&CDS=1-990	YCR036W
898	OG0000898	augustus_masked-bow-b_s222-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-0.40&CDS=1-993	YCR034W
899	OG0000899	genemark-bow-b_s222-processed-gene-0.63-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-0.63&CDS=1-741	YBR153W
900	OG0000900	augustus_masked-bow-b_s222-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.144&CDS=1-3948	YBR154C
901	OG0000901	augustus_masked-bow-b_s222-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.142&CDS=1-1461	YJL194W
902	OG0000902	snap_masked-bow-b_s222-processed-gene-1.1-mRNA-1_1&gene=snap_masked-bow-b_s222-processed-gene-1.1&CDS=1-3444	YCR033W
903	OG0000903	genemark-bow-b_s222-processed-gene-1.77-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.77&CDS=1-948	YBR146W
904	OG0000904	augustus_masked-bow-b_s222-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.170&CDS=1-1332	YNL040W
905	OG0000905	augustus_masked-bow-b_s222-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.145&CDS=1-624	YKL119C
906	OG0000906	maker-bow-b_s222-augustus-gene-1.209-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.209&CDS=1-960	YMR101C
907	OG0000907	augustus_masked-bow-b_s222-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.173&CDS=1-864	YOL077C
908	OG0000908	augustus_masked-bow-b_s222-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.174&CDS=1-2544	YOL078W
909	OG0000909	genemark-bow-b_s222-processed-gene-1.83-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.83&CDS=1-3441	YDR490C
910	OG0000910	augustus_masked-bow-b_s222-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.149&CDS=1-1281	YOL097C
911	OG0000911	augustus_masked-bow-b_s222-processed-gene-1.150-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.150&CDS=1-606	YDR487C
912	OG0000912	genemark-bow-b_s222-processed-gene-1.113-mRNA-1_1&gene=genemark-bow-b_s222-processed-gene-1.113&CDS=1-3759	YOL021C
913	OG0000913	augustus_masked-bow-b_s222-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.178&CDS=1-1890	YJR002W
914	OG0000914	augustus_masked-bow-b_s222-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.152&CDS=1-1194	YGL136C
915	OG0000915	augustus_masked-bow-b_s222-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.179&CDS=1-1140	YJL171C
916	OG0000916	augustus_masked-bow-b_s222-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.154&CDS=1-4770	YGR098C
917	OG0000917	augustus_masked-bow-b_s222-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.181&CDS=1-2481	YMR100W
918	OG0000918	augustus_masked-bow-b_s222-processed-gene-1.184-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.184&CDS=1-897	YMR079W
919	OG0000919	augustus_masked-bow-b_s222-processed-gene-1.185-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.185&CDS=1-3528	YKL092C
920	OG0000920	augustus_masked-bow-b_s222-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.156&CDS=1-2784	YMR080C
921	OG0000921	augustus_masked-bow-b_s222-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.157&CDS=1-453	YDR092W
922	OG0000922	augustus_masked-bow-b_s222-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.158&CDS=1-4704	YER166W
923	OG0000923	augustus_masked-bow-b_s222-processed-gene-1.159-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.159&CDS=1-897	YBR085W
924	OG0000924	augustus_masked-bow-b_s222-processed-gene-1.188-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.188&CDS=1-1275	YOL052C
925	OG0000925	augustus_masked-bow-b_s222-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.161&CDS=1-2067	YKR001C
926	OG0000926	augustus_masked-bow-b_s222-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.189&CDS=1-462	YBR022W
927	OG0000927	maker-bow-b_s222-augustus-gene-1.212-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.212&CDS=1-1932	YNL292W
928	OG0000928	augustus_masked-bow-b_s222-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.195&CDS=1-786	YAL039C
929	OG0000929	augustus_masked-bow-b_s222-processed-gene-1.196-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.196&CDS=1-1146	YHL013C
930	OG0000930	augustus_masked-bow-b_s222-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.165&CDS=1-1713	YOR355W
931	OG0000931	augustus_masked-bow-b_s222-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.197&CDS=1-1797	YOR356W
932	OG0000932	augustus_masked-bow-b_s222-processed-gene-1.198-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.198&CDS=1-2364	YAL041W
933	OG0000933	augustus_masked-bow-b_s222-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.166&CDS=1-1242	YAL042W
934	OG0000934	augustus_masked-bow-b_s222-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.200&CDS=1-819	YNL252C
935	OG0000935	augustus_masked-bow-b_s222-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.167&CDS=1-2034	YNL251C
936	OG0000936	augustus_masked-bow-b_s222-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.201&CDS=1-4098	YPR024W
937	OG0000937	augustus_masked-bow-b_s222-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.202&CDS=1-975	YIL019W
938	OG0000938	augustus_masked-bow-b_s222-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.168&CDS=1-816	YIL020C
939	OG0000939	augustus_masked-bow-b_s222-processed-gene-1.203-mRNA-1_1&gene=augustus_masked-bow-b_s222-processed-gene-1.203&CDS=1-924	YIL021W
940	OG0000940	maker-bow-b_s222-augustus-gene-1.213-mRNA-1_1&gene=maker-bow-b_s222-augustus-gene-1.213&CDS=1-2880	YGR100W
941	OG0000941	augustus_masked-bow-b_s223-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.0&CDS=1-1653	YOR245C
942	OG0000942	augustus_masked-bow-b_s223-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.1&CDS=1-999	YLR017W
943	OG0000943	genemark-bow-b_s223-processed-gene-0.39-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.39&CDS=1-984	YOR246C
944	OG0000944	augustus_masked-bow-b_s223-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.18&CDS=1-429	YNL260C
945	OG0000945	augustus_masked-bow-b_s223-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.5&CDS=1-1101	YHR156C
946	OG0000946	genemark-bow-b_s223-processed-gene-0.57-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.57&CDS=1-8115	YNL262W
947	OG0000947	augustus_masked-bow-b_s223-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.20&CDS=1-1149	YNL263C
948	OG0000948	augustus_masked-bow-b_s223-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.6&CDS=1-1416	YBR126C
949	OG0000949	augustus_masked-bow-b_s223-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.22&CDS=1-996	YBR125C
950	OG0000950	genemark-bow-b_s223-processed-gene-0.44-mRNA-1_1&gene=genemark-bow-b_s223-processed-gene-0.44&CDS=1-1119	YPR084W
951	OG0000951	augustus_masked-bow-b_s223-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.9&CDS=1-1530	YBR127C
952	OG0000952	augustus_masked-bow-b_s223-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.23&CDS=1-2403	YJL200C
953	OG0000953	augustus_masked-bow-b_s223-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.25&CDS=1-1509	YDR434W
954	OG0000954	augustus_masked-bow-b_s223-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-0.11&CDS=1-1704	YDR117C
