	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
739	OG0000739	YBR241C	genemark-flattened_line_20-processed-gene-1.67-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.67&CDS=1-1422
740	OG0000740	YBR243C	genemark-flattened_line_20-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.94&CDS=1-1344
741	OG0000741	YBR246W	snap_masked-flattened_line_20-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.6&CDS=1-1056
742	OG0000742	YBR247C	snap_masked-flattened_line_4-processed-gene-2.52-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.52&CDS=1-1389
743	OG0000743	YBR248C	maker-flattened_line_4-snap-gene-2.172-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.172&CDS=1-2760
744	OG0000744	YBR251W	maker-flattened_line_2-snap-gene-8.12-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-8.12&CDS=1-2211
745	OG0000745	YBR254C	genemark-flattened_line_0-processed-gene-7.143-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.143&CDS=1-423
746	OG0000746	YBR255C-A	genemark-flattened_line_6-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.6&CDS=1-357
747	OG0000747	YBR255W	genemark-flattened_line_0-processed-gene-7.172-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.172&CDS=1-1554
748	OG0000748	YBR256C	snap_masked-flattened_line_0-processed-gene-11.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.152&CDS=1-678
749	OG0000749	YBR257W	genemark-flattened_line_46-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.106&CDS=1-792
750	OG0000750	YBR258C	genemark-flattened_line_22-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.17&CDS=1-417
751	OG0000751	YBR260C	snap_masked-flattened_line_48-processed-gene-0.163-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.163&CDS=1-1944
752	OG0000752	YBR261C	genemark-flattened_line_6-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.47&CDS=1-681
753	OG0000753	YBR265W	genemark-flattened_line_14-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.78&CDS=1-903
754	OG0000754	YBR267W	snap_masked-flattened_line_22-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.53&CDS=1-1188
755	OG0000755	YBR268W	genemark-flattened_line_22-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.10&CDS=1-360
756	OG0000756	YBR269C	genemark-flattened_line_22-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.34&CDS=1-390
757	OG0000757	YBR271W	genemark-flattened_line_22-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.0&CDS=1-1134
758	OG0000758	YBR272C	genemark-flattened_line_48-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.10&CDS=1-1389
759	OG0000759	YBR274W	genemark-flattened_line_48-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.42&CDS=1-1575
760	OG0000760	YBR275C	augustus_masked-flattened_line_2-processed-gene-5.146-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.146&CDS=1-4428
761	OG0000761	YBR276C	genemark-flattened_line_2-processed-gene-3.100-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.100&CDS=1-2877
762	OG0000762	YBR279W	genemark-flattened_line_22-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.7&CDS=1-1155
763	OG0000763	YBR280C	snap_masked-flattened_line_12-processed-gene-4.86-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.86&CDS=1-1518
764	OG0000764	YBR281C	augustus_masked-flattened_line_12-processed-gene-4.295-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.295&CDS=1-3381
765	OG0000765	YBR282W	genemark-flattened_line_2-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.99&CDS=1-438
766	OG0000766	YBR283C	genemark-flattened_line_6-processed-gene-0.68-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.68&CDS=1-1449
767	OG0000767	YBR286W	genemark-flattened_line_22-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.18&CDS=1-1554
768	OG0000768	YBR287W	genemark-flattened_line_6-processed-gene-4.144-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.144&CDS=1-1374
769	OG0000769	YBR288C	genemark-flattened_line_10-processed-gene-1.91-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.91&CDS=1-1470
770	OG0000770	YBR289W	genemark-flattened_line_22-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.109&CDS=1-1620
771	OG0000771	YBR290W	genemark-flattened_line_22-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.110&CDS=1-1059
772	OG0000772	YBR291C	genemark-flattened_line_22-processed-gene-1.155-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.155&CDS=1-885
773	OG0000773	YBR296C	genemark-flattened_line_20-processed-gene-3.204-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.204&CDS=1-1749
774	OG0000774	YCL001W	genemark-flattened_line_30-processed-gene-0.193-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.193&CDS=1-549
775	OG0000775	YCL002C	maker-flattened_line_30-snap-gene-0.226-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.226&CDS=1-708
776	OG0000776	YCL004W	genemark-flattened_line_30-processed-gene-0.194-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.194&CDS=1-1461
777	OG0000777	YCL005W-A	genemark-flattened_line_20-processed-gene-3.269-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.269&CDS=1-216
778	OG0000778	YCL008C	genemark-flattened_line_20-processed-gene-3.235-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.235&CDS=1-1254
779	OG0000779	YCL009C	genemark-flattened_line_28-processed-gene-0.179-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.179&CDS=1-882
780	OG0000780	YCL010C	genemark-flattened_line_30-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.141&CDS=1-702
781	OG0000781	YCL012C	genemark-flattened_line_30-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.143&CDS=1-372
782	OG0000782	YCL014W	genemark-flattened_line_30-processed-gene-0.196-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.196&CDS=1-3591
783	OG0000783	YCL016C	genemark-flattened_line_30-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.144&CDS=1-1050
784	OG0000784	YCL017C	genemark-flattened_line_30-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.146&CDS=1-1401
785	OG0000785	YCL018W	genemark-flattened_line_30-processed-gene-0.147-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.147&CDS=1-1089
786	OG0000786	YCL027W	genemark-flattened_line_10-processed-gene-1.119-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.119&CDS=1-1335
787	OG0000787	YCL029C	genemark-flattened_line_24-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.55&CDS=1-2496
788	OG0000788	YCL030C	genemark-flattened_line_24-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.54&CDS=1-2523
789	OG0000789	YCL031C	genemark-flattened_line_79-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_79-processed-gene-0.10&CDS=1-861
790	OG0000790	YCL033C	snap_masked-flattened_line_24-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.1&CDS=1-414
791	OG0000791	YCL034W	genemark-flattened_line_24-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.53&CDS=1-1050
792	OG0000792	YCL038C	genemark-flattened_line_69-processed-gene-0.33-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.33&CDS=1-1635
793	OG0000793	YCL039W	genemark-flattened_line_69-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.27&CDS=1-1587
794	OG0000794	YCL043C	genemark-flattened_line_24-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.39&CDS=1-1509
795	OG0000795	YCL044C	genemark-flattened_line_22-processed-gene-1.145-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.145&CDS=1-771
796	OG0000796	YCL045C	genemark-flattened_line_22-processed-gene-1.146-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.146&CDS=1-2610
797	OG0000797	YCL047C	genemark-flattened_line_12-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.78&CDS=1-822
798	OG0000798	YCL052C	genemark-flattened_line_12-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.79&CDS=1-1350
799	OG0000799	YCL054W	genemark-flattened_line_12-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.100&CDS=1-2463
800	OG0000800	YCL055W	genemark-flattened_line_12-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.101&CDS=1-1296
801	OG0000801	YCL057C-A	snap_masked-flattened_line_66-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.13&CDS=1-249
802	OG0000802	YCL057W	genemark-flattened_line_66-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.31&CDS=1-2079
803	OG0000803	YCL059C	genemark-flattened_line_10-processed-gene-1.118-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.118&CDS=1-1092
804	OG0000804	YCL061C	genemark-flattened_line_10-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.116&CDS=1-3711
805	OG0000805	YCR002C	genemark-flattened_line_40-processed-gene-0.164-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.164&CDS=1-1008
806	OG0000806	YCR003W	genemark-flattened_line_40-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.120&CDS=1-546
807	OG0000807	YCR008W	genemark-flattened_line_2-processed-gene-3.88-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.88&CDS=1-1716
808	OG0000808	YCR009C	genemark-flattened_line_2-processed-gene-3.89-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.89&CDS=1-792
809	OG0000809	YCR011C	genemark-flattened_line_42-processed-gene-0.183-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.183&CDS=1-2841
810	OG0000810	YCR012W	genemark-flattened_line_0-processed-gene-9.124-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.124&CDS=1-1245
811	OG0000811	YCR014C	augustus_masked-flattened_line_0-processed-gene-9.94-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-9.94&CDS=1-1446
812	OG0000812	YCR015C	genemark-flattened_line_0-processed-gene-9.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.120&CDS=1-813
813	OG0000813	YCR016W	genemark-flattened_line_0-processed-gene-9.117-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.117&CDS=1-1056
814	OG0000814	YCR017C	genemark-flattened_line_0-processed-gene-9.148-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.148&CDS=1-2796
815	OG0000815	YCR019W	snap_masked-flattened_line_2-processed-gene-2.140-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.140&CDS=1-1047
816	OG0000816	YCR020C	snap_masked-flattened_line_56-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.49&CDS=1-642
817	OG0000817	YCR020C-A	augustus_masked-flattened_line_6-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.14&CDS=1-759
818	OG0000818	YCR024C	genemark-flattened_line_20-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.112&CDS=1-1440
819	OG0000819	YCR028C	genemark-flattened_line_4-processed-gene-5.40-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.40&CDS=1-1518
820	OG0000820	YCR028C-A	genemark-flattened_line_6-processed-gene-5.19-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.19&CDS=1-399
821	OG0000821	YCR030C	genemark-flattened_line_6-processed-gene-5.67-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.67&CDS=1-2607
822	OG0000822	YCR032W	genemark-flattened_line_6-processed-gene-5.13-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.13&CDS=1-7116
823	OG0000823	YCR033W	genemark-flattened_line_18-processed-gene-3.236-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.236&CDS=1-3228
824	OG0000824	YCR035C	genemark-flattened_line_18-processed-gene-3.235-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.235&CDS=1-1146
825	OG0000825	YCR036W	genemark-flattened_line_18-processed-gene-3.200-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.200&CDS=1-1020
826	OG0000826	YCR042C	augustus_masked-flattened_line_10-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.13&CDS=1-3975
827	OG0000827	YCR044C	genemark-flattened_line_48-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.27&CDS=1-972
828	OG0000828	YCR046C	genemark-flattened_line_69-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.39&CDS=1-510
829	OG0000829	YCR047C	genemark-flattened_line_69-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.40&CDS=1-804
830	OG0000830	YCR051W	snap_masked-flattened_line_69-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.54&CDS=1-606
831	OG0000831	YCR053W	genemark-flattened_line_14-processed-gene-2.85-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.85&CDS=1-1524
832	OG0000832	YCR054C	snap_masked-flattened_line_14-processed-gene-2.160-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.160&CDS=1-1443
833	OG0000833	YCR057C	genemark-flattened_line_14-processed-gene-2.109-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.109&CDS=1-2733
834	OG0000834	YCR059C	genemark-flattened_line_14-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.110&CDS=1-777
835	OG0000835	YCR060W	genemark-flattened_line_14-processed-gene-2.87-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.87&CDS=1-984
836	OG0000836	YCR063W	genemark-flattened_line_14-processed-gene-2.89-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.89&CDS=1-453
837	OG0000837	YCR065W	genemark-flattened_line_14-processed-gene-2.112-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.112&CDS=1-2004
838	OG0000838	YCR066W	snap_masked-flattened_line_14-processed-gene-2.167-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.167&CDS=1-1068
839	OG0000839	YCR068W	augustus_masked-flattened_line_42-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.15&CDS=1-3096
840	OG0000840	YCR071C	snap_masked-flattened_line_0-processed-gene-8.75-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.75&CDS=1-372
841	OG0000841	YCR072C	genemark-flattened_line_0-processed-gene-8.124-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.124&CDS=1-1521
842	OG0000842	YCR075C	genemark-flattened_line_42-processed-gene-0.181-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.181&CDS=1-798
843	OG0000843	YCR077C	genemark-flattened_line_4-processed-gene-5.0-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.0&CDS=1-2322
844	OG0000844	YCR079W	genemark-flattened_line_4-processed-gene-4.93-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.93&CDS=1-1242
845	OG0000845	YCR084C	genemark-flattened_line_8-processed-gene-4.67-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.67&CDS=1-1770
846	OG0000846	YCR086W	genemark-flattened_line_8-processed-gene-4.89-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.89&CDS=1-966
847	OG0000847	YCR087C-A	genemark-flattened_line_8-processed-gene-4.66-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.66&CDS=1-432
848	OG0000848	YCR088W	genemark-flattened_line_8-processed-gene-4.65-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.65&CDS=1-1683
849	OG0000849	YCR090C	genemark-flattened_line_0-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.110&CDS=1-489
850	OG0000850	YCR091W	genemark-flattened_line_0-processed-gene-1.109-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.109&CDS=1-2355
851	OG0000851	YCR092C	genemark-flattened_line_0-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.89&CDS=1-3066
852	OG0000852	YCR093W	maker-flattened_line_12-augustus-gene-4.202-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-4.202&CDS=1-7626
853	OG0000853	YCR095C	genemark-flattened_line_12-processed-gene-4.144-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.144&CDS=1-2199
854	OG0000854	YCR097W	genemark-flattened_line_12-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.61&CDS=1-648
855	OG0000855	YCR098C	genemark-flattened_line_14-processed-gene-4.0-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.0&CDS=1-1587
856	OG0000856	YDL001W	genemark-flattened_line_10-processed-gene-3.82-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.82&CDS=1-1206
857	OG0000857	YDL002C	genemark-flattened_line_10-processed-gene-3.81-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.81&CDS=1-555
858	OG0000858	YDL004W	genemark-flattened_line_2-processed-gene-4.141-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.141&CDS=1-480
859	OG0000859	YDL006W	genemark-flattened_line_2-processed-gene-4.140-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.140&CDS=1-873
860	OG0000860	YDL007W	maker-flattened_line_2-augustus-gene-4.2-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.2&CDS=1-2094
861	OG0000861	YDL008W	maker-flattened_line_2-augustus-gene-3.56-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-3.56&CDS=1-330
862	OG0000862	YDL013W	genemark-flattened_line_4-processed-gene-2.144-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.144&CDS=1-1098
863	OG0000863	YDL014W	genemark-flattened_line_4-processed-gene-2.145-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.145&CDS=1-945
864	OG0000864	YDL015C	genemark-flattened_line_30-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.115&CDS=1-825
865	OG0000865	YDL017W	genemark-flattened_line_4-processed-gene-2.123-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.123&CDS=1-1620
866	OG0000866	YDL020C	genemark-flattened_line_10-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.99&CDS=1-1194
867	OG0000867	YDL028C	genemark-flattened_line_2-processed-gene-3.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.93&CDS=1-2160
868	OG0000868	YDL029W	genemark-flattened_line_2-processed-gene-3.114-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.114&CDS=1-1164
869	OG0000869	YDL030W	genemark-flattened_line_68-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.36&CDS=1-1446
870	OG0000870	YDL031W	genemark-flattened_line_4-processed-gene-6.161-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.161&CDS=1-2781
871	OG0000871	YDL033C	genemark-flattened_line_36-processed-gene-0.231-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.231&CDS=1-1086
872	OG0000872	YDL035C	genemark-flattened_line_0-processed-gene-3.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.76&CDS=1-1365
873	OG0000873	YDL040C	genemark-flattened_line_14-processed-gene-4.76-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.76&CDS=1-2340
874	OG0000874	YDL043C	genemark-flattened_line_10-processed-gene-4.119-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.119&CDS=1-651
875	OG0000875	YDL045W-A	snap_masked-flattened_line_10-processed-gene-3.113-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.113&CDS=1-270
876	OG0000876	YDL046W	genemark-flattened_line_4-processed-gene-2.127-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.127&CDS=1-549
877	OG0000877	YDL047W	genemark-flattened_line_0-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.102&CDS=1-927
878	OG0000878	YDL051W	genemark-flattened_line_4-processed-gene-4.78-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.78&CDS=1-873
879	OG0000879	YDL052C	genemark-flattened_line_4-processed-gene-4.75-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.75&CDS=1-900
880	OG0000880	YDL054C	genemark-flattened_line_4-processed-gene-3.121-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.121&CDS=1-1377
881	OG0000881	YDL055C	genemark-flattened_line_0-processed-gene-9.146-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.146&CDS=1-1086
882	OG0000882	YDL057W	genemark-flattened_line_0-processed-gene-11.58-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.58&CDS=1-1956
883	OG0000883	YDL058W	genemark-flattened_line_0-processed-gene-8.134-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.134&CDS=1-5328
884	OG0000884	YDL059C	genemark-flattened_line_0-processed-gene-8.152-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.152&CDS=1-561
885	OG0000885	YDL060W	genemark-flattened_line_8-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.108&CDS=1-2280
886	OG0000886	YDL063C	genemark-flattened_line_8-processed-gene-1.111-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.111&CDS=1-1815
887	OG0000887	YDL064W	genemark-flattened_line_8-processed-gene-1.91-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.91&CDS=1-468
888	OG0000888	YDL065C	genemark-flattened_line_8-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.110&CDS=1-882
889	OG0000889	YDL067C	snap_masked-flattened_line_0-processed-gene-8.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.82&CDS=1-177
890	OG0000890	YDL072C	genemark-flattened_line_8-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.94&CDS=1-603
891	OG0000891	YDL073W	genemark-flattened_line_8-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.93&CDS=1-3099
892	OG0000892	YDL074C	genemark-flattened_line_8-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.117&CDS=1-2001
893	OG0000893	YDL076C	genemark-flattened_line_8-processed-gene-2.0-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.0&CDS=1-1470
894	OG0000894	YDL077C	genemark-flattened_line_8-processed-gene-2.2-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.2&CDS=1-2463
895	OG0000895	YDL081C	genemark-flattened_line_6-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.78&CDS=1-324
896	OG0000896	YDL084W	genemark-flattened_line_6-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.52&CDS=1-1272
897	OG0000897	YDL086W	genemark-flattened_line_0-processed-gene-9.164-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.164&CDS=1-816
898	OG0000898	YDL087C	genemark-flattened_line_0-processed-gene-9.145-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.145&CDS=1-747
899	OG0000899	YDL088C	genemark-flattened_line_12-processed-gene-4.129-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.129&CDS=1-1320
900	OG0000900	YDL089W	genemark-flattened_line_12-processed-gene-4.166-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.166&CDS=1-999
901	OG0000901	YDL090C	maker-flattened_line_10-snap-gene-4.178-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-4.178&CDS=1-2823
902	OG0000902	YDL092W	genemark-flattened_line_10-processed-gene-4.174-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.174&CDS=1-396
903	OG0000903	YDL095W	genemark-flattened_line_12-processed-gene-4.131-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.131&CDS=1-2220
904	OG0000904	YDL097C	genemark-flattened_line_12-processed-gene-4.165-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.165&CDS=1-1254
905	OG0000905	YDL098C	genemark-flattened_line_0-processed-gene-9.168-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.168&CDS=1-582
906	OG0000906	YDL100C	genemark-flattened_line_0-processed-gene-9.139-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.139&CDS=1-1011
907	OG0000907	YDL101C	genemark-flattened_line_8-processed-gene-5.69-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.69&CDS=1-1437
908	OG0000908	YDL102W	genemark-flattened_line_54-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.89&CDS=1-3324
909	OG0000909	YDL103C	genemark-flattened_line_14-processed-gene-4.86-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.86&CDS=1-1341
910	OG0000910	YDL104C	genemark-flattened_line_14-processed-gene-4.36-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.36&CDS=1-1140
911	OG0000911	YDL105W	genemark-flattened_line_14-processed-gene-4.82-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.82&CDS=1-1203
912	OG0000912	YDL106C	genemark-flattened_line_44-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.16&CDS=1-1296
913	OG0000913	YDL107W	genemark-flattened_line_83-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.10&CDS=1-1155
914	OG0000914	YDL108W	genemark-flattened_line_54-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.93&CDS=1-945
