	OrthologID	Saccharomyces_cerevisiae	Scheffersomyces_stipitis
397	OG0000397	YNL283C, YOL105C	augustus_masked-chr_4.1-processed-gene-4.126-mRNA-1_1&gene=augustus_masked-chr_4.1-processed-gene-4.126&CDS=1-1236
398	OG0000398	YNL293W, YOL112W	augustus_masked-chr_7.1-processed-gene-7.90-mRNA-1_1&gene=augustus_masked-chr_7.1-processed-gene-7.90&CDS=1-2001
399	OG0000399	YNL299W, YOL115W	maker-chr_1.1-augustus-gene-11.42-mRNA-1_1&gene=maker-chr_1.1-augustus-gene-11.42&CDS=1-4191
400	OG0000400	YNL301C, YOL120C	maker-chr_8.1-snap-gene-1.93-mRNA-1_1&gene=maker-chr_8.1-snap-gene-1.93&CDS=1-2787
401	OG0000401	YNR018W	snap_masked-chr_2.1-processed-gene-24.132-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-24.132&CDS=1-705, snap_masked-chr_8.1-processed-gene-8.47-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-8.47&CDS=1-651
402	OG0000402	YNR074C	maker-chr_4.1-snap-gene-8.43-mRNA-1_1&gene=maker-chr_4.1-snap-gene-8.43&CDS=1-2604, snap_masked-chr_4.1-processed-gene-10.16-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-10.16&CDS=1-1110
403	OG0000403	YOL075C	augustus_masked-chr_3.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-4.60&CDS=1-4923, snap_masked-chr_6.1-processed-gene-1.108-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.108&CDS=1-3864
404	OG0000404	YOR049C	maker-chr_5.1-snap-gene-12.93-mRNA-1_1&gene=maker-chr_5.1-snap-gene-12.93&CDS=1-2733, snap_masked-chr_1.1-processed-gene-8.32-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-8.32&CDS=1-1542
405	OG0000405	YOR084W	snap_masked-chr_3.1-processed-gene-2.23-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-2.23&CDS=1-1164, snap_masked-chr_3.1-processed-gene-2.24-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-2.24&CDS=1-1170
406	OG0000406	YOR126C	snap_masked-chr_1.2-processed-gene-12.24-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-12.24&CDS=1-792, snap_masked-chr_1.2-processed-gene-12.53-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-12.53&CDS=1-756
407	OG0000407	YOR226C, YPL135W	snap_masked-chr_2.1-processed-gene-15.129-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-15.129&CDS=1-546
408	OG0000408	YOR227W, YPL137C	snap_masked-chr_2.1-processed-gene-15.110-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-15.110&CDS=1-4155
409	OG0000409	YOR231W, YPL140C	snap_masked-chr_4.1-processed-gene-4.8-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-4.8&CDS=1-1818
410	OG0000410	YOR233W, YPL141C	snap_masked-chr_3.1-processed-gene-3.77-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-3.77&CDS=1-2838
411	OG0000411	YOR234C, YPL143W	snap_masked-chr_4.1-processed-gene-4.12-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-4.12&CDS=1-321
412	OG0000412	YOR237W, YPL145C	snap_masked-chr_4.1-processed-gene-4.11-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-4.11&CDS=1-1275
413	OG0000413	YOR256C, YPL176C	snap_masked-chr_4.1-processed-gene-1.19-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-1.19&CDS=1-2541
414	OG0000414	YOR285W, YOR286W	snap_masked-chr_2.1-processed-gene-13.26-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-13.26&CDS=1-564
415	OG0000415	YOR378W	augustus_masked-chr_2.1-processed-gene-16.46-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-16.46&CDS=1-1602, augustus_masked-chr_3.1-processed-gene-10.46-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-10.46&CDS=1-2523
416	OG0000416	YOR390W, YPL279C	snap_masked-chr_8.1-processed-gene-8.33-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-8.33&CDS=1-1203
417	OG0000417	YPR013C, YPR015C	snap_masked-chr_4.1-processed-gene-12.92-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-12.92&CDS=1-1629
418	OG0000418	YPR159W	snap_masked-chr_2.1-processed-gene-18.102-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-18.102&CDS=1-2103, snap_masked-chr_2.1-processed-gene-19.4-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-19.4&CDS=1-2085
419	OG0000419	YPR169W-A, YPR170W-B	snap_masked-chr_2.1-processed-gene-18.81-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-18.81&CDS=1-252
420	OG0000420	YAL002W	snap_masked-chr_2.1-processed-gene-12.66-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-12.66&CDS=1-4179
421	OG0000421	YAL008W	snap_masked-chr_7.1-processed-gene-2.79-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-2.79&CDS=1-627
422	OG0000422	YAL009W	snap_masked-chr_4.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-4.30&CDS=1-1545
423	OG0000423	YAL010C	augustus_masked-chr_4.1-processed-gene-3.100-mRNA-1_1&gene=augustus_masked-chr_4.1-processed-gene-3.100&CDS=1-2466
424	OG0000424	YAL011W	maker-chr_4.1-snap-gene-3.49-mRNA-1_1&gene=maker-chr_4.1-snap-gene-3.49&CDS=1-2337
425	OG0000425	YAL012W	snap_masked-chr_3.1-processed-gene-16.109-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-16.109&CDS=1-1194
426	OG0000426	YAL013W	maker-chr_4.1-snap-gene-4.43-mRNA-1_1&gene=maker-chr_4.1-snap-gene-4.43&CDS=1-1830
427	OG0000427	YAL014C	snap_masked-chr_3.1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-1.10&CDS=1-849
428	OG0000428	YAL016W	snap_masked-chr_2.1-processed-gene-22.34-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-22.34&CDS=1-1890
429	OG0000429	YAL019W	augustus_masked-chr_3.1-processed-gene-16.16-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-16.16&CDS=1-3396
430	OG0000430	YAL020C	augustus_masked-chr_3.1-processed-gene-16.35-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-16.35&CDS=1-1110
431	OG0000431	YAL022C	genemark-chr_4.1-processed-gene-1.121-mRNA-1_1&gene=genemark-chr_4.1-processed-gene-1.121&CDS=1-1698
432	OG0000432	YAL023C	snap_masked-chr_2.1-processed-gene-22.16-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-22.16&CDS=1-2277
433	OG0000433	YAL024C	snap_masked-chr_5.1-processed-gene-11.35-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-11.35&CDS=1-4605
434	OG0000434	YAL025C	snap_masked-chr_5.1-processed-gene-11.25-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-11.25&CDS=1-915
435	OG0000435	YAL026C	snap_masked-chr_7.1-processed-gene-9.81-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-9.81&CDS=1-4005
436	OG0000436	YAL032C	snap_masked-chr_4.1-processed-gene-5.97-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-5.97&CDS=1-1056
437	OG0000437	YAL033W	snap_masked-chr_4.1-processed-gene-15.78-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-15.78&CDS=1-525
438	OG0000438	YAL034W-A	snap_masked-chr_4.1-processed-gene-13.124-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-13.124&CDS=1-1050
439	OG0000439	YAL035W	snap_masked-chr_2.1-processed-gene-17.3-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-17.3&CDS=1-3027
440	OG0000440	YAL036C	augustus_masked-chr_2.1-processed-gene-17.60-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-17.60&CDS=1-1101
441	OG0000441	YAL038W	maker-chr_4.1-augustus-gene-16.80-mRNA-1_1&gene=maker-chr_4.1-augustus-gene-16.80&CDS=1-2421
442	OG0000442	YAL039C	snap_masked-chr_7.1-processed-gene-7.22-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-7.22&CDS=1-855
443	OG0000443	YAL040C	snap_masked-chr_7.1-processed-gene-7.38-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-7.38&CDS=1-1431
444	OG0000444	YAL041W	snap_masked-chr_7.1-processed-gene-7.18-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-7.18&CDS=1-2484
445	OG0000445	YAL042W	snap_masked-chr_7.1-processed-gene-7.35-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-7.35&CDS=1-1233
446	OG0000446	YAL043C	snap_masked-chr_5.1-processed-gene-16.147-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-16.147&CDS=1-2169
447	OG0000447	YAL044C	snap_masked-chr_1.2-processed-gene-11.23-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-11.23&CDS=1-531
448	OG0000448	YAL044W-A	snap_masked-chr_1.2-processed-gene-10.80-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-10.80&CDS=1-327
449	OG0000449	YAL046C	augustus_masked-chr_6.1-processed-gene-12.56-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-12.56&CDS=1-285
450	OG0000450	YAL048C	snap_masked-chr_6.1-processed-gene-5.25-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-5.25&CDS=1-2589
451	OG0000451	YAL049C	snap_masked-chr_1.1-processed-gene-17.97-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-17.97&CDS=1-711
452	OG0000452	YAL051W, YOR363C	
453	OG0000453	YAL053W	snap_masked-chr_7.1-processed-gene-3.30-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-3.30&CDS=1-2316
454	OG0000454	YAL054C	snap_masked-chr_5.1-processed-gene-13.96-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-13.96&CDS=1-2025
455	OG0000455	YAL058W	snap_masked-chr_7.1-processed-gene-1.4-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-1.4&CDS=1-1749
456	OG0000456	YAL059W	snap_masked-chr_7.1-processed-gene-1.5-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-1.5&CDS=1-549
457	OG0000457	YAL061W	snap_masked-chr_5.1-processed-gene-0.84-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.84&CDS=1-1155
458	OG0000458	YAL067C	snap_masked-chr_1.1-processed-gene-13.117-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-13.117&CDS=1-1740
459	OG0000459	YAR002W	augustus_masked-chr_3.1-processed-gene-14.42-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-14.42&CDS=1-1344
460	OG0000460	YAR003W	snap_masked-chr_2.1-processed-gene-12.85-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-12.85&CDS=1-1359
461	OG0000461	YAR007C	snap_masked-chr_2.1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-1.96&CDS=1-1869
462	OG0000462	YAR008W	snap_masked-chr_4.1-processed-gene-3.41-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.41&CDS=1-885
463	OG0000463	YAR014C	snap_masked-chr_1.1-processed-gene-18.41-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-18.41&CDS=1-3474
464	OG0000464	YAR015W	snap_masked-chr_7.1-processed-gene-10.136-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-10.136&CDS=1-918
465	OG0000465	YAR018C	snap_masked-chr_7.1-processed-gene-10.106-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-10.106&CDS=1-1614
466	OG0000466	YAR019C	snap_masked-chr_1.1-processed-gene-13.89-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-13.89&CDS=1-3741
467	OG0000467	YAR035W	snap_masked-chr_6.1-processed-gene-4.18-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-4.18&CDS=1-2256
468	OG0000468	YBL001C	maker-chr_2.1-snap-gene-21.68-mRNA-1_1&gene=maker-chr_2.1-snap-gene-21.68&CDS=1-321
469	OG0000469	YBL004W	augustus_masked-chr_8.1-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-2.53&CDS=1-7521
470	OG0000470	YBL007C	maker-chr_3.1-snap-gene-8.2-mRNA-1_1&gene=maker-chr_3.1-snap-gene-8.2&CDS=1-3741
471	OG0000471	YBL011W	snap_masked-chr_2.1-processed-gene-12.90-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-12.90&CDS=1-2439
472	OG0000472	YBL013W	snap_masked-chr_1.2-processed-gene-1.18-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-1.18&CDS=1-1140
473	OG0000473	YBL015W	snap_masked-chr_5.1-processed-gene-6.100-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-6.100&CDS=1-1572
474	OG0000474	YBL016W	snap_masked-chr_1.1-processed-gene-2.43-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-2.43&CDS=1-1086
475	OG0000475	YBL019W	snap_masked-chr_1.1-processed-gene-9.26-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-9.26&CDS=1-1446
476	OG0000476	YBL020W	genemark-chr_8.1-processed-gene-5.113-mRNA-1_1&gene=genemark-chr_8.1-processed-gene-5.113&CDS=1-1749
477	OG0000477	YBL021C	augustus_masked-chr_8.1-processed-gene-5.87-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-5.87&CDS=1-1029
478	OG0000478	YBL022C	snap_masked-chr_8.1-processed-gene-5.34-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-5.34&CDS=1-3258
479	OG0000479	YBL023C	snap_masked-chr_8.1-processed-gene-6.98-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-6.98&CDS=1-3477
480	OG0000480	YBL024W	snap_masked-chr_8.1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-5.37&CDS=1-2094
481	OG0000481	YBL026W	genemark-chr_8.1-processed-gene-5.135-mRNA-1_1&gene=genemark-chr_8.1-processed-gene-5.135&CDS=1-288
482	OG0000482	YBL028C	snap_masked-chr_1.2-processed-gene-5.13-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-5.13&CDS=1-312
483	OG0000483	YBL029C-A	augustus_masked-chr_4.1-processed-gene-16.74-mRNA-1_1&gene=augustus_masked-chr_4.1-processed-gene-16.74&CDS=1-264
484	OG0000484	YBL029W	snap_masked-chr_1.2-processed-gene-10.67-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-10.67&CDS=1-1572
485	OG0000485	YBL032W	snap_masked-chr_6.1-processed-gene-8.92-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-8.92&CDS=1-1179
486	OG0000486	YBL033C	snap_masked-chr_3.1-processed-gene-1.20-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-1.20&CDS=1-1011
487	OG0000487	YBL034C	augustus_masked-chr_6.1-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-1.57&CDS=1-4365
488	OG0000488	YBL035C	snap_masked-chr_6.1-processed-gene-1.97-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.97&CDS=1-2055
489	OG0000489	YBL036C	snap_masked-chr_6.1-processed-gene-1.112-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.112&CDS=1-750
490	OG0000490	YBL037W	snap_masked-chr_6.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.91&CDS=1-2958
491	OG0000491	YBL039C	snap_masked-chr_5.1-processed-gene-9.129-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-9.129&CDS=1-1719
492	OG0000492	YBL040C	augustus_masked-chr_1.1-processed-gene-18.112-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-18.112&CDS=1-636
493	OG0000493	YBL041W	augustus_masked-chr_1.1-processed-gene-18.92-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-18.92&CDS=1-726
494	OG0000494	YBL045C	snap_masked-chr_2.1-processed-gene-26.43-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-26.43&CDS=1-1335
495	OG0000495	YBL047C	snap_masked-chr_1.2-processed-gene-6.104-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-6.104&CDS=1-4215
496	OG0000496	YBL049W	snap_masked-chr_4.1-processed-gene-8.12-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-8.12&CDS=1-684
497	OG0000497	YBL050W	snap_masked-chr_8.1-processed-gene-7.125-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.125&CDS=1-879
498	OG0000498	YBL051C	snap_masked-chr_8.1-processed-gene-7.110-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.110&CDS=1-2148
499	OG0000499	YBL052C	snap_masked-chr_8.1-processed-gene-7.112-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.112&CDS=1-2247
500	OG0000500	YBL054W	snap_masked-chr_8.1-processed-gene-7.130-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.130&CDS=1-1644
501	OG0000501	YBL055C	snap_masked-chr_8.1-processed-gene-7.129-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.129&CDS=1-1227
502	OG0000502	YBL057C	snap_masked-chr_8.1-processed-gene-7.114-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-7.114&CDS=1-594
503	OG0000503	YBL058W	snap_masked-chr_5.1-processed-gene-5.19-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-5.19&CDS=1-1116
504	OG0000504	YBL059C-A	snap_masked-chr_6.1-processed-gene-14.27-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-14.27&CDS=1-315
505	OG0000505	YBL060W	augustus_masked-chr_6.1-processed-gene-14.50-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-14.50&CDS=1-3099
506	OG0000506	YBL061C	snap_masked-chr_2.1-processed-gene-19.33-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-19.33&CDS=1-2136
507	OG0000507	YBL064C	snap_masked-chr_3.1-processed-gene-3.87-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-3.87&CDS=1-768
508	OG0000508	YBL066C	snap_masked-chr_3.1-processed-gene-3.88-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-3.88&CDS=1-2835
509	OG0000509	YBL071W-A	snap_masked-chr_4.1-processed-gene-3.15-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.15&CDS=1-216
510	OG0000510	YBL076C	snap_masked-chr_4.1-processed-gene-6.29-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-6.29&CDS=1-3246
511	OG0000511	YBL078C	augustus_masked-chr_1.1-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-10.114&CDS=1-417
512	OG0000512	YBL079W	snap_masked-chr_1.1-processed-gene-10.16-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-10.16&CDS=1-4335
513	OG0000513	YBL080C	snap_masked-chr_1.1-processed-gene-10.39-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-10.39&CDS=1-1524
514	OG0000514	YBL082C	snap_masked-chr_4.1-processed-gene-5.131-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-5.131&CDS=1-1431
515	OG0000515	YBL086C	snap_masked-chr_2.1-processed-gene-15.97-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-15.97&CDS=1-1332
516	OG0000516	YBL088C	genemark-chr_4.1-processed-gene-4.88-mRNA-1_1&gene=genemark-chr_4.1-processed-gene-4.88&CDS=1-8337
517	OG0000517	YBL090W	snap_masked-chr_3.1-processed-gene-2.20-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-2.20&CDS=1-561
518	OG0000518	YBL091C	snap_masked-chr_4.1-processed-gene-5.106-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-5.106&CDS=1-1329
519	OG0000519	YBL092W	snap_masked-chr_5.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-3.18&CDS=1-411
520	OG0000520	YBL093C	snap_masked-chr_5.1-processed-gene-3.16-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-3.16&CDS=1-519
521	OG0000521	YBL095W	snap_masked-chr_1.1-processed-gene-13.86-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-13.86&CDS=1-672
522	OG0000522	YBL097W	snap_masked-chr_1.1-processed-gene-5.92-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-5.92&CDS=1-2304
523	OG0000523	YBL098W	snap_masked-chr_2.1-processed-gene-6.27-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-6.27&CDS=1-1434
524	OG0000524	YBL099W	snap_masked-chr_1.1-processed-gene-19.4-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-19.4&CDS=1-1635
525	OG0000525	YBL102W	snap_masked-chr_2.1-processed-gene-25.3-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.3&CDS=1-651
526	OG0000526	YBL103C	snap_masked-chr_2.1-processed-gene-25.6-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.6&CDS=1-1629
527	OG0000527	YBL105C	augustus_masked-chr_1.2-processed-gene-5.94-mRNA-1_1&gene=augustus_masked-chr_1.2-processed-gene-5.94&CDS=1-6195
528	OG0000528	YBL107C	augustus_masked-chr_5.1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-chr_5.1-processed-gene-1.89&CDS=1-552
529	OG0000529	YBR002C	augustus_masked-chr_2.1-processed-gene-26.172-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-26.172&CDS=1-1029
530	OG0000530	YBR003W	snap_masked-chr_1.2-processed-gene-0.2-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-0.2&CDS=1-1443
531	OG0000531	YBR004C	snap_masked-chr_6.1-processed-gene-6.40-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-6.40&CDS=1-1182
532	OG0000532	YBR006W	snap_masked-chr_2.1-processed-gene-18.119-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-18.119&CDS=1-1479
533	OG0000533	YBR007C	snap_masked-chr_2.1-processed-gene-25.34-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.34&CDS=1-1920
534	OG0000534	YBR011C	maker-chr_4.1-augustus-gene-10.0-mRNA-1_1&gene=maker-chr_4.1-augustus-gene-10.0&CDS=1-1995
535	OG0000535	YBR016W	augustus_masked-chr_5.1-processed-gene-6.32-mRNA-1_1&gene=augustus_masked-chr_5.1-processed-gene-6.32&CDS=1-345
536	OG0000536	YBR017C	snap_masked-chr_1.1-processed-gene-18.40-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-18.40&CDS=1-2814
537	OG0000537	YBR018C	snap_masked-chr_3.1-processed-gene-4.8-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-4.8&CDS=1-1146
538	OG0000538	YBR019C	snap_masked-chr_3.1-processed-gene-4.6-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-4.6&CDS=1-2064
539	OG0000539	YBR022W	augustus_masked-chr_7.1-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-chr_7.1-processed-gene-8.38&CDS=1-1614
540	OG0000540	YBR023C	snap_masked-chr_1.2-processed-gene-8.4-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-8.4&CDS=1-3606
541	OG0000541	YBR025C	snap_masked-chr_1.1-processed-gene-12.103-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-12.103&CDS=1-1188
542	OG0000542	YBR026C	augustus_masked-chr_2.1-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-6.52&CDS=1-1161
543	OG0000543	YBR028C	snap_masked-chr_2.1-processed-gene-25.14-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.14&CDS=1-1362
544	OG0000544	YBR029C	snap_masked-chr_5.1-processed-gene-7.34-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-7.34&CDS=1-1311
545	OG0000545	YBR030W	snap_masked-chr_1.1-processed-gene-19.30-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-19.30&CDS=1-2064
546	OG0000546	YBR034C	snap_masked-chr_1.1-processed-gene-19.9-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-19.9&CDS=1-1020
547	OG0000547	YBR035C	snap_masked-chr_8.1-processed-gene-5.0-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-5.0&CDS=1-705
548	OG0000548	YBR037C	snap_masked-chr_3.1-processed-gene-12.108-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-12.108&CDS=1-906
549	OG0000549	YBR038W	snap_masked-chr_3.1-processed-gene-14.14-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-14.14&CDS=1-2991
550	OG0000550	YBR039W	maker-chr_8.1-snap-gene-7.132-mRNA-1_1&gene=maker-chr_8.1-snap-gene-7.132&CDS=1-1101
551	OG0000551	YBR041W	snap_masked-chr_5.1-processed-gene-2.118-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-2.118&CDS=1-1959
552	OG0000552	YBR042C	snap_masked-chr_5.1-processed-gene-3.0-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-3.0&CDS=1-1254
553	OG0000553	YBR043C	snap_masked-chr_5.1-processed-gene-2.125-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-2.125&CDS=1-2109
554	OG0000554	YBR046C	genemark-chr_6.1-processed-gene-14.106-mRNA-1_1&gene=genemark-chr_6.1-processed-gene-14.106&CDS=1-1005
555	OG0000555	YBR053C	snap_masked-chr_1.1-processed-gene-15.97-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-15.97&CDS=1-996
556	OG0000556	YBR055C	augustus_masked-chr_1.2-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-chr_1.2-processed-gene-11.58&CDS=1-2703
557	OG0000557	YBR056W	snap_masked-chr_6.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-0.107&CDS=1-1518
558	OG0000558	YBR058C	snap_masked-chr_4.1-processed-gene-6.41-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-6.41&CDS=1-2409
559	OG0000559	YBR060C	snap_masked-chr_5.1-processed-gene-14.80-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-14.80&CDS=1-2253
560	OG0000560	YBR061C	snap_masked-chr_1.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-1.82&CDS=1-903
561	OG0000561	YBR062C	snap_masked-chr_1.1-processed-gene-1.81-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-1.81&CDS=1-636
562	OG0000562	YBR065C	snap_masked-chr_5.1-processed-gene-14.77-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-14.77&CDS=1-1170
