	OrthologID	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
297	OG0000297	YAR002W	snap_masked-scaffold_6-processed-gene-4.109-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.109&CDS=1-1626
298	OG0000298	YAR003W	snap_masked-scaffold_6-processed-gene-4.110-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.110&CDS=1-1308
299	OG0000299	YAR007C	snap_masked-scaffold_6-processed-gene-4.134-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.134&CDS=1-1848
300	OG0000300	YAR008W	snap_masked-scaffold_6-processed-gene-4.114-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.114&CDS=1-798
301	OG0000301	YAR009C, YPR137C-B	
302	OG0000302	YAR014C	snap_masked-scaffold_4-processed-gene-8.100-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.100&CDS=1-2064
303	OG0000303	YAR015W	snap_masked-scaffold_4-processed-gene-8.73-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.73&CDS=1-918
304	OG0000304	YAR018C	snap_masked-scaffold_4-processed-gene-8.101-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.101&CDS=1-1248
305	OG0000305	YAR019C	snap_masked-scaffold_4-processed-gene-8.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.102&CDS=1-2736
306	OG0000306	YAR035W	snap_masked-scaffold_4-processed-gene-8.74-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.74&CDS=1-2124
307	OG0000307	YAR042W	snap_masked-scaffold_4-processed-gene-8.75-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.75&CDS=1-3804
308	OG0000308	YBL001C	snap_masked-scaffold_4-processed-gene-7.49-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.49&CDS=1-318
309	OG0000309	YBL004W	snap_masked-scaffold_4-processed-gene-7.25-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.25&CDS=1-7467
310	OG0000310	YBL006C	snap_masked-scaffold_6-processed-gene-4.118-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.118&CDS=1-564
311	OG0000311	YBL007C	snap_masked-scaffold_6-processed-gene-4.120-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.120&CDS=1-3765
312	OG0000312	YBL008W	snap_masked-scaffold_6-processed-gene-4.142-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.142&CDS=1-2508
313	OG0000313	YBL009W	snap_masked-scaffold_6-processed-gene-4.145-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.145&CDS=1-2226
314	OG0000314	YBL010C	snap_masked-scaffold_6-processed-gene-4.123-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.123&CDS=1-762
315	OG0000315	YBL013W	snap_masked-scaffold_6-processed-gene-4.148-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.148&CDS=1-1107
316	OG0000316	YBL014C	snap_masked-scaffold_6-processed-gene-4.128-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.128&CDS=1-2661
317	OG0000317	YBL015W	maker-scaffold_2-snap-gene-8.0-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.0&CDS=1-2754
318	OG0000318	YBL018C	maker-scaffold_2-snap-gene-8.3-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.3&CDS=1-411
319	OG0000319	YBL020W	maker-scaffold_2-augustus-gene-7.185-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-7.185&CDS=1-3234
320	OG0000320	YBL022C	genemark-scaffold_2-processed-gene-7.58-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-7.58&CDS=1-3705
321	OG0000321	YBL023C	snap_masked-scaffold_2-processed-gene-7.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.127&CDS=1-2619
322	OG0000322	YBL024W	augustus_masked-scaffold_2-processed-gene-7.156-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.156&CDS=1-2379
323	OG0000323	YBL028C	snap_masked-scaffold_6-processed-gene-3.89-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.89&CDS=1-300
324	OG0000324	YBL029W	snap_masked-scaffold_6-processed-gene-3.67-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.67&CDS=1-858
325	OG0000325	YBL031W	snap_masked-scaffold_6-processed-gene-3.66-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.66&CDS=1-564
326	OG0000326	YBL032W	snap_masked-scaffold_6-processed-gene-3.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.65&CDS=1-1035
327	OG0000327	YBL033C	snap_masked-scaffold_6-processed-gene-3.87-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.87&CDS=1-912
328	OG0000328	YBL035C	snap_masked-scaffold_6-processed-gene-2.93-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.93&CDS=1-6174
329	OG0000329	YBL036C	snap_masked-scaffold_6-processed-gene-2.92-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.92&CDS=1-777
330	OG0000330	YBL037W	snap_masked-scaffold_6-processed-gene-2.67-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.67&CDS=1-3045
331	OG0000331	YBL038W	snap_masked-scaffold_6-processed-gene-2.66-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.66&CDS=1-663
332	OG0000332	YBL039C	snap_masked-scaffold_3-processed-gene-6.57-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.57&CDS=1-1728
333	OG0000333	YBL040C	snap_masked-scaffold_3-processed-gene-6.62-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.62&CDS=1-651
334	OG0000334	YBL041W	snap_masked-scaffold_3-processed-gene-6.90-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.90&CDS=1-723
335	OG0000335	YBL043W	snap_masked-scaffold_3-processed-gene-6.91-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.91&CDS=1-483
336	OG0000336	YBL045C	snap_masked-scaffold_3-processed-gene-6.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.64&CDS=1-1347
337	OG0000337	YBL046W	snap_masked-scaffold_3-processed-gene-6.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.92&CDS=1-1020
338	OG0000338	YBL047C	snap_masked-scaffold_3-processed-gene-6.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.66&CDS=1-3906
339	OG0000339	YBL049W	snap_masked-scaffold_3-processed-gene-6.96-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.96&CDS=1-474
340	OG0000340	YBL050W	snap_masked-scaffold_3-processed-gene-6.97-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.97&CDS=1-876
341	OG0000341	YBL051C	snap_masked-scaffold_3-processed-gene-3.92-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.92&CDS=1-1896
342	OG0000342	YBL055C	snap_masked-scaffold_3-processed-gene-3.90-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.90&CDS=1-1125
343	OG0000343	YBL056W	snap_masked-scaffold_3-processed-gene-3.66-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.66&CDS=1-1404
344	OG0000344	YBL058W	snap_masked-scaffold_3-processed-gene-3.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.63&CDS=1-1170
345	OG0000345	YBL059C-A	genemark-scaffold_3-processed-gene-2.56-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-2.56&CDS=1-324
346	OG0000346	YBL060W	snap_masked-scaffold_3-processed-gene-2.85-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.85&CDS=1-1773
347	OG0000347	YBL061C	snap_masked-scaffold_3-processed-gene-2.112-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.112&CDS=1-1815
348	OG0000348	YBL064C	snap_masked-scaffold_3-processed-gene-2.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.111&CDS=1-747
349	OG0000349	YBL066C	snap_masked-scaffold_3-processed-gene-2.110-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.110&CDS=1-3507
350	OG0000350	YBL074C	snap_masked-scaffold_3-processed-gene-2.106-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.106&CDS=1-1023
351	OG0000351	YBL078C	snap_masked-scaffold_3-processed-gene-2.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.102&CDS=1-354
352	OG0000352	YBL079W	snap_masked-scaffold_3-processed-gene-2.80-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.80&CDS=1-4332
353	OG0000353	YBL080C	snap_masked-scaffold_3-processed-gene-4.127-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.127&CDS=1-1620
354	OG0000354	YBL081W	snap_masked-scaffold_3-processed-gene-4.144-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.144&CDS=1-1134
355	OG0000355	YBL082C	snap_masked-scaffold_3-processed-gene-4.147-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.147&CDS=1-1326
356	OG0000356	YBL084C	snap_masked-scaffold_3-processed-gene-4.129-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.129&CDS=1-2100
357	OG0000357	YBL086C	snap_masked-scaffold_3-processed-gene-4.130-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.130&CDS=1-1293
358	OG0000358	YBL088C	genemark-scaffold_3-processed-gene-5.92-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.92&CDS=1-8724
359	OG0000359	YBL090W	snap_masked-scaffold_3-processed-gene-5.71-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.71&CDS=1-516
360	OG0000360	YBL091C	genemark-scaffold_3-processed-gene-5.95-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.95&CDS=1-1929
361	OG0000361	YBL092W	genemark-scaffold_3-processed-gene-5.118-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.118&CDS=1-393
362	OG0000362	YBL093C	genemark-scaffold_3-processed-gene-5.96-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-5.96&CDS=1-612
363	OG0000363	YBL098W	augustus_masked-scaffold_3-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.29&CDS=1-3564
364	OG0000364	YBL099W	snap_masked-scaffold_3-processed-gene-5.78-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.78&CDS=1-1638
365	OG0000365	YBL101C	snap_masked-scaffold_3-processed-gene-5.53-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.53&CDS=1-3162
366	OG0000366	YBL102W	snap_masked-scaffold_3-processed-gene-5.80-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.80&CDS=1-642
367	OG0000367	YBL104C	augustus_masked-scaffold_3-processed-gene-5.17-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.17&CDS=1-14658
368	OG0000368	YBR002C	augustus_masked-scaffold_4-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.102&CDS=1-852
369	OG0000369	YBR003W	snap_masked-scaffold_4-processed-gene-7.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.29&CDS=1-1407
370	OG0000370	YBR004C	snap_masked-scaffold_4-processed-gene-7.52-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.52&CDS=1-1284
371	OG0000371	YBR006W	maker-scaffold_4-augustus-gene-7.2-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.2&CDS=1-2829
372	OG0000372	YBR007C	snap_masked-scaffold_4-processed-gene-7.54-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.54&CDS=1-2058
373	OG0000373	YBR008C	snap_masked-scaffold_4-processed-gene-11.22-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.22&CDS=1-1626
374	OG0000374	YBR011C	snap_masked-scaffold_4-processed-gene-7.57-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.57&CDS=1-861
375	OG0000375	YBR015C	snap_masked-scaffold_4-processed-gene-8.67-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.67&CDS=1-1794
376	OG0000376	YBR017C	snap_masked-scaffold_4-processed-gene-8.99-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.99&CDS=1-2721
377	OG0000377	YBR018C	snap_masked-scaffold_5-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.2&CDS=1-1092
378	OG0000378	YBR023C	snap_masked-scaffold_4-processed-gene-7.20-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.20&CDS=1-3450
379	OG0000379	YBR026C	augustus_masked-scaffold_4-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.69&CDS=1-2544
380	OG0000380	YBR029C	snap_masked-scaffold_4-processed-gene-7.15-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.15&CDS=1-1272
381	OG0000381	YBR030W	snap_masked-scaffold_4-processed-gene-7.40-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.40&CDS=1-1452
382	OG0000382	YBR034C	snap_masked-scaffold_4-processed-gene-7.14-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.14&CDS=1-1044
383	OG0000383	YBR035C	snap_masked-scaffold_4-processed-gene-7.12-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.12&CDS=1-684
384	OG0000384	YBR036C	snap_masked-scaffold_4-processed-gene-7.41-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.41&CDS=1-1167
385	OG0000385	YBR037C	snap_masked-scaffold_4-processed-gene-7.42-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.42&CDS=1-909
386	OG0000386	YBR039W	snap_masked-scaffold_4-processed-gene-7.36-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.36&CDS=1-870
387	OG0000387	YBR040W	snap_masked-scaffold_4-processed-gene-7.35-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.35&CDS=1-894
388	OG0000388	YBR041W	snap_masked-scaffold_4-processed-gene-7.9-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.9&CDS=1-2010
389	OG0000389	YBR042C	snap_masked-scaffold_4-processed-gene-7.7-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.7&CDS=1-1197
390	OG0000390	YBR043C	maker-scaffold_4-augustus-gene-7.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.0&CDS=1-4713
391	OG0000391	YBR045C	snap_masked-scaffold_4-processed-gene-6.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.39&CDS=1-1800
392	OG0000392	YBR046C	snap_masked-scaffold_4-processed-gene-6.38-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.38&CDS=1-1005
393	OG0000393	YBR047W	snap_masked-scaffold_4-processed-gene-6.58-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.58&CDS=1-522
394	OG0000394	YBR053C	snap_masked-scaffold_4-processed-gene-6.33-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.33&CDS=1-1059
395	OG0000395	YBR056W	snap_masked-scaffold_4-processed-gene-6.54-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.54&CDS=1-1500
396	OG0000396	YBR058C	augustus_masked-scaffold_4-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.82&CDS=1-3459
397	OG0000397	YBR058C-A	snap_masked-scaffold_4-processed-gene-6.27-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.27&CDS=1-348
398	OG0000398	YBR060C	augustus_masked-scaffold_4-processed-gene-6.79-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.79&CDS=1-1725
399	OG0000399	YBR062C	snap_masked-scaffold_4-processed-gene-6.22-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.22&CDS=1-432
400	OG0000400	YBR065C	snap_masked-scaffold_4-processed-gene-6.20-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.20&CDS=1-1020
401	OG0000401	YBR070C	snap_masked-scaffold_4-processed-gene-6.16-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.16&CDS=1-714
402	OG0000402	YBR071W	snap_masked-scaffold_4-processed-gene-6.47-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.47&CDS=1-534
403	OG0000403	YBR072W	snap_masked-scaffold_4-processed-gene-6.46-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.46&CDS=1-624
404	OG0000404	YBR073W	snap_masked-scaffold_4-processed-gene-6.45-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.45&CDS=1-2736
405	OG0000405	YBR074W	snap_masked-scaffold_4-processed-gene-6.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.44&CDS=1-2853
406	OG0000406	YBR076W	snap_masked-scaffold_4-processed-gene-6.43-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.43&CDS=1-981
407	OG0000407	YBR077C	snap_masked-scaffold_4-processed-gene-6.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.11&CDS=1-474
408	OG0000408	YBR078W	genemark-scaffold_4-processed-gene-6.156-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.156&CDS=1-1287
409	OG0000409	YBR079C	genemark-scaffold_4-processed-gene-6.123-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-6.123&CDS=1-2955
410	OG0000410	YBR080C	snap_masked-scaffold_4-processed-gene-6.4-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.4&CDS=1-2277
411	OG0000411	YBR081C	genemark-scaffold_6-processed-gene-3.123-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-3.123&CDS=1-3795
412	OG0000412	YBR083W	augustus_masked-scaffold_6-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-3.43&CDS=1-1644
413	OG0000413	YBR085W	snap_masked-scaffold_6-processed-gene-3.88-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.88&CDS=1-912
414	OG0000414	YBR086C	snap_masked-scaffold_6-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.68&CDS=1-3150
415	OG0000415	YBR087W	snap_masked-scaffold_6-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.91&CDS=1-1062
416	OG0000416	YBR088C	augustus_masked-scaffold_3-processed-gene-8.93-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.93&CDS=1-774
417	OG0000417	YBR089W	maker-scaffold_3-snap-gene-8.103-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.103&CDS=1-348
418	OG0000418	YBR091C	snap_masked-scaffold_3-processed-gene-8.50-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.50&CDS=1-309
419	OG0000419	YBR094W	snap_masked-scaffold_3-processed-gene-8.27-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.27&CDS=1-2178
420	OG0000420	YBR095C	snap_masked-scaffold_3-processed-gene-8.51-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.51&CDS=1-1077
421	OG0000421	YBR096W	snap_masked-scaffold_3-processed-gene-8.28-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.28&CDS=1-687
422	OG0000422	YBR097W	genemark-scaffold_3-processed-gene-8.133-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-8.133&CDS=1-7248
423	OG0000423	YBR098W	snap_masked-scaffold_3-processed-gene-8.32-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.32&CDS=1-2067
424	OG0000424	YBR101C	snap_masked-scaffold_3-processed-gene-8.52-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.52&CDS=1-867
425	OG0000425	YBR102C	snap_masked-scaffold_3-processed-gene-8.53-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.53&CDS=1-2139
426	OG0000426	YBR103W	snap_masked-scaffold_3-processed-gene-8.33-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.33&CDS=1-1539
427	OG0000427	YBR105C	augustus_masked-scaffold_3-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.75&CDS=1-1266
428	OG0000428	YBR107C	augustus_masked-scaffold_3-processed-gene-9.76-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.76&CDS=1-642
429	OG0000429	YBR108W	augustus_masked-scaffold_3-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.73&CDS=1-2154
430	OG0000430	YBR109C	snap_masked-scaffold_3-processed-gene-9.131-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.131&CDS=1-441
431	OG0000431	YBR110W	snap_masked-scaffold_3-processed-gene-9.132-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.132&CDS=1-1347
432	OG0000432	YBR111C	snap_masked-scaffold_3-processed-gene-9.156-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.156&CDS=1-636
433	OG0000433	YBR112C	genemark-scaffold_3-processed-gene-9.37-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-9.37&CDS=1-2277
434	OG0000434	YBR114W	snap_masked-scaffold_3-processed-gene-9.134-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.134&CDS=1-2250
435	OG0000435	YBR115C	snap_masked-scaffold_3-processed-gene-9.158-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.158&CDS=1-4164
436	OG0000436	YBR119W	snap_masked-scaffold_3-processed-gene-9.139-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.139&CDS=1-789
437	OG0000437	YBR120C	snap_masked-scaffold_3-processed-gene-9.162-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.162&CDS=1-477
438	OG0000438	YBR121C	maker-scaffold_6-snap-gene-0.124-mRNA-1_1&gene=maker-scaffold_6-snap-gene-0.124&CDS=1-2484
439	OG0000439	YBR123C	maker-scaffold_6-augustus-gene-0.0-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-0.0&CDS=1-2424
440	OG0000440	YBR125C	snap_masked-scaffold_3-processed-gene-9.163-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.163&CDS=1-1224
441	OG0000441	YBR126C	snap_masked-scaffold_3-processed-gene-9.164-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.164&CDS=1-1491
442	OG0000442	YBR127C	snap_masked-scaffold_3-processed-gene-9.165-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.165&CDS=1-1524
443	OG0000443	YBR128C	snap_masked-scaffold_3-processed-gene-9.166-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.166&CDS=1-969
444	OG0000444	YBR131W	snap_masked-scaffold_3-processed-gene-9.144-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.144&CDS=1-1917
445	OG0000445	YBR132C	snap_masked-scaffold_3-processed-gene-9.170-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.170&CDS=1-1725
446	OG0000446	YBR133C	snap_masked-scaffold_3-processed-gene-9.171-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.171&CDS=1-2526
447	OG0000447	YBR135W	snap_masked-scaffold_3-processed-gene-9.146-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.146&CDS=1-405
448	OG0000448	YBR136W	snap_masked-scaffold_3-processed-gene-9.147-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.147&CDS=1-7113
449	OG0000449	YBR137W	snap_masked-scaffold_4-processed-gene-8.97-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.97&CDS=1-543
450	OG0000450	YBR138C	snap_masked-scaffold_4-processed-gene-9.52-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.52&CDS=1-1377
451	OG0000451	YBR142W	augustus_masked-scaffold_4-processed-gene-9.6-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.6&CDS=1-2250
452	OG0000452	YBR143C	snap_masked-scaffold_4-processed-gene-9.81-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.81&CDS=1-1311
453	OG0000453	YBR146W	snap_masked-scaffold_4-processed-gene-9.59-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.59&CDS=1-840
454	OG0000454	YBR151W	snap_masked-scaffold_4-processed-gene-9.88-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.88&CDS=1-912
455	OG0000455	YBR152W	augustus_masked-scaffold_4-processed-gene-9.32-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-9.32&CDS=1-690
456	OG0000456	YBR153W	snap_masked-scaffold_4-processed-gene-9.85-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.85&CDS=1-747
457	OG0000457	YBR154C	snap_masked-scaffold_4-processed-gene-9.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.61&CDS=1-645
458	OG0000458	YBR156C	snap_masked-scaffold_2-processed-gene-2.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.70&CDS=1-1155
459	OG0000459	YBR160W	maker-scaffold_2-snap-gene-2.176-mRNA-1_1&gene=maker-scaffold_2-snap-gene-2.176&CDS=1-1956
460	OG0000460	YBR162C	snap_masked-scaffold_2-processed-gene-2.68-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.68&CDS=1-1407
461	OG0000461	YBR162W-A	snap_masked-scaffold_2-processed-gene-2.94-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.94&CDS=1-195
462	OG0000462	YBR163W	snap_masked-scaffold_2-processed-gene-2.90-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.90&CDS=1-1638
463	OG0000463	YBR164C	snap_masked-scaffold_1-processed-gene-9.86-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.86&CDS=1-549
464	OG0000464	YBR165W	genemark-scaffold_1-processed-gene-9.47-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-9.47&CDS=1-675
465	OG0000465	YBR166C	augustus_masked-scaffold_1-processed-gene-9.142-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.142&CDS=1-1323
466	OG0000466	YBR167C	snap_masked-scaffold_1-processed-gene-9.84-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.84&CDS=1-384
467	OG0000467	YBR168W	snap_masked-scaffold_1-processed-gene-9.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.109&CDS=1-1209
468	OG0000468	YBR171W	snap_masked-scaffold_1-processed-gene-9.107-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.107&CDS=1-609
469	OG0000469	YBR173C	snap_masked-scaffold_1-processed-gene-9.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.80&CDS=1-441
470	OG0000470	YBR176W	snap_masked-scaffold_1-processed-gene-9.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.105&CDS=1-996
