	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026152_Torulaspora_franciscae
533	OG0000533	YLR240W	augustus_masked-flattened_line_0-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.103&CDS=1-5016, augustus_masked-flattened_line_0-processed-gene-18.132-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.132&CDS=1-6987
534	OG0000534	YLR242C	snap_masked-flattened_line_0-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.88&CDS=1-918, snap_masked-flattened_line_0-processed-gene-18.163-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.163&CDS=1-918
535	OG0000535	YLR243W	snap_masked-flattened_line_0-processed-gene-1.6-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.6&CDS=1-813, snap_masked-flattened_line_0-processed-gene-18.200-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.200&CDS=1-813
536	OG0000536	YLR245C	snap_masked-flattened_line_0-processed-gene-1.11-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.11&CDS=1-459, snap_masked-flattened_line_0-processed-gene-18.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.159&CDS=1-459
537	OG0000537	YLR247C	snap_masked-flattened_line_0-processed-gene-12.162-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.162&CDS=1-4419, snap_masked-flattened_line_0-processed-gene-6.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.79&CDS=1-4419
538	OG0000538	YLR253W	snap_masked-flattened_line_0-processed-gene-12.159-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.159&CDS=1-2253, snap_masked-flattened_line_0-processed-gene-6.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.82&CDS=1-2253
539	OG0000539	YLR256W	genemark-flattened_line_0-processed-gene-12.48-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.48&CDS=1-3753, genemark-flattened_line_0-processed-gene-6.29-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.29&CDS=1-3753
540	OG0000540	YLR257W	snap_masked-flattened_line_0-processed-gene-12.157-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.157&CDS=1-960, snap_masked-flattened_line_0-processed-gene-6.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.84&CDS=1-960
541	OG0000541	YLR258W	snap_masked-flattened_line_0-processed-gene-12.154-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.154&CDS=1-2106, snap_masked-flattened_line_0-processed-gene-6.87-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.87&CDS=1-2106
542	OG0000542	YLR264W, YOR167C	snap_masked-flattened_line_1-processed-gene-6.159-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.159&CDS=1-201
543	OG0000543	YLR270W, YOR173W	maker-flattened_line_1-augustus-gene-6.66-mRNA-1_1&gene=maker-flattened_line_1-augustus-gene-6.66&CDS=1-1632
544	OG0000544	YLR287C-A, YOR182C	snap_masked-flattened_line_1-processed-gene-6.117-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.117&CDS=1-204
545	OG0000545	YLR293C, YOR185C	snap_masked-flattened_line_1-processed-gene-6.112-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.112&CDS=1-666
546	OG0000546	YLR329W	augustus_masked-flattened_line_0-processed-gene-12.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.60&CDS=1-612, snap_masked-flattened_line_0-processed-gene-7.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.153&CDS=1-612
547	OG0000547	YLR330W	snap_masked-flattened_line_0-processed-gene-12.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.111&CDS=1-1851, snap_masked-flattened_line_0-processed-gene-7.132-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.132&CDS=1-1851
548	OG0000548	YLR332W	augustus_masked-flattened_line_0-processed-gene-12.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.63&CDS=1-498, augustus_masked-flattened_line_0-processed-gene-7.81-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.81&CDS=1-498
549	OG0000549	YLR335W	augustus_masked-flattened_line_0-processed-gene-11.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.104&CDS=1-1677, augustus_masked-flattened_line_0-processed-gene-7.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.83&CDS=1-1677
550	OG0000550	YLR336C	augustus_masked-flattened_line_0-processed-gene-11.82-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.82&CDS=1-3093, augustus_masked-flattened_line_0-processed-gene-7.106-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.106&CDS=1-3093
551	OG0000551	YLR337C	maker-flattened_line_0-snap-gene-11.164-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-11.164&CDS=1-1836, maker-flattened_line_0-snap-gene-7.62-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-7.62&CDS=1-1665
552	OG0000552	YLR340W	snap_masked-flattened_line_0-processed-gene-11.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.59&CDS=1-933, snap_masked-flattened_line_0-processed-gene-7.137-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.137&CDS=1-933
553	OG0000553	YLR345W	snap_masked-flattened_line_0-processed-gene-11.53-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.53&CDS=1-1635, snap_masked-flattened_line_0-processed-gene-7.143-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.143&CDS=1-1635
554	OG0000554	YLR347C	maker-flattened_line_0-augustus-gene-11.3-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.3&CDS=1-3261, maker-flattened_line_0-augustus-gene-8.64-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-8.64&CDS=1-3261
555	OG0000555	YLR351C	augustus_masked-flattened_line_0-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.76&CDS=1-2004, augustus_masked-flattened_line_0-processed-gene-8.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.74&CDS=1-1926
556	OG0000556	YLR352W	augustus_masked-flattened_line_0-processed-gene-11.95-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.95&CDS=1-2646, augustus_masked-flattened_line_0-processed-gene-8.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.71&CDS=1-2646
557	OG0000557	YLR417W	snap_masked-flattened_line_0-processed-gene-15.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.105&CDS=1-1593, snap_masked-flattened_line_0-processed-gene-4.49-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.49&CDS=1-1593
558	OG0000558	YLR418C	snap_masked-flattened_line_0-processed-gene-15.124-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.124&CDS=1-1143, snap_masked-flattened_line_0-processed-gene-4.45-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.45&CDS=1-1143
559	OG0000559	YLR452C	snap_masked-flattened_line_7-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.18&CDS=1-2088, snap_masked-flattened_line_7-processed-gene-4.161-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.161&CDS=1-2088
560	OG0000560	YLR454W	snap_masked-flattened_line_7-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.46&CDS=1-7734, snap_masked-flattened_line_7-processed-gene-4.119-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.119&CDS=1-7734
561	OG0000561	YLR455W	snap_masked-flattened_line_7-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.36&CDS=1-951, snap_masked-flattened_line_7-processed-gene-4.129-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.129&CDS=1-951
562	OG0000562	YLR457C	snap_masked-flattened_line_7-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.12&CDS=1-990, snap_masked-flattened_line_7-processed-gene-4.167-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.167&CDS=1-990
563	OG0000563	YML111W, YMR275C	maker-flattened_line_1-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-1.0&CDS=1-3687
564	OG0000564	YML116W, YMR279C	snap_masked-flattened_line_1-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-0.65&CDS=1-1770
565	OG0000565	YMR012W	snap_masked-flattened_line_0-processed-gene-12.147-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.147&CDS=1-3792, snap_masked-flattened_line_0-processed-gene-7.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.118&CDS=1-3792
566	OG0000566	YMR013C	snap_masked-flattened_line_0-processed-gene-12.124-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.124&CDS=1-1509, snap_masked-flattened_line_0-processed-gene-7.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.144&CDS=1-1509
567	OG0000567	YMR014W	snap_masked-flattened_line_0-processed-gene-12.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.146&CDS=1-1413, snap_masked-flattened_line_0-processed-gene-7.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.119&CDS=1-1413
568	OG0000568	YMR015C	snap_masked-flattened_line_0-processed-gene-12.123-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.123&CDS=1-1605, snap_masked-flattened_line_0-processed-gene-7.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.145&CDS=1-1605
569	OG0000569	YMR020W	snap_masked-flattened_line_0-processed-gene-12.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.145&CDS=1-1503, snap_masked-flattened_line_0-processed-gene-7.120-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.120&CDS=1-1503
570	OG0000570	YMR021C	snap_masked-flattened_line_0-processed-gene-12.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.119&CDS=1-1128, snap_masked-flattened_line_0-processed-gene-7.149-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.149&CDS=1-1128
571	OG0000571	YMR023C	snap_masked-flattened_line_0-processed-gene-12.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.117&CDS=1-1500, snap_masked-flattened_line_0-processed-gene-7.151-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.151&CDS=1-1500
572	OG0000572	YMR169C, YMR170C	augustus_masked-flattened_line_18-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.141&CDS=1-3219
573	OG0000573	YMR183C, YPL232W	snap_masked-flattened_line_16-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.31&CDS=1-900
574	OG0000574	YMR186W, YPL240C	snap_masked-flattened_line_16-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.56&CDS=1-2139
575	OG0000575	YMR199W, YPL256C	augustus_masked-flattened_line_16-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.89&CDS=1-4317
576	OG0000576	YMR230W, YOR293W	snap_masked-flattened_line_12-processed-gene-2.0-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.0&CDS=1-315
577	OG0000577	YMR252C	snap_masked-flattened_line_0-processed-gene-12.161-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.161&CDS=1-294, snap_masked-flattened_line_0-processed-gene-6.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.80&CDS=1-294
578	OG0000578	YMR253C, YPL264C	snap_masked-flattened_line_1-processed-gene-1.86-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-1.86&CDS=1-1113
579	OG0000579	YNL001W	maker-flattened_line_0-augustus-gene-13.3-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-13.3&CDS=1-1719, snap_masked-flattened_line_0-processed-gene-6.68-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.68&CDS=1-1164
580	OG0000580	YNL002C	snap_masked-flattened_line_0-processed-gene-13.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.80&CDS=1-921, snap_masked-flattened_line_0-processed-gene-6.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.73&CDS=1-921
581	OG0000581	YNL003C	snap_masked-flattened_line_0-processed-gene-13.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.78&CDS=1-858, snap_masked-flattened_line_0-processed-gene-6.75-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.75&CDS=1-858
582	OG0000582	YNL004W	maker-flattened_line_0-augustus-gene-13.2-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-13.2&CDS=1-1632, snap_masked-flattened_line_0-processed-gene-6.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.98&CDS=1-1335
583	OG0000583	YNL005C	snap_masked-flattened_line_0-processed-gene-13.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.76&CDS=1-1110, snap_masked-flattened_line_0-processed-gene-6.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.77&CDS=1-1110
584	OG0000584	YNL006W	snap_masked-flattened_line_0-processed-gene-13.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.82&CDS=1-909, snap_masked-flattened_line_0-processed-gene-6.71-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.71&CDS=1-909
585	OG0000585	YNL007C	snap_masked-flattened_line_0-processed-gene-13.60-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.60&CDS=1-1125, snap_masked-flattened_line_0-processed-gene-6.94-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.94&CDS=1-1125
586	OG0000586	YNL011C	snap_masked-flattened_line_0-processed-gene-13.53-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.53&CDS=1-1323, snap_masked-flattened_line_0-processed-gene-6.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.78&CDS=1-1323
587	OG0000587	YNL108C, YOR110W	augustus_masked-flattened_line_3-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-1.28&CDS=1-2877
588	OG0000588	YNL246W	snap_masked-flattened_line_0-processed-gene-10.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.130&CDS=1-591, snap_masked-flattened_line_0-processed-gene-8.164-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.164&CDS=1-591
589	OG0000589	YNL302C, YOL121C	maker-flattened_line_36-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.5&CDS=1-432
590	OG0000590	YNR001C	snap_masked-flattened_line_0-processed-gene-13.87-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.87&CDS=1-1434, snap_masked-flattened_line_0-processed-gene-6.61-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.61&CDS=1-1434
591	OG0000591	YNR003C	snap_masked-flattened_line_0-processed-gene-13.91-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-13.91&CDS=1-939, snap_masked-flattened_line_0-processed-gene-5.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.79&CDS=1-939
592	OG0000592	YOL016C	snap_masked-flattened_line_0-processed-gene-12.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.153&CDS=1-1326, snap_masked-flattened_line_0-processed-gene-6.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.88&CDS=1-1326
593	OG0000593	YOL018C	snap_masked-flattened_line_0-processed-gene-11.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.41&CDS=1-1089, snap_masked-flattened_line_0-processed-gene-8.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.130&CDS=1-1089
594	OG0000594	YOL019W	augustus_masked-flattened_line_0-processed-gene-8.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.101&CDS=1-1470, snap_masked-flattened_line_0-processed-gene-11.13-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.13&CDS=1-1470
595	OG0000595	YOL021C	snap_masked-flattened_line_0-processed-gene-11.9-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.9&CDS=1-2991, snap_masked-flattened_line_0-processed-gene-8.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.134&CDS=1-2991
596	OG0000596	YOL022C	snap_masked-flattened_line_0-processed-gene-10.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.155&CDS=1-1212, snap_masked-flattened_line_0-processed-gene-8.135-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.135&CDS=1-1212
597	OG0000597	YOL023W	augustus_masked-flattened_line_0-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.86&CDS=1-3411, augustus_masked-flattened_line_0-processed-gene-8.104-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.104&CDS=1-3411
598	OG0000598	YOL025W	snap_masked-flattened_line_0-processed-gene-10.132-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.132&CDS=1-1791, snap_masked-flattened_line_0-processed-gene-8.162-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.162&CDS=1-1791
599	OG0000599	YOR018W	snap_masked-flattened_line_0-processed-gene-10.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.152&CDS=1-2262, snap_masked-flattened_line_0-processed-gene-8.138-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.138&CDS=1-2262
600	OG0000600	YOR122C	genemark-flattened_line_0-processed-gene-11.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.120&CDS=1-1614, genemark-flattened_line_0-processed-gene-8.39-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.39&CDS=1-1614
601	OG0000601	YOR124C	maker-flattened_line_0-augustus-gene-11.1-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.1&CDS=1-4665, maker-flattened_line_0-augustus-gene-8.66-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-8.66&CDS=1-4665
602	OG0000602	YOR125C	maker-flattened_line_0-augustus-gene-11.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.0&CDS=1-1518, maker-flattened_line_0-augustus-gene-8.67-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-8.67&CDS=1-1518
603	OG0000603	YOR126C	snap_masked-flattened_line_0-processed-gene-11.18-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.18&CDS=1-711, snap_masked-flattened_line_0-processed-gene-8.152-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.152&CDS=1-711
604	OG0000604	YOR127W	snap_masked-flattened_line_0-processed-gene-11.43-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.43&CDS=1-2997, snap_masked-flattened_line_0-processed-gene-8.128-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.128&CDS=1-2997
605	OG0000605	YOR128C	snap_masked-flattened_line_0-processed-gene-11.15-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.15&CDS=1-1719, snap_masked-flattened_line_0-processed-gene-8.155-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.155&CDS=1-1719
606	OG0000606	YOR129C	augustus_masked-flattened_line_0-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.68&CDS=1-2436, augustus_masked-flattened_line_0-processed-gene-8.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.100&CDS=1-2436
607	OG0000607	YOR162C, YOR172W	augustus_masked-flattened_line_22-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.16&CDS=1-3495
608	OG0000608	YOR229W, YOR230W	augustus_masked-flattened_line_16-processed-gene-3.39-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.39&CDS=1-2532
609	OG0000609	YOR234C, YPL143W	snap_masked-flattened_line_16-processed-gene-3.70-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.70&CDS=1-321
610	OG0000610	YOR237W, YPL145C	augustus_masked-flattened_line_16-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-3.11&CDS=1-1869
611	OG0000611	YPL046C	snap_masked-flattened_line_1-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.99&CDS=1-291, snap_masked-flattened_line_20-processed-gene-2.148-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.148&CDS=1-204
612	OG0000612	YPR109W	snap_masked-flattened_line_0-processed-gene-14.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.103&CDS=1-900, snap_masked-flattened_line_0-processed-gene-5.83-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.83&CDS=1-900
613	OG0000613	YPR110C	snap_masked-flattened_line_0-processed-gene-14.125-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.125&CDS=1-1005, snap_masked-flattened_line_0-processed-gene-5.56-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.56&CDS=1-1005
614	OG0000614	YPR112C	snap_masked-flattened_line_0-processed-gene-14.126-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.126&CDS=1-2589, snap_masked-flattened_line_0-processed-gene-5.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.52&CDS=1-2589
615	OG0000615	YPR113W	genemark-flattened_line_0-processed-gene-14.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-14.23&CDS=1-1518, maker-flattened_line_0-augustus-gene-4.2-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-4.2&CDS=1-1599
616	OG0000616	YPR114W	snap_masked-flattened_line_0-processed-gene-14.109-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.109&CDS=1-873, snap_masked-flattened_line_0-processed-gene-4.94-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.94&CDS=1-873
617	OG0000617	YPR116W	augustus_masked-flattened_line_0-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.69&CDS=1-876, snap_masked-flattened_line_0-processed-gene-4.92-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.92&CDS=1-876
618	OG0000618	YPR117W	augustus_masked-flattened_line_0-processed-gene-14.71-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.71&CDS=1-10449, augustus_masked-flattened_line_0-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.39&CDS=1-10449
619	OG0000619	YPR118W	snap_masked-flattened_line_0-processed-gene-14.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.118&CDS=1-1242, snap_masked-flattened_line_0-processed-gene-4.85-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.85&CDS=1-1242
620	OG0000620	YPR119W	snap_masked-flattened_line_0-processed-gene-14.119-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.119&CDS=1-1458, snap_masked-flattened_line_0-processed-gene-4.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.84&CDS=1-1458
621	OG0000621	YPR120C	snap_masked-flattened_line_0-processed-gene-14.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.134&CDS=1-1230, snap_masked-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.58&CDS=1-1230
622	OG0000622	YPR122W	augustus_masked-flattened_line_0-processed-gene-15.49-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-15.49&CDS=1-7377, augustus_masked-flattened_line_0-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.33&CDS=1-7377
623	OG0000623	YPR125W	snap_masked-flattened_line_0-processed-gene-15.95-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.95&CDS=1-1287, snap_masked-flattened_line_0-processed-gene-4.75-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.75&CDS=1-1287
624	OG0000624	YPR127W	snap_masked-flattened_line_0-processed-gene-15.96-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.96&CDS=1-1047, snap_masked-flattened_line_0-processed-gene-4.74-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.74&CDS=1-1047
625	OG0000625	YPR128C	snap_masked-flattened_line_0-processed-gene-15.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.114&CDS=1-948, snap_masked-flattened_line_0-processed-gene-4.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.57&CDS=1-948
626	OG0000626	YPR129W	snap_masked-flattened_line_0-processed-gene-15.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.97&CDS=1-942, snap_masked-flattened_line_0-processed-gene-4.73-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.73&CDS=1-942
627	OG0000627	YPR131C	snap_masked-flattened_line_0-processed-gene-15.115-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.115&CDS=1-582, snap_masked-flattened_line_0-processed-gene-4.56-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.56&CDS=1-582
628	OG0000628	YPR133C	snap_masked-flattened_line_0-processed-gene-15.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.117&CDS=1-1071, snap_masked-flattened_line_0-processed-gene-4.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.54&CDS=1-1071
629	OG0000629	YPR134W	snap_masked-flattened_line_0-processed-gene-15.99-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.99&CDS=1-813, snap_masked-flattened_line_0-processed-gene-4.71-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.71&CDS=1-813
630	OG0000630	YPR135W	snap_masked-flattened_line_0-processed-gene-15.100-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.100&CDS=1-2760, snap_masked-flattened_line_0-processed-gene-4.70-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.70&CDS=1-2760
631	OG0000631	YPR137W	snap_masked-flattened_line_0-processed-gene-15.101-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.101&CDS=1-1716, snap_masked-flattened_line_0-processed-gene-4.69-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.69&CDS=1-1716
