	OrthologID	Metschnikowia_similis	Saccharomyces_cerevisiae
284	OG0000284	augustus_masked-sim-_s360-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-0.67&CDS=1-861	YDR272W, YOR040W
285	OG0000285	augustus_masked-sim-_s360-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-0.78&CDS=1-1962	YER064C, YIL056W
286	OG0000286	augustus_masked-sim-_s360-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.51&CDS=1-2097	YBR001C, YDR001C
287	OG0000287	augustus_masked-sim-_s360-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.57&CDS=1-4239, augustus_masked-sim-_s376-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-sim-_s376-processed-gene-0.65&CDS=1-4737	YGR281W
288	OG0000288	snap_masked-sim-_s360-processed-gene-1.129-mRNA-1_1&gene=snap_masked-sim-_s360-processed-gene-1.129&CDS=1-2967	YJL105W, YKR029C
289	OG0000289	augustus_masked-sim-_s360-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.79&CDS=1-2574	YJL082W, YKR018C
290	OG0000290	augustus_masked-sim-_s360-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.60&CDS=1-912	YJL079C, YKR013W
291	OG0000291	augustus_masked-sim-_s360-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.81&CDS=1-1017	YBR031W, YDR012W
292	OG0000292	augustus_masked-sim-_s360-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.69&CDS=1-1854	YBR241C, YGL104C
293	OG0000293	genemark-sim-_s360-processed-gene-1.45-mRNA-1_1&gene=genemark-sim-_s360-processed-gene-1.45&CDS=1-447	YIL111W, YNL052W
294	OG0000294	augustus_masked-sim-_s360-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.75&CDS=1-1401	YER081W, YIL074C
295	OG0000295	augustus_masked-sim-_s368-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-sim-_s368-processed-gene-0.47&CDS=1-792	YER037W, YGL224C
296	OG0000296	augustus_masked-sim-_s368-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-sim-_s368-processed-gene-0.48&CDS=1-339	YER056C-A, YIL052C
297	OG0000297	augustus_masked-sim-_s37-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s37-processed-gene-0.78&CDS=1-1911, snap_masked-sim-_s4-processed-gene-0.46-mRNA-1_1&gene=snap_masked-sim-_s4-processed-gene-0.46&CDS=1-537	YIL144W
298	OG0000298	augustus_masked-sim-_s37-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-sim-_s37-processed-gene-0.69&CDS=1-3015	YBR049C, YDR026C
299	OG0000299	maker-sim-_s376-snap-gene-0.46-mRNA-1_1&gene=maker-sim-_s376-snap-gene-0.46&CDS=1-2091	YEL039C, YJR048W
300	OG0000300	augustus_masked-sim-_s376-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-sim-_s376-processed-gene-0.64&CDS=1-990	YCR073W-A, YNR034W
301	OG0000301	augustus_masked-sim-_s383-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-sim-_s383-processed-gene-0.110&CDS=1-735	YDR151C, YLR136C
302	OG0000302	maker-sim-_s383-augustus-gene-0.158-mRNA-1_1&gene=maker-sim-_s383-augustus-gene-0.158&CDS=1-696	YMR233W, YOR295W
303	OG0000303	augustus_masked-sim-_s387-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s387-processed-gene-0.21&CDS=1-516	YGR085C, YPR102C
304	OG0000304	augustus_masked-sim-_s387-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s387-processed-gene-0.9&CDS=1-819	YDL049C, YJL174W
305	OG0000305	augustus_masked-sim-_s387-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s387-processed-gene-0.15&CDS=1-312	YGR027C, YLR333C
306	OG0000306	genemark-sim-_s387-processed-gene-0.110-mRNA-1_1&gene=genemark-sim-_s387-processed-gene-0.110&CDS=1-1749	YHR131C, YNL144C
307	OG0000307	augustus_masked-sim-_s480-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s480-processed-gene-0.2&CDS=1-864, genemark-sim-_s392-processed-gene-0.107-mRNA-1_1&gene=genemark-sim-_s392-processed-gene-0.107&CDS=1-864	YNL202W
308	OG0000308	maker-sim-_s392-augustus-gene-0.82-mRNA-1_1&gene=maker-sim-_s392-augustus-gene-0.82&CDS=1-381	YGR034W, YLR344W
309	OG0000309	augustus_masked-sim-_s394-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s394-processed-gene-0.33&CDS=1-3150	YML100W, YMR261C
310	OG0000310	augustus_masked-sim-_s394-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s394-processed-gene-0.15&CDS=1-360	YFL034C-A, YLR061W
311	OG0000311	genemark-sim-_s394-processed-gene-0.136-mRNA-1_1&gene=genemark-sim-_s394-processed-gene-0.136&CDS=1-1020	YAL034C, YOR338W
312	OG0000312	augustus_masked-sim-_s394-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s394-processed-gene-0.21&CDS=1-1041, snap_masked-sim-_s406-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sim-_s406-processed-gene-0.0&CDS=1-567	YNR015W
313	OG0000313	augustus_masked-sim-_s72-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-sim-_s72-processed-gene-0.109&CDS=1-630, snap_masked-sim-_s395-processed-gene-0.27-mRNA-1_1&gene=snap_masked-sim-_s395-processed-gene-0.27&CDS=1-180	YMR028W
314	OG0000314	genemark-sim-_s398-processed-gene-0.8-mRNA-1_1&gene=genemark-sim-_s398-processed-gene-0.8&CDS=1-3423	YIL156W, YKR098C
315	OG0000315	augustus_masked-sim-_s4-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s4-processed-gene-0.81&CDS=1-1641	YMR199W, YPL256C
316	OG0000316	augustus_masked-sim-_s4-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-sim-_s4-processed-gene-0.90&CDS=1-2217, augustus_masked-sim-_s495-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-sim-_s495-processed-gene-0.111&CDS=1-2166	YER015W
317	OG0000317	augustus_masked-sim-_s4-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-sim-_s4-processed-gene-0.73&CDS=1-360	YGR243W, YHR162W
318	OG0000318	augustus_masked-sim-_s405-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s405-processed-gene-0.33&CDS=1-267	YGR008C, YLR327C
319	OG0000319	genemark-sim-_s412-processed-gene-0.35-mRNA-1_1&gene=genemark-sim-_s412-processed-gene-0.35&CDS=1-2022	YGR241C, YHR161C
320	OG0000320	snap_masked-sim-_s412-processed-gene-0.149-mRNA-1_1&gene=snap_masked-sim-_s412-processed-gene-0.149&CDS=1-762	YFR031C-A, YIL018W
321	OG0000321	snap_masked-sim-_s412-processed-gene-0.150-mRNA-1_1&gene=snap_masked-sim-_s412-processed-gene-0.150&CDS=1-885	YHL034C, YLL046C
322	OG0000322	augustus_masked-sim-_s412-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-sim-_s412-processed-gene-0.77&CDS=1-1383	YGL257C, YNR059W
323	OG0000323	snap_masked-sim-_s413-processed-gene-0.32-mRNA-1_1&gene=snap_masked-sim-_s413-processed-gene-0.32&CDS=1-2034	YDR505C, YLR177W
324	OG0000324	maker-sim-_s413-augustus-gene-0.16-mRNA-1_1&gene=maker-sim-_s413-augustus-gene-0.16&CDS=1-618	YLR287C-A, YOR182C
325	OG0000325	augustus_masked-sim-_s414-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s414-processed-gene-0.9&CDS=1-2145	YFL050C, YOL130W
326	OG0000326	augustus_masked-sim-_s419-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s419-processed-gene-0.6&CDS=1-249	YDR500C, YLR185W
327	OG0000327	genemark-sim-_s426-processed-gene-0.14-mRNA-1_1&gene=genemark-sim-_s426-processed-gene-0.14&CDS=1-1893	YMR008C, YOL011W
328	OG0000328	augustus_masked-sim-_s439-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s439-processed-gene-0.4&CDS=1-903	YBR105C, YGR066C
329	OG0000329	maker-sim-_s440-augustus-gene-0.18-mRNA-1_1&gene=maker-sim-_s440-augustus-gene-0.18&CDS=1-1299	YNL108C, YOR110W
330	OG0000330	genemark-sim-_s6-processed-gene-1.39-mRNA-1_1&gene=genemark-sim-_s6-processed-gene-1.39&CDS=1-4359, snap_masked-sim-_s447-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sim-_s447-processed-gene-0.12&CDS=1-354	YGR098C
331	OG0000331	augustus_masked-sim-_s451-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s451-processed-gene-0.16&CDS=1-1146	YML118W, YMR285C
332	OG0000332	augustus_masked-sim-_s46-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-sim-_s46-processed-gene-0.81&CDS=1-2346	YBR015C, YJL186W
333	OG0000333	augustus_masked-sim-_s46-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-sim-_s46-processed-gene-0.113&CDS=1-369	YMR230W, YOR293W
334	OG0000334	augustus_masked-sim-_s46-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-sim-_s46-processed-gene-0.124&CDS=1-2670	YLR031W, YMR124W
335	OG0000335	augustus_masked-sim-_s461-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s461-processed-gene-0.1&CDS=1-1356, augustus_masked-sim-_s492-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s492-processed-gene-0.26&CDS=1-1350	YAL040C
336	OG0000336	augustus_masked-sim-_s465-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-0.52&CDS=1-3711	YGL133W, YPL216W
337	OG0000337	augustus_masked-sim-_s465-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-0.43&CDS=1-1242	YNL283C, YOL105C
338	OG0000338	snap_masked-sim-_s465-processed-gene-0.77-mRNA-1_1&gene=snap_masked-sim-_s465-processed-gene-0.77&CDS=1-411	YBL087C, YER117W
339	OG0000339	augustus_masked-sim-_s465-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-0.57&CDS=1-2400	YIL105C, YNL047C
340	OG0000340	augustus_masked-sim-_s465-processed-gene-1.7-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.7&CDS=1-822	YDL127W, YDL179W
341	OG0000341	maker-sim-_s465-snap-gene-1.105-mRNA-1_1&gene=maker-sim-_s465-snap-gene-1.105&CDS=1-3666	YGR143W, YPR159W
342	OG0000342	augustus_masked-sim-_s465-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.34&CDS=1-507	YGR131W, YPR149W
343	OG0000343	augustus_masked-sim-_s465-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.36&CDS=1-2193	YDL138W, YDL194W
344	OG0000344	augustus_masked-sim-_s465-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.14&CDS=1-543	YDL137W, YDL192W
345	OG0000345	augustus_masked-sim-_s465-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.15&CDS=1-360	YDL136W, YDL191W
346	OG0000346	augustus_masked-sim-_s465-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.39&CDS=1-912	YGR136W, YPR154W
347	OG0000347	augustus_masked-sim-_s465-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.24&CDS=1-2442	YBR294W, YLR092W
348	OG0000348	genemark-sim-_s465-processed-gene-1.151-mRNA-1_1&gene=genemark-sim-_s465-processed-gene-1.151&CDS=1-1188	YJL138C, YKR059W
349	OG0000349	augustus_masked-sim-_s466-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s466-processed-gene-0.8&CDS=1-507	YJL177W, YKL180W
350	OG0000350	augustus_masked-sim-_s466-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-sim-_s466-processed-gene-0.26&CDS=1-1350	YJL139C, YKR061W
351	OG0000351	augustus_masked-sim-_s47-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_s47-processed-gene-0.4&CDS=1-2316	YGL139W, YPL221W
352	OG0000352	snap_masked-sim-_s470-processed-gene-0.35-mRNA-1_1&gene=snap_masked-sim-_s470-processed-gene-0.35&CDS=1-1305	YCL011C, YNL004W
353	OG0000353	augustus_masked-sim-_s476-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.103&CDS=1-2202	YJR059W, YKL198C
354	OG0000354	augustus_masked-sim-_s476-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.111&CDS=1-1338	YIL123W, YNL066W
355	OG0000355	augustus_masked-sim-_s477-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.79&CDS=1-1662	YHR115C, YNL116W
356	OG0000356	augustus_masked-sim-_s477-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.88&CDS=1-273	YER019C-A, YER087C-B
357	OG0000357	genemark-sim-_s477-processed-gene-0.111-mRNA-1_1&gene=genemark-sim-_s477-processed-gene-0.111&CDS=1-1539	YBL056W, YER089C
358	OG0000358	snap_masked-sim-_s48-processed-gene-0.52-mRNA-1_1&gene=snap_masked-sim-_s48-processed-gene-0.52&CDS=1-933, snap_masked-sim-_s6-processed-gene-0.46-mRNA-1_1&gene=snap_masked-sim-_s6-processed-gene-0.46&CDS=1-300	YDR428C
359	OG0000359	augustus_masked-sim-_s48-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.87&CDS=1-2472	YKL121W, YMR102C
360	OG0000360	augustus_masked-sim-_s482-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-sim-_s482-processed-gene-0.47&CDS=1-3924	YLL016W, YLR310C
361	OG0000361	genemark-sim-_s482-processed-gene-0.77-mRNA-1_1&gene=genemark-sim-_s482-processed-gene-0.77&CDS=1-4440	YEL022W, YJR031C
362	OG0000362	augustus_masked-sim-_s484-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.10&CDS=1-2394	YIL095W, YNL020C
363	OG0000363	augustus_masked-sim-_s484-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s484-processed-gene-0.12&CDS=1-1755	YBR021W, YIR028W
364	OG0000364	maker-sim-_s487-snap-gene-0.85-mRNA-1_1&gene=maker-sim-_s487-snap-gene-0.85&CDS=1-2340	YDL085W, YMR145C
365	OG0000365	augustus_masked-sim-_s487-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.108&CDS=1-1476	YGR256W, YHR183W
366	OG0000366	augustus_masked-sim-_s91-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-sim-_s91-processed-gene-0.52&CDS=1-2013, snap_masked-sim-_s487-processed-gene-0.47-mRNA-1_1&gene=snap_masked-sim-_s487-processed-gene-0.47&CDS=1-345	YLR141W
367	OG0000367	augustus_masked-sim-_s487-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.96&CDS=1-573	YGL147C, YNL067W
368	OG0000368	augustus_masked-sim-_s49-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-sim-_s49-processed-gene-0.27&CDS=1-1266	YDR451C, YML027W
369	OG0000369	augustus_masked-sim-_s491-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-sim-_s491-processed-gene-0.69&CDS=1-1044	YMR303C, YOL086C
370	OG0000370	genemark-sim-_s491-processed-gene-0.4-mRNA-1_1&gene=genemark-sim-_s491-processed-gene-0.4&CDS=1-1998	YDL109C, YGL144C
371	OG0000371	genemark-sim-_s494-processed-gene-0.42-mRNA-1_1&gene=genemark-sim-_s494-processed-gene-0.42&CDS=1-2859	YKL072W, YMR053C
372	OG0000372	augustus_masked-sim-_s494-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s494-processed-gene-0.14&CDS=1-1887	YDR353W, YHR106W
373	OG0000373	snap_masked-sim-_s495-processed-gene-0.139-mRNA-1_1&gene=snap_masked-sim-_s495-processed-gene-0.139&CDS=1-2490	YDR385W, YOR133W
374	OG0000374	snap_masked-sim-_s495-processed-gene-0.149-mRNA-1_1&gene=snap_masked-sim-_s495-processed-gene-0.149&CDS=1-2022	YFR013W, YOL017W
375	OG0000375	augustus_masked-sim-_s495-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-sim-_s495-processed-gene-0.89&CDS=1-1731	YCR048W, YNR019W
376	OG0000376	augustus_masked-sim-_s495-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-sim-_s495-processed-gene-0.124&CDS=1-894	YBR104W, YPR058W
377	OG0000377	augustus_masked-sim-_s496-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-sim-_s496-processed-gene-0.101&CDS=1-990	YKR076W, YMR251W
378	OG0000378	snap_masked-sim-_s496-processed-gene-0.47-mRNA-1_1&gene=snap_masked-sim-_s496-processed-gene-0.47&CDS=1-2502	YBR172C, YPL105C
379	OG0000379	augustus_masked-sim-_s496-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-sim-_s496-processed-gene-0.115&CDS=1-2814	YCR037C, YJL198W
380	OG0000380	augustus_masked-sim-_s53-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-sim-_s53-processed-gene-0.37&CDS=1-4806	YBR210W, YGL054C
381	OG0000381	augustus_masked-sim-_s6-processed-gene-1.200-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.200&CDS=1-1911	YDR107C, YLR083C
382	OG0000382	snap_masked-sim-_s6-processed-gene-1.143-mRNA-1_1&gene=snap_masked-sim-_s6-processed-gene-1.143&CDS=1-2517	YBR033W, YKL038W
383	OG0000383	augustus_masked-sim-_s6-processed-gene-1.202-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.202&CDS=1-1263	YDR132C, YLR108C
384	OG0000384	augustus_masked-sim-_s6-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.206&CDS=1-1482	YDR463W, YHR006W
385	OG0000385	augustus_masked-sim-_s6-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.251&CDS=1-582	YBL027W, YBR084C-A
386	OG0000386	snap_masked-sim-_s6-processed-gene-1.125-mRNA-1_1&gene=snap_masked-sim-_s6-processed-gene-1.125&CDS=1-7596	YBR140C, YOL081W
387	OG0000387	genemark-sim-_s62-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_s62-processed-gene-0.1&CDS=1-2364	YDR264C, YOR034C
388	OG0000388	augustus_masked-sim-_s62-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-sim-_s62-processed-gene-0.56&CDS=1-708	YDR098C, YER174C
389	OG0000389	snap_masked-sim-_s62-processed-gene-0.133-mRNA-1_1&gene=snap_masked-sim-_s62-processed-gene-0.133&CDS=1-1788	YJL083W, YKR019C
390	OG0000390	augustus_masked-sim-_s62-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-sim-_s62-processed-gene-0.85&CDS=1-753, genemark-sim-_s62-processed-gene-0.14-mRNA-1_1&gene=genemark-sim-_s62-processed-gene-0.14&CDS=1-696	YIR038C
391	OG0000391	augustus_masked-sim-_s72-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-sim-_s72-processed-gene-0.107&CDS=1-267	YBR089C-A, YPR052C
392	OG0000392	snap_masked-sim-_s72-processed-gene-0.59-mRNA-1_1&gene=snap_masked-sim-_s72-processed-gene-0.59&CDS=1-516	YMR242C, YOR312C
393	OG0000393	maker-sim-_s77-snap-gene-0.58-mRNA-1_1&gene=maker-sim-_s77-snap-gene-0.58&CDS=1-1440	YHR146W, YNL173C
394	OG0000394	augustus_masked-sim-_s81-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s81-processed-gene-0.2&CDS=1-528	YGR273C, YMR295C
395	OG0000395	augustus_masked-sim-_s86-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-sim-_s86-processed-gene-0.15&CDS=1-759	YER062C, YIL053W
396	OG0000396	maker-sim-_s91-augustus-gene-0.4-mRNA-1_1&gene=maker-sim-_s91-augustus-gene-0.4&CDS=1-3714	YDR165W, YLR114C
397	OG0000397	snap_masked-sim-_s91-processed-gene-0.123-mRNA-1_1&gene=snap_masked-sim-_s91-processed-gene-0.123&CDS=1-2559	YDR458C, YML034W
398	OG0000398	augustus_masked-sim-_s98-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s98-processed-gene-0.7&CDS=1-3192	YBL106C, YPR032W
399	OG0000399	augustus_masked-sim-_s98-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-sim-_s98-processed-gene-0.14&CDS=1-1113	YDL048C, YLR375W
400	OG0000400	snap_masked-sim-_s98-processed-gene-0.34-mRNA-1_1&gene=snap_masked-sim-_s98-processed-gene-0.34&CDS=1-3525	YGR070W, YLR371W
401	OG0000401	snap_masked-sim-_s99-processed-gene-0.26-mRNA-1_1&gene=snap_masked-sim-_s99-processed-gene-0.26&CDS=1-3924	YHR155W, YNL257C
402	OG0000402	genemark-sim-_C24421-processed-gene-0.2-mRNA-1_1&gene=genemark-sim-_C24421-processed-gene-0.2&CDS=1-837	YBR249C
403	OG0000403	augustus_masked-sim-_C24741-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_C24741-processed-gene-0.3&CDS=1-306	YJR060W
404	OG0000404	maker-sim-_C25275-snap-gene-0.0-mRNA-1_1&gene=maker-sim-_C25275-snap-gene-0.0&CDS=1-1671	Q0050
405	OG0000405	augustus_masked-sim-_C25771-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_C25771-processed-gene-0.2&CDS=1-1056	YBR265W
406	OG0000406	augustus_masked-sim-_C26657-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_C26657-processed-gene-0.8&CDS=1-711	YOR198C
407	OG0000407	snap_masked-sim-_C26657-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sim-_C26657-processed-gene-0.2&CDS=1-846	YPL117C
408	OG0000408	augustus_masked-sim-_C26657-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_C26657-processed-gene-0.7&CDS=1-3183	YOR196C
409	OG0000409	snap_masked-sim-_C26657-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_C26657-processed-gene-0.5&CDS=1-2052	YPL115C
410	OG0000410	augustus_masked-sim-_C26679-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-sim-_C26679-processed-gene-0.3&CDS=1-1011	YMR276W
411	OG0000411	augustus_masked-sim-_C26679-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_C26679-processed-gene-0.4&CDS=1-1905	YML114C
412	OG0000412	augustus_masked-sim-_C26679-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_C26679-processed-gene-0.5&CDS=1-831	YMR277W
413	OG0000413	augustus_masked-sim-_C26685-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_C26685-processed-gene-0.1&CDS=1-1041	YGL159W
414	OG0000414	snap_masked-sim-_C26685-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sim-_C26685-processed-gene-0.6&CDS=1-1761	YDR481C
415	OG0000415	augustus_masked-sim-_C26781-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_C26781-processed-gene-0.8&CDS=1-1017	YBR065C
416	OG0000416	augustus_masked-sim-_C26781-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_C26781-processed-gene-0.9&CDS=1-4095	YMR259C
417	OG0000417	snap_masked-sim-_C26781-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_C26781-processed-gene-0.4&CDS=1-2658	YBR073W
418	OG0000418	augustus_masked-sim-_C26799-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_C26799-processed-gene-0.6&CDS=1-1512	YAL038W
419	OG0000419	augustus_masked-sim-_C26799-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_C26799-processed-gene-0.7&CDS=1-960	YML110C
420	OG0000420	snap_masked-sim-_C27073-processed-gene-0.0-mRNA-1_1&gene=snap_masked-sim-_C27073-processed-gene-0.0&CDS=1-3573	YJL059W
421	OG0000421	augustus_masked-sim-_C27073-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_C27073-processed-gene-0.9&CDS=1-657	YDR280W
422	OG0000422	snap_masked-sim-_C27073-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_C27073-processed-gene-0.4&CDS=1-606	YDR279W
423	OG0000423	augustus_masked-sim-_C27153-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_C27153-processed-gene-0.6&CDS=1-1650	YIL166C
424	OG0000424	augustus_masked-sim-_C27153-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_C27153-processed-gene-0.9&CDS=1-1425	YBR180W
425	OG0000425	augustus_masked-sim-_C27153-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_C27153-processed-gene-0.10&CDS=1-1431	YDR402C
426	OG0000426	augustus_masked-sim-_C27211-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_C27211-processed-gene-0.10&CDS=1-2784	YNL313C
427	OG0000427	genemark-sim-_C27211-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_C27211-processed-gene-0.1&CDS=1-303	YDR045C
428	OG0000428	augustus_masked-sim-_C27211-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_C27211-processed-gene-0.13&CDS=1-2532	YBR070C
429	OG0000429	snap_masked-sim-_C27237-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_C27237-processed-gene-0.5&CDS=1-798	YOL142W
430	OG0000430	snap_masked-sim-_C27237-processed-gene-0.6-mRNA-1_1&gene=snap_masked-sim-_C27237-processed-gene-0.6&CDS=1-2001	YOL141W
431	OG0000431	augustus_masked-sim-_C27237-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_C27237-processed-gene-0.13&CDS=1-2022	YIL046W
432	OG0000432	augustus_masked-sim-_C27237-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_C27237-processed-gene-0.12&CDS=1-1440	YGR211W
433	OG0000433	augustus_masked-sim-_C27411-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_C27411-processed-gene-0.8&CDS=1-264	YGL220W
434	OG0000434	snap_masked-sim-_C27411-processed-gene-0.2-mRNA-1_1&gene=snap_masked-sim-_C27411-processed-gene-0.2&CDS=1-3702	YDL240W
435	OG0000435	augustus_masked-sim-_C27411-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_C27411-processed-gene-0.10&CDS=1-675	YNL038W
436	OG0000436	maker-sim-_C27411-augustus-gene-0.18-mRNA-1_1&gene=maker-sim-_C27411-augustus-gene-0.18&CDS=1-2049	YNL039W
437	OG0000437	augustus_masked-sim-_C27411-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_C27411-processed-gene-0.7&CDS=1-1167	YNL035C
