	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034979_Cyberlindnera_misumaiensis
888	OG0000888	YDL185W	maker-flattened_line_28-snap-gene-0.184-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.184&CDS=1-4260
889	OG0000889	YDL189W	snap_masked-flattened_line_6-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.77&CDS=1-1029
890	OG0000890	YDL190C	snap_masked-flattened_line_6-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.56&CDS=1-3048
891	OG0000891	YDL193W	snap_masked-flattened_line_6-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.80&CDS=1-927
892	OG0000892	YDL195W	snap_masked-flattened_line_28-processed-gene-0.263-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.263&CDS=1-3645
893	OG0000893	YDL198C	snap_masked-flattened_line_113-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.84&CDS=1-903
894	OG0000894	YDL201W	snap_masked-flattened_line_51-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.103&CDS=1-834
895	OG0000895	YDL202W	snap_masked-flattened_line_113-processed-gene-0.105-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.105&CDS=1-714
896	OG0000896	YDL203C	snap_masked-flattened_line_49-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.153&CDS=1-1485
897	OG0000897	YDL205C	snap_masked-flattened_line_81-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.30&CDS=1-1197
898	OG0000898	YDL207W	snap_masked-flattened_line_91-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.92&CDS=1-1701
899	OG0000899	YDL208W	snap_masked-flattened_line_91-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.84&CDS=1-459
900	OG0000900	YDL209C	snap_masked-flattened_line_81-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.29&CDS=1-885
901	OG0000901	YDL212W	maker-flattened_line_41-snap-gene-0.85-mRNA-1_1&gene=maker-flattened_line_41-snap-gene-0.85&CDS=1-687
902	OG0000902	YDL213C	snap_masked-flattened_line_41-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.19&CDS=1-648
903	OG0000903	YDL215C	snap_masked-flattened_line_32-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.82&CDS=1-3036
904	OG0000904	YDL216C	snap_masked-flattened_line_32-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.60&CDS=1-1467
905	OG0000905	YDL219W	maker-flattened_line_0-snap-gene-6.115-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.115&CDS=1-453
906	OG0000906	YDL225W	snap_masked-flattened_line_26-processed-gene-0.146-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.146&CDS=1-1413
907	OG0000907	YDL226C	snap_masked-flattened_line_26-processed-gene-0.188-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.188&CDS=1-1041
908	OG0000908	YDL230W	snap_masked-flattened_line_39-processed-gene-0.189-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.189&CDS=1-903
909	OG0000909	YDL231C	snap_masked-flattened_line_71-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.102&CDS=1-3060
910	OG0000910	YDL233W	augustus_masked-flattened_line_16-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.75&CDS=1-1752
911	OG0000911	YDL234C	maker-flattened_line_16-augustus-gene-0.111-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-0.111&CDS=1-2916
912	OG0000912	YDL235C	snap_masked-flattened_line_16-processed-gene-1.185-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.185&CDS=1-387
913	OG0000913	YDL236W	snap_masked-flattened_line_16-processed-gene-1.142-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.142&CDS=1-894
914	OG0000914	YDL238C	snap_masked-flattened_line_16-processed-gene-1.181-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.181&CDS=1-1392
915	OG0000915	YDL240W	snap_masked-flattened_line_10-processed-gene-2.229-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.229&CDS=1-3645
916	OG0000916	YDR001C	snap_masked-flattened_line_4-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.91&CDS=1-2301
917	OG0000917	YDR002W	snap_masked-flattened_line_4-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.115&CDS=1-609
918	OG0000918	YDR004W	augustus_masked-flattened_line_26-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.34&CDS=1-924
919	OG0000919	YDR005C	snap_masked-flattened_line_26-processed-gene-0.195-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.195&CDS=1-840
920	OG0000920	YDR006C	snap_masked-flattened_line_4-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.108&CDS=1-1929
921	OG0000921	YDR007W	snap_masked-flattened_line_155-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_155-processed-gene-0.11&CDS=1-690
922	OG0000922	YDR013W	snap_masked-flattened_line_2-processed-gene-3.123-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.123&CDS=1-546
923	OG0000923	YDR016C	snap_masked-flattened_line_2-processed-gene-3.91-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.91&CDS=1-276
924	OG0000924	YDR017C	snap_masked-flattened_line_53-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.53&CDS=1-2412
925	OG0000925	YDR019C	snap_masked-flattened_line_8-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.105&CDS=1-1161
926	OG0000926	YDR020C	maker-flattened_line_4-snap-gene-4.213-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.213&CDS=1-600
927	OG0000927	YDR021W	snap_masked-flattened_line_4-processed-gene-4.186-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.186&CDS=1-1188
928	OG0000928	YDR023W	snap_masked-flattened_line_22-processed-gene-0.183-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.183&CDS=1-1380
929	OG0000929	YDR026C	snap_masked-flattened_line_30-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.136&CDS=1-1608
930	OG0000930	YDR027C	snap_masked-flattened_line_30-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.135&CDS=1-2292
931	OG0000931	YDR031W	maker-flattened_line_34-snap-gene-0.20-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.20&CDS=1-330
932	OG0000932	YDR032C	snap_masked-flattened_line_34-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.96&CDS=1-600
933	OG0000933	YDR034C	snap_masked-flattened_line_4-processed-gene-3.133-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.133&CDS=1-1755
934	OG0000934	YDR036C	augustus_masked-flattened_line_2-processed-gene-4.298-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.298&CDS=1-1386
935	OG0000935	YDR041W	snap_masked-flattened_line_0-processed-gene-6.18-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.18&CDS=1-687
936	OG0000936	YDR043C	snap_masked-flattened_line_26-processed-gene-0.191-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.191&CDS=1-540
937	OG0000937	YDR044W	snap_masked-flattened_line_2-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.90&CDS=1-939
938	OG0000938	YDR045C	maker-flattened_line_2-snap-gene-4.141-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-4.141&CDS=1-333
939	OG0000939	YDR047W	maker-flattened_line_2-augustus-gene-4.123-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-4.123&CDS=1-2262
940	OG0000940	YDR049W	snap_masked-flattened_line_2-processed-gene-4.94-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.94&CDS=1-1764
941	OG0000941	YDR050C	snap_masked-flattened_line_26-processed-gene-0.149-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.149&CDS=1-747
942	OG0000942	YDR051C	augustus_masked-flattened_line_26-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.29&CDS=1-1668
943	OG0000943	YDR052C	snap_masked-flattened_line_0-processed-gene-4.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.54&CDS=1-1272
944	OG0000944	YDR054C	snap_masked-flattened_line_55-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-0.80&CDS=1-714
945	OG0000945	YDR057W	augustus_masked-flattened_line_8-processed-gene-1.169-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.169&CDS=1-1137
946	OG0000946	YDR059C	maker-flattened_line_99-snap-gene-0.69-mRNA-1_1&gene=maker-flattened_line_99-snap-gene-0.69&CDS=1-441
947	OG0000947	YDR060W	snap_masked-flattened_line_99-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_99-processed-gene-0.36&CDS=1-3327
948	OG0000948	YDR061W	snap_masked-flattened_line_24-processed-gene-0.222-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.222&CDS=1-1482
949	OG0000949	YDR062W	snap_masked-flattened_line_4-processed-gene-3.130-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.130&CDS=1-1680
950	OG0000950	YDR064W	genemark-flattened_line_24-processed-gene-0.174-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.174&CDS=1-1803
951	OG0000951	YDR067C	snap_masked-flattened_line_51-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.117&CDS=1-621
952	OG0000952	YDR068W	snap_masked-flattened_line_51-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.84&CDS=1-1050
953	OG0000953	YDR071C	snap_masked-flattened_line_51-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.115&CDS=1-687
954	OG0000954	YDR072C	snap_masked-flattened_line_89-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_89-processed-gene-0.39&CDS=1-1170
955	OG0000955	YDR074W	snap_masked-flattened_line_24-processed-gene-0.296-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.296&CDS=1-2562
956	OG0000956	YDR075W	snap_masked-flattened_line_24-processed-gene-0.241-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.241&CDS=1-918
957	OG0000957	YDR076W	augustus_masked-flattened_line_24-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.78&CDS=1-1320
958	OG0000958	YDR079C-A	augustus_masked-flattened_line_0-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.130&CDS=1-741
959	OG0000959	YDR079W	maker-flattened_line_0-snap-gene-1.111-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-1.111&CDS=1-312
960	OG0000960	YDR080W	snap_masked-flattened_line_28-processed-gene-0.269-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.269&CDS=1-2676
961	OG0000961	YDR081C	snap_masked-flattened_line_0-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.53&CDS=1-1875
962	OG0000962	YDR083W	snap_masked-flattened_line_0-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.86&CDS=1-1107
963	OG0000963	YDR086C	maker-flattened_line_20-snap-gene-0.210-mRNA-1_1&gene=maker-flattened_line_20-snap-gene-0.210&CDS=1-204
964	OG0000964	YDR087C	maker-flattened_line_20-augustus-gene-0.187-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.187&CDS=1-801
965	OG0000965	YDR088C	snap_masked-flattened_line_20-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.121&CDS=1-1047
966	OG0000966	YDR089W	snap_masked-flattened_line_20-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.122&CDS=1-2277
967	OG0000967	YDR090C	snap_masked-flattened_line_20-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.118&CDS=1-804
968	OG0000968	YDR091C	snap_masked-flattened_line_20-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.143&CDS=1-1818
969	OG0000969	YDR092W	genemark-flattened_line_67-processed-gene-0.154-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.154&CDS=1-450
970	OG0000970	YDR097C	snap_masked-flattened_line_69-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.25&CDS=1-3423
971	OG0000971	YDR100W	maker-flattened_line_111-snap-gene-0.115-mRNA-1_1&gene=maker-flattened_line_111-snap-gene-0.115&CDS=1-399
972	OG0000972	YDR101C	snap_masked-flattened_line_111-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.82&CDS=1-1773
973	OG0000973	YDR104C	augustus_masked-flattened_line_111-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_111-processed-gene-0.27&CDS=1-6201
974	OG0000974	YDR105C	augustus_masked-flattened_line_0-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.11&CDS=1-1392
975	OG0000975	YDR108W	snap_masked-flattened_line_0-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.77&CDS=1-1887
976	OG0000976	YDR109C	maker-flattened_line_0-augustus-gene-0.54-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.54&CDS=1-3798
977	OG0000977	YDR115W	augustus_masked-flattened_line_79-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.37&CDS=1-312
978	OG0000978	YDR116C	snap_masked-flattened_line_79-processed-gene-0.140-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.140&CDS=1-822
979	OG0000979	YDR117C	snap_masked-flattened_line_79-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.116&CDS=1-1689
980	OG0000980	YDR118W	augustus_masked-flattened_line_79-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_79-processed-gene-0.35&CDS=1-1845
981	OG0000981	YDR120C	snap_masked-flattened_line_32-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.66&CDS=1-1497
982	OG0000982	YDR121W	augustus_masked-flattened_line_8-processed-gene-2.12-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.12&CDS=1-651
983	OG0000983	YDR124W	augustus_masked-flattened_line_147-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.10&CDS=1-771
984	OG0000984	YDR126W	snap_masked-flattened_line_32-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.28&CDS=1-471
985	OG0000985	YDR127W	snap_masked-flattened_line_0-processed-gene-6.0-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.0&CDS=1-3867
986	OG0000986	YDR128W	maker-flattened_line_8-augustus-gene-2.156-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-2.156&CDS=1-3618
987	OG0000987	YDR129C	maker-flattened_line_4-snap-gene-4.215-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-4.215&CDS=1-1884
988	OG0000988	YDR137W	snap_masked-flattened_line_24-processed-gene-0.250-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.250&CDS=1-1632
989	OG0000989	YDR138W	snap_masked-flattened_line_10-processed-gene-2.189-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.189&CDS=1-2136
990	OG0000990	YDR140W	snap_masked-flattened_line_49-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.124&CDS=1-639
991	OG0000991	YDR141C	snap_masked-flattened_line_49-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.94&CDS=1-4830
992	OG0000992	YDR142C	snap_masked-flattened_line_49-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-0.92&CDS=1-1029
993	OG0000993	YDR143C	snap_masked-flattened_line_81-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.17&CDS=1-1005
994	OG0000994	YDR145W	snap_masked-flattened_line_20-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.126&CDS=1-1785
995	OG0000995	YDR148C	snap_masked-flattened_line_6-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.40&CDS=1-1302
996	OG0000996	YDR150W	maker-flattened_line_12-augustus-gene-2.93-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.93&CDS=1-8022
997	OG0000997	YDR152W	snap_masked-flattened_line_85-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.108&CDS=1-687
998	OG0000998	YDR153C	snap_masked-flattened_line_85-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.128&CDS=1-846
999	OG0000999	YDR155C	snap_masked-flattened_line_85-processed-gene-0.129-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.129&CDS=1-486
1000	OG0001000	YDR158W	snap_masked-flattened_line_79-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.138&CDS=1-1089
1001	OG0001001	YDR159W	snap_masked-flattened_line_143-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_143-processed-gene-0.47&CDS=1-3549
1002	OG0001002	YDR160W	genemark-flattened_line_69-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.158&CDS=1-2088
1003	OG0001003	YDR161W	snap_masked-flattened_line_85-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.127&CDS=1-1011
1004	OG0001004	YDR162C	snap_masked-flattened_line_85-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.107&CDS=1-498
1005	OG0001005	YDR164C	snap_masked-flattened_line_24-processed-gene-0.253-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.253&CDS=1-2097
1006	OG0001006	YDR165W	snap_masked-flattened_line_85-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.124&CDS=1-1263
1007	OG0001007	YDR166C	snap_masked-flattened_line_0-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.82&CDS=1-2655
1008	OG0001008	YDR167W	maker-flattened_line_0-snap-gene-0.46-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.46&CDS=1-525
1009	OG0001009	YDR168W	snap_masked-flattened_line_0-processed-gene-0.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.103&CDS=1-1494
1010	OG0001010	YDR169C	snap_masked-flattened_line_79-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.119&CDS=1-993
1011	OG0001011	YDR170C	snap_masked-flattened_line_79-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.101&CDS=1-5352
1012	OG0001012	YDR172W	augustus_masked-flattened_line_87-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_87-processed-gene-0.39&CDS=1-2964
1013	OG0001013	YDR173C	snap_masked-flattened_line_87-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.86&CDS=1-948
1014	OG0001014	YDR174W	snap_masked-flattened_line_41-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-0.11&CDS=1-705
1015	OG0001015	YDR175C	snap_masked-flattened_line_10-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.59&CDS=1-870
1016	OG0001016	YDR176W	snap_masked-flattened_line_10-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.58&CDS=1-1788
1017	OG0001017	YDR177W	snap_masked-flattened_line_47-processed-gene-0.135-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.135&CDS=1-639
1018	OG0001018	YDR179W-A	snap_masked-flattened_line_137-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.24&CDS=1-1362
1019	OG0001019	YDR180W	maker-flattened_line_137-augustus-gene-0.46-mRNA-1_1&gene=maker-flattened_line_137-augustus-gene-0.46&CDS=1-4929
1020	OG0001020	YDR181C	snap_masked-flattened_line_137-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.23&CDS=1-867
1021	OG0001021	YDR182W	snap_masked-flattened_line_51-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.89&CDS=1-1386
1022	OG0001022	YDR183W	maker-flattened_line_51-augustus-gene-0.146-mRNA-1_1&gene=maker-flattened_line_51-augustus-gene-0.146&CDS=1-639
1023	OG0001023	YDR188W	snap_masked-flattened_line_24-processed-gene-0.274-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.274&CDS=1-1623
1024	OG0001024	YDR189W	snap_masked-flattened_line_175-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.22&CDS=1-1902
1025	OG0001025	YDR190C	snap_masked-flattened_line_175-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.18&CDS=1-1368
1026	OG0001026	YDR191W	snap_masked-flattened_line_175-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.21&CDS=1-1248
1027	OG0001027	YDR194C	augustus_masked-flattened_line_73-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_73-processed-gene-0.125&CDS=1-1698
1028	OG0001028	YDR196C	snap_masked-flattened_line_73-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.77&CDS=1-702
1029	OG0001029	YDR197W	snap_masked-flattened_line_73-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.90&CDS=1-1095
1030	OG0001030	YDR198C	snap_masked-flattened_line_73-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.68&CDS=1-1236
1031	OG0001031	YDR201W	snap_masked-flattened_line_73-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.60&CDS=1-480
1032	OG0001032	YDR202C	snap_masked-flattened_line_73-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.78&CDS=1-975
1033	OG0001033	YDR204W	snap_masked-flattened_line_73-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.61&CDS=1-813
1034	OG0001034	YDR208W	genemark-flattened_line_0-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.127&CDS=1-1746
1035	OG0001035	YDR211W	snap_masked-flattened_line_147-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.35&CDS=1-2034
1036	OG0001036	YDR212W	maker-flattened_line_8-snap-gene-2.149-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.149&CDS=1-1671
1037	OG0001037	YDR214W	snap_masked-flattened_line_8-processed-gene-2.127-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.127&CDS=1-1026
1038	OG0001038	YDR217C	augustus_masked-flattened_line_109-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_109-processed-gene-0.92&CDS=1-2868
1039	OG0001039	YDR219C	augustus_masked-flattened_line_109-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_109-processed-gene-0.95&CDS=1-1080
1040	OG0001040	YDR221W	snap_masked-flattened_line_28-processed-gene-0.215-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.215&CDS=1-1719
1041	OG0001041	YDR226W	snap_masked-flattened_line_59-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.46&CDS=1-747
1042	OG0001042	YDR228C	maker-flattened_line_59-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_59-augustus-gene-0.3&CDS=1-1680
1043	OG0001043	YDR229W	snap_masked-flattened_line_113-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.85&CDS=1-1437
1044	OG0001044	YDR231C	snap_masked-flattened_line_43-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.51&CDS=1-546
1045	OG0001045	YDR232W	snap_masked-flattened_line_153-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.42&CDS=1-1665
1046	OG0001046	YDR233C	snap_masked-flattened_line_153-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.35&CDS=1-894
1047	OG0001047	YDR234W	snap_masked-flattened_line_91-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.95&CDS=1-2025
1048	OG0001048	YDR235W	snap_masked-flattened_line_81-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.32&CDS=1-1461
1049	OG0001049	YDR236C	snap_masked-flattened_line_18-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.110&CDS=1-564
1050	OG0001050	YDR237W	snap_masked-flattened_line_91-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.94&CDS=1-891
1051	OG0001051	YDR238C	snap_masked-flattened_line_91-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.83&CDS=1-2820
1052	OG0001052	YDR243C	snap_masked-flattened_line_81-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.6&CDS=1-1881
1053	OG0001053	YDR244W	maker-flattened_line_81-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_81-snap-gene-0.55&CDS=1-1740
1054	OG0001054	YDR245W	maker-flattened_line_12-snap-gene-1.127-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.127&CDS=1-1884
1055	OG0001055	YDR246W	snap_masked-flattened_line_8-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.89&CDS=1-468
1056	OG0001056	YDR254W	augustus_masked-flattened_line_4-processed-gene-0.127-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.127&CDS=1-1326
